x_um,y_um,phase,modulus_GPa,hardness_GPa,creep_compliance_1GPa_s
140,100,Ni-YSZ,112.66,9.52,0.0200
140,110,Ni-YSZ,111.66,9.77,0.0184
140,120,Ni-YSZ,111.00,9.83,0.0191
140,130,Ni-YSZ,111.61,9.37,0.0203
140,140,Ni-YSZ,110.78,9.05,0.0182
140,150,Ni-YSZ,111.94,9.25,0.0203
140,160,Ni-YSZ,110.48,9.43,0.0188
140,170,Ni-YSZ,110.14,9.61,0.0219
140,180,Ni-YSZ,110.00,9.94,0.0187
140,190,Ni-YSZ,113.56,9.82,0.0190
140,200,Ni-YSZ,113.05,9.53,0.0211
150,0,Ni-YSZ,111.02,10.00,0.0202
150,10,Ni-YSZ,111.43,9.30,0.0195
150,20,Ni-YSZ,112.54,9.75,0.0210
150,30,Ni-YSZ,110.84,10.00,0.0212
150,40,Ni-YSZ,111.03,9.53,0.0182
150,50,Ni-YSZ,113.34,9.70,0.0199
150,60,Ni-YSZ,110.16,9.79,0.0184
150,70,Ni-YSZ,110.02,9.84,0.0181
150,80,Ni-YSZ,110.72,9.78,0.0214
150,90,Ni-YSZ,111.75,9.59,0.0195
150,100,Ni-YSZ,110.86,9.89,0.0195
150,110,Ni-YSZ,113.05,9.30,0.0207
150,120,Ni-YSZ,110.54,9.99,0.0197
150,130,Ni-YSZ,113.53,9.25,0.0197
150,140,Ni-YSZ,112.73,9.55,0.0219
150,150,Ni-YSZ,112.92,9.44,0.0207
150,160,Ni-YSZ,110.84,9.53,0.0198
150,170,Ni-YSZ,111.22,9.59,0.0192
150,180,Ni-YSZ,111.35,9.81,0.0183
150,190,Ni-YSZ,110.75,9.30,0.0206
150,200,Ni-YSZ,112.29,9.57,0.0202
160,0,Ni-YSZ,109.82,9.38,0.0214
160,10,Ni-YSZ,112.55,9.56,0.0213
160,20,Ni-YSZ,110.28,9.50,0.0183
160,30,Ni-YSZ,112.01,9.23,0.0205
160,40,Ni-YSZ,111.86,9.01,0.0183
160,50,Ni-YSZ,110.52,9.27,0.0204
160,60,Ni-YSZ,112.32,9.62,0.0188
160,70,Ni-YSZ,113.48,9.01,0.0180
160,80,Ni-YSZ,113.75,9.25,0.0192
160,90,Ni-YSZ,112.36,9.87,0.0215
160,100,Ni-YSZ,110.56,9.87,0.0190
160,110,Ni-YSZ,109.96,9.56,0.0213
160,120,Ni-YSZ,113.31,9.68,0.0193
160,130,Ni-YSZ,113.64,9.23,0.0202
160,140,Ni-YSZ,112.18,9.75,0.0202
160,150,Ni-YSZ,112.48,9.93,0.0213
160,160,Ni-YSZ,110.90,9.56,0.0198
160,170,Ni-YSZ,111.66,9.48,0.0198
160,180,Ni-YSZ,111.68,9.47,0.0208
160,190,Ni-YSZ,112.91,9.11,0.0203
160,200,Ni-YSZ,112.41,9.30,0.0198
170,0,Ni-YSZ,113.43,9.34,0.0180
170,10,Ni-YSZ,112.71,9.21,0.0208
170,20,Ni-YSZ,109.98,9.17,0.0217
170,30,Ni-YSZ,112.17,9.77,0.0207
170,40,Ni-YSZ,110.39,9.44,0.0204
170,50,Ni-YSZ,113.69,9.71,0.0187
170,60,Ni-YSZ,111.48,9.18,0.0206
170,70,Ni-YSZ,113.32,9.65,0.0184
170,80,Ni-YSZ,112.14,9.42,0.0189
170,90,Ni-YSZ,110.45,9.08,0.0200
170,100,Ni-YSZ,112.26,9.98,0.0214
170,110,Ni-YSZ,112.30,9.71,0.0182
170,120,Ni-YSZ,111.08,9.76,0.0189
170,130,Ni-YSZ,110.79,9.35,0.0220
170,140,Ni-YSZ,113.50,9.49,0.0198
170,150,Ni-YSZ,111.92,9.47,0.0186
170,160,Ni-YSZ,112.57,9.89,0.0193
170,170,Ni-YSZ,111.13,9.77,0.0219
170,180,Ni-YSZ,111.56,9.35,0.0196
170,190,Ni-YSZ,112.42,9.51,0.0199
170,200,Ni-YSZ,110.45,9.13,0.0198
180,0,Ni-YSZ,109.84,9.75,0.0187
180,10,Ni-YSZ,110.08,9.07,0.0217
180,20,Ni-YSZ,111.01,9.32,0.0191
180,30,Ni-YSZ,111.00,9.25,0.0211
180,40,Ni-YSZ,112.75,9.78,0.0189
180,50,Ni-YSZ,113.36,9.47,0.0185
180,60,Ni-YSZ,110.67,9.80,0.0216
180,70,Ni-YSZ,110.57,9.24,0.0190
180,80,Ni-YSZ,112.17,9.90,0.0210
180,90,Ni-YSZ,110.07,9.06,0.0215
180,100,Ni-YSZ,111.91,9.07,0.0205
180,110,Ni-YSZ,112.60,9.14,0.0208
180,120,Ni-YSZ,112.31,9.44,0.0181
180,130,Ni-YSZ,113.41,9.74,0.0191
180,140,Ni-YSZ,112.49,9.48,0.0182
180,150,Ni-YSZ,113.44,9.37,0.0201
180,160,Ni-YSZ,109.93,9.59,0.0193
180,170,Ni-YSZ,113.48,9.78,0.0203
180,180,Ni-YSZ,110.44,9.37,0.0199
180,190,Ni-YSZ,113.45,9.44,0.0201
180,200,Ni-YSZ,112.97,9.97,0.0204
190,0,Ni-YSZ,111.51,9.67,0.0210
190,10,Ni-YSZ,110.34,9.29,0.0187
190,20,Ni-YSZ,110.47,9.20,0.0217
190,30,Ni-YSZ,111.58,9.87,0.0196
190,40,Ni-YSZ,111.81,9.78,0.0211
190,50,Ni-YSZ,109.91,9.81,0.0194
190,60,Ni-YSZ,111.22,9.73,0.0186
190,70,Ni-YSZ,113.50,9.89,0.0200
190,80,Ni-YSZ,111.37,9.80,0.0218
190,90,Ni-YSZ,113.48,9.60,0.0217
190,100,Ni-YSZ,111.88,9.02,0.0203
190,110,Ni-YSZ,110.83,9.16,0.0215
190,120,Ni-YSZ,111.55,9.33,0.0183
190,130,Ni-YSZ,111.23,9.77,0.0218
190,140,Ni-YSZ,112.84,9.27,0.0209
190,150,Ni-YSZ,111.93,9.30,0.0202
190,160,Ni-YSZ,113.37,9.66,0.0191
190,170,Ni-YSZ,109.92,9.58,0.0187
190,180,Ni-YSZ,111.97,9.98,0.0219
190,190,Ni-YSZ,111.77,9.90,0.0203
190,200,Ni-YSZ,111.45,9.42,0.0204
200,0,Ni-YSZ,113.80,9.67,0.0210
200,10,Ni-YSZ,113.32,9.11,0.0183
200,20,Ni-YSZ,113.63,9.47,0.0214
200,30,Ni-YSZ,113.43,9.23,0.0185
200,40,Ni-YSZ,112.34,9.76,0.0197
200,50,Ni-YSZ,110.52,9.65,0.0184
200,60,Ni-YSZ,111.63,9.68,0.0207
200,70,Ni-YSZ,112.31,9.23,0.0206
200,80,Ni-YSZ,112.20,9.72,0.0202
200,90,Ni-YSZ,110.49,9.13,0.0219
200,100,Ni-YSZ,112.88,9.13,0.0205
200,110,Ni-YSZ,111.90,9.01,0.0210
200,120,Ni-YSZ,112.22,9.97,0.0189
200,130,Ni-YSZ,111.64,9.88,0.0198
200,140,Ni-YSZ,112.15,9.51,0.0188
200,150,Ni-YSZ,109.88,9.69,0.0214
200,160,Ni-YSZ,110.24,9.15,0.0202
200,170,Ni-YSZ,112.93,9.78,0.0211
200,180,Ni-YSZ,111.52,9.38,0.0199
200,190,Ni-YSZ,113.71,9.55,0.0205
200,200,Ni-YSZ,113.56,9.32,0.0210
