grain_id,x_um,y_um,phi1_deg,Phi_deg,phi2_deg
84,330.59,385.45,276.47,132.64,217.93
85,19.74,423.12,323.66,106.65,303.42
86,316.77,393.24,86.36,16.29,281.63
87,356.46,452.68,114.28,60.72,12.51
88,130.33,75.18,104.14,9.62,312.04
89,38.03,344.92,200.36,164.21,229.27
90,420.37,102.77,9.58,158.79,80.55
91,175.99,19.51,87.2,76.26,53.5
92,467.19,104.49,225.65,91.87,355.23
93,462.44,343.25,177.41,93.68,270.05
94,342.14,360.2,110.39,162.35,220.64
95,313.69,416.49,22.96,68.79,57.98
96,350.9,408.11,168.31,63.49,341.92
97,66.78,454.45,190.27,27.19,247.15
98,247.74,345.35,32.36,151.92,151.35
99,193.15,407.81,239.9,177.98,118.45
100,141.8,284.42,64.19,60.91,16.7
101,271.76,211.35,115.92,10.39,328.42
102,415.73,90.06,278.02,91.0,228.08
103,20.78,418.39,199.03,156.68,40.35
104,488.93,416.5,127.03,56.09,297.23
105,445.37,485.29,257.25,42.46,8.4
106,209.58,62.87,237.68,130.9,56.69
107,300.54,320.28,70.61,146.09,226.44
108,126.75,434.08,34.03,48.21,305.35
109,464.94,379.43,45.3,31.58,213.83
110,169.42,297.93,241.26,152.29,116.33
111,33.99,401.21,317.8,64.18,56.55
112,99.62,140.02,99.59,164.17,312.99
113,237.15,103.18,13.12,161.85,74.5
114,300.97,185.5,55.28,85.67,222.71
115,210.44,339.51,38.36,150.65,27.69
116,187.94,374.78,96.74,171.92,55.8
117,318.79,357.23,253.45,124.66,294.52
118,307.46,482.02,28.05,64.95,275.66
119,484.71,75.54,283.65,147.76,246.92
120,142.7,115.71,287.99,134.62,73.1
121,102.91,195.17,330.47,108.12,155.29
122,339.07,399.67,296.21,80.39,24.3
123,471.34,81.38,234.13,64.65,10.32
124,159.48,86.13,243.13,93.49,62.18
125,216.01,481.77,60.58,171.12,331.43
126,270.42,371.47,151.0,102.96,0.27
127,252.05,86.32,323.81,39.76,216.98
128,154.58,468.98,161.41,82.23,346.95
129,46.09,2.71,253.46,96.23,218.19
130,188.45,219.71,72.96,54.96,347.99
131,424.28,372.69,30.56,63.52,72.62
132,44.33,436.52,119.05,100.03,34.06
133,269.67,344.81,95.39,87.9,227.64
134,33.06,76.74,1.78,129.17,292.3
135,352.07,107.2,30.55,30.93,327.61
136,396.86,345.52,300.93,177.19,327.16
137,350.3,420.37,331.48,47.66,332.83
138,348.38,363.8,49.0,122.92,220.51
139,134.9,130.8,199.79,16.12,83.83
140,108.0,150.59,62.07,94.5,280.76
141,77.04,384.16,102.84,73.08,20.02
142,168.6,211.14,18.38,157.12,316.45
143,14.08,424.29,126.75,35.39,25.86
144,24.21,5.56,266.66,20.76,65.3
145,420.47,69.99,313.24,126.91,162.42
146,491.1,110.47,280.24,140.62,79.99
147,360.07,85.36,39.55,73.39,347.43
148,197.95,301.17,67.65,105.31,324.03
149,268.98,39.86,130.0,116.06,242.55
150,351.2,471.31,14.59,172.14,159.13
151,380.53,193.88,97.8,115.03,54.01
152,379.46,204.61,312.03,158.82,220.5
153,163.84,445.29,100.54,96.4,142.33
154,455.09,39.34,73.07,72.87,303.12
155,223.75,183.23,35.15,24.21,112.35
156,176.18,85.59,224.63,99.25,352.5
157,168.8,298.08,337.52,61.8,284.84
158,43.58,344.78,252.57,150.59,109.6
159,75.71,440.76,8.65,139.97,199.3
160,268.28,321.02,32.68,18.4,356.58
161,386.62,234.98,224.75,95.61,63.05
162,64.13,397.08,162.26,165.95,341.53
163,30.14,154.03,244.55,145.25,201.88
164,74.65,11.7,25.94,76.87,222.75
165,4.86,465.36,270.02,164.63,178.0
166,130.89,131.89,70.4,166.9,15.14
167,450.48,167.15,112.28,153.53,97.47
168,171.15,301.91,174.19,30.1,77.21
169,26.06,181.77,279.55,57.57,111.67
170,282.6,215.66,178.08,166.14,288.54
171,339.04,1.39,176.9,34.66,266.64
172,80.75,29.22,222.15,174.79,43.34
173,413.94,186.49,22.49,34.34,197.91
174,141.8,57.92,108.08,150.43,89.67
175,391.76,490.14,288.93,161.73,38.34
176,296.48,65.98,170.15,89.58,178.17
177,488.5,153.04,71.82,175.44,45.11
178,2.51,97.11,185.19,8.07,167.84
179,137.85,351.08,212.66,15.58,95.8
180,128.64,351.93,248.17,58.95,57.03
181,92.82,472.93,311.77,74.24,138.14
182,483.66,177.16,250.99,104.0,108.47
183,427.36,275.17,191.11,105.35,197.5
184,189.62,365.31,356.17,90.46,113.14
185,367.77,15.49,47.1,106.91,189.63
186,181.55,380.03,293.43,61.26,143.5
187,57.49,471.39,356.33,95.55,309.19
188,381.94,175.83,6.42,149.22,53.37
189,178.81,464.02,274.5,13.33,225.4
190,445.95,182.55,116.31,100.74,266.98
191,55.99,143.44,133.92,5.25,84.23
192,226.52,40.43,15.47,168.03,342.62
193,416.95,192.08,128.83,68.58,355.07
194,44.71,347.87,200.31,115.18,4.77
195,469.67,404.49,126.85,55.96,157.6
196,372.25,2.33,216.21,38.49,342.09
197,33.18,186.37,129.73,100.84,204.04
198,127.8,178.83,167.06,62.18,147.62
199,460.85,447.75,301.4,25.04,27.5
200,83.79,205.49,161.2,58.88,277.3
201,3.73,72.18,224.74,126.83,254.72
202,270.29,453.88,310.11,129.38,116.17
203,84.1,176.59,231.83,59.66,55.13
204,6.5,440.54,273.86,50.25,267.23
205,26.73,158.45,197.09,145.99,189.35
206,263.71,102.83,331.12,34.71,195.11
207,122.03,449.86,262.93,10.37,294.59
208,82.33,127.62,355.19,161.68,173.21
209,143.29,400.62,35.53,21.22,177.05
210,362.4,442.51,78.0,169.13,67.28
211,495.1,104.33,177.01,71.97,171.65
212,94.77,127.88,35.12,9.68,12.91
213,172.58,415.54,218.24,60.77,169.16
214,24.66,34.86,8.59,111.6,330.33
215,100.57,196.82,247.25,47.89,210.04
216,356.54,292.54,2.21,107.57,149.18
217,414.52,222.91,245.96,162.49,13.56
218,103.66,275.63,46.34,24.4,142.3
219,374.31,235.43,167.76,55.08,111.91
220,395.28,347.73,189.42,20.43,260.14
221,218.61,51.34,179.37,141.88,96.85
222,290.22,212.89,322.86,1.72,92.66
223,372.62,491.82,274.38,140.22,135.5
224,112.62,484.14,159.04,19.65,114.04
225,492.54,356.15,355.3,65.14,210.46
226,471.59,281.39,106.65,22.9,227.44
227,198.59,56.96,357.38,84.13,117.87
228,494.29,465.15,103.56,45.91,93.17
229,201.84,200.26,150.83,173.18,304.26
230,319.23,405.99,207.0,179.83,197.67
231,206.78,210.62,185.59,20.5,279.06
232,164.01,476.86,201.92,35.94,355.98
233,52.91,276.27,210.1,42.08,299.99
234,274.8,322.58,263.21,124.14,296.18
235,87.64,482.45,147.19,178.84,186.96
236,50.69,358.51,243.8,55.57,270.35
237,467.59,283.26,129.74,84.42,351.69
238,442.19,203.94,281.75,20.15,96.58
239,95.43,220.39,283.52,177.69,45.34
240,174.55,288.88,131.31,166.31,166.26
241,413.93,477.15,320.73,117.27,14.3
242,383.58,446.17,130.86,20.07,90.06
243,38.54,190.87,285.93,42.96,39.6
244,320.52,76.26,325.54,28.67,328.62
245,65.11,484.1,235.76,104.5,135.47
246,204.09,122.87,300.68,37.27,28.54
247,238.99,412.35,142.16,85.67,351.31
248,475.44,290.5,120.19,68.96,269.64
249,170.97,222.86,142.21,58.76,151.68
250,88.56,459.36,8.05,77.6,193.67
251,139.0,484.21,96.35,119.42,65.77
252,294.27,153.85,194.91,135.67,306.24
253,208.68,137.03,189.03,167.64,282.05
254,253.99,192.32,118.69,128.55,71.2
255,250.81,389.59,5.18,174.5,6.2
256,246.99,100.7,83.87,172.74,104.91
257,279.32,365.42,284.03,148.87,305.7
258,302.77,340.0,57.49,107.39,172.69
259,248.96,7.86,97.71,85.6,7.4
260,13.68,341.76,73.31,164.68,185.59
261,210.49,279.78,320.43,29.11,72.22
262,219.95,381.95,76.7,66.82,102.61
263,487.51,211.8,50.77,50.04,82.68
264,96.89,232.55,242.15,170.18,112.24
265,33.12,60.54,120.93,128.3,353.5
266,245.2,46.95,318.69,101.66,356.31
267,456.39,410.78,333.26,140.62,160.45
268,68.56,167.68,260.55,21.47,219.58
269,163.53,462.76,108.4,111.18,309.52
270,316.18,309.08,192.41,18.02,185.13
271,308.66,495.78,298.19,101.61,25.44
272,287.67,45.74,264.75,137.65,290.24
273,314.35,242.49,144.24,73.14,268.28
274,475.2,218.91,310.0,170.48,355.22
275,378.69,484.31,37.91,28.7,17.56
276,411.09,399.91,227.63,171.41,139.43
277,175.84,201.53,100.88,173.71,22.34
278,120.9,311.83,315.14,35.85,172.19
279,338.14,447.62,93.35,158.1,231.66
280,382.63,323.81,301.2,17.65,76.36
281,374.67,472.8,313.45,120.92,135.77
282,53.45,425.92,269.12,139.61,300.6
283,114.5,201.96,342.84,90.73,198.51
284,108.54,425.04,239.14,61.13,255.55
285,185.2,96.89,146.48,11.44,73.52
286,99.12,37.97,15.54,27.85,302.28
287,272.46,341.76,103.08,65.83,37.12
288,55.38,323.3,184.38,155.92,319.42
289,3.71,147.43,92.23,35.29,202.72
290,493.01,101.56,276.75,146.65,302.55
291,167.32,342.75,215.27,67.88,26.89
292,423.8,137.71,163.13,125.76,247.97
293,448.2,334.01,226.58,83.93,311.5
294,106.09,425.43,144.17,75.35,185.79
295,377.5,309.86,283.33,174.59,184.9
296,223.58,201.12,109.89,20.31,21.4
297,462.62,271.41,278.48,177.73,105.98
298,414.95,27.73,194.17,44.35,277.81
299,424.62,232.26,106.35,32.64,249.93
300,490.1,382.72,99.74,141.33,216.77
301,402.07,263.09,79.89,131.16,253.47
302,279.8,397.54,61.1,83.68,144.43
303,1.36,443.53,50.99,173.62,190.79
304,123.53,151.92,287.32,106.2,48.55
305,196.21,87.77,173.86,27.47,34.51
306,393.47,357.2,90.22,50.75,165.36
307,104.58,396.61,225.63,161.2,275.86
308,295.64,5.18,266.09,55.99,328.86
309,243.99,442.13,147.38,133.92,204.79
310,98.52,241.2,126.99,43.5,89.68
311,364.37,3.36,232.07,169.62,301.3
312,14.69,357.25,183.63,71.78,350.29
313,16.67,420.15,69.66,12.12,216.53
314,436.07,230.84,359.06,147.22,224.27
315,125.74,118.29,52.33,31.07,44.27
316,240.67,317.7,138.03,67.65,87.84
317,235.03,24.79,118.42,83.97,3.56
318,347.97,26.07,165.48,164.8,194.86
319,116.75,217.69,262.73,147.06,128.13
320,219.94,380.64,54.42,53.23,324.91
321,440.26,413.51,57.58,150.81,313.14
322,150.6,296.19,62.06,130.25,14.77
323,176.28,447.88,259.24,100.07,352.58
324,289.78,443.98,238.61,40.9,295.47
325,222.46,323.42,261.02,1.15,42.91
326,103.1,4.38,236.19,22.34,348.13
327,49.75,107.82,65.13,146.76,137.03
328,112.89,240.44,291.36,65.38,33.35
329,183.03,15.69,265.74,60.57,154.24
330,447.44,351.69,110.91,177.22,130.89
331,283.64,99.75,244.36,57.15,211.52
332,133.1,35.35,71.36,141.97,4.2
333,235.51,120.99,215.52,110.0,142.02
334,223.69,175.03,12.55,71.97,39.51
335,90.12,86.68,89.62,145.27,307.35
336,432.29,203.71,201.84,101.68,199.32
337,457.46,275.96,165.49,130.56,295.7
338,248.12,279.39,65.52,100.75,251.71
339,107.57,7.3,285.04,91.3,101.3
340,431.55,490.25,263.43,142.19,305.29
341,401.37,177.59,126.19,59.06,223.17
342,130.63,278.65,354.54,87.81,148.85
343,379.21,426.62,350.45,121.31,346.05
344,373.59,304.6,283.24,113.21,119.9
345,143.13,351.31,83.46,141.99,188.45
346,186.21,496.4,53.81,13.17,139.44
347,261.59,354.7,114.92,100.42,236.96
348,67.93,335.27,171.36,177.43,6.09
349,10.74,130.16,233.15,160.87,38.58
350,338.88,494.3,183.47,172.77,275.57
351,280.36,110.98,211.91,32.53,18.08
352,101.11,186.18,180.05,69.26,292.92
353,381.22,331.67,202.23,44.15,199.35
354,97.77,109.69,339.2,174.7,171.23
355,487.75,295.14,348.8,101.43,26.43
356,130.64,398.23,94.31,120.36,212.45
357,183.41,408.6,162.02,145.18,146.46
358,122.57,112.1,353.05,103.24,318.99
359,256.4,183.61,210.02,127.47,173.4
360,211.99,148.74,68.78,30.83,143.69
361,194.24,72.33,195.78,56.02,153.74
362,356.63,199.61,126.57,153.74,265.02
363,34.74,439.79,1.08,93.59,204.22
364,459.97,178.99,80.97,53.51,34.05
365,363.47,81.89,107.22,37.18,227.84
366,393.42,495.93,44.08,154.99,160.62
367,438.38,218.32,294.69,66.06,56.7
368,302.43,473.46,313.85,153.27,87.41
369,478.94,323.24,271.97,27.37,267.13
370,158.97,361.6,311.66,107.4,8.73
371,92.45,252.01,87.66,110.65,167.31
372,106.53,465.41,194.8,33.64,271.96
373,321.23,81.29,303.62,82.55,293.3
374,473.83,405.76,109.52,26.93,112.4
375,364.01,63.35,200.79,144.33,286.08
376,339.45,109.63,91.08,81.72,347.47
377,283.7,211.62,345.45,93.25,202.21
378,156.69,106.5,266.24,43.22,240.59
379,35.67,449.47,136.0,148.14,162.56
380,469.21,116.02,207.05,169.21,288.46
381,292.38,177.0,169.92,155.13,137.29
382,399.97,382.13,121.12,118.43,34.19
383,68.82,440.76,301.85,113.21,71.78
384,108.04,88.54,87.42,79.86,224.51
385,171.2,303.71,3.4,106.56,68.91
386,459.09,438.88,62.53,39.12,166.0
387,335.87,92.17,216.9,49.85,146.27
388,101.19,338.55,138.12,148.02,228.62
389,325.06,368.32,308.73,101.34,18.68
390,440.05,30.38,13.46,148.55,200.33
391,284.42,232.25,245.62,2.29,247.09
392,466.26,423.56,13.89,57.6,172.46
393,13.59,174.41,88.52,165.43,311.67
394,396.62,180.49,157.02,47.45,0.77
395,137.77,433.15,332.64,19.05,16.85
396,71.98,129.77,94.37,45.89,158.17
397,150.14,401.52,352.25,80.67,311.9
398,270.36,374.53,162.22,42.63,312.89
399,390.05,150.53,66.31,134.25,311.93
400,34.2,429.44,47.82,141.51,228.8
401,347.04,258.53,124.86,89.5,264.66
402,262.44,321.32,57.54,56.73,35.41
403,72.48,31.32,35.3,77.16,167.71
404,226.02,362.47,275.03,36.1,212.77
405,8.16,140.31,274.23,171.07,289.95
406,425.26,468.53,115.04,58.66,51.38
407,373.25,145.64,325.7,20.89,70.05
408,391.25,305.36,319.28,113.18,75.14
409,297.58,255.27,248.03,160.21,2.39
410,302.81,96.72,236.45,6.23,110.85
411,492.87,333.6,44.73,118.32,61.4
412,113.3,253.32,174.77,36.28,160.78
413,189.03,340.8,284.1,128.6,35.24
414,223.4,27.8,254.32,75.22,74.69
415,372.05,476.18,120.49,69.05,290.83
416,62.0,128.5,198.56,117.03,73.87
417,98.87,331.53,170.55,39.02,10.73
418,164.49,465.41,332.99,48.67,314.63
419,325.09,286.87,0.82,162.06,76.59
420,455.04,95.49,19.27,84.27,70.73
421,78.17,68.98,284.24,90.36,161.95
422,431.44,428.18,200.33,17.46,57.07
423,242.67,341.06,51.97,117.89,238.57
424,268.95,478.51,288.69,167.17,84.05
425,245.98,328.48,55.5,57.3,126.39
426,60.8,415.1,98.45,135.71,189.9
427,130.25,60.06,331.33,69.35,291.5
428,358.5,141.05,204.73,88.43,27.79
429,54.14,330.52,300.06,96.17,238.31
430,295.96,465.48,342.27,115.79,221.39
431,494.12,157.3,168.31,118.97,101.09
432,368.67,110.91,14.35,48.96,163.14
433,120.61,191.81,192.37,81.54,344.76
434,441.62,320.09,1.64,111.63,78.47
435,336.18,400.55,275.56,111.24,275.0
436,148.02,107.8,310.51,114.21,235.27
437,62.87,80.64,97.49,102.05,341.86
438,294.83,401.23,215.76,136.58,306.22
439,23.6,421.91,255.24,120.08,269.04
440,359.22,21.83,156.72,45.74,122.71
441,37.11,120.65,337.69,98.52,155.41
442,226.64,397.69,118.54,121.65,126.91
443,244.51,414.08,119.32,12.68,100.73
444,271.16,353.76,313.65,12.64,116.49
445,54.69,338.02,332.3,120.86,194.5
446,204.26,83.31,256.54,17.4,100.47
447,188.28,435.83,65.93,100.94,206.26
448,110.4,57.18,140.7,135.98,66.13
449,244.01,142.2,128.69,94.38,102.57
450,437.15,7.44,335.91,116.93,247.54
451,160.82,68.51,100.19,17.35,229.38
452,270.83,495.53,66.53,81.56,93.42
453,238.96,84.7,120.85,155.21,336.38
454,384.04,412.89,234.81,100.44,42.57
455,434.83,416.59,201.83,80.55,158.56
456,468.07,467.51,349.2,79.96,264.99
457,257.1,182.86,1.32,39.29,272.85
458,129.88,17.43,193.38,59.82,253.1
459,135.07,135.81,163.13,124.7,346.33
460,154.56,28.18,359.26,162.96,316.4
461,5.53,372.69,18.4,86.86,330.29
462,463.88,164.02,267.76,55.72,173.52
463,185.62,230.1,230.52,129.14,172.69
464,39.52,1.3,79.81,53.32,102.11
465,284.28,124.06,277.29,59.43,74.43
466,334.51,450.49,270.28,114.52,229.7
467,492.04,276.45,159.61,66.23,255.26
468,226.05,208.55,358.12,2.19,40.44
469,1.34,188.33,327.22,179.49,40.02
470,380.39,77.58,242.57,92.97,212.42
471,317.68,23.44,217.07,158.25,308.17
472,177.44,222.92,316.17,108.28,246.46
473,146.83,275.79,236.4,156.36,225.14
474,174.01,250.73,160.85,96.87,132.44
475,60.59,449.89,235.57,130.41,64.24
476,190.0,415.87,177.36,72.23,160.72
477,181.15,481.37,343.42,48.32,312.63
478,482.23,287.54,188.54,175.51,243.41
479,255.67,339.41,51.01,89.41,122.2
480,111.02,73.99,102.25,97.96,197.59
481,238.75,44.6,60.55,87.92,28.92
482,178.72,338.05,276.61,47.03,39.54
483,374.1,254.81,94.06,91.31,31.22
484,222.06,457.27,27.18,61.12,273.43
485,67.66,61.78,53.91,170.54,204.9
486,399.89,34.76,12.22,89.79,283.79
487,435.73,6.72,24.77,35.43,174.04
488,467.4,215.73,303.62,117.12,10.0
489,119.46,276.76,242.53,12.36,99.85
490,91.63,385.82,7.38,36.32,54.49
491,140.13,370.09,277.83,156.33,109.91
492,75.63,247.83,48.65,53.71,44.79
493,20.42,459.13,330.04,35.27,73.11
494,56.35,299.55,138.58,69.58,319.58
495,498.41,0.76,33.25,61.57,48.01
496,465.15,207.25,335.33,8.23,205.01
497,7.5,46.48,132.93,57.98,174.37
498,227.04,180.77,180.06,161.97,142.24
499,143.94,84.5,123.25,50.43,127.05
500,313.1,225.02,304.88,134.25,44.97
501,53.11,328.04,182.0,122.22,289.38
502,86.36,125.37,171.7,63.76,268.69
503,38.46,191.08,257.25,161.54,8.46
504,12.57,376.61,160.61,73.03,329.28
505,356.87,321.73,199.69,27.73,316.78
506,449.69,230.68,328.28,134.08,288.76
507,288.04,369.18,205.13,101.73,109.44
508,373.55,33.25,249.79,171.81,346.21
509,150.88,451.01,63.49,139.41,84.63
510,38.61,492.36,271.36,103.02,306.6
511,458.26,42.12,193.63,82.34,103.34
512,431.98,338.24,308.13,54.37,140.41
513,475.31,498.03,350.32,132.01,201.07
514,402.37,24.71,174.31,131.52,271.12
515,421.61,73.07,139.96,142.47,185.03
516,448.79,181.08,48.48,98.86,312.84
517,486.73,498.62,114.23,26.91,212.96
518,282.11,487.21,272.27,49.5,16.86
519,442.59,450.89,242.02,61.67,225.37
520,45.23,352.92,298.96,142.19,193.29
521,270.22,59.64,255.69,19.76,283.7
522,187.44,0.69,179.59,24.66,255.28
523,251.28,494.32,57.47,149.81,210.75
524,382.47,158.66,201.79,80.42,312.47
525,144.67,45.9,1.73,49.88,16.82
526,318.62,85.43,323.96,112.09,320.12
527,403.49,197.41,20.83,26.88,316.51
528,222.66,245.67,326.35,128.53,39.4
529,317.61,208.64,74.51,34.21,102.34
530,158.8,194.8,243.94,157.84,99.5
531,216.95,428.57,348.03,100.56,139.25
532,431.71,143.57,324.09,142.23,53.54
533,118.5,117.63,347.06,52.19,66.56
534,382.9,68.43,60.13,148.66,196.41
535,477.3,242.13,191.8,73.15,73.31
536,135.32,40.67,171.68,31.41,260.73
537,362.12,177.64,60.57,53.58,159.32
538,316.33,9.21,282.3,38.81,233.3
539,366.48,251.8,181.71,128.93,86.35
540,362.81,116.26,216.41,140.76,149.57
541,18.4,460.01,69.26,174.91,66.29
542,402.18,49.61,184.37,76.19,42.31
543,31.31,105.0,59.62,89.1,100.57
544,390.29,106.42,281.84,123.39,23.53
545,193.82,91.33,156.82,134.28,251.41
546,19.06,206.74,137.97,25.46,273.24
547,50.2,1.95,187.69,108.79,237.5
548,47.36,44.9,353.63,151.52,58.72
549,82.34,5.59,194.97,12.24,95.5
550,102.86,320.03,182.8,40.29,53.94
551,186.53,26.81,305.72,94.53,84.72
552,445.8,248.57,257.3,9.66,40.32
553,385.78,366.96,234.66,46.42,1.21
554,100.33,254.09,349.4,168.95,354.84
555,35.54,479.28,237.83,76.12,305.72
556,240.55,40.84,172.87,0.54,357.44
557,82.6,92.19,190.77,164.95,177.96
558,58.74,152.33,195.39,114.24,32.81
559,478.6,151.27,258.45,47.46,280.06
560,84.27,105.58,346.25,160.43,154.77
561,305.46,493.62,193.19,43.78,231.89
562,17.04,349.22,352.66,36.28,233.92
563,149.13,30.06,167.67,160.86,108.86
564,339.15,292.16,29.95,58.82,115.51
565,9.82,416.35,351.71,25.28,253.19
566,122.18,463.82,116.82,131.1,260.58
567,219.32,289.22,353.1,112.1,4.78
568,232.8,277.5,267.66,83.88,296.71
569,331.41,190.17,42.25,132.11,314.03
570,422.6,183.46,128.79,90.17,51.88
571,81.98,326.74,183.58,120.89,328.26
572,264.28,388.43,65.88,116.38,53.37
573,210.11,238.83,68.33,49.17,155.52
574,145.95,171.87,55.84,48.45,246.13
575,424.57,27.05,12.02,113.98,215.51
576,85.72,20.63,154.52,1.05,272.48
577,196.12,93.95,269.19,110.55,210.24
578,79.39,416.25,250.52,76.72,69.31
579,58.4,241.92,335.34,96.93,318.67
580,308.58,315.26,99.97,22.08,2.12
581,156.23,441.37,331.0,139.73,203.26
582,22.49,437.6,144.12,87.0,63.05
583,371.79,243.84,286.26,30.42,120.25
584,97.94,132.99,287.18,161.66,321.09
585,323.6,237.67,322.03,105.46,206.61
586,265.44,489.28,107.32,161.56,88.06
587,248.46,155.35,279.34,67.43,356.45
588,434.13,64.69,341.67,75.99,337.79
589,276.13,99.48,175.78,5.35,178.92
590,467.28,327.29,205.86,61.96,151.65
591,143.53,17.84,287.18,25.2,95.92
592,364.99,106.49,152.07,53.78,88.0
593,497.91,104.43,272.19,114.69,350.36
594,359.82,155.5,205.98,94.47,302.37
595,246.88,260.78,158.27,151.53,341.47
596,262.91,465.81,110.07,20.46,60.26
597,38.9,457.91,9.36,111.82,156.34
598,464.68,81.57,11.99,167.2,4.7
599,103.02,466.1,173.5,97.39,32.31
600,167.19,406.89,220.88,169.36,102.8
