case_id,case_type,magnitude_mw,peak_ground_acc_g,groundwater_depth_m,relative_density_percent,fines_content_percent,pore_pressure_ratio_peak,uplift_displacement_m,structural_damage_index,notes,groundwater_level_m,rainfall_event_mm,plasticity_index,sensitivity,slope_angle_deg,depth_to_slip_surface_m,pore_pressure_ratio,factor_of_safety,slip_surface_formed
CASE_LQ_0012,liquefaction_uplift,7.79,0.472,2.0,68.5,24.9,0.795,0.115,0.449,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0013,liquefaction_uplift,7.4,0.419,2.12,53.0,4.1,0.58,0.031,0.29,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0014,liquefaction_uplift,6.92,0.237,1.79,84.1,5.0,0.506,0.026,0.369,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0015,liquefaction_uplift,6.62,0.496,2.8,42.5,16.0,0.804,0.102,0.503,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0016,liquefaction_uplift,7.13,0.395,1.25,70.9,7.4,0.512,0.044,0.158,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0017,liquefaction_uplift,6.47,0.191,2.87,73.0,8.2,0.661,0.066,0.293,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0018,liquefaction_uplift,6.29,0.372,1.92,60.5,29.9,0.724,0.096,0.338,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0019,liquefaction_uplift,6.6,0.238,1.4,15.0,13.0,0.614,0.112,0.342,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0020,liquefaction_uplift,7.28,0.364,1.24,59.7,9.5,0.617,0.064,0.161,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0021,liquefaction_uplift,7.51,0.39,1.86,83.4,6.1,0.36,0.041,0.05,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0022,liquefaction_uplift,6.76,0.253,1.76,34.8,11.6,0.724,0.085,0.553,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0023,liquefaction_uplift,7.1,0.37,2.21,66.0,11.0,0.52,0.033,0.077,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0024,liquefaction_uplift,6.67,0.331,2.45,77.4,9.1,0.4,0.027,0.13,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0025,liquefaction_uplift,5.82,0.166,0.85,95.1,18.5,0.448,0.042,0.187,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0026,liquefaction_uplift,6.91,0.342,0.79,34.7,20.1,0.719,0.107,0.426,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0027,liquefaction_uplift,6.92,0.351,1.71,78.9,17.0,0.568,0.069,0.417,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0028,liquefaction_uplift,6.31,0.419,3.14,86.9,20.8,0.49,0.076,0.213,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0029,liquefaction_uplift,7.22,0.341,2.9,41.5,13.1,0.743,0.092,0.507,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0030,liquefaction_uplift,7.73,0.208,2.08,21.4,15.8,0.793,0.094,0.566,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0031,liquefaction_uplift,7.83,0.373,2.93,74.4,7.5,0.498,0.042,0.147,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0032,liquefaction_uplift,7.11,0.1,0.0,17.5,13.2,0.561,0.057,0.243,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0033,liquefaction_uplift,6.55,0.222,2.18,50.2,13.7,0.603,0.068,0.315,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0034,liquefaction_uplift,7.83,0.569,3.14,16.6,15.6,0.98,0.12,0.5,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0035,liquefaction_uplift,6.64,0.637,1.79,24.9,10.7,0.98,0.105,0.514,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0036,liquefaction_uplift,5.68,0.34,0.26,74.0,19.1,0.617,0.073,0.316,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0037,liquefaction_uplift,6.66,0.227,1.02,35.2,21.4,0.792,0.097,0.515,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0038,liquefaction_uplift,6.63,0.335,3.36,75.1,18.1,0.641,0.092,0.303,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0039,liquefaction_uplift,7.17,0.112,2.2,61.9,14.6,0.386,0.062,0.055,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0040,liquefaction_uplift,5.54,0.301,1.89,21.1,13.7,0.723,0.079,0.301,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0041,liquefaction_uplift,7.18,0.327,1.74,31.0,7.4,0.701,0.033,0.283,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0042,liquefaction_uplift,7.43,0.301,1.95,46.5,16.9,0.74,0.09,0.393,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0043,liquefaction_uplift,7.15,0.433,1.81,65.4,15.4,0.721,0.085,0.363,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0044,liquefaction_uplift,6.87,0.276,1.99,84.7,17.3,0.545,0.071,0.324,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0045,liquefaction_uplift,7.02,0.274,1.59,15.0,12.3,0.892,0.082,0.653,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0046,liquefaction_uplift,6.39,0.266,3.16,34.8,8.7,0.768,0.075,0.498,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0047,liquefaction_uplift,8.06,0.197,3.22,92.3,11.8,0.503,0.071,0.3,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0048,liquefaction_uplift,7.57,0.161,1.99,76.7,15.7,0.513,0.075,0.307,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0049,liquefaction_uplift,6.37,0.1,2.11,52.9,13.4,0.585,0.048,0.236,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0050,liquefaction_uplift,7.41,0.242,0.86,34.9,15.6,0.821,0.117,0.396,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0051,liquefaction_uplift,6.86,0.248,2.9,61.3,11.2,0.544,0.085,0.171,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0052,liquefaction_uplift,6.61,0.19,3.07,84.5,15.3,0.612,0.071,0.209,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0053,liquefaction_uplift,6.89,0.566,1.55,73.9,3.4,0.695,0.094,0.428,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0054,liquefaction_uplift,5.9,0.337,1.13,74.4,14.0,0.58,0.07,0.213,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0055,liquefaction_uplift,6.68,0.411,2.39,92.7,16.5,0.726,0.067,0.392,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0056,liquefaction_uplift,6.94,0.165,2.42,47.6,11.5,0.569,0.069,0.366,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0057,liquefaction_uplift,6.64,0.41,0.5,41.0,5.8,0.79,0.081,0.4,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0058,liquefaction_uplift,6.91,0.32,0.71,82.1,12.5,0.629,0.094,0.545,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0059,liquefaction_uplift,6.95,0.285,1.44,52.2,16.2,0.643,0.066,0.246,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0060,liquefaction_uplift,6.65,0.474,2.8,64.1,21.1,0.756,0.069,0.506,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0061,liquefaction_uplift,6.53,0.427,1.31,47.9,2.1,0.682,0.075,0.399,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0062,liquefaction_uplift,7.37,0.338,2.93,70.5,15.9,0.683,0.071,0.502,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0063,liquefaction_uplift,7.31,0.1,0.0,64.6,15.5,0.48,0.104,0.235,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0064,liquefaction_uplift,7.26,0.487,1.47,29.4,10.8,0.781,0.099,0.356,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0065,liquefaction_uplift,7.33,0.605,1.96,48.3,15.6,0.823,0.076,0.366,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0066,liquefaction_uplift,7.74,0.216,2.19,67.6,17.1,0.61,0.053,0.341,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0067,liquefaction_uplift,7.1,0.171,2.66,17.4,12.7,0.545,0.039,0.3,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0068,liquefaction_uplift,6.08,0.364,2.9,30.9,11.8,0.855,0.082,0.514,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0069,liquefaction_uplift,7.23,0.401,3.45,43.7,24.6,0.787,0.096,0.359,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0070,liquefaction_uplift,7.23,0.324,1.42,74.9,18.1,0.66,0.055,0.268,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0071,liquefaction_uplift,6.16,0.325,3.42,79.4,19.9,0.452,0.056,0.137,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0072,liquefaction_uplift,6.76,0.357,2.44,16.3,19.5,0.757,0.102,0.304,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0073,liquefaction_uplift,6.94,0.351,3.89,17.8,10.2,0.68,0.04,0.438,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0074,liquefaction_uplift,6.76,0.359,2.12,48.3,10.2,0.572,0.077,0.354,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0075,liquefaction_uplift,6.67,0.536,2.15,37.4,15.1,0.896,0.076,0.565,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0076,liquefaction_uplift,7.22,0.286,2.84,77.5,3.2,0.624,0.046,0.222,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0077,liquefaction_uplift,6.93,0.247,2.13,42.6,4.4,0.655,0.054,0.327,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0078,liquefaction_uplift,6.41,0.345,1.83,75.6,8.5,0.612,0.045,0.129,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0079,liquefaction_uplift,7.1,0.296,2.12,75.3,4.4,0.504,0.029,0.159,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0080,liquefaction_uplift,8.07,0.317,2.25,40.6,12.2,0.667,0.102,0.348,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0081,liquefaction_uplift,7.27,0.263,1.82,40.3,15.4,0.634,0.088,0.357,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0082,liquefaction_uplift,6.48,0.192,2.53,26.6,14.7,0.453,0.059,0.216,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0083,liquefaction_uplift,6.74,0.382,0.49,44.8,14.9,0.796,0.09,0.483,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0084,liquefaction_uplift,6.76,0.414,1.0,15.0,18.3,0.89,0.077,0.547,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0085,liquefaction_uplift,7.55,0.561,1.79,81.0,5.5,0.663,0.085,0.295,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0086,liquefaction_uplift,6.13,0.569,3.14,100.0,9.9,0.447,0.087,0.207,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0087,liquefaction_uplift,5.89,0.308,2.67,63.9,0.0,0.637,0.015,0.471,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0088,liquefaction_uplift,6.1,0.228,2.11,44.6,19.0,0.574,0.076,0.332,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0089,liquefaction_uplift,7.0,0.173,3.78,37.5,6.0,0.583,0.062,0.074,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0090,liquefaction_uplift,6.59,0.456,2.22,59.1,17.4,0.716,0.054,0.272,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0091,liquefaction_uplift,6.8,0.1,1.94,94.2,9.5,0.576,0.0,0.16,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0092,liquefaction_uplift,6.63,0.329,1.14,74.3,10.6,0.543,0.055,0.306,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0093,liquefaction_uplift,6.3,0.31,1.5,76.6,12.2,0.462,0.048,0.116,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0094,liquefaction_uplift,7.02,0.293,2.41,58.9,6.7,0.629,0.064,0.337,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0095,liquefaction_uplift,6.84,0.28,0.24,16.8,11.9,0.839,0.107,0.456,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0096,liquefaction_uplift,6.92,0.305,0.44,39.8,0.7,0.689,0.101,0.385,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0097,liquefaction_uplift,6.04,0.345,2.96,34.8,15.9,0.74,0.077,0.392,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0098,liquefaction_uplift,7.52,0.59,0.0,54.3,17.5,0.651,0.063,0.37,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0099,liquefaction_uplift,7.12,0.354,0.63,55.5,15.9,0.729,0.055,0.511,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0100,liquefaction_uplift,6.51,0.538,0.55,18.1,11.1,0.98,0.089,0.601,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0101,liquefaction_uplift,5.81,0.143,1.36,52.4,20.0,0.605,0.07,0.32,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0102,liquefaction_uplift,6.2,0.478,1.37,42.1,28.4,0.721,0.11,0.443,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0103,liquefaction_uplift,6.45,0.25,2.42,90.1,17.7,0.472,0.081,0.209,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0104,liquefaction_uplift,6.39,0.215,2.61,15.0,5.2,0.682,0.077,0.229,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0105,liquefaction_uplift,6.64,0.261,2.66,68.8,17.4,0.602,0.063,0.34,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0106,liquefaction_uplift,7.24,0.454,2.55,46.1,10.9,0.664,0.117,0.412,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0107,liquefaction_uplift,7.24,0.408,2.81,56.8,8.5,0.739,0.024,0.341,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0108,liquefaction_uplift,6.38,0.234,2.55,35.9,10.0,0.568,0.059,0.245,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0109,liquefaction_uplift,7.16,0.484,1.94,36.1,20.0,0.838,0.116,0.569,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0110,liquefaction_uplift,7.12,0.119,2.21,46.5,11.8,0.544,0.091,0.279,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0111,liquefaction_uplift,6.94,0.1,2.73,24.4,14.0,0.563,0.09,0.365,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0112,liquefaction_uplift,7.46,0.466,0.56,72.0,18.0,0.693,0.075,0.254,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0113,liquefaction_uplift,6.96,0.401,3.02,26.2,10.8,0.795,0.078,0.325,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0114,liquefaction_uplift,6.0,0.1,0.77,27.7,12.1,0.638,0.143,0.368,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0115,liquefaction_uplift,7.35,0.425,1.46,29.7,7.7,0.847,0.096,0.488,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0116,liquefaction_uplift,7.5,0.426,2.98,56.8,3.6,0.64,0.06,0.446,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0117,liquefaction_uplift,6.29,0.135,0.0,63.2,0.0,0.604,0.029,0.356,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0118,liquefaction_uplift,6.62,0.483,2.0,47.9,12.4,0.719,0.081,0.363,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0119,liquefaction_uplift,6.83,0.424,1.89,82.3,5.5,0.696,0.043,0.451,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0120,liquefaction_uplift,6.55,0.455,1.21,45.3,13.9,0.64,0.043,0.277,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0121,liquefaction_uplift,6.86,0.425,3.09,33.3,0.0,0.845,0.105,0.472,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0122,liquefaction_uplift,7.16,0.402,1.0,70.9,10.1,0.703,0.081,0.369,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0123,liquefaction_uplift,7.32,0.397,2.95,57.0,12.1,0.808,0.097,0.573,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0124,liquefaction_uplift,7.31,0.188,1.5,63.1,21.7,0.524,0.058,0.192,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0125,liquefaction_uplift,6.86,0.563,2.92,22.0,8.8,0.98,0.118,0.466,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0126,liquefaction_uplift,6.76,0.277,2.77,60.3,13.6,0.541,0.081,0.309,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0127,liquefaction_uplift,7.07,0.425,1.68,32.2,5.1,0.763,0.119,0.429,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0128,liquefaction_uplift,6.55,0.316,1.82,44.4,14.7,0.678,0.039,0.398,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0129,liquefaction_uplift,5.93,0.323,0.43,48.9,2.3,0.649,0.051,0.38,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0130,liquefaction_uplift,7.05,0.118,2.39,26.0,14.1,0.486,0.038,0.1,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0131,liquefaction_uplift,6.69,0.34,3.4,24.4,9.1,0.833,0.122,0.643,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0132,liquefaction_uplift,7.27,0.379,3.96,61.4,8.7,0.517,0.026,0.159,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0133,liquefaction_uplift,6.98,0.291,1.94,64.8,9.7,0.608,0.046,0.214,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0134,liquefaction_uplift,6.62,0.1,2.26,57.3,5.2,0.576,0.052,0.209,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0135,liquefaction_uplift,7.37,0.263,0.5,57.1,20.3,0.543,0.075,0.245,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0136,liquefaction_uplift,6.88,0.337,0.7,36.0,14.8,0.818,0.099,0.594,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0137,liquefaction_uplift,7.81,0.291,1.94,62.0,12.3,0.71,0.065,0.459,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0138,liquefaction_uplift,5.7,0.294,1.38,71.2,8.7,0.676,0.083,0.459,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0139,liquefaction_uplift,5.91,0.298,0.0,41.3,8.5,0.753,0.076,0.43,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0140,liquefaction_uplift,6.67,0.136,2.32,53.5,18.5,0.457,0.063,0.18,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0141,liquefaction_uplift,6.74,0.515,1.79,46.8,27.3,0.823,0.104,0.423,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0142,liquefaction_uplift,6.5,0.334,1.37,100.0,23.8,0.604,0.079,0.248,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0143,liquefaction_uplift,6.83,0.169,1.16,35.1,0.0,0.704,0.065,0.301,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0144,liquefaction_uplift,6.41,0.297,2.55,66.7,14.6,0.553,0.061,0.295,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0145,liquefaction_uplift,7.19,0.308,2.59,84.3,21.0,0.628,0.075,0.315,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0146,liquefaction_uplift,6.88,0.239,3.39,73.7,17.2,0.531,0.056,0.344,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0147,liquefaction_uplift,7.09,0.1,1.58,37.3,0.2,0.596,0.051,0.37,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0148,liquefaction_uplift,7.33,0.64,2.18,40.7,14.5,0.689,0.071,0.443,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0149,liquefaction_uplift,6.61,0.55,0.13,66.8,4.3,0.767,0.096,0.427,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_LQ_0150,liquefaction_uplift,7.23,0.545,2.99,50.2,26.3,0.596,0.118,0.32,Liquefaction-induced uplift scenario,,,,,,,,,
CASE_CL_0001,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,0.52,134.9,28.8,16.51,17.5,9.76,0.734,0.825,1
CASE_CL_0002,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,2.2,187.0,7.0,17.17,16.5,5.94,0.873,0.723,1
CASE_CL_0003,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,2.44,103.4,27.1,15.72,14.1,9.26,0.577,1.06,0
CASE_CL_0004,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,0.89,188.6,18.7,16.56,20.1,10.54,0.894,0.785,1
CASE_CL_0005,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,-0.23,67.2,27.5,13.0,18.0,2.2,0.451,1.067,0
CASE_CL_0006,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,0.76,100.6,16.5,7.42,22.0,5.27,0.514,1.055,0
CASE_CL_0007,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,1.89,155.7,34.4,19.66,18.4,10.94,0.816,0.731,1
CASE_CL_0008,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,1.42,95.5,11.6,11.16,24.7,6.48,0.613,1.027,0
CASE_CL_0009,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,2.12,27.0,31.9,7.66,18.1,4.8,0.291,1.223,0
CASE_CL_0010,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,0.27,133.3,37.5,14.38,10.3,10.01,0.671,0.893,1
CASE_CL_0011,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,1.62,182.0,36.4,18.75,14.9,8.63,0.873,0.735,1
CASE_CL_0012,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,0.26,268.1,37.8,13.72,16.6,5.88,0.95,0.671,1
CASE_CL_0013,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,1.75,102.1,23.2,18.07,20.0,9.67,0.505,1.056,0
CASE_CL_0014,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,1.07,189.2,26.2,17.15,19.4,4.09,0.856,0.745,1
CASE_CL_0015,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,3.26,87.2,39.9,10.08,12.5,9.53,0.584,1.004,0
CASE_CL_0016,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,1.34,140.9,24.6,11.62,17.9,5.44,0.709,0.8,1
CASE_CL_0017,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,1.84,174.0,27.7,13.09,21.3,10.14,0.803,0.738,1
CASE_CL_0018,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,0.22,170.2,28.4,16.76,6.6,9.39,0.816,0.763,1
CASE_CL_0019,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,1.32,192.3,42.2,14.19,14.4,7.55,0.868,0.738,1
CASE_CL_0020,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,1.96,113.3,18.5,7.36,17.4,5.57,0.608,1.027,0
CASE_CL_0021,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,0.63,124.5,49.9,17.95,14.4,10.74,0.619,0.96,1
CASE_CL_0022,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,0.31,21.4,30.0,20.34,14.5,8.86,0.222,1.262,0
CASE_CL_0023,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,1.63,110.3,31.7,9.77,23.4,12.03,0.673,0.912,1
CASE_CL_0024,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,1.3,167.3,32.0,14.17,23.8,3.96,0.731,0.846,1
CASE_CL_0025,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,1.04,182.2,20.3,14.63,12.3,7.59,0.863,0.659,1
