year,scenario,entity_type,discount_rate,location
2036,base,commercial_real_estate,0.07,United States
2036,base,residential_owner,0.049999999999999996,United States
2036,base,utility_company,0.06,United States
2036,high,federal_government,0.04,United States
2036,high,commercial_real_estate,0.08,United States
2036,high,residential_owner,0.06,United States
2036,high,utility_company,0.07,United States
2037,low,federal_government,0.015000000000000001,United States
2037,low,commercial_real_estate,0.055,United States
2037,low,residential_owner,0.034999999999999996,United States
2037,low,utility_company,0.045,United States
2037,base,federal_government,0.030000000000000002,United States
2037,base,commercial_real_estate,0.07,United States
2037,base,residential_owner,0.049999999999999996,United States
2037,base,utility_company,0.06,United States
2037,high,federal_government,0.04,United States
2037,high,commercial_real_estate,0.08,United States
2037,high,residential_owner,0.06,United States
2037,high,utility_company,0.07,United States
2038,low,federal_government,0.015000000000000001,United States
2038,low,commercial_real_estate,0.055,United States
2038,low,residential_owner,0.034999999999999996,United States
2038,low,utility_company,0.045,United States
2038,base,federal_government,0.030000000000000002,United States
2038,base,commercial_real_estate,0.07,United States
2038,base,residential_owner,0.049999999999999996,United States
2038,base,utility_company,0.06,United States
2038,high,federal_government,0.04,United States
2038,high,commercial_real_estate,0.08,United States
2038,high,residential_owner,0.06,United States
2038,high,utility_company,0.07,United States
2039,low,federal_government,0.015000000000000001,United States
2039,low,commercial_real_estate,0.055,United States
2039,low,residential_owner,0.034999999999999996,United States
2039,low,utility_company,0.045,United States
2039,base,federal_government,0.030000000000000002,United States
2039,base,commercial_real_estate,0.07,United States
2039,base,residential_owner,0.049999999999999996,United States
2039,base,utility_company,0.06,United States
2039,high,federal_government,0.04,United States
2039,high,commercial_real_estate,0.08,United States
2039,high,residential_owner,0.06,United States
2039,high,utility_company,0.07,United States
2040,low,federal_government,0.015000000000000001,United States
2040,low,commercial_real_estate,0.055,United States
2040,low,residential_owner,0.034999999999999996,United States
2040,low,utility_company,0.045,United States
2040,base,federal_government,0.030000000000000002,United States
2040,base,commercial_real_estate,0.07,United States
2040,base,residential_owner,0.049999999999999996,United States
2040,base,utility_company,0.06,United States
2040,high,federal_government,0.04,United States
2040,high,commercial_real_estate,0.08,United States
2040,high,residential_owner,0.06,United States
2040,high,utility_company,0.07,United States
