element_id,n0,n1,n2,n3,n4,n5,n6,n7
229,238,239,264,263,863,864,889,888
230,239,240,265,264,864,865,890,889
231,240,241,266,265,865,866,891,890
232,241,242,267,266,866,867,892,891
233,242,243,268,267,867,868,893,892
234,243,244,269,268,868,869,894,893
235,244,245,270,269,869,870,895,894
236,245,246,271,270,870,871,896,895
237,246,247,272,271,871,872,897,896
238,247,248,273,272,872,873,898,897
239,248,249,274,273,873,874,899,898
240,250,251,276,275,875,876,901,900
241,251,252,277,276,876,877,902,901
242,252,253,278,277,877,878,903,902
243,253,254,279,278,878,879,904,903
244,254,255,280,279,879,880,905,904
245,255,256,281,280,880,881,906,905
246,256,257,282,281,881,882,907,906
247,257,258,283,282,882,883,908,907
248,258,259,284,283,883,884,909,908
249,259,260,285,284,884,885,910,909
250,260,261,286,285,885,886,911,910
251,261,262,287,286,886,887,912,911
252,262,263,288,287,887,888,913,912
253,263,264,289,288,888,889,914,913
254,264,265,290,289,889,890,915,914
255,265,266,291,290,890,891,916,915
256,266,267,292,291,891,892,917,916
257,267,268,293,292,892,893,918,917
258,268,269,294,293,893,894,919,918
259,269,270,295,294,894,895,920,919
260,270,271,296,295,895,896,921,920
261,271,272,297,296,896,897,922,921
262,272,273,298,297,897,898,923,922
263,273,274,299,298,898,899,924,923
264,275,276,301,300,900,901,926,925
265,276,277,302,301,901,902,927,926
266,277,278,303,302,902,903,928,927
267,278,279,304,303,903,904,929,928
268,279,280,305,304,904,905,930,929
269,280,281,306,305,905,906,931,930
270,281,282,307,306,906,907,932,931
271,282,283,308,307,907,908,933,932
272,283,284,309,308,908,909,934,933
273,284,285,310,309,909,910,935,934
274,285,286,311,310,910,911,936,935
275,286,287,312,311,911,912,937,936
276,287,288,313,312,912,913,938,937
277,288,289,314,313,913,914,939,938
278,289,290,315,314,914,915,940,939
279,290,291,316,315,915,916,941,940
280,291,292,317,316,916,917,942,941
281,292,293,318,317,917,918,943,942
282,293,294,319,318,918,919,944,943
283,294,295,320,319,919,920,945,944
284,295,296,321,320,920,921,946,945
285,296,297,322,321,921,922,947,946
286,297,298,323,322,922,923,948,947
287,298,299,324,323,923,924,949,948
288,300,301,326,325,925,926,951,950
289,301,302,327,326,926,927,952,951
290,302,303,328,327,927,928,953,952
291,303,304,329,328,928,929,954,953
292,304,305,330,329,929,930,955,954
293,305,306,331,330,930,931,956,955
294,306,307,332,331,931,932,957,956
295,307,308,333,332,932,933,958,957
296,308,309,334,333,933,934,959,958
297,309,310,335,334,934,935,960,959
298,310,311,336,335,935,936,961,960
299,311,312,337,336,936,937,962,961
300,312,313,338,337,937,938,963,962
301,313,314,339,338,938,939,964,963
302,314,315,340,339,939,940,965,964
303,315,316,341,340,940,941,966,965
304,316,317,342,341,941,942,967,966
305,317,318,343,342,942,943,968,967
306,318,319,344,343,943,944,969,968
307,319,320,345,344,944,945,970,969
308,320,321,346,345,945,946,971,970
309,321,322,347,346,946,947,972,971
310,322,323,348,347,947,948,973,972
311,323,324,349,348,948,949,974,973
312,325,326,351,350,950,951,976,975
313,326,327,352,351,951,952,977,976
314,327,328,353,352,952,953,978,977
315,328,329,354,353,953,954,979,978
316,329,330,355,354,954,955,980,979
317,330,331,356,355,955,956,981,980
318,331,332,357,356,956,957,982,981
319,332,333,358,357,957,958,983,982
320,333,334,359,358,958,959,984,983
321,334,335,360,359,959,960,985,984
322,335,336,361,360,960,961,986,985
323,336,337,362,361,961,962,987,986
324,337,338,363,362,962,963,988,987
325,338,339,364,363,963,964,989,988
326,339,340,365,364,964,965,990,989
327,340,341,366,365,965,966,991,990
328,341,342,367,366,966,967,992,991
329,342,343,368,367,967,968,993,992
330,343,344,369,368,968,969,994,993
331,344,345,370,369,969,970,995,994
332,345,346,371,370,970,971,996,995
333,346,347,372,371,971,972,997,996
334,347,348,373,372,972,973,998,997
335,348,349,374,373,973,974,999,998
336,350,351,376,375,975,976,1001,1000
337,351,352,377,376,976,977,1002,1001
338,352,353,378,377,977,978,1003,1002
339,353,354,379,378,978,979,1004,1003
340,354,355,380,379,979,980,1005,1004
341,355,356,381,380,980,981,1006,1005
342,356,357,382,381,981,982,1007,1006
343,357,358,383,382,982,983,1008,1007
344,358,359,384,383,983,984,1009,1008
345,359,360,385,384,984,985,1010,1009
346,360,361,386,385,985,986,1011,1010
347,361,362,387,386,986,987,1012,1011
348,362,363,388,387,987,988,1013,1012
349,363,364,389,388,988,989,1014,1013
350,364,365,390,389,989,990,1015,1014
351,365,366,391,390,990,991,1016,1015
352,366,367,392,391,991,992,1017,1016
353,367,368,393,392,992,993,1018,1017
354,368,369,394,393,993,994,1019,1018
355,369,370,395,394,994,995,1020,1019
356,370,371,396,395,995,996,1021,1020
357,371,372,397,396,996,997,1022,1021
358,372,373,398,397,997,998,1023,1022
359,373,374,399,398,998,999,1024,1023
360,375,376,401,400,1000,1001,1026,1025
361,376,377,402,401,1001,1002,1027,1026
362,377,378,403,402,1002,1003,1028,1027
363,378,379,404,403,1003,1004,1029,1028
364,379,380,405,404,1004,1005,1030,1029
365,380,381,406,405,1005,1006,1031,1030
366,381,382,407,406,1006,1007,1032,1031
367,382,383,408,407,1007,1008,1033,1032
368,383,384,409,408,1008,1009,1034,1033
369,384,385,410,409,1009,1010,1035,1034
370,385,386,411,410,1010,1011,1036,1035
371,386,387,412,411,1011,1012,1037,1036
372,387,388,413,412,1012,1013,1038,1037
373,388,389,414,413,1013,1014,1039,1038
374,389,390,415,414,1014,1015,1040,1039
375,390,391,416,415,1015,1016,1041,1040
376,391,392,417,416,1016,1017,1042,1041
377,392,393,418,417,1017,1018,1043,1042
378,393,394,419,418,1018,1019,1044,1043
379,394,395,420,419,1019,1020,1045,1044
380,395,396,421,420,1020,1021,1046,1045
381,396,397,422,421,1021,1022,1047,1046
382,397,398,423,422,1022,1023,1048,1047
383,398,399,424,423,1023,1024,1049,1048
384,400,401,426,425,1025,1026,1051,1050
385,401,402,427,426,1026,1027,1052,1051
386,402,403,428,427,1027,1028,1053,1052
387,403,404,429,428,1028,1029,1054,1053
388,404,405,430,429,1029,1030,1055,1054
389,405,406,431,430,1030,1031,1056,1055
390,406,407,432,431,1031,1032,1057,1056
391,407,408,433,432,1032,1033,1058,1057
392,408,409,434,433,1033,1034,1059,1058
393,409,410,435,434,1034,1035,1060,1059
394,410,411,436,435,1035,1036,1061,1060
395,411,412,437,436,1036,1037,1062,1061
396,412,413,438,437,1037,1038,1063,1062
397,413,414,439,438,1038,1039,1064,1063
398,414,415,440,439,1039,1040,1065,1064
399,415,416,441,440,1040,1041,1066,1065
400,416,417,442,441,1041,1042,1067,1066
401,417,418,443,442,1042,1043,1068,1067
402,418,419,444,443,1043,1044,1069,1068
403,419,420,445,444,1044,1045,1070,1069
404,420,421,446,445,1045,1046,1071,1070
405,421,422,447,446,1046,1047,1072,1071
406,422,423,448,447,1047,1048,1073,1072
407,423,424,449,448,1048,1049,1074,1073
408,425,426,451,450,1050,1051,1076,1075
409,426,427,452,451,1051,1052,1077,1076
410,427,428,453,452,1052,1053,1078,1077
411,428,429,454,453,1053,1054,1079,1078
412,429,430,455,454,1054,1055,1080,1079
413,430,431,456,455,1055,1056,1081,1080
414,431,432,457,456,1056,1057,1082,1081
415,432,433,458,457,1057,1058,1083,1082
416,433,434,459,458,1058,1059,1084,1083
417,434,435,460,459,1059,1060,1085,1084
418,435,436,461,460,1060,1061,1086,1085
419,436,437,462,461,1061,1062,1087,1086
420,437,438,463,462,1062,1063,1088,1087
421,438,439,464,463,1063,1064,1089,1088
422,439,440,465,464,1064,1065,1090,1089
423,440,441,466,465,1065,1066,1091,1090
424,441,442,467,466,1066,1067,1092,1091
425,442,443,468,467,1067,1068,1093,1092
426,443,444,469,468,1068,1069,1094,1093
427,444,445,470,469,1069,1070,1095,1094
428,445,446,471,470,1070,1071,1096,1095
429,446,447,472,471,1071,1072,1097,1096
430,447,448,473,472,1072,1073,1098,1097
431,448,449,474,473,1073,1074,1099,1098
432,450,451,476,475,1075,1076,1101,1100
433,451,452,477,476,1076,1077,1102,1101
434,452,453,478,477,1077,1078,1103,1102
435,453,454,479,478,1078,1079,1104,1103
436,454,455,480,479,1079,1080,1105,1104
437,455,456,481,480,1080,1081,1106,1105
438,456,457,482,481,1081,1082,1107,1106
439,457,458,483,482,1082,1083,1108,1107
440,458,459,484,483,1083,1084,1109,1108
441,459,460,485,484,1084,1085,1110,1109
442,460,461,486,485,1085,1086,1111,1110
443,461,462,487,486,1086,1087,1112,1111
444,462,463,488,487,1087,1088,1113,1112
445,463,464,489,488,1088,1089,1114,1113
446,464,465,490,489,1089,1090,1115,1114
447,465,466,491,490,1090,1091,1116,1115
448,466,467,492,491,1091,1092,1117,1116
449,467,468,493,492,1092,1093,1118,1117
450,468,469,494,493,1093,1094,1119,1118
451,469,470,495,494,1094,1095,1120,1119
452,470,471,496,495,1095,1096,1121,1120
453,471,472,497,496,1096,1097,1122,1121
454,472,473,498,497,1097,1098,1123,1122
455,473,474,499,498,1098,1099,1124,1123
456,475,476,501,500,1100,1101,1126,1125
457,476,477,502,501,1101,1102,1127,1126
458,477,478,503,502,1102,1103,1128,1127
459,478,479,504,503,1103,1104,1129,1128
460,479,480,505,504,1104,1105,1130,1129
461,480,481,506,505,1105,1106,1131,1130
462,481,482,507,506,1106,1107,1132,1131
463,482,483,508,507,1107,1108,1133,1132
464,483,484,509,508,1108,1109,1134,1133
465,484,485,510,509,1109,1110,1135,1134
466,485,486,511,510,1110,1111,1136,1135
467,486,487,512,511,1111,1112,1137,1136
468,487,488,513,512,1112,1113,1138,1137
469,488,489,514,513,1113,1114,1139,1138
470,489,490,515,514,1114,1115,1140,1139
471,490,491,516,515,1115,1116,1141,1140
472,491,492,517,516,1116,1117,1142,1141
473,492,493,518,517,1117,1118,1143,1142
474,493,494,519,518,1118,1119,1144,1143
475,494,495,520,519,1119,1120,1145,1144
476,495,496,521,520,1120,1121,1146,1145
477,496,497,522,521,1121,1122,1147,1146
478,497,498,523,522,1122,1123,1148,1147
479,498,499,524,523,1123,1124,1149,1148
480,500,501,526,525,1125,1126,1151,1150
481,501,502,527,526,1126,1127,1152,1151
482,502,503,528,527,1127,1128,1153,1152
483,503,504,529,528,1128,1129,1154,1153
484,504,505,530,529,1129,1130,1155,1154
485,505,506,531,530,1130,1131,1156,1155
486,506,507,532,531,1131,1132,1157,1156
487,507,508,533,532,1132,1133,1158,1157
488,508,509,534,533,1133,1134,1159,1158
489,509,510,535,534,1134,1135,1160,1159
490,510,511,536,535,1135,1136,1161,1160
491,511,512,537,536,1136,1137,1162,1161
492,512,513,538,537,1137,1138,1163,1162
493,513,514,539,538,1138,1139,1164,1163
494,514,515,540,539,1139,1140,1165,1164
495,515,516,541,540,1140,1141,1166,1165
496,516,517,542,541,1141,1142,1167,1166
497,517,518,543,542,1142,1143,1168,1167
498,518,519,544,543,1143,1144,1169,1168
499,519,520,545,544,1144,1145,1170,1169
500,520,521,546,545,1145,1146,1171,1170
501,521,522,547,546,1146,1147,1172,1171
502,522,523,548,547,1147,1148,1173,1172
503,523,524,549,548,1148,1149,1174,1173
504,525,526,551,550,1150,1151,1176,1175
505,526,527,552,551,1151,1152,1177,1176
506,527,528,553,552,1152,1153,1178,1177
507,528,529,554,553,1153,1154,1179,1178
508,529,530,555,554,1154,1155,1180,1179
509,530,531,556,555,1155,1156,1181,1180
510,531,532,557,556,1156,1157,1182,1181
511,532,533,558,557,1157,1158,1183,1182
512,533,534,559,558,1158,1159,1184,1183
513,534,535,560,559,1159,1160,1185,1184
514,535,536,561,560,1160,1161,1186,1185
515,536,537,562,561,1161,1162,1187,1186
516,537,538,563,562,1162,1163,1188,1187
517,538,539,564,563,1163,1164,1189,1188
518,539,540,565,564,1164,1165,1190,1189
519,540,541,566,565,1165,1166,1191,1190
520,541,542,567,566,1166,1167,1192,1191
521,542,543,568,567,1167,1168,1193,1192
522,543,544,569,568,1168,1169,1194,1193
523,544,545,570,569,1169,1170,1195,1194
524,545,546,571,570,1170,1171,1196,1195
525,546,547,572,571,1171,1172,1197,1196
526,547,548,573,572,1172,1173,1198,1197
527,548,549,574,573,1173,1174,1199,1198
528,550,551,576,575,1175,1176,1201,1200
529,551,552,577,576,1176,1177,1202,1201
530,552,553,578,577,1177,1178,1203,1202
531,553,554,579,578,1178,1179,1204,1203
532,554,555,580,579,1179,1180,1205,1204
533,555,556,581,580,1180,1181,1206,1205
534,556,557,582,581,1181,1182,1207,1206
535,557,558,583,582,1182,1183,1208,1207
536,558,559,584,583,1183,1184,1209,1208
537,559,560,585,584,1184,1185,1210,1209
538,560,561,586,585,1185,1186,1211,1210
539,561,562,587,586,1186,1187,1212,1211
540,562,563,588,587,1187,1188,1213,1212
541,563,564,589,588,1188,1189,1214,1213
542,564,565,590,589,1189,1190,1215,1214
543,565,566,591,590,1190,1191,1216,1215
544,566,567,592,591,1191,1192,1217,1216
545,567,568,593,592,1192,1193,1218,1217
546,568,569,594,593,1193,1194,1219,1218
547,569,570,595,594,1194,1195,1220,1219
548,570,571,596,595,1195,1196,1221,1220
549,571,572,597,596,1196,1197,1222,1221
550,572,573,598,597,1197,1198,1223,1222
551,573,574,599,598,1198,1199,1224,1223
552,575,576,601,600,1200,1201,1226,1225
553,576,577,602,601,1201,1202,1227,1226
554,577,578,603,602,1202,1203,1228,1227
555,578,579,604,603,1203,1204,1229,1228
556,579,580,605,604,1204,1205,1230,1229
557,580,581,606,605,1205,1206,1231,1230
558,581,582,607,606,1206,1207,1232,1231
559,582,583,608,607,1207,1208,1233,1232
560,583,584,609,608,1208,1209,1234,1233
561,584,585,610,609,1209,1210,1235,1234
562,585,586,611,610,1210,1211,1236,1235
563,586,587,612,611,1211,1212,1237,1236
564,587,588,613,612,1212,1213,1238,1237
565,588,589,614,613,1213,1214,1239,1238
566,589,590,615,614,1214,1215,1240,1239
567,590,591,616,615,1215,1216,1241,1240
568,591,592,617,616,1216,1217,1242,1241
569,592,593,618,617,1217,1218,1243,1242
570,593,594,619,618,1218,1219,1244,1243
571,594,595,620,619,1219,1220,1245,1244
572,595,596,621,620,1220,1221,1246,1245
573,596,597,622,621,1221,1222,1247,1246
574,597,598,623,622,1222,1223,1248,1247
575,598,599,624,623,1223,1224,1249,1248
576,625,626,651,650,1250,1251,1276,1275
577,626,627,652,651,1251,1252,1277,1276
578,627,628,653,652,1252,1253,1278,1277
579,628,629,654,653,1253,1254,1279,1278
580,629,630,655,654,1254,1255,1280,1279
581,630,631,656,655,1255,1256,1281,1280
582,631,632,657,656,1256,1257,1282,1281
583,632,633,658,657,1257,1258,1283,1282
584,633,634,659,658,1258,1259,1284,1283
585,634,635,660,659,1259,1260,1285,1284
586,635,636,661,660,1260,1261,1286,1285
587,636,637,662,661,1261,1262,1287,1286
588,637,638,663,662,1262,1263,1288,1287
589,638,639,664,663,1263,1264,1289,1288
590,639,640,665,664,1264,1265,1290,1289
591,640,641,666,665,1265,1266,1291,1290
592,641,642,667,666,1266,1267,1292,1291
593,642,643,668,667,1267,1268,1293,1292
594,643,644,669,668,1268,1269,1294,1293
595,644,645,670,669,1269,1270,1295,1294
596,645,646,671,670,1270,1271,1296,1295
597,646,647,672,671,1271,1272,1297,1296
598,647,648,673,672,1272,1273,1298,1297
599,648,649,674,673,1273,1274,1299,1298
600,650,651,676,675,1275,1276,1301,1300
601,651,652,677,676,1276,1277,1302,1301
602,652,653,678,677,1277,1278,1303,1302
603,653,654,679,678,1278,1279,1304,1303
604,654,655,680,679,1279,1280,1305,1304
605,655,656,681,680,1280,1281,1306,1305
606,656,657,682,681,1281,1282,1307,1306
607,657,658,683,682,1282,1283,1308,1307
608,658,659,684,683,1283,1284,1309,1308
609,659,660,685,684,1284,1285,1310,1309
610,660,661,686,685,1285,1286,1311,1310
611,661,662,687,686,1286,1287,1312,1311
612,662,663,688,687,1287,1288,1313,1312
613,663,664,689,688,1288,1289,1314,1313
614,664,665,690,689,1289,1290,1315,1314
615,665,666,691,690,1290,1291,1316,1315
616,666,667,692,691,1291,1292,1317,1316
617,667,668,693,692,1292,1293,1318,1317
618,668,669,694,693,1293,1294,1319,1318
619,669,670,695,694,1294,1295,1320,1319
620,670,671,696,695,1295,1296,1321,1320
621,671,672,697,696,1296,1297,1322,1321
622,672,673,698,697,1297,1298,1323,1322
623,673,674,699,698,1298,1299,1324,1323
624,675,676,701,700,1300,1301,1326,1325
625,676,677,702,701,1301,1302,1327,1326
626,677,678,703,702,1302,1303,1328,1327
627,678,679,704,703,1303,1304,1329,1328
628,679,680,705,704,1304,1305,1330,1329
629,680,681,706,705,1305,1306,1331,1330
630,681,682,707,706,1306,1307,1332,1331
631,682,683,708,707,1307,1308,1333,1332
632,683,684,709,708,1308,1309,1334,1333
633,684,685,710,709,1309,1310,1335,1334
634,685,686,711,710,1310,1311,1336,1335
635,686,687,712,711,1311,1312,1337,1336
636,687,688,713,712,1312,1313,1338,1337
637,688,689,714,713,1313,1314,1339,1338
638,689,690,715,714,1314,1315,1340,1339
639,690,691,716,715,1315,1316,1341,1340
640,691,692,717,716,1316,1317,1342,1341
641,692,693,718,717,1317,1318,1343,1342
642,693,694,719,718,1318,1319,1344,1343
643,694,695,720,719,1319,1320,1345,1344
644,695,696,721,720,1320,1321,1346,1345
645,696,697,722,721,1321,1322,1347,1346
646,697,698,723,722,1322,1323,1348,1347
647,698,699,724,723,1323,1324,1349,1348
648,700,701,726,725,1325,1326,1351,1350
649,701,702,727,726,1326,1327,1352,1351
650,702,703,728,727,1327,1328,1353,1352
651,703,704,729,728,1328,1329,1354,1353
652,704,705,730,729,1329,1330,1355,1354
653,705,706,731,730,1330,1331,1356,1355
654,706,707,732,731,1331,1332,1357,1356
655,707,708,733,732,1332,1333,1358,1357
656,708,709,734,733,1333,1334,1359,1358
657,709,710,735,734,1334,1335,1360,1359
658,710,711,736,735,1335,1336,1361,1360
659,711,712,737,736,1336,1337,1362,1361
660,712,713,738,737,1337,1338,1363,1362
661,713,714,739,738,1338,1339,1364,1363
662,714,715,740,739,1339,1340,1365,1364
663,715,716,741,740,1340,1341,1366,1365
664,716,717,742,741,1341,1342,1367,1366
665,717,718,743,742,1342,1343,1368,1367
666,718,719,744,743,1343,1344,1369,1368
667,719,720,745,744,1344,1345,1370,1369
668,720,721,746,745,1345,1346,1371,1370
669,721,722,747,746,1346,1347,1372,1371
670,722,723,748,747,1347,1348,1373,1372
671,723,724,749,748,1348,1349,1374,1373
672,725,726,751,750,1350,1351,1376,1375
673,726,727,752,751,1351,1352,1377,1376
674,727,728,753,752,1352,1353,1378,1377
675,728,729,754,753,1353,1354,1379,1378
676,729,730,755,754,1354,1355,1380,1379
677,730,731,756,755,1355,1356,1381,1380
678,731,732,757,756,1356,1357,1382,1381
679,732,733,758,757,1357,1358,1383,1382
680,733,734,759,758,1358,1359,1384,1383
681,734,735,760,759,1359,1360,1385,1384
682,735,736,761,760,1360,1361,1386,1385
683,736,737,762,761,1361,1362,1387,1386
684,737,738,763,762,1362,1363,1388,1387
685,738,739,764,763,1363,1364,1389,1388
686,739,740,765,764,1364,1365,1390,1389
687,740,741,766,765,1365,1366,1391,1390
688,741,742,767,766,1366,1367,1392,1391
689,742,743,768,767,1367,1368,1393,1392
690,743,744,769,768,1368,1369,1394,1393
691,744,745,770,769,1369,1370,1395,1394
692,745,746,771,770,1370,1371,1396,1395
693,746,747,772,771,1371,1372,1397,1396
694,747,748,773,772,1372,1373,1398,1397
695,748,749,774,773,1373,1374,1399,1398
696,750,751,776,775,1375,1376,1401,1400
