X_um,Y_YSZ_GDC_interface_um,Y_GDC_LSCF_interface_um,Phase_field_d_YSZ_GDC,Phase_field_d_GDC_LSCF
15.226,0.1913,0.003,0.3826,0.006
15.377,0.1747,-0.042,0.3495,0.084
15.528,0.1902,-0.0082,0.3804,0.0165
15.678,0.1751,-0.0416,0.3503,0.0832
15.829,0.1159,0.0053,0.2319,0.0107
15.98,0.1167,-0.0276,0.2334,0.0551
16.131,0.1034,0.0106,0.2067,0.0211
16.281,0.0927,0.0094,0.1854,0.0188
16.432,0.0967,-0.0408,0.1933,0.0816
16.583,0.0887,-0.0699,0.1773,0.1399
16.734,0.0883,-0.0292,0.1766,0.0585
16.884,0.0455,-0.0153,0.091,0.0306
17.035,0.0253,-0.0171,0.0506,0.0343
17.186,0.0507,-0.0811,0.1014,0.1623
17.337,0.0478,-0.0383,0.0956,0.0765
17.487,0.0136,0.0173,0.0273,0.0346
17.638,-0.0074,0.0659,0.0149,0.1318
17.789,-0.0259,0.046,0.0518,0.0921
17.94,-0.0227,0.0558,0.0454,0.1116
18.09,-0.0298,-0.1256,0.0595,0.2511
18.241,-0.0408,-0.1662,0.0816,0.3325
18.392,-0.0387,-0.1161,0.0774,0.2321
18.543,-0.0277,-0.1254,0.0553,0.2507
18.693,-0.0312,-0.1335,0.0624,0.267
18.844,-0.0406,-0.1219,0.0811,0.2437
18.995,-0.0466,-0.1179,0.0931,0.2357
19.146,-0.0378,-0.0872,0.0755,0.1745
19.296,-0.036,-0.0998,0.072,0.1997
19.447,-0.0196,-0.0692,0.0393,0.1384
19.598,-0.0405,-0.0741,0.081,0.1482
19.749,-0.0532,-0.047,0.1064,0.0941
19.899,-0.0359,-0.0535,0.0717,0.107
20.05,-0.0493,-0.0697,0.0986,0.1395
20.201,-0.0205,-0.012,0.0411,0.024
20.352,0.0072,0.0194,0.0144,0.0387
20.503,0.0333,-0.0334,0.0666,0.0668
20.653,0.0149,-0.0454,0.0298,0.0908
20.804,0.0156,-0.009,0.0312,0.0179
20.955,0.0054,-0.0435,0.0109,0.087
21.106,0.0227,-0.0198,0.0454,0.0395
21.256,0.054,0.0002,0.108,0.0005
21.407,0.0679,-0.0201,0.1358,0.0402
21.558,0.0647,-0.0198,0.1294,0.0395
21.709,0.0545,-0.08,0.109,0.16
21.859,0.0641,-0.0261,0.1282,0.0522
22.01,0.0377,-0.0343,0.0753,0.0686
22.161,0.046,-0.0099,0.092,0.0197
22.312,0.0263,0.0083,0.0526,0.0166
22.462,0.0368,0.0476,0.0735,0.0951
22.613,-0.2531,0.0335,0.5062,0.067
22.764,-0.2183,0.0384,0.4365,0.0769
22.915,-0.1907,0.0536,0.3815,0.1071
23.065,-0.1773,0.0773,0.3546,0.1547
23.216,-0.1959,0.1086,0.3917,0.2172
23.367,-0.2056,0.0915,0.4112,0.1829
23.518,-0.1812,0.0694,0.3625,0.1388
23.668,-0.2047,0.1069,0.4093,0.2138
23.819,-0.1922,0.0444,0.3844,0.0888
23.97,-0.1636,0.0888,0.3271,0.1775
24.121,-0.1525,0.5623,0.305,1.0
24.271,-0.1563,0.5453,0.3126,1.0
24.422,-0.1646,0.5752,0.3291,1.0
24.573,-0.1408,0.5717,0.2816,1.0
24.724,-0.1248,0.5734,0.2496,1.0
24.874,-0.124,0.5718,0.248,1.0
25.025,-0.0976,0.5791,0.1951,1.0
25.176,-0.0765,0.5947,0.1529,1.0
25.327,-0.0387,0.5611,0.0773,1.0
25.477,-0.0259,0.503,0.0519,1.0
25.628,-0.0278,0.4632,0.0556,0.9265
25.779,-0.0291,0.448,0.0582,0.896
25.93,-0.0644,0.36,0.1288,0.7199
26.08,-0.0583,0.3824,0.1166,0.7648
26.231,-0.0557,0.3157,0.1114,0.6315
26.382,-0.0782,0.3237,0.1564,0.6474
26.533,-0.0748,0.3091,0.1495,0.6182
26.683,-0.0455,0.3081,0.091,0.6163
26.834,-0.0572,0.2852,0.1144,0.5703
26.985,-0.0726,0.2829,0.1451,0.5658
27.136,-0.0479,0.2607,0.0959,0.5214
27.286,-0.0335,0.2367,0.067,0.4734
27.437,0.0263,0.2035,0.0527,0.407
27.588,-0.0,0.2418,0.0001,0.4836
27.739,0.0137,0.2452,0.0273,0.4904
27.889,0.019,0.2439,0.038,0.4879
28.04,0.0192,0.2111,0.0383,0.4223
28.191,0.0355,0.198,0.071,0.396
28.342,0.0332,0.1633,0.0663,0.3266
28.492,-0.0053,0.1441,0.0106,0.2882
28.643,-0.0211,0.1046,0.0423,0.2092
28.794,0.0059,0.1477,0.0117,0.2954
28.945,0.0278,0.1213,0.0557,0.2425
29.095,0.0193,0.0922,0.0387,0.1843
29.246,0.028,0.0508,0.0559,0.1016
29.397,0.0794,0.0269,0.1589,0.0537
29.548,0.0749,0.0116,0.1498,0.0233
29.698,0.0709,0.0099,0.1418,0.0197
29.849,0.071,-0.0092,0.142,0.0184
30.0,0.079,-0.0555,0.158,0.111
