temperature_step,temperature_C,x_cm,y_cm,ux_um,uy_um,uz_um
0,25.0,0.8894,0.5816,-0.044,0.061,0.014
0,25.0,1.1441,0.1589,-0.082,-0.036,-0.019
0,25.0,0.9239,0.6293,-0.025,0.003,0.074
0,25.0,1.6723,0.9373,-0.043,-0.125,0.07
0,25.0,1.0634,1.1221,0.177,-0.062,0.046
0,25.0,1.5456,1.8554,0.129,0.041,0.02
0,25.0,1.7555,0.0464,0.007,-0.115,0.04
0,25.0,0.8157,0.8835,0.251,0.116,0.054
0,25.0,0.1932,1.4294,0.015,-0.058,0.048
0,25.0,1.0435,0.8358,0.073,0.165,0.12
0,25.0,0.6086,1.9376,0.113,-0.266,-0.013
0,25.0,1.3885,0.8438,0.172,-0.05,-0.03
0,25.0,1.8264,0.7301,0.083,-0.12,-0.002
0,25.0,1.7899,1.5808,-0.118,0.023,-0.056
0,25.0,0.7894,1.6855,0.048,0.019,-0.055
0,25.0,0.6132,0.2765,-0.053,-0.205,-0.019
0,25.0,0.952,1.5906,0.075,-0.045,0.048
0,25.0,0.8453,0.3136,-0.007,0.044,0.029
0,25.0,1.4307,0.9326,0.033,-0.109,0.06
0,25.0,1.3275,0.2559,-0.063,0.018,0.004
0,25.0,1.9351,1.8617,-0.054,-0.066,0.032
0,25.0,1.1355,1.6101,0.066,0.126,0.004
0,25.0,1.2319,1.0457,0.102,0.152,-0.056
0,25.0,0.2665,0.3118,-0.005,0.127,-0.039
0,25.0,0.043,0.5073,-0.127,0.024,-0.084
0,25.0,0.0171,1.8287,-0.023,0.06,0.06
0,25.0,1.2701,1.9926,-0.147,0.022,-0.036
0,25.0,0.9219,1.4924,-0.199,-0.079,-0.059
0,25.0,0.8891,0.2797,-0.034,-0.065,-0.06
0,25.0,1.3033,1.3412,0.189,-0.056,0.121
0,25.0,0.3197,1.117,-0.033,0.076,0.028
0,25.0,0.8382,0.13,0.094,0.126,0.058
0,25.0,1.935,0.4582,-0.072,-0.046,0.078
0,25.0,0.913,0.4405,0.058,0.039,0.013
0,25.0,1.8735,0.8118,-0.04,0.088,-0.016
0,25.0,0.0289,1.3987,0.001,0.05,0.053
0,25.0,0.9717,1.212,0.023,0.098,0.02
0,25.0,1.5094,1.7692,-0.079,0.073,-0.097
0,25.0,1.8732,0.0809,-0.013,0.195,0.019
0,25.0,1.8832,0.1141,-0.021,0.168,0.063
0,25.0,0.9169,1.6022,-0.072,0.103,0.022
0,25.0,0.7233,1.4497,-0.074,-0.145,-0.072
0,25.0,0.6759,1.3142,0.12,0.101,-0.024
0,25.0,0.0894,0.3746,0.046,0.148,-0.101
0,25.0,1.0217,0.1249,0.05,0.014,-0.052
0,25.0,1.3578,1.6813,0.016,0.064,0.026
0,25.0,0.0543,0.1256,0.066,0.106,0.044
0,25.0,1.1957,1.3689,0.094,0.122,-0.003
0,25.0,0.6183,0.8177,0.18,-0.04,-0.063
0,25.0,1.8272,1.5412,-0.115,0.052,-0.094
0,25.0,1.0296,1.5564,0.081,0.1,-0.003
0,25.0,0.4432,1.6193,0.075,0.064,-0.024
0,25.0,1.1532,1.6234,0.174,0.018,0.064
0,25.0,0.2927,1.4844,-0.03,0.062,-0.028
0,25.0,1.9636,1.8615,-0.048,0.025,0.085
0,25.0,0.2884,0.2906,-0.035,-0.128,0.021
0,25.0,1.0606,1.9574,0.042,0.106,0.072
0,25.0,0.1125,0.0693,-0.041,0.129,0.012
0,25.0,0.4281,0.6884,0.034,-0.091,-0.006
0,25.0,0.676,0.2299,0.115,0.054,-0.002
0,25.0,0.396,0.2434,-0.045,0.052,-0.016
0,25.0,1.0454,0.1206,0.088,-0.022,-0.025
0,25.0,1.1308,0.8642,0.089,-0.125,0.026
0,25.0,1.3929,1.8344,0.053,-0.09,0.03
0,25.0,1.8795,0.3427,-0.009,-0.074,0.046
0,25.0,0.9154,0.8096,-0.008,0.135,0.057
0,25.0,0.109,0.5021,0.134,0.005,0.067
0,25.0,0.6239,1.9279,0.047,-0.041,-0.028
0,25.0,0.0033,0.4169,0.068,0.102,0.036
0,25.0,0.8085,0.9817,0.153,0.224,-0.009
0,25.0,1.4658,0.6246,0.121,-0.003,-0.014
0,25.0,0.6404,1.5001,-0.011,-0.029,-0.002
0,25.0,0.0563,1.4735,-0.138,-0.054,0.009
0,25.0,1.1172,0.5218,-0.13,-0.043,-0.035
0,25.0,0.0477,0.4571,-0.145,-0.193,0.012
0,25.0,0.3317,1.9037,0.203,-0.025,0.053
0,25.0,1.9695,0.4592,0.055,0.042,0.065
0,25.0,1.1618,0.6266,-0.118,-0.081,-0.04
0,25.0,1.7125,1.5338,0.026,-0.006,0.059
0,25.0,1.7468,0.0006,-0.02,-0.098,0.012
0,25.0,1.3487,0.25,-0.017,-0.103,-0.048
0,25.0,0.7179,0.7369,0.073,-0.006,-0.044
0,25.0,1.5537,0.1605,0.031,0.008,0.039
0,25.0,0.8607,1.1758,-0.023,0.069,0.096
0,25.0,1.4461,1.7511,0.082,0.05,-0.064
0,25.0,0.4338,1.6163,0.195,0.023,0.044
0,25.0,1.0226,1.9521,-0.128,-0.061,0.13
0,25.0,1.8135,1.3248,-0.189,0.028,-0.013
0,25.0,0.1284,0.9594,-0.062,-0.005,-0.007
0,25.0,0.3916,1.2468,0.143,0.071,0.001
0,25.0,1.712,0.1532,0.164,0.082,-0.012
0,25.0,1.7444,1.9431,0.053,-0.086,0.071
0,25.0,1.1655,1.9367,0.054,0.146,-0.092
0,25.0,0.4703,1.8103,-0.012,0.094,-0.08
0,25.0,0.6104,0.273,-0.096,0.09,-0.017
0,25.0,0.3418,0.801,-0.117,0.107,-0.002
0,25.0,0.6859,1.3417,0.074,-0.013,-0.013
0,25.0,1.3991,0.8872,0.031,0.139,-0.007
0,25.0,0.8837,1.7824,0.067,-0.139,0.058
0,25.0,0.8412,1.5452,0.012,0.048,0.029
0,25.0,1.2866,0.6162,-0.095,-0.057,0.035
0,25.0,0.2262,0.3429,0.136,0.042,0.002
0,25.0,1.001,0.6185,0.182,-0.006,-0.018
0,25.0,0.6919,1.32,-0.019,-0.103,-0.028
0,25.0,0.2505,1.5951,0.042,0.031,0.06
0,25.0,1.496,1.8359,-0.048,-0.044,-0.068
0,25.0,1.3515,1.0201,-0.052,-0.034,-0.013
0,25.0,0.4747,1.3807,-0.043,-0.046,0.069
0,25.0,0.707,0.6658,-0.012,0.052,0.011
0,25.0,1.5861,0.9542,-0.028,-0.179,-0.011
0,25.0,0.1647,1.0811,-0.076,-0.125,-0.015
0,25.0,1.0557,0.8743,0.109,-0.026,0.071
0,25.0,1.622,0.9145,0.084,-0.02,-0.0
0,25.0,0.8193,0.9445,0.031,0.081,-0.03
0,25.0,0.4747,1.7759,0.032,-0.033,0.094
0,25.0,1.0783,1.4872,0.062,-0.021,0.018
0,25.0,0.2661,1.0339,0.051,0.007,-0.017
0,25.0,1.4834,1.3917,0.018,-0.123,-0.077
0,25.0,0.7483,1.7046,-0.08,-0.103,0.006
0,25.0,1.0679,0.6148,-0.024,0.081,-0.059
0,25.0,0.0594,1.78,-0.037,-0.157,-0.053
0,25.0,1.0762,0.1894,-0.061,0.113,0.03
0,25.0,0.8409,0.1855,-0.03,0.01,0.063
0,25.0,1.7663,0.4743,-0.073,-0.021,0.033
0,25.0,0.0676,0.2332,0.046,0.029,0.017
0,25.0,0.4914,0.226,-0.135,0.136,-0.089
0,25.0,1.7879,1.0062,0.234,0.061,-0.054
0,25.0,0.2565,1.8715,-0.016,0.102,-0.016
0,25.0,1.5242,0.0673,0.008,0.084,0.082
0,25.0,1.587,1.363,-0.111,-0.207,0.008
0,25.0,0.0935,0.1543,0.051,0.169,-0.026
0,25.0,0.1353,1.1546,0.215,-0.031,-0.016
0,25.0,0.9611,1.5478,0.023,-0.081,0.007
0,25.0,1.7969,1.262,0.02,0.111,0.088
0,25.0,0.687,0.8903,0.02,0.031,-0.071
0,25.0,0.7993,1.3048,0.06,0.053,-0.051
0,25.0,0.7186,1.4479,0.11,-0.021,0.055
0,25.0,1.2728,0.4954,0.008,0.001,-0.061
0,25.0,0.4812,0.8832,0.146,-0.152,-0.062
0,25.0,1.3326,0.6652,-0.098,0.028,-0.049
0,25.0,0.9794,0.8043,0.087,0.098,0.013
0,25.0,0.4401,1.5125,0.002,0.138,-0.007
0,25.0,0.8928,0.131,-0.072,0.011,0.009
0,25.0,0.7351,0.9337,0.054,0.096,0.088
0,25.0,0.4539,0.0907,0.114,-0.023,-0.009
0,25.0,1.7553,1.4629,0.011,0.252,-0.11
0,25.0,1.3187,0.4804,0.065,0.018,-0.001
0,25.0,1.5792,1.8835,-0.054,-0.063,0.075
0,25.0,1.5194,1.8079,0.111,-0.109,0.05
0,25.0,0.7355,1.1534,0.191,0.305,0.03
0,25.0,0.0316,1.6361,-0.065,-0.106,-0.053
0,25.0,0.4795,1.0593,-0.001,-0.223,0.039
0,25.0,1.036,0.3005,0.101,0.14,-0.03
0,25.0,1.0173,0.9923,0.084,0.061,0.011
0,25.0,0.6331,1.413,0.092,0.095,0.007
0,25.0,1.9116,1.9334,-0.193,0.103,-0.061
0,25.0,0.9773,1.0381,0.114,0.293,-0.027
0,25.0,0.7598,0.1761,-0.009,0.062,-0.045
0,25.0,0.5643,0.3752,-0.092,-0.184,0.015
0,25.0,0.3409,1.4612,0.092,-0.038,-0.083
0,25.0,1.845,1.0249,0.047,0.007,0.051
0,25.0,1.1258,1.144,-0.011,0.139,-0.003
0,25.0,0.0088,0.803,0.026,-0.068,0.08
0,25.0,0.7856,0.4545,0.0,-0.094,-0.04
0,25.0,1.5879,0.9142,0.03,0.081,0.012
0,25.0,1.0108,0.4026,-0.01,0.127,0.047
0,25.0,0.8586,0.4405,-0.064,0.194,0.13
0,25.0,0.7949,1.3014,-0.023,0.053,-0.115
0,25.0,1.1847,0.2418,0.118,-0.126,-0.018
0,25.0,1.3373,1.9958,0.162,0.217,-0.042
0,25.0,0.085,1.4196,-0.03,0.083,-0.019
0,25.0,1.6178,0.0049,-0.008,0.156,-0.052
0,25.0,1.3061,1.6429,-0.017,-0.13,0.025
0,25.0,0.2939,1.6543,-0.021,0.054,0.021
0,25.0,1.8229,1.3225,-0.142,0.046,-0.008
0,25.0,0.5506,1.8129,-0.023,-0.028,0.046
0,25.0,0.9448,0.9683,0.244,0.071,0.036
0,25.0,1.8659,0.5317,0.009,0.037,0.007
0,25.0,1.3507,1.8231,0.063,-0.086,0.075
0,25.0,1.5833,1.5277,-0.038,0.008,-0.058
0,25.0,0.4183,0.9265,0.05,0.024,-0.028
0,25.0,0.3581,1.1325,0.179,0.004,0.058
0,25.0,1.3301,1.2917,0.047,0.0,0.018
0,25.0,0.9609,1.4824,-0.108,-0.117,-0.042
0,25.0,1.5685,0.9144,-0.075,-0.035,-0.07
0,25.0,1.3487,0.5711,-0.008,0.05,0.047
0,25.0,1.7989,0.3289,0.03,0.039,0.049
0,25.0,1.6092,1.117,-0.047,-0.085,0.043
0,25.0,1.7944,1.6612,0.165,-0.132,0.038
0,25.0,1.9162,1.1848,-0.04,-0.074,-0.091
0,25.0,0.6502,0.833,0.024,-0.034,-0.065
0,25.0,1.8442,0.2064,-0.059,0.208,-0.005
0,25.0,1.9637,0.8184,0.027,-0.005,0.031
0,25.0,1.161,0.4382,0.075,0.117,0.12
0,25.0,1.486,1.5624,-0.094,-0.136,0.036
0,25.0,1.3357,0.4728,0.149,0.03,0.007
0,25.0,0.1375,0.565,-0.178,-0.04,0.053
0,25.0,1.336,1.3341,0.251,0.104,-0.015
0,25.0,0.7958,1.6003,0.127,0.214,-0.049
0,25.0,0.8478,1.3145,0.118,0.086,0.013
0,25.0,0.0402,1.7442,0.192,-0.127,0.007
0,25.0,0.5315,0.2944,-0.155,0.032,0.033
0,25.0,1.5855,1.367,-0.147,0.207,0.046
0,25.0,1.1332,1.8597,0.087,0.125,-0.002
0,25.0,0.8254,1.1148,0.097,0.057,0.014
0,25.0,1.9556,1.7871,0.014,-0.23,0.055
0,25.0,1.5255,0.203,-0.067,0.056,0.057
0,25.0,1.1698,1.4184,0.076,0.007,0.078
0,25.0,1.3477,1.2925,0.138,0.138,-0.018
0,25.0,1.803,1.5809,0.154,-0.046,0.049
0,25.0,1.2495,1.1237,0.012,-0.036,-0.106
0,25.0,0.3773,0.7016,0.102,-0.037,0.012
0,25.0,1.004,0.7835,0.225,0.156,-0.013
0,25.0,1.099,1.1116,-0.059,0.092,-0.017
0,25.0,0.4459,1.1268,0.148,0.166,0.069
0,25.0,1.5621,0.7659,0.053,-0.038,-0.014
0,25.0,0.6121,0.6851,0.168,0.034,-0.01
0,25.0,1.1145,1.4819,0.126,0.02,0.018
0,25.0,0.69,0.159,0.007,0.208,-0.056
0,25.0,1.8909,0.6399,0.029,0.018,0.006
0,25.0,0.9632,0.5098,0.191,-0.003,0.067
0,25.0,1.4079,1.8947,0.113,0.054,-0.027
0,25.0,1.4554,0.6267,-0.137,0.09,0.002
0,25.0,0.8041,0.8801,0.005,-0.126,0.014
0,25.0,0.1446,0.9245,-0.015,-0.065,0.019
0,25.0,1.9643,0.2469,0.112,0.068,0.015
0,25.0,0.1963,1.8765,-0.153,0.11,0.004
0,25.0,0.2403,1.1729,-0.052,0.158,0.016
0,25.0,1.5365,1.4241,0.07,0.101,-0.036
0,25.0,0.1245,1.1879,0.043,-0.015,0.021
0,25.0,1.0288,0.484,-0.074,0.186,0.062
0,25.0,0.341,0.5947,0.049,-0.082,-0.019
0,25.0,1.9092,0.2788,-0.139,-0.077,-0.039
0,25.0,1.4461,1.7445,0.114,-0.053,0.092
0,25.0,1.7668,0.3961,-0.035,0.039,0.046
0,25.0,0.9653,1.8769,0.034,0.056,-0.104
0,25.0,0.2446,0.7558,-0.075,-0.098,0.064
0,25.0,1.9914,0.6314,-0.061,-0.023,-0.063
0,25.0,0.5049,1.151,0.017,0.01,0.065
0,25.0,0.563,0.2799,-0.114,-0.03,0.029
0,25.0,1.5513,0.4591,0.026,-0.133,-0.0
0,25.0,0.9577,1.5486,0.039,-0.267,-0.116
0,25.0,1.814,1.8989,0.016,-0.119,0.024
0,25.0,0.9164,1.1688,0.092,0.126,-0.02
0,25.0,0.7546,0.4349,-0.031,-0.016,-0.034
0,25.0,0.6162,1.1507,-0.039,-0.068,-0.079
0,25.0,1.3754,1.3591,0.102,-0.013,0.022
0,25.0,0.3953,0.501,-0.131,0.046,0.034
0,25.0,0.1129,1.8796,0.176,-0.208,-0.0
0,25.0,0.9354,1.2824,-0.013,0.011,-0.018
0,25.0,1.1639,0.077,-0.128,-0.051,-0.013
0,25.0,1.7352,1.2988,0.155,0.077,-0.099
0,25.0,1.1733,1.6828,-0.194,0.154,0.103
0,25.0,1.4478,1.9879,-0.031,-0.007,0.007
0,25.0,1.5879,0.8264,-0.129,0.047,-0.008
0,25.0,1.277,0.4688,0.117,0.177,-0.101
0,25.0,0.109,1.6508,-0.014,-0.021,0.003
0,25.0,0.8343,0.01,0.018,0.109,-0.011
0,25.0,0.6206,1.8367,-0.027,0.004,0.021
0,25.0,1.0239,0.1552,0.131,0.03,0.005
0,25.0,1.6648,0.3697,-0.069,0.088,0.059
0,25.0,0.5663,1.1919,-0.145,0.093,-0.002
0,25.0,0.9422,1.968,0.254,-0.036,0.041
0,25.0,0.8683,1.1341,0.059,-0.035,-0.026
0,25.0,0.775,0.1063,-0.053,-0.011,0.092
0,25.0,0.8978,0.0388,-0.089,-0.046,0.008
0,25.0,1.27,1.5104,0.174,-0.072,-0.034
0,25.0,1.5405,0.7453,0.115,-0.198,0.017
0,25.0,1.5842,0.278,-0.072,0.186,0.006
0,25.0,0.5482,1.6058,0.054,0.178,0.083
0,25.0,0.3721,1.3549,0.11,-0.07,0.067
0,25.0,1.7535,1.7904,-0.052,0.067,-0.017
0,25.0,1.6892,0.5217,-0.072,0.132,0.009
0,25.0,0.18,0.9907,-0.011,0.119,-0.026
0,25.0,1.4155,1.6547,-0.006,0.11,0.079
0,25.0,0.9635,1.3474,0.097,0.082,0.03
0,25.0,1.6963,0.6554,-0.006,0.09,-0.032
0,25.0,0.7283,1.6671,-0.086,0.006,0.011
0,25.0,1.2419,0.6018,0.157,0.055,0.007
0,25.0,0.0859,0.9587,0.084,0.028,-0.086
0,25.0,1.6498,1.8431,0.028,-0.132,0.009
0,25.0,0.107,0.9514,-0.138,0.011,0.077
0,25.0,1.0267,1.2672,0.045,-0.021,0.009
0,25.0,0.3099,0.2221,-0.009,0.069,-0.037
0,25.0,1.0268,1.4514,0.068,-0.091,0.085
0,25.0,0.5863,1.449,-0.212,0.013,-0.013
0,25.0,1.6033,1.7099,0.109,-0.116,-0.027
0,25.0,1.5911,0.7649,0.107,-0.17,-0.071
0,25.0,1.3375,1.8082,-0.015,-0.064,-0.003
0,25.0,0.8733,1.7807,0.083,0.091,-0.022
0,25.0,1.0767,0.6258,0.02,-0.004,0.047
0,25.0,0.1381,0.6292,0.081,-0.038,-0.055
0,25.0,1.4306,0.2917,0.059,0.019,0.029
0,25.0,1.406,1.0388,0.109,0.021,-0.006
0,25.0,0.7713,1.6227,0.036,0.06,0.052
0,25.0,0.5329,0.5186,-0.027,-0.115,0.048
0,25.0,1.6387,1.7222,-0.008,-0.076,-0.037
0,25.0,1.7294,1.7531,0.047,-0.047,-0.021
0,25.0,1.2824,0.9795,0.146,0.08,-0.044
0,25.0,1.0818,0.055,-0.12,-0.092,0.018
0,25.0,1.3556,1.3262,0.167,0.083,0.006
0,25.0,0.2297,0.2985,-0.144,0.06,-0.014
0,25.0,1.8291,1.6273,0.217,0.149,0.017
0,25.0,0.7521,1.0987,-0.048,0.097,-0.001
0,25.0,1.5239,0.1343,-0.028,0.152,-0.076
0,25.0,0.6283,0.7805,0.116,0.017,-0.01
0,25.0,1.0365,1.6054,0.015,-0.096,-0.043
0,25.0,0.52,0.2691,0.043,-0.007,-0.098
0,25.0,0.3268,1.6247,-0.034,0.008,-0.03
0,25.0,1.5583,0.4489,0.042,-0.043,-0.049
0,25.0,1.9507,0.9398,-0.051,-0.078,-0.031
0,25.0,1.9274,0.4027,0.079,-0.109,0.0
0,25.0,0.4955,0.5796,-0.173,0.016,-0.016
0,25.0,1.4528,0.8071,-0.185,0.059,-0.005
0,25.0,1.4882,0.8127,0.148,0.03,-0.046
0,25.0,0.4175,0.5495,0.15,-0.036,-0.036
0,25.0,1.4581,0.6966,0.146,-0.014,0.076
0,25.0,1.7794,1.9626,-0.078,0.011,0.049
0,25.0,0.8435,1.3019,-0.138,-0.157,-0.061
0,25.0,1.8167,0.7728,-0.093,-0.108,0.021
0,25.0,1.7309,0.4456,0.066,0.019,-0.007
0,25.0,0.8896,0.1175,0.151,0.077,-0.009
0,25.0,0.9614,1.7091,0.066,-0.001,0.003
0,25.0,1.0254,1.2518,-0.141,0.136,0.018
0,25.0,1.9803,1.3566,0.011,-0.086,0.031
0,25.0,1.8751,1.0851,0.084,0.031,-0.017
0,25.0,1.2669,0.0313,0.187,0.13,-0.094
0,25.0,0.8518,0.9384,0.142,0.068,-0.062
0,25.0,0.5563,1.0695,-0.054,0.076,0.027
0,25.0,1.2607,0.397,0.101,-0.151,0.04
0,25.0,0.9137,0.4201,-0.098,-0.034,0.002
0,25.0,1.5888,1.1516,-0.158,0.047,-0.024
0,25.0,0.7244,0.2179,-0.094,-0.133,0.085
0,25.0,0.9934,0.6783,-0.019,0.018,0.013
0,25.0,0.9815,0.7682,0.133,-0.009,0.018
0,25.0,0.0941,1.7316,0.011,0.191,-0.072
0,25.0,0.9837,0.2589,0.128,0.029,-0.084
0,25.0,0.1404,0.7625,0.022,0.029,0.107
0,25.0,1.4678,0.9328,0.121,-0.13,-0.02
0,25.0,0.9877,0.6756,0.098,0.012,0.115
0,25.0,1.3036,1.1967,0.069,-0.19,0.009
0,25.0,1.9697,0.4406,-0.14,-0.079,0.016
0,25.0,0.0883,0.2255,0.001,0.183,-0.042
0,25.0,1.9906,1.5867,0.04,0.089,0.007
0,25.0,0.3305,0.1326,0.204,-0.035,0.103
0,25.0,1.7198,0.6269,0.051,0.009,-0.029
0,25.0,1.6311,1.1241,0.127,0.182,0.01
0,25.0,0.8155,1.1352,0.107,0.087,0.03
0,25.0,0.2478,0.5368,0.064,-0.069,0.016
0,25.0,0.5639,1.712,0.047,-0.004,-0.043
0,25.0,1.3898,1.1811,0.009,-0.084,-0.045
0,25.0,1.1311,1.0426,0.149,0.197,-0.085
0,25.0,1.1194,1.6885,0.074,-0.184,0.053
0,25.0,0.856,0.1578,0.008,0.03,0.006
0,25.0,0.294,0.3206,-0.036,0.006,-0.024
0,25.0,0.5291,1.3173,0.035,-0.105,-0.067
0,25.0,0.8962,0.9175,0.098,0.132,0.051
0,25.0,0.0221,1.1442,-0.12,-0.009,-0.067
0,25.0,0.2462,0.5133,0.061,0.015,0.037
0,25.0,1.2043,1.4615,-0.041,-0.002,0.097
0,25.0,0.7201,1.9503,0.145,-0.009,0.037
0,25.0,0.0281,0.6566,0.01,0.034,0.026
0,25.0,0.8592,0.9424,0.222,-0.071,-0.043
0,25.0,0.006,0.2228,-0.175,-0.04,-0.033
0,25.0,0.1334,1.8367,0.081,-0.144,-0.033
0,25.0,0.4805,0.6227,0.11,0.047,0.036
0,25.0,1.4517,0.2018,0.052,0.166,-0.01
0,25.0,0.4384,0.9205,-0.146,-0.095,-0.013
0,25.0,0.0141,1.816,-0.038,-0.152,0.04
0,25.0,0.1025,1.8418,0.074,-0.119,0.064
0,25.0,1.35,1.4228,-0.009,-0.068,0.053
0,25.0,1.2434,0.3782,0.089,0.191,-0.034
0,25.0,1.8229,1.3969,-0.109,0.117,0.068
0,25.0,0.9591,0.6277,0.091,-0.052,-0.005
0,25.0,0.3218,1.4646,0.039,-0.164,-0.016
0,25.0,0.2111,0.7653,0.025,0.135,-0.048
0,25.0,1.3203,0.9051,0.284,0.127,0.029
0,25.0,1.0861,0.4304,-0.019,0.12,0.045
0,25.0,0.2696,1.2904,-0.119,0.05,0.103
0,25.0,0.7691,1.0953,0.01,0.189,0.05
0,25.0,0.9975,0.2325,0.077,0.078,-0.042
0,25.0,0.0945,1.0295,-0.129,-0.003,-0.046
0,25.0,1.0374,0.1767,-0.048,0.123,0.015
0,25.0,0.3781,1.9318,-0.027,-0.059,0.023
0,25.0,1.2594,1.1621,0.241,0.056,-0.041
0,25.0,0.9096,0.5768,0.074,0.036,0.088
0,25.0,1.2015,0.1336,0.039,0.003,0.071
0,25.0,1.5322,1.9597,-0.061,-0.017,0.009
0,25.0,0.5071,0.2226,-0.084,-0.135,-0.004
0,25.0,1.3191,0.0032,0.223,-0.064,0.01
0,25.0,0.9326,0.457,0.064,-0.062,0.055
0,25.0,1.9771,1.388,0.021,-0.031,0.002
0,25.0,0.1219,1.0006,-0.036,-0.006,0.01
0,25.0,0.8572,0.2911,-0.006,0.063,0.015
0,25.0,1.9874,0.933,0.052,0.028,-0.086
0,25.0,0.3313,1.5921,-0.128,-0.04,-0.047
0,25.0,0.1244,1.6075,-0.128,0.114,0.01
0,25.0,1.9987,1.407,0.052,-0.043,-0.029
0,25.0,1.7244,1.6345,0.079,0.044,-0.081
0,25.0,0.1664,0.8151,0.114,-0.095,-0.048
0,25.0,0.7491,0.0612,0.011,0.044,-0.045
0,25.0,0.171,1.3638,0.143,0.019,0.007
0,25.0,1.1023,1.302,0.017,0.108,0.051
0,25.0,0.2921,1.3958,0.179,-0.135,0.11
0,25.0,0.015,1.0245,-0.032,0.03,0.057
