x_cm,y_cm,z_cm,t_hours,j_density_A_cm2,pH2O_pH2_ratio,T_inlet_C,T_field_C,sigma_xx_MPa,sigma_yy_MPa,sigma_zz_MPa,sigma_xy_MPa,sigma_xz_MPa,sigma_yz_MPa,damage_index_D
0.6945,1.8268,0.04723,4933.46,0.484,0.278,744.4,755.54,30.724,25.673,-2.531,-0.076,-0.191,-0.225,0.01216
1.251,1.4136,0.12455,993.71,0.408,0.322,763.2,779.09,35.319,26.153,-3.69,0.651,-0.193,0.305,0.00275
0.0579,0.8245,0.09872,7152.26,0.159,0.34,827.3,837.89,30.84,28.363,-5.802,0.29,0.757,0.06,0.00113
0.1302,3.2131,0.07506,918.73,0.436,0.596,672.5,684.86,27.265,23.253,-2.911,0.518,-0.163,0.203,0.0033
1.9868,1.432,0.02235,2366.28,0.943,0.456,605.0,620.48,27.62,23.896,-2.669,1.332,-0.505,-1.018,0.02016
1.8733,3.1819,0.18051,4122.29,0.363,0.284,803.7,822.05,33.438,28.577,-5.058,-1.61,-0.025,0.174,0.00559
0.5108,2.0335,0.02023,6707.46,0.048,0.439,796.5,798.08,27.239,22.971,-4.261,-0.683,0.263,0.103,0.00092
1.0303,3.1909,0.12864,1264.42,0.8,0.762,848.3,871.17,43.813,34.44,-3.051,-0.446,-0.252,0.457,0.00761
0.0127,1.4533,0.14837,6607.65,0.485,0.5,614.1,631.27,19.752,18.2,-4.198,0.417,0.231,-0.153,0.01457
1.5243,1.6214,0.26321,3604.01,0.051,0.203,601.6,630.17,13.768,13.283,-4.405,0.841,-0.003,-0.07,0.0
2.3035,3.8818,0.11588,6267.27,0.492,0.165,847.8,862.77,35.719,33.544,-5.586,-0.956,-0.017,0.096,0.01576
1.7092,2.967,0.22239,7712.21,0.679,0.325,624.6,656.45,26.574,23.393,-3.429,-1.169,0.656,0.108,0.03402
3.3404,3.4612,0.11628,2387.66,0.784,0.244,724.6,744.05,37.433,28.504,-4.219,-0.754,-0.106,0.008,0.01573
2.466,1.404,0.19375,6556.01,0.216,0.271,804.4,826.45,31.773,27.398,-3.299,0.98,-0.349,0.574,0.00307
1.0643,0.272,0.18116,6897.22,0.12,0.132,711.0,731.43,25.046,21.172,-4.104,1.277,0.068,-0.214,0.00199
3.2441,1.866,0.11481,1552.75,0.125,0.527,634.8,645.7,17.215,14.682,-5.501,0.69,0.082,-0.207,0.0
1.9979,2.357,0.04316,6953.34,0.152,0.114,711.4,718.27,19.745,18.665,-3.413,-0.944,0.075,-0.192,2e-05
3.0352,0.3662,0.04956,554.36,0.529,0.687,634.8,642.61,26.534,23.588,-3.177,1.168,-0.028,-0.398,0.00201
2.2644,2.5297,0.0076,2413.08,0.521,0.751,753.4,760.94,30.343,31.024,-3.616,-0.711,-0.371,-0.432,0.00767
1.7498,1.8457,0.12809,3304.38,0.995,0.206,810.0,838.55,42.089,37.256,-4.621,-0.367,0.224,-0.019,0.0345
1.5846,0.2507,0.09385,6883.05,0.859,0.124,633.0,652.92,30.284,23.793,-2.184,2.795,-0.233,0.189,0.05146
0.0889,0.7919,0.22731,450.64,0.99,0.55,723.8,759.72,40.877,32.8,-3.302,0.176,0.529,0.296,0.00291
1.8774,2.1733,0.17983,6590.96,0.891,0.817,701.7,732.12,38.382,31.314,-4.148,0.631,0.072,0.379,0.05174
2.4942,0.1593,0.1464,1129.59,0.233,0.488,609.0,625.64,20.46,17.728,-5.306,2.67,-0.448,-0.586,0.00047
3.7845,1.7811,0.06935,363.41,0.028,0.427,711.2,717.62,21.407,19.517,-5.307,0.025,0.673,-0.223,0.00028
1.7413,2.579,0.09451,2514.84,0.813,0.231,764.9,788.4,38.966,29.311,-2.818,-0.865,0.161,-0.029,0.01673
1.9426,3.1688,0.28277,3784.94,0.986,0.642,723.1,765.44,40.054,31.675,-4.958,-1.45,0.827,0.192,0.03631
2.0765,3.2351,0.10237,1994.05,0.454,0.521,832.7,845.14,37.466,30.403,-2.444,-1.959,0.542,-0.23,0.00392
1.6344,1.5338,0.15186,4439.44,0.267,0.233,788.4,803.93,30.873,21.533,-3.749,1.25,-0.201,0.027,0.00127
2.3152,0.9217,0.288,36.64,0.239,0.724,797.1,825.86,30.339,27.328,-3.654,1.913,0.647,0.189,0.00055
0.2814,1.8647,0.10014,3909.19,0.691,0.671,836.2,851.74,38.13,33.798,-4.276,0.273,-0.158,-0.518,0.02062
1.9535,0.2603,0.21783,3728.46,0.857,0.799,808.7,839.47,38.87,32.507,-3.523,1.531,0.313,0.601,0.02902
2.4406,0.7005,0.14169,2648.2,0.603,0.291,655.9,672.67,28.156,21.723,-1.759,1.294,-0.208,0.202,0.01044
2.9755,2.9175,0.12657,725.26,0.13,0.295,639.3,651.32,18.534,18.129,-3.324,-0.826,-0.292,0.268,0.00096
1.7193,1.5548,0.19162,7287.36,0.269,0.421,702.4,724.51,27.793,23.814,-4.9,1.749,0.392,-0.05,0.00595
1.2112,2.9871,0.01153,6514.43,0.134,0.735,698.2,702.28,18.403,20.509,-5.049,-1.187,-0.407,-0.04,0.00045
0.0236,2.9842,0.06375,4317.48,0.81,0.538,617.4,635.73,26.892,24.643,-2.634,-0.654,-0.515,-0.264,0.02701
3.0259,0.0578,0.09976,557.24,0.05,0.258,611.1,621.35,17.183,16.795,-4.483,1.719,0.535,-0.159,0.0006
0.3103,2.1808,0.19622,6796.6,0.135,0.624,600.7,621.37,12.368,16.016,-5.879,0.621,-0.33,-0.041,0.00102
1.96,3.0356,0.05606,4810.95,0.198,0.102,674.0,679.28,21.355,21.103,-5.587,-2.156,0.131,0.187,0.00076
1.2174,3.3538,0.22866,4271.4,0.725,0.634,733.8,768.83,35.362,30.348,-3.184,-1.459,-0.21,-0.076,0.02238
3.3633,2.1359,0.13828,7059.92,0.564,0.136,609.3,629.2,24.657,22.049,-3.321,0.013,-0.207,-0.473,0.02167
3.8019,1.8986,0.25343,4065.34,0.499,0.458,625.4,656.02,24.202,25.511,-4.443,0.293,0.112,0.512,0.00993
1.2755,1.1327,0.27118,5917.02,0.687,0.716,624.4,660.75,27.151,29.138,-6.22,1.55,0.857,0.745,0.02686
3.5911,2.6156,0.15503,7485.33,0.958,0.576,719.8,747.8,40.852,32.479,-4.753,-1.003,0.093,-0.012,0.06809
1.3501,2.2286,0.27203,5244.16,0.133,0.848,741.2,772.05,30.784,23.465,-4.102,-0.317,-0.245,0.362,0.00139
3.2484,3.3404,0.09976,7625.69,0.701,0.765,775.2,791.56,32.891,31.744,-3.286,-0.149,0.055,-0.27,0.03653
3.1954,0.4791,0.28085,5361.6,0.929,0.5,645.2,684.05,28.798,28.632,-3.227,0.146,0.278,-0.11,0.04593
2.6211,2.5566,0.21089,5766.16,0.933,0.796,720.9,756.25,39.212,33.53,-2.841,-0.406,-0.048,-0.123,0.04938
0.9148,3.3144,0.2003,1306.83,0.66,0.265,674.0,699.03,32.676,20.876,-3.663,-1.736,-0.198,-0.368,0.0044
0.5507,0.2622,0.25631,365.65,0.691,0.631,757.8,791.55,37.163,31.147,-3.321,0.074,0.624,0.395,0.0009
1.6975,1.9377,0.17851,4945.14,0.773,0.652,796.3,823.85,37.879,34.014,-3.921,0.381,0.829,-0.148,0.02953
0.6062,3.8999,0.0421,2503.72,0.259,0.389,788.8,792.84,28.288,22.931,-3.545,-0.799,-0.654,0.521,0.0002
3.4931,2.0126,0.04095,2077.87,0.632,0.844,716.6,726.2,32.615,26.125,-3.035,0.01,-0.656,-0.458,0.0089
0.7165,2.1168,0.26607,1507.41,0.556,0.528,808.0,839.81,36.782,33.294,-5.552,0.361,0.254,0.216,0.00451
0.1212,1.192,0.012,7299.91,0.633,0.515,699.1,707.47,30.217,25.876,-1.731,0.088,-0.24,-0.324,0.02806
2.237,0.1617,0.18421,6414.84,0.7,0.434,686.1,711.28,32.86,28.15,-4.361,1.702,-0.015,0.09,0.0302
1.7152,3.2441,0.18027,3895.78,0.02,0.349,840.0,858.38,29.214,28.78,-6.023,-1.548,0.388,0.202,0.0
3.4344,0.7195,0.06481,4198.05,0.56,0.533,662.1,675.85,27.414,22.64,-4.519,0.809,0.159,0.359,0.01338
0.6433,3.0051,0.08794,197.97,0.815,0.652,776.6,796.35,37.584,33.676,-2.805,0.112,-0.848,-0.181,0.00155
1.4414,1.1361,0.03976,2929.17,0.385,0.359,742.0,744.6,28.758,25.036,-6.041,1.138,-0.035,-0.296,0.00526
2.562,2.97,0.11359,3796.67,0.853,0.866,716.7,737.97,36.017,29.513,-4.102,-1.525,-0.04,-0.182,0.0298
3.7243,1.6083,0.07927,1978.61,0.689,0.175,795.5,812.01,42.08,34.707,-3.022,0.091,-0.518,-0.042,0.0101
1.0472,2.2453,0.08189,1294.84,0.204,0.547,806.6,818.21,30.767,31.182,-5.095,0.005,-0.169,-0.089,0.0
2.7524,0.0727,0.12657,853.04,0.266,0.333,731.5,743.77,29.898,25.485,-4.545,1.871,0.768,-0.044,0.00309
0.5962,3.6605,0.23932,5427.49,0.756,0.823,718.0,748.49,32.456,29.499,-3.092,-1.266,0.082,-0.322,0.03071
2.9606,2.7932,0.01515,6013.22,0.695,0.573,801.8,808.96,38.879,34.422,-2.867,-0.699,-0.819,-0.357,0.02923
1.1727,2.4764,0.04157,2759.11,0.291,0.511,803.6,810.09,32.7,26.946,-4.68,-0.726,-0.566,-0.582,0.00113
0.975,2.4014,0.15728,3294.38,0.2,0.432,706.7,721.29,24.203,22.915,-5.326,-0.179,0.063,0.31,0.00061
0.9193,1.9643,0.07199,1287.02,0.673,0.822,611.9,624.26,25.28,19.516,-2.752,-0.312,-0.427,-0.477,0.00585
1.4826,0.2226,0.20327,803.52,0.304,0.693,707.9,731.52,25.871,23.299,-4.223,1.88,-0.303,-0.094,0.0
1.3142,2.8282,0.16582,6146.81,0.38,0.648,762.7,782.28,33.063,23.668,-5.412,-1.406,0.171,-0.151,0.01057
2.4506,0.1697,0.08661,5324.83,0.095,0.192,740.4,747.39,20.668,24.123,-3.922,1.998,-0.299,-0.426,0.00244
2.1789,0.5989,0.09698,4715.75,0.693,0.443,722.7,738.13,39.254,27.969,-5.142,2.03,0.175,-0.369,0.02431
2.9986,0.0819,0.24661,7568.58,0.893,0.608,623.6,661.07,28.69,28.239,-4.678,0.937,0.746,0.651,0.05943
1.1798,3.3393,0.0321,3128.56,0.256,0.773,810.4,813.73,28.261,26.209,-4.891,-1.031,-0.313,-0.432,0.00313
3.8422,2.7731,0.12611,6567.18,0.703,0.56,722.6,742.56,32.488,25.872,-2.781,-0.721,-0.144,-0.066,0.03379
2.1739,3.8222,0.11287,6280.5,0.363,0.747,754.2,773.37,29.37,27.303,-5.318,-2.952,0.052,-0.635,0.0086
2.7177,1.3665,0.09252,1827.47,0.905,0.853,601.2,625.48,26.453,24.799,-3.21,1.255,-0.157,-0.699,0.01387
2.753,3.9478,0.27947,874.65,0.688,0.357,607.4,640.67,25.81,22.53,-4.933,-2.116,-0.04,-0.375,0.00242
0.6092,2.5513,0.18387,2945.22,0.496,0.897,720.0,740.95,32.289,25.564,-3.102,0.189,0.495,-0.205,0.00771
0.5801,0.1118,0.12421,1541.86,0.881,0.209,829.5,855.35,45.588,39.284,-2.384,-0.145,-0.251,-0.555,0.01272
1.8482,1.3877,0.15323,5049.91,0.672,0.888,829.1,850.99,37.254,33.418,-2.981,0.785,0.222,0.192,0.02359
2.0877,0.8882,0.13234,2369.84,0.638,0.448,771.2,790.19,38.402,34.162,-3.977,0.928,-0.059,-0.218,0.00851
1.0882,1.9923,0.14559,373.06,0.805,0.563,832.3,857.62,44.441,36.693,-4.721,-0.437,0.411,0.405,0.00379
0.7205,3.7855,0.0655,4361.43,0.085,0.281,615.3,617.22,16.242,14.921,-4.187,-2.137,-0.085,-0.175,0.00146
2.0157,1.7369,0.21846,2751.14,0.079,0.183,818.3,836.55,31.543,21.459,-4.979,1.044,0.112,0.188,0.0
2.6386,1.2228,0.2368,1410.79,0.096,0.341,787.2,813.02,29.304,22.999,-4.504,2.166,0.27,-0.464,0.00163
0.915,3.9502,0.03216,1761.33,0.766,0.277,750.7,762.37,36.611,31.204,-3.065,-1.259,-0.7,0.048,0.01211
0.8737,3.0616,0.19681,1366.71,0.898,0.404,752.6,785.13,39.08,34.746,-3.999,-0.486,0.058,0.45,0.01115
3.8196,2.2828,0.25407,6821.07,0.862,0.733,696.8,729.56,32.305,33.402,-4.925,-0.377,0.224,0.843,0.05225
2.8996,3.2284,0.21938,1002.85,0.472,0.211,693.1,718.72,26.733,20.925,-2.882,-0.476,0.093,-0.041,0.00148
0.1373,3.1094,0.10779,5679.16,0.606,0.67,729.4,741.26,33.656,28.104,-3.561,-0.216,-0.478,0.378,0.02088
3.9265,3.7153,0.0843,596.03,0.151,0.282,827.2,834.69,30.54,26.93,-7.217,-0.017,0.099,-0.341,0.00195
0.034,3.6091,0.1318,4936.01,0.836,0.107,634.7,661.42,29.57,24.207,-3.123,-0.584,-0.088,-0.227,0.03451
1.0598,2.0808,0.10429,2166.33,0.593,0.3,684.1,697.83,31.479,23.554,-2.704,-0.071,0.028,-0.199,0.00847
3.6693,3.8225,0.25617,1196.13,0.958,0.376,821.1,858.73,41.36,38.011,-5.404,-0.419,0.164,0.212,0.01181
0.3216,0.8152,0.0961,3925.92,0.419,0.456,716.6,729.36,28.66,25.065,-2.632,0.957,-0.334,-0.39,0.00635
3.4189,3.2587,0.01193,2909.71,0.764,0.107,762.3,770.29,34.184,31.565,-1.68,0.065,-0.642,-0.326,0.01678
0.5787,2.2541,0.09596,61.05,0.057,0.588,612.4,625.11,18.533,12.431,-7.236,0.136,-0.079,-0.057,0.00223
0.717,0.6877,0.08902,7195.21,0.283,0.434,646.1,655.14,20.77,17.965,-2.751,1.04,0.266,-0.079,0.00638
3.1387,1.5352,0.00221,5714.48,0.067,0.662,734.8,734.17,23.606,18.518,-4.825,0.546,0.089,0.089,1e-05
3.5817,3.6418,0.29449,5633.55,0.342,0.236,604.0,637.59,24.306,18.445,-4.975,-1.037,0.292,0.361,0.00666
1.8429,3.4894,0.2869,6248.12,0.162,0.511,840.4,872.41,33.484,27.021,-5.98,-1.629,0.004,0.324,0.00015
0.1539,0.2046,0.11149,4953.32,0.795,0.709,748.0,768.48,39.253,30.42,-5.56,-0.196,-0.028,-0.366,0.03107
1.2612,2.6484,0.14942,50.88,0.451,0.482,682.4,701.67,21.217,27.324,-4.667,-0.304,-0.537,-0.416,8e-05
0.0612,2.2961,0.12595,4151.79,0.426,0.186,755.3,768.69,33.885,30.301,-2.516,-0.021,-0.083,0.065,0.00678
1.3967,1.297,0.28232,3300.55,0.236,0.307,733.2,760.06,25.993,25.516,-4.945,1.802,-0.127,0.222,0.00334
2.6372,1.9969,0.21349,2650.13,0.739,0.789,743.6,774.39,37.748,31.515,-2.599,0.281,0.201,0.231,0.01452
1.0609,3.1781,0.28415,1974.68,0.797,0.586,825.9,860.72,42.154,33.379,-5.36,-0.717,1.05,0.079,0.01283
2.6081,0.3918,0.00198,2369.65,0.102,0.491,807.0,807.86,29.946,24.191,-2.754,1.192,0.058,-0.36,0.00033
3.7099,0.1668,0.21134,4795.45,0.568,0.185,608.1,632.76,26.539,20.25,-5.677,1.175,0.387,0.33,0.01382
1.8646,1.4639,0.1132,1044.19,0.394,0.21,725.0,738.85,28.161,24.818,-4.457,1.17,-0.291,-0.018,0.00134
0.8284,0.7971,0.10002,6.22,0.301,0.333,611.2,621.21,18.913,18.691,-4.128,0.309,-0.161,-0.001,0.0
3.6909,0.8908,0.0119,6220.09,0.609,0.37,708.4,708.64,24.862,27.996,-4.444,0.814,-0.86,-0.09,0.02461
3.7834,2.7312,0.14259,3342.75,0.825,0.379,699.0,720.76,34.84,25.667,-2.241,-0.2,-0.323,0.064,0.02369
0.5396,0.0362,0.20317,1814.86,0.954,0.533,769.9,804.0,39.07,36.408,-5.36,1.704,0.648,0.367,0.01576
3.5986,3.455,0.04006,5336.51,0.577,0.44,692.8,702.01,30.642,26.222,-1.814,0.412,-0.711,-0.373,0.01866
1.1686,0.4454,0.23777,1486.66,0.88,0.64,790.6,824.46,43.303,32.73,-4.298,1.601,0.978,-0.083,0.01157
0.5127,2.0822,0.11731,6041.21,0.848,0.891,779.8,800.83,38.642,36.313,-5.818,-0.206,-0.653,0.254,0.0428
0.4723,2.1589,0.19014,1643.53,0.701,0.377,826.7,853.48,41.215,33.519,-4.263,0.273,-0.334,-0.096,0.00951
3.0378,3.3931,0.04989,6086.67,0.62,0.534,734.2,743.19,31.292,24.721,-1.825,-1.302,-0.524,0.02,0.02306
0.3538,0.151,0.14163,3804.0,0.811,0.393,652.0,675.66,29.772,25.389,-3.896,1.551,0.064,0.531,0.02461
3.0526,3.132,0.11432,2042.19,0.288,0.622,685.3,695.65,23.067,19.889,-4.259,-1.277,-0.427,-0.448,0.00268
0.9585,0.2068,0.02277,5851.09,0.233,0.126,624.8,629.59,20.251,18.074,-1.922,2.373,-0.469,-0.418,0.00638
1.6751,1.9047,0.12594,2256.8,0.181,0.726,621.5,635.56,21.744,17.161,-4.609,0.358,-0.034,0.33,0.00077
0.5721,0.0093,0.29959,543.2,0.569,0.711,738.1,776.45,36.026,28.885,-4.93,1.005,0.661,0.206,0.00266
2.6107,2.615,0.16752,6620.17,0.047,0.511,607.9,623.13,14.436,11.975,-3.333,0.158,0.058,-0.159,0.00059
1.8311,1.0558,0.14013,5781.56,0.415,0.817,628.9,645.49,23.703,19.213,-4.618,0.95,-0.424,-0.156,0.00963
1.5753,2.0017,0.25403,685.4,0.072,0.802,610.2,636.84,17.567,14.502,-5.183,-0.795,-0.222,0.062,0.0
3.2187,1.172,0.03699,3429.83,0.678,0.501,606.0,617.03,20.644,24.435,-2.074,1.101,-0.502,0.088,0.01512
1.8361,2.4472,0.20222,3488.63,0.794,0.484,687.1,716.94,35.926,32.435,-4.053,-0.571,-0.334,0.481,0.02199
2.7663,2.9007,0.23359,782.59,0.001,0.179,762.3,782.54,23.903,26.306,-5.714,-1.488,0.157,0.061,0.00092
3.128,0.869,0.0552,3778.41,0.556,0.131,678.9,691.58,29.346,23.867,-3.562,1.816,-0.462,0.322,0.01368
2.4595,1.0414,0.26909,1612.22,0.863,0.441,771.2,808.97,40.612,29.996,-4.413,0.336,0.467,0.308,0.01194
3.8456,3.3368,0.08568,309.73,0.524,0.894,620.4,629.79,20.99,19.913,-5.677,-0.026,0.094,0.143,0.00024
2.2035,0.4773,0.0726,5139.58,0.555,0.733,772.3,787.18,34.722,29.048,-4.852,1.748,0.036,0.242,0.01701
0.8761,3.0157,0.00348,7043.67,0.611,0.81,606.3,609.26,22.123,20.537,-3.709,-0.757,-0.631,-0.103,0.0279
2.1675,2.4315,0.05298,4763.93,0.126,0.324,804.1,810.08,30.09,25.796,-5.471,-1.358,-0.118,0.065,0.0
0.9782,0.1614,0.13826,3655.12,0.657,0.198,832.9,852.02,38.031,33.722,-5.458,1.393,-0.169,0.107,0.01584
0.3333,0.4627,0.19961,7318.55,0.118,0.741,752.8,773.29,28.175,23.675,-5.223,0.2,0.038,-0.639,0.00227
3.0254,1.1937,0.05289,6538.54,0.638,0.75,664.3,672.38,25.017,22.3,-1.719,0.661,-0.734,0.09,0.02438
1.058,3.6078,0.02178,3316.14,0.567,0.554,706.1,715.74,29.581,24.501,-3.412,-1.493,-0.343,0.019,0.01161
1.2546,2.5807,0.22696,4293.01,0.335,0.888,727.7,751.49,27.757,27.168,-5.901,-0.525,0.398,0.281,0.00381
3.9534,3.3937,0.2041,1361.32,0.237,0.325,813.5,833.25,31.467,31.157,-5.727,-0.053,0.338,0.011,0.00325
1.6022,1.181,0.04324,137.47,0.083,0.568,663.7,661.25,15.719,17.905,-4.816,1.565,-0.118,-0.016,0.0
1.7652,1.6918,0.12555,96.46,0.489,0.288,777.6,795.71,34.301,29.538,-4.637,0.025,-0.107,-0.301,0.0
3.6824,1.5136,0.17011,185.79,0.779,0.156,629.1,655.1,28.517,22.573,-5.56,0.174,0.264,0.094,0.0
3.1603,3.4391,0.12815,3843.8,0.939,0.139,660.2,683.4,32.791,30.023,-3.805,-0.323,-0.175,-0.198,0.03323
3.4379,0.8278,0.09135,1375.02,0.113,0.133,822.5,830.39,33.227,29.071,-5.901,0.89,0.042,-0.381,0.00224
1.8734,3.0704,0.15101,2303.97,0.157,0.491,663.4,679.33,21.243,16.547,-6.168,-1.468,0.226,0.731,0.00121
0.85,3.9905,0.10737,7832.31,0.966,0.332,704.0,730.43,39.869,32.806,-3.583,-1.559,-0.2,0.251,0.07166
0.2626,1.3492,0.04885,573.98,0.759,0.286,671.3,686.31,31.948,27.687,-2.678,0.445,-0.174,-0.373,0.00281
0.3193,0.6077,0.18844,5556.17,0.55,0.7,763.9,788.42,40.29,26.743,-4.105,1.527,-0.267,-0.007,0.01556
0.548,3.1223,0.27085,7470.7,0.319,0.765,829.0,859.64,36.269,33.383,-4.724,-1.181,0.524,0.712,0.00962
1.0774,3.1775,0.00894,134.17,0.631,0.488,681.3,688.57,29.245,26.184,-3.794,-1.631,-0.512,-0.161,0.0
3.1095,2.8799,0.26028,4667.82,0.745,0.2,744.1,773.07,34.011,32.188,-4.464,-0.815,0.156,-0.107,0.02614
0.9181,2.4781,0.24851,4295.17,0.735,0.548,729.5,764.94,33.89,28.151,-2.611,-0.859,-0.386,0.989,0.02251
1.6872,0.4135,0.23048,1376.05,0.267,0.333,682.9,707.09,22.889,21.178,-3.026,1.161,0.062,-0.065,0.00162
1.8325,3.1186,0.23389,5880.68,0.525,0.822,735.8,762.54,31.273,25.62,-4.712,-1.53,0.188,0.286,0.01564
