x_cm,y_cm,z_cm,damage_index,is_cracked
0.0,0.41,3.571,0.1198,0
0.0,0.41,3.673,0.0963,0
0.0,0.41,3.776,0.0941,0
0.0,0.41,3.878,0.1129,0
0.0,0.41,3.98,0.3011,1
0.0,0.41,4.082,0.1576,1
0.0,0.41,4.184,0.115,0
0.0,0.41,4.286,0.0941,0
0.0,0.41,4.388,0.1017,0
0.0,0.41,4.49,0.1172,0
0.0,0.41,4.592,0.1129,0
0.0,0.41,4.694,0.112,0
0.0,0.41,4.796,0.0834,0
0.0,0.41,4.898,0.1112,0
0.0,0.41,5.0,0.0939,0
0.0,0.513,0.0,0.0841,0
0.0,0.513,0.102,0.1068,0
0.0,0.513,0.204,0.1328,0
0.0,0.513,0.306,0.1002,0
0.0,0.513,0.408,0.0929,0
0.0,0.513,0.51,0.1143,0
0.0,0.513,0.612,0.1035,0
0.0,0.513,0.714,0.118,0
0.0,0.513,0.816,0.119,0
0.0,0.513,0.918,0.1634,1
0.0,0.513,1.02,0.3001,1
0.0,0.513,1.122,0.1153,0
0.0,0.513,1.224,0.1001,0
0.0,0.513,1.327,0.1061,0
0.0,0.513,1.429,0.1063,0
0.0,0.513,1.531,0.1008,0
0.0,0.513,1.633,0.0923,0
0.0,0.513,1.735,0.1009,0
0.0,0.513,1.837,0.1045,0
0.0,0.513,1.939,0.1794,1
0.0,0.513,2.041,0.2231,1
0.0,0.513,2.143,0.1228,0
0.0,0.513,2.245,0.108,0
0.0,0.513,2.347,0.0898,0
0.0,0.513,2.449,0.1101,0
0.0,0.513,2.551,0.1052,0
0.0,0.513,2.653,0.0912,0
0.0,0.513,2.755,0.1006,0
0.0,0.513,2.857,0.1075,0
0.0,0.513,2.959,0.2386,1
0.0,0.513,3.061,0.1709,1
0.0,0.513,3.163,0.1158,0
0.0,0.513,3.265,0.0969,0
0.0,0.513,3.367,0.1121,0
0.0,0.513,3.469,0.0885,0
0.0,0.513,3.571,0.1017,0
0.0,0.513,3.673,0.0953,0
0.0,0.513,3.776,0.1001,0
0.0,0.513,3.878,0.1235,0
0.0,0.513,3.98,0.2804,1
0.0,0.513,4.082,0.1459,0
0.0,0.513,4.184,0.1033,0
0.0,0.513,4.286,0.0956,0
0.0,0.513,4.388,0.1018,0
0.0,0.513,4.49,0.1106,0
0.0,0.513,4.592,0.0999,0
0.0,0.513,4.694,0.1045,0
0.0,0.513,4.796,0.0867,0
0.0,0.513,4.898,0.0914,0
0.0,0.513,5.0,0.0841,0
0.0,0.615,0.0,0.108,0
0.0,0.615,0.102,0.0979,0
0.0,0.615,0.204,0.1078,0
0.0,0.615,0.306,0.1032,0
0.0,0.615,0.408,0.0963,0
0.0,0.615,0.51,0.078,0
0.0,0.615,0.612,0.0966,0
0.0,0.615,0.714,0.0902,0
0.0,0.615,0.816,0.0971,0
0.0,0.615,0.918,0.1479,0
0.0,0.615,1.02,0.309,1
0.0,0.615,1.122,0.125,0
0.0,0.615,1.224,0.0863,0
0.0,0.615,1.327,0.0939,0
0.0,0.615,1.429,0.1071,0
0.0,0.615,1.531,0.1141,0
0.0,0.615,1.633,0.1081,0
0.0,0.615,1.735,0.1122,0
0.0,0.615,1.837,0.1158,0
0.0,0.615,1.939,0.1749,1
0.0,0.615,2.041,0.2264,1
0.0,0.615,2.143,0.1194,0
0.0,0.615,2.245,0.1058,0
0.0,0.615,2.347,0.095,0
0.0,0.615,2.449,0.1086,0
0.0,0.615,2.551,0.0988,0
0.0,0.615,2.653,0.0931,0
0.0,0.615,2.755,0.1017,0
0.0,0.615,2.857,0.1353,0
0.0,0.615,2.959,0.24,1
0.0,0.615,3.061,0.1857,1
0.0,0.615,3.163,0.1207,0
0.0,0.615,3.265,0.083,0
0.0,0.615,3.367,0.109,0
0.0,0.615,3.469,0.0815,0
0.0,0.615,3.571,0.0861,0
0.0,0.615,3.673,0.1051,0
0.0,0.615,3.776,0.0969,0
0.0,0.615,3.878,0.1396,0
0.0,0.615,3.98,0.2965,1
0.0,0.615,4.082,0.1683,1
0.0,0.615,4.184,0.1075,0
0.0,0.615,4.286,0.1104,0
0.0,0.615,4.388,0.0952,0
0.0,0.615,4.49,0.1069,0
0.0,0.615,4.592,0.1243,0
0.0,0.615,4.694,0.0877,0
0.0,0.615,4.796,0.0902,0
0.0,0.615,4.898,0.1026,0
0.0,0.615,5.0,0.0951,0
0.0,0.718,0.0,0.0929,0
0.0,0.718,0.102,0.083,0
0.0,0.718,0.204,0.1049,0
0.0,0.718,0.306,0.1103,0
0.0,0.718,0.408,0.096,0
0.0,0.718,0.51,0.1087,0
0.0,0.718,0.612,0.104,0
0.0,0.718,0.714,0.0964,0
0.0,0.718,0.816,0.1109,0
0.0,0.718,0.918,0.1565,1
0.0,0.718,1.02,0.2817,1
0.0,0.718,1.122,0.1215,0
0.0,0.718,1.224,0.0938,0
0.0,0.718,1.327,0.094,0
0.0,0.718,1.429,0.0959,0
0.0,0.718,1.531,0.0819,0
0.0,0.718,1.633,0.0852,0
0.0,0.718,1.735,0.1106,0
0.0,0.718,1.837,0.1177,0
0.0,0.718,1.939,0.1908,1
0.0,0.718,2.041,0.2317,1
0.0,0.718,2.143,0.1144,0
0.0,0.718,2.245,0.0852,0
0.0,0.718,2.347,0.0973,0
0.0,0.718,2.449,0.1021,0
0.0,0.718,2.551,0.1171,0
0.0,0.718,2.653,0.0898,0
0.0,0.718,2.755,0.0965,0
0.0,0.718,2.857,0.1057,0
0.0,0.718,2.959,0.2449,1
0.0,0.718,3.061,0.1835,1
0.0,0.718,3.163,0.1034,0
0.0,0.718,3.265,0.1082,0
0.0,0.718,3.367,0.1081,0
0.0,0.718,3.469,0.1135,0
0.0,0.718,3.571,0.0928,0
0.0,0.718,3.673,0.103,0
0.0,0.718,3.776,0.1111,0
0.0,0.718,3.878,0.1317,0
0.0,0.718,3.98,0.3007,1
0.0,0.718,4.082,0.1667,1
0.0,0.718,4.184,0.1064,0
0.0,0.718,4.286,0.1102,0
0.0,0.718,4.388,0.0938,0
0.0,0.718,4.49,0.09,0
0.0,0.718,4.592,0.1038,0
0.0,0.718,4.694,0.0862,0
0.0,0.718,4.796,0.114,0
0.0,0.718,4.898,0.1114,0
0.0,0.718,5.0,0.0884,0
0.0,0.821,0.0,0.0897,0
0.0,0.821,0.102,0.1061,0
0.0,0.821,0.204,0.1079,0
0.0,0.821,0.306,0.1064,0
0.0,0.821,0.408,0.0957,0
0.0,0.821,0.51,0.1129,0
0.0,0.821,0.612,0.0992,0
0.0,0.821,0.714,0.1013,0
0.0,0.821,0.816,0.0954,0
0.0,0.821,0.918,0.1674,1
0.0,0.821,1.02,0.298,1
0.0,0.821,1.122,0.1249,0
0.0,0.821,1.224,0.1125,0
0.0,0.821,1.327,0.1109,0
0.0,0.821,1.429,0.1114,0
0.0,0.821,1.531,0.1072,0
0.0,0.821,1.633,0.0939,0
0.0,0.821,1.735,0.0915,0
0.0,0.821,1.837,0.1256,0
0.0,0.821,1.939,0.178,1
0.0,0.821,2.041,0.2145,1
0.0,0.821,2.143,0.1072,0
0.0,0.821,2.245,0.0989,0
0.0,0.821,2.347,0.0866,0
0.0,0.821,2.449,0.0842,0
0.0,0.821,2.551,0.1046,0
0.0,0.821,2.653,0.1099,0
0.0,0.821,2.755,0.1027,0
0.0,0.821,2.857,0.117,0
0.0,0.821,2.959,0.2496,1
0.0,0.821,3.061,0.1776,1
0.0,0.821,3.163,0.111,0
0.0,0.821,3.265,0.1058,0
0.0,0.821,3.367,0.085,0
0.0,0.821,3.469,0.1082,0
0.0,0.821,3.571,0.1115,0
0.0,0.821,3.673,0.1149,0
0.0,0.821,3.776,0.0992,0
0.0,0.821,3.878,0.1294,0
0.0,0.821,3.98,0.3154,1
0.0,0.821,4.082,0.1712,1
0.0,0.821,4.184,0.1068,0
0.0,0.821,4.286,0.1217,0
0.0,0.821,4.388,0.1197,0
0.0,0.821,4.49,0.0967,0
0.0,0.821,4.592,0.0901,0
0.0,0.821,4.694,0.1206,0
0.0,0.821,4.796,0.1006,0
0.0,0.821,4.898,0.1122,0
0.0,0.821,5.0,0.1034,0
0.0,0.923,0.0,0.0933,0
0.0,0.923,0.102,0.0927,0
0.0,0.923,0.204,0.1124,0
0.0,0.923,0.306,0.0928,0
0.0,0.923,0.408,0.1098,0
0.0,0.923,0.51,0.1001,0
0.0,0.923,0.612,0.104,0
0.0,0.923,0.714,0.0953,0
0.0,0.923,0.816,0.1012,0
0.0,0.923,0.918,0.168,1
0.0,0.923,1.02,0.2977,1
0.0,0.923,1.122,0.1269,0
0.0,0.923,1.224,0.1156,0
0.0,0.923,1.327,0.1005,0
0.0,0.923,1.429,0.0983,0
0.0,0.923,1.531,0.1085,0
0.0,0.923,1.633,0.1143,0
0.0,0.923,1.735,0.1023,0
0.0,0.923,1.837,0.1071,0
0.0,0.923,1.939,0.191,1
0.0,0.923,2.041,0.2547,1
0.0,0.923,2.143,0.1215,0
0.0,0.923,2.245,0.0933,0
0.0,0.923,2.347,0.0863,0
0.0,0.923,2.449,0.0847,0
0.0,0.923,2.551,0.1173,0
0.0,0.923,2.653,0.1114,0
0.0,0.923,2.755,0.1111,0
0.0,0.923,2.857,0.1237,0
0.0,0.923,2.959,0.2317,1
0.0,0.923,3.061,0.1983,1
0.0,0.923,3.163,0.0977,0
0.0,0.923,3.265,0.0875,0
0.0,0.923,3.367,0.1068,0
0.0,0.923,3.469,0.0698,0
0.0,0.923,3.571,0.0953,0
0.0,0.923,3.673,0.0792,0
0.0,0.923,3.776,0.1169,0
0.0,0.923,3.878,0.1261,0
0.0,0.923,3.98,0.3124,1
0.0,0.923,4.082,0.1629,1
0.0,0.923,4.184,0.1122,0
0.0,0.923,4.286,0.0822,0
0.0,0.923,4.388,0.1012,0
0.0,0.923,4.49,0.1006,0
0.0,0.923,4.592,0.1111,0
0.0,0.923,4.694,0.0967,0
0.0,0.923,4.796,0.1066,0
0.0,0.923,4.898,0.0949,0
0.0,0.923,5.0,0.0974,0
0.0,1.026,0.0,0.1069,0
0.0,1.026,0.102,0.1051,0
0.0,1.026,0.204,0.0914,0
0.0,1.026,0.306,0.1332,0
0.0,1.026,0.408,0.0936,0
0.0,1.026,0.51,0.1077,0
0.0,1.026,0.612,0.0854,0
0.0,1.026,0.714,0.105,0
0.0,1.026,0.816,0.0958,0
0.0,1.026,0.918,0.1547,1
0.0,1.026,1.02,0.3114,1
0.0,1.026,1.122,0.1301,0
0.0,1.026,1.224,0.1118,0
0.0,1.026,1.327,0.107,0
0.0,1.026,1.429,0.1029,0
0.0,1.026,1.531,0.0891,0
0.0,1.026,1.633,0.0978,0
0.0,1.026,1.735,0.1118,0
0.0,1.026,1.837,0.1119,0
0.0,1.026,1.939,0.1763,1
0.0,1.026,2.041,0.2326,1
0.0,1.026,2.143,0.1465,0
0.0,1.026,2.245,0.0882,0
0.0,1.026,2.347,0.0953,0
0.0,1.026,2.449,0.0913,0
0.0,1.026,2.551,0.1136,0
0.0,1.026,2.653,0.1139,0
0.0,1.026,2.755,0.1022,0
0.0,1.026,2.857,0.1074,0
0.0,1.026,2.959,0.2172,1
0.0,1.026,3.061,0.1878,1
0.0,1.026,3.163,0.128,0
0.0,1.026,3.265,0.0991,0
0.0,1.026,3.367,0.1088,0
0.0,1.026,3.469,0.0993,0
0.0,1.026,3.571,0.0985,0
0.0,1.026,3.673,0.1027,0
0.0,1.026,3.776,0.111,0
0.0,1.026,3.878,0.1284,0
0.0,1.026,3.98,0.2846,1
0.0,1.026,4.082,0.1571,1
0.0,1.026,4.184,0.1204,0
0.0,1.026,4.286,0.1089,0
0.0,1.026,4.388,0.1135,0
0.0,1.026,4.49,0.0998,0
0.0,1.026,4.592,0.1131,0
0.0,1.026,4.694,0.1046,0
0.0,1.026,4.796,0.1006,0
0.0,1.026,4.898,0.1012,0
0.0,1.026,5.0,0.0994,0
0.0,1.128,0.0,0.1008,0
0.0,1.128,0.102,0.1023,0
0.0,1.128,0.204,0.1113,0
0.0,1.128,0.306,0.0867,0
0.0,1.128,0.408,0.0904,0
0.0,1.128,0.51,0.0965,0
0.0,1.128,0.612,0.0927,0
0.0,1.128,0.714,0.1127,0
0.0,1.128,0.816,0.0921,0
0.0,1.128,0.918,0.1477,0
0.0,1.128,1.02,0.2884,1
0.0,1.128,1.122,0.1262,0
0.0,1.128,1.224,0.0921,0
0.0,1.128,1.327,0.1329,0
0.0,1.128,1.429,0.087,0
0.0,1.128,1.531,0.0994,0
0.0,1.128,1.633,0.1166,0
0.0,1.128,1.735,0.088,0
0.0,1.128,1.837,0.1205,0
0.0,1.128,1.939,0.1475,0
0.0,1.128,2.041,0.2506,1
0.0,1.128,2.143,0.1133,0
0.0,1.128,2.245,0.1085,0
0.0,1.128,2.347,0.1103,0
0.0,1.128,2.449,0.0957,0
0.0,1.128,2.551,0.1045,0
0.0,1.128,2.653,0.108,0
0.0,1.128,2.755,0.0863,0
0.0,1.128,2.857,0.1104,0
0.0,1.128,2.959,0.2401,1
0.0,1.128,3.061,0.1785,1
0.0,1.128,3.163,0.0947,0
0.0,1.128,3.265,0.106,0
0.0,1.128,3.367,0.0969,0
0.0,1.128,3.469,0.109,0
0.0,1.128,3.571,0.09,0
0.0,1.128,3.673,0.0908,0
0.0,1.128,3.776,0.1057,0
0.0,1.128,3.878,0.1368,0
0.0,1.128,3.98,0.2897,1
0.0,1.128,4.082,0.1671,1
0.0,1.128,4.184,0.1066,0
0.0,1.128,4.286,0.1011,0
0.0,1.128,4.388,0.1056,0
0.0,1.128,4.49,0.1177,0
0.0,1.128,4.592,0.0823,0
0.0,1.128,4.694,0.1093,0
0.0,1.128,4.796,0.1078,0
0.0,1.128,4.898,0.0943,0
0.0,1.128,5.0,0.09,0
0.0,1.231,0.0,0.0841,0
0.0,1.231,0.102,0.1012,0
0.0,1.231,0.204,0.0976,0
0.0,1.231,0.306,0.1077,0
0.0,1.231,0.408,0.0944,0
0.0,1.231,0.51,0.1046,0
0.0,1.231,0.612,0.1002,0
0.0,1.231,0.714,0.0886,0
0.0,1.231,0.816,0.1104,0
0.0,1.231,0.918,0.1529,1
0.0,1.231,1.02,0.3021,1
0.0,1.231,1.122,0.114,0
0.0,1.231,1.224,0.097,0
0.0,1.231,1.327,0.1021,0
0.0,1.231,1.429,0.1007,0
0.0,1.231,1.531,0.0889,0
0.0,1.231,1.633,0.0982,0
0.0,1.231,1.735,0.0886,0
0.0,1.231,1.837,0.0954,0
0.0,1.231,1.939,0.1948,1
0.0,1.231,2.041,0.2317,1
0.0,1.231,2.143,0.1275,0
0.0,1.231,2.245,0.1155,0
0.0,1.231,2.347,0.1034,0
0.0,1.231,2.449,0.1101,0
0.0,1.231,2.551,0.097,0
0.0,1.231,2.653,0.0956,0
0.0,1.231,2.755,0.1036,0
0.0,1.231,2.857,0.1323,0
0.0,1.231,2.959,0.2253,1
0.0,1.231,3.061,0.1926,1
0.0,1.231,3.163,0.1031,0
0.0,1.231,3.265,0.1028,0
0.0,1.231,3.367,0.0976,0
0.0,1.231,3.469,0.0843,0
0.0,1.231,3.571,0.0864,0
0.0,1.231,3.673,0.0974,0
0.0,1.231,3.776,0.1149,0
0.0,1.231,3.878,0.1228,0
0.0,1.231,3.98,0.3102,1
0.0,1.231,4.082,0.1494,0
0.0,1.231,4.184,0.094,0
0.0,1.231,4.286,0.1031,0
0.0,1.231,4.388,0.1001,0
0.0,1.231,4.49,0.1041,0
0.0,1.231,4.592,0.1037,0
0.0,1.231,4.694,0.1186,0
0.0,1.231,4.796,0.1152,0
0.0,1.231,4.898,0.0958,0
0.0,1.231,5.0,0.0925,0
0.0,1.333,0.0,0.0941,0
0.0,1.333,0.102,0.0969,0
0.0,1.333,0.204,0.1069,0
0.0,1.333,0.306,0.1014,0
0.0,1.333,0.408,0.1011,0
0.0,1.333,0.51,0.1128,0
0.0,1.333,0.612,0.108,0
0.0,1.333,0.714,0.0922,0
0.0,1.333,0.816,0.1137,0
0.0,1.333,0.918,0.1575,1
0.0,1.333,1.02,0.3027,1
0.0,1.333,1.122,0.1252,0
0.0,1.333,1.224,0.1059,0
0.0,1.333,1.327,0.1016,0
0.0,1.333,1.429,0.1068,0
0.0,1.333,1.531,0.0811,0
0.0,1.333,1.633,0.1193,0
0.0,1.333,1.735,0.1057,0
0.0,1.333,1.837,0.1065,0
0.0,1.333,1.939,0.197,1
0.0,1.333,2.041,0.2391,1
0.0,1.333,2.143,0.1061,0
0.0,1.333,2.245,0.1037,0
0.0,1.333,2.347,0.0985,0
0.0,1.333,2.449,0.1147,0
0.0,1.333,2.551,0.0902,0
0.0,1.333,2.653,0.0839,0
0.0,1.333,2.755,0.1161,0
0.0,1.333,2.857,0.1147,0
0.0,1.333,2.959,0.2284,1
0.0,1.333,3.061,0.2002,1
0.0,1.333,3.163,0.1299,0
0.0,1.333,3.265,0.0965,0
0.0,1.333,3.367,0.1086,0
0.0,1.333,3.469,0.1257,0
0.0,1.333,3.571,0.0934,0
0.0,1.333,3.673,0.103,0
0.0,1.333,3.776,0.097,0
0.0,1.333,3.878,0.1323,0
0.0,1.333,3.98,0.2939,1
0.0,1.333,4.082,0.1693,1
0.0,1.333,4.184,0.1065,0
0.0,1.333,4.286,0.0994,0
0.0,1.333,4.388,0.0858,0
0.0,1.333,4.49,0.0965,0
0.0,1.333,4.592,0.1201,0
0.0,1.333,4.694,0.1037,0
0.0,1.333,4.796,0.093,0
0.0,1.333,4.898,0.0989,0
0.0,1.333,5.0,0.1052,0
0.0,1.436,0.0,0.1016,0
0.0,1.436,0.102,0.0936,0
0.0,1.436,0.204,0.1095,0
0.0,1.436,0.306,0.0969,0
0.0,1.436,0.408,0.1007,0
0.0,1.436,0.51,0.0925,0
0.0,1.436,0.612,0.1115,0
0.0,1.436,0.714,0.1027,0
0.0,1.436,0.816,0.118,0
0.0,1.436,0.918,0.1503,1
0.0,1.436,1.02,0.2914,1
0.0,1.436,1.122,0.1329,0
0.0,1.436,1.224,0.1101,0
0.0,1.436,1.327,0.0952,0
0.0,1.436,1.429,0.0913,0
0.0,1.436,1.531,0.0965,0
0.0,1.436,1.633,0.094,0
0.0,1.436,1.735,0.1024,0
0.0,1.436,1.837,0.1089,0
0.0,1.436,1.939,0.1756,1
0.0,1.436,2.041,0.2392,1
0.0,1.436,2.143,0.1255,0
0.0,1.436,2.245,0.1136,0
0.0,1.436,2.347,0.09,0
0.0,1.436,2.449,0.1074,0
0.0,1.436,2.551,0.0946,0
0.0,1.436,2.653,0.0927,0
0.0,1.436,2.755,0.1113,0
0.0,1.436,2.857,0.1197,0
0.0,1.436,2.959,0.2259,1
0.0,1.436,3.061,0.187,1
0.0,1.436,3.163,0.1164,0
0.0,1.436,3.265,0.1071,0
0.0,1.436,3.367,0.1234,0
0.0,1.436,3.469,0.1014,0
0.0,1.436,3.571,0.1031,0
0.0,1.436,3.673,0.0827,0
0.0,1.436,3.776,0.0968,0
