Specimen_ID,Mix_ID,Target_Temperature_C,Cooling_Method,Initial_Mass_g,Final_Mass_g,Mass_Loss_g,Mass_Loss_Percent,Water_Loss_g,CO2_Loss_g,Organic_Loss_g,Test_Date,Operator,Notes
TE-RC10-200-FC-3,RC-10,200,Furnace_Cooling,3696.7,3586.5,110.2,2.98,105.8,2.1,2.3,2024-02-18,Tech_A,Rubber starts to soften
TE-RC10-400-FC-1,RC-10,400,Furnace_Cooling,3694.2,3452.8,241.4,6.53,182.5,38.2,20.7,2024-02-19,Tech_B,Rubber degradation begins
TE-RC10-400-FC-2,RC-10,400,Furnace_Cooling,3697.5,3456.0,241.5,6.53,182.6,38.2,20.7,2024-02-19,Tech_B,Rubber degradation begins
TE-RC10-400-FC-3,RC-10,400,Furnace_Cooling,3695.8,3454.4,241.4,6.53,182.5,38.2,20.7,2024-02-19,Tech_B,Rubber degradation begins
TE-RC20-600-FC-1,RC-20,600,Furnace_Cooling,3542.1,3098.5,443.6,12.52,218.4,148.2,77.0,2024-02-20,Tech_A,Significant rubber decomposition
TE-RC20-600-FC-2,RC-20,600,Furnace_Cooling,3545.8,3102.1,443.7,12.51,218.5,148.2,77.0,2024-02-20,Tech_A,Significant rubber decomposition
TE-RC20-600-FC-3,RC-20,600,Furnace_Cooling,3543.4,3099.8,443.6,12.52,218.4,148.2,77.0,2024-02-20,Tech_A,Significant rubber decomposition
TE-RC30-800-FC-1,RC-30,800,Furnace_Cooling,3389.6,2756.8,632.8,18.67,275.2,238.5,119.1,2024-02-21,Tech_B,Extensive rubber burnout
TE-RC30-800-FC-2,RC-30,800,Furnace_Cooling,3392.4,2759.5,632.9,18.66,275.3,238.5,119.1,2024-02-21,Tech_B,Extensive rubber burnout
TE-RC30-800-FC-3,RC-30,800,Furnace_Cooling,3390.8,2758.1,632.7,18.67,275.1,238.5,119.1,2024-02-21,Tech_B,Extensive rubber burnout
