building_id,material_category,quantity_unit,quantity,gwp_kgco2e
B0021,insulation_min_wool,kg,48207.6,72311.4
B0021,insulation_pir,kg,48207.6,183188.88
B0021,concrete_c30,m3,13787.2,4549776.0
B0021,brick,kg,689360.0,151659.2
B0021,steel_rebar,kg,82723.2,157174.08
B0021,aluminium,kg,13787.2,110297.6
B0021,timber_glulam,kg,13787.2,1654.46
B0021,glass_double,m2,246.2,7386.0
B0022,insulation_min_wool,kg,8055.84,12083.76
B0022,insulation_pir,kg,8055.84,30612.19
B0022,concrete_c30,m3,1250.08,412526.4
B0022,brick,kg,62504.0,13750.88
B0022,steel_rebar,kg,7500.48,14250.91
B0022,aluminium,kg,1250.08,10000.64
B0022,timber_glulam,kg,1250.08,150.01
B0022,glass_double,m2,156.26,4687.8
B0023,insulation_min_wool,kg,33879.12,50818.68
B0023,insulation_pir,kg,33879.12,128740.66
B0023,concrete_c30,m3,9661.44,3188275.2
B0023,brick,kg,483072.0,106275.84
B0023,steel_rebar,kg,57968.64,110140.42
B0023,aluminium,kg,9661.44,77291.52
B0023,timber_glulam,kg,9661.44,1159.37
B0023,glass_double,m2,150.96,4528.8
B0024,insulation_min_wool,kg,22945.2,34417.8
B0024,insulation_pir,kg,22945.2,87191.76
B0024,concrete_c30,m3,6417.6,2117808.0
B0024,brick,kg,320880.0,70593.6
B0024,steel_rebar,kg,38505.6,73160.64
B0024,aluminium,kg,6417.6,51340.8
B0024,timber_glulam,kg,6417.6,770.11
B0024,glass_double,m2,133.7,4011.0
B0025,insulation_min_wool,kg,31805.64,47708.46
B0025,insulation_pir,kg,31805.64,120861.43
B0025,concrete_c30,m3,9210.88,3039590.4
B0025,brick,kg,460544.0,101319.68
B0025,steel_rebar,kg,55265.28,105004.03
B0025,aluminium,kg,9210.88,73687.04
B0025,timber_glulam,kg,9210.88,1105.31
B0025,glass_double,m2,143.92,4317.6
B0026,insulation_min_wool,kg,33124.2,49686.3
B0026,insulation_pir,kg,33124.2,125871.96
B0026,concrete_c30,m3,8902.4,2937792.0
B0026,brick,kg,445120.0,97926.4
B0026,steel_rebar,kg,53414.4,101487.36
B0026,aluminium,kg,8902.4,71219.2
B0026,timber_glulam,kg,8902.4,1068.29
B0026,glass_double,m2,222.56,6676.8
B0027,insulation_min_wool,kg,12258.36,18387.54
B0027,insulation_pir,kg,12258.36,46581.77
B0027,concrete_c30,m3,1731.52,571401.6
B0027,brick,kg,86576.0,19046.72
B0027,steel_rebar,kg,10389.12,19739.33
B0027,aluminium,kg,1731.52,13852.16
B0027,timber_glulam,kg,1731.52,207.78
B0027,glass_double,m2,216.44,6493.2
B0028,insulation_min_wool,kg,12333.96,18500.94
B0028,insulation_pir,kg,12333.96,46869.05
B0028,concrete_c30,m3,2889.12,953409.6
B0028,brick,kg,144456.0,31780.32
B0028,steel_rebar,kg,17334.72,32935.97
B0028,aluminium,kg,2889.12,23112.96
B0028,timber_glulam,kg,2889.12,346.69
B0028,glass_double,m2,120.38,3611.4
B0029,insulation_min_wool,kg,57852.6,86778.9
B0029,insulation_pir,kg,57852.6,219839.88
B0029,concrete_c30,m3,17212.8,5680224.0
B0029,brick,kg,860640.0,189340.8
B0029,steel_rebar,kg,103276.8,196225.92
B0029,aluminium,kg,17212.8,137702.4
B0029,timber_glulam,kg,17212.8,2065.54
B0029,glass_double,m2,215.16,6454.8
B0030,insulation_min_wool,kg,7306.56,10959.84
B0030,insulation_pir,kg,7306.56,27764.93
B0030,concrete_c30,m3,1739.52,574041.6
B0030,brick,kg,86976.0,19134.72
B0030,steel_rebar,kg,10437.12,19830.53
B0030,aluminium,kg,1739.52,13916.16
B0030,timber_glulam,kg,1739.52,208.74
B0030,glass_double,m2,72.48,2174.4
