building_id,month,electricity_kwh,gas_kwh,total_kwh,energy_intensity_kwh_m2,rating_label,period
B0008,07,34561.1,14811.9,49373.0,11.37,A,pre
B0008,08,36080.2,15463.0,51543.2,11.88,A,pre
B0008,09,34940.9,14974.7,49915.5,11.5,A,pre
B0008,10,32662.1,13998.0,46660.2,10.75,A,pre
B0008,11,32662.1,13998.0,46660.2,10.75,A,pre
B0008,12,32282.3,13835.3,46117.6,10.63,A,pre
B0009,01,32867.8,14086.2,46954.0,10.62,A,pre
B0009,02,29001.0,12429.0,41430.0,9.38,A,pre
B0009,03,30934.4,13257.6,44192.0,10.0,A,pre
B0009,04,31707.8,13589.0,45296.8,10.25,A,pre
B0009,05,32867.8,14086.2,46954.0,10.62,A,pre
B0009,06,34027.8,14583.4,48611.2,11.0,A,pre
B0009,07,35187.9,15080.5,50268.4,11.38,A,pre
B0009,08,36734.6,15743.4,52478.0,11.88,A,pre
B0009,09,35574.6,15246.2,50820.8,11.5,A,pre
B0009,10,33254.5,14251.9,47506.4,10.75,A,pre
B0009,11,33254.5,14251.9,47506.4,10.75,A,pre
B0009,12,32867.8,14086.2,46954.0,10.62,A,pre
B0010,01,37681.8,16149.3,53831.1,18.23,A,pre
B0010,02,33248.6,14249.4,47498.0,16.09,A,pre
B0010,03,35465.2,15199.4,50664.6,17.16,A,pre
B0010,04,36351.8,15579.4,51931.2,17.59,A,pre
B0010,05,37681.8,16149.3,53831.1,18.23,A,pre
B0010,06,39011.7,16719.3,55731.0,18.88,A,pre
B0010,07,40341.7,17289.3,57630.9,19.52,A,pre
B0010,08,42114.9,18049.2,60164.2,20.38,A,pre
B0010,09,40785.0,17479.3,58264.2,19.73,A,pre
B0010,10,38125.1,16339.3,54464.4,18.45,A,pre
B0010,11,38125.1,16339.3,54464.4,18.45,A,pre
B0010,12,37681.8,16149.3,53831.1,18.23,A,pre
B0011,01,23358.8,10010.9,33369.8,8.08,A,pre
B0011,02,20610.7,8833.2,29443.9,7.12,A,pre
B0011,03,21984.8,9422.1,31406.8,7.6,A,pre
B0011,04,22534.4,9657.6,32192.0,7.79,A,pre
B0011,05,23358.8,10010.9,33369.8,8.08,A,pre
B0011,06,24183.3,10364.3,34547.5,8.36,A,pre
B0011,07,25007.7,10717.6,35725.3,8.64,A,pre
B0011,08,26106.9,11188.7,37295.6,9.03,A,pre
B0011,09,25282.5,10835.4,36117.9,8.74,A,pre
B0011,10,23633.7,10128.7,33762.4,8.17,A,pre
B0011,11,23633.7,10128.7,33762.4,8.17,A,pre
B0011,12,23358.8,10010.9,33369.8,8.08,A,pre
B0012,01,25037.6,10730.4,35768.0,10.62,A,pre
B0012,02,22092.0,9468.0,31560.0,9.38,A,pre
B0012,03,23564.8,10099.2,33664.0,10.0,A,pre
B0012,04,24153.9,10351.7,34505.6,10.25,A,pre
B0012,05,25037.6,10730.4,35768.0,10.62,A,pre
B0012,06,25921.3,11109.1,37030.4,11.0,A,pre
B0012,07,26805.0,11487.8,38292.8,11.37,A,pre
B0012,08,27983.2,11992.8,39976.0,11.88,A,pre
B0012,09,27099.5,11614.1,38713.6,11.5,A,pre
B0012,10,25332.2,10856.6,36188.8,10.75,A,pre
B0012,11,25332.2,10856.6,36188.8,10.75,A,pre
B0012,12,25037.6,10730.4,35768.0,10.62,A,pre
B0013,01,70554.8,30237.8,100792.6,13.81,A,pre
B0013,02,62254.2,26680.4,88934.6,12.19,A,pre
B0013,03,66404.5,28459.1,94863.6,13.0,A,pre
B0013,04,68064.6,29170.6,97235.2,13.32,A,pre
B0013,05,70554.8,30237.8,100792.6,13.81,A,pre
B0013,06,73045.0,31305.0,104350.0,14.3,A,pre
B0013,07,75535.1,32372.2,107907.3,14.79,A,pre
B0013,08,78855.4,33795.2,112650.5,15.44,A,pre
B0013,09,76365.2,32727.9,109093.1,14.95,A,pre
B0013,10,71384.9,30593.5,101978.4,13.97,A,pre
B0013,11,71384.9,30593.5,101978.4,13.97,A,pre
B0013,12,70554.8,30237.8,100792.6,13.81,A,pre
B0014,01,15236.8,6530.0,21766.8,10.62,A,pre
B0014,02,13444.2,5761.8,19206.0,9.37,A,pre
B0014,03,14340.5,6145.9,20486.4,10.0,A,pre
B0014,04,14699.0,6299.6,20998.6,10.25,A,pre
B0014,05,15236.8,6530.0,21766.8,10.62,A,pre
B0014,06,15774.5,6760.5,22535.0,11.0,A,pre
B0014,07,16312.3,6991.0,23303.3,11.37,A,pre
B0014,08,17029.3,7298.3,24327.6,11.87,A,pre
B0014,09,16491.6,7067.8,23559.4,11.5,A,pre
B0014,10,15416.0,6606.9,22022.9,10.75,A,pre
B0014,11,15416.0,6606.9,22022.9,10.75,A,pre
B0014,12,15236.8,6530.0,21766.8,10.62,A,pre
B0015,01,36724.0,15738.9,52462.9,18.23,A,pre
B0015,02,32403.6,13887.2,46290.8,16.09,A,pre
B0015,03,34563.8,14813.1,49376.9,17.16,A,pre
B0015,04,35427.9,15183.4,50611.3,17.59,A,pre
B0015,05,36724.0,15738.9,52462.9,18.23,A,pre
B0015,06,38020.2,16294.4,54314.6,18.88,A,pre
B0015,07,39316.3,16849.9,56166.2,19.52,A,pre
B0015,08,41044.5,17590.5,58635.0,20.38,A,pre
B0015,09,39748.4,17035.0,56783.4,19.73,A,pre
B0015,10,37156.1,15924.0,53080.1,18.45,A,pre
B0015,11,37156.1,15924.0,53080.1,18.45,A,pre
B0015,12,36724.0,15738.9,52462.9,18.23,A,pre
B0016,01,10344.1,4433.2,14777.2,8.07,A,pre
B0016,02,9127.1,3911.6,13038.8,7.12,A,pre
B0016,03,9735.6,4172.4,13908.0,7.6,A,pre
B0016,04,9979.0,4276.7,14255.7,7.79,A,pre
B0016,05,10344.1,4433.2,14777.2,8.07,A,pre
B0016,06,10709.2,4589.6,15298.8,8.36,A,pre
B0016,07,11074.2,4746.1,15820.3,8.64,A,pre
B0016,08,11561.0,4954.7,16515.8,9.03,A,pre
B0016,09,11195.9,4798.3,15994.2,8.74,A,pre
B0016,10,10465.8,4485.3,14951.1,8.17,A,pre
B0016,11,10465.8,4485.3,14951.1,8.17,A,pre
B0016,12,10344.1,4433.2,14777.2,8.07,A,pre
B0017,01,20093.5,8611.5,28705.0,8.07,A,pre
B0017,02,17729.6,7598.4,25327.9,7.12,A,pre
B0017,03,18911.5,8104.9,27016.5,7.6,A,pre
B0017,04,19384.3,8307.6,27691.9,7.79,A,pre
B0017,05,20093.5,8611.5,28705.0,8.07,A,pre
B0017,06,20802.7,8915.4,29718.1,8.36,A,pre
B0017,07,21511.9,9219.4,30731.2,8.64,A,pre
B0017,08,22457.4,9624.6,32082.1,9.02,A,pre
B0017,09,21748.3,9320.7,31069.0,8.74,A,pre
B0017,10,20329.9,8712.8,29042.7,8.17,A,pre
B0017,11,20329.9,8712.8,29042.7,8.17,A,pre
B0017,12,20093.5,8611.5,28705.0,8.07,A,pre
B0018,01,63817.8,27350.5,91168.3,18.23,A,pre
B0018,02,56309.9,24132.8,80442.6,16.09,A,pre
B0018,03,60063.8,25741.6,85805.5,17.16,A,pre
B0018,04,61565.4,26385.2,87950.6,17.59,A,pre
B0018,05,63817.8,27350.5,91168.3,18.23,A,pre
B0018,06,66070.2,28315.8,94386.0,18.88,A,pre
B0018,07,68322.6,29281.1,97603.7,19.52,A,pre
B0018,08,71325.8,30568.2,101894.0,20.38,A,pre
B0018,09,69073.4,29602.9,98676.3,19.73,A,pre
B0018,10,64568.6,27672.3,92240.9,18.45,A,pre
B0018,11,64568.6,27672.3,92240.9,18.45,A,pre
B0018,12,63817.8,27350.5,91168.3,18.23,A,pre
B0019,01,24418.7,10465.2,34883.9,18.23,A,pre
B0019,02,21545.9,9234.0,30779.9,16.09,A,pre
B0019,03,22982.3,9849.6,32831.9,17.16,A,pre
B0019,04,23556.9,10095.8,33652.7,17.59,A,pre
B0019,05,24418.7,10465.2,34883.9,18.23,A,pre
B0019,06,25280.6,10834.5,36115.1,18.88,A,pre
B0019,07,26142.4,11203.9,37346.3,19.52,A,pre
B0019,08,27291.5,11696.4,38987.9,20.38,A,pre
B0019,09,26429.7,11327.0,37756.7,19.73,A,pre
B0019,10,24706.0,10588.3,35294.3,18.45,A,pre
B0019,11,24706.0,10588.3,35294.3,18.45,A,pre
B0019,12,24418.7,10465.2,34883.9,18.23,A,pre
B0020,01,22853.5,9794.4,32647.8,18.23,A,pre
B0020,02,20164.8,8642.1,28806.9,16.09,A,pre
B0020,03,21509.2,9218.2,30727.4,17.16,A,pre
B0020,04,22046.9,9448.7,31495.6,17.59,A,pre
B0020,05,22853.5,9794.4,32647.8,18.23,A,pre
B0020,06,23660.1,10140.0,33800.1,18.88,A,pre
B0020,07,24466.7,10485.7,34952.4,19.52,A,pre
B0020,08,25542.1,10946.6,36488.8,20.38,A,pre
B0020,09,24735.5,10600.9,35336.5,19.73,A,pre
B0020,10,23122.4,9909.6,33031.9,18.45,A,pre
B0020,11,23122.4,9909.6,33031.9,18.45,A,pre
B0020,12,22853.5,9794.4,32647.8,18.23,A,pre
B0021,01,38966.1,16699.7,55665.8,8.08,A,pre
B0021,02,34381.8,14735.1,49116.9,7.12,A,pre
B0021,03,36674.0,15717.4,52391.4,7.6,A,pre
B0021,04,37590.8,16110.3,53701.1,7.79,A,pre
B0021,05,38966.1,16699.7,55665.8,8.08,A,pre
B0021,06,40341.3,17289.1,57630.5,8.36,A,pre
B0021,07,41716.6,17878.6,59595.2,8.64,A,pre
B0021,08,43550.3,18664.4,62214.7,9.02,A,pre
B0021,09,42175.0,18075.0,60250.1,8.74,A,pre
B0021,10,39424.5,16896.2,56320.7,8.17,A,pre
B0021,11,39424.5,16896.2,56320.7,8.17,A,pre
B0021,12,38966.1,16699.7,55665.8,8.08,A,pre
B0022,01,3533.0,1514.2,5047.2,8.08,A,pre
B0022,02,3117.4,1336.0,4453.4,7.12,A,pre
B0022,03,3325.2,1425.1,4750.3,7.6,A,pre
B0022,04,3408.3,1460.7,4869.1,7.79,A,pre
B0022,05,3533.0,1514.2,5047.2,8.08,A,pre
B0022,06,3657.7,1567.6,5225.3,8.36,A,pre
B0022,07,3782.4,1621.0,5403.5,8.64,A,pre
B0022,08,3948.7,1692.3,5641.0,9.02,A,pre
B0022,09,3824.0,1638.9,5462.8,8.74,A,pre
B0022,10,3574.6,1532.0,5106.6,8.17,A,pre
B0022,11,3574.6,1532.0,5106.6,8.17,A,pre
B0022,12,3533.0,1514.2,5047.2,8.08,A,pre
B0023,01,27305.6,11702.4,39008.1,8.08,A,pre
B0023,02,24093.2,10325.7,34418.9,7.12,A,pre
B0023,03,25699.4,11014.0,36713.5,7.6,A,pre
B0023,04,26341.9,11289.4,37631.3,7.79,A,pre
B0023,05,27305.6,11702.4,39008.1,8.08,A,pre
B0023,06,28269.4,12115.4,40384.8,8.36,A,pre
B0023,07,29233.1,12528.5,41761.6,8.64,A,pre
B0023,08,30518.1,13079.2,43597.2,9.02,A,pre
B0023,09,29554.3,12666.1,42220.5,8.74,A,pre
B0023,10,27626.9,11840.1,39467.0,8.17,A,pre
B0023,11,27626.9,11840.1,39467.0,8.17,A,pre
B0023,12,27305.6,11702.4,39008.1,8.08,A,pre
B0024,01,40953.1,17551.3,58504.4,18.23,A,pre
B0024,02,36135.1,15486.5,51621.6,16.09,A,pre
B0024,03,38544.1,16518.9,55063.0,17.16,A,pre
B0024,04,39507.7,16931.9,56439.6,17.59,A,pre
B0024,05,40953.1,17551.3,58504.4,18.23,A,pre
B0024,06,42398.5,18170.8,60569.3,18.88,A,pre
B0024,07,43843.9,18790.3,62634.2,19.52,A,pre
B0024,08,45771.1,19616.2,65387.3,20.38,A,pre
B0024,09,44325.7,18996.7,63322.5,19.73,A,pre
B0024,10,41434.9,17757.8,59192.7,18.45,A,pre
B0024,11,41434.9,17757.8,59192.7,18.45,A,pre
B0024,12,40953.1,17551.3,58504.4,18.23,A,pre
B0025,01,58778.1,25190.6,83968.7,18.23,A,pre
B0025,02,51863.0,22227.0,74090.0,16.09,A,pre
B0025,03,55320.5,23708.8,79029.4,17.16,A,pre
B0025,04,56703.6,24301.5,81005.1,17.59,A,pre
B0025,05,58778.1,25190.6,83968.7,18.23,A,pre
B0025,06,60852.6,26079.7,86932.3,18.88,A,pre
B0025,07,62927.1,26968.8,89895.9,19.52,A,pre
B0025,08,65693.1,28154.2,93847.4,20.38,A,pre
B0025,09,63618.6,27265.1,90883.8,19.73,A,pre
B0025,10,59469.6,25487.0,84956.6,18.45,A,pre
B0025,11,59469.6,25487.0,84956.6,18.45,A,pre
B0025,12,58778.1,25190.6,83968.7,18.23,A,pre
B0026,01,25160.4,10783.0,35943.4,8.08,A,pre
B0026,02,22200.4,9514.4,31714.8,7.12,A,pre
B0026,03,23680.4,10148.7,33829.1,7.6,A,pre
B0026,04,24272.4,10402.5,34674.8,7.79,A,pre
B0026,05,25160.4,10783.0,35943.4,8.08,A,pre
B0026,06,26048.4,11163.6,37212.0,8.36,A,pre
B0026,07,26936.4,11544.2,38480.6,8.64,A,pre
B0026,08,28120.5,12051.6,40172.1,9.03,A,pre
B0026,09,27232.4,11671.0,38903.5,8.74,A,pre
B0026,10,25456.4,10909.9,36366.3,8.17,A,pre
B0026,11,25456.4,10909.9,36366.3,8.17,A,pre
B0026,12,25160.4,10783.0,35943.4,8.08,A,pre
B0027,01,4893.7,2097.3,6991.0,8.07,A,pre
B0027,02,4318.0,1850.6,6168.5,7.12,A,pre
B0027,03,4605.8,1973.9,6579.8,7.6,A,pre
B0027,04,4721.0,2023.3,6744.3,7.79,A,pre
B0027,05,4893.7,2097.3,6991.0,8.07,A,pre
B0027,06,5066.4,2171.3,7237.8,8.36,A,pre
B0027,07,5239.1,2245.3,7484.5,8.64,A,pre
B0027,08,5469.4,2344.0,7813.5,9.03,A,pre
B0027,09,5296.7,2270.0,7566.7,8.74,A,pre
B0027,10,4951.3,2122.0,7073.3,8.17,A,pre
B0027,11,4951.3,2122.0,7073.3,8.17,A,pre
B0027,12,4893.7,2097.3,6991.0,8.07,A,pre
B0028,01,8165.4,3499.4,11664.8,8.08,A,pre
B0028,02,7204.7,3087.7,10292.5,7.12,A,pre
B0028,03,7685.1,3293.6,10978.7,7.6,A,pre
B0028,04,7877.2,3375.9,11253.1,7.79,A,pre
B0028,05,8165.4,3499.4,11664.8,8.08,A,pre
B0028,06,8453.6,3623.0,12076.5,8.36,A,pre
B0028,07,8741.8,3746.5,12488.2,8.64,A,pre
B0028,08,9126.0,3911.1,13037.2,9.02,A,pre
B0028,09,8837.8,3787.6,12625.5,8.74,A,pre
B0028,10,8261.4,3540.6,11802.1,8.17,A,pre
B0028,11,8261.4,3540.6,11802.1,8.17,A,pre
B0028,12,8165.4,3499.4,11664.8,8.08,A,pre
B0029,01,48647.7,20849.0,69496.7,8.07,A,pre
B0029,02,42924.4,18396.2,61320.6,7.12,A,pre
B0029,03,45786.0,19622.6,65408.6,7.6,A,pre
B0029,04,46930.7,20113.2,67043.9,7.79,A,pre
B0029,05,48647.7,20849.0,69496.7,8.07,A,pre
B0029,06,50364.7,21584.9,71949.5,8.36,A,pre
B0029,07,52081.6,22320.7,74402.3,8.64,A,pre
B0029,08,54370.9,23301.8,77672.8,9.03,A,pre
B0029,09,52654.0,22566.0,75219.9,8.74,A,pre
B0029,10,49220.0,21094.3,70314.3,8.17,A,pre
B0029,11,49220.0,21094.3,70314.3,8.17,A,pre
B0029,12,48647.7,20849.0,69496.7,8.07,A,pre
B0030,01,6468.8,2772.4,9241.2,10.62,A,pre
B0030,02,5707.8,2446.2,8154.0,9.38,A,pre
B0030,03,6088.3,2609.3,8697.6,10.0,A,pre
B0030,04,6240.5,2674.5,8915.0,10.25,A,pre
B0030,05,6468.8,2772.4,9241.2,10.62,A,pre
B0030,06,6697.2,2870.2,9567.4,11.0,A,pre
B0030,07,6925.5,2968.1,9893.5,11.38,A,pre
B0030,08,7229.9,3098.5,10328.4,11.88,A,pre
B0030,09,7001.6,3000.7,10002.2,11.5,A,pre
B0030,10,6544.9,2805.0,9349.9,10.75,A,pre
B0030,11,6544.9,2805.0,9349.9,10.75,A,pre
B0030,12,6468.8,2772.4,9241.2,10.62,A,pre
