building_id,month,electricity_kwh,gas_kwh,total_kwh,energy_intensity_kwh_m2,rating_label,period
B0006,09,22134.0,9486.0,31620.1,6.99,A,post
B0006,10,20690.5,8867.4,29557.9,6.54,A,post
B0006,11,20690.5,8867.4,29557.9,6.54,A,post
B0006,12,20449.9,8764.3,29214.2,6.46,A,post
B0007,01,40852.2,17508.1,58360.3,8.5,A,post
B0007,02,36046.1,15448.3,51494.4,7.5,A,post
B0007,03,38449.2,16478.2,54927.4,8.0,A,post
B0007,04,39410.4,16890.2,56300.5,8.2,A,post
B0007,05,40852.2,17508.1,58360.3,8.5,A,post
B0007,06,42294.1,18126.0,60420.1,8.8,A,post
B0007,07,43735.9,18744.0,62479.9,9.1,A,post
B0007,08,45658.4,19567.9,65226.2,9.5,A,post
B0007,09,44216.5,18949.9,63166.5,9.2,A,post
B0007,10,41332.8,17714.1,59046.9,8.6,A,post
B0007,11,41332.8,17714.1,59046.9,8.6,A,post
B0007,12,40852.2,17508.1,58360.3,8.5,A,post
B0008,01,25825.9,11068.2,36894.1,8.5,A,post
B0008,02,22787.5,9766.1,32553.6,7.5,A,post
B0008,03,24306.7,10417.2,34723.8,8.0,A,post
B0008,04,24914.4,10677.6,35591.9,8.2,A,post
B0008,05,25825.9,11068.2,36894.1,8.5,A,post
B0008,06,26737.4,11458.9,38196.2,8.8,A,post
B0008,07,27648.9,11849.5,39498.4,9.1,A,post
B0008,08,28864.2,12370.4,41234.6,9.5,A,post
B0008,09,27952.7,11979.7,39932.4,9.2,A,post
B0008,10,26129.7,11198.4,37328.1,8.6,A,post
B0008,11,26129.7,11198.4,37328.1,8.6,A,post
B0008,12,25825.9,11068.2,36894.1,8.5,A,post
B0009,01,26294.2,11269.0,37563.2,8.5,A,post
B0009,02,23200.8,9943.2,33144.0,7.5,A,post
B0009,03,24747.5,10606.1,35353.6,8.0,A,post
B0009,04,25366.2,10871.2,36237.4,8.2,A,post
B0009,05,26294.2,11269.0,37563.2,8.5,A,post
B0009,06,27222.3,11666.7,38889.0,8.8,A,post
B0009,07,28150.3,12064.4,40214.7,9.1,A,post
B0009,08,29387.7,12594.7,41982.4,9.5,A,post
B0009,09,28459.6,12197.0,40656.6,9.2,A,post
B0009,10,26603.6,11401.5,38005.1,8.6,A,post
B0009,11,26603.6,11401.5,38005.1,8.6,A,post
B0009,12,26294.2,11269.0,37563.2,8.5,A,post
B0010,01,30145.4,12919.5,43064.9,14.59,A,post
B0010,02,26598.9,11399.5,37998.4,12.87,A,post
B0010,03,28372.2,12159.5,40531.6,13.73,A,post
B0010,04,29081.5,12463.5,41544.9,14.07,A,post
B0010,05,30145.4,12919.5,43064.9,14.59,A,post
B0010,06,31209.4,13375.4,44584.8,15.1,A,post
B0010,07,32273.3,13831.4,46104.7,15.62,A,post
B0010,08,33691.9,14439.4,48131.3,16.3,A,post
B0010,09,32628.0,13983.4,46611.4,15.79,A,post
B0010,10,30500.1,13071.5,43571.5,14.76,A,post
B0010,11,30500.1,13071.5,43571.5,14.76,A,post
B0010,12,30145.4,12919.5,43064.9,14.59,A,post
B0011,01,18687.1,8008.7,26695.8,6.46,A,post
B0011,02,16488.6,7066.5,23555.1,5.7,A,post
B0011,03,17587.8,7537.6,25125.5,6.08,A,post
B0011,04,18027.5,7726.1,25753.6,6.23,A,post
B0011,05,18687.1,8008.7,26695.8,6.46,A,post
B0011,06,19346.6,8291.4,27638.0,6.69,A,post
B0011,07,20006.2,8574.1,28580.2,6.92,A,post
B0011,08,20885.6,8951.0,29836.5,7.22,A,post
B0011,09,20226.0,8668.3,28894.3,6.99,A,post
B0011,10,18906.9,8103.0,27009.9,6.54,A,post
B0011,11,18906.9,8103.0,27009.9,6.54,A,post
B0011,12,18687.1,8008.7,26695.8,6.46,A,post
B0012,01,20030.1,8584.3,28614.4,8.5,A,post
B0012,02,17673.6,7574.4,25248.0,7.5,A,post
B0012,03,18851.8,8079.4,26931.2,8.0,A,post
B0012,04,19323.1,8281.3,27604.5,8.2,A,post
B0012,05,20030.1,8584.3,28614.4,8.5,A,post
B0012,06,20737.0,8887.3,29624.3,8.8,A,post
B0012,07,21444.0,9190.3,30634.2,9.1,A,post
B0012,08,22386.6,9594.2,31980.8,9.5,A,post
B0012,09,21679.6,9291.3,30970.9,9.2,A,post
B0012,10,20265.7,8685.3,28951.0,8.6,A,post
B0012,11,20265.7,8685.3,28951.0,8.6,A,post
B0012,12,20030.1,8584.3,28614.4,8.5,A,post
B0013,01,56443.8,24190.2,80634.1,11.05,A,post
B0013,02,49803.4,21344.3,71147.7,9.75,A,post
B0013,03,53123.6,22767.3,75890.9,10.4,A,post
B0013,04,54451.7,23336.4,77788.2,10.66,A,post
B0013,05,56443.8,24190.2,80634.1,11.05,A,post
B0013,06,58436.0,25044.0,83480.0,11.44,A,post
B0013,07,60428.1,25897.8,86325.9,11.83,A,post
B0013,08,63084.3,27036.1,90120.4,12.35,A,post
B0013,09,61092.2,26182.4,87274.5,11.96,A,post
B0013,10,57107.9,24474.8,81582.7,11.18,A,post
B0013,11,57107.9,24474.8,81582.7,11.18,A,post
B0013,12,56443.8,24190.2,80634.1,11.05,A,post
B0014,01,12189.4,5224.0,17413.4,8.5,A,post
B0014,02,10755.4,4609.4,15364.8,7.5,A,post
B0014,03,11472.4,4916.7,16389.1,8.0,A,post
B0014,04,11759.2,5039.7,16798.8,8.2,A,post
B0014,05,12189.4,5224.0,17413.4,8.5,A,post
B0014,06,12619.6,5408.4,18028.0,8.8,A,post
B0014,07,13049.8,5592.8,18642.6,9.1,A,post
B0014,08,13623.5,5838.6,19462.1,9.5,A,post
B0014,09,13193.2,5654.2,18847.5,9.2,A,post
B0014,10,12332.8,5285.5,17618.3,8.6,A,post
B0014,11,12332.8,5285.5,17618.3,8.6,A,post
B0014,12,12189.4,5224.0,17413.4,8.5,A,post
B0015,01,29379.2,12591.1,41970.3,14.59,A,post
B0015,02,25922.9,11109.8,37032.7,12.87,A,post
B0015,03,27651.0,11850.4,39501.5,13.73,A,post
B0015,04,28342.3,12146.7,40489.0,14.07,A,post
B0015,05,29379.2,12591.1,41970.3,14.59,A,post
B0015,06,30416.2,13035.5,43451.6,15.1,A,post
B0015,07,31453.1,13479.9,44933.0,15.62,A,post
B0015,08,32835.6,14072.4,46908.0,16.3,A,post
B0015,09,31798.7,13628.0,45426.7,15.79,A,post
B0015,10,29724.9,12739.2,42464.1,14.76,A,post
B0015,11,29724.9,12739.2,42464.1,14.76,A,post
B0015,12,29379.2,12591.1,41970.3,14.59,A,post
B0016,01,8275.3,3546.5,11821.8,6.46,A,post
B0016,02,7301.7,3129.3,10431.0,5.7,A,post
B0016,03,7788.5,3337.9,11126.4,6.08,A,post
B0016,04,7983.2,3421.4,11404.6,6.23,A,post
B0016,05,8275.3,3546.5,11821.8,6.46,A,post
B0016,06,8567.3,3671.7,12239.0,6.69,A,post
B0016,07,8859.4,3796.9,12656.3,6.92,A,post
B0016,08,9248.8,3963.8,13212.6,7.22,A,post
B0016,09,8956.8,3838.6,12795.4,6.99,A,post
B0016,10,8372.6,3588.3,11960.9,6.54,A,post
B0016,11,8372.6,3588.3,11960.9,6.54,A,post
B0016,12,8275.3,3546.5,11821.8,6.46,A,post
B0017,01,16074.8,6889.2,22964.0,6.46,A,post
B0017,02,14183.7,6078.7,20262.4,5.7,A,post
B0017,03,15129.2,6484.0,21613.2,6.08,A,post
B0017,04,15507.5,6646.1,22153.5,6.23,A,post
B0017,05,16074.8,6889.2,22964.0,6.46,A,post
B0017,06,16642.2,7132.4,23774.5,6.69,A,post
B0017,07,17209.5,7375.5,24585.0,6.92,A,post
B0017,08,17966.0,7699.7,25665.7,7.22,A,post
B0017,09,17398.6,7456.5,24855.2,6.99,A,post
B0017,10,16263.9,6970.3,23234.2,6.54,A,post
B0017,11,16263.9,6970.3,23234.2,6.54,A,post
B0017,12,16074.8,6889.2,22964.0,6.46,A,post
B0018,01,51054.3,21880.4,72934.7,14.59,A,post
B0018,02,45047.9,19306.2,64354.1,12.87,A,post
B0018,03,48051.1,20593.3,68644.4,13.73,A,post
B0018,04,49252.4,21108.2,70360.5,14.07,A,post
B0018,05,51054.3,21880.4,72934.7,14.59,A,post
B0018,06,52856.2,22652.6,75508.8,15.1,A,post
B0018,07,54658.1,23424.9,78083.0,15.62,A,post
B0018,08,57060.7,24454.6,81515.2,16.3,A,post
B0018,09,55258.7,23682.3,78941.1,15.79,A,post
B0018,10,51654.9,22137.8,73792.7,14.76,A,post
B0018,11,51654.9,22137.8,73792.7,14.76,A,post
B0018,12,51054.3,21880.4,72934.7,14.59,A,post
B0019,01,19535.0,8372.1,27907.1,14.59,A,post
B0019,02,17236.7,7387.2,24623.9,12.87,A,post
B0019,03,18385.9,7879.7,26265.5,13.73,A,post
B0019,04,18845.5,8076.6,26922.1,14.07,A,post
B0019,05,19535.0,8372.1,27907.1,14.59,A,post
B0019,06,20224.4,8667.6,28892.1,15.1,A,post
B0019,07,20913.9,8963.1,29877.0,15.62,A,post
B0019,08,21833.2,9357.1,31190.3,16.3,A,post
B0019,09,21143.7,9061.6,30205.3,15.79,A,post
B0019,10,19764.8,8470.6,28235.4,14.76,A,post
B0019,11,19764.8,8470.6,28235.4,14.76,A,post
B0019,12,19535.0,8372.1,27907.1,14.59,A,post
B0020,01,18282.8,7835.5,26118.3,14.59,A,post
B0020,02,16131.9,6913.7,23045.5,12.87,A,post
B0020,03,17207.3,7374.6,24581.9,13.73,A,post
B0020,04,17637.5,7558.9,25196.5,14.07,A,post
B0020,05,18282.8,7835.5,26118.3,14.59,A,post
B0020,06,18928.1,8112.0,27040.1,15.1,A,post
B0020,07,19573.3,8388.6,27961.9,15.62,A,post
B0020,08,20433.7,8757.3,29191.0,16.3,A,post
B0020,09,19788.4,8480.8,28269.2,15.79,A,post
B0020,10,18497.9,7927.7,26425.5,14.76,A,post
B0020,11,18497.9,7927.7,26425.5,14.76,A,post
B0020,12,18282.8,7835.5,26118.3,14.59,A,post
B0021,01,31172.9,13359.8,44532.7,6.46,A,post
B0021,02,27505.5,11788.1,39293.5,5.7,A,post
B0021,03,29339.2,12573.9,41913.1,6.08,A,post
B0021,04,30072.6,12888.3,42960.9,6.23,A,post
B0021,05,31172.9,13359.8,44532.7,6.46,A,post
B0021,06,32273.1,13831.3,46104.4,6.69,A,post
B0021,07,33373.3,14302.8,47676.1,6.92,A,post
B0021,08,34840.3,14931.5,49771.8,7.22,A,post
B0021,09,33740.0,14460.0,48200.1,6.99,A,post
B0021,10,31539.6,13517.0,45056.6,6.54,A,post
B0021,11,31539.6,13517.0,45056.6,6.54,A,post
B0021,12,31172.9,13359.8,44532.7,6.46,A,post
B0022,01,2826.4,1211.3,4037.8,6.46,A,post
B0022,02,2493.9,1068.8,3562.7,5.7,A,post
B0022,03,2660.2,1140.1,3800.2,6.08,A,post
B0022,04,2726.7,1168.6,3895.2,6.23,A,post
B0022,05,2826.4,1211.3,4037.8,6.46,A,post
B0022,06,2926.2,1254.1,4180.3,6.69,A,post
B0022,07,3025.9,1296.8,4322.8,6.92,A,post
B0022,08,3159.0,1353.8,4512.8,7.22,A,post
B0022,09,3059.2,1311.1,4370.3,6.99,A,post
B0022,10,2859.7,1225.6,4085.3,6.54,A,post
B0022,11,2859.7,1225.6,4085.3,6.54,A,post
B0022,12,2826.4,1211.3,4037.8,6.46,A,post
B0023,01,21844.5,9361.9,31206.5,6.46,A,post
B0023,02,19274.6,8260.5,27535.1,5.7,A,post
B0023,03,20559.5,8811.2,29370.8,6.08,A,post
B0023,04,21073.5,9031.5,30105.0,6.23,A,post
B0023,05,21844.5,9361.9,31206.5,6.46,A,post
B0023,06,22615.5,9692.4,32307.9,6.69,A,post
B0023,07,23386.5,10022.8,33409.3,6.92,A,post
B0023,08,24414.5,10463.3,34877.8,7.22,A,post
B0023,09,23643.5,10132.9,33776.4,6.99,A,post
B0023,10,22101.5,9472.1,31573.6,6.54,A,post
B0023,11,22101.5,9472.1,31573.6,6.54,A,post
B0023,12,21844.5,9361.9,31206.5,6.46,A,post
B0024,01,32762.5,14041.1,46803.6,14.59,A,post
B0024,02,28908.1,12389.2,41297.3,12.87,A,post
B0024,03,30835.3,13215.1,44050.4,13.73,A,post
B0024,04,31606.2,13545.5,45151.7,14.07,A,post
B0024,05,32762.5,14041.1,46803.6,14.59,A,post
B0024,06,33918.8,14536.6,48455.4,15.1,A,post
B0024,07,35075.1,15032.2,50107.3,15.62,A,post
B0024,08,36616.9,15693.0,52309.9,16.3,A,post
B0024,09,35460.6,15197.4,50658.0,15.79,A,post
B0024,10,33147.9,14206.3,47354.2,14.76,A,post
B0024,11,33147.9,14206.3,47354.2,14.76,A,post
B0024,12,32762.5,14041.1,46803.6,14.59,A,post
B0025,01,47022.5,20152.5,67174.9,14.59,A,post
B0025,02,41490.4,17781.6,59272.0,12.87,A,post
B0025,03,44256.4,18967.0,63223.5,13.73,A,post
B0025,04,45362.8,19441.2,64804.1,14.07,A,post
B0025,05,47022.5,20152.5,67174.9,14.59,A,post
B0025,06,48682.1,20863.7,69545.8,15.1,A,post
B0025,07,50341.7,21575.0,71916.7,15.62,A,post
B0025,08,52554.5,22523.4,75077.9,16.3,A,post
B0025,09,50894.9,21812.1,72707.0,15.79,A,post
B0025,10,47575.7,20389.6,67965.2,14.76,A,post
B0025,11,47575.7,20389.6,67965.2,14.76,A,post
B0025,12,47022.5,20152.5,67174.9,14.59,A,post
B0026,01,20128.3,8626.4,28754.8,6.46,A,post
B0026,02,17760.3,7611.6,25371.8,5.7,A,post
B0026,03,18944.3,8119.0,27063.3,6.08,A,post
B0026,04,19417.9,8322.0,27739.9,6.23,A,post
B0026,05,20128.3,8626.4,28754.8,6.46,A,post
B0026,06,20838.7,8930.9,29769.6,6.69,A,post
B0026,07,21549.1,9235.3,30784.5,6.92,A,post
B0026,08,22496.4,9641.3,32137.7,7.22,A,post
B0026,09,21786.0,9336.8,31122.8,6.99,A,post
B0026,10,20365.1,8727.9,29093.0,6.54,A,post
B0026,11,20365.1,8727.9,29093.0,6.54,A,post
B0026,12,20128.3,8626.4,28754.8,6.46,A,post
B0027,01,3915.0,1677.8,5592.8,6.46,A,post
B0027,02,3454.4,1480.4,4934.8,5.7,A,post
B0027,03,3684.7,1579.1,5263.8,6.08,A,post
B0027,04,3776.8,1618.6,5395.4,6.23,A,post
B0027,05,3915.0,1677.8,5592.8,6.46,A,post
B0027,06,4053.1,1737.1,5790.2,6.69,A,post
B0027,07,4191.3,1796.3,5987.6,6.92,A,post
B0027,08,4375.6,1875.2,6250.8,7.22,A,post
B0027,09,4237.4,1816.0,6053.4,6.99,A,post
B0027,10,3961.0,1697.6,5658.6,6.54,A,post
B0027,11,3961.0,1697.6,5658.6,6.54,A,post
B0027,12,3915.0,1677.8,5592.8,6.46,A,post
B0028,01,6532.3,2799.6,9331.9,6.46,A,post
B0028,02,5763.8,2470.2,8234.0,5.7,A,post
B0028,03,6148.0,2634.9,8782.9,6.08,A,post
B0028,04,6301.7,2700.7,9002.5,6.23,A,post
B0028,05,6532.3,2799.6,9331.9,6.46,A,post
B0028,06,6762.9,2898.4,9661.2,6.69,A,post
B0028,07,6993.4,2997.2,9990.6,6.92,A,post
B0028,08,7300.8,3128.9,10429.7,7.22,A,post
B0028,09,7070.3,3030.1,10100.4,6.99,A,post
B0028,10,6609.2,2832.5,9441.6,6.54,A,post
B0028,11,6609.2,2832.5,9441.6,6.54,A,post
B0028,12,6532.3,2799.6,9331.9,6.46,A,post
B0029,01,38918.1,16679.2,55597.3,6.46,A,post
B0029,02,34339.5,14716.9,49056.5,5.7,A,post
B0029,03,36628.8,15698.1,52326.9,6.08,A,post
B0029,04,37544.6,16090.5,53635.1,6.23,A,post
B0029,05,38918.1,16679.2,55597.3,6.46,A,post
B0029,06,40291.7,17267.9,57559.6,6.69,A,post
B0029,07,41665.3,17856.6,59521.9,6.92,A,post
B0029,08,43496.7,18641.5,62138.2,7.22,A,post
B0029,09,42123.2,18052.8,60175.9,6.99,A,post
B0029,10,39376.0,16875.4,56251.4,6.54,A,post
B0029,11,39376.0,16875.4,56251.4,6.54,A,post
B0029,12,38918.1,16679.2,55597.3,6.46,A,post
B0030,01,5175.1,2217.9,7393.0,8.5,A,post
B0030,02,4566.2,1957.0,6523.2,7.5,A,post
B0030,03,4870.7,2087.4,6958.1,8.0,A,post
B0030,04,4992.4,2139.6,7132.0,8.2,A,post
B0030,05,5175.1,2217.9,7393.0,8.5,A,post
B0030,06,5357.7,2296.2,7653.9,8.8,A,post
B0030,07,5540.4,2374.4,7914.8,9.1,A,post
B0030,08,5783.9,2478.8,8262.7,9.5,A,post
B0030,09,5601.3,2400.5,8001.8,9.2,A,post
B0030,10,5236.0,2244.0,7479.9,8.6,A,post
B0030,11,5236.0,2244.0,7479.9,8.6,A,post
B0030,12,5175.1,2217.9,7393.0,8.5,A,post
