Tunnel_ID,Soil_Type,Tunnel_Depth_m,Tunnel_Diameter_m,H_D_Ratio,Lining_Thickness_m,Undrained_Shear_Strength_kPa,Friction_Angle_deg,K0,Groundwater_Level_m,Volume_Loss_pct,Surface_Settlement_mm,Lateral_Displacement_mm,Pore_Water_Pressure_kPa,Crown_Convergence_mm,Risk_Score,Failure_Label
TUN-0051,Sand,11.1,8.5,1.31,0.453,3.7,30.1,0.427,6.6,5.094,2478.22,734.1,69.2,0.44,0.7271,1
TUN-0052,Clay,6.4,5.62,1.14,0.306,148.4,24.4,0.903,4.8,0.3,109.51,62.82,79.0,0.13,0.3115,0
TUN-0053,Mixed_Clay_Sand,6.9,6.21,1.11,0.367,24.8,28.9,1.022,2.7,0.972,405.88,112.04,25.4,0.17,0.4724,0
TUN-0054,Clay,16.5,6.96,2.36,0.236,126.4,18.1,1.856,7.4,0.799,176.31,90.01,83.3,0.22,0.4265,0
TUN-0055,Sand,23.2,7.28,3.19,0.282,2.4,32.3,0.487,2.7,8.0,1371.26,517.48,32.0,0.68,0.8126,1
TUN-0056,Clay,25.4,3.65,6.95,0.169,87.9,24.6,0.966,9.1,0.899,34.37,10.35,74.4,0.43,0.4546,0
TUN-0057,Sand,22.5,11.67,1.93,0.437,2.7,37.7,0.453,9.2,8.0,3632.85,1450.49,97.0,0.96,0.8118,1
TUN-0058,Sand,6.9,11.83,0.59,0.415,2.5,41.7,0.568,1.8,4.663,7050.21,2352.84,8.5,0.96,0.6913,1
TUN-0059,Sand,27.7,11.13,2.49,0.446,6.0,39.2,0.587,12.6,8.0,2686.48,1420.2,106.3,0.51,0.8361,1
TUN-0060,Clay,6.9,11.65,0.59,0.633,161.3,26.7,0.985,4.8,0.364,538.63,154.98,48.5,0.0,0.314,0
TUN-0061,Clay,24.6,4.48,5.49,0.173,125.2,19.3,1.108,19.3,0.681,42.86,23.25,199.4,0.63,0.4463,0
TUN-0062,Sand,8.4,3.65,2.3,0.194,3.7,41.9,0.407,3.6,3.703,440.68,142.13,37.4,0.0,0.6375,1
TUN-0063,Sand,20.7,8.39,2.46,0.175,3.1,32.3,0.566,10.1,8.0,2047.65,448.58,88.5,0.61,0.7939,1
TUN-0064,Sand,22.2,5.7,3.89,0.199,0.7,32.5,0.592,7.6,8.0,883.41,347.87,70.3,0.17,0.7999,1
TUN-0065,Sand,27.5,11.31,2.43,0.228,0.5,40.6,0.508,15.9,8.0,2789.35,941.98,140.2,1.19,0.8505,1
TUN-0066,Clay,20.3,10.62,1.91,0.349,39.7,27.7,0.955,11.4,1.196,498.02,267.23,119.8,0.0,0.5553,1
TUN-0067,Mixed_Clay_Sand,23.7,8.54,2.77,0.343,29.2,26.0,0.562,7.6,2.261,522.24,127.49,73.7,1.04,0.6572,1
TUN-0068,Clay,20.7,7.57,2.73,0.404,119.4,27.2,1.554,6.5,0.493,105.55,41.17,54.4,1.28,0.4621,0
TUN-0069,Clay,32.3,6.72,4.8,0.304,177.3,25.9,1.438,23.5,0.611,60.36,33.16,250.2,0.68,0.4907,0
TUN-0070,Clay,26.4,3.11,8.49,0.145,78.7,19.0,1.976,10.7,1.05,26.59,12.36,99.4,0.8,0.4449,0
TUN-0071,Clay,20.7,8.97,2.31,0.405,136.0,25.7,0.917,8.0,0.912,265.07,98.29,95.4,0.0,0.4479,0
TUN-0072,Sand,14.7,8.73,1.68,0.245,6.1,38.9,0.495,4.2,4.438,1727.04,624.99,49.1,0.53,0.7218,1
TUN-0073,Sand,24.6,5.0,4.91,0.198,1.7,35.1,0.358,7.2,8.0,608.04,140.88,61.4,0.41,0.8184,1
TUN-0074,Mixed_Clay_Sand,30.1,4.92,6.11,0.181,60.5,28.5,1.099,14.6,1.914,118.12,29.4,148.9,0.42,0.6414,1
TUN-0075,Clay,11.4,8.1,1.4,0.436,45.6,25.7,0.972,4.5,1.037,447.87,140.07,37.8,0.0,0.4821,0
TUN-0076,Sand,17.0,8.62,1.97,0.472,2.4,35.7,0.443,2.0,8.0,2629.13,528.11,31.1,0.0,0.7608,1
TUN-0077,Mixed_Clay_Sand,27.8,6.57,4.24,0.173,37.0,32.5,0.817,7.2,1.639,190.27,49.35,67.8,0.63,0.6398,1
TUN-0078,Mixed_Clay_Sand,23.5,6.54,3.59,0.291,30.7,23.8,1.175,11.3,2.273,309.25,68.74,104.2,0.93,0.6537,1
TUN-0079,Mixed_Clay_Sand,15.4,7.7,2.0,0.167,16.4,29.2,1.088,3.8,1.944,561.83,278.4,36.2,0.4,0.5896,1
TUN-0080,Mixed_Clay_Sand,11.6,6.97,1.67,0.238,44.3,25.1,0.968,3.7,0.746,230.32,69.23,48.1,1.27,0.4896,0
TUN-0081,Sand,26.8,11.78,2.28,0.397,6.2,29.3,0.567,13.1,7.845,3048.35,1422.51,129.4,1.12,0.8392,1
TUN-0082,Clay,34.8,4.39,7.92,0.172,60.9,20.7,1.558,11.0,1.647,68.23,21.08,110.5,1.08,0.6377,1
TUN-0083,Sand,9.4,9.93,0.95,0.342,8.0,37.4,0.559,4.4,2.756,2172.05,953.52,49.9,0.2,0.5954,1
TUN-0084,Clay,26.4,8.19,3.23,0.364,156.3,23.3,1.062,8.1,0.707,135.71,35.36,66.5,0.0,0.4615,0
TUN-0085,Sand,6.2,11.75,0.53,0.623,2.1,33.9,0.449,3.3,4.555,7631.98,2181.8,30.8,0.01,0.667,1
TUN-0086,Clay,20.5,10.18,2.02,0.313,93.1,19.7,1.193,13.9,1.074,403.66,208.22,115.5,0.32,0.5023,0
TUN-0087,Sand,30.5,7.11,4.28,0.33,2.4,28.8,0.391,9.2,8.0,997.31,417.12,87.1,1.39,0.8684,1
TUN-0088,Sand,28.1,10.05,2.8,0.342,0.7,41.8,0.511,12.8,8.0,2157.78,838.0,139.1,0.72,0.8474,1
TUN-0089,Mixed_Clay_Sand,27.0,9.72,2.78,0.228,53.2,26.4,0.968,13.1,1.846,484.79,184.47,118.1,1.16,0.6362,1
TUN-0090,Sand,26.6,9.02,2.95,0.538,2.8,37.6,0.392,13.4,8.0,1836.54,454.76,139.8,1.0,0.8395,1
TUN-0091,Mixed_Clay_Sand,19.8,8.39,2.36,0.37,55.4,29.5,0.784,9.3,0.639,169.25,87.06,105.7,1.24,0.5274,0
TUN-0092,Sand,14.0,7.08,1.98,0.377,7.3,30.9,0.464,4.4,3.548,952.38,388.09,43.4,0.51,0.671,1
TUN-0093,Clay,25.9,8.82,2.93,0.444,36.5,20.4,1.723,12.6,2.175,491.01,98.4,132.0,0.58,0.6534,1
TUN-0094,Clay,5.6,4.79,1.17,0.127,115.3,25.7,1.082,3.6,1.171,359.17,183.27,43.8,0.91,0.3943,0
TUN-0095,Sand,33.7,8.67,3.88,0.316,6.4,30.1,0.553,9.5,8.0,1339.64,795.0,90.8,0.36,0.849,1
TUN-0096,Clay,16.2,3.5,4.61,0.085,143.1,25.9,1.986,5.4,0.852,47.86,15.85,60.0,0.21,0.3997,0
TUN-0097,Clay,25.7,10.23,2.51,0.552,109.3,23.3,1.621,17.7,1.065,326.67,109.98,166.2,0.13,0.517,0
TUN-0098,Sand,7.8,11.22,0.7,0.503,7.9,31.4,0.52,4.5,2.191,2649.35,1201.72,41.7,0.0,0.5536,1
TUN-0099,Mixed_Clay_Sand,27.6,7.37,3.75,0.162,23.4,25.9,0.841,12.4,2.519,370.58,178.08,121.9,1.34,0.7068,1
TUN-0100,Sand,34.5,6.08,5.68,0.157,0.7,29.0,0.553,15.9,8.0,640.31,174.47,165.7,1.64,0.8739,1
TUN-0101,Mixed_Clay_Sand,14.4,6.18,2.33,0.17,67.7,23.4,1.132,7.2,1.013,203.98,95.26,73.7,0.01,0.479,0
TUN-0102,Clay,18.9,3.99,4.74,0.184,51.2,26.6,1.641,14.1,0.825,51.29,10.43,124.7,0.24,0.5198,0
TUN-0103,Sand,23.7,10.12,2.34,0.304,5.7,29.6,0.526,13.3,7.705,2495.04,686.03,130.9,0.75,0.8135,1
TUN-0104,Clay,19.3,7.69,2.51,0.379,171.6,23.0,1.226,8.3,0.31,72.36,36.6,82.8,0.5,0.4014,0
TUN-0105,Sand,8.8,9.42,0.94,0.297,3.9,32.2,0.371,4.3,4.036,3035.15,897.97,48.3,0.93,0.6708,1
TUN-0106,Clay,29.3,11.3,2.59,0.48,34.4,20.7,0.934,12.6,2.067,677.27,372.24,105.1,1.09,0.6804,1
TUN-0107,Sand,25.3,10.76,2.35,0.226,4.2,38.5,0.571,4.2,8.0,2743.39,1464.9,39.0,1.17,0.832,1
TUN-0108,Clay,8.1,8.62,0.94,0.511,155.0,26.0,1.302,6.4,0.95,655.36,327.29,72.8,1.08,0.3675,0
TUN-0109,Mixed_Clay_Sand,12.4,10.16,1.22,0.443,76.5,23.7,1.004,2.7,0.581,360.94,134.59,15.3,0.06,0.436,0
TUN-0110,Sand,6.8,11.69,0.58,0.496,6.5,38.8,0.515,3.8,2.164,3251.79,999.04,46.2,0.0,0.5472,0
TUN-0111,Sand,29.5,3.29,8.97,0.09,7.7,34.2,0.426,16.6,7.542,208.99,56.83,160.1,0.19,0.8418,1
TUN-0112,Sand,9.7,8.36,1.17,0.167,2.0,30.3,0.402,5.2,7.187,3869.14,1687.11,53.5,0.11,0.7145,1
TUN-0113,Clay,28.3,5.28,5.37,0.311,148.5,28.0,1.351,16.8,0.605,46.08,27.17,149.8,0.6,0.46,0
TUN-0114,Clay,30.8,7.39,4.17,0.219,135.0,26.4,1.364,20.2,0.866,114.79,36.2,196.3,0.89,0.5216,0
TUN-0115,Sand,20.6,3.37,6.11,0.097,6.5,39.3,0.433,6.8,5.677,235.74,137.36,62.2,1.19,0.7985,1
TUN-0116,Clay,5.1,8.4,0.6,0.306,142.6,25.5,1.935,2.6,0.358,368.06,117.33,21.5,0.68,0.3194,0
TUN-0117,Clay,34.5,9.15,3.76,0.469,179.8,23.0,0.886,24.0,1.017,186.53,37.49,232.7,0.87,0.5139,0
TUN-0118,Mixed_Clay_Sand,7.5,9.11,0.82,0.53,18.4,22.4,1.112,3.9,1.37,1143.8,580.94,39.2,0.0,0.4999,0
TUN-0119,Clay,14.1,7.01,2.01,0.213,167.0,18.1,1.504,9.7,0.3,79.9,29.1,108.2,0.34,0.3643,0
TUN-0120,Mixed_Clay_Sand,32.8,4.16,7.89,0.241,64.3,30.0,0.761,21.4,1.681,66.19,33.27,204.2,0.3,0.6242,1
TUN-0121,Clay,29.1,6.8,4.28,0.175,38.3,24.4,1.499,21.1,2.149,255.75,58.99,217.3,1.03,0.6786,1
TUN-0122,Mixed_Clay_Sand,20.1,7.22,2.78,0.399,77.5,29.1,0.818,12.4,1.793,348.28,149.93,130.6,0.56,0.5544,1
TUN-0123,Mixed_Clay_Sand,10.6,5.91,1.8,0.224,69.2,31.5,0.722,3.4,0.498,122.38,53.53,52.7,0.67,0.4367,0
TUN-0124,Sand,31.6,10.81,2.92,0.281,4.7,34.2,0.421,13.1,8.0,2221.67,527.36,129.5,1.39,0.8662,1
TUN-0125,Sand,23.5,3.42,6.88,0.137,4.2,28.5,0.546,5.6,8.0,296.78,177.55,70.7,0.0,0.8025,1
TUN-0126,Sand,22.9,9.37,2.44,0.194,6.7,34.7,0.48,7.0,6.891,1983.12,743.27,61.7,0.64,0.8054,1
TUN-0127,Sand,10.5,5.58,1.88,0.273,0.6,30.8,0.538,5.6,8.0,1782.69,427.18,72.7,0.17,0.7218,1
TUN-0128,Clay,6.5,9.39,0.69,0.377,165.7,19.4,1.783,3.6,0.6,611.8,315.79,22.3,0.0,0.3234,0
TUN-0129,Mixed_Clay_Sand,14.4,11.98,1.2,0.608,58.1,22.2,0.814,6.5,0.885,660.42,229.15,60.1,0.18,0.4848,0
TUN-0130,Clay,27.6,9.04,3.05,0.521,83.9,25.9,1.505,17.2,1.024,230.71,50.02,171.1,0.83,0.5636,1
TUN-0131,Sand,26.4,5.53,4.77,0.254,0.9,28.1,0.524,12.1,8.0,692.01,395.13,125.6,0.6,0.8338,1
TUN-0132,Mixed_Clay_Sand,14.0,7.42,1.88,0.424,42.3,28.1,0.556,4.3,1.464,433.58,141.95,30.0,0.25,0.5277,0
TUN-0133,Sand,27.1,10.54,2.57,0.414,3.1,37.6,0.353,11.3,8.0,2456.65,782.46,88.5,0.56,0.8359,1
TUN-0134,Clay,33.8,11.49,2.94,0.526,165.1,25.5,1.215,20.3,0.611,180.53,39.34,189.2,0.89,0.4939,0
TUN-0135,Clay,31.2,10.9,2.86,0.59,145.0,24.8,1.276,11.5,1.286,365.85,125.57,99.4,0.0,0.5193,0
TUN-0136,Clay,26.5,3.07,8.64,0.08,92.4,19.5,1.952,16.8,1.162,29.0,10.27,163.5,1.14,0.4545,0
TUN-0137,Sand,25.8,4.76,5.42,0.214,1.9,30.8,0.477,5.3,8.0,527.6,188.58,53.3,0.09,0.8213,1
TUN-0138,Clay,21.8,6.36,3.43,0.286,127.7,19.0,1.637,16.3,0.68,94.7,41.81,156.0,0.07,0.4527,0
TUN-0139,Mixed_Clay_Sand,21.2,6.68,3.17,0.326,74.9,32.6,1.151,7.1,1.511,238.83,52.01,59.0,0.0,0.542,0
TUN-0140,Sand,24.7,7.35,3.36,0.216,7.0,38.7,0.5,11.1,6.863,1122.94,296.51,96.4,0.6,0.8164,1
TUN-0141,Sand,14.0,10.16,1.38,0.246,5.0,39.3,0.515,6.3,5.531,3066.73,694.18,73.1,1.0,0.7533,1
TUN-0142,Mixed_Clay_Sand,21.3,9.53,2.23,0.451,80.0,32.3,0.939,5.5,0.74,234.59,127.02,46.5,1.23,0.5173,0
TUN-0143,Mixed_Clay_Sand,30.1,10.11,2.98,0.26,11.6,23.6,1.018,12.2,4.562,1162.11,322.87,114.3,1.94,0.8455,1
TUN-0144,Sand,34.8,6.91,5.04,0.224,1.6,35.1,0.563,20.0,8.0,822.49,363.62,200.5,0.56,0.8569,1
TUN-0145,Clay,7.0,6.93,1.0,0.19,162.4,25.6,1.542,2.3,1.314,682.6,256.44,36.8,0.71,0.3727,0
TUN-0146,Mixed_Clay_Sand,19.2,5.36,3.58,0.21,76.2,32.7,0.519,11.4,1.117,125.92,65.81,99.1,0.0,0.5077,0
TUN-0147,Clay,14.2,10.54,1.34,0.558,152.6,20.8,1.759,4.5,1.076,633.45,229.75,29.6,0.0,0.3982,0
TUN-0148,Clay,17.9,5.76,3.11,0.248,169.1,21.1,1.997,6.1,0.991,138.15,69.0,55.4,0.0,0.4191,0
TUN-0149,Mixed_Clay_Sand,33.7,11.91,2.83,0.54,61.8,32.7,1.059,23.5,1.392,440.68,154.45,240.8,1.22,0.6261,1
TUN-0150,Clay,5.9,5.94,1.0,0.347,148.1,19.9,0.814,3.8,0.653,290.76,170.5,38.4,0.87,0.3371,0
TUN-0151,Mixed_Clay_Sand,15.1,8.02,1.88,0.345,77.7,23.7,1.031,7.4,1.244,398.21,81.56,75.3,0.0,0.4852,0
TUN-0152,Sand,32.2,3.05,10.56,0.12,7.1,41.0,0.514,16.6,8.0,170.62,37.48,152.7,0.0,0.8429,1
TUN-0153,Clay,8.4,5.08,1.65,0.143,171.3,27.7,0.804,3.2,0.665,152.74,63.46,37.4,0.0,0.3393,0
TUN-0154,Clay,29.3,11.86,2.47,0.55,152.9,27.4,1.074,13.9,1.119,401.82,95.26,141.0,0.36,0.5068,0
TUN-0155,Clay,7.1,10.9,0.65,0.558,158.2,26.7,1.933,2.8,0.537,673.83,179.57,36.8,0.0,0.3242,0
TUN-0156,Clay,7.4,6.81,1.08,0.362,73.2,25.7,0.867,3.7,1.049,496.4,295.63,36.5,0.77,0.4399,0
TUN-0157,Sand,21.5,7.03,3.06,0.252,0.2,36.7,0.542,10.6,8.0,1375.99,287.64,116.2,0.52,0.8009,1
TUN-0158,Sand,10.8,4.28,2.53,0.1,6.4,37.1,0.505,6.1,3.708,469.0,129.34,56.2,0.97,0.6658,1
TUN-0159,Mixed_Clay_Sand,22.7,8.92,2.55,0.499,53.7,25.0,0.993,13.3,1.268,330.64,119.02,138.6,0.0,0.5612,1
TUN-0160,Sand,9.8,7.5,1.31,0.165,7.6,31.4,0.467,1.1,2.762,1184.15,289.79,1.6,1.33,0.616,1
TUN-0161,Mixed_Clay_Sand,19.8,10.56,1.87,0.55,30.7,33.4,0.948,5.0,1.664,699.46,314.82,28.4,0.0,0.5844,1
TUN-0162,Clay,9.3,4.13,2.26,0.219,141.4,22.4,0.915,4.9,0.846,118.13,28.19,40.9,1.28,0.3825,0
TUN-0163,Mixed_Clay_Sand,7.7,4.03,1.91,0.24,38.4,31.7,1.048,2.7,0.537,83.44,42.2,18.0,0.38,0.4453,0
TUN-0164,Sand,12.9,6.83,1.89,0.386,6.9,32.5,0.432,6.3,4.01,1092.05,402.89,44.1,0.0,0.6794,1
TUN-0165,Clay,5.3,5.53,0.97,0.148,65.0,18.8,1.21,3.0,0.485,207.65,44.11,34.0,0.76,0.4062,0
TUN-0166,Clay,13.8,11.27,1.22,0.359,175.4,26.3,1.621,8.2,0.511,355.44,120.44,72.0,0.0,0.3672,0
TUN-0167,Clay,20.9,7.21,2.89,0.243,98.1,25.4,1.351,11.5,0.911,171.85,70.59,118.1,0.54,0.4947,0
TUN-0168,Clay,25.8,4.58,5.63,0.257,84.9,25.0,1.484,8.4,1.238,77.48,45.94,89.6,0.51,0.5566,1
TUN-0169,Mixed_Clay_Sand,13.1,4.7,2.78,0.119,78.5,25.5,1.03,5.6,0.3,38.58,14.87,52.8,0.0,0.3666,0
TUN-0170,Clay,27.4,6.09,4.51,0.245,42.7,26.5,1.685,18.7,1.859,188.27,39.73,169.8,0.14,0.6351,1
TUN-0171,Mixed_Clay_Sand,34.8,8.56,4.06,0.348,40.8,22.2,1.06,18.6,1.766,281.24,160.65,188.2,0.22,0.6508,1
TUN-0172,Mixed_Clay_Sand,24.9,10.66,2.34,0.308,32.2,27.1,0.722,16.0,1.427,489.28,160.74,157.2,1.16,0.6228,1
TUN-0173,Clay,16.4,10.16,1.62,0.254,37.5,23.4,1.638,12.4,0.99,466.85,139.03,123.4,1.15,0.5388,0
TUN-0174,Mixed_Clay_Sand,24.9,7.55,3.3,0.156,29.6,24.1,0.536,14.7,1.992,341.14,201.61,134.9,0.67,0.6464,1
TUN-0175,Sand,29.3,5.51,5.32,0.289,2.2,37.7,0.381,9.2,8.0,625.83,287.89,91.8,0.4,0.8492,1
TUN-0176,Sand,8.8,7.3,1.21,0.299,0.2,29.0,0.56,2.1,8.0,3625.26,1045.11,7.3,0.05,0.7094,1
TUN-0177,Clay,32.5,11.46,2.84,0.435,57.4,22.7,0.92,16.2,1.22,370.2,114.87,154.9,0.69,0.614,1
TUN-0178,Sand,5.1,11.33,0.45,0.454,0.8,32.8,0.362,1.9,6.167,11639.46,3750.27,7.8,0.07,0.6843,1
TUN-0179,Mixed_Clay_Sand,33.2,11.73,2.83,0.357,63.7,27.7,0.798,21.1,2.008,622.79,272.25,195.1,1.64,0.6613,1
TUN-0180,Mixed_Clay_Sand,26.6,10.97,2.42,0.25,44.5,29.3,0.982,6.9,1.28,432.84,98.27,71.5,2.36,0.6322,1
TUN-0181,Mixed_Clay_Sand,26.0,8.32,3.12,0.238,20.6,29.9,0.656,14.4,2.68,535.6,272.75,133.1,0.67,0.6965,1
TUN-0182,Clay,33.7,9.85,3.43,0.515,59.5,22.2,0.882,12.0,1.919,412.44,247.0,107.3,1.51,0.659,1
TUN-0183,Mixed_Clay_Sand,12.4,4.3,2.88,0.128,71.8,30.7,0.816,7.6,0.637,69.89,29.84,66.3,0.08,0.4438,0
TUN-0184,Clay,19.2,4.21,4.57,0.21,114.5,23.1,1.847,12.8,1.079,74.02,24.31,114.4,0.7,0.4781,0
TUN-0185,Sand,29.7,6.69,4.44,0.349,0.3,29.9,0.539,4.7,8.0,906.33,421.33,55.2,0.59,0.8567,1
TUN-0186,Mixed_Clay_Sand,22.1,7.57,2.92,0.306,73.8,25.2,0.987,7.1,1.493,291.37,107.76,61.9,0.78,0.5598,1
TUN-0187,Clay,19.0,3.25,5.86,0.121,133.5,20.3,1.772,6.2,0.958,39.3,9.55,43.2,1.85,0.4156,0
