Time_hours,Flow_Condition,Flow_Rate_L_per_min,Settlement_mm,Pore_Water_Pressure_kPa,Moisture_Content_pct,Soil_Type,Depth_m,Void_Ratio
38,Low_Flow_0.5_L_min,0.5,32.5,12.67,21.73,Sandy_Clay,4.2,0.739
39,Low_Flow_0.5_L_min,0.5,33.74,13.98,23.04,Sandy_Clay,3.2,0.698
40,Low_Flow_0.5_L_min,0.5,34.33,12.74,21.1,Sandy_Clay,4.3,0.836
41,Low_Flow_0.5_L_min,0.5,34.61,13.75,22.61,Sandy_Clay,1.5,0.828
42,Low_Flow_0.5_L_min,0.5,34.97,14.03,21.44,Sandy_Clay,4.1,0.645
43,Low_Flow_0.5_L_min,0.5,33.99,14.52,21.2,Sandy_Clay,4.3,0.759
44,Low_Flow_0.5_L_min,0.5,34.76,14.48,22.32,Sandy_Clay,4.1,0.772
45,Low_Flow_0.5_L_min,0.5,34.91,15.93,23.19,Sandy_Clay,2.6,0.638
46,Low_Flow_0.5_L_min,0.5,36.35,15.13,22.84,Sandy_Clay,3.9,0.745
47,Low_Flow_0.5_L_min,0.5,38.92,15.84,23.02,Sandy_Clay,4.2,0.651
48,Low_Flow_0.5_L_min,0.5,36.09,14.1,22.19,Sandy_Clay,2.9,0.713
49,Low_Flow_0.5_L_min,0.5,36.96,15.53,21.36,Sandy_Clay,1.6,0.561
50,Low_Flow_0.5_L_min,0.5,36.86,16.18,22.77,Sandy_Clay,3.8,0.615
51,Low_Flow_0.5_L_min,0.5,36.72,13.5,22.97,Sandy_Clay,1.7,0.709
52,Low_Flow_0.5_L_min,0.5,39.16,15.59,21.25,Sandy_Clay,3.9,0.631
53,Low_Flow_0.5_L_min,0.5,38.09,13.49,22.84,Sandy_Clay,1.6,0.839
54,Low_Flow_0.5_L_min,0.5,38.54,16.02,22.05,Sandy_Clay,2.0,0.625
55,Low_Flow_0.5_L_min,0.5,38.21,17.41,23.4,Sandy_Clay,3.5,0.634
56,Low_Flow_0.5_L_min,0.5,40.09,16.35,21.93,Sandy_Clay,2.6,0.777
57,Low_Flow_0.5_L_min,0.5,38.55,15.5,23.83,Sandy_Clay,2.9,0.579
58,Low_Flow_0.5_L_min,0.5,36.9,13.33,23.08,Sandy_Clay,2.7,0.735
59,Low_Flow_0.5_L_min,0.5,38.45,14.25,23.45,Sandy_Clay,2.6,0.738
60,Low_Flow_0.5_L_min,0.5,40.27,14.95,22.63,Sandy_Clay,1.7,0.743
61,Low_Flow_0.5_L_min,0.5,39.99,15.08,23.17,Sandy_Clay,4.3,0.723
62,Low_Flow_0.5_L_min,0.5,40.93,13.15,25.25,Sandy_Clay,4.3,0.666
63,Low_Flow_0.5_L_min,0.5,38.72,15.45,23.11,Sandy_Clay,1.7,0.646
64,Low_Flow_0.5_L_min,0.5,39.81,16.34,23.96,Sandy_Clay,3.4,0.813
65,Low_Flow_0.5_L_min,0.5,39.91,16.31,24.24,Sandy_Clay,2.3,0.603
66,Low_Flow_0.5_L_min,0.5,41.04,16.03,23.78,Sandy_Clay,2.6,0.783
67,Low_Flow_0.5_L_min,0.5,40.77,15.96,23.7,Sandy_Clay,4.1,0.679
68,Low_Flow_0.5_L_min,0.5,41.39,16.39,24.96,Sandy_Clay,2.5,0.819
69,Low_Flow_0.5_L_min,0.5,40.99,15.68,23.88,Sandy_Clay,4.4,0.722
70,Low_Flow_0.5_L_min,0.5,40.56,18.35,23.24,Sandy_Clay,3.5,0.776
71,Low_Flow_0.5_L_min,0.5,40.43,16.17,24.6,Sandy_Clay,1.8,0.698
72,Low_Flow_0.5_L_min,0.5,41.43,14.24,24.94,Sandy_Clay,2.6,0.585
73,Low_Flow_0.5_L_min,0.5,41.4,15.9,23.77,Sandy_Clay,3.4,0.58
74,Low_Flow_0.5_L_min,0.5,41.79,14.54,23.9,Sandy_Clay,1.8,0.846
75,Low_Flow_0.5_L_min,0.5,41.9,13.14,23.21,Sandy_Clay,3.9,0.834
76,Low_Flow_0.5_L_min,0.5,41.37,15.01,24.64,Sandy_Clay,2.8,0.822
77,Low_Flow_0.5_L_min,0.5,42.96,15.32,23.64,Sandy_Clay,1.5,0.691
78,Low_Flow_0.5_L_min,0.5,42.28,14.12,24.91,Sandy_Clay,4.4,0.662
79,Low_Flow_0.5_L_min,0.5,43.2,16.41,24.23,Sandy_Clay,2.2,0.839
80,Low_Flow_0.5_L_min,0.5,42.41,15.41,24.69,Sandy_Clay,4.4,0.707
81,Low_Flow_0.5_L_min,0.5,41.84,17.58,25.43,Sandy_Clay,2.9,0.738
82,Low_Flow_0.5_L_min,0.5,43.04,15.69,26.47,Sandy_Clay,2.3,0.606
83,Low_Flow_0.5_L_min,0.5,41.99,12.24,24.35,Sandy_Clay,3.3,0.573
84,Low_Flow_0.5_L_min,0.5,42.85,18.25,25.58,Sandy_Clay,3.6,0.599
85,Low_Flow_0.5_L_min,0.5,42.31,13.47,26.34,Sandy_Clay,4.3,0.81
86,Low_Flow_0.5_L_min,0.5,43.58,14.76,23.55,Sandy_Clay,4.4,0.803
87,Low_Flow_0.5_L_min,0.5,43.77,15.3,25.96,Sandy_Clay,2.7,0.632
88,Low_Flow_0.5_L_min,0.5,42.94,15.55,24.66,Sandy_Clay,2.9,0.589
89,Low_Flow_0.5_L_min,0.5,43.42,15.66,25.48,Sandy_Clay,2.2,0.752
90,Low_Flow_0.5_L_min,0.5,42.04,17.41,25.39,Sandy_Clay,3.1,0.782
91,Low_Flow_0.5_L_min,0.5,42.63,17.26,25.22,Sandy_Clay,3.2,0.718
92,Low_Flow_0.5_L_min,0.5,43.03,16.96,25.73,Sandy_Clay,3.6,0.614
93,Low_Flow_0.5_L_min,0.5,44.19,17.09,23.86,Sandy_Clay,2.7,0.681
94,Low_Flow_0.5_L_min,0.5,43.14,16.58,26.51,Sandy_Clay,2.7,0.737
95,Low_Flow_0.5_L_min,0.5,43.43,12.96,25.31,Sandy_Clay,2.9,0.844
96,Low_Flow_0.5_L_min,0.5,42.04,15.38,24.36,Sandy_Clay,1.7,0.589
97,Low_Flow_0.5_L_min,0.5,43.94,16.07,24.7,Sandy_Clay,2.0,0.654
98,Low_Flow_0.5_L_min,0.5,43.5,16.95,24.71,Sandy_Clay,2.1,0.562
99,Low_Flow_0.5_L_min,0.5,43.93,14.72,24.91,Sandy_Clay,2.0,0.577
100,Low_Flow_0.5_L_min,0.5,43.57,13.97,25.14,Sandy_Clay,3.0,0.757
101,Low_Flow_0.5_L_min,0.5,42.88,14.47,25.8,Sandy_Clay,4.1,0.826
102,Low_Flow_0.5_L_min,0.5,43.66,15.19,26.16,Sandy_Clay,2.1,0.613
103,Low_Flow_0.5_L_min,0.5,44.29,15.1,23.87,Sandy_Clay,3.4,0.661
104,Low_Flow_0.5_L_min,0.5,44.93,15.14,26.22,Sandy_Clay,3.0,0.71
105,Low_Flow_0.5_L_min,0.5,44.07,15.32,25.04,Sandy_Clay,3.1,0.623
106,Low_Flow_0.5_L_min,0.5,43.39,13.38,25.33,Sandy_Clay,1.9,0.817
107,Low_Flow_0.5_L_min,0.5,43.21,18.04,26.59,Sandy_Clay,3.9,0.7
108,Low_Flow_0.5_L_min,0.5,44.03,14.21,27.14,Sandy_Clay,2.8,0.588
109,Low_Flow_0.5_L_min,0.5,44.37,14.18,24.86,Sandy_Clay,3.4,0.721
110,Low_Flow_0.5_L_min,0.5,43.1,16.34,25.49,Sandy_Clay,2.1,0.636
111,Low_Flow_0.5_L_min,0.5,43.75,15.56,25.38,Sandy_Clay,2.7,0.845
112,Low_Flow_0.5_L_min,0.5,43.95,14.12,25.62,Sandy_Clay,2.0,0.751
113,Low_Flow_0.5_L_min,0.5,44.65,15.62,26.72,Sandy_Clay,3.2,0.634
114,Low_Flow_0.5_L_min,0.5,43.72,16.32,25.55,Sandy_Clay,3.0,0.623
115,Low_Flow_0.5_L_min,0.5,42.98,15.85,25.48,Sandy_Clay,2.4,0.724
116,Low_Flow_0.5_L_min,0.5,44.18,13.64,25.72,Sandy_Clay,2.5,0.59
117,Low_Flow_0.5_L_min,0.5,44.28,16.96,25.81,Sandy_Clay,2.3,0.754
118,Low_Flow_0.5_L_min,0.5,44.63,17.6,24.34,Sandy_Clay,2.5,0.829
119,Low_Flow_0.5_L_min,0.5,43.76,15.99,25.87,Sandy_Clay,4.3,0.604
120,Low_Flow_0.5_L_min,0.5,44.38,15.19,27.32,Sandy_Clay,1.9,0.789
0,Medium_Flow_2.0_L_min,2.0,0.46,9.27,17.65,Sandy_Clay,2.0,0.794
1,Medium_Flow_2.0_L_min,2.0,6.94,13.71,19.17,Sandy_Clay,2.7,0.795
2,Medium_Flow_2.0_L_min,2.0,11.91,8.12,18.12,Sandy_Clay,2.9,0.64
3,Medium_Flow_2.0_L_min,2.0,18.29,14.26,19.62,Sandy_Clay,2.7,0.713
4,Medium_Flow_2.0_L_min,2.0,23.3,12.66,20.39,Sandy_Clay,1.9,0.832
5,Medium_Flow_2.0_L_min,2.0,26.19,14.57,20.45,Sandy_Clay,3.4,0.71
6,Medium_Flow_2.0_L_min,2.0,32.98,13.66,20.76,Sandy_Clay,2.0,0.644
7,Medium_Flow_2.0_L_min,2.0,39.84,12.63,20.99,Sandy_Clay,3.8,0.813
8,Medium_Flow_2.0_L_min,2.0,41.86,15.99,20.88,Sandy_Clay,1.8,0.804
9,Medium_Flow_2.0_L_min,2.0,46.37,13.47,21.27,Sandy_Clay,2.2,0.767
10,Medium_Flow_2.0_L_min,2.0,51.45,16.73,23.04,Sandy_Clay,3.6,0.713
11,Medium_Flow_2.0_L_min,2.0,53.08,14.05,20.85,Sandy_Clay,2.9,0.834
12,Medium_Flow_2.0_L_min,2.0,60.67,16.81,21.67,Sandy_Clay,3.0,0.733
13,Medium_Flow_2.0_L_min,2.0,61.49,17.94,23.25,Sandy_Clay,3.6,0.596
14,Medium_Flow_2.0_L_min,2.0,64.84,20.13,24.22,Sandy_Clay,2.8,0.771
15,Medium_Flow_2.0_L_min,2.0,65.63,17.56,23.46,Sandy_Clay,3.3,0.67
16,Medium_Flow_2.0_L_min,2.0,72.2,17.94,23.33,Sandy_Clay,3.9,0.551
17,Medium_Flow_2.0_L_min,2.0,71.07,16.12,24.58,Sandy_Clay,2.5,0.654
18,Medium_Flow_2.0_L_min,2.0,75.54,18.52,25.49,Sandy_Clay,2.2,0.686
19,Medium_Flow_2.0_L_min,2.0,77.35,19.02,22.23,Sandy_Clay,4.2,0.659
20,Medium_Flow_2.0_L_min,2.0,79.96,22.6,25.51,Sandy_Clay,1.5,0.749
21,Medium_Flow_2.0_L_min,2.0,81.71,18.55,26.88,Sandy_Clay,1.7,0.775
22,Medium_Flow_2.0_L_min,2.0,84.32,20.89,24.91,Sandy_Clay,2.1,0.607
23,Medium_Flow_2.0_L_min,2.0,86.07,20.15,24.65,Sandy_Clay,3.8,0.686
24,Medium_Flow_2.0_L_min,2.0,88.14,17.35,26.28,Sandy_Clay,2.7,0.718
25,Medium_Flow_2.0_L_min,2.0,89.04,21.12,24.46,Sandy_Clay,3.4,0.673
26,Medium_Flow_2.0_L_min,2.0,89.88,23.43,26.78,Sandy_Clay,1.6,0.617
27,Medium_Flow_2.0_L_min,2.0,94.12,20.67,25.51,Sandy_Clay,3.5,0.621
28,Medium_Flow_2.0_L_min,2.0,95.16,22.34,25.78,Sandy_Clay,3.7,0.807
29,Medium_Flow_2.0_L_min,2.0,95.0,24.76,25.37,Sandy_Clay,2.4,0.819
30,Medium_Flow_2.0_L_min,2.0,98.06,23.82,25.38,Sandy_Clay,2.8,0.818
31,Medium_Flow_2.0_L_min,2.0,97.25,25.22,25.96,Sandy_Clay,3.3,0.63
32,Medium_Flow_2.0_L_min,2.0,96.82,22.02,28.07,Sandy_Clay,3.2,0.681
33,Medium_Flow_2.0_L_min,2.0,100.84,24.09,26.36,Sandy_Clay,4.1,0.696
34,Medium_Flow_2.0_L_min,2.0,102.22,24.69,27.04,Sandy_Clay,2.8,0.557
35,Medium_Flow_2.0_L_min,2.0,103.05,22.23,25.96,Sandy_Clay,1.9,0.8
36,Medium_Flow_2.0_L_min,2.0,104.77,25.1,27.43,Sandy_Clay,2.0,0.632
37,Medium_Flow_2.0_L_min,2.0,104.67,23.87,27.59,Sandy_Clay,3.5,0.799
38,Medium_Flow_2.0_L_min,2.0,102.09,25.98,28.16,Sandy_Clay,3.3,0.75
39,Medium_Flow_2.0_L_min,2.0,102.64,23.92,26.98,Sandy_Clay,2.0,0.771
40,Medium_Flow_2.0_L_min,2.0,106.75,26.37,26.97,Sandy_Clay,2.2,0.667
41,Medium_Flow_2.0_L_min,2.0,105.75,24.3,26.89,Sandy_Clay,3.2,0.693
42,Medium_Flow_2.0_L_min,2.0,109.99,27.3,27.91,Sandy_Clay,3.7,0.614
43,Medium_Flow_2.0_L_min,2.0,107.69,26.97,29.9,Sandy_Clay,2.5,0.781
44,Medium_Flow_2.0_L_min,2.0,109.16,26.95,29.35,Sandy_Clay,3.6,0.68
45,Medium_Flow_2.0_L_min,2.0,111.17,26.37,28.52,Sandy_Clay,2.3,0.727
46,Medium_Flow_2.0_L_min,2.0,112.19,26.33,27.9,Sandy_Clay,4.3,0.591
47,Medium_Flow_2.0_L_min,2.0,110.82,28.56,28.31,Sandy_Clay,4.1,0.77
48,Medium_Flow_2.0_L_min,2.0,109.03,28.66,29.11,Sandy_Clay,3.6,0.805
49,Medium_Flow_2.0_L_min,2.0,111.77,25.52,28.65,Sandy_Clay,2.0,0.72
50,Medium_Flow_2.0_L_min,2.0,112.7,26.57,29.22,Sandy_Clay,4.3,0.841
51,Medium_Flow_2.0_L_min,2.0,112.67,29.4,28.46,Sandy_Clay,2.5,0.799
52,Medium_Flow_2.0_L_min,2.0,113.18,28.69,28.13,Sandy_Clay,2.2,0.586
53,Medium_Flow_2.0_L_min,2.0,113.9,28.0,29.56,Sandy_Clay,1.7,0.645
54,Medium_Flow_2.0_L_min,2.0,112.23,31.05,28.77,Sandy_Clay,2.5,0.738
55,Medium_Flow_2.0_L_min,2.0,114.65,30.37,28.74,Sandy_Clay,4.3,0.79
56,Medium_Flow_2.0_L_min,2.0,116.4,28.42,29.85,Sandy_Clay,2.9,0.738
57,Medium_Flow_2.0_L_min,2.0,113.98,31.52,30.04,Sandy_Clay,2.2,0.583
58,Medium_Flow_2.0_L_min,2.0,114.12,27.47,28.09,Sandy_Clay,2.4,0.62
59,Medium_Flow_2.0_L_min,2.0,115.26,29.97,30.11,Sandy_Clay,2.2,0.835
60,Medium_Flow_2.0_L_min,2.0,113.78,31.23,28.74,Sandy_Clay,4.3,0.69
61,Medium_Flow_2.0_L_min,2.0,113.79,30.46,29.09,Sandy_Clay,3.3,0.704
62,Medium_Flow_2.0_L_min,2.0,116.92,29.05,28.57,Sandy_Clay,2.2,0.606
63,Medium_Flow_2.0_L_min,2.0,115.1,31.92,30.17,Sandy_Clay,3.6,0.596
64,Medium_Flow_2.0_L_min,2.0,115.42,29.42,29.58,Sandy_Clay,2.2,0.711
65,Medium_Flow_2.0_L_min,2.0,119.42,33.05,28.62,Sandy_Clay,4.2,0.837
66,Medium_Flow_2.0_L_min,2.0,116.12,30.9,29.41,Sandy_Clay,3.5,0.715
67,Medium_Flow_2.0_L_min,2.0,116.67,29.37,28.07,Sandy_Clay,3.7,0.699
68,Medium_Flow_2.0_L_min,2.0,115.83,29.89,29.39,Sandy_Clay,4.1,0.699
69,Medium_Flow_2.0_L_min,2.0,121.85,29.97,28.85,Sandy_Clay,3.5,0.72
70,Medium_Flow_2.0_L_min,2.0,119.33,31.73,28.98,Sandy_Clay,3.9,0.748
71,Medium_Flow_2.0_L_min,2.0,119.06,31.7,30.15,Sandy_Clay,3.4,0.776
72,Medium_Flow_2.0_L_min,2.0,119.82,30.78,29.44,Sandy_Clay,2.5,0.773
73,Medium_Flow_2.0_L_min,2.0,118.5,30.52,29.38,Sandy_Clay,1.5,0.636
74,Medium_Flow_2.0_L_min,2.0,120.25,31.47,29.42,Sandy_Clay,3.4,0.628
75,Medium_Flow_2.0_L_min,2.0,119.22,34.5,29.16,Sandy_Clay,3.8,0.712
76,Medium_Flow_2.0_L_min,2.0,118.56,31.18,29.65,Sandy_Clay,3.4,0.83
77,Medium_Flow_2.0_L_min,2.0,117.46,31.68,30.31,Sandy_Clay,1.7,0.725
78,Medium_Flow_2.0_L_min,2.0,116.51,33.25,28.25,Sandy_Clay,1.6,0.811
79,Medium_Flow_2.0_L_min,2.0,117.44,32.08,30.74,Sandy_Clay,3.5,0.684
80,Medium_Flow_2.0_L_min,2.0,118.41,29.4,27.75,Sandy_Clay,2.0,0.788
81,Medium_Flow_2.0_L_min,2.0,116.77,32.68,29.73,Sandy_Clay,3.5,0.632
82,Medium_Flow_2.0_L_min,2.0,117.66,32.64,29.47,Sandy_Clay,2.8,0.742
83,Medium_Flow_2.0_L_min,2.0,116.0,30.68,29.53,Sandy_Clay,4.2,0.619
84,Medium_Flow_2.0_L_min,2.0,119.26,29.88,30.74,Sandy_Clay,4.1,0.692
85,Medium_Flow_2.0_L_min,2.0,119.5,32.48,30.06,Sandy_Clay,3.8,0.738
86,Medium_Flow_2.0_L_min,2.0,119.75,32.13,30.18,Sandy_Clay,3.9,0.694
87,Medium_Flow_2.0_L_min,2.0,117.78,34.57,29.6,Sandy_Clay,1.7,0.725
88,Medium_Flow_2.0_L_min,2.0,116.48,33.16,29.12,Sandy_Clay,2.4,0.687
89,Medium_Flow_2.0_L_min,2.0,118.29,28.29,28.39,Sandy_Clay,3.6,0.808
90,Medium_Flow_2.0_L_min,2.0,120.52,30.5,29.63,Sandy_Clay,2.2,0.846
91,Medium_Flow_2.0_L_min,2.0,119.19,30.24,30.89,Sandy_Clay,3.2,0.553
92,Medium_Flow_2.0_L_min,2.0,120.82,32.31,28.06,Sandy_Clay,1.8,0.655
93,Medium_Flow_2.0_L_min,2.0,117.48,31.59,31.15,Sandy_Clay,3.9,0.61
94,Medium_Flow_2.0_L_min,2.0,120.47,34.13,30.46,Sandy_Clay,1.6,0.831
95,Medium_Flow_2.0_L_min,2.0,119.46,31.07,30.29,Sandy_Clay,3.6,0.791
96,Medium_Flow_2.0_L_min,2.0,120.1,33.63,29.31,Sandy_Clay,1.7,0.818
97,Medium_Flow_2.0_L_min,2.0,121.79,32.36,31.41,Sandy_Clay,3.1,0.769
98,Medium_Flow_2.0_L_min,2.0,118.21,31.09,29.37,Sandy_Clay,4.1,0.616
99,Medium_Flow_2.0_L_min,2.0,120.42,31.21,29.75,Sandy_Clay,3.2,0.766
100,Medium_Flow_2.0_L_min,2.0,123.37,32.13,29.88,Sandy_Clay,2.1,0.754
101,Medium_Flow_2.0_L_min,2.0,119.07,29.57,30.11,Sandy_Clay,3.7,0.678
102,Medium_Flow_2.0_L_min,2.0,120.73,30.23,28.63,Sandy_Clay,4.5,0.562
103,Medium_Flow_2.0_L_min,2.0,119.99,33.63,31.15,Sandy_Clay,3.0,0.812
104,Medium_Flow_2.0_L_min,2.0,118.78,31.8,30.52,Sandy_Clay,2.3,0.728
105,Medium_Flow_2.0_L_min,2.0,122.29,34.12,29.32,Sandy_Clay,3.6,0.823
106,Medium_Flow_2.0_L_min,2.0,120.36,31.21,29.29,Sandy_Clay,4.4,0.604
107,Medium_Flow_2.0_L_min,2.0,119.62,33.78,30.27,Sandy_Clay,2.8,0.704
108,Medium_Flow_2.0_L_min,2.0,119.02,33.73,28.45,Sandy_Clay,2.0,0.667
109,Medium_Flow_2.0_L_min,2.0,117.37,33.73,29.47,Sandy_Clay,4.4,0.686
110,Medium_Flow_2.0_L_min,2.0,120.34,32.08,28.83,Sandy_Clay,2.5,0.799
111,Medium_Flow_2.0_L_min,2.0,116.93,31.31,31.06,Sandy_Clay,2.0,0.6
112,Medium_Flow_2.0_L_min,2.0,121.28,31.44,31.53,Sandy_Clay,4.0,0.792
113,Medium_Flow_2.0_L_min,2.0,121.61,32.26,29.66,Sandy_Clay,2.3,0.567
114,Medium_Flow_2.0_L_min,2.0,119.42,32.97,29.92,Sandy_Clay,1.6,0.587
115,Medium_Flow_2.0_L_min,2.0,121.1,31.73,29.94,Sandy_Clay,1.6,0.595
116,Medium_Flow_2.0_L_min,2.0,116.2,33.19,30.16,Sandy_Clay,2.9,0.705
117,Medium_Flow_2.0_L_min,2.0,123.57,31.58,30.78,Sandy_Clay,2.1,0.752
118,Medium_Flow_2.0_L_min,2.0,117.95,30.82,31.42,Sandy_Clay,4.1,0.603
119,Medium_Flow_2.0_L_min,2.0,121.39,32.46,30.02,Sandy_Clay,3.0,0.735
120,Medium_Flow_2.0_L_min,2.0,120.49,31.99,30.74,Sandy_Clay,1.6,0.829
0,High_Flow_5.0_L_min,5.0,4.64,11.78,18.51,Sandy_Clay,2.7,0.745
1,High_Flow_5.0_L_min,5.0,16.73,11.94,18.54,Sandy_Clay,4.5,0.564
2,High_Flow_5.0_L_min,5.0,41.13,13.43,20.43,Sandy_Clay,3.2,0.772
3,High_Flow_5.0_L_min,5.0,61.52,14.0,21.88,Sandy_Clay,2.5,0.75
4,High_Flow_5.0_L_min,5.0,79.19,16.82,21.72,Sandy_Clay,4.0,0.586
5,High_Flow_5.0_L_min,5.0,98.09,16.87,22.73,Sandy_Clay,2.5,0.66
6,High_Flow_5.0_L_min,5.0,113.44,17.21,22.62,Sandy_Clay,2.2,0.662
7,High_Flow_5.0_L_min,5.0,111.02,22.25,24.85,Sandy_Clay,3.4,0.689
8,High_Flow_5.0_L_min,5.0,136.48,20.59,22.61,Sandy_Clay,1.6,0.652
9,High_Flow_5.0_L_min,5.0,153.33,20.25,23.8,Sandy_Clay,3.2,0.71
10,High_Flow_5.0_L_min,5.0,160.0,24.42,26.06,Sandy_Clay,4.4,0.555
11,High_Flow_5.0_L_min,5.0,167.45,25.92,26.23,Sandy_Clay,2.2,0.828
12,High_Flow_5.0_L_min,5.0,169.62,25.54,25.03,Sandy_Clay,2.4,0.642
13,High_Flow_5.0_L_min,5.0,180.62,27.39,27.84,Sandy_Clay,2.4,0.733
14,High_Flow_5.0_L_min,5.0,184.49,29.67,26.25,Sandy_Clay,2.0,0.754
15,High_Flow_5.0_L_min,5.0,194.72,29.52,26.26,Sandy_Clay,3.6,0.582
16,High_Flow_5.0_L_min,5.0,195.46,31.11,27.56,Sandy_Clay,3.9,0.715
17,High_Flow_5.0_L_min,5.0,210.46,31.7,27.46,Sandy_Clay,4.4,0.73
18,High_Flow_5.0_L_min,5.0,213.87,32.61,27.45,Sandy_Clay,3.3,0.673
19,High_Flow_5.0_L_min,5.0,215.98,31.7,27.65,Sandy_Clay,3.8,0.632
20,High_Flow_5.0_L_min,5.0,222.23,36.43,27.84,Sandy_Clay,3.4,0.686
21,High_Flow_5.0_L_min,5.0,228.99,33.75,28.78,Sandy_Clay,3.7,0.809
22,High_Flow_5.0_L_min,5.0,231.05,36.29,28.71,Sandy_Clay,3.3,0.714
23,High_Flow_5.0_L_min,5.0,234.91,36.58,27.7,Sandy_Clay,3.3,0.699
24,High_Flow_5.0_L_min,5.0,235.57,40.78,30.25,Sandy_Clay,3.6,0.847
25,High_Flow_5.0_L_min,5.0,239.78,40.06,30.32,Sandy_Clay,2.3,0.574
26,High_Flow_5.0_L_min,5.0,242.58,38.55,28.59,Sandy_Clay,1.7,0.706
27,High_Flow_5.0_L_min,5.0,242.57,41.27,27.95,Sandy_Clay,4.1,0.745
28,High_Flow_5.0_L_min,5.0,241.82,42.3,30.25,Sandy_Clay,4.5,0.749
29,High_Flow_5.0_L_min,5.0,247.4,45.06,29.67,Sandy_Clay,2.9,0.568
30,High_Flow_5.0_L_min,5.0,256.94,43.45,29.83,Sandy_Clay,2.1,0.711
31,High_Flow_5.0_L_min,5.0,252.69,43.94,28.74,Sandy_Clay,3.8,0.654
