Longitude,Latitude,Soil_Type,Shrink_Swell_Potential,Compressibility_Index,Collapse_Potential,Overall_Susceptibility,Risk_Category,Groundwater_Depth_m,Asset_Proximity_m,Pipe_Material,Pipe_Age_years
-0.9642,51.66765,Swelling_Clay,0.828,0.437,0.19,0.532,High,2.2,13.2,Steel,42
0.44727,52.10036,Compressible_Ground,0.253,0.839,0.459,0.51,High,1.7,16.8,Steel,52
-0.59623,52.98993,Swelling_Clay,0.856,0.412,0.143,0.522,High,7.7,17.7,PVC,101
-2.00967,52.52423,Compressible_Ground,0.482,0.761,0.582,0.604,High,2.1,149.7,PVC,119
1.21174,51.27647,Firm_Clay,0.438,0.288,0.05,0.289,Low,1.0,78.8,Concrete,92
-0.68361,52.56933,Swelling_Clay,0.865,0.206,0.164,0.459,Moderate,5.7,67.0,PVC,98
0.43795,51.46687,Firm_Clay,0.321,0.254,0.029,0.225,Low,13.9,2.6,Steel,88
-1.0313,52.27554,Dense_Sand,0.039,0.109,0.154,0.092,Low,11.5,76.7,Concrete,59
-2.42448,52.32276,Swelling_Clay,0.713,0.352,0.104,0.434,Moderate,4.2,69.5,Steel,6
-2.09788,53.19051,Firm_Clay,0.428,0.181,0.113,0.263,Low,13.8,54.9,PVC,35
-0.51512,52.15624,Dense_Sand,0.041,0.146,0.115,0.096,Low,1.9,1.9,Cast_Iron,20
0.25986,51.69861,Dense_Sand,0.043,0.097,0.196,0.1,Low,13.7,90.7,Cast_Iron,64
-1.16106,51.57742,Swelling_Clay,0.68,0.235,0.052,0.367,Moderate,2.1,17.3,Concrete,21
0.28195,53.18563,Swelling_Clay,0.619,0.241,0.077,0.351,Moderate,9.7,47.8,Cast_Iron,24
0.29454,51.42753,Swelling_Clay,0.625,0.431,0.057,0.415,Moderate,10.9,120.9,Steel,77
0.31574,52.06467,Firm_Clay,0.331,0.147,0.093,0.207,Low,14.2,35.9,Concrete,116
-0.52991,51.46793,Firm_Clay,0.488,0.247,0.071,0.299,Low,11.0,19.6,Steel,84
1.15954,52.93326,Firm_Clay,0.402,0.292,0.124,0.294,Low,7.1,11.1,Steel,100
-0.54321,52.18593,Compressible_Ground,0.266,0.815,0.561,0.532,High,10.6,14.0,Concrete,33
-0.69894,51.87786,Swelling_Clay,0.786,0.446,0.077,0.49,Moderate,10.6,1.4,Steel,16
-1.70248,51.90275,Running_Sand,0.096,0.152,0.625,0.248,Low,9.0,65.9,Cast_Iron,115
-1.26938,53.13054,Running_Sand,0.07,0.37,0.791,0.355,Moderate,10.8,24.1,Cast_Iron,31
-2.33066,52.38443,Firm_Clay,0.383,0.141,0.067,0.219,Low,9.9,98.9,Steel,9
0.03414,52.79467,Compressible_Ground,0.444,0.884,0.476,0.606,High,11.5,10.0,Concrete,113
-1.50586,53.2426,Compressible_Ground,0.459,0.774,0.374,0.548,High,10.5,111.2,Steel,95
-1.28338,53.25435,Compressible_Ground,0.304,0.769,0.526,0.522,High,1.5,12.2,Cast_Iron,67
0.58326,51.82127,Swelling_Clay,0.781,0.302,0.095,0.442,Moderate,1.1,1.7,Cast_Iron,53
-1.19112,53.38113,Compressible_Ground,0.359,0.795,0.448,0.534,High,6.4,14.5,Steel,72
-1.53122,51.06219,Swelling_Clay,0.642,0.235,0.095,0.363,Moderate,14.9,19.8,Cast_Iron,78
-1.82377,51.94209,Compressible_Ground,0.318,0.754,0.539,0.526,High,1.9,10.1,Concrete,64
0.59943,53.2395,Swelling_Clay,0.752,0.213,0.057,0.39,Moderate,13.7,103.3,PVC,16
-1.98117,51.68659,Swelling_Clay,0.649,0.449,0.099,0.441,Moderate,6.6,57.4,Concrete,109
-0.68498,51.6827,Firm_Clay,0.489,0.277,0.124,0.323,Moderate,6.0,17.0,Concrete,33
-0.47228,51.75656,Compressible_Ground,0.305,0.773,0.425,0.499,Moderate,2.4,8.9,Cast_Iron,107
0.24956,52.53078,Firm_Clay,0.469,0.219,0.083,0.285,Low,11.2,66.8,PVC,118
0.03313,52.09583,Firm_Clay,0.337,0.206,0.07,0.224,Low,2.5,200.4,PVC,40
0.74288,52.81684,Running_Sand,0.066,0.247,0.557,0.252,Low,1.3,49.1,Steel,69
-2.32099,53.23728,Dense_Sand,0.02,0.194,0.215,0.13,Low,0.9,20.8,Steel,106
-1.31424,52.6855,Swelling_Clay,0.699,0.208,0.117,0.381,Moderate,2.0,48.3,PVC,28
-1.37946,51.51117,Firm_Clay,0.311,0.158,0.074,0.198,Low,8.5,17.6,Cast_Iron,100
-1.91593,53.3317,Dense_Sand,0.049,0.056,0.347,0.126,Low,1.2,17.0,Concrete,110
-1.34329,51.66123,Dense_Sand,0.016,0.07,0.164,0.072,Low,14.6,23.9,Cast_Iron,109
-1.26094,51.37474,Swelling_Clay,0.811,0.423,0.153,0.511,High,5.4,5.9,PVC,36
-0.41246,51.22492,Compressible_Ground,0.263,0.648,0.307,0.409,Moderate,14.1,126.9,Cast_Iron,107
0.15482,52.40846,Swelling_Clay,0.652,0.242,0.092,0.368,Moderate,3.5,145.8,PVC,58
-0.9756,51.28441,Firm_Clay,0.364,0.116,0.147,0.223,Low,13.8,63.1,PVC,46
0.37788,51.34694,Firm_Clay,0.357,0.144,0.078,0.213,Low,11.6,15.4,PVC,95
-1.15534,51.75008,Compressible_Ground,0.38,0.683,0.475,0.51,High,6.1,1.7,Concrete,27
-1.33887,51.70413,Running_Sand,0.093,0.188,0.629,0.26,Low,1.5,47.7,Cast_Iron,42
-0.33525,52.5106,Firm_Clay,0.406,0.148,0.144,0.25,Low,11.3,41.9,PVC,67
-2.40513,53.04186,Compressible_Ground,0.266,0.851,0.457,0.518,High,8.0,3.8,Cast_Iron,118
-2.18084,52.90337,Dense_Sand,0.043,0.192,0.127,0.116,Low,9.7,42.0,Cast_Iron,105
-0.82812,51.65621,Firm_Clay,0.525,0.293,0.145,0.349,Moderate,3.8,64.6,Cast_Iron,68
1.27165,51.61328,Swelling_Clay,0.664,0.258,0.062,0.372,Moderate,12.0,19.6,PVC,101
0.38605,53.41448,Firm_Clay,0.482,0.235,0.058,0.29,Low,7.1,26.6,Cast_Iron,65
-2.14749,51.02059,Swelling_Clay,0.85,0.387,0.056,0.489,Moderate,12.4,5.6,Concrete,62
0.88527,53.1993,Running_Sand,0.061,0.102,0.761,0.251,Low,10.1,52.9,Steel,7
0.4292,51.49932,Dense_Sand,0.02,0.087,0.34,0.124,Low,1.5,28.0,Concrete,96
-0.05621,53.36821,Dense_Sand,0.041,0.173,0.343,0.163,Low,6.1,18.5,Steel,38
0.78117,51.85577,Compressible_Ground,0.245,0.797,0.347,0.464,Moderate,11.2,1.9,Steel,87
-0.88356,52.10088,Compressible_Ground,0.246,0.798,0.529,0.51,High,11.5,37.3,Concrete,86
-1.614,52.7678,Swelling_Clay,0.827,0.452,0.164,0.53,High,5.6,286.1,PVC,54
-0.45191,52.46917,Running_Sand,0.012,0.209,0.551,0.216,Low,2.3,16.5,Cast_Iron,45
-0.30463,51.79485,Swelling_Clay,0.807,0.222,0.08,0.421,Moderate,1.8,3.3,Concrete,83
-0.34669,52.38458,Running_Sand,0.061,0.389,0.85,0.373,Moderate,13.2,9.7,Steel,42
-0.2397,52.82677,Swelling_Clay,0.724,0.471,0.104,0.481,Moderate,2.3,7.8,Cast_Iron,37
1.29482,51.10584,Compressible_Ground,0.496,0.701,0.343,0.53,High,7.5,61.8,PVC,36
1.10898,51.028,Swelling_Clay,0.885,0.445,0.18,0.555,High,8.4,19.8,Steel,87
1.00287,52.14517,Dense_Sand,0.028,0.093,0.138,0.078,Low,8.2,45.1,Cast_Iron,83
0.70567,51.32959,Firm_Clay,0.335,0.214,0.042,0.219,Low,10.1,28.1,PVC,36
1.27371,52.66086,Compressible_Ground,0.433,0.854,0.51,0.6,High,8.6,3.2,Concrete,60
-2.10602,51.53513,Swelling_Clay,0.74,0.341,0.107,0.442,Moderate,14.0,14.3,Cast_Iron,116
-1.43951,52.08213,Running_Sand,0.097,0.343,0.506,0.285,Low,13.6,12.9,Steel,72
-0.51978,51.49418,Swelling_Clay,0.766,0.361,0.158,0.472,Moderate,3.5,8.7,Steel,55
0.88614,52.37121,Running_Sand,0.036,0.392,0.681,0.322,Moderate,2.1,57.9,Steel,107
-0.47934,51.29013,Firm_Clay,0.345,0.185,0.145,0.239,Low,6.5,21.3,Steel,62
0.49214,51.05777,Firm_Clay,0.304,0.127,0.13,0.198,Low,14.7,8.6,Steel,90
-1.94416,51.12783,Firm_Clay,0.59,0.131,0.044,0.293,Low,13.9,61.2,Steel,47
-1.49034,53.38565,Running_Sand,0.045,0.117,0.673,0.227,Low,11.8,40.4,Concrete,100
0.4271,51.35572,Dense_Sand,0.016,0.052,0.305,0.101,Low,9.7,13.0,PVC,62
-1.84106,52.7712,Dense_Sand,0.042,0.131,0.175,0.106,Low,4.4,12.3,Cast_Iron,77
-1.09458,51.16982,Running_Sand,0.062,0.313,0.844,0.345,Moderate,14.8,14.3,Concrete,90
-1.44053,51.2704,Compressible_Ground,0.339,0.612,0.538,0.484,Moderate,13.3,57.9,Cast_Iron,7
-1.10055,52.27219,Running_Sand,0.021,0.215,0.833,0.292,Low,5.5,1.7,PVC,105
0.3333,52.16218,Swelling_Clay,0.897,0.403,0.185,0.546,High,11.7,38.8,Steel,69
-1.02861,53.37895,Firm_Clay,0.405,0.217,0.133,0.271,Low,4.4,6.5,Concrete,51
-0.27895,53.36209,Running_Sand,0.017,0.381,0.616,0.294,Low,10.5,20.6,Cast_Iron,61
-2.10027,52.94902,Swelling_Clay,0.673,0.467,0.066,0.45,Moderate,1.1,46.2,Concrete,56
0.72007,52.50525,Swelling_Clay,0.751,0.486,0.155,0.509,High,9.5,42.8,Cast_Iron,28
-1.02045,52.1374,Running_Sand,0.014,0.384,0.558,0.279,Low,13.6,4.4,PVC,96
0.09414,51.89045,Dense_Sand,0.016,0.056,0.28,0.096,Low,4.6,62.7,Concrete,35
0.40156,53.36772,Running_Sand,0.074,0.292,0.852,0.344,Moderate,14.4,97.3,Cast_Iron,101
-1.66136,52.50727,Firm_Clay,0.36,0.209,0.077,0.236,Low,6.2,55.8,Cast_Iron,49
1.0387,52.44768,Compressible_Ground,0.214,0.719,0.424,0.443,Moderate,1.9,13.5,Cast_Iron,72
-0.0351,51.57975,Running_Sand,0.1,0.321,0.535,0.286,Low,0.8,63.5,Cast_Iron,27
-0.7851,51.11674,Compressible_Ground,0.436,0.923,0.48,0.617,High,3.2,76.2,PVC,68
-1.77066,53.36297,Firm_Clay,0.474,0.236,0.064,0.288,Low,6.0,66.3,Cast_Iron,119
1.2692,51.78434,Swelling_Clay,0.789,0.437,0.076,0.487,Moderate,3.6,38.0,Concrete,82
0.52027,52.10647,Running_Sand,0.067,0.187,0.817,0.297,Low,12.2,31.2,PVC,44
-1.6679,51.2866,Compressible_Ground,0.394,0.947,0.487,0.611,High,1.0,0.9,Concrete,38
-1.14916,53.09231,Compressible_Ground,0.259,0.885,0.553,0.551,High,4.2,19.7,PVC,37
0.7387,51.06908,Dense_Sand,0.046,0.125,0.264,0.128,Low,6.5,49.8,Concrete,43
0.28271,53.08498,Swelling_Clay,0.702,0.39,0.139,0.452,Moderate,4.8,8.1,Steel,62
0.56314,51.35071,Compressible_Ground,0.325,0.82,0.574,0.56,High,1.0,14.0,PVC,98
-0.7352,53.21641,Running_Sand,0.055,0.229,0.792,0.3,Moderate,4.0,45.1,Concrete,30
0.36591,52.82443,Dense_Sand,0.046,0.194,0.293,0.16,Low,13.6,13.4,Steel,47
-0.95403,51.41168,Compressible_Ground,0.202,0.847,0.581,0.523,High,3.2,50.7,Cast_Iron,104
-1.65495,52.41454,Firm_Clay,0.578,0.229,0.146,0.348,Moderate,5.5,21.5,Cast_Iron,90
0.03071,51.78164,Dense_Sand,0.01,0.143,0.202,0.105,Low,5.1,211.7,Steel,118
1.40406,51.44558,Compressible_Ground,0.425,0.662,0.304,0.478,Moderate,6.6,54.8,Concrete,33
-1.2576,53.14796,Compressible_Ground,0.467,0.752,0.393,0.548,High,13.8,26.1,PVC,54
-0.65612,52.00881,Compressible_Ground,0.229,0.878,0.548,0.536,High,1.0,22.2,PVC,50
0.19601,51.99636,Firm_Clay,0.584,0.176,0.133,0.328,Moderate,6.2,9.9,Cast_Iron,89
-0.33397,51.42472,Swelling_Clay,0.699,0.314,0.192,0.437,Moderate,3.5,24.1,Steel,101
0.87371,51.95766,Compressible_Ground,0.429,0.92,0.371,0.587,High,6.7,6.5,Concrete,18
0.54697,53.17904,Firm_Clay,0.34,0.205,0.116,0.237,Low,8.5,14.1,Steel,77
-2.26681,51.90782,Running_Sand,0.067,0.277,0.555,0.263,Low,12.8,32.2,Cast_Iron,25
1.49368,53.37901,Compressible_Ground,0.237,0.938,0.384,0.519,High,13.7,26.4,Concrete,90
0.50961,53.36577,Running_Sand,0.073,0.103,0.635,0.224,Low,4.9,101.3,Steel,108
0.95561,51.36225,Swelling_Clay,0.709,0.28,0.139,0.416,Moderate,2.7,14.1,PVC,94
0.10479,51.44328,Compressible_Ground,0.382,0.731,0.452,0.522,High,9.9,156.5,Concrete,36
0.92514,53.15669,Running_Sand,0.041,0.301,0.603,0.273,Low,4.1,62.7,Steel,104
-2.05047,51.9819,Dense_Sand,0.037,0.09,0.25,0.109,Low,6.9,45.4,Cast_Iron,9
-1.10905,51.01093,Compressible_Ground,0.415,0.882,0.378,0.569,High,4.9,54.1,PVC,26
1.00568,51.68468,Dense_Sand,0.038,0.152,0.198,0.118,Low,6.2,14.7,PVC,94
-1.69338,52.49407,Firm_Clay,0.508,0.119,0.142,0.28,Low,12.5,97.4,Concrete,23
-2.18703,52.99816,Swelling_Clay,0.723,0.454,0.074,0.466,Moderate,0.8,76.8,Steel,47
0.65248,51.33347,Firm_Clay,0.597,0.235,0.118,0.35,Moderate,4.1,56.0,Concrete,105
0.84194,51.27635,Swelling_Clay,0.851,0.251,0.155,0.467,Moderate,3.8,3.5,Cast_Iron,76
-1.84939,53.30523,Dense_Sand,0.017,0.159,0.159,0.102,Low,5.5,41.9,PVC,86
0.91738,52.87787,Dense_Sand,0.025,0.172,0.145,0.107,Low,1.7,19.9,Steel,115
0.24707,52.47445,Compressible_Ground,0.363,0.73,0.537,0.535,High,1.1,28.3,PVC,30
-0.41967,52.92297,Compressible_Ground,0.394,0.938,0.453,0.599,High,14.8,18.0,Cast_Iron,76
0.821,52.07214,Compressible_Ground,0.25,0.738,0.395,0.457,Moderate,1.9,28.3,Steel,89
-0.823,52.89614,Compressible_Ground,0.237,0.704,0.566,0.482,Moderate,4.9,62.6,Concrete,50
-1.72402,51.92951,Compressible_Ground,0.219,0.917,0.463,0.524,High,13.9,42.5,PVC,43
-1.36059,51.61024,Compressible_Ground,0.366,0.802,0.364,0.518,High,7.3,30.8,Steel,42
-0.47934,52.82253,Firm_Clay,0.378,0.216,0.051,0.24,Low,7.0,6.5,Concrete,89
-0.37468,52.04918,Swelling_Clay,0.696,0.282,0.111,0.405,Moderate,14.4,36.9,Concrete,10
0.72232,53.45344,Firm_Clay,0.582,0.284,0.135,0.366,Moderate,1.9,50.3,Steel,14
0.66541,51.87371,Firm_Clay,0.423,0.232,0.102,0.276,Low,6.0,47.5,Steel,112
-0.17453,53.30432,Running_Sand,0.012,0.235,0.803,0.288,Low,8.4,52.7,PVC,100
0.62314,53.33241,Dense_Sand,0.05,0.058,0.223,0.096,Low,1.8,8.7,Cast_Iron,95
-1.73291,51.60463,Swelling_Clay,0.647,0.489,0.192,0.478,Moderate,5.4,51.0,Cast_Iron,15
-2.29974,52.99555,Swelling_Clay,0.845,0.388,0.05,0.486,Moderate,11.6,68.7,Steel,19
0.99454,52.08269,Firm_Clay,0.571,0.282,0.088,0.349,Moderate,9.3,283.1,PVC,65
-2.19778,53.29381,Running_Sand,0.039,0.155,0.858,0.284,Low,11.3,5.6,PVC,15
-1.51325,52.12531,Running_Sand,0.076,0.355,0.519,0.284,Low,7.8,60.0,Steel,43
0.28128,52.86076,Dense_Sand,0.037,0.173,0.194,0.124,Low,12.8,8.9,Cast_Iron,59
-0.86221,52.16742,Dense_Sand,0.012,0.105,0.195,0.09,Low,12.2,52.9,Cast_Iron,32
1.00526,51.5695,Firm_Clay,0.496,0.111,0.043,0.248,Low,9.6,51.3,PVC,37
-1.30808,51.49838,Firm_Clay,0.421,0.245,0.109,0.281,Low,14.5,12.1,Steel,29
-2.45251,52.06358,Swelling_Clay,0.781,0.5,0.08,0.507,High,8.1,21.2,Cast_Iron,85
-1.29738,52.88874,Swelling_Clay,0.67,0.214,0.136,0.377,Moderate,5.4,10.0,Cast_Iron,100
-0.1877,52.51268,Firm_Clay,0.315,0.29,0.096,0.251,Low,12.3,27.5,Concrete,119
-0.99625,52.72157,Compressible_Ground,0.345,0.801,0.448,0.53,High,11.1,41.8,Steel,48
-0.36051,51.70582,Compressible_Ground,0.244,0.812,0.447,0.493,Moderate,1.9,25.2,Concrete,58
1.00639,52.20359,Compressible_Ground,0.448,0.627,0.405,0.5,Moderate,12.4,52.3,Steel,96
1.14994,51.11099,Firm_Clay,0.554,0.199,0.085,0.312,Moderate,14.7,147.0,Concrete,20
-1.4361,53.04383,Swelling_Clay,0.642,0.298,0.055,0.375,Moderate,0.8,25.2,Steel,25
-0.65144,53.47473,Firm_Clay,0.561,0.202,0.093,0.319,Moderate,0.6,12.1,Steel,67
-0.30342,52.0172,Swelling_Clay,0.826,0.244,0.18,0.461,Moderate,9.8,13.0,Concrete,38
1.29645,51.02741,Swelling_Clay,0.788,0.47,0.158,0.519,High,5.6,44.3,Cast_Iron,86
1.49447,51.42448,Compressible_Ground,0.5,0.862,0.484,0.623,High,6.6,48.1,PVC,20
-1.55837,52.63132,Swelling_Clay,0.609,0.319,0.19,0.402,Moderate,9.6,4.4,PVC,72
0.40792,52.5302,Dense_Sand,0.021,0.087,0.174,0.082,Low,8.9,39.3,Concrete,85
