Sample_ID,Soil_Type,Relative_Density_Dr,D10_mm,D50_mm,D90_mm,Uniformity_Coefficient_Cu,Internal_Friction_Angle_deg,Dilation_Angle_deg,Elastic_Modulus_kPa,Poissons_Ratio,Unit_Weight_kN_m3,Void_Ratio_max,Void_Ratio_min,Permeability_m_s,Cohesion_kPa
SAND-0022,Sand,0.506,0.0853,0.5334,2.0465,7.81,34.7,6.4,32558.0,0.316,17.91,0.796,0.45,2.43e-05,1.4
SAND-0023,Sand,0.376,0.2834,1.1157,4.0615,3.94,36.1,8.8,26088.0,0.313,17.34,0.853,0.445,7.93e-03,4.4
SAND-0024,Sand,0.718,0.2805,1.1938,3.6659,4.44,37.1,3.2,38687.0,0.243,18.71,0.838,0.46,9.95e-04,1.2
SAND-0025,Sand,0.278,0.4114,2.2274,5.6344,5.32,30.5,1.9,23532.0,0.321,16.59,0.862,0.467,5.82e-05,1.6
SAND-0026,Sand,0.347,0.189,1.3349,4.9793,6.19,35.9,8.2,25120.0,0.335,16.89,0.855,0.484,8.49e-03,1.8
SAND-0027,Sand,0.817,0.4322,1.4237,5.5445,3.03,40.8,12.8,42377.0,0.275,19.5,0.765,0.426,3.84e-05,1.0
SAND-0028,Sand,0.782,0.4509,2.5232,12.2981,7.33,42.8,15.1,40230.0,0.257,19.1,0.776,0.392,3.15e-03,2.7
SAND-0029,Sand,0.541,0.0572,0.147,0.5708,2.19,40.0,11.5,34452.0,0.332,17.6,0.855,0.45,1.12e-05,1.0
SAND-0030,Sand,0.591,0.2985,0.888,2.8615,3.46,39.4,8.1,33180.0,0.322,18.47,0.793,0.462,2.78e-04,2.9
SAND-0031,Sand,0.297,0.4262,2.0554,8.5446,5.31,32.7,2.1,19724.0,0.3,16.3,0.867,0.458,1.84e-03,1.3
SAND-0032,Sand,0.571,0.2588,1.1528,3.2658,4.14,39.0,7.8,31125.0,0.293,17.7,0.832,0.448,1.18e-03,2.4
SAND-0033,Sand,0.727,0.0648,0.1765,0.8275,3.61,41.7,11.3,41621.0,0.316,17.95,0.815,0.409,3.08e-03,4.5
SAND-0034,Sand,0.588,0.2366,1.6725,7.1215,9.95,38.0,8.7,34039.0,0.279,18.0,0.802,0.42,2.67e-05,0.8
SAND-0035,Sand,0.563,0.102,0.3254,0.901,2.55,36.9,8.4,29600.0,0.302,17.84,0.769,0.414,1.11e-04,0.6
SAND-0036,Sand,0.559,0.4043,2.9576,14.4582,9.87,36.3,11.0,33091.0,0.306,17.94,0.789,0.483,4.96e-03,3.3
SAND-0037,Sand,0.904,0.4399,1.4115,2.8724,3.43,39.5,8.7,47159.0,0.255,20.1,0.744,0.42,5.22e-05,1.2
SAND-0038,Sand,0.611,0.1803,1.2559,3.8184,8.79,37.4,8.5,35778.0,0.279,17.69,0.795,0.462,1.66e-04,1.5
SAND-0039,Sand,0.525,0.181,0.6729,2.055,4.54,39.0,6.3,32978.0,0.288,17.7,0.806,0.488,5.10e-04,0.9
SAND-0040,Sand,0.525,0.3948,2.6528,7.1962,7.03,35.3,3.9,31135.0,0.33,17.82,0.844,0.447,6.22e-03,2.8
SAND-0041,Sand,0.562,0.4411,1.2761,5.0636,2.54,40.4,11.4,33599.0,0.336,17.82,0.813,0.475,5.22e-03,2.2
SAND-0042,Sand,0.869,0.3122,1.5126,3.0437,4.88,40.7,12.8,44035.0,0.209,19.32,0.714,0.428,4.92e-04,4.2
SAND-0043,Sand,0.715,0.1457,1.0593,2.396,8.1,38.4,8.8,35438.0,0.3,18.29,0.797,0.435,1.16e-04,3.0
SAND-0044,Sand,0.866,0.1715,0.5403,1.2925,3.61,42.3,14.8,48074.0,0.256,19.75,0.813,0.401,1.08e-04,4.0
SAND-0045,Sand,0.781,0.1637,0.4589,1.9749,3.05,38.2,7.5,40713.0,0.271,18.83,0.821,0.401,8.51e-03,1.0
SAND-0046,Sand,0.382,0.2018,1.0216,4.1814,5.3,34.2,3.2,23980.0,0.327,16.94,0.809,0.451,2.15e-03,1.1
SAND-0047,Sand,0.805,0.3533,1.3102,4.6896,4.56,38.2,7.4,41489.0,0.308,19.12,0.756,0.418,5.97e-03,3.5
SAND-0048,Sand,0.666,0.3396,1.5937,7.8938,4.19,37.2,10.4,37352.0,0.296,18.54,0.803,0.445,5.83e-03,2.2
SAND-0049,Sand,0.229,0.3395,1.2122,4.4331,3.82,29.9,1.4,19346.0,0.316,16.14,0.812,0.494,2.16e-03,2.3
SAND-0050,Sand,0.756,0.459,2.0619,10.2439,4.07,38.9,9.1,41384.0,0.25,18.96,0.736,0.424,7.54e-04,2.0
SAND-0051,Sand,0.251,0.3249,1.8948,6.6662,7.5,31.2,2.5,17929.0,0.318,15.92,0.877,0.476,6.71e-03,5.0
SAND-0052,Sand,0.276,0.323,1.5314,5.5099,4.82,32.2,2.0,21111.0,0.333,16.52,0.853,0.486,3.69e-03,2.6
SAND-0053,Sand,0.708,0.3651,2.2004,5.4618,7.74,38.3,5.0,39055.0,0.271,18.92,0.78,0.429,1.60e-04,0.8
SAND-0054,Sand,0.407,0.1635,0.45,1.5218,3.21,32.2,7.0,28252.0,0.315,17.03,0.821,0.434,5.72e-05,3.9
SAND-0055,Sand,0.626,0.1921,1.2883,5.4624,6.99,37.9,12.1,34732.0,0.312,17.69,0.781,0.417,8.55e-05,4.7
SAND-0056,Sand,0.825,0.3043,1.7046,3.6964,7.03,41.9,8.8,45433.0,0.308,19.3,0.741,0.448,2.15e-05,2.2
SAND-0057,Sand,0.948,0.3602,2.256,6.6634,5.42,42.7,11.6,46134.0,0.285,19.76,0.756,0.41,1.15e-05,3.1
SAND-0058,Sand,0.733,0.2288,0.8031,2.3434,4.42,41.5,11.5,40396.0,0.268,18.53,0.762,0.457,6.29e-05,4.7
SAND-0059,Sand,0.73,0.148,0.9605,3.9274,8.61,39.8,10.3,40120.0,0.3,18.47,0.81,0.462,1.15e-04,4.6
SAND-0060,Sand,0.585,0.3326,1.5915,6.9112,4.97,36.5,10.2,33978.0,0.329,17.9,0.779,0.447,2.17e-03,1.8
SAND-0061,Sand,0.653,0.242,0.7337,3.2416,2.83,37.6,11.3,35345.0,0.316,17.82,0.816,0.423,7.38e-05,2.8
SAND-0062,Sand,0.656,0.143,0.5926,1.3763,3.33,38.0,4.8,38083.0,0.298,18.24,0.793,0.432,3.52e-05,2.0
SAND-0063,Sand,0.403,0.0728,0.4877,1.4022,9.79,36.4,7.0,27302.0,0.286,16.73,0.774,0.452,5.05e-03,0.6
SAND-0064,Sand,0.743,0.3249,2.2531,8.173,8.6,38.8,7.1,36900.0,0.273,18.69,0.836,0.417,1.29e-03,2.4
SAND-0065,Sand,0.659,0.2166,0.6382,3.0901,4.08,39.4,9.7,36222.0,0.274,17.75,0.777,0.456,9.41e-05,2.1
SAND-0066,Sand,0.551,0.1056,0.2742,1.3046,2.72,36.6,5.9,30278.0,0.283,17.84,0.842,0.415,2.31e-05,3.0
SAND-0067,Sand,0.816,0.3599,1.2576,3.6094,4.13,40.5,9.2,43039.0,0.297,19.29,0.761,0.404,5.98e-05,4.7
SAND-0068,Sand,0.505,0.2888,1.8722,5.8308,5.67,37.5,9.9,32705.0,0.32,18.1,0.83,0.465,4.02e-03,4.1
SAND-0069,Sand,0.394,0.4119,1.9661,5.504,4.38,32.7,2.4,27462.0,0.31,16.98,0.829,0.466,1.13e-05,5.0
SAND-0070,Sand,0.255,0.2577,1.8892,8.4222,8.28,34.2,6.9,19550.0,0.313,16.0,0.817,0.456,1.16e-04,1.9
SAND-0071,Sand,0.565,0.1281,0.8756,4.0121,6.66,35.2,6.0,31357.0,0.302,18.29,0.785,0.459,1.16e-03,1.6
SAND-0072,Sand,0.367,0.1565,0.9657,4.1543,7.45,32.4,0.6,23210.0,0.31,17.12,0.875,0.479,2.01e-05,2.1
SAND-0073,Sand,0.843,0.3473,1.0667,4.8459,3.92,37.7,11.5,42812.0,0.27,18.84,0.794,0.419,1.59e-05,1.9
SAND-0074,Sand,0.903,0.1477,1.0302,2.0654,5.7,43.2,11.8,45608.0,0.243,19.41,0.751,0.369,4.32e-05,2.0
SAND-0075,Sand,0.726,0.1037,0.533,1.5052,5.47,38.9,10.3,36381.0,0.296,18.77,0.789,0.446,8.87e-03,4.9
SAND-0076,Sand,0.58,0.2939,1.8142,5.663,7.8,35.9,5.9,35881.0,0.256,18.8,0.813,0.466,1.12e-03,2.1
SAND-0077,Sand,0.716,0.4843,1.4246,4.5078,4.15,38.7,9.0,38823.0,0.29,18.74,0.775,0.431,4.14e-04,2.0
SAND-0078,Sand,0.595,0.3831,2.2137,6.3702,7.05,39.1,8.0,34210.0,0.316,17.79,0.815,0.414,7.68e-04,0.9
SAND-0079,Sand,0.561,0.1425,0.4989,1.3688,2.87,36.1,4.2,34655.0,0.314,18.2,0.81,0.435,5.02e-04,4.6
SAND-0080,Sand,0.501,0.2772,1.8364,8.0983,9.58,33.4,3.4,29076.0,0.307,18.06,0.79,0.472,3.81e-05,4.9
SAND-0081,Sand,0.334,0.0932,0.5736,2.7131,7.33,34.4,6.2,28017.0,0.319,16.6,0.867,0.463,3.63e-05,1.5
SAND-0082,Sand,0.579,0.2648,1.245,3.6644,4.25,36.4,9.0,35995.0,0.337,18.41,0.832,0.414,4.58e-04,1.2
SAND-0083,Sand,0.642,0.2444,0.6639,2.7897,2.7,38.8,8.4,36484.0,0.286,18.25,0.777,0.412,2.16e-05,2.2
SAND-0084,Sand,0.474,0.3363,1.2032,5.7055,4.15,34.5,4.7,24894.0,0.321,17.75,0.848,0.435,1.12e-03,0.1
SAND-0085,Sand,0.433,0.2826,1.2244,4.998,5.05,35.3,5.1,28076.0,0.322,17.32,0.86,0.44,1.51e-04,0.6
SAND-0086,Sand,0.203,0.3847,1.3558,2.9198,4.05,33.0,0.9,19172.0,0.28,16.11,0.906,0.477,6.15e-04,3.3
SAND-0087,Sand,0.744,0.4949,2.5112,7.8046,7.09,39.5,6.3,39068.0,0.279,18.71,0.828,0.406,5.64e-05,1.5
SAND-0088,Sand,0.382,0.3075,1.1511,4.7827,4.78,33.2,3.0,25352.0,0.303,17.01,0.877,0.482,3.90e-05,1.8
SAND-0089,Sand,0.624,0.1813,1.4477,4.86,6.68,37.1,7.4,32352.0,0.294,18.13,0.856,0.458,4.38e-05,0.5
SAND-0090,Sand,0.652,0.4392,2.5168,8.3769,6.9,36.1,5.9,36521.0,0.318,18.63,0.74,0.426,7.37e-04,1.1
SAND-0091,Sand,0.762,0.2845,2.0593,9.3526,8.3,37.1,8.4,38860.0,0.31,18.35,0.794,0.407,1.32e-04,1.7
SAND-0092,Sand,0.935,0.2446,1.5236,5.9165,5.44,40.8,13.1,48310.0,0.282,19.35,0.718,0.414,1.01e-03,0.8
SAND-0093,Sand,0.79,0.1942,1.1474,2.6896,6.06,42.4,9.8,43335.0,0.278,19.19,0.773,0.441,1.26e-05,2.9
SAND-0094,Sand,0.454,0.2517,1.572,6.4485,5.12,34.8,7.9,24587.0,0.315,17.77,0.813,0.444,1.18e-03,1.3
SAND-0095,Sand,0.824,0.3244,2.1942,7.5293,6.5,42.4,8.5,40634.0,0.246,18.93,0.769,0.421,4.60e-03,0.9
SAND-0096,Sand,0.935,0.4948,2.3212,11.5213,6.61,40.9,11.2,49278.0,0.257,19.95,0.748,0.412,3.93e-03,4.4
SAND-0097,Sand,0.674,0.4249,2.8318,7.0366,8.36,38.3,5.9,36246.0,0.314,18.32,0.808,0.393,1.26e-03,4.8
SAND-0098,Sand,0.277,0.1208,0.6398,2.0829,5.76,33.0,0.0,22398.0,0.3,16.43,0.846,0.451,1.65e-04,1.7
SAND-0099,Sand,0.831,0.4757,2.6232,9.8256,4.68,38.4,9.7,46523.0,0.257,19.02,0.792,0.421,1.95e-03,2.4
SAND-0100,Sand,0.503,0.2239,1.3002,4.0015,5.56,33.1,6.2,30317.0,0.264,17.48,0.823,0.445,7.01e-03,1.6
SAND-0101,Sand,0.211,0.3473,1.3121,4.855,3.42,30.9,3.5,20392.0,0.339,16.03,0.823,0.47,2.22e-05,1.0
SAND-0102,Sand,0.629,0.1603,0.9775,3.0758,8.66,40.5,12.5,37142.0,0.29,18.45,0.828,0.398,6.82e-05,1.2
SAND-0103,Sand,0.884,0.1828,1.1087,4.8352,4.94,40.0,9.8,44985.0,0.24,19.68,0.765,0.409,9.99e-05,0.6
SAND-0104,Sand,0.73,0.1652,1.0135,3.8482,8.77,39.3,9.8,39028.0,0.276,18.57,0.8,0.438,1.87e-04,3.9
SAND-0105,Sand,0.506,0.0817,0.5244,1.2858,9.3,34.9,3.3,29913.0,0.31,17.41,0.85,0.441,3.29e-05,2.3
SAND-0106,Sand,0.859,0.0718,0.2996,1.4169,5.08,42.0,13.0,46768.0,0.266,19.71,0.803,0.401,5.50e-04,1.9
SAND-0107,Sand,0.695,0.4972,1.3681,6.6454,2.34,39.6,7.0,32115.0,0.29,17.98,0.78,0.447,1.63e-05,3.2
SAND-0108,Sand,0.764,0.4795,1.6196,7.6186,3.84,40.6,8.9,39860.0,0.302,19.02,0.839,0.436,6.08e-03,2.4
SAND-0109,Sand,0.946,0.2426,1.2465,5.0132,4.78,41.1,11.7,49760.0,0.262,19.95,0.781,0.406,2.09e-04,2.5
SAND-0110,Sand,0.327,0.4764,1.7704,4.6105,3.24,30.3,0.0,21349.0,0.339,16.38,0.87,0.481,1.30e-04,0.6
SAND-0111,Sand,0.921,0.1298,0.4318,1.3279,2.88,40.9,11.4,46412.0,0.255,19.91,0.77,0.385,1.33e-05,2.1
SAND-0112,Sand,0.643,0.4807,2.0649,8.869,3.84,35.5,4.8,30373.0,0.281,17.84,0.813,0.464,1.30e-05,2.2
SAND-0113,Sand,0.232,0.1598,0.4804,2.3452,2.76,31.9,5.1,19480.0,0.334,15.56,0.888,0.534,1.65e-04,3.9
SAND-0114,Sand,0.576,0.3363,1.1821,5.4192,3.71,33.4,2.8,34506.0,0.276,17.86,0.815,0.449,2.82e-03,0.9
SAND-0115,Sand,0.286,0.0848,0.2236,0.5253,3.85,30.7,1.1,19761.0,0.326,16.63,0.86,0.463,5.12e-03,1.6
SAND-0116,Sand,0.435,0.162,0.8554,2.3214,6.9,32.8,6.2,26386.0,0.312,17.36,0.878,0.445,7.15e-04,2.5
SAND-0117,Sand,0.564,0.1948,0.4952,1.6184,2.75,36.7,10.5,29986.0,0.272,17.55,0.893,0.442,5.03e-04,4.4
SAND-0118,Sand,0.777,0.0735,0.4115,1.3386,5.89,39.6,10.7,40610.0,0.27,18.9,0.787,0.411,6.11e-04,0.8
SAND-0119,Sand,0.484,0.2054,1.2071,2.7028,5.13,35.9,9.1,31927.0,0.283,17.29,0.806,0.46,8.17e-04,3.3
SAND-0120,Sand,0.803,0.2278,0.5967,2.6453,2.91,40.7,11.8,42266.0,0.27,19.58,0.769,0.424,5.70e-04,4.0
SAND-0121,Sand,0.629,0.2526,1.5511,3.2675,5.38,40.5,10.1,33111.0,0.294,18.41,0.777,0.46,1.17e-05,4.1
SAND-0122,Sand,0.322,0.1463,0.6399,2.793,5.41,31.7,0.7,22890.0,0.318,16.02,0.839,0.504,5.31e-04,3.5
SAND-0123,Sand,0.724,0.0892,0.3632,1.6961,4.94,41.0,12.7,38094.0,0.267,18.17,0.811,0.42,1.53e-03,2.3
SAND-0124,Sand,0.899,0.4674,2.9973,14.0153,8.36,39.8,13.5,45601.0,0.258,19.41,0.772,0.381,2.31e-04,1.6
SAND-0125,Sand,0.822,0.4902,3.7639,14.5553,11.41,39.6,10.7,37969.0,0.277,19.03,0.789,0.394,2.50e-03,3.0
SAND-0126,Sand,0.259,0.3252,2.1847,5.6004,8.84,31.3,1.2,23977.0,0.306,16.37,0.881,0.489,1.17e-03,2.3
SAND-0127,Sand,0.278,0.1608,0.893,4.1905,4.81,31.8,2.7,19209.0,0.305,16.23,0.857,0.446,5.64e-04,4.5
SAND-0128,Sand,0.597,0.3611,1.2615,5.2231,4.38,37.9,5.7,34767.0,0.263,18.36,0.843,0.445,1.14e-05,1.8
SAND-0129,Sand,0.23,0.1512,0.6954,3.2005,5.33,31.7,0.0,21989.0,0.351,16.27,0.878,0.473,4.36e-05,4.6
SAND-0130,Sand,0.221,0.2942,2.3299,8.922,9.41,29.6,1.6,17964.0,0.345,15.97,0.883,0.49,9.57e-05,0.3
SAND-0131,Sand,0.74,0.4953,2.7802,7.7595,5.96,38.1,10.7,41576.0,0.284,18.98,0.846,0.415,9.99e-04,1.1
SAND-0132,Sand,0.581,0.1437,1.0698,3.1772,10.15,38.7,7.5,34638.0,0.277,17.89,0.773,0.443,2.90e-03,3.8
SAND-0133,Sand,0.238,0.2715,1.9512,7.7078,6.05,30.1,1.3,15710.0,0.337,15.91,0.829,0.487,4.48e-04,4.1
SAND-0134,Sand,0.481,0.1611,1.0243,2.2663,8.79,38.2,6.0,28466.0,0.312,17.38,0.818,0.452,3.90e-04,3.5
SAND-0135,Sand,0.631,0.0745,0.4161,1.6412,6.98,39.0,9.3,38755.0,0.285,18.43,0.851,0.439,3.16e-03,3.2
SAND-0136,Sand,0.295,0.1994,0.5205,1.5025,3.13,33.0,5.6,25157.0,0.333,16.45,0.885,0.454,1.55e-05,0.3
SAND-0137,Sand,0.381,0.0669,0.4801,1.6657,9.81,34.9,5.2,25801.0,0.354,16.53,0.858,0.463,7.51e-03,2.4
SAND-0138,Sand,0.686,0.4142,2.022,9.0748,4.29,34.8,0.0,36014.0,0.288,18.11,0.761,0.423,3.15e-03,2.0
SAND-0139,Sand,0.77,0.2864,2.19,6.5311,8.06,41.7,10.2,42803.0,0.234,18.95,0.792,0.389,9.19e-03,1.1
SAND-0140,Sand,0.382,0.1594,1.0926,3.8586,7.33,33.0,4.6,23886.0,0.308,17.01,0.779,0.451,3.15e-05,1.0
SAND-0141,Sand,0.938,0.3176,2.1265,9.4798,8.48,41.0,12.8,50366.0,0.268,19.75,0.742,0.39,1.90e-05,4.2
SAND-0142,Sand,0.537,0.4582,2.1829,7.2645,5.31,38.1,9.2,34001.0,0.267,17.76,0.777,0.466,4.87e-03,2.4
SAND-0143,Sand,0.218,0.4301,1.0767,3.6981,2.04,31.5,4.0,15939.0,0.341,16.03,0.908,0.504,1.33e-04,0.2
SAND-0144,Sand,0.754,0.3723,2.0163,6.5506,6.37,40.6,12.6,41551.0,0.28,18.73,0.788,0.454,1.62e-05,2.1
SAND-0145,Sand,0.688,0.367,2.7203,12.3071,6.53,40.6,13.6,40859.0,0.263,18.27,0.781,0.421,2.62e-03,0.7
SAND-0146,Sand,0.398,0.148,0.9503,2.3522,5.24,31.8,0.0,28812.0,0.299,17.14,0.831,0.456,1.75e-03,2.6
SAND-0147,Sand,0.624,0.3113,1.8892,4.1229,7.47,39.4,7.5,37219.0,0.293,18.31,0.831,0.445,3.13e-03,1.7
SAND-0148,Sand,0.729,0.0728,0.3676,1.7696,5.01,39.1,7.9,36636.0,0.247,19.19,0.828,0.434,9.54e-03,4.8
SAND-0149,Sand,0.73,0.1227,0.5495,2.5548,4.91,34.7,4.6,40440.0,0.312,18.48,0.8,0.447,3.31e-05,4.4
SAND-0150,Sand,0.631,0.0986,0.4981,2.0406,5.64,37.1,9.2,32504.0,0.295,17.7,0.807,0.422,1.36e-05,0.8
SAND-0151,Sand,0.518,0.109,0.3524,1.7281,3.55,34.4,1.3,29461.0,0.349,17.69,0.768,0.42,1.26e-03,4.7
SAND-0152,Sand,0.858,0.1034,0.6293,1.272,7.57,39.7,3.4,47392.0,0.275,19.51,0.787,0.41,2.38e-03,2.5
SAND-0153,Sand,0.721,0.276,2.1753,10.46,7.86,38.1,5.7,34904.0,0.274,18.34,0.808,0.437,4.55e-03,0.1
SAND-0154,Sand,0.792,0.2762,1.0036,3.5089,5.05,40.2,10.1,41243.0,0.319,19.35,0.837,0.479,3.39e-03,1.6
SAND-0155,Sand,0.613,0.356,1.3007,6.2103,4.81,39.1,9.2,34497.0,0.291,17.75,0.801,0.414,6.06e-03,4.0
SAND-0156,Sand,0.787,0.2092,1.5982,4.9622,6.32,37.7,10.5,42545.0,0.275,18.73,0.786,0.424,7.83e-05,3.4
SAND-0157,Sand,0.414,0.0667,0.4352,1.2763,7.73,33.5,5.0,28532.0,0.334,16.84,0.843,0.473,1.29e-03,4.3
SAND-0158,Sand,0.833,0.2082,1.6563,3.4545,11.86,39.9,6.8,42678.0,0.276,19.35,0.738,0.404,6.54e-05,2.7
SAND-0159,Sand,0.316,0.1956,1.2564,5.8065,7.79,28.3,0.0,21589.0,0.319,16.87,0.86,0.468,8.11e-04,4.0
SAND-0160,Sand,0.685,0.1494,0.607,2.4262,4.55,37.8,7.7,41107.0,0.274,18.43,0.757,0.47,2.56e-04,2.5
SAND-0161,Sand,0.422,0.0718,0.5416,1.103,7.52,33.2,0.0,25772.0,0.274,17.8,0.826,0.454,2.59e-05,2.4
SAND-0162,Sand,0.834,0.0953,0.5931,2.5957,6.19,42.4,14.6,44611.0,0.273,18.74,0.758,0.402,1.00e-04,4.4
SAND-0163,Sand,0.599,0.2465,0.9765,2.6864,3.83,37.1,5.4,34098.0,0.301,18.1,0.816,0.453,3.32e-04,3.1
SAND-0164,Sand,0.21,0.3449,2.2087,9.2015,7.65,32.6,5.4,21247.0,0.344,16.24,0.862,0.52,7.19e-03,4.6
SAND-0165,Sand,0.684,0.1246,0.9628,4.7682,6.74,38.3,12.2,33309.0,0.292,18.43,0.792,0.384,1.62e-04,4.7
SAND-0166,Sand,0.591,0.0863,0.3457,1.1707,5.88,39.5,10.8,35269.0,0.292,18.52,0.795,0.418,6.55e-05,0.3
SAND-0167,Sand,0.53,0.3422,1.3142,4.5618,4.31,35.8,3.1,31492.0,0.253,17.82,0.84,0.414,2.78e-05,4.5
SAND-0168,Sand,0.901,0.3473,1.4472,5.6123,5.09,39.2,7.7,45082.0,0.249,19.75,0.774,0.391,1.09e-05,2.0
SAND-0169,Sand,0.374,0.1952,0.7473,2.9834,4.77,33.2,3.7,26041.0,0.323,16.67,0.851,0.437,1.70e-05,0.2
SAND-0170,Sand,0.548,0.0972,0.4071,1.2281,5.6,36.1,1.9,30552.0,0.308,17.88,0.831,0.445,1.29e-04,3.5
SAND-0171,Sand,0.244,0.0679,0.2948,1.2348,3.83,32.0,0.0,21349.0,0.314,16.84,0.854,0.466,4.56e-05,0.8
SAND-0172,Sand,0.551,0.4796,2.9349,13.2306,9.1,33.9,4.4,32457.0,0.304,17.79,0.828,0.452,1.90e-03,2.8
SAND-0173,Sand,0.554,0.4205,2.8368,8.7921,7.75,36.7,6.1,32310.0,0.278,17.52,0.807,0.46,4.32e-04,4.2
SAND-0174,Sand,0.395,0.1057,0.8155,3.355,7.13,34.7,5.9,24776.0,0.326,17.53,0.826,0.447,2.57e-05,3.0
SAND-0175,Sand,0.481,0.0524,0.3521,1.1445,6.85,35.0,4.2,32820.0,0.302,17.34,0.8,0.462,8.60e-05,0.4
SAND-0176,Sand,0.861,0.1897,0.7147,2.9959,3.54,40.3,9.8,40754.0,0.284,18.79,0.774,0.441,1.74e-05,4.6
SAND-0177,Sand,0.545,0.1378,0.5775,2.6559,4.48,38.5,9.7,31990.0,0.322,18.07,0.842,0.422,1.52e-04,4.6
SAND-0178,Sand,0.297,0.1785,0.5112,1.6064,2.59,31.4,2.0,22404.0,0.319,16.54,0.823,0.45,9.39e-04,0.5
SAND-0179,Sand,0.592,0.2189,1.1932,5.4417,8.07,38.7,10.3,35217.0,0.272,17.98,0.784,0.449,5.46e-05,3.5
SAND-0180,Sand,0.693,0.1914,1.2915,6.2226,7.97,36.6,8.5,39413.0,0.293,18.71,0.794,0.414,1.27e-05,2.7
SAND-0181,Sand,0.83,0.4373,3.1018,8.202,7.79,42.2,15.4,45356.0,0.292,18.83,0.819,0.456,9.75e-04,3.0
SAND-0182,Sand,0.325,0.4435,1.6955,7.1779,3.53,34.0,4.6,23882.0,0.332,16.4,0.861,0.466,6.83e-05,4.1
SAND-0183,Sand,0.754,0.3304,2.4586,11.2696,7.13,41.0,10.4,41956.0,0.283,18.75,0.764,0.447,8.79e-04,2.7
SAND-0184,Sand,0.287,0.4495,3.1556,13.6735,8.36,32.9,2.3,20964.0,0.291,16.87,0.883,0.477,9.30e-04,4.1
SAND-0185,Sand,0.74,0.4797,3.5066,8.7949,10.7,41.2,13.1,42504.0,0.26,18.58,0.841,0.387,6.24e-03,1.3
