Test_ID,G_Level,Soil_Type,Moisture_Content_pct,Loading_Rate_mm_min,Time_s,Scale_Factor_N,Settlement_mm_model,Settlement_mm_prototype,Lateral_Displacement_mm,Pore_Water_Pressure_kPa,PIV_Displacement_X_mm,PIV_Displacement_Y_mm,Shear_Strain,Shear_Band_Detected
CEN-001,40,Sand,5,0.1,1740,40,0.304,12.1,0.079,2.13,0.079,0.304,0.00627,0
CEN-001,40,Sand,5,0.1,1800,40,0.295,11.8,0.084,1.29,0.071,0.295,0.00606,0
CEN-001,40,Sand,5,0.1,1860,40,0.295,11.8,0.09,0.49,0.104,0.295,0.00626,0
CEN-001,40,Sand,5,0.1,1920,40,0.406,16.3,0.1,0.0,0.099,0.406,0.00837,0
CEN-001,40,Sand,5,0.1,1980,40,0.511,20.4,0.169,1.1,0.17,0.511,0.01077,0
CEN-001,40,Sand,5,0.1,2040,40,0.423,16.9,0.073,1.58,0.064,0.423,0.00855,0
CEN-001,40,Sand,5,0.1,2100,40,0.12,4.8,0.032,3.44,0.031,0.12,0.00248,0
CEN-001,40,Sand,5,0.1,2160,40,0.535,21.4,0.162,0.62,0.147,0.535,0.01109,0
CEN-001,40,Sand,5,0.1,2220,40,0.154,6.1,0.042,0.0,0.038,0.154,0.00317,0
CEN-001,40,Sand,5,0.1,2280,40,0.367,14.7,0.076,1.4,0.08,0.367,0.00752,0
CEN-001,40,Sand,5,0.1,2340,40,0.525,21.0,0.177,3.61,0.153,0.525,0.01093,0
CEN-001,40,Sand,5,0.1,2400,40,0.448,17.9,0.092,2.43,0.078,0.448,0.00909,0
CEN-001,40,Sand,5,0.1,2460,40,0.312,12.5,0.096,0.0,0.088,0.312,0.00648,0
CEN-001,40,Sand,5,0.1,2520,40,0.355,14.2,0.106,0.78,0.114,0.355,0.00746,0
CEN-001,40,Sand,5,0.1,2580,40,0.417,16.7,0.114,3.16,0.097,0.417,0.00856,0
CEN-001,40,Sand,5,0.1,2640,40,0.442,17.7,0.123,1.76,0.117,0.442,0.00915,0
CEN-001,40,Sand,5,0.1,2700,40,0.283,11.3,0.098,2.23,0.088,0.283,0.00594,0
CEN-001,40,Sand,5,0.1,2760,40,0.516,20.6,0.157,2.86,0.169,0.516,0.01085,0
CEN-001,40,Sand,5,0.1,2820,40,0.591,23.7,0.169,0.0,0.182,0.591,0.01237,0
CEN-001,40,Sand,5,0.1,2880,40,0.611,24.5,0.131,0.0,0.152,0.611,0.0126,0
CEN-001,40,Sand,5,0.1,2940,40,0.511,20.4,0.14,2.1,0.168,0.511,0.01076,0
CEN-002,40,Sand,5,0.5,0,40,0.077,3.1,0.02,0.0,0.017,0.077,0.00157,0
CEN-002,40,Sand,5,0.5,60,40,0.106,4.2,0.021,3.95,0.025,0.106,0.00217,0
CEN-002,40,Sand,5,0.5,120,40,0.0,0.0,0.0,0.33,-0.037,0.0,0.00526,0
CEN-002,40,Sand,5,0.5,180,40,0.0,0.0,0.0,0.0,-0.061,0.0,0.0042,0
CEN-002,40,Sand,5,0.5,240,40,0.157,6.3,0.033,0.0,0.033,0.157,0.0032,0
CEN-002,40,Sand,5,0.5,300,40,0.021,0.8,0.005,0.0,0.004,0.021,0.00043,0
CEN-002,40,Sand,5,0.5,360,40,0.059,2.4,0.011,0.2,0.01,0.059,0.00119,0
CEN-002,40,Sand,5,0.5,420,40,0.0,0.0,0.0,5.04,-0.013,0.0,0.00096,0
CEN-002,40,Sand,5,0.5,480,40,0.113,4.5,0.026,0.0,0.025,0.113,0.00231,0
CEN-002,40,Sand,5,0.5,540,40,0.301,12.0,0.094,0.8,0.108,0.301,0.00639,0
CEN-002,40,Sand,5,0.5,600,40,0.385,15.4,0.115,0.78,0.124,0.385,0.00809,0
CEN-002,40,Sand,5,0.5,660,40,0.216,8.6,0.056,0.0,0.046,0.216,0.00442,0
CEN-002,40,Sand,5,0.5,720,40,0.44,17.6,0.122,2.49,0.098,0.44,0.00901,0
CEN-002,40,Sand,5,0.5,780,40,0.481,19.3,0.137,1.9,0.137,0.481,0.01001,0
CEN-002,40,Sand,5,0.5,840,40,0.654,26.2,0.192,0.57,0.191,0.654,0.01362,0
CEN-002,40,Sand,5,0.5,900,40,0.317,12.7,0.097,0.0,0.103,0.317,0.00666,0
CEN-002,40,Sand,5,0.5,960,40,0.432,17.3,0.1,2.65,0.084,0.432,0.00879,0
CEN-002,40,Sand,5,0.5,1020,40,0.414,16.6,0.128,0.0,0.123,0.414,0.00864,0
CEN-002,40,Sand,5,0.5,1080,40,0.684,27.4,0.121,4.03,0.116,0.684,0.01387,0
CEN-002,40,Sand,5,0.5,1140,40,0.874,35.0,0.191,1.45,0.203,0.874,0.01795,0
CEN-002,40,Sand,5,0.5,1200,40,0.948,37.9,0.166,0.08,0.157,0.948,0.01922,0
CEN-002,40,Sand,5,0.5,1260,40,1.103,44.1,0.371,0.0,0.372,1.103,0.02328,0
CEN-002,40,Sand,5,0.5,1320,40,0.762,30.5,0.176,2.37,0.195,0.762,0.01574,0
CEN-002,40,Sand,5,0.5,1380,40,1.089,43.6,0.244,4.24,0.207,1.089,0.02217,0
CEN-002,40,Sand,5,0.5,1440,40,0.947,37.9,0.303,3.46,0.339,0.947,0.02011,0
CEN-002,40,Sand,5,0.5,1500,40,1.137,45.5,0.256,0.0,0.297,1.137,0.0235,0
CEN-002,40,Sand,5,0.5,1560,40,0.946,37.8,0.315,0.34,0.252,0.946,0.01958,0
CEN-002,40,Sand,5,0.5,1620,40,1.213,48.5,0.288,0.0,0.261,1.213,0.02481,0
CEN-002,40,Sand,5,0.5,1680,40,1.4,56.0,0.31,2.48,0.328,1.4,0.02875,0
CEN-002,40,Sand,5,0.5,1740,40,1.315,52.6,0.415,0.8,0.411,1.315,0.02755,0
CEN-002,40,Sand,5,0.5,1800,40,1.646,65.9,0.569,2.23,0.588,1.646,0.03496,0
CEN-002,40,Sand,5,0.5,1860,40,1.622,64.9,0.393,1.36,0.396,1.622,0.0334,0
CEN-002,40,Sand,5,0.5,1920,40,1.612,64.5,0.329,1.59,0.302,1.612,0.0328,0
CEN-002,40,Sand,5,0.5,1980,40,1.456,58.2,0.295,0.66,0.341,1.456,0.0299,0
CEN-002,40,Sand,5,0.5,2040,40,1.777,71.1,0.342,2.62,0.383,1.777,0.03635,0
CEN-002,40,Sand,5,0.5,2100,40,1.911,76.4,0.62,1.86,0.605,1.911,0.04008,0
CEN-002,40,Sand,5,0.5,2160,40,1.85,74.0,0.299,2.6,0.262,1.85,0.03736,0
CEN-002,40,Sand,5,0.5,2220,40,2.077,83.1,0.654,0.87,0.734,2.077,0.04405,0
CEN-002,40,Sand,5,0.5,2280,40,1.977,79.1,0.411,0.0,0.412,1.977,0.04039,0
CEN-002,40,Sand,5,0.5,2340,40,2.504,100.2,0.711,2.13,0.78,2.504,0.05246,1
CEN-002,40,Sand,5,0.5,2400,40,2.338,93.5,0.435,3.96,0.456,2.338,0.04765,0
CEN-002,40,Sand,5,0.5,2460,40,1.851,74.0,0.378,0.79,0.416,1.851,0.03795,0
CEN-002,40,Sand,5,0.5,2520,40,2.22,88.8,0.349,0.68,0.308,2.22,0.04483,0
CEN-002,40,Sand,5,0.5,2580,40,2.128,85.1,0.493,3.96,0.401,2.128,0.04331,0
CEN-002,40,Sand,5,0.5,2640,40,2.475,99.0,0.86,1.56,0.853,2.475,0.05236,1
CEN-002,40,Sand,5,0.5,2700,40,2.667,106.7,0.694,0.0,0.683,2.667,0.05505,1
CEN-002,40,Sand,5,0.5,2760,40,2.58,103.2,0.538,3.1,0.514,2.58,0.05261,1
CEN-002,40,Sand,5,0.5,2820,40,3.013,120.5,0.641,2.08,0.697,3.013,0.06185,1
CEN-002,40,Sand,5,0.5,2880,40,2.906,116.2,0.795,2.81,0.803,2.906,0.0603,1
CEN-002,40,Sand,5,0.5,2940,40,2.769,110.8,0.901,1.9,0.809,2.769,0.0577,1
CEN-003,40,Sand,5,1.0,0,40,0.0,0.0,0.0,2.07,-0.012,0.0,0.00102,0
CEN-003,40,Sand,5,1.0,60,40,0.0,0.0,0.0,0.0,-0.02,0.0,0.00194,0
CEN-003,40,Sand,5,1.0,120,40,0.0,0.0,0.0,0.0,-0.019,0.0,0.00151,0
CEN-003,40,Sand,5,1.0,180,40,0.0,0.0,0.0,0.0,-0.004,0.0,0.00036,0
CEN-003,40,Sand,5,1.0,240,40,0.095,3.8,0.028,1.93,0.032,0.095,0.002,0
CEN-003,40,Sand,5,1.0,300,40,0.139,5.6,0.031,0.0,0.027,0.139,0.00283,0
CEN-003,40,Sand,5,1.0,360,40,0.139,5.6,0.042,2.73,0.042,0.139,0.0029,0
CEN-003,40,Sand,5,1.0,420,40,0.277,11.1,0.084,2.34,0.089,0.277,0.00581,0
CEN-003,40,Sand,5,1.0,480,40,0.139,5.5,0.042,0.0,0.04,0.139,0.00289,0
CEN-003,40,Sand,5,1.0,540,40,0.512,20.5,0.098,0.0,0.094,0.512,0.01041,0
CEN-003,40,Sand,5,1.0,600,40,0.606,24.3,0.188,0.0,0.2,0.606,0.01277,0
CEN-003,40,Sand,5,1.0,660,40,0.456,18.2,0.157,0.0,0.152,0.456,0.00961,0
CEN-003,40,Sand,5,1.0,720,40,0.566,22.6,0.166,0.0,0.193,0.566,0.01195,0
CEN-003,40,Sand,5,1.0,780,40,0.936,37.4,0.192,0.0,0.228,0.936,0.01927,0
CEN-003,40,Sand,5,1.0,840,40,0.954,38.2,0.144,2.25,0.164,0.954,0.01936,0
CEN-003,40,Sand,5,1.0,900,40,0.822,32.9,0.287,0.0,0.332,0.822,0.01774,0
CEN-003,40,Sand,5,1.0,960,40,0.961,38.4,0.15,0.0,0.162,0.961,0.01949,0
CEN-003,40,Sand,5,1.0,1020,40,1.474,59.0,0.376,3.86,0.396,1.474,0.03053,0
CEN-003,40,Sand,5,1.0,1080,40,1.524,61.0,0.431,4.33,0.479,1.524,0.03194,0
CEN-003,40,Sand,5,1.0,1140,40,1.551,62.0,0.477,0.08,0.524,1.551,0.03273,0
CEN-003,40,Sand,5,1.0,1200,40,1.732,69.3,0.588,3.5,0.539,1.732,0.03627,0
CEN-003,40,Sand,5,1.0,1260,40,1.595,63.8,0.295,3.73,0.273,1.595,0.03237,0
CEN-003,40,Sand,5,1.0,1320,40,1.789,71.6,0.374,0.0,0.391,1.789,0.03663,0
CEN-003,40,Sand,5,1.0,1380,40,1.823,72.9,0.362,0.69,0.368,1.823,0.0372,0
CEN-003,40,Sand,5,1.0,1440,40,2.206,88.2,0.511,0.93,0.524,2.206,0.04535,0
CEN-003,40,Sand,5,1.0,1500,40,2.335,93.4,0.707,5.34,0.647,2.335,0.04847,0
CEN-003,40,Sand,5,1.0,1560,40,1.954,78.2,0.474,1.77,0.493,1.954,0.04031,0
CEN-003,40,Sand,5,1.0,1620,40,2.517,100.7,0.604,0.44,0.672,2.517,0.05211,1
CEN-003,40,Sand,5,1.0,1680,40,2.125,85.0,0.649,0.22,0.609,2.125,0.04422,0
CEN-003,40,Sand,5,1.0,1740,40,2.963,118.5,0.533,1.98,0.443,2.963,0.05992,1
CEN-003,40,Sand,5,1.0,1800,40,3.14,125.6,0.662,1.13,0.614,3.14,0.06399,1
CEN-003,40,Sand,5,1.0,1860,40,2.536,101.4,0.621,0.0,0.539,2.536,0.05184,1
CEN-003,40,Sand,5,1.0,1920,40,2.823,112.9,0.841,3.72,0.895,2.823,0.05923,1
CEN-003,40,Sand,5,1.0,1980,40,2.84,113.6,0.446,2.24,0.372,2.84,0.05729,1
CEN-003,40,Sand,5,1.0,2040,40,4.063,162.5,0.711,0.0,0.693,4.063,0.08243,1
CEN-003,40,Sand,5,1.0,2100,40,3.402,136.1,0.943,2.16,1.063,3.402,0.07128,1
CEN-003,40,Sand,5,1.0,2160,40,3.486,139.4,0.525,0.0,0.511,3.486,0.07046,1
CEN-003,40,Sand,5,1.0,2220,40,3.657,146.3,0.999,0.7,1.09,3.657,0.07633,1
CEN-003,40,Sand,5,1.0,2280,40,3.963,158.5,1.138,1.52,1.033,3.963,0.0819,1
CEN-003,40,Sand,5,1.0,2340,40,3.196,127.8,0.69,3.63,0.705,3.196,0.06545,1
CEN-003,40,Sand,5,1.0,2400,40,4.032,161.3,1.193,3.59,1.107,4.032,0.08363,1
CEN-003,40,Sand,5,1.0,2460,40,5.194,207.8,1.19,1.7,1.202,5.194,0.10663,1
CEN-003,40,Sand,5,1.0,2520,40,4.922,196.9,0.791,3.77,0.851,4.922,0.09991,1
CEN-003,40,Sand,5,1.0,2580,40,5.126,205.0,0.862,0.0,0.975,5.126,0.10436,1
CEN-003,40,Sand,5,1.0,2640,40,4.391,175.6,1.52,4.06,1.22,4.391,0.09115,1
CEN-003,40,Sand,5,1.0,2700,40,4.282,171.3,0.65,1.73,0.566,4.282,0.08639,1
CEN-003,40,Sand,5,1.0,2760,40,5.041,201.6,1.52,3.63,1.745,5.041,0.10669,1
CEN-003,40,Sand,5,1.0,2820,40,5.233,209.3,1.706,4.25,1.816,5.233,0.11079,1
CEN-003,40,Sand,5,1.0,2880,40,5.537,221.5,1.037,2.19,1.15,5.537,0.11311,1
CEN-003,40,Sand,5,1.0,2940,40,5.556,222.2,1.126,0.0,1.049,5.556,0.11308,1
CEN-004,40,Sand,10,0.1,0,40,0.0,0.0,0.0,0.0,-0.026,0.0,0.0018,0
CEN-004,40,Sand,10,0.1,60,40,0.0,0.0,0.0,0.0,-0.033,0.0,0.00201,0
CEN-004,40,Sand,10,0.1,120,40,0.031,1.2,0.011,0.0,0.011,0.031,0.00066,0
CEN-004,40,Sand,10,0.1,180,40,0.005,0.2,0.001,2.55,0.001,0.005,0.0001,0
CEN-004,40,Sand,10,0.1,240,40,0.0,0.0,0.0,0.0,-0.024,0.0,0.00186,0
CEN-004,40,Sand,10,0.1,300,40,0.0,0.0,0.0,0.0,-0.017,0.0,0.00213,0
CEN-004,40,Sand,10,0.1,360,40,0.0,0.0,0.0,2.28,-0.036,0.0,0.00323,0
CEN-004,40,Sand,10,0.1,420,40,0.0,0.0,0.0,0.0,-0.029,0.0,0.00209,0
CEN-004,40,Sand,10,0.1,480,40,0.003,0.1,0.001,0.02,0.001,0.003,5e-05,0
CEN-004,40,Sand,10,0.1,540,40,0.036,1.4,0.008,2.93,0.008,0.036,0.00073,0
CEN-004,40,Sand,10,0.1,600,40,0.115,4.6,0.019,0.45,0.022,0.115,0.00233,0
CEN-004,40,Sand,10,0.1,660,40,0.381,15.3,0.085,2.17,0.092,0.381,0.00784,0
CEN-004,40,Sand,10,0.1,720,40,0.119,4.8,0.04,6.36,0.04,0.119,0.00252,0
CEN-004,40,Sand,10,0.1,780,40,0.145,5.8,0.036,0.46,0.031,0.145,0.00296,0
CEN-004,40,Sand,10,0.1,840,40,0.186,7.4,0.036,0.0,0.039,0.186,0.00379,0
CEN-004,40,Sand,10,0.1,900,40,0.0,0.0,0.0,0.0,-0.004,0.0,0.00045,0
CEN-004,40,Sand,10,0.1,960,40,0.276,11.1,0.076,0.0,0.082,0.276,0.00577,0
CEN-004,40,Sand,10,0.1,1020,40,0.288,11.5,0.081,2.16,0.088,0.288,0.00603,0
CEN-004,40,Sand,10,0.1,1080,40,0.336,13.4,0.105,2.48,0.097,0.336,0.00699,0
CEN-004,40,Sand,10,0.1,1140,40,0.218,8.7,0.069,7.12,0.062,0.218,0.00454,0
CEN-004,40,Sand,10,0.1,1200,40,0.242,9.7,0.068,1.02,0.054,0.242,0.00496,0
CEN-004,40,Sand,10,0.1,1260,40,0.272,10.9,0.058,0.0,0.052,0.272,0.00554,0
CEN-004,40,Sand,10,0.1,1320,40,0.299,12.0,0.098,4.47,0.088,0.299,0.00623,0
CEN-004,40,Sand,10,0.1,1380,40,0.281,11.3,0.088,4.39,0.086,0.281,0.00588,0
CEN-004,40,Sand,10,0.1,1440,40,0.514,20.6,0.168,4.84,0.177,0.514,0.01087,0
CEN-004,40,Sand,10,0.1,1500,40,0.243,9.7,0.083,3.9,0.067,0.243,0.00504,0
CEN-004,40,Sand,10,0.1,1560,40,0.463,18.5,0.095,0.31,0.077,0.463,0.0094,0
CEN-004,40,Sand,10,0.1,1620,40,0.364,14.5,0.115,2.29,0.094,0.364,0.00751,0
CEN-004,40,Sand,10,0.1,1680,40,0.495,19.8,0.153,4.07,0.168,0.495,0.01044,0
CEN-004,40,Sand,10,0.1,1740,40,0.677,27.1,0.229,4.52,0.2,0.677,0.01411,0
CEN-004,40,Sand,10,0.1,1800,40,0.551,22.0,0.132,4.18,0.123,0.551,0.01129,0
CEN-004,40,Sand,10,0.1,1860,40,0.599,24.0,0.17,1.47,0.148,0.599,0.01234,0
CEN-004,40,Sand,10,0.1,1920,40,0.763,30.5,0.205,4.33,0.175,0.763,0.01566,0
CEN-004,40,Sand,10,0.1,1980,40,0.493,19.7,0.089,4.17,0.09,0.493,0.01001,0
CEN-004,40,Sand,10,0.1,2040,40,0.563,22.5,0.179,3.22,0.149,0.563,0.01164,0
CEN-004,40,Sand,10,0.1,2100,40,0.712,28.5,0.247,2.73,0.278,0.712,0.01529,0
CEN-004,40,Sand,10,0.1,2160,40,0.763,30.5,0.252,3.99,0.24,0.763,0.01599,0
CEN-004,40,Sand,10,0.1,2220,40,0.771,30.8,0.228,4.32,0.25,0.771,0.0162,0
CEN-004,40,Sand,10,0.1,2280,40,0.887,35.5,0.139,5.08,0.158,0.887,0.01802,0
CEN-004,40,Sand,10,0.1,2340,40,0.853,34.1,0.272,0.2,0.272,0.853,0.01792,0
CEN-004,40,Sand,10,0.1,2400,40,0.921,36.8,0.233,1.08,0.268,0.921,0.01919,0
CEN-004,40,Sand,10,0.1,2460,40,0.633,25.3,0.16,2.58,0.168,0.633,0.01309,0
CEN-004,40,Sand,10,0.1,2520,40,1.197,47.9,0.202,2.45,0.222,1.197,0.02436,0
CEN-004,40,Sand,10,0.1,2580,40,1.058,42.3,0.3,2.43,0.335,1.058,0.02219,0
CEN-004,40,Sand,10,0.1,2640,40,1.165,46.6,0.309,5.68,0.325,1.165,0.0242,0
CEN-004,40,Sand,10,0.1,2700,40,1.009,40.4,0.167,4.67,0.194,1.009,0.02055,0
CEN-004,40,Sand,10,0.1,2760,40,0.806,32.3,0.271,1.71,0.269,0.806,0.017,0
CEN-004,40,Sand,10,0.1,2820,40,1.167,46.7,0.276,1.48,0.24,1.167,0.02384,0
CEN-004,40,Sand,10,0.1,2880,40,1.078,43.1,0.195,0.04,0.181,1.078,0.02187,0
CEN-004,40,Sand,10,0.1,2940,40,1.395,55.8,0.333,4.98,0.289,1.395,0.0285,0
CEN-005,40,Sand,10,0.5,0,40,0.0,0.0,0.0,0.0,-0.013,0.0,0.00157,0
CEN-005,40,Sand,10,0.5,60,40,0.074,3.0,0.012,0.0,0.011,0.074,0.0015,0
CEN-005,40,Sand,10,0.5,120,40,0.0,0.0,0.0,7.23,-0.005,0.0,0.00047,0
CEN-005,40,Sand,10,0.5,180,40,0.0,0.0,0.0,0.95,-0.006,0.0,0.00067,0
CEN-005,40,Sand,10,0.5,240,40,0.092,3.7,0.017,0.0,0.019,0.092,0.00189,0
CEN-005,40,Sand,10,0.5,300,40,0.26,10.4,0.061,0.56,0.064,0.26,0.00535,0
CEN-005,40,Sand,10,0.5,360,40,0.172,6.9,0.041,0.81,0.042,0.172,0.00354,0
CEN-005,40,Sand,10,0.5,420,40,0.258,10.3,0.075,1.95,0.082,0.258,0.00542,0
CEN-005,40,Sand,10,0.5,480,40,0.337,13.5,0.073,0.0,0.077,0.337,0.00691,0
CEN-005,40,Sand,10,0.5,540,40,0.29,11.6,0.049,1.07,0.05,0.29,0.00589,0
CEN-005,40,Sand,10,0.5,600,40,0.26,10.4,0.071,0.22,0.063,0.26,0.00534,0
CEN-005,40,Sand,10,0.5,660,40,0.638,25.5,0.207,2.09,0.183,0.638,0.01327,0
CEN-005,40,Sand,10,0.5,720,40,0.731,29.2,0.118,3.57,0.106,0.731,0.01477,0
CEN-005,40,Sand,10,0.5,780,40,0.786,31.5,0.26,0.61,0.239,0.786,0.01644,0
CEN-005,40,Sand,10,0.5,840,40,0.77,30.8,0.139,1.09,0.122,0.77,0.01559,0
CEN-005,40,Sand,10,0.5,900,40,1.14,45.6,0.205,1.05,0.174,1.14,0.02306,0
CEN-005,40,Sand,10,0.5,960,40,1.094,43.8,0.165,5.11,0.181,1.094,0.02217,0
CEN-005,40,Sand,10,0.5,1020,40,1.156,46.2,0.377,1.9,0.35,1.156,0.02415,0
CEN-005,40,Sand,10,0.5,1080,40,1.175,47.0,0.305,0.0,0.326,1.175,0.0244,0
CEN-005,40,Sand,10,0.5,1140,40,1.363,54.5,0.215,4.69,0.178,1.363,0.02749,0
CEN-005,40,Sand,10,0.5,1200,40,1.693,67.7,0.56,2.31,0.484,1.693,0.03522,0
CEN-005,40,Sand,10,0.5,1260,40,1.644,65.8,0.379,0.0,0.354,1.644,0.03364,0
CEN-005,40,Sand,10,0.5,1320,40,1.59,63.6,0.483,1.04,0.479,1.59,0.03321,0
CEN-005,40,Sand,10,0.5,1380,40,2.167,86.7,0.508,0.0,0.57,2.167,0.04482,0
CEN-005,40,Sand,10,0.5,1440,40,2.157,86.3,0.667,5.2,0.798,2.157,0.04599,0
CEN-005,40,Sand,10,0.5,1500,40,2.347,93.9,0.785,2.73,0.796,2.347,0.04956,0
CEN-005,40,Sand,10,0.5,1560,40,2.895,115.8,0.704,5.76,0.843,2.895,0.06031,1
CEN-005,40,Sand,10,0.5,1620,40,2.467,98.7,0.392,0.9,0.445,2.467,0.05013,1
CEN-005,40,Sand,10,0.5,1680,40,2.484,99.4,0.581,0.0,0.663,2.484,0.05143,1
CEN-005,40,Sand,10,0.5,1740,40,3.254,130.2,0.813,0.0,0.933,3.254,0.06771,1
CEN-005,40,Sand,10,0.5,1800,40,3.091,123.6,0.928,1.04,1.018,3.091,0.06508,1
CEN-005,40,Sand,10,0.5,1860,40,2.956,118.2,1.027,0.0,1.053,2.956,0.06276,1
CEN-005,40,Sand,10,0.5,1920,40,3.391,135.6,1.055,0.0,1.019,3.391,0.07081,1
CEN-005,40,Sand,10,0.5,1980,40,3.695,147.8,0.926,0.0,0.784,3.695,0.07554,1
CEN-005,40,Sand,10,0.5,2040,40,3.185,127.4,0.796,0.75,0.758,3.185,0.06549,1
CEN-005,40,Sand,10,0.5,2100,40,3.871,154.9,1.346,4.93,1.401,3.871,0.08234,1
CEN-005,40,Sand,10,0.5,2160,40,4.029,161.2,0.864,1.62,0.979,4.029,0.08293,1
CEN-005,40,Sand,10,0.5,2220,40,4.477,179.1,1.183,3.71,1.335,4.477,0.09342,1
CEN-005,40,Sand,10,0.5,2280,40,4.17,166.8,0.961,4.48,0.824,4.17,0.08502,1
CEN-005,40,Sand,10,0.5,2340,40,4.079,163.2,0.84,4.27,0.715,4.079,0.08283,1
CEN-005,40,Sand,10,0.5,2400,40,4.398,175.9,1.36,5.56,1.503,4.398,0.09296,1
CEN-005,40,Sand,10,0.5,2460,40,3.984,159.4,1.163,2.02,1.313,3.984,0.08389,1
CEN-005,40,Sand,10,0.5,2520,40,4.128,165.1,1.117,6.21,1.252,4.128,0.08627,1
CEN-005,40,Sand,10,0.5,2580,40,4.971,198.8,0.977,3.68,1.059,4.971,0.10164,1
CEN-005,40,Sand,10,0.5,2640,40,5.001,200.1,0.939,3.63,1.059,5.001,0.10225,1
CEN-005,40,Sand,10,0.5,2700,40,5.886,235.4,1.992,2.87,2.001,5.886,0.12433,1
CEN-005,40,Sand,10,0.5,2760,40,5.782,231.3,1.801,5.17,1.489,5.782,0.1194,1
CEN-005,40,Sand,10,0.5,2820,40,5.028,201.1,1.1,2.39,1.085,5.028,0.10288,1
CEN-005,40,Sand,10,0.5,2880,40,4.709,188.3,1.379,4.28,1.203,4.709,0.09719,1
CEN-005,40,Sand,10,0.5,2940,40,5.69,227.6,1.345,0.88,1.165,5.69,0.11615,1
CEN-006,40,Sand,10,1.0,0,40,0.0,0.0,0.0,0.0,-0.005,0.0,0.00048,0
CEN-006,40,Sand,10,1.0,60,40,0.059,2.3,0.017,0.0,0.02,0.059,0.00124,0
CEN-006,40,Sand,10,1.0,120,40,0.07,2.8,0.012,0.0,0.01,0.07,0.00141,0
CEN-006,40,Sand,10,1.0,180,40,0.066,2.6,0.01,2.26,0.01,0.066,0.00133,0
