Borehole_ID,Depth_m,P_Wave_Velocity_m_s,S_Wave_Velocity_m_s,Vp_Vs_Ratio,Extensometer_Displacement_mm,Earth_Pressure_kPa,Formation,Loading_Stage
BH-01,15.0,864.3,424.5,2.036,3.916,280.33,Mudstone_Clay,Pre-load
BH-01,15.5,903.3,452.2,1.998,4.701,287.62,Mudstone_Clay,During_Load
BH-01,16.0,902.8,447.1,2.019,4.19,290.83,Mudstone_Clay,During_Load
BH-01,16.5,917.4,452.0,2.03,3.94,297.48,Mudstone_Clay,Post_Load
BH-01,17.0,940.4,469.9,2.001,4.627,309.76,Mudstone_Clay,During_Load
BH-01,17.5,940.3,470.1,2.0,4.128,308.71,Mudstone_Clay,During_Load
BH-01,18.0,961.6,487.0,1.975,4.453,319.79,Mudstone_Clay,During_Load
BH-01,18.5,995.8,510.2,1.952,4.461,322.79,Mudstone_Clay,During_Load
BH-01,19.0,989.0,527.0,1.877,4.652,328.53,Mudstone_Clay,Post_Load
BH-01,19.5,1001.0,537.1,1.864,4.61,334.04,Mudstone_Clay,Post_Load
BH-01,20.0,1061.0,539.1,1.968,4.532,342.6,Mudstone_Clay,Post_Load
BH-01,20.5,1050.2,564.3,1.861,4.426,355.54,Mudstone_Clay,During_Load
BH-01,21.0,1096.4,552.3,1.985,4.747,362.84,Mudstone_Clay,Pre-load
BH-01,21.5,1085.2,560.3,1.937,4.498,373.27,Mudstone_Clay,During_Load
BH-01,22.0,1111.3,551.7,2.014,4.919,387.18,Mudstone_Clay,During_Load
BH-01,22.5,1153.7,568.3,2.03,4.491,391.22,Mudstone_Clay,Pre-load
BH-01,23.0,1139.3,580.7,1.962,4.095,392.52,Mudstone_Clay,Pre-load
BH-01,23.5,1206.6,594.4,2.03,4.839,410.15,Mudstone_Clay,Pre-load
BH-01,24.0,1200.0,612.7,1.959,4.36,417.58,Mudstone_Clay,During_Load
BH-01,24.5,1235.8,624.2,1.98,4.365,431.36,Mudstone_Clay,Pre-load
BH-01,25.0,1238.7,622.5,1.99,4.619,443.78,Mudstone_Clay,During_Load
BH-01,25.5,1258.7,630.8,1.996,4.607,444.57,Mudstone_Clay,During_Load
BH-01,26.0,1233.2,651.3,1.893,4.07,459.61,Mudstone_Clay,During_Load
BH-01,26.5,1288.3,654.2,1.969,4.083,452.05,Mudstone_Clay,Pre-load
BH-01,27.0,1295.5,638.0,2.031,4.196,467.63,Mudstone_Clay,Post_Load
BH-01,27.5,1317.5,665.5,1.98,4.697,476.39,Mudstone_Clay,During_Load
BH-01,28.0,1324.4,675.6,1.96,4.38,493.82,Mudstone_Clay,Post_Load
BH-01,28.5,1333.6,692.0,1.927,3.81,497.41,Mudstone_Clay,During_Load
BH-01,29.0,1424.0,711.9,2.0,3.676,507.47,Mudstone_Clay,Post_Load
BH-01,29.5,1369.1,718.1,1.907,3.706,518.56,Mudstone_Clay,During_Load
BH-01,30.0,1395.4,704.8,1.98,4.069,551.77,Mudstone_Clay,Pre-load
BH-02,0.0,408.4,210.2,1.943,0.052,0.82,Mudstone_Clay,Post_Load
BH-02,0.5,458.6,195.4,2.347,0.483,4.49,Mudstone_Clay,Pre-load
BH-02,1.0,414.3,226.9,1.826,0.699,27.05,Mudstone_Clay,Pre-load
BH-02,1.5,438.3,211.9,2.068,0.909,26.08,Mudstone_Clay,During_Load
BH-02,2.0,441.6,243.2,1.816,1.223,34.04,Mudstone_Clay,During_Load
BH-02,2.5,507.9,270.1,1.881,1.069,37.06,Mudstone_Clay,During_Load
BH-02,3.0,526.7,266.7,1.975,1.808,49.5,Mudstone_Clay,During_Load
BH-02,3.5,529.1,274.1,1.93,1.753,65.99,Mudstone_Clay,During_Load
BH-02,4.0,533.3,262.5,2.031,2.422,71.17,Mudstone_Clay,During_Load
BH-02,4.5,574.7,278.2,2.066,2.527,77.62,Mudstone_Clay,During_Load
BH-02,5.0,574.1,280.8,2.044,3.334,99.35,Mudstone_Clay,During_Load
BH-02,5.5,598.1,320.1,1.868,3.036,106.21,Mudstone_Clay,Post_Load
BH-02,6.0,568.3,305.8,1.859,3.04,121.12,Mudstone_Clay,Pre-load
BH-02,6.5,611.5,316.2,1.934,3.659,121.36,Mudstone_Clay,Post_Load
BH-02,7.0,639.5,337.3,1.896,3.602,133.52,Mudstone_Clay,Pre-load
BH-02,7.5,650.4,337.5,1.927,3.968,140.44,Mudstone_Clay,During_Load
BH-02,8.0,658.4,335.7,1.961,3.378,145.09,Mudstone_Clay,Pre-load
BH-02,8.5,685.4,326.5,2.099,4.159,168.29,Mudstone_Clay,Post_Load
BH-02,9.0,710.8,387.3,1.835,4.098,178.85,Mudstone_Clay,Pre-load
BH-02,9.5,741.6,388.5,1.909,4.347,184.51,Mudstone_Clay,Post_Load
BH-02,10.0,727.1,380.7,1.91,4.568,197.37,Mudstone_Clay,Post_Load
BH-02,10.5,758.6,383.2,1.98,4.437,201.1,Mudstone_Clay,Post_Load
BH-02,11.0,795.8,415.3,1.916,4.678,209.26,Mudstone_Clay,During_Load
BH-02,11.5,781.8,411.8,1.899,5.073,215.4,Mudstone_Clay,During_Load
BH-02,12.0,807.4,403.9,1.999,4.383,221.7,Mudstone_Clay,During_Load
BH-02,12.5,837.8,435.8,1.922,4.411,241.24,Mudstone_Clay,Post_Load
BH-02,13.0,877.2,441.2,1.988,5.029,236.52,Mudstone_Clay,During_Load
BH-02,13.5,875.9,449.6,1.948,4.459,245.76,Mudstone_Clay,Pre-load
BH-02,14.0,869.7,460.4,1.889,4.409,261.42,Mudstone_Clay,During_Load
BH-02,14.5,918.5,468.5,1.961,4.707,269.21,Mudstone_Clay,Pre-load
BH-02,15.0,906.0,487.2,1.86,4.822,273.82,Mudstone_Clay,During_Load
BH-02,15.5,949.5,460.2,2.063,5.027,280.57,Mudstone_Clay,During_Load
BH-02,16.0,973.4,484.5,2.009,4.892,292.75,Mudstone_Clay,During_Load
BH-02,16.5,992.6,504.3,1.968,4.757,295.87,Mudstone_Clay,Pre-load
BH-02,17.0,1019.3,498.8,2.043,4.543,307.79,Mudstone_Clay,During_Load
BH-02,17.5,1024.9,530.9,1.93,5.223,317.48,Mudstone_Clay,During_Load
BH-02,18.0,1049.3,528.0,1.988,5.613,328.22,Mudstone_Clay,Post_Load
BH-02,18.5,1040.5,551.8,1.886,4.89,334.51,Mudstone_Clay,During_Load
BH-02,19.0,1079.1,543.9,1.984,5.082,337.07,Mudstone_Clay,During_Load
BH-02,19.5,1095.0,561.6,1.95,4.971,342.34,Mudstone_Clay,During_Load
BH-02,20.0,1123.8,574.1,1.958,5.318,348.43,Mudstone_Clay,Pre-load
BH-02,20.5,1156.8,569.0,2.033,5.452,363.53,Mudstone_Clay,During_Load
BH-02,21.0,1143.1,565.7,2.021,4.782,366.38,Mudstone_Clay,Post_Load
BH-02,21.5,1192.2,580.6,2.053,5.036,374.03,Mudstone_Clay,Pre-load
BH-02,22.0,1180.5,612.0,1.929,5.38,382.77,Mudstone_Clay,Post_Load
BH-02,22.5,1188.4,611.7,1.943,4.354,386.9,Mudstone_Clay,Pre-load
BH-02,23.0,1171.9,620.5,1.889,5.143,400.5,Mudstone_Clay,During_Load
BH-02,23.5,1213.2,621.2,1.953,5.058,402.91,Mudstone_Clay,Pre-load
BH-02,24.0,1258.6,635.1,1.982,5.16,417.87,Mudstone_Clay,During_Load
BH-02,24.5,1270.1,631.3,2.012,5.307,419.64,Mudstone_Clay,Post_Load
BH-02,25.0,1280.8,650.9,1.968,5.372,431.36,Mudstone_Clay,Pre-load
BH-02,25.5,1282.2,656.6,1.953,4.926,437.63,Mudstone_Clay,Pre-load
BH-02,26.0,1296.8,659.5,1.966,4.441,449.86,Mudstone_Clay,Pre-load
BH-02,26.5,1322.4,674.1,1.962,4.912,463.32,Mudstone_Clay,During_Load
BH-02,27.0,1332.7,698.6,1.908,4.595,467.27,Mudstone_Clay,Pre-load
BH-02,27.5,1347.1,679.4,1.983,4.73,482.38,Mudstone_Clay,During_Load
BH-02,28.0,1372.4,708.0,1.938,5.098,490.22,Mudstone_Clay,Pre-load
BH-02,28.5,1396.9,702.8,1.988,4.97,494.06,Mudstone_Clay,Post_Load
BH-02,29.0,1419.7,709.2,2.002,4.412,514.17,Mudstone_Clay,During_Load
BH-02,29.5,1430.6,709.7,2.016,4.7,521.21,Mudstone_Clay,During_Load
BH-02,30.0,1426.3,712.1,2.003,4.848,545.05,Mudstone_Clay,During_Load
BH-03,0.0,459.6,229.4,2.003,0.118,0.0,Mudstone_Clay,Post_Load
BH-03,0.5,443.8,228.0,1.946,0.901,8.75,Mudstone_Clay,During_Load
BH-03,1.0,509.9,242.3,2.105,1.046,16.5,Mudstone_Clay,During_Load
BH-03,1.5,492.0,228.4,2.154,0.966,29.35,Mudstone_Clay,Pre-load
BH-03,2.0,558.1,280.5,1.99,2.113,36.21,Mudstone_Clay,During_Load
BH-03,2.5,495.6,280.4,1.768,1.497,48.47,Mudstone_Clay,During_Load
BH-03,3.0,543.2,269.0,2.02,1.883,53.29,Mudstone_Clay,Post_Load
BH-03,3.5,580.1,285.7,2.03,2.371,67.79,Mudstone_Clay,Pre-load
BH-03,4.0,614.4,290.8,2.112,2.405,74.05,Mudstone_Clay,During_Load
BH-03,4.5,615.5,311.6,1.975,3.031,79.98,Mudstone_Clay,During_Load
BH-03,5.0,633.2,311.3,2.034,2.864,90.13,Mudstone_Clay,Pre-load
BH-03,5.5,648.4,328.5,1.974,3.748,107.71,Mudstone_Clay,Pre-load
BH-03,6.0,618.3,326.0,1.897,3.547,109.42,Mudstone_Clay,Post_Load
BH-03,6.5,664.4,333.2,1.994,3.736,128.1,Mudstone_Clay,During_Load
BH-03,7.0,682.9,356.5,1.916,3.122,130.8,Mudstone_Clay,During_Load
BH-03,7.5,735.9,355.6,2.069,3.944,137.35,Mudstone_Clay,During_Load
BH-03,8.0,745.4,371.6,2.006,4.443,172.08,Mudstone_Clay,Pre-load
BH-03,8.5,748.6,371.9,2.013,4.806,160.82,Mudstone_Clay,Pre-load
BH-03,9.0,764.1,381.9,2.001,4.42,172.94,Mudstone_Clay,During_Load
BH-03,9.5,766.2,389.4,1.967,5.093,178.13,Mudstone_Clay,During_Load
BH-03,10.0,789.3,409.3,1.928,4.633,193.53,Mudstone_Clay,During_Load
BH-03,10.5,832.4,415.4,2.004,4.777,197.95,Mudstone_Clay,Pre-load
BH-03,11.0,837.0,438.6,1.908,4.862,211.43,Mudstone_Clay,During_Load
BH-03,11.5,862.6,434.4,1.986,5.385,209.18,Mudstone_Clay,During_Load
BH-03,12.0,887.4,435.5,2.037,5.002,229.91,Mudstone_Clay,During_Load
BH-03,12.5,907.3,462.5,1.962,5.026,227.25,Mudstone_Clay,Pre-load
BH-03,13.0,872.2,454.3,1.92,5.728,239.68,Mudstone_Clay,Post_Load
BH-03,13.5,913.1,454.1,2.011,5.17,251.73,Mudstone_Clay,Post_Load
BH-03,14.0,941.7,441.1,2.135,5.506,250.18,Mudstone_Clay,During_Load
BH-03,14.5,974.0,495.8,1.965,5.878,267.13,Mudstone_Clay,Post_Load
BH-03,15.0,956.0,516.0,1.853,5.948,272.97,Mudstone_Clay,Post_Load
BH-03,15.5,987.1,511.1,1.931,5.381,286.51,Mudstone_Clay,Pre-load
BH-03,16.0,999.4,500.3,1.998,6.118,288.23,Mudstone_Clay,Pre-load
BH-03,16.5,1032.1,542.6,1.902,5.766,287.84,Mudstone_Clay,During_Load
BH-03,17.0,1017.6,554.8,1.834,6.086,305.11,Mudstone_Clay,During_Load
BH-03,17.5,1079.5,555.0,1.945,6.409,316.08,Mudstone_Clay,Post_Load
BH-03,18.0,1046.9,537.5,1.948,5.818,319.91,Mudstone_Clay,During_Load
BH-03,18.5,1076.9,556.8,1.934,5.913,323.46,Mudstone_Clay,Post_Load
BH-03,19.0,1116.4,564.5,1.978,5.593,334.66,Mudstone_Clay,Pre-load
BH-03,19.5,1097.6,583.0,1.883,5.864,343.98,Mudstone_Clay,During_Load
BH-03,20.0,1141.7,607.7,1.879,6.053,342.56,Mudstone_Clay,During_Load
BH-03,20.5,1130.2,606.3,1.864,6.013,358.99,Mudstone_Clay,During_Load
BH-03,21.0,1159.3,586.2,1.977,5.704,369.7,Mudstone_Clay,During_Load
BH-03,21.5,1201.1,601.8,1.996,6.24,372.0,Mudstone_Clay,During_Load
BH-03,22.0,1244.0,615.4,2.021,5.735,386.04,Mudstone_Clay,During_Load
BH-03,22.5,1245.7,627.8,1.984,5.945,398.17,Mudstone_Clay,Pre-load
BH-03,23.0,1205.2,631.1,1.91,5.962,391.76,Mudstone_Clay,Post_Load
BH-03,23.5,1307.0,654.0,1.998,5.765,401.63,Mudstone_Clay,Pre-load
BH-03,24.0,1302.2,658.9,1.976,5.607,414.99,Mudstone_Clay,During_Load
BH-03,24.5,1263.8,679.7,1.859,5.879,424.93,Mudstone_Clay,During_Load
BH-03,25.0,1297.6,666.5,1.947,5.644,428.04,Mudstone_Clay,During_Load
BH-03,25.5,1365.6,699.4,1.952,5.651,437.97,Mudstone_Clay,Pre-load
BH-03,26.0,1366.3,689.0,1.983,5.641,448.37,Mudstone_Clay,Pre-load
BH-03,26.5,1380.6,714.2,1.933,5.639,453.04,Mudstone_Clay,Post_Load
BH-03,27.0,1399.5,719.3,1.946,5.219,479.59,Mudstone_Clay,Post_Load
BH-03,27.5,1452.3,724.2,2.005,6.05,478.96,Mudstone_Clay,Post_Load
BH-03,28.0,1434.7,726.0,1.976,5.884,492.82,Mudstone_Clay,During_Load
BH-03,28.5,1462.1,735.4,1.988,5.68,500.62,Mudstone_Clay,During_Load
BH-03,29.0,1426.0,748.7,1.905,4.897,517.88,Mudstone_Clay,Pre-load
BH-03,29.5,1512.7,747.7,2.023,5.792,519.48,Mudstone_Clay,Post_Load
BH-03,30.0,1497.4,772.0,1.94,5.143,541.13,Mudstone_Clay,Post_Load
BH-04,0.0,501.5,246.0,2.039,0.385,5.44,Mudstone_Clay,Pre-load
BH-04,0.5,491.6,265.9,1.849,0.574,0.0,Mudstone_Clay,During_Load
BH-04,1.0,528.4,263.9,2.002,1.305,15.95,Mudstone_Clay,Post_Load
BH-04,1.5,548.6,267.9,2.048,1.567,35.9,Mudstone_Clay,Pre-load
BH-04,2.0,562.5,279.9,2.01,1.451,36.47,Mudstone_Clay,Pre-load
BH-04,2.5,549.3,310.8,1.767,2.007,44.4,Mudstone_Clay,Pre-load
BH-04,3.0,591.5,316.1,1.871,2.353,53.46,Mudstone_Clay,During_Load
BH-04,3.5,623.3,318.3,1.958,2.93,60.46,Mudstone_Clay,During_Load
BH-04,4.0,635.2,331.4,1.917,2.758,75.55,Mudstone_Clay,During_Load
BH-04,4.5,666.1,336.6,1.979,3.022,81.31,Mudstone_Clay,Post_Load
BH-04,5.0,635.3,332.7,1.91,3.708,90.69,Mudstone_Clay,Pre-load
BH-04,5.5,634.4,344.5,1.841,3.448,96.11,Mudstone_Clay,During_Load
BH-04,6.0,715.0,343.8,2.08,4.183,117.54,Mudstone_Clay,Pre-load
BH-04,6.5,718.3,358.7,2.003,3.88,114.89,Mudstone_Clay,During_Load
BH-04,7.0,776.4,365.7,2.123,4.597,127.61,Mudstone_Clay,During_Load
BH-04,7.5,742.5,376.0,1.975,4.199,140.4,Mudstone_Clay,During_Load
BH-04,8.0,790.3,405.7,1.948,4.714,158.36,Mudstone_Clay,Pre-load
BH-04,8.5,781.9,419.0,1.866,4.642,166.38,Mudstone_Clay,Pre-load
BH-04,9.0,827.1,425.4,1.944,5.481,172.41,Mudstone_Clay,During_Load
BH-04,9.5,878.1,413.6,2.123,4.857,171.17,Mudstone_Clay,During_Load
BH-04,10.0,872.9,432.5,2.018,5.737,192.45,Mudstone_Clay,During_Load
BH-04,10.5,848.5,430.9,1.969,5.358,202.93,Mudstone_Clay,Post_Load
BH-04,11.0,875.9,458.7,1.909,5.982,216.15,Mudstone_Clay,During_Load
BH-04,11.5,917.2,478.4,1.917,5.327,213.87,Mudstone_Clay,Post_Load
BH-04,12.0,934.6,453.6,2.061,6.113,218.56,Mudstone_Clay,Post_Load
BH-04,12.5,943.2,463.1,2.036,5.768,239.89,Mudstone_Clay,During_Load
BH-04,13.0,950.8,490.4,1.939,6.013,241.9,Mudstone_Clay,Pre-load
BH-04,13.5,951.1,515.9,1.843,5.802,251.19,Mudstone_Clay,During_Load
BH-04,14.0,994.4,502.9,1.977,6.744,268.09,Mudstone_Clay,During_Load
BH-04,14.5,974.1,523.7,1.86,6.269,270.16,Mudstone_Clay,Pre-load
BH-04,15.0,1005.0,532.4,1.888,6.947,275.37,Mudstone_Clay,Post_Load
BH-04,15.5,1055.3,541.7,1.948,6.537,282.63,Mudstone_Clay,During_Load
BH-04,16.0,1073.1,524.3,2.046,6.834,298.2,Mudstone_Clay,Pre-load
BH-04,16.5,1059.4,561.1,1.888,6.707,306.79,Mudstone_Clay,During_Load
BH-04,17.0,1079.8,559.4,1.93,7.0,301.3,Mudstone_Clay,Post_Load
BH-04,17.5,1094.2,581.3,1.882,6.917,312.7,Mudstone_Clay,Post_Load
BH-04,18.0,1142.2,607.2,1.881,6.616,315.24,Mudstone_Clay,During_Load
BH-04,18.5,1116.3,601.0,1.857,6.503,325.79,Mudstone_Clay,During_Load
BH-04,19.0,1164.4,595.3,1.956,6.934,334.73,Mudstone_Clay,Post_Load
BH-04,19.5,1208.0,605.1,1.997,6.258,336.35,Mudstone_Clay,During_Load
BH-04,20.0,1224.1,623.7,1.963,6.384,347.24,Mudstone_Clay,During_Load
BH-04,20.5,1221.8,606.7,2.014,6.95,362.13,Mudstone_Clay,Post_Load
BH-04,21.0,1235.0,641.0,1.927,6.837,371.71,Mudstone_Clay,Pre-load
BH-04,21.5,1294.2,624.8,2.071,6.496,374.4,Mudstone_Clay,Pre-load
BH-04,22.0,1321.1,638.3,2.07,6.335,380.7,Mudstone_Clay,Pre-load
BH-04,22.5,1291.4,644.2,2.005,6.11,389.67,Mudstone_Clay,During_Load
BH-04,23.0,1344.4,663.8,2.025,6.303,391.28,Mudstone_Clay,During_Load
BH-04,23.5,1354.3,679.9,1.992,6.951,398.46,Mudstone_Clay,During_Load
BH-04,24.0,1352.0,671.0,2.015,5.898,417.91,Mudstone_Clay,Post_Load
BH-04,24.5,1337.0,705.8,1.894,6.188,430.94,Mudstone_Clay,Post_Load
BH-04,25.0,1329.9,685.9,1.939,6.512,427.06,Mudstone_Clay,Post_Load
BH-04,25.5,1380.6,707.0,1.953,6.437,430.72,Mudstone_Clay,Pre-load
BH-04,26.0,1368.7,709.8,1.928,6.099,449.82,Mudstone_Clay,Post_Load
BH-04,26.5,1391.6,710.7,1.958,6.127,470.69,Mudstone_Clay,During_Load
BH-04,27.0,1448.5,742.1,1.952,7.033,468.36,Mudstone_Clay,During_Load
BH-04,27.5,1428.8,732.7,1.95,6.174,476.65,Mudstone_Clay,Pre-load
BH-04,28.0,1463.2,762.1,1.92,6.238,488.71,Mudstone_Clay,During_Load
BH-04,28.5,1501.8,775.3,1.937,6.501,500.17,Mudstone_Clay,During_Load
BH-04,29.0,1517.5,762.5,1.99,6.061,518.1,Mudstone_Clay,During_Load
BH-04,29.5,1531.0,780.1,1.963,6.666,518.44,Mudstone_Clay,Pre-load
BH-04,30.0,1574.0,793.8,1.983,6.011,532.69,Mudstone_Clay,During_Load
BH-05,0.0,559.8,281.8,1.986,0.059,0.0,Mudstone_Clay,Pre-load
BH-05,0.5,578.7,274.2,2.11,0.457,6.66,Mudstone_Clay,During_Load
BH-05,1.0,598.6,294.5,2.033,0.884,28.56,Mudstone_Clay,Post_Load
BH-05,1.5,590.7,312.1,1.892,1.339,22.28,Mudstone_Clay,During_Load
BH-05,2.0,609.0,309.2,1.969,2.062,38.04,Mudstone_Clay,During_Load
BH-05,2.5,631.6,302.6,2.087,2.304,52.5,Mudstone_Clay,During_Load
BH-05,3.0,660.1,345.6,1.91,2.715,61.49,Mudstone_Clay,Post_Load
BH-05,3.5,642.1,359.0,1.789,2.954,68.45,Mudstone_Clay,During_Load
BH-05,4.0,701.5,331.7,2.115,2.888,76.66,Mudstone_Clay,Pre-load
BH-05,4.5,735.5,362.7,2.028,3.13,85.53,Mudstone_Clay,During_Load
BH-05,5.0,722.8,355.3,2.034,3.778,92.49,Mudstone_Clay,During_Load
BH-05,5.5,731.7,372.4,1.965,4.264,91.77,Mudstone_Clay,During_Load
BH-05,6.0,781.8,378.5,2.066,4.451,108.11,Mudstone_Clay,Pre-load
BH-05,6.5,780.0,383.2,2.036,5.0,124.53,Mudstone_Clay,During_Load
BH-05,7.0,798.5,385.0,2.074,4.809,133.96,Mudstone_Clay,Post_Load
BH-05,7.5,802.7,419.9,1.912,4.663,143.5,Mudstone_Clay,During_Load
BH-05,8.0,849.6,393.7,2.158,5.709,159.38,Mudstone_Clay,During_Load
BH-05,8.5,794.7,424.1,1.874,5.59,164.45,Mudstone_Clay,Post_Load
BH-05,9.0,846.5,417.8,2.026,5.641,170.22,Mudstone_Clay,Pre-load
BH-05,9.5,894.9,458.5,1.952,5.487,193.79,Mudstone_Clay,Post_Load
BH-05,10.0,896.3,450.7,1.989,6.419,186.6,Mudstone_Clay,Post_Load
BH-05,10.5,927.6,459.8,2.017,6.063,201.76,Mudstone_Clay,During_Load
BH-05,11.0,941.5,472.3,1.993,6.497,205.04,Mudstone_Clay,During_Load
BH-05,11.5,941.4,501.2,1.878,6.831,217.9,Mudstone_Clay,Post_Load
BH-05,12.0,954.1,496.1,1.923,6.97,214.05,Mudstone_Clay,During_Load
BH-05,12.5,990.6,500.1,1.981,6.81,229.5,Mudstone_Clay,During_Load
BH-05,13.0,993.4,494.9,2.007,6.727,252.35,Mudstone_Clay,During_Load
BH-05,13.5,1045.4,497.2,2.102,6.52,251.56,Mudstone_Clay,During_Load
BH-05,14.0,1081.9,546.1,1.981,7.156,254.27,Mudstone_Clay,Pre-load
BH-05,14.5,1081.6,528.5,2.046,6.536,268.47,Mudstone_Clay,During_Load
BH-05,15.0,1102.5,548.8,2.009,7.292,281.48,Mudstone_Clay,During_Load
BH-05,15.5,1084.5,546.7,1.984,7.684,274.52,Mudstone_Clay,During_Load
BH-05,16.0,1073.2,562.6,1.908,7.381,290.14,Mudstone_Clay,Pre-load
BH-05,16.5,1109.7,571.3,1.943,7.487,307.69,Mudstone_Clay,During_Load
BH-05,17.0,1164.2,581.6,2.002,7.335,309.95,Mudstone_Clay,Post_Load
BH-05,17.5,1187.6,594.7,1.997,7.763,309.83,Mudstone_Clay,Post_Load
BH-05,18.0,1154.6,602.4,1.917,7.069,316.25,Mudstone_Clay,During_Load
BH-05,18.5,1208.0,586.0,2.061,6.869,336.17,Mudstone_Clay,During_Load
BH-05,19.0,1216.4,601.5,2.022,7.139,329.68,Mudstone_Clay,During_Load
BH-05,19.5,1259.2,640.2,1.967,7.323,346.72,Mudstone_Clay,During_Load
BH-05,20.0,1275.2,648.8,1.966,7.066,354.27,Mudstone_Clay,Post_Load
BH-05,20.5,1262.0,649.4,1.943,7.213,354.99,Mudstone_Clay,Post_Load
BH-05,21.0,1326.0,653.0,2.031,7.583,360.56,Mudstone_Clay,Post_Load
BH-05,21.5,1286.4,641.7,2.005,7.506,373.26,Mudstone_Clay,During_Load
BH-05,22.0,1333.9,679.8,1.962,7.027,378.85,Mudstone_Clay,During_Load
BH-05,22.5,1348.1,699.5,1.927,7.311,381.08,Mudstone_Clay,During_Load
BH-05,23.0,1393.0,677.6,2.056,7.032,400.5,Mudstone_Clay,During_Load
BH-05,23.5,1355.8,690.3,1.964,7.29,405.55,Mudstone_Clay,During_Load
BH-05,24.0,1398.4,710.2,1.969,7.127,415.72,Mudstone_Clay,Post_Load
BH-05,24.5,1377.3,702.1,1.962,7.19,419.15,Mudstone_Clay,Pre-load
BH-05,25.0,1408.8,711.6,1.98,7.24,433.02,Mudstone_Clay,During_Load
BH-05,25.5,1431.2,739.1,1.936,7.225,442.07,Mudstone_Clay,During_Load
BH-05,26.0,1460.1,718.0,2.034,7.134,462.08,Mudstone_Clay,Pre-load
BH-05,26.5,1497.3,744.6,2.011,7.005,462.63,Mudstone_Clay,During_Load
BH-05,27.0,1509.6,768.1,1.965,6.957,472.77,Mudstone_Clay,Post_Load
BH-05,27.5,1520.5,761.3,1.997,7.207,487.23,Mudstone_Clay,During_Load
BH-05,28.0,1528.7,779.9,1.96,6.927,491.37,Mudstone_Clay,During_Load
BH-05,28.5,1540.5,800.6,1.924,6.956,501.32,Mudstone_Clay,During_Load
BH-05,29.0,1577.1,786.8,2.004,7.548,515.4,Mudstone_Clay,During_Load
BH-05,29.5,1590.1,810.5,1.962,6.571,526.95,Mudstone_Clay,Post_Load
BH-05,30.0,1624.4,827.7,1.963,6.956,535.27,Mudstone_Clay,Post_Load
BH-06,0.0,595.6,288.9,2.062,0.022,0.94,Mudstone_Clay,During_Load
BH-06,0.5,599.2,299.0,2.004,0.494,10.66,Mudstone_Clay,Post_Load
