Simulation_ID,Soil_Type,Structure_Type,H_D_Ratio,Groundwater_Condition,Elastic_Modulus_kPa,Poissons_Ratio,Cohesion_kPa,Friction_Angle_deg,Unit_Weight_kN_m3,Max_Displacement_mm,Surface_Settlement_mm,Lateral_Displacement_mm,Heave_mm,Pore_Water_Pressure_kPa,Max_Plastic_Strain,Primary_Failure_Mode,All_Failure_Modes,Failure_Detected
FEM-0013,Sand,Tunnel,0.5,Fully_Saturated,45637.0,0.327,1.5,36.4,16.21,4.01,2.42,3.08,0.0,50.7,0.00264,No_Failure,No_Failure,0
FEM-0014,Sand,Tunnel,0.5,Fully_Saturated,15705.0,0.343,4.4,33.0,16.4,10.41,10.15,7.6,0.0,42.4,0.00765,No_Failure,No_Failure,0
FEM-0015,Sand,Tunnel,0.5,Fully_Saturated,43276.0,0.328,4.8,29.2,16.96,5.06,5.46,2.21,0.0,62.7,0.00563,No_Failure,No_Failure,0
FEM-0016,Sand,Tunnel,1.0,Dry,16239.0,0.31,1.1,41.6,18.76,13.15,14.32,10.16,0.0,0.9,0.00667,No_Failure,No_Failure,0
FEM-0017,Sand,Tunnel,1.0,Dry,48083.0,0.295,2.3,40.3,17.16,4.35,3.95,1.74,0.0,0.0,0.0033,No_Failure,No_Failure,0
FEM-0018,Sand,Tunnel,1.0,Dry,33234.0,0.303,2.2,30.4,16.47,5.46,3.13,1.46,0.0,0.0,0.00422,No_Failure,No_Failure,0
FEM-0019,Sand,Tunnel,1.0,Dry,24218.0,0.285,0.2,31.1,19.11,8.78,6.49,2.74,0.0,12.3,0.00763,No_Failure,No_Failure,0
FEM-0020,Sand,Tunnel,1.0,Dry,46451.0,0.309,3.4,35.8,16.5,4.33,4.7,1.34,0.0,5.0,0.00277,No_Failure,No_Failure,0
FEM-0021,Sand,Tunnel,1.0,Partially_Saturated,47669.0,0.262,3.3,36.9,18.79,5.4,4.34,2.32,0.0,49.7,0.00991,No_Failure,No_Failure,0
FEM-0022,Sand,Tunnel,1.0,Partially_Saturated,37706.0,0.264,0.9,35.6,18.01,7.41,5.83,3.38,0.0,51.4,0.00918,No_Failure,No_Failure,0
FEM-0023,Sand,Tunnel,1.0,Partially_Saturated,17230.0,0.285,1.1,30.4,16.59,13.94,8.34,4.13,0.0,45.7,0.02572,No_Failure,No_Failure,0
FEM-0024,Sand,Tunnel,1.0,Partially_Saturated,32427.0,0.3,1.1,40.1,19.31,9.05,4.74,5.79,0.0,59.1,0.01635,No_Failure,No_Failure,0
FEM-0025,Sand,Tunnel,1.0,Partially_Saturated,47692.0,0.268,4.7,29.0,19.64,5.58,5.81,4.18,0.0,61.7,0.00964,No_Failure,No_Failure,0
FEM-0026,Sand,Tunnel,1.0,Fully_Saturated,26491.0,0.284,1.8,36.2,16.73,13.41,10.78,3.23,0.0,107.3,0.01857,No_Failure,No_Failure,0
FEM-0027,Sand,Tunnel,1.0,Fully_Saturated,26079.0,0.276,1.6,29.0,17.03,12.44,12.39,3.82,0.0,98.3,0.01487,No_Failure,No_Failure,0
FEM-0028,Sand,Tunnel,1.0,Fully_Saturated,31517.0,0.269,2.8,37.7,17.94,11.28,12.71,8.97,0.0,110.0,0.01658,No_Failure,No_Failure,0
FEM-0029,Sand,Tunnel,1.0,Fully_Saturated,33508.0,0.337,4.8,42.0,19.04,12.31,10.33,4.65,0.0,121.6,0.00665,No_Failure,No_Failure,0
FEM-0030,Sand,Tunnel,1.0,Fully_Saturated,24368.0,0.285,3.9,36.6,17.7,16.18,18.5,8.46,0.0,110.7,0.02892,No_Failure,No_Failure,0
FEM-0031,Sand,Tunnel,1.5,Dry,43433.0,0.349,1.9,30.3,19.04,8.9,9.9,2.07,0.0,5.3,0.01357,No_Failure,No_Failure,0
FEM-0032,Sand,Tunnel,1.5,Dry,41436.0,0.304,1.9,39.4,18.22,7.46,6.42,4.78,0.0,1.8,0.00714,No_Failure,No_Failure,0
FEM-0033,Sand,Tunnel,1.5,Dry,15751.0,0.325,2.4,40.6,18.0,17.93,9.09,7.98,0.0,2.9,0.0188,No_Failure,No_Failure,0
FEM-0034,Sand,Tunnel,1.5,Dry,33278.0,0.258,2.3,37.3,17.49,6.7,5.2,4.71,0.0,11.9,0.00634,No_Failure,No_Failure,0
FEM-0035,Sand,Tunnel,1.5,Dry,31904.0,0.255,2.2,39.2,16.65,10.32,10.69,4.38,0.0,0.0,0.01261,No_Failure,No_Failure,0
FEM-0036,Sand,Tunnel,1.5,Partially_Saturated,48231.0,0.308,4.5,35.9,16.82,7.33,6.56,1.91,0.0,72.7,0.00373,No_Failure,No_Failure,0
FEM-0037,Sand,Tunnel,1.5,Partially_Saturated,18930.0,0.344,2.6,34.1,17.95,21.73,19.31,5.75,0.0,86.7,0.02914,No_Failure,No_Failure,0
FEM-0038,Sand,Tunnel,1.5,Partially_Saturated,45907.0,0.264,4.1,37.3,18.41,9.67,8.82,2.62,0.0,76.9,0.00575,No_Failure,No_Failure,0
FEM-0039,Sand,Tunnel,1.5,Partially_Saturated,22184.0,0.294,5.0,34.0,16.6,20.44,23.12,4.52,0.0,74.3,0.01306,No_Failure,No_Failure,0
FEM-0040,Sand,Tunnel,1.5,Partially_Saturated,35005.0,0.266,3.3,29.6,19.24,11.48,11.64,8.67,0.0,87.1,0.01795,No_Failure,No_Failure,0
FEM-0041,Sand,Tunnel,1.5,Fully_Saturated,46593.0,0.298,4.8,29.7,17.73,11.42,7.73,3.35,0.0,164.4,0.01399,Piping,Piping,1
FEM-0042,Sand,Tunnel,1.5,Fully_Saturated,21354.0,0.253,4.6,32.4,16.51,21.93,13.21,7.72,0.0,144.8,0.01839,No_Failure,No_Failure,0
FEM-0043,Sand,Tunnel,1.5,Fully_Saturated,30073.0,0.327,0.1,30.7,18.85,18.41,11.13,11.87,0.0,174.8,0.00949,Piping,Piping,1
FEM-0044,Sand,Tunnel,1.5,Fully_Saturated,42452.0,0.307,2.3,30.0,16.94,12.98,13.63,3.76,0.0,145.2,0.01601,No_Failure,No_Failure,0
FEM-0045,Sand,Tunnel,1.5,Fully_Saturated,23916.0,0.285,4.0,28.5,19.7,27.05,19.57,15.08,0.0,174.2,0.03217,Piping,Piping,1
FEM-0046,Sand,Tunnel,2.0,Dry,39106.0,0.337,4.3,32.7,16.35,8.81,10.11,1.92,0.0,0.0,0.01321,No_Failure,No_Failure,0
FEM-0047,Sand,Tunnel,2.0,Dry,27347.0,0.311,4.2,39.1,19.54,16.51,10.09,5.53,0.0,8.0,0.01091,No_Failure,No_Failure,0
FEM-0048,Sand,Tunnel,2.0,Dry,21147.0,0.342,0.1,33.6,16.84,20.31,21.16,14.59,0.0,2.6,0.03584,No_Failure,No_Failure,0
FEM-0049,Sand,Tunnel,2.0,Dry,35948.0,0.31,2.1,37.1,19.84,11.28,8.0,3.61,0.0,0.0,0.00772,No_Failure,No_Failure,0
FEM-0050,Sand,Tunnel,2.0,Dry,27844.0,0.296,2.5,29.7,17.61,13.02,12.21,6.51,0.0,8.4,0.00714,No_Failure,No_Failure,0
FEM-0051,Sand,Tunnel,2.0,Partially_Saturated,24347.0,0.259,2.1,41.0,17.65,21.5,20.3,9.29,0.0,110.5,0.0152,No_Failure,No_Failure,0
FEM-0052,Sand,Tunnel,2.0,Partially_Saturated,37862.0,0.289,4.3,30.2,19.59,17.55,15.06,6.2,0.0,111.7,0.02,No_Failure,No_Failure,0
FEM-0053,Sand,Tunnel,2.0,Partially_Saturated,47675.0,0.336,2.4,35.6,17.63,10.84,12.59,8.6,0.0,106.5,0.02088,No_Failure,No_Failure,0
FEM-0054,Sand,Tunnel,2.0,Partially_Saturated,31571.0,0.291,4.3,41.2,17.61,17.28,14.6,6.92,0.0,108.1,0.01954,No_Failure,No_Failure,0
FEM-0055,Sand,Tunnel,2.0,Partially_Saturated,17928.0,0.282,0.4,41.7,17.06,28.23,28.85,12.85,0.0,96.7,0.0181,No_Failure,No_Failure,0
FEM-0056,Sand,Tunnel,2.0,Fully_Saturated,43299.0,0.322,0.5,38.2,18.39,19.88,12.33,13.82,0.0,221.0,0.01527,Piping,Piping,1
FEM-0057,Sand,Tunnel,2.0,Fully_Saturated,33906.0,0.266,0.9,31.4,18.62,28.27,27.59,6.89,0.0,222.0,0.05252,Piping,Piping;Structural_Buckling,1
FEM-0058,Sand,Tunnel,2.0,Fully_Saturated,42253.0,0.322,1.2,41.8,19.7,20.32,17.13,4.49,0.0,230.3,0.02823,Piping,Piping,1
FEM-0059,Sand,Tunnel,2.0,Fully_Saturated,49531.0,0.326,1.6,33.5,19.78,17.32,10.0,12.71,0.0,236.6,0.02803,Piping,Piping,1
FEM-0060,Sand,Tunnel,2.0,Fully_Saturated,28827.0,0.307,2.5,36.5,16.68,23.16,20.95,18.35,0.0,192.2,0.01595,Piping,Piping,1
FEM-0061,Sand,Tunnel,2.5,Dry,35002.0,0.294,4.2,33.9,19.94,14.75,15.43,7.26,0.0,5.4,0.0245,No_Failure,No_Failure,0
FEM-0062,Sand,Tunnel,2.5,Dry,38021.0,0.277,2.1,39.0,18.51,14.83,17.34,10.73,0.0,0.0,0.01018,No_Failure,No_Failure,0
FEM-0063,Sand,Tunnel,2.5,Dry,29267.0,0.273,0.1,29.9,17.81,17.15,19.29,6.73,0.0,0.0,0.01807,No_Failure,No_Failure,0
FEM-0064,Sand,Tunnel,2.5,Dry,40292.0,0.301,2.0,41.2,17.11,11.4,12.34,5.8,0.0,0.0,0.02038,No_Failure,No_Failure,0
FEM-0065,Sand,Tunnel,2.5,Dry,24473.0,0.318,4.4,35.5,18.56,22.54,16.64,14.33,0.0,0.0,0.03273,No_Failure,No_Failure,0
FEM-0066,Sand,Tunnel,2.5,Partially_Saturated,24193.0,0.316,3.4,34.2,17.0,32.83,34.87,21.42,0.0,127.4,0.02095,Excessive_Settlement,Excessive_Settlement;Lateral_Instability,1
FEM-0067,Sand,Tunnel,2.5,Partially_Saturated,26185.0,0.292,0.9,34.6,18.82,26.09,21.02,8.88,0.0,149.8,0.04968,No_Failure,No_Failure,0
FEM-0068,Sand,Tunnel,2.5,Partially_Saturated,32481.0,0.339,4.9,35.8,16.59,16.75,18.63,12.01,0.0,119.8,0.02563,No_Failure,No_Failure,0
FEM-0069,Sand,Tunnel,2.5,Partially_Saturated,34737.0,0.337,1.3,37.2,19.76,19.47,12.68,7.48,0.0,144.2,0.0149,No_Failure,No_Failure,0
FEM-0070,Sand,Tunnel,2.5,Partially_Saturated,28373.0,0.257,1.8,31.4,19.46,26.27,24.32,19.41,0.0,143.5,0.04795,No_Failure,No_Failure,0
FEM-0071,Sand,Tunnel,2.5,Fully_Saturated,21585.0,0.264,3.9,38.0,16.23,39.93,34.21,18.74,0.0,238.6,0.06713,Excessive_Settlement,Excessive_Settlement;Piping;Structural_Buckling,1
FEM-0072,Sand,Tunnel,2.5,Fully_Saturated,23398.0,0.296,4.4,32.5,16.14,36.18,40.61,17.96,0.0,257.2,0.02785,Excessive_Settlement,Excessive_Settlement;Piping,1
FEM-0073,Sand,Tunnel,2.5,Fully_Saturated,40021.0,0.273,1.5,36.8,19.0,25.19,25.48,6.3,0.0,288.8,0.03546,Piping,Piping,1
FEM-0074,Sand,Tunnel,2.5,Fully_Saturated,48841.0,0.285,3.4,36.0,17.55,21.73,22.85,9.6,0.0,272.9,0.02753,Piping,Piping,1
FEM-0075,Sand,Tunnel,2.5,Fully_Saturated,31009.0,0.267,1.2,29.7,18.89,39.0,39.82,22.74,0.0,282.4,0.06753,Excessive_Settlement,Excessive_Settlement;Lateral_Instability;Piping;Structural_Buckling,1
FEM-0076,Sand,Tunnel,3.0,Dry,21504.0,0.257,0.0,36.1,19.11,33.15,35.67,15.99,0.0,0.0,0.03035,Excessive_Settlement,Excessive_Settlement,1
FEM-0077,Sand,Tunnel,3.0,Dry,29197.0,0.262,4.9,28.0,19.09,22.64,19.66,5.69,0.0,1.1,0.02202,No_Failure,No_Failure,0
FEM-0078,Sand,Tunnel,3.0,Dry,30757.0,0.305,2.9,36.2,16.28,17.21,17.53,6.47,0.0,3.2,0.02079,No_Failure,No_Failure,0
FEM-0079,Sand,Tunnel,3.0,Dry,18748.0,0.253,0.1,33.9,19.15,31.94,28.8,21.91,0.0,0.0,0.05445,Lateral_Instability,Lateral_Instability;Structural_Buckling,1
FEM-0080,Sand,Tunnel,3.0,Dry,40474.0,0.309,4.4,36.8,18.1,15.43,13.14,8.8,0.0,0.0,0.02979,No_Failure,No_Failure,0
FEM-0081,Sand,Tunnel,3.0,Partially_Saturated,48532.0,0.267,2.7,39.1,16.22,15.84,9.29,8.35,0.0,147.9,0.02746,No_Failure,No_Failure,0
FEM-0082,Sand,Tunnel,3.0,Partially_Saturated,38510.0,0.264,0.1,39.9,18.83,24.24,18.88,16.44,0.0,168.7,0.02455,Piping,Piping,1
FEM-0083,Sand,Tunnel,3.0,Partially_Saturated,18671.0,0.324,3.9,36.2,17.67,42.72,39.51,31.57,0.0,152.1,0.06127,Excessive_Settlement,Excessive_Settlement;Lateral_Instability;Piping;Structural_Buckling,1
FEM-0084,Sand,Tunnel,3.0,Partially_Saturated,38927.0,0.296,4.3,32.9,18.56,19.67,19.03,7.41,0.0,162.5,0.03809,Piping,Piping,1
FEM-0085,Sand,Tunnel,3.0,Partially_Saturated,25375.0,0.297,2.4,33.2,16.61,30.51,30.29,9.68,0.0,154.5,0.01631,Excessive_Settlement,Excessive_Settlement;Piping,1
FEM-0086,Sand,Tunnel,3.0,Fully_Saturated,40612.0,0.314,1.0,36.7,17.68,29.94,16.74,15.39,0.0,318.6,0.02981,Piping,Piping,1
FEM-0087,Sand,Tunnel,3.0,Fully_Saturated,34723.0,0.324,0.8,35.4,18.03,34.21,26.12,22.18,0.0,333.4,0.04769,Lateral_Instability,Lateral_Instability;Piping,1
FEM-0088,Sand,Tunnel,3.0,Fully_Saturated,42333.0,0.313,3.4,31.2,19.38,31.39,19.11,12.68,0.0,348.5,0.02434,Piping,Piping,1
FEM-0089,Sand,Tunnel,3.0,Fully_Saturated,40802.0,0.278,3.4,39.1,18.28,32.24,33.86,24.54,0.0,323.1,0.05044,Excessive_Settlement,Excessive_Settlement;Lateral_Instability;Piping;Structural_Buckling,1
FEM-0090,Sand,Tunnel,3.0,Fully_Saturated,29353.0,0.303,3.1,38.0,18.56,41.67,27.63,27.04,0.0,331.8,0.0578,Lateral_Instability,Lateral_Instability;Piping;Structural_Buckling,1
FEM-0091,Sand,Basement,0.5,Dry,26836.0,0.316,1.3,34.0,19.99,2.85,2.17,0.72,0.0,2.8,0.00332,No_Failure,No_Failure,0
FEM-0092,Sand,Basement,0.5,Dry,46805.0,0.265,2.4,30.7,16.33,1.61,1.3,1.24,0.0,0.0,0.00192,No_Failure,No_Failure,0
FEM-0093,Sand,Basement,0.5,Dry,42911.0,0.27,1.0,30.5,18.43,1.85,0.96,1.02,0.0,2.5,0.00278,No_Failure,No_Failure,0
FEM-0094,Sand,Basement,0.5,Dry,22682.0,0.332,4.8,30.6,19.64,3.67,4.02,2.89,0.0,2.3,0.00282,No_Failure,No_Failure,0
FEM-0095,Sand,Basement,0.5,Dry,21131.0,0.261,2.1,28.2,17.53,3.25,3.05,0.8,0.0,0.0,0.00185,No_Failure,No_Failure,0
FEM-0096,Sand,Basement,0.5,Partially_Saturated,28111.0,0.264,4.0,32.7,16.47,3.31,2.71,1.56,0.0,20.1,0.00548,No_Failure,No_Failure,0
FEM-0097,Sand,Basement,0.5,Partially_Saturated,37355.0,0.271,4.7,32.3,18.13,2.22,2.0,0.73,0.0,26.3,0.00197,No_Failure,No_Failure,0
FEM-0098,Sand,Basement,0.5,Partially_Saturated,25697.0,0.311,3.7,39.2,16.49,2.72,2.76,2.07,0.0,33.9,0.00525,No_Failure,No_Failure,0
FEM-0099,Sand,Basement,0.5,Partially_Saturated,45430.0,0.306,3.8,30.5,17.65,2.31,2.31,0.86,0.0,20.1,0.00426,No_Failure,No_Failure,0
FEM-0100,Sand,Basement,0.5,Partially_Saturated,46348.0,0.298,1.0,37.5,16.85,1.86,1.23,1.45,0.0,24.1,0.00247,No_Failure,No_Failure,0
FEM-0101,Sand,Basement,0.5,Fully_Saturated,18773.0,0.254,2.7,29.6,17.0,5.99,5.08,2.45,0.0,43.2,0.00491,No_Failure,No_Failure,0
FEM-0102,Sand,Basement,0.5,Fully_Saturated,45971.0,0.289,3.6,37.4,16.23,2.32,2.58,1.14,0.0,51.9,0.00459,No_Failure,No_Failure,0
FEM-0103,Sand,Basement,0.5,Fully_Saturated,41481.0,0.262,5.0,36.4,17.2,3.4,3.65,0.78,0.0,46.7,0.00215,No_Failure,No_Failure,0
FEM-0104,Sand,Basement,0.5,Fully_Saturated,27389.0,0.286,3.0,35.9,18.75,5.15,3.2,3.72,0.0,54.4,0.00623,No_Failure,No_Failure,0
FEM-0105,Sand,Basement,0.5,Fully_Saturated,32081.0,0.342,4.5,28.9,19.83,4.66,2.55,2.47,0.0,54.9,0.00671,No_Failure,No_Failure,0
FEM-0106,Sand,Basement,1.0,Dry,35434.0,0.267,4.8,28.4,17.37,3.3,3.51,2.35,0.0,0.0,0.00499,No_Failure,No_Failure,0
FEM-0107,Sand,Basement,1.0,Dry,41750.0,0.308,3.4,35.8,16.22,3.48,2.41,2.17,0.0,0.0,0.00454,No_Failure,No_Failure,0
FEM-0108,Sand,Basement,1.0,Dry,38484.0,0.276,3.0,36.4,19.38,3.39,3.01,1.28,0.0,0.0,0.00479,No_Failure,No_Failure,0
FEM-0109,Sand,Basement,1.0,Dry,47065.0,0.303,1.5,33.7,19.61,3.35,3.58,2.29,0.0,0.0,0.00234,No_Failure,No_Failure,0
FEM-0110,Sand,Basement,1.0,Dry,49146.0,0.268,1.3,38.7,17.4,3.19,2.9,2.09,0.0,0.0,0.00184,No_Failure,No_Failure,0
FEM-0111,Sand,Basement,1.0,Partially_Saturated,32068.0,0.296,4.4,34.3,18.52,7.75,8.08,3.73,0.0,58.0,0.01429,No_Failure,No_Failure,0
FEM-0112,Sand,Basement,1.0,Partially_Saturated,46494.0,0.277,1.6,40.9,16.5,3.58,3.44,1.34,0.0,53.4,0.00398,No_Failure,No_Failure,0
FEM-0113,Sand,Basement,1.0,Partially_Saturated,20291.0,0.323,0.3,28.2,19.51,10.52,11.28,5.78,0.0,60.3,0.00625,No_Failure,No_Failure,0
FEM-0114,Sand,Basement,1.0,Partially_Saturated,22581.0,0.323,1.3,30.9,17.77,8.29,8.35,2.71,0.0,56.9,0.00629,No_Failure,No_Failure,0
FEM-0115,Sand,Basement,1.0,Partially_Saturated,31688.0,0.337,3.7,35.0,16.5,3.96,2.05,0.95,0.0,53.7,0.00642,No_Failure,No_Failure,0
FEM-0116,Sand,Basement,1.0,Fully_Saturated,25752.0,0.259,3.6,40.9,17.81,10.98,11.36,6.99,0.0,103.5,0.01904,No_Failure,No_Failure,0
FEM-0117,Sand,Basement,1.0,Fully_Saturated,19721.0,0.324,2.1,28.1,17.74,13.25,14.01,3.34,0.0,108.7,0.00697,No_Failure,No_Failure,0
FEM-0118,Sand,Basement,1.0,Fully_Saturated,34944.0,0.317,2.9,41.3,19.33,8.85,6.68,5.46,0.0,119.8,0.01263,No_Failure,No_Failure,0
FEM-0119,Sand,Basement,1.0,Fully_Saturated,35372.0,0.3,1.9,30.1,17.1,6.91,5.06,2.02,0.0,101.1,0.00876,No_Failure,No_Failure,0
FEM-0120,Sand,Basement,1.0,Fully_Saturated,26241.0,0.284,4.0,40.5,19.88,10.53,9.06,3.66,0.0,124.6,0.00575,No_Failure,No_Failure,0
FEM-0121,Sand,Basement,1.5,Dry,46893.0,0.273,1.6,33.1,19.66,5.11,3.18,1.71,0.0,1.1,0.00336,No_Failure,No_Failure,0
FEM-0122,Sand,Basement,1.5,Dry,33279.0,0.341,4.4,41.3,19.61,7.15,5.15,2.32,0.0,1.5,0.00764,No_Failure,No_Failure,0
FEM-0123,Sand,Basement,1.5,Dry,39953.0,0.281,2.9,31.3,18.25,5.78,6.63,3.83,0.0,0.0,0.00344,No_Failure,No_Failure,0
FEM-0124,Sand,Basement,1.5,Dry,39870.0,0.308,1.1,41.1,18.21,5.89,5.31,2.23,0.0,0.0,0.00369,No_Failure,No_Failure,0
FEM-0125,Sand,Basement,1.5,Dry,31428.0,0.264,1.7,30.4,17.24,6.77,7.86,4.42,0.0,2.0,0.0037,No_Failure,No_Failure,0
FEM-0126,Sand,Basement,1.5,Partially_Saturated,49427.0,0.303,2.5,31.4,17.83,5.14,4.47,3.06,0.0,79.6,0.00556,No_Failure,No_Failure,0
FEM-0127,Sand,Basement,1.5,Partially_Saturated,20220.0,0.274,1.2,39.3,18.75,13.92,15.95,5.37,0.0,94.8,0.01945,No_Failure,No_Failure,0
FEM-0128,Sand,Basement,1.5,Partially_Saturated,25774.0,0.276,0.8,39.7,18.13,10.05,7.41,5.09,0.0,83.4,0.00986,No_Failure,No_Failure,0
FEM-0129,Sand,Basement,1.5,Partially_Saturated,29321.0,0.287,2.4,33.8,17.54,9.55,9.19,3.47,0.0,78.2,0.00785,No_Failure,No_Failure,0
FEM-0130,Sand,Basement,1.5,Partially_Saturated,49017.0,0.273,2.7,32.6,16.31,5.37,6.27,2.28,0.0,78.0,0.00714,No_Failure,No_Failure,0
FEM-0131,Sand,Basement,1.5,Fully_Saturated,39950.0,0.328,1.9,36.8,16.82,9.43,5.08,7.47,0.0,150.7,0.00567,Piping,Piping,1
FEM-0132,Sand,Basement,1.5,Fully_Saturated,47294.0,0.261,3.9,38.0,16.18,6.76,6.79,5.28,0.0,136.4,0.0089,No_Failure,No_Failure,0
FEM-0133,Sand,Basement,1.5,Fully_Saturated,19235.0,0.346,1.8,34.4,17.61,20.13,10.46,4.44,0.0,159.0,0.03986,Piping,Piping,1
FEM-0134,Sand,Basement,1.5,Fully_Saturated,24213.0,0.287,4.9,28.7,18.57,21.34,12.19,16.39,0.0,171.5,0.03984,Piping,Piping,1
FEM-0135,Sand,Basement,1.5,Fully_Saturated,44646.0,0.306,4.9,37.5,19.14,8.72,5.85,3.93,0.0,167.0,0.01699,Piping,Piping,1
FEM-0136,Sand,Basement,2.0,Dry,18840.0,0.323,0.3,29.4,18.49,16.17,13.21,3.27,0.0,0.0,0.02923,No_Failure,No_Failure,0
FEM-0137,Sand,Basement,2.0,Dry,39783.0,0.324,4.8,37.9,16.64,6.28,7.26,1.68,0.0,0.0,0.00479,No_Failure,No_Failure,0
FEM-0138,Sand,Basement,2.0,Dry,15641.0,0.296,3.4,33.9,16.94,15.8,17.67,6.84,0.0,0.0,0.01581,No_Failure,No_Failure,0
FEM-0139,Sand,Basement,2.0,Dry,43123.0,0.253,4.6,33.6,19.91,7.67,7.6,5.9,0.0,0.7,0.0139,No_Failure,No_Failure,0
FEM-0140,Sand,Basement,2.0,Dry,49565.0,0.253,0.4,38.2,16.16,5.07,2.57,2.67,0.0,11.7,0.00264,No_Failure,No_Failure,0
FEM-0141,Sand,Basement,2.0,Partially_Saturated,32615.0,0.279,3.8,32.9,17.43,11.79,11.29,7.03,0.0,105.4,0.01752,No_Failure,No_Failure,0
FEM-0142,Sand,Basement,2.0,Partially_Saturated,31013.0,0.333,0.0,41.6,17.5,11.08,10.16,2.44,0.0,106.9,0.0215,No_Failure,No_Failure,0
FEM-0143,Sand,Basement,2.0,Partially_Saturated,29789.0,0.322,0.4,28.9,19.8,16.32,11.05,12.2,0.0,120.0,0.02166,No_Failure,No_Failure,0
FEM-0144,Sand,Basement,2.0,Partially_Saturated,48816.0,0.29,0.2,34.6,19.3,7.64,4.1,1.69,0.0,117.9,0.00611,No_Failure,No_Failure,0
FEM-0145,Sand,Basement,2.0,Partially_Saturated,38012.0,0.256,3.8,32.3,16.92,9.65,9.41,7.21,0.0,102.6,0.01753,No_Failure,No_Failure,0
FEM-0146,Sand,Basement,2.0,Fully_Saturated,46751.0,0.288,1.2,30.7,19.53,11.88,7.87,6.16,0.0,234.3,0.01211,Piping,Piping,1
FEM-0147,Sand,Basement,2.0,Fully_Saturated,25253.0,0.293,1.7,39.8,18.32,16.53,10.31,5.65,0.0,219.3,0.02487,Piping,Piping,1
FEM-0148,Sand,Basement,2.0,Fully_Saturated,21404.0,0.26,1.6,36.6,17.89,23.43,17.16,17.1,0.0,202.5,0.01283,Piping,Piping,1
FEM-0149,Sand,Basement,2.0,Fully_Saturated,37377.0,0.296,0.7,31.4,16.81,10.75,6.29,4.96,0.0,194.8,0.00943,Piping,Piping,1
FEM-0150,Sand,Basement,2.0,Fully_Saturated,30275.0,0.305,3.1,31.1,18.91,15.55,8.07,10.11,0.0,222.7,0.02133,Piping,Piping,1
FEM-0151,Sand,Basement,2.5,Dry,36366.0,0.292,4.7,40.0,16.9,7.98,7.28,5.05,0.0,0.0,0.00584,No_Failure,No_Failure,0
FEM-0152,Sand,Basement,2.5,Dry,39050.0,0.326,2.1,31.4,17.79,8.42,7.25,4.43,0.0,0.0,0.01016,No_Failure,No_Failure,0
FEM-0153,Sand,Basement,2.5,Dry,27155.0,0.306,0.3,40.3,19.5,14.35,12.84,9.22,0.0,10.2,0.02047,No_Failure,No_Failure,0
FEM-0154,Sand,Basement,2.5,Dry,27386.0,0.346,3.0,41.9,17.73,11.14,5.82,4.25,0.0,3.4,0.01585,No_Failure,No_Failure,0
