Excavation_Depth_m,Excavation_Width_m,Prop_Spacing_m,Wall_Thickness_m,Max_Horizontal_Displacement_mm,Max_Surface_Settlement_mm,Max_Bending_Moment_kNm_per_m,Factor_of_Safety,Failure_Flag,Soil_Type,Cu_kPa,Ko
8,15,2.0,1.0,59.39,50.61,1254.3,4.515,0,London_Clay,100.3,1.61
8,15,2.0,1.2,49.52,48.25,1031.8,5.683,0,London_Clay,109.5,1.49
8,15,3.0,0.6,131.42,112.13,3028.4,1.779,0,London_Clay,114.4,1.64
8,15,3.0,0.8,98.83,65.07,2253.1,2.566,0,London_Clay,104.6,1.67
8,15,3.0,1.0,81.25,49.3,1835.0,3.101,0,London_Clay,112.2,1.43
8,15,3.0,1.2,68.83,59.55,1592.6,3.751,0,London_Clay,107.0,1.47
8,15,4.0,0.6,165.86,124.62,4024.1,1.381,0,London_Clay,106.7,1.5
8,15,4.0,0.8,127.25,97.53,3011.7,1.958,0,London_Clay,111.0,1.4
8,15,4.0,1.0,103.96,97.43,2471.2,2.521,0,London_Clay,107.7,1.42
8,15,4.0,1.2,89.06,66.3,1996.0,2.832,0,London_Clay,112.7,1.28
8,15,5.0,0.6,196.82,182.34,5074.6,1.262,0,London_Clay,108.4,1.59
8,15,5.0,0.8,152.27,116.4,3881.8,1.631,0,London_Clay,104.5,1.47
8,15,5.0,1.0,123.77,84.73,3064.5,1.787,0,London_Clay,115.7,1.37
8,15,5.0,1.2,105.51,103.81,2605.4,2.199,0,London_Clay,110.3,1.47
8,20,2.0,0.6,110.92,66.88,1884.8,2.978,0,London_Clay,107.1,1.67
8,20,2.0,0.8,83.67,58.0,1537.8,3.876,0,London_Clay,106.7,1.43
8,20,2.0,1.0,70.6,54.09,1237.3,4.748,0,London_Clay,108.0,1.44
8,20,2.0,1.2,61.44,48.85,1039.5,5.503,0,London_Clay,99.9,1.22
8,20,3.0,0.6,152.26,140.13,3046.4,2.05,0,London_Clay,108.0,1.48
8,20,3.0,0.8,120.54,81.6,2199.2,2.477,0,London_Clay,108.8,1.56
8,20,3.0,1.0,95.44,81.37,1855.2,3.018,0,London_Clay,110.6,1.42
8,20,3.0,1.2,80.57,68.42,1594.1,3.722,0,London_Clay,107.2,1.45
8,20,4.0,0.6,191.2,169.05,4045.4,1.462,0,London_Clay,96.9,1.38
8,20,4.0,0.8,148.19,123.64,3064.0,1.769,0,London_Clay,114.1,1.4
8,20,4.0,1.0,121.09,102.42,2487.3,2.226,0,London_Clay,106.1,1.59
8,20,4.0,1.2,103.58,70.93,1986.9,2.717,0,London_Clay,102.8,1.45
8,20,5.0,0.6,227.16,167.05,5078.8,1.096,1,London_Clay,111.4,1.54
8,20,5.0,0.8,174.67,147.86,3806.3,1.453,0,London_Clay,105.0,1.36
8,20,5.0,1.0,144.51,109.85,3068.9,1.863,0,London_Clay,112.9,1.49
8,20,5.0,1.2,124.13,119.04,2502.9,2.309,0,London_Clay,112.0,1.54
8,25,2.0,0.6,122.21,75.76,2024.8,2.825,0,London_Clay,104.1,1.69
8,25,2.0,0.8,95.7,58.07,1556.1,3.761,0,London_Clay,115.0,1.55
8,25,2.0,1.0,77.13,60.46,1200.8,4.609,0,London_Clay,110.0,1.5
8,25,2.0,1.2,68.42,61.99,953.9,5.62,0,London_Clay,104.8,1.55
8,25,3.0,0.6,169.3,112.23,3087.9,1.877,0,London_Clay,112.8,1.52
8,25,3.0,0.8,129.37,90.72,2305.9,2.55,0,London_Clay,110.0,1.54
8,25,3.0,1.0,109.04,71.2,1809.7,3.325,0,London_Clay,120.1,1.48
8,25,3.0,1.2,89.25,84.01,1508.2,3.709,0,London_Clay,107.3,1.53
8,25,4.0,0.6,210.32,192.56,4117.4,1.472,0,London_Clay,103.7,1.58
8,25,4.0,0.8,162.63,154.41,2990.3,1.9,0,London_Clay,104.1,1.47
8,25,4.0,1.0,135.77,87.21,2471.8,2.48,0,London_Clay,110.1,1.5
8,25,4.0,1.2,115.02,112.73,1910.7,2.891,0,London_Clay,109.9,1.62
8,25,5.0,0.6,252.46,236.99,4907.8,1.091,1,London_Clay,115.8,1.49
8,25,5.0,0.8,193.0,160.02,3836.5,1.435,0,London_Clay,99.5,1.48
8,25,5.0,1.0,160.06,156.81,3020.0,1.787,0,London_Clay,107.4,1.31
8,25,5.0,1.2,135.59,83.26,2557.6,2.055,0,London_Clay,99.7,1.57
8,30,2.0,0.6,134.5,101.0,2023.8,2.726,0,London_Clay,105.9,1.66
8,30,2.0,0.8,102.84,70.18,1591.4,3.708,0,London_Clay,113.8,1.31
8,30,2.0,1.0,85.44,53.05,1175.8,4.652,0,London_Clay,112.1,1.47
8,30,2.0,1.2,72.97,64.88,1044.7,5.597,0,London_Clay,109.2,1.48
8,30,3.0,0.6,183.71,124.63,3039.3,1.943,0,London_Clay,109.0,1.33
8,30,3.0,0.8,143.28,126.23,2323.4,2.381,0,London_Clay,112.9,1.56
8,30,3.0,1.0,113.94,75.26,1828.6,3.042,0,London_Clay,102.8,1.52
8,30,3.0,1.2,101.53,64.07,1554.3,3.736,0,London_Clay,115.8,1.55
8,30,4.0,0.6,229.58,147.71,4026.9,1.436,0,London_Clay,112.0,1.5
8,30,4.0,0.8,177.82,141.36,3066.6,1.89,0,London_Clay,115.9,1.73
8,30,4.0,1.0,148.34,97.08,2479.4,2.316,0,London_Clay,111.3,1.4
8,30,4.0,1.2,123.54,92.52,2022.9,2.644,0,London_Clay,111.0,1.5
8,30,5.0,0.6,278.58,173.22,5040.6,1.129,1,London_Clay,116.3,1.76
8,30,5.0,0.8,216.57,144.74,3769.6,1.399,0,London_Clay,103.3,1.54
8,30,5.0,1.0,174.75,114.33,3088.4,1.92,0,London_Clay,106.0,1.62
8,30,5.0,1.2,150.08,146.33,2490.7,2.298,0,London_Clay,113.2,1.45
10,10,2.0,0.6,106.75,103.34,3247.1,2.181,0,London_Clay,121.3,1.4
10,10,2.0,0.8,80.76,50.11,2321.8,2.999,0,London_Clay,111.6,1.39
10,10,2.0,1.0,69.15,45.73,1930.2,3.612,0,London_Clay,112.7,1.54
10,10,2.0,1.2,57.16,50.47,1558.5,4.385,0,London_Clay,121.3,1.42
10,10,3.0,0.6,148.48,123.45,4816.3,1.511,0,London_Clay,124.3,1.46
10,10,3.0,0.8,113.51,106.39,3630.1,2.129,0,London_Clay,128.3,1.53
10,10,3.0,1.0,95.13,63.42,2920.7,2.565,0,London_Clay,124.4,1.49
10,10,3.0,1.2,78.7,52.7,2429.8,2.781,0,London_Clay,127.7,1.61
10,10,4.0,0.6,187.19,121.34,6360.5,1.107,1,London_Clay,120.9,1.54
10,10,4.0,0.8,145.02,92.66,4799.1,1.36,0,London_Clay,122.9,1.48
10,10,4.0,1.0,118.76,99.33,3763.6,1.749,0,London_Clay,123.9,1.6
10,10,4.0,1.2,100.08,67.85,3178.7,2.375,0,London_Clay,123.9,1.6
10,10,5.0,0.6,225.09,213.18,7847.2,0.948,1,London_Clay,119.7,1.39
10,10,5.0,0.8,173.14,130.85,5931.3,1.231,0,London_Clay,116.7,1.48
10,10,5.0,1.0,140.41,128.22,4806.0,1.427,0,London_Clay,105.9,1.44
10,10,5.0,1.2,122.32,95.08,3884.7,1.663,0,London_Clay,126.9,1.51
10,15,2.0,0.6,132.75,115.26,3055.6,2.157,0,London_Clay,115.2,1.51
10,15,2.0,0.8,102.44,85.11,2363.9,3.007,0,London_Clay,121.0,1.74
10,15,2.0,1.0,80.3,50.8,1934.2,3.662,0,London_Clay,108.0,1.53
10,15,2.0,1.2,73.5,59.05,1623.7,4.415,0,London_Clay,117.9,1.45
10,15,3.0,0.6,180.11,125.89,4733.5,1.634,0,London_Clay,126.5,1.47
10,15,3.0,0.8,142.94,89.95,3642.4,2.073,0,London_Clay,120.0,1.48
10,15,3.0,1.0,115.54,111.88,2824.4,2.504,0,London_Clay,122.5,1.57
10,15,3.0,1.2,97.87,85.09,2372.1,2.926,0,London_Clay,119.1,1.34
10,15,4.0,0.6,233.52,173.44,6271.6,1.126,1,London_Clay,113.7,1.55
10,15,4.0,0.8,179.1,131.7,4786.6,1.554,0,London_Clay,123.6,1.74
10,15,4.0,1.0,148.58,122.26,3765.7,1.788,0,London_Clay,124.8,1.42
10,15,4.0,1.2,123.51,94.54,3208.1,2.357,0,London_Clay,109.6,1.5
10,15,5.0,0.6,276.76,241.8,7907.3,0.878,1,London_Clay,121.4,1.47
10,15,5.0,0.8,213.44,154.92,5973.0,1.202,0,London_Clay,119.3,1.46
10,15,5.0,1.0,173.24,117.74,4802.3,1.31,0,London_Clay,113.8,1.51
10,15,5.0,1.2,147.75,118.5,3957.3,1.829,0,London_Clay,114.1,1.48
10,20,2.0,0.6,153.52,136.42,3088.9,2.404,0,London_Clay,120.4,1.67
10,20,2.0,0.8,120.88,78.07,2379.2,2.893,0,London_Clay,124.8,1.73
10,20,2.0,1.0,96.34,60.25,1925.3,3.87,0,London_Clay,120.9,1.56
10,20,2.0,1.2,81.36,55.04,1513.7,4.67,0,London_Clay,119.4,1.47
10,20,3.0,0.6,212.41,208.06,4693.9,1.581,0,London_Clay,117.0,1.51
10,20,3.0,0.8,161.92,101.72,3613.9,2.05,0,London_Clay,121.2,1.51
10,20,3.0,1.0,133.89,108.03,2860.1,2.508,0,London_Clay,114.9,1.52
10,20,3.0,1.2,111.62,88.52,2373.0,2.86,0,London_Clay,119.3,1.55
10,20,4.0,0.6,268.21,225.71,6303.9,1.052,1,London_Clay,111.7,1.47
10,20,4.0,0.8,203.69,124.32,4784.5,1.432,0,London_Clay,118.6,1.5
10,20,4.0,1.0,168.0,158.23,3804.9,1.841,0,London_Clay,120.7,1.55
10,20,4.0,1.2,143.03,131.53,3087.6,2.255,0,London_Clay,122.4,1.57
10,20,5.0,0.6,316.6,290.32,7883.7,0.858,1,London_Clay,125.3,1.52
10,20,5.0,0.8,246.98,237.26,5931.3,1.179,1,London_Clay,123.7,1.53
10,20,5.0,1.0,203.98,137.77,4707.4,1.496,0,London_Clay,111.2,1.51
10,20,5.0,1.2,168.96,135.36,3949.1,1.687,0,London_Clay,121.4,1.29
10,25,2.0,0.6,170.48,154.18,3167.5,2.162,0,London_Clay,127.0,1.4
10,25,2.0,0.8,130.87,108.72,2354.3,2.9,0,London_Clay,122.7,1.68
10,25,2.0,1.0,105.78,87.26,1807.3,3.796,0,London_Clay,121.1,1.42
10,25,2.0,1.2,89.34,73.94,1564.9,4.521,0,London_Clay,115.4,1.67
10,25,3.0,0.6,235.04,158.99,4747.9,1.477,0,London_Clay,127.2,1.41
10,25,3.0,0.8,179.88,169.4,3520.2,2.093,0,London_Clay,118.3,1.45
10,25,3.0,1.0,149.24,121.39,2888.5,2.329,0,London_Clay,126.1,1.51
10,25,3.0,1.2,128.55,83.13,2380.4,2.892,0,London_Clay,119.1,1.54
10,25,4.0,0.6,297.61,208.06,6358.5,1.041,1,London_Clay,123.2,1.5
10,25,4.0,0.8,225.81,201.01,4738.8,1.407,0,London_Clay,134.7,1.39
10,25,4.0,1.0,186.94,172.57,3820.8,1.928,0,London_Clay,129.2,1.43
10,25,4.0,1.2,161.69,105.97,3182.1,2.457,0,London_Clay,113.0,1.62
10,25,5.0,0.6,355.4,225.38,7958.6,1.058,1,London_Clay,118.5,1.5
10,25,5.0,0.8,276.3,264.67,5907.5,1.044,1,London_Clay,124.1,1.54
10,25,5.0,1.0,222.79,155.01,4723.1,1.347,0,London_Clay,117.5,1.42
10,25,5.0,1.2,189.71,136.3,3877.0,2.002,0,London_Clay,126.3,1.42
10,30,2.0,0.6,187.31,137.26,3187.5,2.184,0,London_Clay,122.3,1.46
10,30,2.0,0.8,142.97,131.97,2308.2,3.072,0,London_Clay,126.5,1.76
10,30,2.0,1.0,116.22,109.92,1934.9,3.861,0,London_Clay,114.5,1.56
10,30,2.0,1.2,97.04,61.05,1551.3,4.566,0,London_Clay,125.1,1.56
10,30,3.0,0.6,260.95,225.65,4770.8,1.612,0,London_Clay,117.4,1.56
10,30,3.0,0.8,196.96,176.9,3487.7,1.908,0,London_Clay,126.6,1.48
10,30,3.0,1.0,163.36,141.24,2887.9,2.576,0,London_Clay,115.1,1.53
10,30,3.0,1.2,138.92,106.42,2368.5,2.915,0,London_Clay,116.2,1.4
10,30,4.0,0.6,325.01,272.5,6395.0,1.099,1,London_Clay,116.7,1.48
10,30,4.0,0.8,253.25,174.6,4740.3,1.554,0,London_Clay,121.1,1.38
10,30,4.0,1.0,207.11,163.79,3810.5,1.714,0,London_Clay,116.5,1.32
10,30,4.0,1.2,175.19,111.18,3179.5,2.369,0,London_Clay,116.1,1.45
10,30,5.0,0.6,388.25,356.08,7876.6,0.944,1,London_Clay,118.5,1.43
10,30,5.0,0.8,299.79,284.2,5884.8,1.243,0,London_Clay,111.5,1.44
10,30,5.0,1.0,245.15,244.1,4833.7,1.484,0,London_Clay,117.6,1.56
10,30,5.0,1.2,203.1,147.53,3989.0,1.838,0,London_Clay,120.8,1.62
12,10,2.0,0.6,141.04,107.11,4604.7,1.84,0,London_Clay,120.2,1.44
12,10,2.0,0.8,109.05,88.41,3410.5,2.35,0,London_Clay,136.8,1.47
12,10,2.0,1.0,88.84,65.16,2815.4,3.232,0,London_Clay,126.4,1.49
12,10,2.0,1.2,78.18,51.0,2301.6,3.824,0,London_Clay,142.9,1.28
12,10,3.0,0.6,197.12,133.82,6812.1,1.316,0,London_Clay,124.6,1.57
12,10,3.0,0.8,151.22,96.12,5172.1,1.669,0,London_Clay,136.8,1.35
12,10,3.0,1.0,121.9,102.34,3995.1,2.193,0,London_Clay,122.6,1.55
12,10,3.0,1.2,104.77,89.42,3325.4,2.531,0,London_Clay,124.1,1.46
12,10,4.0,0.6,247.78,198.53,9124.6,0.958,1,London_Clay,126.4,1.59
12,10,4.0,0.8,190.03,147.06,6813.7,1.198,1,London_Clay,126.2,1.59
12,10,4.0,1.0,154.89,112.86,5504.2,1.631,0,London_Clay,129.7,1.4
12,10,4.0,1.2,131.76,105.93,4606.3,1.866,0,London_Clay,129.1,1.57
12,10,5.0,0.6,296.69,273.75,11399.0,0.604,1,London_Clay,127.9,1.37
12,10,5.0,0.8,229.09,142.25,8584.4,0.939,1,London_Clay,129.7,1.62
12,10,5.0,1.0,186.94,127.16,6837.0,1.18,1,London_Clay,125.2,1.46
12,10,5.0,1.2,156.53,150.95,5632.5,1.677,0,London_Clay,131.6,1.36
12,15,2.0,0.6,173.07,131.74,4565.5,2.009,0,London_Clay,135.0,1.36
12,15,2.0,0.8,135.73,86.52,3368.2,2.48,0,London_Clay,129.8,1.57
12,15,2.0,1.0,111.34,88.98,2698.6,3.221,0,London_Clay,127.1,1.54
12,15,2.0,1.2,94.34,58.38,2355.8,3.788,0,London_Clay,128.1,1.45
12,15,3.0,0.6,240.04,186.92,6921.8,1.312,0,London_Clay,119.3,1.62
12,15,3.0,0.8,187.04,183.74,5010.8,1.741,0,London_Clay,130.7,1.54
12,15,3.0,1.0,150.67,141.18,4084.8,2.224,0,London_Clay,124.0,1.36
12,15,3.0,1.2,128.57,108.08,3413.6,2.435,0,London_Clay,119.0,1.66
12,15,4.0,0.6,303.54,275.76,9146.7,1.011,1,London_Clay,130.3,1.53
12,15,4.0,0.8,233.92,168.72,6787.4,0.997,1,London_Clay,128.9,1.49
12,15,4.0,1.0,191.21,165.74,5508.4,1.537,0,London_Clay,133.4,1.46
12,15,4.0,1.2,162.26,109.48,4585.2,1.938,0,London_Clay,123.8,1.35
12,15,5.0,0.6,360.48,252.41,11366.9,0.688,1,London_Clay,134.3,1.5
12,15,5.0,0.8,277.03,262.14,8541.0,0.989,1,London_Clay,136.5,1.43
12,15,5.0,1.0,230.3,226.58,6850.5,1.296,0,London_Clay,136.5,1.44
12,15,5.0,1.2,193.76,192.55,5647.2,1.465,0,London_Clay,123.8,1.6
12,20,2.0,0.6,203.14,158.1,4643.5,1.824,0,London_Clay,133.6,1.67
12,20,2.0,0.8,151.38,131.01,3395.4,2.633,0,London_Clay,125.1,1.54
12,20,2.0,1.0,126.41,112.74,2767.9,3.23,0,London_Clay,129.8,1.58
12,20,2.0,1.2,107.58,85.36,2227.7,3.747,0,London_Clay,126.9,1.57
12,20,3.0,0.6,277.52,241.67,6874.5,1.205,0,London_Clay,131.7,1.46
12,20,3.0,0.8,214.32,171.25,5112.8,1.629,0,London_Clay,125.1,1.3
12,20,3.0,1.0,174.21,139.62,4113.7,2.113,0,London_Clay,123.6,1.58
12,20,3.0,1.2,151.75,135.86,3478.4,2.428,0,London_Clay,126.8,1.23
12,20,4.0,0.6,351.06,254.14,9197.0,0.96,1,London_Clay,132.5,1.47
12,20,4.0,0.8,268.28,224.55,6860.5,1.222,0,London_Clay,130.6,1.55
12,20,4.0,1.0,220.27,134.64,5466.8,1.611,0,London_Clay,128.4,1.66
12,20,4.0,1.2,186.25,180.16,4496.5,1.837,0,London_Clay,134.5,1.5
12,20,5.0,0.6,418.53,403.04,11488.3,0.759,1,London_Clay,124.8,1.48
12,20,5.0,0.8,323.75,256.67,8541.6,0.967,1,London_Clay,132.0,1.48
12,20,5.0,1.0,263.17,228.57,6751.0,1.245,0,London_Clay,123.7,1.56
12,20,5.0,1.2,224.35,190.81,5659.5,1.537,0,London_Clay,126.3,1.59
12,25,2.0,0.6,224.51,202.4,4574.9,1.845,0,London_Clay,122.7,1.63
12,25,2.0,0.8,174.0,111.63,3459.3,2.444,0,London_Clay,115.8,1.64
12,25,2.0,1.0,142.77,127.34,2648.9,3.302,0,London_Clay,123.9,1.61
12,25,2.0,1.2,121.71,75.56,2273.5,3.863,0,London_Clay,125.6,1.42
12,25,3.0,0.6,311.74,234.22,6837.8,1.211,0,London_Clay,131.2,1.52
12,25,3.0,0.8,239.44,217.45,5130.4,1.519,0,London_Clay,127.6,1.36
12,25,3.0,1.0,196.93,136.13,4139.8,2.1,0,London_Clay,133.7,1.5
12,25,3.0,1.2,162.66,136.97,3387.9,2.782,0,London_Clay,123.4,1.5
12,25,4.0,0.6,390.77,254.95,9187.3,0.923,1,London_Clay,132.5,1.51
12,25,4.0,0.8,299.75,193.35,6811.8,1.101,1,London_Clay,136.3,1.45
12,25,4.0,1.0,244.68,172.96,5463.6,1.444,0,London_Clay,130.2,1.62
12,25,4.0,1.2,212.27,188.05,4540.0,1.8,0,London_Clay,129.5,1.56
12,25,5.0,0.6,466.79,288.67,11389.1,0.548,1,London_Clay,132.7,1.74
12,25,5.0,0.8,359.51,340.64,8511.3,1.19,1,London_Clay,130.4,1.4
12,25,5.0,1.0,296.06,196.93,6859.9,1.286,0,London_Clay,131.6,1.48
12,25,5.0,1.2,250.74,241.11,5727.8,1.31,0,London_Clay,127.8,1.67
12,30,2.0,0.6,244.54,212.26,4529.8,1.843,0,London_Clay,118.0,1.36
