Date,Temperature_C,Precipitation_mm,Relative_Humidity_pct,Wind_Speed_m_s,Cumulative_Precip_30d_mm,Evapotranspiration_mm,Water_Balance_mm,Soil_Suction_kPa,Shrinkage_Strain,Embankment_Deterioration_Index,Soil_Type
2018-02-14,5.3,2.88,98.5,3.6,125.3,1.89,0.98,52.6,0.02865,0.5045,Clay
2018-02-15,10.0,10.8,72.7,3.2,131.3,2.21,8.59,31.4,0.01844,0.4679,Clay
2018-02-16,9.5,5.19,89.5,7.6,136.2,1.42,3.77,48.0,0.02732,0.6047,Clay
2018-02-17,2.7,3.35,76.1,6.5,139.1,0.92,2.43,43.8,0.0231,0.5245,Clay
2018-02-18,5.9,0.69,67.3,4.7,133.7,1.51,-0.82,51.8,0.02877,0.5423,Clay
2018-02-19,0.5,0.63,80.8,7.5,133.5,0.84,-0.21,52.4,0.02901,0.5578,Clay
2018-02-20,5.0,2.7,90.9,7.1,136.0,1.12,1.58,42.0,0.02051,0.5255,Clay
2018-02-21,7.4,5.03,73.8,7.8,131.4,1.81,3.22,36.8,0.01921,0.5323,Clay
2018-02-22,9.0,5.34,88.0,2.7,127.9,2.26,3.09,45.2,0.02623,0.4993,Clay
2018-02-23,6.7,0.98,89.4,5.6,127.9,1.78,-0.8,47.9,0.02541,0.5283,Clay
2018-02-24,8.0,0.4,73.0,4.9,122.2,2.06,-1.65,47.2,0.02296,0.4975,Clay
2018-02-25,4.7,1.85,81.3,5.7,123.9,1.07,0.78,52.3,0.02803,0.5288,Clay
2018-02-26,6.9,9.5,95.6,2.9,132.0,1.73,7.76,42.1,0.02149,0.467,Clay
2018-02-27,5.3,2.98,88.0,5.4,131.1,1.98,1.0,52.3,0.03176,0.5657,Clay
2018-02-28,8.0,1.45,80.6,3.7,126.8,1.38,0.07,43.9,0.02571,0.506,Clay
2018-03-01,11.5,1.47,85.9,6.5,128.2,2.35,-0.88,52.6,0.03166,0.6135,Clay
2018-03-02,7.3,0.53,76.9,6.2,127.2,1.25,-0.72,49.9,0.02685,0.5495,Clay
2018-03-03,3.4,2.39,91.2,2.6,128.6,1.39,0.99,43.7,0.02325,0.4481,Clay
2018-03-04,8.3,5.81,91.0,2.4,107.7,1.15,4.66,41.1,0.02157,0.424,Clay
2018-03-05,9.9,12.78,82.9,5.6,116.0,1.82,10.96,27.7,0.01357,0.446,Clay
2018-03-06,5.2,2.56,83.6,4.5,116.5,1.97,0.59,47.7,0.02325,0.4676,Clay
2018-03-07,11.8,0.67,73.6,4.6,116.9,2.12,-1.45,57.8,0.03662,0.5962,Clay
2018-03-08,6.4,4.19,70.6,5.8,117.4,1.45,2.74,51.0,0.02794,0.529,Clay
2018-03-09,6.1,5.13,78.3,6.7,118.5,1.79,3.35,41.7,0.01947,0.487,Clay
2018-03-10,3.2,0.27,80.4,2.8,112.0,0.93,-0.66,50.4,0.02793,0.4508,Clay
2018-03-11,9.4,6.82,89.4,4.5,117.5,1.31,5.52,37.7,0.02589,0.5117,Clay
2018-03-12,14.2,6.32,88.1,6.5,108.1,2.31,4.01,44.6,0.02237,0.53,Clay
2018-03-13,10.0,2.28,82.1,6.9,108.1,2.4,-0.12,51.9,0.02974,0.563,Clay
2018-03-14,6.8,2.91,89.9,3.1,109.6,1.97,0.94,44.6,0.02156,0.4295,Clay
2018-03-15,10.7,4.4,72.7,1.8,112.3,1.51,2.9,43.6,0.02643,0.4692,Clay
2018-03-16,11.7,3.95,88.6,2.7,113.4,1.97,1.98,38.5,0.01725,0.43,Clay
2018-03-17,12.9,0.06,73.5,8.1,102.6,2.24,-2.18,46.5,0.02642,0.5669,Clay
2018-03-18,5.9,0.45,89.5,4.0,97.9,1.27,-0.82,45.7,0.0251,0.4426,Clay
2018-03-19,14.4,0.61,79.3,3.8,95.2,2.38,-1.77,52.3,0.02713,0.496,Clay
2018-03-20,10.5,4.82,63.2,0.7,99.3,2.11,2.72,47.6,0.0272,0.4314,Clay
2018-03-21,15.3,1.97,84.9,1.3,100.6,2.62,-0.64,47.4,0.02637,0.4654,Clay
2018-03-22,10.6,2.67,85.3,5.2,100.6,1.96,0.7,48.0,0.02997,0.5267,Clay
2018-03-23,12.0,4.98,75.0,4.7,100.6,1.96,3.02,45.1,0.02239,0.4759,Clay
2018-03-24,7.6,1.39,75.4,4.7,96.6,1.87,-0.48,58.6,0.03335,0.5156,Clay
2018-03-25,13.5,4.58,76.9,1.9,100.2,2.11,2.48,45.3,0.02553,0.4583,Clay
2018-03-26,7.5,1.92,62.6,3.4,101.7,1.73,0.19,50.1,0.02952,0.4782,Clay
2018-03-27,11.6,1.55,58.8,6.3,101.4,2.55,-1.0,49.0,0.02996,0.5517,Clay
2018-03-28,9.7,1.32,87.9,2.4,93.3,2.55,-1.23,61.6,0.0333,0.4838,Clay
2018-03-29,10.8,10.82,70.7,7.1,101.1,2.28,8.55,36.7,0.02027,0.4938,Clay
2018-03-30,14.5,4.74,91.9,2.0,104.4,2.74,2.0,40.4,0.02497,0.4691,Clay
2018-03-31,10.3,0.06,87.8,2.3,103.0,1.54,-1.47,60.4,0.03438,0.5114,Clay
2018-04-01,14.8,9.98,89.1,4.1,112.4,3.17,6.81,40.0,0.02271,0.505,Clay
2018-04-02,10.4,4.69,71.2,8.1,114.7,2.11,2.58,46.0,0.02373,0.5562,Clay
2018-04-03,12.2,0.5,63.3,3.3,109.4,2.42,-1.91,57.1,0.03277,0.5387,Clay
2018-04-04,18.4,0.25,67.2,5.2,96.9,3.37,-3.13,61.9,0.03443,0.5931,Clay
2018-04-05,12.4,1.13,72.1,4.7,95.4,2.4,-1.27,48.8,0.0287,0.5113,Clay
2018-04-06,11.9,2.98,56.4,2.2,97.8,2.29,0.68,46.7,0.02835,0.4689,Clay
2018-04-07,12.7,2.89,71.4,2.8,96.5,2.3,0.59,48.6,0.02575,0.464,Clay
2018-04-08,11.4,0.97,73.3,7.8,92.3,2.44,-1.47,46.7,0.02521,0.5266,Clay
2018-04-09,9.6,1.75,64.3,2.4,93.8,1.48,0.27,53.1,0.02784,0.4486,Clay
2018-04-10,18.9,0.7,66.1,5.4,87.7,2.88,-2.17,53.0,0.03359,0.5779,Clay
2018-04-11,11.6,0.15,72.4,8.7,81.5,1.99,-1.84,51.7,0.02898,0.5474,Clay
2018-04-12,8.4,2.11,76.8,2.0,81.3,2.13,-0.03,46.8,0.02465,0.3906,Clay
2018-04-13,12.6,1.22,66.6,3.7,79.6,2.53,-1.3,52.4,0.03082,0.4811,Clay
2018-04-14,14.3,2.23,75.8,2.7,77.5,2.45,-0.22,51.2,0.02831,0.4536,Clay
2018-04-15,12.7,8.26,74.3,2.7,81.8,2.17,6.09,42.8,0.02371,0.4213,Clay
2018-04-16,13.3,0.43,73.3,2.0,82.1,2.47,-2.04,59.2,0.03131,0.4648,Clay
2018-04-17,13.1,0.01,67.5,5.1,81.7,2.58,-2.58,49.5,0.02966,0.503,Clay
2018-04-18,15.0,0.22,61.8,5.8,81.3,3.16,-2.94,58.2,0.03126,0.5347,Clay
2018-04-19,16.3,1.69,85.8,5.3,78.2,3.56,-1.87,59.9,0.03769,0.5716,Clay
2018-04-20,13.4,3.31,77.0,7.7,79.5,2.47,0.84,47.2,0.02724,0.5267,Clay
2018-04-21,21.8,2.32,79.7,2.2,79.1,4.44,-2.12,53.4,0.03221,0.5174,Clay
2018-04-22,17.3,1.8,70.7,3.2,76.0,3.12,-1.32,50.6,0.02968,0.4866,Clay
2018-04-23,14.3,1.14,69.8,3.4,75.7,2.73,-1.59,55.9,0.03535,0.5091,Clay
2018-04-24,10.5,0.96,74.8,2.7,72.1,2.36,-1.4,54.2,0.02727,0.416,Clay
2018-04-25,14.9,1.21,56.0,2.1,71.4,3.07,-1.86,58.6,0.03112,0.4561,Clay
2018-04-26,17.1,2.4,61.5,4.2,72.2,3.54,-1.13,51.7,0.03219,0.5104,Clay
2018-04-27,17.2,0.46,63.7,6.5,71.4,2.7,-2.24,60.8,0.03378,0.5589,Clay
2018-04-28,9.3,3.67,66.2,8.4,64.2,1.93,1.74,49.5,0.02558,0.4756,Clay
2018-04-29,15.3,2.11,62.6,2.0,61.6,3.17,-1.07,58.0,0.03257,0.4492,Clay
2018-04-30,13.6,0.76,72.0,6.4,62.3,2.23,-1.46,49.9,0.03063,0.4993,Clay
2018-05-01,19.7,1.68,69.7,6.4,54.0,2.89,-1.21,60.3,0.03768,0.5664,Clay
2018-05-02,15.7,7.85,80.0,3.6,57.2,2.4,5.44,36.3,0.02073,0.3898,Clay
2018-05-03,8.5,0.05,88.4,1.9,56.7,1.74,-1.7,50.8,0.0284,0.3713,Clay
2018-05-04,16.6,0.52,58.2,10.0,57.0,3.6,-3.08,54.2,0.03234,0.5766,Clay
2018-05-05,9.7,1.37,69.2,5.1,57.2,1.51,-0.14,47.8,0.02421,0.4042,Clay
2018-05-06,17.0,2.32,69.0,9.4,56.6,2.71,-0.39,60.2,0.03338,0.5758,Clay
2018-05-07,23.6,0.54,67.4,4.1,54.2,3.88,-3.34,59.3,0.03256,0.5172,Clay
2018-05-08,20.0,5.98,58.6,3.7,59.2,3.2,2.78,46.9,0.03112,0.4882,Clay
2018-05-09,16.8,2.27,59.7,2.8,59.7,2.66,-0.39,41.3,0.02278,0.4013,Clay
2018-05-10,14.1,4.58,68.7,9.5,63.6,2.0,2.57,51.3,0.02928,0.5453,Clay
2018-05-11,20.0,0.86,59.0,2.9,64.3,3.34,-2.48,49.8,0.03093,0.4831,Clay
2018-05-12,18.2,3.76,67.6,0.9,66.0,3.81,-0.05,49.9,0.02755,0.4214,Clay
2018-05-13,15.5,1.0,64.1,4.3,65.7,3.0,-2.0,50.5,0.02746,0.4605,Clay
2018-05-14,14.8,0.61,66.9,3.6,64.1,3.07,-2.47,56.1,0.03038,0.4608,Clay
2018-05-15,13.8,4.99,57.9,2.9,60.8,2.38,2.6,52.5,0.02405,0.3961,Clay
2018-05-16,17.7,0.2,66.6,5.0,60.6,2.9,-2.71,50.6,0.02965,0.49,Clay
2018-05-17,15.4,5.74,58.0,3.5,66.3,2.97,2.78,40.9,0.02825,0.4529,Clay
2018-05-18,17.2,1.22,66.1,3.7,67.3,3.11,-1.89,54.5,0.03088,0.4861,Clay
2018-05-19,19.6,9.61,75.3,0.9,75.3,3.42,6.19,45.5,0.02618,0.4368,Clay
2018-05-20,15.5,1.5,66.4,4.7,73.5,3.33,-1.84,51.5,0.02904,0.4921,Clay
2018-05-21,18.9,2.71,66.7,2.0,73.8,3.09,-0.38,47.2,0.02867,0.4644,Clay
2018-05-22,20.7,0.01,70.4,2.6,72.1,3.32,-3.3,57.4,0.03641,0.5338,Clay
2018-05-23,18.3,1.28,52.4,5.6,72.2,3.49,-2.22,54.5,0.03054,0.5287,Clay
2018-05-24,19.2,2.46,77.1,3.2,73.7,3.6,-1.14,47.2,0.02904,0.4886,Clay
2018-05-25,18.4,2.77,54.7,2.3,75.3,2.95,-0.17,48.3,0.02844,0.4676,Clay
2018-05-26,17.3,0.31,70.0,4.7,73.2,3.12,-2.81,45.8,0.02745,0.4899,Clay
2018-05-27,19.8,0.96,68.7,2.6,73.7,2.94,-1.97,53.8,0.03313,0.5099,Clay
2018-05-28,22.2,0.95,55.3,3.0,70.9,3.92,-2.97,49.7,0.02842,0.4925,Clay
2018-05-29,20.0,0.19,70.3,4.9,69.0,3.36,-3.17,68.7,0.04015,0.5872,Clay
2018-05-30,16.9,1.0,66.0,5.7,69.3,2.96,-1.96,56.7,0.03406,0.542,Clay
2018-05-31,17.0,2.77,76.9,5.7,70.3,2.71,0.06,51.2,0.02965,0.515,Clay
2018-06-01,17.2,0.59,63.2,4.1,63.1,3.43,-2.84,58.3,0.03575,0.518,Clay
2018-06-02,20.5,0.93,60.5,4.0,64.0,3.65,-2.72,53.0,0.03146,0.507,Clay
2018-06-03,16.1,5.25,57.1,6.1,68.7,3.21,2.04,45.2,0.02826,0.5035,Clay
2018-06-04,14.6,0.05,47.0,2.5,67.4,2.66,-2.61,57.7,0.02917,0.44,Clay
2018-06-05,19.1,1.41,58.2,2.2,66.5,3.73,-2.31,49.8,0.03028,0.4672,Clay
2018-06-06,17.8,2.12,58.4,5.2,68.1,2.61,-0.5,54.4,0.02947,0.506,Clay
2018-06-07,22.2,2.2,62.5,3.7,64.3,3.84,-1.64,63.8,0.04124,0.5794,Clay
2018-06-08,11.1,1.91,48.8,5.5,63.9,2.52,-0.61,43.8,0.02403,0.4283,Clay
2018-06-09,18.5,1.94,58.1,2.9,61.3,2.68,-0.74,54.1,0.03139,0.4725,Clay
2018-06-10,16.7,0.09,64.4,3.3,60.5,3.04,-2.95,51.8,0.02857,0.4482,Clay
2018-06-11,20.3,1.12,65.0,7.3,57.9,3.72,-2.61,58.7,0.03663,0.5834,Clay
2018-06-12,17.1,2.2,44.5,3.8,59.1,2.95,-0.74,53.2,0.03227,0.4815,Clay
2018-06-13,16.2,0.14,64.9,4.8,58.6,3.23,-3.09,65.6,0.03754,0.5265,Clay
2018-06-14,20.8,0.02,57.1,1.9,53.6,3.92,-3.9,66.3,0.04137,0.5221,Clay
2018-06-15,21.8,2.34,57.4,2.4,55.8,3.59,-1.25,45.3,0.028,0.451,Clay
2018-06-16,17.7,1.71,39.8,1.1,51.7,3.04,-1.33,56.5,0.03341,0.4356,Clay
2018-06-17,17.8,0.72,70.5,3.8,51.2,2.81,-2.09,57.9,0.03567,0.4944,Clay
2018-06-18,21.8,3.77,59.8,9.9,45.4,3.87,-0.09,56.1,0.03781,0.6206,Clay
2018-06-19,21.5,1.92,46.0,7.0,45.8,3.78,-1.86,56.1,0.03463,0.5502,Clay
2018-06-20,21.1,4.49,61.1,5.0,47.6,3.66,0.82,51.3,0.03165,0.4994,Clay
2018-06-21,16.8,3.42,60.7,6.8,51.0,3.05,0.37,44.1,0.02759,0.4831,Clay
2018-06-22,16.0,0.84,67.5,4.8,50.6,2.65,-1.81,55.7,0.03042,0.4637,Clay
2018-06-23,22.9,1.77,55.1,3.5,49.9,3.51,-1.74,52.4,0.03183,0.4907,Clay
2018-06-24,19.8,1.38,57.6,2.4,48.5,3.61,-2.23,57.9,0.0339,0.4655,Clay
2018-06-25,15.7,2.06,52.2,5.1,50.2,2.8,-0.75,51.0,0.03013,0.4654,Clay
2018-06-26,17.6,1.89,62.0,2.5,51.2,2.84,-0.95,54.1,0.03228,0.4491,Clay
2018-06-27,18.2,0.2,50.8,3.8,50.4,3.01,-2.81,58.7,0.03821,0.5119,Clay
2018-06-28,17.6,0.32,49.8,6.4,50.6,3.42,-3.1,59.4,0.03791,0.5502,Clay
2018-06-29,17.0,0.36,56.3,2.0,49.9,3.31,-2.95,52.2,0.0275,0.4041,Clay
2018-06-30,21.6,1.99,46.9,2.0,49.1,3.94,-1.94,66.0,0.04082,0.518,Clay
2018-07-01,19.4,1.92,69.4,2.7,50.5,3.4,-1.48,54.2,0.0338,0.4717,Clay
2018-07-02,24.6,0.78,71.9,4.5,50.3,3.98,-3.2,59.6,0.03727,0.5541,Clay
2018-07-03,21.7,0.99,52.7,2.8,46.1,4.15,-3.16,56.6,0.03341,0.4765,Clay
2018-07-04,18.2,1.97,45.1,4.3,48.0,3.13,-1.16,46.8,0.0304,0.4628,Clay
2018-07-05,22.0,0.42,58.8,3.1,47.0,3.88,-3.46,60.8,0.03777,0.5141,Clay
2018-07-06,18.8,0.06,52.2,4.3,44.9,3.06,-3.0,57.3,0.03197,0.4714,Clay
2018-07-07,24.9,0.72,65.3,3.0,43.5,4.17,-3.45,61.3,0.04026,0.5389,Clay
2018-07-08,16.7,2.66,49.6,9.3,44.2,2.2,0.46,45.8,0.02763,0.511,Clay
2018-07-09,18.9,1.68,60.1,4.2,43.9,3.15,-1.47,51.3,0.02921,0.4509,Clay
2018-07-10,15.7,0.49,56.6,5.8,44.3,2.4,-1.92,55.2,0.0304,0.4667,Clay
2018-07-11,16.4,0.07,50.2,5.4,43.3,3.02,-2.95,56.1,0.03106,0.4678,Clay
2018-07-12,16.4,1.07,57.5,4.2,42.2,2.78,-1.72,52.0,0.03264,0.4561,Clay
2018-07-13,21.1,1.89,62.5,2.8,43.9,3.57,-1.69,54.7,0.03431,0.4743,Clay
2018-07-14,18.0,1.14,56.1,4.3,45.0,3.83,-2.69,62.5,0.0388,0.5132,Clay
2018-07-15,9.9,0.57,56.1,5.3,43.3,1.68,-1.11,54.5,0.03036,0.424,Clay
2018-07-16,17.5,0.14,48.3,4.0,41.7,3.16,-3.03,61.9,0.03502,0.4747,Clay
2018-07-17,14.2,2.48,64.4,1.6,43.5,2.7,-0.22,49.6,0.02675,0.3651,Clay
2018-07-18,15.8,0.33,63.6,0.8,40.0,2.58,-2.25,54.8,0.03386,0.4019,Clay
2018-07-19,20.5,0.26,51.9,3.3,38.3,3.9,-3.65,58.5,0.03614,0.4815,Clay
2018-07-20,12.9,1.72,54.1,2.2,35.6,2.94,-1.22,50.2,0.02783,0.3598,Clay
2018-07-21,13.2,4.02,66.4,7.4,36.2,2.84,1.17,48.9,0.02773,0.4466,Clay
2018-07-22,11.9,1.09,46.0,2.4,36.4,1.99,-0.9,59.6,0.03536,0.4085,Clay
2018-07-23,15.6,0.99,59.9,3.7,35.6,2.63,-1.64,62.0,0.03697,0.4602,Clay
2018-07-24,11.6,0.39,50.6,5.5,34.6,1.63,-1.25,59.4,0.03295,0.4392,Clay
2018-07-25,11.8,0.02,69.2,6.3,32.6,2.21,-2.19,55.9,0.03116,0.438,Clay
2018-07-26,15.8,0.21,55.5,4.1,30.9,2.84,-2.63,51.7,0.02874,0.4055,Clay
2018-07-27,17.4,0.88,65.1,2.4,31.6,3.34,-2.46,67.2,0.03947,0.4597,Clay
2018-07-28,13.6,0.16,48.9,3.0,31.5,3.07,-2.91,53.3,0.02968,0.3814,Clay
2018-07-29,17.4,2.15,45.0,3.8,33.2,2.73,-0.57,58.8,0.03439,0.4509,Clay
2018-07-30,16.5,0.21,53.1,3.5,31.5,3.02,-2.81,57.5,0.03239,0.4247,Clay
2018-07-31,17.7,0.74,57.1,3.4,30.3,3.09,-2.35,49.5,0.02648,0.3884,Clay
2018-08-01,12.9,0.72,51.0,2.1,30.2,2.39,-1.67,45.9,0.02783,0.3478,Clay
2018-08-02,21.9,0.93,61.1,7.5,30.2,4.25,-3.32,63.6,0.0399,0.5687,Clay
2018-08-03,12.4,0.4,53.4,1.0,28.6,2.39,-1.99,51.1,0.0282,0.3277,Clay
2018-08-04,13.9,2.09,38.5,3.9,30.3,2.74,-0.65,45.0,0.02498,0.3644,Clay
2018-08-05,17.2,0.6,59.6,9.3,30.8,3.22,-2.62,53.9,0.02881,0.4981,Clay
2018-08-06,15.9,1.23,48.1,5.2,31.3,2.95,-1.72,53.4,0.03309,0.4529,Clay
2018-08-07,18.0,1.03,52.3,3.4,29.7,2.97,-1.93,55.7,0.03538,0.449,Clay
2018-08-08,14.4,0.13,67.7,2.2,28.1,3.22,-3.1,57.8,0.03288,0.3883,Clay
2018-08-09,11.6,1.01,69.5,8.6,28.6,2.22,-1.22,48.8,0.02786,0.4445,Clay
2018-08-10,10.6,0.83,50.8,0.7,29.4,2.24,-1.41,52.8,0.02723,0.3072,Clay
2018-08-11,20.4,2.39,60.1,5.3,30.7,3.63,-1.24,61.1,0.03692,0.5054,Clay
2018-08-12,14.0,2.24,51.1,7.0,31.1,1.97,0.27,44.2,0.02382,0.41,Clay
2018-08-13,14.3,0.17,53.3,0.9,30.1,2.33,-2.16,56.7,0.03102,0.359,Clay
2018-08-14,20.1,0.09,50.8,5.6,29.6,3.55,-3.46,51.6,0.03044,0.4634,Clay
2018-08-15,13.1,0.37,41.9,11.9,29.9,2.21,-1.84,51.6,0.02834,0.5124,Clay
2018-08-16,14.5,4.67,56.6,5.0,32.1,2.8,1.86,51.9,0.02949,0.4203,Clay
2018-08-17,11.3,0.02,58.2,3.8,31.7,1.92,-1.89,43.6,0.02638,0.3593,Clay
2018-08-18,10.3,1.23,50.6,7.0,32.7,2.05,-0.82,62.1,0.03005,0.4323,Clay
2018-08-19,19.8,1.04,64.8,4.5,32.0,2.96,-1.92,47.4,0.02731,0.4274,Clay
2018-08-20,19.7,1.16,52.7,5.8,29.2,3.71,-2.55,45.0,0.02823,0.4485,Clay
2018-08-21,17.0,0.28,51.2,4.7,28.4,3.18,-2.9,55.9,0.03308,0.4464,Clay
2018-08-22,16.7,0.29,60.6,1.1,27.7,3.16,-2.87,53.6,0.02972,0.363,Clay
2018-08-23,15.9,0.65,44.2,2.6,28.0,2.86,-2.21,51.3,0.03396,0.4111,Clay
2018-08-24,11.3,0.12,63.9,1.6,28.0,1.99,-1.87,56.9,0.03709,0.3895,Clay
2018-08-25,14.3,0.09,53.5,1.9,27.9,3.11,-3.02,51.4,0.02935,0.3584,Clay
2018-08-26,11.8,0.11,64.8,0.8,27.2,2.76,-2.65,58.2,0.03052,0.3326,Clay
2018-08-27,5.4,1.02,67.3,3.8,28.0,1.29,-0.27,54.7,0.0283,0.3324,Clay
2018-08-28,16.4,0.61,62.2,2.4,26.5,2.79,-2.17,47.5,0.02537,0.3499,Clay
2018-08-29,14.6,0.43,50.8,6.8,26.7,2.17,-1.74,58.6,0.03437,0.4713,Clay
2018-08-30,8.8,0.47,47.4,5.8,26.4,1.89,-1.42,56.7,0.032,0.4066,Clay
2018-08-31,11.6,0.29,46.1,4.6,26.0,2.03,-1.74,61.2,0.03613,0.4304,Clay
2018-09-01,15.7,0.67,66.5,4.2,25.7,2.71,-2.03,54.1,0.03208,0.4185,Clay
2018-09-02,12.8,0.29,56.7,2.9,25.6,2.7,-2.41,50.7,0.02902,0.3601,Clay
2018-09-03,7.1,1.55,53.2,4.1,25.1,1.28,0.27,55.7,0.02784,0.339,Clay
2018-09-04,8.5,0.17,57.1,5.1,24.7,2.35,-2.17,54.6,0.02716,0.3569,Clay
2018-09-05,17.5,3.94,66.9,6.1,27.4,2.83,1.11,56.9,0.0294,0.4449,Clay
2018-09-06,12.0,0.13,64.7,1.6,26.5,1.69,-1.57,56.7,0.03191,0.3566,Clay
2018-09-07,14.9,3.91,62.1,5.5,30.3,2.54,1.38,47.1,0.02879,0.4217,Clay
2018-09-08,17.1,2.47,63.9,5.7,31.7,3.17,-0.7,47.0,0.02981,0.4478,Clay
2018-09-09,10.1,1.59,60.4,4.6,32.5,2.05,-0.46,50.4,0.0294,0.387,Clay
2018-09-10,12.4,3.44,61.6,2.6,33.5,2.41,1.03,52.6,0.02883,0.3665,Clay
2018-09-11,5.3,0.21,61.1,4.5,31.5,1.21,-0.99,44.4,0.02711,0.3407,Clay
2018-09-12,9.2,0.28,59.5,4.2,31.6,1.73,-1.45,50.9,0.02588,0.3519,Clay
2018-09-13,12.6,0.43,65.7,4.1,32.0,2.02,-1.59,45.1,0.02341,0.353,Clay
