Sample_ID,Soil_Type,Undrained_Shear_Strength_kPa,Plasticity_Index_PI,Liquid_Limit_LL,Plastic_Limit_PL,Compression_Index_Cc,Swelling_Index_Cs,Elastic_Modulus_kPa,Poissons_Ratio,Unit_Weight_kN_m3,Friction_Angle_deg,OCR,Permeability_m_s,Moisture_Content_pct,Cohesion_kPa
CLAY-0023,Clay,65.9,42.2,64.5,22.3,0.4966,0.0866,12108.0,0.449,17.54,23.1,1.72,1.64e-08,47.4,33.2
CLAY-0024,Clay,151.1,30.6,55.6,25.1,0.4329,0.0629,30834.0,0.394,19.21,29.9,3.1,7.56e-10,43.3,72.2
CLAY-0025,Clay,147.9,27.9,51.1,23.2,0.3696,0.0688,29433.0,0.404,19.14,28.3,1.36,5.51e-08,34.3,76.3
CLAY-0026,Clay,112.5,26.0,44.2,18.2,0.3079,0.0558,22200.0,0.39,18.28,29.8,2.22,1.09e-10,30.9,58.3
CLAY-0027,Clay,117.1,32.8,50.5,17.8,0.341,0.0796,23041.0,0.411,18.74,25.7,2.72,1.75e-10,36.2,58.8
CLAY-0028,Clay,102.4,52.8,69.7,16.9,0.5295,0.0666,19938.0,0.422,17.49,19.2,1.05,1.03e-10,31.3,49.5
CLAY-0029,Clay,61.2,13.2,34.5,21.3,0.227,0.0358,12843.0,0.355,16.73,33.0,1.88,3.51e-10,27.8,29.9
CLAY-0030,Clay,184.4,20.9,39.9,19.0,0.2753,0.0591,36254.0,0.335,19.38,27.3,2.6,6.95e-09,25.5,95.9
CLAY-0031,Clay,171.2,14.5,37.7,23.1,0.2404,0.0347,34025.0,0.371,19.36,32.6,1.31,3.39e-10,27.5,81.0
CLAY-0032,Clay,90.0,45.7,61.7,15.9,0.4788,0.0879,18641.0,0.461,17.57,23.5,1.74,6.30e-08,37.6,45.1
CLAY-0033,Clay,108.4,12.0,32.3,20.3,0.1865,0.0313,21105.0,0.349,17.72,28.2,1.15,3.22e-10,26.2,59.9
CLAY-0034,Clay,153.9,54.1,73.0,18.9,0.5981,0.1294,30428.0,0.42,19.76,21.2,2.4,4.88e-09,42.7,79.2
CLAY-0035,Clay,94.2,33.0,49.0,15.9,0.3169,0.0607,18438.0,0.415,18.6,27.4,1.85,1.35e-10,28.4,49.1
CLAY-0036,Clay,127.3,14.1,33.4,19.4,0.187,0.0448,25472.0,0.408,18.55,31.9,1.04,4.36e-09,23.8,58.4
CLAY-0037,Clay,116.6,32.8,54.5,21.7,0.3553,0.051,22865.0,0.43,18.89,21.3,2.52,2.17e-08,28.7,73.4
CLAY-0038,Clay,198.3,59.2,83.9,24.8,0.6628,0.1071,40378.0,0.467,19.76,18.9,2.4,2.61e-10,44.2,93.9
CLAY-0039,Clay,31.2,28.4,48.7,20.3,0.3239,0.0607,6489.0,0.4,16.16,26.0,1.4,1.39e-08,36.0,16.4
CLAY-0040,Clay,154.7,15.3,40.2,24.9,0.2656,0.0508,30550.0,0.348,18.63,29.2,2.13,3.45e-08,33.1,72.4
CLAY-0041,Clay,166.9,38.8,58.7,19.9,0.4545,0.0678,33122.0,0.41,18.78,24.4,1.87,8.33e-08,30.5,84.8
CLAY-0042,Clay,69.7,20.0,35.9,15.9,0.2411,0.0318,14165.0,0.438,17.09,27.5,2.42,2.95e-08,19.0,38.0
CLAY-0043,Clay,149.7,25.1,47.1,22.0,0.3413,0.0502,29233.0,0.39,18.46,27.8,2.73,4.26e-08,30.7,76.7
CLAY-0044,Clay,176.2,52.3,73.2,20.9,0.5624,0.1197,34512.0,0.436,18.99,19.5,2.11,3.64e-08,50.8,92.3
CLAY-0045,Clay,160.5,13.1,28.6,15.5,0.1876,0.0249,31068.0,0.377,18.88,29.0,1.52,4.63e-09,19.6,76.7
CLAY-0046,Clay,149.3,58.9,78.1,19.2,0.6218,0.0798,29748.0,0.459,19.41,15.2,1.0,2.32e-09,53.2,70.7
CLAY-0047,Clay,124.9,41.2,64.2,23.0,0.4673,0.1034,25589.0,0.401,18.98,21.1,2.12,9.07e-08,44.1,67.5
CLAY-0048,Clay,135.9,16.8,34.1,17.4,0.2138,0.027,26948.0,0.383,18.33,30.4,1.27,6.85e-10,22.2,62.4
CLAY-0049,Clay,182.6,57.1,75.3,18.2,0.5989,0.076,35834.0,0.413,20.05,17.3,1.86,4.42e-08,51.8,102.3
CLAY-0050,Clay,116.2,19.7,43.6,23.9,0.2753,0.0523,23812.0,0.395,18.61,29.2,1.48,3.48e-10,32.7,63.2
CLAY-0051,Clay,20.1,22.8,43.8,21.1,0.2884,0.0481,3974.0,0.414,16.44,27.5,1.8,1.31e-08,25.9,9.1
CLAY-0052,Clay,168.4,13.9,31.5,17.6,0.2409,0.0382,33179.0,0.366,19.79,31.4,1.0,2.09e-09,21.1,83.5
CLAY-0053,Clay,130.7,42.5,59.9,17.3,0.445,0.0842,26905.0,0.43,18.63,22.3,1.22,9.72e-10,25.7,75.2
CLAY-0054,Clay,20.4,36.4,53.7,17.3,0.3639,0.0678,4296.0,0.427,16.24,23.8,1.34,1.53e-09,32.9,13.6
CLAY-0055,Clay,50.6,47.6,70.2,22.6,0.5388,0.1332,10525.0,0.45,17.67,18.2,5.81,1.56e-09,34.3,25.7
CLAY-0056,Clay,131.8,38.4,58.9,20.5,0.4482,0.1005,26872.0,0.426,19.35,21.7,1.36,2.80e-09,38.0,68.3
CLAY-0057,Clay,44.1,51.3,68.1,16.8,0.5153,0.1278,8902.0,0.437,16.75,19.2,1.56,7.08e-09,24.6,18.7
CLAY-0058,Clay,78.6,25.0,47.2,22.3,0.3192,0.0621,16169.0,0.352,18.45,27.7,1.06,3.58e-10,30.6,40.2
CLAY-0059,Clay,158.4,26.4,45.9,19.5,0.3305,0.0499,31679.0,0.37,19.12,28.1,3.07,4.43e-08,33.3,73.5
CLAY-0060,Clay,121.1,46.7,64.2,17.5,0.4932,0.1136,23658.0,0.432,17.85,20.2,1.24,5.25e-08,39.1,64.1
CLAY-0061,Clay,124.0,22.5,41.4,18.9,0.3093,0.0564,24449.0,0.4,17.91,28.7,3.77,1.41e-08,26.5,63.9
CLAY-0062,Clay,179.8,19.8,43.8,24.0,0.3412,0.0458,36319.0,0.381,19.58,30.0,1.0,1.39e-10,27.0,86.4
CLAY-0063,Clay,62.6,52.2,78.5,26.3,0.6087,0.0989,12427.0,0.408,16.77,21.7,1.54,2.07e-10,46.4,28.4
CLAY-0064,Clay,100.0,22.8,41.0,18.2,0.3008,0.0397,19990.0,0.356,18.26,29.2,2.18,2.48e-08,21.8,53.0
CLAY-0065,Clay,154.0,40.3,61.6,21.3,0.4648,0.0641,31566.0,0.418,19.41,22.6,2.1,1.36e-09,35.9,80.0
CLAY-0066,Clay,62.6,49.2,64.6,15.4,0.5079,0.0832,13109.0,0.448,17.1,16.8,1.0,8.40e-09,43.1,40.3
CLAY-0067,Clay,55.5,32.8,53.0,20.2,0.3882,0.0858,10903.0,0.344,17.01,27.7,1.0,6.67e-09,30.2,34.0
CLAY-0068,Clay,147.9,37.7,53.7,15.9,0.4139,0.0714,29191.0,0.42,19.06,22.0,1.11,1.99e-09,22.5,79.5
CLAY-0069,Clay,101.1,27.3,49.7,22.5,0.3431,0.0501,20292.0,0.441,18.22,28.7,2.98,1.93e-10,36.2,58.1
CLAY-0070,Clay,56.0,23.1,45.4,22.3,0.3109,0.0493,11772.0,0.432,17.65,27.7,1.33,1.58e-10,30.8,26.9
CLAY-0071,Clay,68.1,49.1,71.6,22.5,0.5493,0.1013,14175.0,0.434,18.13,19.3,1.51,3.16e-10,46.9,31.7
CLAY-0072,Clay,98.0,24.5,44.8,20.2,0.2998,0.0426,19913.0,0.361,18.43,25.8,2.44,4.56e-10,24.6,44.9
CLAY-0073,Clay,16.8,31.0,50.3,19.3,0.35,0.0509,3723.0,0.382,16.54,27.2,1.47,1.64e-08,34.6,17.9
CLAY-0074,Clay,152.1,35.4,57.6,22.2,0.4567,0.107,31123.0,0.427,18.96,23.6,1.0,3.53e-10,37.9,78.0
CLAY-0075,Clay,33.4,53.0,73.9,20.8,0.5722,0.1,7273.0,0.482,17.14,17.9,1.0,7.23e-09,33.7,26.6
CLAY-0076,Clay,59.7,32.6,58.3,25.7,0.4177,0.0753,12006.0,0.396,17.07,25.7,2.06,3.21e-10,44.5,26.4
CLAY-0077,Clay,149.7,16.7,34.5,17.8,0.2069,0.0504,29983.0,0.42,19.18,29.8,3.18,1.07e-08,25.8,66.9
CLAY-0078,Clay,134.8,16.6,40.2,23.6,0.2585,0.0432,27250.0,0.352,18.51,28.4,1.12,1.81e-09,29.0,63.0
CLAY-0079,Clay,19.0,39.1,59.4,20.4,0.445,0.066,3000.0,0.373,16.6,21.1,2.7,1.70e-08,36.8,10.5
CLAY-0080,Clay,43.3,54.7,77.1,22.5,0.6052,0.0766,8369.0,0.421,17.3,18.1,1.73,2.58e-09,36.5,23.6
CLAY-0081,Clay,90.8,11.2,36.3,25.2,0.224,0.0396,17843.0,0.349,17.98,31.7,1.69,1.81e-09,29.8,57.0
CLAY-0082,Clay,52.0,53.0,76.5,23.5,0.5852,0.1003,10564.0,0.467,16.45,18.6,1.0,2.74e-10,32.1,31.1
CLAY-0083,Clay,33.6,53.0,73.6,20.5,0.5714,0.1044,6138.0,0.437,17.43,19.1,2.63,2.48e-08,38.1,12.1
CLAY-0084,Clay,160.5,46.8,68.3,21.5,0.5684,0.0868,31811.0,0.453,19.6,26.4,1.83,1.06e-10,32.0,88.7
CLAY-0085,Clay,149.9,50.4,70.4,20.0,0.5075,0.0878,29915.0,0.472,19.4,21.1,1.39,3.59e-10,40.8,73.8
CLAY-0086,Clay,127.5,54.1,71.4,17.3,0.5316,0.0691,25871.0,0.423,18.66,16.0,1.02,1.78e-09,35.4,62.3
CLAY-0087,Clay,125.8,15.4,34.9,19.4,0.2404,0.0411,25063.0,0.391,18.52,37.4,7.13,1.23e-09,26.7,70.1
CLAY-0088,Clay,112.8,32.4,47.1,14.8,0.3277,0.0666,23168.0,0.418,18.3,23.1,2.87,7.74e-08,24.6,61.4
CLAY-0089,Clay,158.9,44.0,66.6,22.6,0.4962,0.0914,31750.0,0.45,19.71,20.6,1.12,2.88e-09,43.7,79.4
CLAY-0090,Clay,117.4,39.4,58.6,19.2,0.4388,0.0848,24696.0,0.414,18.31,21.5,2.46,3.08e-08,32.3,63.9
CLAY-0091,Clay,50.1,20.7,40.0,19.3,0.2705,0.0568,10177.0,0.388,16.93,26.9,1.86,4.58e-08,26.5,18.6
CLAY-0092,Clay,47.7,32.0,52.3,20.3,0.359,0.07,9073.0,0.45,16.93,27.8,2.41,1.92e-08,38.9,27.3
CLAY-0093,Clay,136.7,36.6,58.2,21.6,0.3986,0.0759,27247.0,0.383,18.25,20.8,1.84,3.55e-09,42.2,61.4
CLAY-0094,Clay,177.2,27.3,45.9,18.6,0.3074,0.0389,34688.0,0.379,19.38,28.2,1.54,2.05e-10,32.1,83.0
CLAY-0095,Clay,195.1,43.3,69.3,26.0,0.5498,0.0765,39155.0,0.455,19.81,24.6,1.91,2.00e-09,43.6,100.0
CLAY-0096,Clay,103.5,54.2,66.2,12.0,0.5347,0.0703,21060.0,0.441,17.33,15.4,2.86,3.45e-08,37.1,55.8
CLAY-0097,Clay,152.9,22.9,44.7,21.8,0.324,0.0544,30815.0,0.369,19.06,28.4,2.96,6.07e-09,26.5,74.0
CLAY-0098,Clay,174.8,56.2,76.5,20.3,0.6062,0.0946,34312.0,0.456,19.79,18.5,1.0,1.96e-08,36.0,90.9
CLAY-0099,Clay,52.6,47.7,65.8,18.2,0.4965,0.0658,10130.0,0.412,17.69,21.7,1.11,6.27e-09,46.5,24.6
CLAY-0100,Clay,62.6,46.4,67.1,20.7,0.5139,0.1191,11721.0,0.427,16.39,17.7,1.0,4.34e-08,38.2,35.9
CLAY-0101,Clay,79.2,24.2,40.3,16.2,0.2746,0.0514,16312.0,0.372,17.64,24.7,1.73,1.42e-09,25.2,47.7
CLAY-0102,Clay,70.6,55.6,74.6,19.0,0.5805,0.0997,14292.0,0.441,16.95,17.4,1.0,7.07e-09,36.0,37.6
CLAY-0103,Clay,183.4,35.4,55.3,19.9,0.4004,0.0712,37511.0,0.434,20.02,24.2,1.79,1.24e-08,30.7,88.1
CLAY-0104,Clay,49.0,32.9,54.2,21.3,0.4227,0.0857,9321.0,0.404,17.78,24.7,1.11,4.05e-08,40.9,21.9
CLAY-0105,Clay,160.8,16.5,36.0,19.5,0.2086,0.0375,32628.0,0.37,19.73,28.4,2.74,1.49e-08,25.5,91.6
CLAY-0106,Clay,101.2,32.5,55.6,23.1,0.4118,0.0995,20700.0,0.409,17.93,26.7,3.34,8.13e-10,34.4,47.2
CLAY-0107,Clay,21.2,19.5,40.4,20.9,0.2764,0.0454,4674.0,0.379,16.36,30.3,1.43,1.72e-09,30.8,10.4
CLAY-0108,Clay,91.4,16.4,32.0,15.7,0.2053,0.0288,17445.0,0.375,17.94,31.1,1.94,2.37e-10,22.4,38.3
CLAY-0109,Clay,62.5,11.1,33.3,22.2,0.1836,0.0357,12681.0,0.353,17.88,31.4,1.19,9.98e-08,25.2,27.5
CLAY-0110,Clay,121.3,23.6,42.0,18.4,0.2898,0.0514,24478.0,0.383,18.4,26.9,1.64,7.21e-10,25.7,59.0
CLAY-0111,Clay,132.2,49.5,73.8,24.3,0.5624,0.0777,26040.0,0.424,18.15,20.9,2.63,8.06e-10,46.1,64.2
CLAY-0112,Clay,197.8,38.6,62.3,23.7,0.4711,0.1074,39824.0,0.393,20.32,21.1,3.23,1.43e-08,35.9,94.8
CLAY-0113,Clay,124.1,56.7,69.6,12.9,0.5157,0.0883,25620.0,0.447,19.04,19.2,3.62,1.73e-09,22.8,61.6
CLAY-0114,Clay,124.9,45.0,65.8,20.7,0.5386,0.1034,25823.0,0.443,18.64,23.8,1.82,8.84e-10,38.6,59.2
CLAY-0115,Clay,32.1,59.2,82.9,23.8,0.6426,0.1203,6392.0,0.435,16.22,17.1,2.25,9.43e-10,49.7,24.1
CLAY-0116,Clay,46.6,29.1,50.0,20.9,0.3223,0.0567,8517.0,0.383,17.59,31.6,2.81,1.67e-09,29.9,17.8
CLAY-0117,Clay,51.0,46.3,65.5,19.1,0.4934,0.0643,10632.0,0.407,17.16,20.6,1.0,1.60e-10,39.8,27.2
CLAY-0118,Clay,75.1,43.6,61.0,17.4,0.476,0.0641,15008.0,0.406,17.69,24.2,1.64,6.71e-09,34.7,37.1
CLAY-0119,Clay,142.9,56.2,75.4,19.2,0.6156,0.1168,29202.0,0.488,19.07,20.1,1.19,9.23e-10,29.5,69.4
CLAY-0120,Clay,91.9,55.4,71.5,16.1,0.5272,0.1239,18473.0,0.461,18.12,18.8,1.81,1.37e-09,42.7,44.2
CLAY-0121,Clay,24.8,30.1,50.3,20.2,0.3309,0.0771,4766.0,0.439,15.96,26.7,1.6,2.30e-10,30.1,9.1
CLAY-0122,Clay,144.0,51.9,70.7,18.8,0.5109,0.0699,28192.0,0.448,19.4,20.1,1.52,2.99e-09,33.1,68.2
CLAY-0123,Clay,20.9,16.8,35.0,18.2,0.2186,0.0523,4079.0,0.372,16.26,33.4,1.0,9.26e-10,21.8,10.6
CLAY-0124,Clay,143.5,47.1,69.2,22.1,0.5427,0.0847,27829.0,0.455,18.4,19.7,3.01,1.11e-10,36.6,65.7
CLAY-0125,Clay,135.8,56.7,75.1,18.3,0.5803,0.1314,27159.0,0.435,19.23,16.2,1.0,8.38e-08,27.2,72.8
CLAY-0126,Clay,196.8,25.4,44.8,19.3,0.3382,0.0468,40094.0,0.36,19.77,25.7,1.0,7.11e-09,32.7,85.6
CLAY-0127,Clay,68.6,49.7,69.7,20.0,0.5237,0.1176,13876.0,0.419,17.46,20.8,1.0,2.06e-09,40.0,34.6
CLAY-0128,Clay,85.3,39.5,60.1,20.6,0.4364,0.0894,17114.0,0.454,17.99,20.5,1.0,3.12e-09,40.0,42.5
CLAY-0129,Clay,74.0,10.7,29.7,19.0,0.1605,0.027,14828.0,0.372,17.68,32.6,3.33,4.89e-08,21.3,48.0
CLAY-0130,Clay,72.0,53.7,70.3,16.6,0.5399,0.0736,13035.0,0.477,16.61,19.5,1.0,1.11e-09,27.0,39.1
CLAY-0131,Clay,58.9,19.0,39.8,20.8,0.2337,0.0332,11467.0,0.392,16.79,33.7,3.6,4.09e-09,28.2,26.3
CLAY-0132,Clay,140.4,34.4,51.7,17.3,0.3922,0.0542,27770.0,0.416,18.13,22.5,1.26,2.62e-08,37.8,74.3
CLAY-0133,Clay,119.7,42.1,62.5,20.4,0.4408,0.1016,23872.0,0.459,17.66,26.2,1.73,3.77e-10,33.4,53.5
CLAY-0134,Clay,141.1,55.3,74.3,19.0,0.584,0.0943,27961.0,0.448,18.83,20.1,1.87,5.50e-08,29.8,70.4
CLAY-0135,Clay,167.5,48.5,67.9,19.5,0.516,0.0737,34216.0,0.411,19.8,21.3,1.0,1.07e-08,39.1,80.3
CLAY-0136,Clay,193.1,45.4,62.8,17.3,0.4754,0.063,38957.0,0.456,19.81,18.5,2.15,1.10e-09,28.2,87.5
CLAY-0137,Clay,165.7,36.7,54.3,17.6,0.3941,0.0861,32709.0,0.411,19.82,21.9,1.97,1.77e-08,39.2,85.6
CLAY-0138,Clay,21.6,11.7,31.7,19.9,0.1851,0.0307,3752.0,0.386,16.63,32.0,1.2,2.69e-09,24.9,-4.1
CLAY-0139,Clay,102.4,20.3,41.8,21.6,0.2814,0.045,20443.0,0.382,17.75,31.8,1.0,3.00e-10,29.7,47.0
CLAY-0140,Clay,52.6,54.7,72.6,17.8,0.5409,0.1053,10315.0,0.421,16.57,21.2,2.42,3.40e-09,41.1,29.9
CLAY-0141,Clay,159.7,34.5,54.3,19.8,0.4182,0.0722,32027.0,0.401,19.95,24.3,1.0,1.75e-10,27.2,80.2
CLAY-0142,Clay,139.2,29.8,52.0,22.3,0.3436,0.07,28093.0,0.374,18.93,25.2,1.09,3.84e-08,27.3,71.6
CLAY-0143,Clay,126.4,12.0,35.3,23.3,0.2514,0.0329,25148.0,0.389,18.25,29.2,1.0,3.78e-10,28.8,61.9
CLAY-0144,Clay,161.5,50.6,65.5,14.9,0.4961,0.0782,32398.0,0.421,19.53,22.3,2.65,5.98e-08,34.1,73.1
CLAY-0145,Clay,104.0,36.9,50.9,13.9,0.4093,0.0946,20011.0,0.419,17.7,24.9,1.97,5.68e-10,25.0,48.0
CLAY-0146,Clay,104.4,50.3,70.7,20.4,0.5393,0.1117,20437.0,0.44,18.14,19.5,1.42,5.17e-10,39.5,60.8
CLAY-0147,Clay,121.0,46.6,65.5,18.9,0.5226,0.0935,24343.0,0.426,18.25,19.5,1.44,1.84e-08,37.5,64.1
CLAY-0148,Clay,50.4,43.4,61.1,17.7,0.4778,0.0628,10703.0,0.404,16.63,23.7,1.93,7.11e-09,43.3,28.2
CLAY-0149,Clay,94.0,56.4,74.8,18.5,0.5842,0.0955,18424.0,0.444,17.8,19.5,1.6,1.06e-09,43.6,45.8
CLAY-0150,Clay,130.8,25.7,47.8,22.1,0.3207,0.063,25325.0,0.419,18.16,27.6,2.41,1.07e-10,29.0,65.1
CLAY-0151,Clay,118.6,45.1,65.5,20.5,0.481,0.088,23500.0,0.436,17.58,19.8,1.0,1.92e-08,38.2,56.4
CLAY-0152,Clay,143.2,38.4,56.0,17.6,0.4617,0.0645,28715.0,0.422,18.88,23.8,1.57,5.53e-10,32.6,60.8
CLAY-0153,Clay,65.4,58.1,75.9,17.7,0.6136,0.1282,13372.0,0.448,17.49,18.1,2.26,8.88e-09,35.5,30.3
CLAY-0154,Clay,32.8,25.3,45.5,20.2,0.3242,0.0486,6931.0,0.401,16.93,28.0,1.03,8.60e-08,26.4,21.8
CLAY-0155,Clay,191.6,29.6,55.6,26.1,0.3962,0.0505,38193.0,0.382,20.34,26.8,1.51,6.62e-10,37.6,97.7
CLAY-0156,Clay,184.5,47.3,71.8,24.5,0.5494,0.0987,37447.0,0.441,19.97,22.9,3.24,2.49e-08,32.1,89.7
CLAY-0157,Clay,129.1,44.4,67.3,22.9,0.5475,0.0698,25618.0,0.447,18.26,23.4,1.31,2.05e-09,38.5,64.4
CLAY-0158,Clay,199.2,23.3,48.0,24.7,0.3726,0.0566,40465.0,0.387,20.03,27.7,1.23,4.95e-09,31.2,97.2
CLAY-0159,Clay,147.8,49.5,70.2,20.6,0.5279,0.073,29081.0,0.445,19.18,19.5,1.78,2.71e-09,42.9,72.7
CLAY-0160,Clay,89.8,55.7,76.1,20.5,0.6244,0.0949,17838.0,0.41,17.63,23.6,2.18,7.81e-09,44.0,42.5
CLAY-0161,Clay,68.4,38.1,65.1,27.0,0.503,0.1201,13128.0,0.404,16.89,21.8,1.42,5.49e-10,32.8,39.9
CLAY-0162,Clay,134.0,23.3,41.6,18.3,0.2203,0.0462,26737.0,0.376,19.06,29.3,1.23,1.31e-10,24.8,62.5
CLAY-0163,Clay,187.9,10.6,27.9,17.3,0.1561,0.027,38107.0,0.323,20.74,31.7,3.53,3.69e-10,19.5,95.5
CLAY-0164,Clay,49.6,30.2,52.2,21.9,0.3855,0.0582,8959.0,0.39,17.73,28.5,1.21,5.97e-08,38.9,20.8
CLAY-0165,Clay,89.5,13.7,34.0,20.3,0.2152,0.0331,18776.0,0.368,18.01,31.5,1.87,3.69e-09,26.5,39.8
CLAY-0166,Clay,150.9,40.4,57.9,17.5,0.4002,0.0512,29378.0,0.424,19.02,23.6,2.63,1.07e-10,28.9,84.5
CLAY-0167,Clay,168.1,29.8,46.8,17.1,0.3071,0.043,34284.0,0.392,19.3,26.9,2.84,5.15e-09,30.4,88.2
CLAY-0168,Clay,96.6,52.1,77.9,25.8,0.6227,0.1298,19623.0,0.462,17.86,18.6,1.0,1.39e-10,39.7,44.2
CLAY-0169,Clay,165.4,29.8,47.7,17.9,0.3493,0.0561,32331.0,0.392,19.79,26.7,1.46,3.15e-08,30.7,80.2
CLAY-0170,Clay,63.5,16.8,35.2,18.4,0.2512,0.0367,12319.0,0.365,17.47,28.2,2.44,1.66e-10,24.1,26.6
CLAY-0171,Clay,50.6,34.1,57.4,23.3,0.3883,0.0677,9647.0,0.389,16.98,24.3,1.34,2.22e-10,32.3,25.1
CLAY-0172,Clay,180.0,20.7,40.3,19.7,0.2644,0.0448,36399.0,0.385,19.84,29.4,1.93,6.67e-08,25.6,95.4
CLAY-0173,Clay,61.0,24.9,52.5,27.5,0.3628,0.0565,12840.0,0.38,17.9,28.2,1.42,1.91e-10,40.6,31.8
CLAY-0174,Clay,81.2,41.5,65.1,23.6,0.4858,0.0779,16601.0,0.421,17.7,20.1,1.42,3.00e-09,44.6,43.7
CLAY-0175,Clay,72.9,52.5,79.6,27.2,0.623,0.1554,15139.0,0.449,17.6,13.5,1.0,2.61e-08,55.9,36.3
CLAY-0176,Clay,167.2,39.7,60.0,20.3,0.4034,0.0642,34422.0,0.394,19.14,23.4,1.19,1.37e-09,42.0,80.1
CLAY-0177,Clay,117.9,58.5,75.4,16.9,0.6067,0.087,23390.0,0.467,18.43,17.0,1.1,2.70e-08,35.8,54.8
CLAY-0178,Clay,51.1,44.3,58.8,14.5,0.4333,0.073,10530.0,0.446,17.01,24.1,1.97,5.44e-08,32.4,25.5
CLAY-0179,Clay,123.0,52.5,67.0,14.5,0.496,0.0739,23541.0,0.436,18.06,19.5,1.52,6.74e-08,25.7,67.3
CLAY-0180,Clay,143.7,48.0,72.3,24.3,0.5463,0.1172,28266.0,0.431,19.2,20.5,2.03,4.55e-09,48.5,68.7
CLAY-0181,Clay,33.1,24.4,46.5,22.1,0.3398,0.0786,6912.0,0.384,16.01,30.6,6.36,8.90e-08,34.1,14.8
CLAY-0182,Clay,73.3,27.3,45.4,18.1,0.3064,0.0513,15265.0,0.361,17.57,29.0,1.17,3.98e-08,22.6,44.8
CLAY-0183,Clay,143.4,46.9,70.7,23.9,0.5728,0.0775,28412.0,0.439,18.24,21.6,1.41,1.55e-08,35.6,72.6
CLAY-0184,Clay,180.2,22.9,50.0,27.1,0.3579,0.0565,35460.0,0.382,19.72,27.0,2.29,1.45e-08,36.7,92.9
CLAY-0185,Clay,184.0,34.0,53.0,19.0,0.3799,0.0522,36593.0,0.429,18.99,25.7,2.51,1.57e-10,30.9,91.8
