firm_id,city,subsector,ownership_type,age_years,employees,total_assets_million_ngn,foreign_equity_share,fdi_years,iot_use,skilled_labor_ratio,rd_spend_percent_revenue,liquidity_ratio,tax_incentives_support,regulatory_stability,infrastructure_support,corruption_experience,policy_effectiveness_index,knowledge_absorption,task_performance,innovation_capability,firm_resources,operational_efficiency_index,roi_percent,roa_percent,export_intensity_percent,export_intensity_ctrl_percent,market_share_percent
F071,Lagos,Dairy,Domestic,16,94,2507.13,0.014,0,1,0.488,6.04,1.88,7,6,6,3,83.33,3,4,3,3,86.7,16.92,10.16,55.32,13.86,19.03
F072,Lagos,Beverages,Foreign,52,110,5112.34,0.713,7,1,0.855,8.47,1.75,5,5,5,3,66.67,5,4,4,4,82.7,11.88,10.04,73.83,38.14,22.73
F073,Lagos,Confectionery,Domestic,33,31,843.44,0.001,0,1,0.281,3.74,1.5,3,3,3,4,37.5,3,3,4,3,66.68,10.92,8.01,48.07,8.9,15.99
F074,Lagos,Dairy,Foreign,28,88,2294.55,0.891,4,1,0.577,9.72,1.75,5,5,5,4,62.5,4,4,5,4,90.72,13.1,7.11,74.83,38.01,17.24
F075,Lagos,Bakery,Joint Venture,56,447,21589.65,0.296,0,1,0.505,5.06,0.81,3,4,4,5,41.67,3,3,3,3,81.33,6.95,5.67,56.16,30.85,28.61
F076,Lagos,Beverages,Domestic,33,174,4398.01,0.005,0,0,0.419,3.02,1.81,6,6,7,2,87.5,4,4,2,3,89.38,14.11,12.62,20.92,9.87,26.4
F077,Lagos,Beverages,Joint Venture,38,103,1353.4,0.564,3,1,0.633,7.57,1.19,4,4,3,3,50.0,4,4,4,4,74.62,18.91,13.03,70.44,29.03,28.75
F078,Lagos,Grains & Cereals,Domestic,36,63,929.96,0.004,0,0,0.414,2.57,1.82,4,2,4,6,33.33,3,3,3,4,82.41,8.91,8.22,27.94,8.65,19.39
F079,Lagos,Grains & Cereals,Joint Venture,21,66,612.71,0.654,7,1,0.624,8.84,2.21,4,5,6,3,66.67,4,4,4,4,79.34,14.84,5.51,68.23,29.91,21.07
F080,Lagos,Fruits & Vegetables,Domestic,11,16,80.41,0.005,0,1,0.368,5.02,1.99,6,5,4,4,62.5,3,3,3,3,77.2,8.35,4.52,45.32,13.9,17.19
F081,Lagos,Grains & Cereals,Domestic,67,111,2712.57,0.008,0,1,0.354,2.68,1.13,1,1,2,6,8.33,2,3,3,3,73.92,3.74,3.43,32.81,8.14,14.82
F082,Lagos,Beverages,Domestic,8,177,7012.02,0.003,0,1,0.395,3.89,1.43,4,5,5,3,62.5,3,4,3,3,100.0,10.12,7.66,58.5,17.62,22.1
F083,Lagos,Fruits & Vegetables,Domestic,26,26,988.16,0.002,0,1,0.34,3.68,1.4,4,4,5,2,62.5,3,3,3,3,80.06,10.06,4.33,36.53,22.01,14.17
F084,Lagos,Dairy,Domestic,54,53,341.68,0.004,0,0,0.509,2.68,2.45,5,6,6,2,79.17,3,3,3,4,97.27,12.42,8.4,39.25,20.51,8.56
F085,Lagos,Bakery,Joint Venture,11,36,1103.37,0.458,3,1,0.606,5.92,1.26,3,3,3,5,33.33,4,3,4,4,84.68,11.03,13.06,56.54,31.95,15.9
F086,Lagos,Bakery,Foreign,53,42,501.6,0.842,8,1,0.753,8.74,0.89,4,4,4,4,50.0,5,3,4,4,95.45,7.84,11.14,73.06,30.34,19.19
F087,Lagos,Fruits & Vegetables,Domestic,59,94,4450.75,0.002,0,1,0.369,4.35,1.91,4,4,3,5,41.67,3,3,3,3,79.55,9.51,7.36,43.87,12.33,19.35
F088,Lagos,Meat,Domestic,54,17,213.03,0.005,0,0,0.2,1.81,1.78,2,2,2,6,16.67,3,2,3,3,70.08,10.69,2.42,24.11,13.81,13.26
F089,Lagos,Dairy,Domestic,25,147,4880.22,0.0,0,0,0.351,1.57,1.96,2,3,3,6,25.0,3,3,3,3,87.74,6.96,2.08,25.55,16.2,24.89
F090,Lagos,Meat,Domestic,2,165,3247.32,0.001,0,0,0.354,2.64,2.04,5,5,6,2,75.0,3,4,2,3,91.69,11.78,4.87,37.09,25.67,15.87
F091,Lagos,Bakery,Joint Venture,71,74,2506.4,0.42,0,0,0.516,3.66,1.96,4,4,4,3,54.17,4,4,3,3,85.52,13.97,4.43,51.34,33.12,18.64
F092,Lagos,Grains & Cereals,Domestic,27,12,282.62,0.0,0,0,0.328,3.55,1.75,5,5,7,2,79.17,3,4,3,3,73.39,10.69,8.66,44.63,20.73,12.48
F093,Lagos,Meat,Domestic,65,41,1606.54,0.006,0,0,0.322,1.86,0.71,3,2,2,5,25.0,3,3,2,3,70.43,9.17,6.58,22.16,26.67,11.15
F094,Lagos,Beverages,Domestic,16,241,3706.72,0.016,0,0,0.316,3.29,1.61,5,4,5,3,62.5,4,3,2,3,93.56,7.31,4.97,31.36,15.55,17.8
F095,Lagos,Beverages,Domestic,13,10,457.61,0.022,0,0,0.31,3.47,2.05,6,6,5,3,75.0,3,4,3,3,85.61,15.83,8.64,41.01,14.73,11.65
F096,Lagos,Grains & Cereals,Domestic,63,68,1870.64,0.007,0,1,0.453,3.41,1.43,3,3,5,4,45.83,3,3,3,3,75.69,12.33,10.89,45.43,14.53,23.29
F097,Lagos,Beverages,Foreign,76,35,1365.85,0.826,4,1,0.631,8.84,1.81,5,6,5,1,79.17,5,4,4,4,82.13,16.02,16.15,76.32,36.07,20.76
F098,Lagos,Bakery,Foreign,69,171,7393.67,0.846,4,1,0.686,8.11,1.31,4,4,4,3,54.17,4,4,4,4,82.86,16.72,12.0,75.16,40.97,17.1
F099,Lagos,Bakery,Joint Venture,61,52,2597.26,0.441,7,1,0.53,4.5,0.9,2,1,2,5,16.67,4,3,4,3,85.02,9.58,6.92,61.88,13.75,25.86
F100,Lagos,Oils & Fats,Foreign,20,124,1869.62,0.771,2,0,0.728,6.27,2.15,2,4,3,5,33.33,4,3,4,4,74.63,11.32,10.85,65.23,32.05,22.34
F101,Lagos,Confectionery,Domestic,74,142,2543.24,0.001,0,1,0.426,3.28,2.03,3,3,5,4,45.83,3,3,3,4,91.14,16.26,10.98,33.24,13.09,17.1
F102,Lagos,Grains & Cereals,Foreign,54,391,6361.37,0.851,7,1,0.746,9.48,1.73,5,5,6,3,70.83,5,4,4,4,100.0,21.22,6.29,71.99,48.39,26.05
F103,Lagos,Beverages,Joint Venture,14,77,1295.85,0.316,7,0,0.598,5.73,1.95,6,6,6,3,79.17,4,4,3,3,80.07,12.22,13.46,41.11,32.4,20.23
F104,Lagos,Oils & Fats,Foreign,11,122,3807.62,0.976,8,1,0.862,8.94,1.44,4,5,5,4,58.33,5,4,5,4,100.0,14.72,10.33,78.09,38.79,21.19
F105,Lagos,Fruits & Vegetables,Joint Venture,70,27,1342.13,0.773,12,1,0.646,8.36,1.66,4,3,2,5,33.33,4,4,4,4,68.63,16.06,7.89,63.14,49.42,18.81
F106,Lagos,Grains & Cereals,Foreign,23,233,11548.07,0.844,6,1,0.542,8.52,2.13,4,4,5,3,58.33,4,4,4,4,100.0,14.8,8.9,76.53,41.86,25.79
F107,Lagos,Meat,Joint Venture,62,49,1406.53,0.443,5,0,0.486,3.86,1.14,4,4,4,4,50.0,4,4,4,4,84.2,14.91,10.13,50.44,27.77,19.97
F108,Lagos,Beverages,Domestic,12,57,1924.1,0.011,0,0,0.385,1.68,1.47,2,2,2,5,20.83,3,3,2,3,55.9,11.48,2.89,33.72,6.98,15.65
F109,Lagos,Bakery,Foreign,23,88,3845.48,0.927,9,1,0.655,9.16,1.76,4,4,3,4,45.83,5,4,4,4,100.0,12.58,9.45,69.27,38.17,20.35
F110,Lagos,Confectionery,Domestic,23,26,1221.53,0.001,0,0,0.546,2.19,2.02,4,6,5,4,62.5,4,4,3,3,85.96,14.17,10.33,31.31,20.2,8.04
F111,Lagos,Meat,Domestic,23,108,1530.76,0.012,0,0,0.383,2.3,2.09,4,4,4,3,54.17,3,3,3,3,76.84,12.34,7.84,43.17,15.2,22.47
F112,Lagos,Dairy,Foreign,54,195,5612.95,0.87,6,1,0.677,8.03,2.08,3,3,3,5,33.33,4,4,5,4,81.64,10.54,10.74,75.31,39.94,22.01
F113,Lagos,Beverages,Joint Venture,74,114,4842.45,0.659,7,1,0.755,9.09,1.8,5,6,5,3,70.83,5,4,4,4,79.18,12.72,10.53,71.4,37.32,24.54
F114,Lagos,Grains & Cereals,Joint Venture,73,25,466.1,0.775,0,0,0.572,4.21,1.54,2,2,1,6,12.5,4,3,4,4,92.61,9.19,9.55,50.53,23.98,16.53
F115,Lagos,Dairy,Domestic,60,82,2032.9,0.022,0,1,0.427,4.66,1.76,5,5,6,4,66.67,3,4,3,4,78.79,16.19,11.44,36.47,15.06,18.53
F116,Lagos,Confectionery,Foreign,17,163,8044.53,0.839,2,1,0.804,9.28,1.68,6,6,6,4,75.0,5,4,4,4,83.54,18.81,14.12,77.35,51.06,27.82
F117,Lagos,Fruits & Vegetables,Foreign,77,20,986.54,0.883,2,1,0.579,9.3,1.81,6,5,6,3,75.0,4,4,4,4,86.32,17.39,11.56,75.22,50.49,21.29
F118,Lagos,Grains & Cereals,Domestic,44,38,1739.44,0.002,0,1,0.299,2.67,1.53,2,2,3,6,20.83,3,3,3,3,62.05,11.12,8.22,33.86,11.55,16.01
F119,Lagos,Beverages,Domestic,44,181,7408.36,0.009,0,1,0.459,4.67,1.67,5,4,4,3,58.33,3,4,3,3,79.21,13.8,10.32,47.41,23.12,21.94
F120,Lagos,Grains & Cereals,Domestic,57,112,1916.42,0.002,0,0,0.34,2.28,1.07,3,2,4,5,33.33,3,3,2,3,84.62,10.63,12.66,18.26,8.35,25.31
F121,Lagos,Grains & Cereals,Foreign,62,125,2429.78,0.855,6,1,0.852,9.52,1.73,6,6,4,3,70.83,5,4,4,4,95.81,16.5,14.67,75.97,35.81,19.14
F122,Lagos,Grains & Cereals,Domestic,77,398,11791.84,0.006,0,0,0.276,2.43,1.46,3,4,4,4,45.83,3,3,3,3,81.36,12.74,6.46,27.98,23.75,23.99
F123,Lagos,Bakery,Joint Venture,47,131,3960.78,0.729,4,1,0.531,9.03,1.48,5,5,4,3,62.5,4,4,4,4,90.18,9.79,7.63,73.87,41.31,18.39
F124,Lagos,Beverages,Domestic,49,152,4217.64,0.01,0,0,0.478,3.68,1.83,6,5,5,1,79.17,3,3,3,3,81.08,10.89,7.8,34.08,14.74,24.06
F125,Lagos,Bakery,Joint Venture,60,787,26482.68,0.344,8,0,0.598,3.66,1.73,4,4,4,5,45.83,4,4,3,4,90.43,10.32,8.22,37.2,22.31,25.44
F126,Lagos,Meat,Domestic,21,76,1776.46,0.002,0,0,0.389,3.47,2.03,6,5,5,3,70.83,3,4,3,3,76.03,16.64,9.64,32.06,11.81,17.91
F127,Lagos,Beverages,Foreign,25,48,1858.22,0.773,6,1,0.701,8.88,1.48,5,5,6,1,79.17,4,4,4,4,83.43,19.6,9.25,75.93,42.45,16.63
F128,Lagos,Bakery,Domestic,51,127,2541.24,0.001,0,0,0.471,2.45,1.56,5,5,5,3,66.67,3,4,2,3,77.52,5.71,10.98,33.89,15.97,21.37
F129,Lagos,Bakery,Domestic,6,128,2544.7,0.01,0,0,0.324,1.57,2.07,3,4,3,5,37.5,3,3,2,3,71.88,15.24,2.59,27.28,13.33,14.62
F130,Lagos,Grains & Cereals,Foreign,26,59,632.78,0.792,3,0,0.547,4.2,1.28,2,2,3,5,25.0,4,3,4,4,86.48,11.28,4.09,69.74,27.6,10.03
F131,Lagos,Dairy,Joint Venture,58,39,526.19,0.476,5,1,0.528,7.08,1.48,5,3,4,4,50.0,4,3,4,4,88.67,16.08,8.65,65.15,29.06,21.17
F132,Lagos,Oils & Fats,Foreign,79,571,24709.13,0.765,6,0,0.694,5.37,1.28,2,2,3,5,25.0,4,3,4,4,79.69,12.93,6.51,64.68,30.97,16.69
F133,Lagos,Grains & Cereals,Domestic,42,117,2934.68,0.0,0,0,0.341,2.31,2.21,5,6,5,3,70.83,3,4,3,3,74.28,18.17,5.08,30.64,11.1,23.19
F134,Lagos,Beverages,Domestic,32,50,762.7,0.002,0,1,0.384,4.86,2.08,5,5,6,3,70.83,3,4,3,4,83.47,14.95,7.23,52.99,22.25,24.13
F135,Lagos,Grains & Cereals,Domestic,36,187,7324.86,0.001,0,1,0.396,3.81,2.07,4,5,3,4,50.0,3,3,3,3,100.0,8.03,5.29,45.07,25.94,22.12
F136,Lagos,Bakery,Domestic,55,82,2454.19,0.002,0,0,0.464,3.4,1.87,5,6,4,3,66.67,3,4,3,4,74.95,13.62,8.94,29.89,26.11,25.03
F137,Lagos,Oils & Fats,Foreign,44,74,440.45,0.933,5,1,0.68,8.12,1.2,2,3,2,4,29.17,5,3,5,4,83.73,14.39,8.1,70.62,45.21,20.19
F138,Lagos,Meat,Foreign,2,141,2712.31,0.901,5,1,0.634,8.25,2.04,4,3,3,4,41.67,4,4,5,4,89.78,14.13,8.61,76.58,39.3,26.36
F139,Lagos,Fruits & Vegetables,Foreign,44,32,414.88,0.924,3,1,0.767,8.12,1.72,2,3,4,5,33.33,5,4,5,4,82.62,15.97,10.52,72.9,40.56,16.52
F140,Lagos,Bakery,Joint Venture,33,119,4107.2,0.541,5,1,0.506,6.64,1.33,3,3,3,4,37.5,4,3,4,4,81.73,11.44,11.02,67.18,30.97,10.18
F141,Lagos,Meat,Foreign,57,416,7228.58,0.883,6,1,0.661,8.42,1.89,4,3,4,5,41.67,5,3,4,4,100.0,12.37,13.24,77.7,37.57,28.39
F142,Lagos,Meat,Foreign,71,131,1037.86,0.972,9,0,0.599,6.17,1.44,3,4,5,4,50.0,5,4,5,4,91.67,11.83,10.98,75.19,52.13,27.89
F143,Lagos,Oils & Fats,Domestic,77,67,500.63,0.011,0,1,0.324,4.94,2.02,6,4,3,3,58.33,3,3,3,3,88.64,11.1,7.83,55.71,7.35,19.43
F144,Lagos,Grains & Cereals,Domestic,49,60,1870.66,0.001,0,0,0.443,2.38,2.18,5,5,5,2,70.83,3,3,3,4,85.91,14.04,8.07,29.73,13.94,16.76
F145,Lagos,Meat,Foreign,30,65,388.54,0.787,3,1,0.678,8.27,1.32,3,4,4,5,41.67,4,4,4,4,91.91,7.23,10.82,75.35,42.64,22.28
F146,Lagos,Beverages,Joint Venture,36,73,3153.28,0.683,8,1,0.716,8.49,2.04,6,6,4,2,75.0,4,4,4,4,100.0,13.23,11.87,73.47,31.12,23.99
