Specimen_ID,Mix_ID,Curing_Age_days,Test_Type,Compressive_Strength_MPa,Tensile_Strength_MPa,Modulus_of_Elasticity_MPa,Dry_Density_kgm3,UPV_mps
R10S-56-A-3,R10S,56,Ambient,47.460918323582376,5.067762240030762,28323.082245919275,2298.6693577657757,4239.781764173355
R15S-7-A-1,R15S,7,Ambient,33.133024147714465,2.9304897675639645,21815.29761967418,2251.936293585306,4115.894894606944
R15S-7-A-2,R15S,7,Ambient,31.09971964945385,3.316167838165108,20678.984820647875,2285.925327708864,4064.9553425411164
R15S-7-A-3,R15S,7,Ambient,31.952052665357613,2.846782593842994,20932.716354033502,2286.7712505497166,4092.277266814969
R15S-28-A-1,R15S,28,Ambient,41.51351034320905,4.185226259536257,25292.77428955837,2286.68205239121,4068.812549470041
R15S-28-A-2,R15S,28,Ambient,39.535579593045945,4.558980529741611,26492.78623774826,2294.9694222768517,3953.5044167265855
R15S-28-A-3,R15S,28,Ambient,39.00190257603399,4.293622812520644,27204.9394021677,2301.964975746771,3983.5247322135115
R15S-56-A-1,R15S,56,Ambient,43.93851094523082,4.431293603339404,28532.11799599931,2262.8148154526493,4030.1235626037674
R15S-56-A-2,R15S,56,Ambient,41.13532019023106,4.016289989995458,26438.21050665352,2286.3085502247245,4077.6333099601484
R15S-56-A-3,R15S,56,Ambient,44.83051194355005,4.226294419364025,28061.90894904848,2342.019856998243,4028.5627965077256
R20S-7-A-1,R20S,7,Ambient,25.524263342859193,2.347712102872182,18712.56206651621,2234.994433608701,3937.6328483889683
R20S-7-A-2,R20S,7,Ambient,25.633575611438964,2.5452757872491714,19493.047790302327,2206.0674221670365,3833.9500899906643
R20S-7-A-3,R20S,7,Ambient,24.197437746817062,2.6021752209570357,19717.421307909823,2243.8792527390665,3802.832375260465
R20S-28-A-1,R20S,28,Ambient,33.63577367655258,3.1249962276321757,23141.42709746989,2214.397465328594,3904.540280038788
R20S-28-A-2,R20S,28,Ambient,33.59034914457467,3.4110353362209107,23996.407143721255,2209.140206157761,3982.1965600587223
R20S-28-A-3,R20S,28,Ambient,31.452588684140046,3.401976982907315,23472.683074839235,2326.301185390666,3940.1737195318715
R20S-56-A-1,R20S,56,Ambient,35.63906780977591,3.6305872566584316,24355.23525486202,2232.9379689200564,3950.808517601852
R20S-56-A-2,R20S,56,Ambient,35.964914174504585,3.241390025747208,23237.769419435175,2241.8339807222537,3862.14164326933
R20S-56-A-3,R20S,56,Ambient,38.66014596676185,3.0181899366228393,24103.986562647446,2229.4287262063167,3774.208162047207
R10L-7-A-1,R10L,7,Ambient,19.770891184656904,1.8822315021482396,16267.133551008072,2214.951150476563,3696.3522218055023
R10L-7-A-2,R10L,7,Ambient,18.065281282765184,1.8993515913279724,17030.988851134593,2247.166769965157,3701.1299739295637
R10L-7-A-3,R10L,7,Ambient,19.344299083423135,1.6471714590010191,17126.788934043212,2218.753533365517,3700.366015142371
R10L-28-A-1,R10L,28,Ambient,24.009349076959126,2.482789533779965,20403.989823184365,2173.5934790447727,3814.9316395627593
R10L-28-A-2,R10L,28,Ambient,24.581873455198814,2.4287582033258563,19477.33661394103,2208.909597641141,3882.409068021082
R10L-28-A-3,R10L,28,Ambient,23.423895057081193,2.6376792920582166,21697.724957610106,2166.5738607490116,3827.4348945413362
R10L-56-A-1,R10L,56,Ambient,25.614442779363046,2.7707377725493334,19822.541716055075,2217.0419491754456,3783.286457110967
R10L-56-A-2,R10L,56,Ambient,25.033403756053765,2.565803332488452,17755.125850503635,2194.44350066935,3673.1709268999284
R10L-56-A-3,R10L,56,Ambient,24.612284573671136,2.827207546457438,19233.004635584122,2202.876292700294,3716.9966634977263
