material,lattice,process,path_id,barrier_eV,prefactor_THz,method
Ni,fcc,vacancy_migration,vacancy_migration_Ni_09,0.9618,3.573,synthetic
Ni,fcc,solute_drag,solute_drag_Ni_00,0.2852,6.302,synthetic
Ni,fcc,solute_drag,solute_drag_Ni_01,0.3346,7.12,synthetic
Ni,fcc,solute_drag,solute_drag_Ni_02,0.3311,3.428,synthetic
Ni,fcc,solute_drag,solute_drag_Ni_03,0.0226,7.878,synthetic
Ni,fcc,solute_drag,solute_drag_Ni_04,0.3329,4.049,synthetic
Ni,fcc,solute_drag,solute_drag_Ni_05,0.3178,5.294,synthetic
Ni,fcc,solute_drag,solute_drag_Ni_06,0.439,2.765,synthetic
Ni,fcc,solute_drag,solute_drag_Ni_07,0.2863,5.552,synthetic
Ni,fcc,solute_drag,solute_drag_Ni_08,0.2806,5.537,synthetic
Ni,fcc,solute_drag,solute_drag_Ni_09,0.3692,7.519,synthetic
Ni,fcc,interstitial_migration,interstitial_migration_Ni_00,0.496,4.953,synthetic
Ni,fcc,interstitial_migration,interstitial_migration_Ni_01,0.352,4.161,synthetic
Ni,fcc,interstitial_migration,interstitial_migration_Ni_02,0.3765,8.255,synthetic
Ni,fcc,interstitial_migration,interstitial_migration_Ni_03,0.5255,5.982,synthetic
Ni,fcc,interstitial_migration,interstitial_migration_Ni_04,0.4431,6.02,synthetic
Ni,fcc,interstitial_migration,interstitial_migration_Ni_05,0.6021,3.369,synthetic
Ni,fcc,interstitial_migration,interstitial_migration_Ni_06,0.4703,4.791,synthetic
Ni,fcc,interstitial_migration,interstitial_migration_Ni_07,0.5108,5.911,synthetic
Ni,fcc,interstitial_migration,interstitial_migration_Ni_08,0.4783,3.052,synthetic
Ni,fcc,interstitial_migration,interstitial_migration_Ni_09,0.5936,2.954,synthetic
Al,fcc,vacancy_migration,vacancy_migration_Al_00,0.887,4.454,synthetic
Al,fcc,vacancy_migration,vacancy_migration_Al_01,0.8299,5.483,synthetic
Al,fcc,vacancy_migration,vacancy_migration_Al_02,0.5414,5.672,synthetic
Al,fcc,vacancy_migration,vacancy_migration_Al_03,0.7327,3.807,synthetic
Al,fcc,vacancy_migration,vacancy_migration_Al_04,0.7127,6.145,synthetic
Al,fcc,vacancy_migration,vacancy_migration_Al_05,0.667,7.352,synthetic
Al,fcc,vacancy_migration,vacancy_migration_Al_06,0.7608,4.547,synthetic
Al,fcc,vacancy_migration,vacancy_migration_Al_07,0.9227,1.865,synthetic
Al,fcc,vacancy_migration,vacancy_migration_Al_08,0.9341,5.739,synthetic
Al,fcc,vacancy_migration,vacancy_migration_Al_09,1.2107,3.327,synthetic
Al,fcc,solute_drag,solute_drag_Al_00,0.3499,5.88,synthetic
Al,fcc,solute_drag,solute_drag_Al_01,0.2818,2.965,synthetic
Al,fcc,solute_drag,solute_drag_Al_02,0.4154,4.129,synthetic
Al,fcc,solute_drag,solute_drag_Al_03,0.3932,3.046,synthetic
Al,fcc,solute_drag,solute_drag_Al_04,0.2133,3.613,synthetic
Al,fcc,solute_drag,solute_drag_Al_05,0.3358,3.788,synthetic
Al,fcc,solute_drag,solute_drag_Al_06,0.3507,1.281,synthetic
Al,fcc,solute_drag,solute_drag_Al_07,0.2061,1.33,synthetic
Al,fcc,solute_drag,solute_drag_Al_08,0.4062,4.75,synthetic
Al,fcc,solute_drag,solute_drag_Al_09,0.2547,4.467,synthetic
Al,fcc,interstitial_migration,interstitial_migration_Al_00,0.6069,7.266,synthetic
Al,fcc,interstitial_migration,interstitial_migration_Al_01,0.3255,5.903,synthetic
Al,fcc,interstitial_migration,interstitial_migration_Al_02,0.3329,2.42,synthetic
Al,fcc,interstitial_migration,interstitial_migration_Al_03,0.5755,4.815,synthetic
Al,fcc,interstitial_migration,interstitial_migration_Al_04,0.6371,5.952,synthetic
Al,fcc,interstitial_migration,interstitial_migration_Al_05,0.4072,5.236,synthetic
Al,fcc,interstitial_migration,interstitial_migration_Al_06,0.5109,7.672,synthetic
Al,fcc,interstitial_migration,interstitial_migration_Al_07,0.4311,9.738,synthetic
Al,fcc,interstitial_migration,interstitial_migration_Al_08,0.5811,6.459,synthetic
Al,fcc,interstitial_migration,interstitial_migration_Al_09,0.3639,4.863,synthetic
Ti,hcp,vacancy_migration,vacancy_migration_Ti_00,0.8466,5.662,synthetic
Ti,hcp,vacancy_migration,vacancy_migration_Ti_01,0.6944,5.014,synthetic
Ti,hcp,vacancy_migration,vacancy_migration_Ti_02,0.7318,4.448,synthetic
Ti,hcp,vacancy_migration,vacancy_migration_Ti_03,0.6951,5.269,synthetic
Ti,hcp,vacancy_migration,vacancy_migration_Ti_04,1.0421,6.57,synthetic
Ti,hcp,vacancy_migration,vacancy_migration_Ti_05,0.7686,5.947,synthetic
Ti,hcp,vacancy_migration,vacancy_migration_Ti_06,0.9479,4.558,synthetic
Ti,hcp,vacancy_migration,vacancy_migration_Ti_07,0.8296,2.324,synthetic
Ti,hcp,vacancy_migration,vacancy_migration_Ti_08,0.9347,5.739,synthetic
Ti,hcp,vacancy_migration,vacancy_migration_Ti_09,0.6391,4.596,synthetic
Ti,hcp,solute_drag,solute_drag_Ti_00,0.2729,5.534,synthetic
Ti,hcp,solute_drag,solute_drag_Ti_01,0.4792,4.301,synthetic
Ti,hcp,solute_drag,solute_drag_Ti_02,0.5558,6.241,synthetic
Ti,hcp,solute_drag,solute_drag_Ti_03,0.2976,4.292,synthetic
Ti,hcp,solute_drag,solute_drag_Ti_04,0.4326,5.992,synthetic
Ti,hcp,solute_drag,solute_drag_Ti_05,0.3648,4.642,synthetic
Ti,hcp,solute_drag,solute_drag_Ti_06,0.1551,3.907,synthetic
Ti,hcp,solute_drag,solute_drag_Ti_07,0.3708,5.385,synthetic
Ti,hcp,solute_drag,solute_drag_Ti_08,0.3537,3.67,synthetic
Ti,hcp,solute_drag,solute_drag_Ti_09,0.4129,4.864,synthetic
Ti,hcp,interstitial_migration,interstitial_migration_Ti_00,0.6427,4.519,synthetic
Ti,hcp,interstitial_migration,interstitial_migration_Ti_01,0.5789,5.146,synthetic
Ti,hcp,interstitial_migration,interstitial_migration_Ti_02,0.6423,6.379,synthetic
Ti,hcp,interstitial_migration,interstitial_migration_Ti_03,0.2934,4.625,synthetic
Ti,hcp,interstitial_migration,interstitial_migration_Ti_04,0.4812,2.941,synthetic
Ti,hcp,interstitial_migration,interstitial_migration_Ti_05,0.6005,4.412,synthetic
Ti,hcp,interstitial_migration,interstitial_migration_Ti_06,0.5291,4.173,synthetic
Ti,hcp,interstitial_migration,interstitial_migration_Ti_07,0.7343,2.944,synthetic
Ti,hcp,interstitial_migration,interstitial_migration_Ti_08,0.6594,2.757,synthetic
Ti,hcp,interstitial_migration,interstitial_migration_Ti_09,0.5095,5.567,synthetic
Cu,fcc,vacancy_migration,vacancy_migration_Cu_00,0.6144,6.118,synthetic
Cu,fcc,vacancy_migration,vacancy_migration_Cu_01,0.9327,6.991,synthetic
Cu,fcc,vacancy_migration,vacancy_migration_Cu_02,0.6767,5.029,synthetic
Cu,fcc,vacancy_migration,vacancy_migration_Cu_03,0.9002,4.986,synthetic
Cu,fcc,vacancy_migration,vacancy_migration_Cu_04,0.8735,4.903,synthetic
Cu,fcc,vacancy_migration,vacancy_migration_Cu_05,0.6968,4.91,synthetic
Cu,fcc,vacancy_migration,vacancy_migration_Cu_06,0.3021,8.14,synthetic
Cu,fcc,vacancy_migration,vacancy_migration_Cu_07,0.8163,4.891,synthetic
Cu,fcc,vacancy_migration,vacancy_migration_Cu_08,0.8787,7.45,synthetic
Cu,fcc,vacancy_migration,vacancy_migration_Cu_09,0.611,3.906,synthetic
Cu,fcc,solute_drag,solute_drag_Cu_00,0.6371,7.104,synthetic
Cu,fcc,solute_drag,solute_drag_Cu_01,0.3411,3.888,synthetic
Cu,fcc,solute_drag,solute_drag_Cu_02,0.3039,5.386,synthetic
Cu,fcc,solute_drag,solute_drag_Cu_03,0.4352,3.481,synthetic
Cu,fcc,solute_drag,solute_drag_Cu_04,0.198,5.431,synthetic
Cu,fcc,solute_drag,solute_drag_Cu_05,0.4196,4.359,synthetic
Cu,fcc,solute_drag,solute_drag_Cu_06,0.2057,3.294,synthetic
Cu,fcc,solute_drag,solute_drag_Cu_07,0.2791,5.53,synthetic
Cu,fcc,solute_drag,solute_drag_Cu_08,0.2497,6.497,synthetic
Cu,fcc,solute_drag,solute_drag_Cu_09,0.3397,6.929,synthetic
Cu,fcc,interstitial_migration,interstitial_migration_Cu_00,0.5599,5.431,synthetic
Cu,fcc,interstitial_migration,interstitial_migration_Cu_01,0.6623,2.515,synthetic
Cu,fcc,interstitial_migration,interstitial_migration_Cu_02,0.481,3.266,synthetic
Cu,fcc,interstitial_migration,interstitial_migration_Cu_03,0.5376,4.028,synthetic
Cu,fcc,interstitial_migration,interstitial_migration_Cu_04,0.4764,5.552,synthetic
Cu,fcc,interstitial_migration,interstitial_migration_Cu_05,0.577,4.634,synthetic
Cu,fcc,interstitial_migration,interstitial_migration_Cu_06,0.5351,5.16,synthetic
Cu,fcc,interstitial_migration,interstitial_migration_Cu_07,0.5792,8.365,synthetic
Cu,fcc,interstitial_migration,interstitial_migration_Cu_08,0.4709,4.17,synthetic
Cu,fcc,interstitial_migration,interstitial_migration_Cu_09,0.454,4.422,synthetic
