building_id,wall_material,roof_material,floor_material,window_material,insulation_type,insulation_thickness_mm,concrete_volume_m3,steel_volume_m3,wood_volume_m3
B_0032,steel,slate,stone,wood,cellulose,241.3,326.2,62.3,23.3
B_0033,composite,tile,stone,steel,natural_fiber,84.9,35.5,72.9,76.2
B_0034,composite,metal,wood,fiberglass,mineral_wool,229.5,40.1,64.5,67.1
B_0035,wood,membrane,stone,aluminum,cellulose,270.2,445.6,40.7,38.6
B_0036,composite,green_roof,vinyl,steel,cellulose,159.0,228.2,29.6,156.0
B_0037,brick,tile,carpet,fiberglass,mineral_wool,127.5,403.3,69.8,45.9
B_0038,brick,green_roof,concrete,aluminum,foam,132.6,103.9,50.5,127.4
B_0039,concrete,tile,wood,fiberglass,cellulose,193.9,454.4,42.8,143.3
B_0040,steel,slate,concrete,vinyl,fiberglass,134.2,499.9,93.3,198.7
B_0041,brick,tile,wood,steel,cellulose,62.0,202.3,68.8,120.2
B_0042,stone,slate,stone,fiberglass,foam,95.4,60.0,26.8,16.6
B_0043,wood,green_roof,carpet,wood,natural_fiber,271.3,120.6,2.3,75.2
B_0044,steel,membrane,tile,steel,foam,97.1,111.2,70.6,181.4
B_0045,brick,metal,vinyl,aluminum,cellulose,101.4,155.9,16.8,158.2
B_0046,steel,slate,stone,wood,foam,203.1,210.9,72.7,48.6
B_0047,wood,membrane,vinyl,wood,mineral_wool,170.5,25.6,52.4,155.4
B_0048,concrete,shingle,stone,fiberglass,mineral_wool,279.2,340.6,93.7,14.9
B_0049,concrete,shingle,stone,fiberglass,fiberglass,61.3,470.9,50.7,69.8
B_0050,wood,shingle,concrete,vinyl,fiberglass,176.2,264.9,85.4,6.3
B_0051,wood,shingle,tile,fiberglass,cellulose,61.4,277.9,50.0,116.7
B_0052,stone,slate,carpet,vinyl,cellulose,296.9,470.4,78.1,143.4
B_0053,stone,slate,tile,vinyl,cellulose,174.8,162.3,58.6,69.2
B_0054,wood,green_roof,tile,steel,fiberglass,212.2,159.5,68.6,14.1
B_0055,steel,metal,stone,vinyl,cellulose,297.4,446.0,12.4,79.9
B_0056,steel,green_roof,carpet,steel,foam,260.6,301.1,12.5,132.0
B_0057,stone,tile,tile,wood,mineral_wool,289.4,195.1,34.5,13.9
B_0058,wood,membrane,stone,aluminum,foam,275.5,377.4,87.1,69.2
B_0059,composite,tile,stone,aluminum,mineral_wool,107.3,162.6,72.3,96.1
B_0060,composite,shingle,stone,aluminum,foam,186.5,388.8,16.6,14.0
B_0061,wood,metal,wood,vinyl,cellulose,295.6,126.0,74.0,72.1
B_0062,stone,green_roof,carpet,wood,natural_fiber,193.5,68.2,68.4,93.5
B_0063,steel,tile,concrete,wood,cellulose,164.4,258.2,79.3,103.2
B_0064,composite,metal,wood,vinyl,cellulose,60.5,347.4,96.5,26.5
B_0065,steel,metal,tile,vinyl,mineral_wool,90.5,12.6,27.5,12.2
B_0066,concrete,metal,carpet,aluminum,foam,53.8,229.1,77.0,105.9
B_0067,steel,metal,wood,vinyl,natural_fiber,87.5,469.1,68.1,135.2
B_0068,composite,membrane,tile,vinyl,foam,190.7,366.0,71.2,153.8
B_0069,concrete,metal,concrete,fiberglass,cellulose,75.5,48.0,64.8,120.1
B_0070,brick,tile,wood,steel,mineral_wool,68.0,436.3,87.4,197.6
B_0071,composite,shingle,carpet,vinyl,natural_fiber,270.4,394.7,60.7,36.6
B_0072,stone,shingle,wood,fiberglass,fiberglass,143.2,446.2,22.0,90.0
B_0073,composite,membrane,wood,wood,mineral_wool,112.4,86.0,23.7,15.7
B_0074,steel,green_roof,vinyl,wood,cellulose,63.4,173.5,48.2,105.4
B_0075,brick,shingle,stone,aluminum,natural_fiber,245.6,241.8,54.8,62.2
B_0076,stone,membrane,carpet,fiberglass,cellulose,53.4,112.9,41.2,138.8
B_0077,brick,shingle,vinyl,wood,mineral_wool,154.1,148.4,71.2,179.7
B_0078,composite,slate,stone,aluminum,natural_fiber,193.2,362.7,94.0,157.8
B_0079,composite,shingle,stone,vinyl,cellulose,147.1,423.7,25.8,122.3
B_0080,wood,green_roof,stone,vinyl,foam,228.1,458.2,84.0,15.4
B_0081,composite,metal,vinyl,fiberglass,natural_fiber,295.1,430.4,44.7,130.6
B_0082,composite,slate,carpet,wood,natural_fiber,208.7,464.0,49.1,105.1
B_0083,wood,green_roof,wood,vinyl,foam,92.9,433.0,71.6,104.1
B_0084,wood,tile,wood,wood,mineral_wool,186.8,217.9,82.2,91.8
B_0085,steel,tile,stone,wood,fiberglass,88.8,137.8,99.6,124.4
B_0086,steel,metal,vinyl,fiberglass,cellulose,190.5,151.1,87.1,84.8
B_0087,brick,shingle,carpet,steel,foam,97.6,143.8,40.0,9.4
B_0088,brick,green_roof,vinyl,steel,cellulose,287.5,498.9,46.3,43.5
B_0089,stone,slate,concrete,aluminum,natural_fiber,80.3,386.7,48.7,54.3
B_0090,concrete,green_roof,concrete,fiberglass,natural_fiber,83.3,226.9,54.4,31.1
B_0091,brick,tile,wood,aluminum,foam,255.7,96.8,89.8,129.5
B_0092,composite,membrane,concrete,aluminum,natural_fiber,164.0,154.9,41.7,35.5
B_0093,brick,membrane,carpet,aluminum,cellulose,287.1,410.6,65.3,24.5
B_0094,composite,green_roof,wood,vinyl,foam,193.0,466.8,91.9,124.7
B_0095,composite,tile,tile,aluminum,natural_fiber,136.0,464.8,72.6,139.0
B_0096,composite,membrane,stone,wood,mineral_wool,128.3,305.6,12.6,91.3
B_0097,wood,tile,tile,aluminum,foam,239.8,358.4,94.3,165.9
B_0098,composite,shingle,carpet,vinyl,natural_fiber,190.2,460.2,6.2,106.0
B_0099,brick,tile,concrete,fiberglass,natural_fiber,286.5,69.3,18.6,81.0
B_0100,stone,membrane,wood,wood,natural_fiber,204.4,273.9,27.2,154.2
