building_id,timestamp,co2_ppm,tvoc_ppb,pm25_ugm3,temperature_c,humidity_percent,air_quality_index
B_0028,2020-01-01,741.4,69.6,11.5,18.6,43.2,243.2
B_0029,2020-01-01,887.3,49.3,16.4,19.8,45.2,279.2
B_0030,2020-01-01,573.0,32.3,25.4,23.0,57.8,210.1
B_0031,2020-01-01,848.2,81.0,15.8,19.8,53.2,284.1
B_0032,2020-01-01,418.9,18.6,1.6,21.8,57.5,117.1
B_0033,2020-01-01,844.5,112.3,2.9,19.7,30.7,273.0
B_0034,2020-01-01,787.0,72.4,7.7,21.6,52.8,248.3
B_0035,2020-01-01,548.8,60.5,7.3,22.5,51.5,182.0
B_0036,2020-01-01,706.9,4.5,11.5,21.4,32.2,201.9
B_0037,2020-01-01,953.1,16.6,41.7,26.0,41.4,330.1
B_0038,2020-01-01,893.6,2.0,2.3,23.6,65.8,229.0
B_0039,2020-01-01,806.8,66.7,2.4,21.9,43.9,239.9
B_0040,2020-01-01,625.0,3.6,2.2,20.7,47.1,162.4
B_0041,2020-01-01,1013.4,41.7,4.6,19.7,54.0,283.3
B_0042,2020-01-01,1168.1,116.3,12.6,21.5,41.1,375.4
B_0043,2020-01-01,808.9,0.5,4.9,23.1,56.1,212.2
B_0044,2020-01-01,905.7,48.9,4.8,21.7,31.1,260.5
B_0045,2020-01-01,821.0,41.3,4.2,21.3,43.4,234.3
B_0046,2020-01-01,1057.2,18.3,18.3,20.4,43.7,310.0
B_0047,2020-01-01,831.6,0.1,15.4,19.2,53.0,238.7
B_0048,2020-01-01,978.6,26.2,8.2,20.3,42.1,274.1
B_0049,2020-01-01,791.2,21.4,11.8,19.8,53.8,232.2
B_0050,2020-01-01,897.5,49.5,4.3,20.2,31.5,257.8
B_0051,2020-01-01,1435.3,24.3,3.7,21.4,48.9,378.4
B_0052,2020-01-01,773.9,4.8,38.6,21.0,53.0,273.2
B_0053,2020-01-01,669.5,84.8,12.8,25.6,49.5,235.3
B_0054,2020-01-01,1123.8,44.6,7.2,22.3,58.7,317.7
B_0055,2020-01-01,894.7,35.2,29.1,22.8,55.0,299.4
B_0056,2020-01-01,1099.7,31.2,0.1,23.0,56.9,290.8
B_0057,2020-01-01,532.6,83.0,4.4,18.1,36.7,183.4
B_0058,2020-01-01,895.6,276.8,1.6,23.7,70.0,365.5
B_0059,2020-01-01,1092.2,14.9,4.6,22.2,45.6,289.7
B_0060,2020-01-01,711.0,13.3,20.9,21.2,56.9,226.2
B_0061,2020-01-01,787.9,249.4,3.2,21.0,47.3,328.0
B_0062,2020-01-01,1008.6,37.5,6.0,24.6,40.4,282.9
B_0063,2020-01-01,1038.7,13.2,29.8,21.0,57.9,325.9
B_0064,2020-01-01,581.1,40.1,3.2,22.2,59.3,171.7
B_0065,2020-01-01,1016.8,1.5,5.2,20.5,70.0,265.3
B_0066,2020-01-01,549.9,6.7,11.6,22.6,58.6,164.0
B_0067,2020-01-01,791.2,13.1,30.5,22.2,40.8,265.5
B_0068,2020-01-01,627.3,44.8,13.1,26.0,61.6,205.5
B_0069,2020-01-01,641.7,37.8,10.2,21.0,63.8,199.8
B_0070,2020-01-01,1004.2,105.4,12.7,24.5,45.7,329.2
B_0071,2020-01-01,728.9,19.5,8.0,22.1,63.4,207.9
B_0072,2020-01-01,544.7,177.1,11.8,25.2,50.4,248.4
B_0073,2020-01-01,400.0,45.8,2.7,18.6,42.6,128.3
B_0074,2020-01-01,887.6,75.2,11.6,20.8,50.4,282.7
B_0075,2020-01-01,587.6,20.3,1.0,23.9,51.2,159.2
B_0076,2020-01-01,550.7,216.4,6.0,23.7,65.9,257.8
B_0077,2020-01-01,852.7,182.0,3.0,19.2,50.6,310.1
B_0078,2020-01-01,610.6,59.3,13.0,22.6,54.7,208.2
B_0079,2020-01-01,763.7,18.2,4.7,23.8,62.4,209.5
B_0080,2020-01-01,816.6,27.1,1.1,26.0,49.2,219.8
B_0081,2020-01-01,631.7,22.7,5.0,21.5,56.4,179.4
B_0082,2020-01-01,1013.9,9.0,7.3,22.8,53.7,272.6
B_0083,2020-01-01,696.0,53.8,2.3,22.7,32.9,205.5
B_0084,2020-01-01,785.9,159.0,15.7,22.4,34.3,307.4
B_0085,2020-01-01,572.9,8.0,12.4,21.2,52.8,172.1
B_0086,2020-01-01,756.4,2.2,11.9,25.7,50.0,214.0
B_0087,2020-01-01,649.9,48.8,0.6,24.4,55.8,188.0
B_0088,2020-01-01,621.4,59.8,28.2,20.0,54.6,241.7
B_0089,2020-01-01,531.1,88.6,11.3,20.4,58.0,199.7
B_0090,2020-01-01,1088.3,203.8,19.8,22.5,57.5,413.5
B_0091,2020-01-01,839.5,145.1,9.6,23.9,45.2,301.6
B_0092,2020-01-01,728.1,104.2,9.5,26.0,62.3,253.2
B_0093,2020-01-01,400.0,20.9,7.3,21.4,44.8,125.0
B_0094,2020-01-01,927.3,7.2,3.5,22.9,54.3,242.4
B_0095,2020-01-01,464.4,65.1,5.4,21.7,46.3,159.5
B_0096,2020-01-01,657.8,16.6,10.8,18.5,52.1,194.3
B_0097,2020-01-01,662.3,54.1,6.1,22.4,60.6,204.9
B_0098,2020-01-01,899.2,81.3,20.5,22.1,41.9,306.5
B_0099,2020-01-01,1160.9,87.2,7.8,22.0,46.6,349.3
B_0100,2020-01-01,911.8,6.9,1.3,23.0,49.5,234.0
B_0001,2020-01-02,1031.8,17.5,0.7,22.4,59.4,268.1
B_0002,2020-01-02,742.0,0.6,6.9,24.9,48.8,199.6
B_0003,2020-01-02,942.5,8.0,2.3,25.8,50.8,244.3
B_0004,2020-01-02,1070.1,58.1,5.4,25.0,54.2,307.4
B_0005,2020-01-02,624.6,20.5,4.2,24.7,66.3,174.8
B_0006,2020-01-02,700.6,71.9,12.0,22.8,49.4,235.1
B_0007,2020-01-02,1045.7,21.9,0.5,21.7,30.0,273.5
B_0008,2020-01-02,785.7,153.3,5.1,23.1,37.7,283.2
B_0009,2020-01-02,1065.1,18.1,1.7,21.2,53.1,278.8
B_0010,2020-01-02,726.1,97.5,6.4,22.1,30.2,243.0
B_0011,2020-01-02,747.3,69.6,0.8,20.6,47.4,223.2
B_0012,2020-01-02,1074.4,8.7,10.3,22.1,30.0,293.6
B_0013,2020-01-02,700.6,140.9,12.9,18.7,59.3,271.4
B_0014,2020-01-02,800.3,2.3,5.7,23.6,39.9,212.7
B_0015,2020-01-02,758.4,7.0,6.4,26.0,40.9,205.8
B_0016,2020-01-02,484.7,14.4,16.9,26.0,60.6,162.2
B_0017,2020-01-02,1248.5,31.8,1.8,24.1,30.0,331.6
B_0018,2020-01-02,1182.0,80.8,18.5,19.5,43.2,372.9
B_0019,2020-01-02,813.4,25.2,19.6,20.1,51.1,255.1
B_0020,2020-01-02,1055.8,41.0,7.0,24.0,37.8,298.4
B_0021,2020-01-02,632.3,45.7,23.1,23.3,49.7,227.0
B_0022,2020-01-02,856.1,10.6,1.9,24.3,47.2,223.1
B_0023,2020-01-02,477.5,0.9,8.0,19.0,39.8,135.8
B_0024,2020-01-02,478.7,16.3,3.4,20.2,51.1,134.5
B_0025,2020-01-02,483.8,4.5,12.3,23.2,45.4,147.7
B_0026,2020-01-02,859.1,46.0,50.0,18.9,41.8,337.8
B_0027,2020-01-02,913.1,13.1,2.3,19.4,43.9,239.5
B_0028,2020-01-02,965.2,22.5,4.8,23.7,61.2,262.2
B_0029,2020-01-02,843.4,39.3,31.2,23.5,30.0,292.9
B_0030,2020-01-02,400.0,61.4,9.9,19.9,42.8,150.4
B_0031,2020-01-02,669.6,13.0,3.7,23.3,69.7,181.3
B_0032,2020-01-02,981.2,5.6,11.9,23.4,41.6,271.9
B_0033,2020-01-02,705.2,90.7,13.6,19.7,48.0,248.9
B_0034,2020-01-02,961.7,36.2,18.9,23.9,39.3,296.3
B_0035,2020-01-02,591.8,12.2,2.4,22.7,47.5,158.9
B_0036,2020-01-02,805.4,32.0,9.0,20.4,56.5,235.3
B_0037,2020-01-02,400.0,120.8,8.5,21.5,63.8,177.4
B_0038,2020-01-02,797.5,60.4,15.1,18.0,36.4,259.7
B_0039,2020-01-02,740.5,80.9,5.5,23.1,62.7,236.6
B_0040,2020-01-02,863.9,11.1,21.4,19.0,50.1,264.4
B_0041,2020-01-02,676.3,23.5,6.9,21.2,49.7,194.6
B_0042,2020-01-02,835.9,10.0,14.7,18.9,53.6,243.4
B_0043,2020-01-02,1010.1,3.6,27.5,19.7,68.1,309.3
B_0044,2020-01-02,1307.4,131.7,2.6,20.6,57.5,397.9
B_0045,2020-01-02,761.0,57.5,9.8,22.7,45.7,238.5
B_0046,2020-01-02,801.2,24.4,7.9,20.4,47.4,228.4
B_0047,2020-01-02,982.9,84.0,8.2,21.9,50.1,304.2
B_0048,2020-01-02,861.0,138.7,14.4,20.5,60.4,313.4
B_0049,2020-01-02,980.9,25.2,2.1,20.9,45.7,261.9
B_0050,2020-01-02,949.5,14.7,2.9,19.6,51.7,250.6
B_0051,2020-01-02,623.5,26.8,8.9,20.4,43.1,187.2
B_0052,2020-01-02,491.8,12.4,2.9,22.8,45.5,135.0
B_0053,2020-01-02,1241.7,7.7,13.3,22.3,43.2,340.9
B_0054,2020-01-02,838.5,34.5,14.9,20.2,64.7,256.7
B_0055,2020-01-02,989.7,126.9,21.9,19.2,52.2,354.8
B_0056,2020-01-02,924.4,7.9,0.6,23.0,55.3,236.4
B_0057,2020-01-02,817.0,34.6,5.3,21.3,46.4,232.2
B_0058,2020-01-02,836.3,33.5,7.4,20.3,30.2,240.7
B_0059,2020-01-02,794.8,48.2,1.3,20.1,54.6,225.3
B_0060,2020-01-02,707.1,23.5,19.1,23.6,54.4,226.8
B_0061,2020-01-02,815.4,65.2,20.6,20.6,54.6,277.6
B_0062,2020-01-02,765.0,44.7,0.4,23.2,65.7,214.3
B_0063,2020-01-02,464.8,0.7,19.0,23.9,51.2,154.6
B_0064,2020-01-02,547.3,108.4,7.9,20.9,45.4,206.9
B_0065,2020-01-02,1022.7,16.2,3.9,24.8,45.6,271.5
B_0066,2020-01-02,679.8,29.5,2.9,20.6,55.3,190.5
B_0067,2020-01-02,643.6,2.9,0.7,19.8,56.2,163.8
B_0068,2020-01-02,1043.0,70.5,0.6,22.3,51.8,297.1
B_0069,2020-01-02,657.1,67.1,20.3,21.2,36.9,238.5
B_0070,2020-01-02,1000.4,13.0,11.4,21.9,66.3,279.5
B_0071,2020-01-02,729.0,111.3,9.3,18.9,60.4,256.4
B_0072,2020-01-02,904.1,22.5,0.9,20.5,49.3,239.0
B_0073,2020-01-02,562.8,105.9,11.6,22.7,55.7,216.9
B_0074,2020-01-02,602.8,45.1,2.8,20.4,44.0,178.9
B_0075,2020-01-02,1049.2,21.7,2.4,24.4,45.0,278.0
B_0076,2020-01-02,775.2,23.0,4.8,21.8,44.5,214.9
B_0077,2020-01-02,615.7,51.0,2.4,24.1,40.4,184.1
B_0078,2020-01-02,666.2,31.9,28.4,24.7,44.2,239.3
B_0079,2020-01-02,1076.3,112.3,5.0,22.2,34.7,335.2
B_0080,2020-01-02,498.6,39.1,6.2,23.2,33.4,156.6
B_0081,2020-01-02,800.3,7.5,22.0,23.3,55.1,247.8
B_0082,2020-01-02,643.0,10.0,2.3,21.0,38.9,170.3
B_0083,2020-01-02,776.0,45.9,12.7,23.2,47.8,242.2
B_0084,2020-01-02,981.1,26.9,10.2,18.1,52.2,279.1
B_0085,2020-01-02,848.6,1.2,6.2,23.3,57.0,225.1
B_0086,2020-01-02,486.4,16.6,9.5,23.4,48.0,149.0
B_0087,2020-01-02,1009.2,15.0,7.2,21.3,36.5,274.2
B_0088,2020-01-02,910.8,232.6,0.2,20.6,62.0,344.5
B_0089,2020-01-02,1121.7,42.9,5.0,23.5,45.0,312.0
B_0090,2020-01-02,677.0,60.6,22.1,21.5,58.7,243.8
B_0091,2020-01-02,518.6,3.0,7.2,21.6,48.0,145.5
B_0092,2020-01-02,1039.9,14.5,17.5,19.4,56.2,302.1
B_0093,2020-01-02,784.7,52.3,0.2,21.5,57.9,222.8
B_0094,2020-01-02,760.2,15.1,0.6,23.3,47.0,198.8
B_0095,2020-01-02,1042.4,165.2,0.1,22.2,46.7,343.5
B_0096,2020-01-02,426.0,3.6,5.4,18.0,70.0,119.1
B_0097,2020-01-02,838.3,94.3,6.8,24.5,51.1,270.4
B_0098,2020-01-02,763.1,75.9,7.3,20.6,58.8,243.4
B_0099,2020-01-02,470.8,8.7,1.3,21.9,37.9,124.6
B_0100,2020-01-02,930.8,5.7,10.1,21.7,44.4,255.8
B_0001,2020-01-03,1109.5,1.9,2.4,24.7,60.6,283.0
B_0002,2020-01-03,864.1,30.7,33.8,21.3,46.5,298.9
B_0003,2020-01-03,607.7,68.4,5.6,21.2,52.2,197.4
B_0004,2020-01-03,882.2,32.6,4.1,23.2,55.1,245.1
B_0005,2020-01-03,807.2,133.5,11.6,22.0,58.3,291.7
B_0006,2020-01-03,1059.4,4.0,6.6,21.4,70.0,280.0
B_0007,2020-01-03,891.1,53.6,18.0,20.3,46.3,285.6
B_0008,2020-01-03,585.0,52.4,4.6,23.6,38.3,181.7
B_0009,2020-01-03,929.8,21.8,11.2,20.5,60.9,265.7
B_0010,2020-01-03,694.0,135.5,5.2,22.1,43.4,251.7
B_0011,2020-01-03,608.5,64.3,10.7,20.5,58.3,205.7
B_0012,2020-01-03,762.6,15.4,1.7,23.4,45.2,201.7
B_0013,2020-01-03,1113.1,5.3,16.3,26.0,47.2,313.5
B_0014,2020-01-03,692.8,6.4,16.6,19.4,70.0,209.7
B_0015,2020-01-03,1312.5,130.2,22.7,24.2,62.5,438.6
B_0016,2020-01-03,844.5,2.4,6.2,22.5,56.7,224.7
B_0017,2020-01-03,589.0,123.5,9.8,18.9,31.5,228.5
B_0018,2020-01-03,736.9,99.0,27.9,25.3,59.7,289.5
B_0019,2020-01-03,835.3,141.8,16.3,21.0,43.6,312.3
B_0020,2020-01-03,1082.9,122.2,17.8,21.9,43.8,367.5
B_0021,2020-01-03,659.6,80.2,4.6,20.3,41.9,214.1
B_0022,2020-01-03,1000.0,22.5,0.9,20.8,39.1,263.0
B_0023,2020-01-03,754.6,1.2,24.7,23.3,53.9,238.6
B_0024,2020-01-03,994.1,33.3,11.9,19.0,54.5,289.0
B_0025,2020-01-03,797.3,51.6,3.2,20.7,54.4,231.5
B_0026,2020-01-03,927.4,6.8,3.4,22.5,39.3,242.1
B_0027,2020-01-03,872.0,0.1,5.0,25.6,37.8,228.1
B_0028,2020-01-03,504.9,14.9,4.3,20.5,54.2,142.2
B_0029,2020-01-03,617.0,8.7,2.4,23.2,43.3,163.3
B_0030,2020-01-03,643.8,47.7,12.7,22.2,42.9,210.2
B_0031,2020-01-03,538.8,9.2,14.8,22.6,62.0,168.8
B_0032,2020-01-03,823.4,53.7,10.1,24.3,47.8,252.9
B_0033,2020-01-03,934.5,54.7,16.7,21.4,40.0,294.4
B_0034,2020-01-03,725.9,49.8,0.7,20.8,63.2,207.7
B_0035,2020-01-03,827.6,22.3,8.4,20.2,46.1,234.8
B_0036,2020-01-03,942.8,48.3,3.4,22.5,48.6,266.7
B_0037,2020-01-03,809.5,7.8,44.0,20.3,39.8,294.4
B_0038,2020-01-03,841.9,48.7,5.6,19.6,49.1,246.0
B_0039,2020-01-03,1000.5,61.4,10.5,21.7,70.0,301.7
B_0040,2020-01-03,1022.3,5.3,6.7,22.0,45.0,271.6
B_0041,2020-01-03,926.1,43.8,18.7,19.7,46.4,290.9
B_0042,2020-01-03,511.3,5.1,10.1,25.6,45.5,150.6
B_0043,2020-01-03,717.4,14.5,12.0,22.8,48.5,210.6
B_0044,2020-01-03,843.6,11.2,3.3,22.6,54.0,223.1
B_0045,2020-01-03,840.1,13.5,3.2,21.0,57.8,223.2
B_0046,2020-01-03,896.1,31.3,3.1,23.8,50.5,245.9
B_0047,2020-01-03,951.6,7.3,20.7,21.8,42.1,283.0
B_0048,2020-01-03,842.3,87.9,1.8,19.2,46.3,258.1
B_0049,2020-01-03,766.5,15.9,8.1,18.8,54.8,215.7
B_0050,2020-01-03,771.7,86.0,1.5,21.9,30.0,239.0
B_0051,2020-01-03,695.0,5.0,16.4,19.9,68.7,209.0
B_0052,2020-01-03,779.5,19.5,13.9,24.7,31.2,232.3
B_0053,2020-01-03,1005.6,51.2,7.0,20.2,51.3,291.1
B_0054,2020-01-03,797.1,120.3,2.3,25.1,56.5,264.0
B_0055,2020-01-03,739.1,78.7,5.5,22.6,39.0,235.1
B_0056,2020-01-03,930.5,47.7,4.1,20.5,44.7,264.7
B_0057,2020-01-03,812.1,58.9,2.8,21.3,46.9,238.0
B_0058,2020-01-03,843.2,57.8,8.7,22.0,58.4,257.1
B_0059,2020-01-03,726.6,84.5,3.8,22.6,42.1,231.5
B_0060,2020-01-03,814.6,12.8,1.9,19.2,48.1,213.8
B_0061,2020-01-03,1062.5,11.9,9.6,18.0,62.9,290.7
B_0062,2020-01-03,489.1,38.9,2.5,20.1,36.9,146.8
B_0063,2020-01-03,948.5,132.3,8.8,19.8,52.0,320.9
B_0064,2020-01-03,596.3,3.0,0.2,25.1,45.0,150.9
B_0065,2020-01-03,657.1,29.3,27.5,22.1,68.9,233.9
B_0066,2020-01-03,1403.0,25.1,13.9,22.5,45.6,391.1
B_0067,2020-01-03,890.1,4.3,26.4,24.5,46.2,277.4
B_0068,2020-01-03,751.3,44.6,31.4,24.9,62.2,272.9
B_0069,2020-01-03,776.6,99.6,23.6,20.8,42.9,291.1
B_0070,2020-01-03,617.7,37.5,4.8,22.3,57.5,182.7
B_0071,2020-01-03,723.2,71.9,4.7,22.6,59.5,226.2
B_0072,2020-01-03,1006.2,21.3,6.1,25.3,39.8,274.4
B_0073,2020-01-03,805.7,25.4,0.5,23.2,41.4,215.1
B_0074,2020-01-03,876.2,74.8,3.0,21.2,53.2,262.4
B_0075,2020-01-03,531.4,33.6,17.1,20.5,46.2,183.8
B_0076,2020-01-03,635.0,53.0,6.4,22.8,56.0,198.0
B_0077,2020-01-03,777.8,29.3,1.3,21.2,59.1,211.7
B_0078,2020-01-03,793.7,3.3,39.0,21.9,65.6,278.1
B_0079,2020-01-03,660.0,4.1,4.8,22.1,46.0,176.6
B_0080,2020-01-03,502.9,45.3,2.5,21.6,69.9,153.5
B_0081,2020-01-03,825.5,37.8,3.3,23.3,51.3,231.9
B_0082,2020-01-03,694.1,63.5,23.4,24.9,44.5,252.1
B_0083,2020-01-03,939.1,87.9,3.4,24.3,66.5,285.5
B_0084,2020-01-03,796.9,27.9,38.0,24.3,66.6,289.1
B_0085,2020-01-03,450.4,18.4,2.7,22.5,55.2,127.1
B_0086,2020-01-03,691.1,26.8,12.9,24.2,49.1,211.9
B_0087,2020-01-03,671.9,4.9,25.0,22.0,49.1,220.5
B_0088,2020-01-03,569.6,75.9,6.7,21.7,46.4,193.7
B_0089,2020-01-03,1382.7,51.7,14.7,22.4,43.9,401.0
B_0090,2020-01-03,1023.4,93.4,9.9,20.8,36.0,322.4
B_0091,2020-01-03,643.4,137.5,8.8,24.1,45.1,247.2
B_0092,2020-01-03,744.0,99.9,2.7,25.5,41.0,241.3
B_0093,2020-01-03,1376.9,117.3,3.2,19.4,45.6,409.3
B_0094,2020-01-03,774.3,217.9,15.9,20.9,35.9,334.3
B_0095,2020-01-03,732.6,5.9,5.1,22.9,49.1,196.3
B_0096,2020-01-03,994.4,11.2,15.7,20.4,45.7,285.6
B_0097,2020-01-03,602.8,23.9,5.9,21.5,50.8,174.4
B_0098,2020-01-03,786.2,129.9,7.5,18.3,50.2,276.5
B_0099,2020-01-03,956.8,50.2,1.5,22.9,70.0,267.2
B_0100,2020-01-03,755.9,12.6,4.8,20.8,47.6,205.0
B_0001,2020-01-04,660.1,2.2,23.9,21.4,58.7,214.0
B_0002,2020-01-04,772.3,53.3,50.0,23.8,37.3,319.7
B_0003,2020-01-04,400.0,25.8,4.1,19.7,63.4,121.0
B_0004,2020-01-04,682.4,9.6,8.7,25.5,47.0,192.7
B_0005,2020-01-04,996.5,20.3,17.1,21.1,34.5,293.4
B_0006,2020-01-04,769.4,2.9,4.4,18.0,47.9,202.6
B_0007,2020-01-04,543.5,133.9,3.7,24.0,49.7,210.1
B_0008,2020-01-04,764.9,63.8,0.3,22.4,45.4,223.6
B_0009,2020-01-04,990.4,31.0,26.6,23.5,54.5,316.3
B_0010,2020-01-04,619.8,40.3,19.2,21.5,55.4,213.4
B_0011,2020-01-04,853.4,56.8,27.3,22.7,51.8,296.5
B_0012,2020-01-04,996.7,112.3,17.8,21.6,42.4,340.9
B_0013,2020-01-04,734.7,9.2,8.2,21.7,48.2,204.6
B_0014,2020-01-04,874.7,71.9,5.2,20.1,52.2,265.0
B_0015,2020-01-04,767.0,55.5,4.3,18.0,33.9,228.1
B_0016,2020-01-04,742.9,16.3,3.5,23.5,56.6,200.9
B_0017,2020-01-04,689.7,11.1,8.8,25.6,42.9,195.6
B_0018,2020-01-04,948.7,37.9,9.3,21.2,44.8,274.7
B_0019,2020-01-04,1109.0,3.6,1.7,20.4,45.1,282.5
B_0020,2020-01-04,1069.1,7.5,0.4,18.7,50.8,271.9
B_0021,2020-01-04,787.9,118.1,8.7,19.8,59.4,273.4
B_0022,2020-01-04,854.7,68.0,17.8,24.9,39.2,283.4
B_0023,2020-01-04,1030.1,46.0,10.7,21.7,38.3,301.9
B_0024,2020-01-04,1443.5,97.4,0.2,20.9,33.1,409.9
B_0025,2020-01-04,1012.9,11.4,3.4,25.8,53.6,265.7
B_0026,2020-01-04,704.1,8.0,31.0,18.0,57.4,242.0
B_0027,2020-01-04,1110.8,2.2,3.0,21.7,42.1,284.8
B_0028,2020-01-04,754.8,26.7,25.3,24.9,33.2,252.7
B_0029,2020-01-04,501.5,65.3,6.9,23.3,54.4,171.8
B_0030,2020-01-04,712.5,4.8,10.9,18.0,52.3,202.3
B_0031,2020-01-04,685.7,128.8,5.2,18.0,54.9,246.3
B_0032,2020-01-04,776.7,25.4,4.5,23.6,44.2,216.0
B_0033,2020-01-04,1192.8,88.7,22.1,21.5,57.2,386.8
B_0034,2020-01-04,814.1,20.1,3.8,20.1,54.2,221.1
B_0035,2020-01-04,777.4,85.9,7.6,23.2,52.3,252.6
B_0036,2020-01-04,949.4,69.0,3.3,23.3,65.3,278.4
B_0037,2020-01-04,400.0,59.7,7.7,22.3,53.7,145.3
B_0038,2020-01-04,939.8,35.2,6.0,20.4,54.5,264.6
B_0039,2020-01-04,400.0,21.4,2.0,22.0,34.9,114.6
B_0040,2020-01-04,745.8,29.0,1.5,21.8,48.3,203.9
B_0041,2020-01-04,472.7,7.7,2.1,21.3,35.5,126.3
B_0042,2020-01-04,684.6,118.9,11.4,24.2,55.8,253.5
B_0043,2020-01-04,400.0,20.1,4.6,23.6,46.3,119.2
B_0044,2020-01-04,895.2,27.9,5.3,23.7,30.0,248.4
B_0045,2020-01-04,714.4,39.8,1.1,21.4,53.7,200.8
B_0046,2020-01-04,812.1,22.9,30.7,20.0,70.0,275.8
B_0047,2020-01-04,752.7,16.9,19.6,21.9,70.0,235.8
B_0048,2020-01-04,400.0,85.7,7.6,22.2,48.2,158.0
B_0049,2020-01-04,975.4,54.4,25.2,21.0,55.5,321.4
B_0050,2020-01-04,711.4,104.4,3.0,21.0,35.0,236.0
B_0051,2020-01-04,979.7,3.0,19.4,22.0,37.8,285.3
B_0052,2020-01-04,1059.4,59.3,1.2,21.4,42.2,296.8
B_0053,2020-01-04,749.4,39.9,11.2,21.4,54.0,229.8
B_0054,2020-01-04,972.4,101.0,5.0,26.0,59.7,303.7
B_0055,2020-01-04,622.0,25.8,2.7,23.4,30.6,173.8
B_0056,2020-01-04,400.0,55.2,31.8,20.9,45.0,191.2
B_0057,2020-01-04,579.3,1.3,2.2,21.1,31.3,149.9
B_0058,2020-01-04,941.1,286.1,23.6,21.9,49.2,425.5
B_0059,2020-01-04,628.6,46.1,0.0,22.6,58.8,180.3
B_0060,2020-01-04,1134.7,103.0,13.0,22.6,49.3,361.1
B_0061,2020-01-04,568.9,20.6,14.5,20.7,63.4,181.6
B_0062,2020-01-04,1338.8,181.9,11.2,20.3,57.0,448.1
B_0063,2020-01-04,888.2,19.1,5.7,21.2,59.3,243.0
B_0064,2020-01-04,542.9,40.9,0.8,21.4,66.8,157.8
B_0065,2020-01-04,762.8,29.5,0.2,21.9,47.2,205.9
B_0066,2020-01-04,1103.0,2.8,32.2,23.1,50.5,341.6
B_0067,2020-01-04,572.0,25.9,41.1,21.1,52.2,238.1
B_0068,2020-01-04,941.3,37.1,13.0,22.0,30.0,279.8
B_0069,2020-01-04,1104.5,0.1,8.9,20.9,42.0,294.1
B_0070,2020-01-04,685.7,110.8,12.4,20.6,52.3,251.5
B_0071,2020-01-04,895.1,63.0,15.8,24.1,43.1,286.9
B_0072,2020-01-04,541.8,7.4,13.2,20.7,39.3,165.5
B_0073,2020-01-04,779.9,16.0,1.0,25.1,40.0,205.0
B_0074,2020-01-04,605.4,58.1,5.3,20.4,43.0,191.1
B_0075,2020-01-04,674.8,58.3,0.5,23.6,55.1,198.8
B_0076,2020-01-04,653.1,103.1,4.6,19.5,42.0,223.9
B_0077,2020-01-04,835.5,0.8,4.4,23.1,53.0,218.0
B_0078,2020-01-04,923.9,52.5,2.3,22.8,47.9,261.8
B_0079,2020-01-04,587.3,29.8,0.9,24.8,56.3,163.6
B_0080,2020-01-04,973.1,112.8,10.9,20.3,70.0,321.5
B_0081,2020-01-04,645.5,29.0,21.2,25.4,59.8,218.2
B_0082,2020-01-04,1313.6,26.4,2.6,22.7,56.2,346.8
B_0083,2020-01-04,973.4,69.1,0.6,20.8,54.0,279.1
