building_id,timestamp,total_consumption_kwh,heating_kwh,cooling_kwh,lighting_kwh,appliances_kwh,hvac_kwh,other_kwh
B_0012,2020-01-02,123.26,55.39,19.9,20.37,27.82,28.25,0.0
B_0013,2020-01-02,107.73,39.11,21.5,14.3,28.55,21.78,0.0
B_0014,2020-01-02,134.25,50.95,24.58,19.9,37.22,22.31,0.0
B_0015,2020-01-02,114.46,47.44,17.39,19.59,28.31,21.57,0.0
B_0016,2020-01-02,166.4,54.4,25.85,22.96,41.75,34.74,0.0
B_0017,2020-01-02,132.32,59.41,19.15,21.5,26.61,25.08,0.0
B_0018,2020-01-02,163.42,74.02,25.87,26.89,47.79,33.42,0.0
B_0019,2020-01-02,173.32,65.24,33.78,30.71,35.0,30.72,0.0
B_0020,2020-01-02,141.27,65.39,27.87,19.29,34.5,32.87,0.0
B_0021,2020-01-02,82.28,32.12,14.96,10.92,17.88,18.28,0.0
B_0022,2020-01-02,167.7,61.52,32.0,21.46,43.77,39.82,0.0
B_0023,2020-01-02,205.91,76.13,41.35,30.24,41.49,40.05,0.0
B_0024,2020-01-02,170.24,80.65,31.47,24.57,46.38,40.14,0.0
B_0025,2020-01-02,196.7,69.21,41.13,28.36,51.19,35.68,0.0
B_0026,2020-01-02,107.8,50.05,15.77,16.95,31.33,22.01,0.0
B_0027,2020-01-02,197.65,71.67,36.38,23.86,47.92,35.94,0.0
B_0028,2020-01-02,133.73,48.49,25.13,16.41,30.98,26.61,0.0
B_0029,2020-01-02,125.6,56.4,25.78,16.75,26.66,24.55,0.0
B_0030,2020-01-02,135.93,43.61,20.24,21.35,28.85,31.08,0.0
B_0031,2020-01-02,126.01,50.58,19.03,16.19,34.13,27.43,0.0
B_0032,2020-01-02,101.75,42.3,19.37,16.99,29.92,18.18,0.0
B_0033,2020-01-02,183.46,68.22,37.91,28.56,43.27,43.13,0.0
B_0034,2020-01-02,151.37,70.81,27.73,25.53,31.95,35.56,0.0
B_0035,2020-01-02,151.4,69.31,23.6,19.73,43.28,24.48,0.0
B_0036,2020-01-02,134.61,45.52,25.0,21.35,37.34,24.89,0.0
B_0037,2020-01-02,160.14,65.72,33.02,25.75,39.97,38.21,0.0
B_0038,2020-01-02,99.3,37.8,19.82,15.38,29.28,18.71,0.0
B_0039,2020-01-02,161.61,73.37,31.28,25.83,38.28,34.57,0.0
B_0040,2020-01-02,140.75,57.19,27.15,23.91,28.54,23.48,0.0
B_0041,2020-01-02,166.7,65.09,30.57,28.45,34.86,32.65,0.0
B_0042,2020-01-02,59.66,24.68,12.19,8.38,17.7,13.18,0.0
B_0043,2020-01-02,162.86,66.22,24.38,23.66,40.66,35.87,0.0
B_0044,2020-01-02,172.24,56.02,34.82,25.22,44.65,29.4,0.0
B_0045,2020-01-02,156.64,60.54,32.53,20.73,42.89,31.24,0.0
B_0046,2020-01-02,93.06,33.19,15.43,11.3,19.65,21.93,0.0
B_0047,2020-01-02,132.01,45.86,19.19,20.25,35.39,30.79,0.0
B_0048,2020-01-02,146.57,67.92,30.13,19.34,43.54,29.18,0.0
B_0049,2020-01-02,164.49,56.94,28.01,19.94,33.91,31.39,0.0
B_0050,2020-01-02,169.99,67.64,25.38,26.6,40.72,28.02,0.0
B_0051,2020-01-02,108.68,35.33,17.13,17.34,23.08,24.68,0.0
B_0052,2020-01-02,134.75,52.23,22.83,23.69,30.6,22.09,0.0
B_0053,2020-01-02,175.27,72.06,31.22,21.34,43.4,36.17,0.0
B_0054,2020-01-02,163.42,64.58,24.37,28.97,40.26,29.05,0.0
B_0055,2020-01-02,148.18,63.07,23.24,26.38,44.13,32.04,0.0
B_0056,2020-01-02,154.31,61.7,32.97,20.93,42.1,27.21,0.0
B_0057,2020-01-02,190.95,65.02,30.95,31.41,47.24,42.48,0.0
B_0058,2020-01-02,109.22,47.02,20.92,13.13,30.79,20.81,0.0
B_0059,2020-01-02,106.2,42.08,20.98,16.88,25.17,18.54,0.0
B_0060,2020-01-02,158.25,64.47,29.58,28.43,39.95,35.46,0.0
B_0061,2020-01-02,113.05,46.58,16.87,14.1,24.01,25.85,0.0
B_0062,2020-01-02,190.22,80.37,32.67,25.03,47.66,43.08,0.0
B_0063,2020-01-02,197.05,77.54,39.92,26.18,52.31,37.45,0.0
B_0064,2020-01-02,135.69,63.2,24.78,17.21,27.53,29.52,0.0
B_0065,2020-01-02,144.86,55.42,27.13,21.08,32.1,34.08,0.0
B_0066,2020-01-02,195.39,80.91,31.8,27.38,49.63,41.8,0.0
B_0067,2020-01-02,193.6,63.77,39.93,24.63,49.84,34.22,0.0
B_0068,2020-01-02,178.84,74.04,38.58,25.85,36.07,29.74,0.0
B_0069,2020-01-02,107.98,38.07,19.59,14.96,32.05,24.82,0.0
B_0070,2020-01-02,132.96,47.6,25.03,19.67,39.41,31.45,0.0
B_0071,2020-01-02,143.2,68.53,26.61,17.87,41.29,33.33,0.0
B_0072,2020-01-02,181.42,71.34,31.97,30.41,45.53,31.69,0.0
B_0073,2020-01-02,184.64,84.29,39.37,24.26,52.59,41.5,0.0
B_0074,2020-01-02,221.92,85.67,33.49,35.2,45.27,50.37,0.0
B_0075,2020-01-02,125.16,58.34,20.75,17.12,34.49,23.09,0.0
B_0076,2020-01-02,114.11,52.33,21.21,17.86,27.04,19.25,0.0
B_0077,2020-01-02,175.97,78.01,33.34,29.92,51.0,36.58,0.0
B_0078,2020-01-02,200.3,88.42,39.12,24.06,55.43,44.42,0.0
B_0079,2020-01-02,179.49,60.48,33.25,26.76,44.25,33.43,0.0
B_0080,2020-01-02,155.96,59.8,31.2,26.0,32.42,34.19,0.0
B_0081,2020-01-02,172.25,71.81,29.82,29.53,39.85,36.15,0.0
B_0082,2020-01-02,223.85,94.78,37.39,38.98,45.12,50.14,0.0
B_0083,2020-01-02,154.52,64.9,24.39,20.84,32.86,36.98,0.0
B_0084,2020-01-02,163.49,78.23,31.16,28.11,44.99,33.18,0.0
B_0085,2020-01-02,163.11,65.55,32.96,23.29,34.36,32.4,0.0
B_0086,2020-01-02,128.31,44.53,21.4,19.73,27.75,24.82,0.0
B_0087,2020-01-02,154.76,60.35,23.74,21.46,45.26,26.43,0.0
B_0088,2020-01-02,151.51,61.75,31.99,25.36,32.87,30.49,0.0
B_0089,2020-01-02,139.21,65.05,28.45,18.93,31.97,23.46,0.0
B_0090,2020-01-02,189.34,89.1,34.19,24.42,56.49,41.15,0.0
B_0091,2020-01-02,149.06,65.27,25.67,18.02,34.74,25.31,0.0
B_0092,2020-01-02,122.71,46.09,22.51,20.3,25.88,25.64,0.0
B_0093,2020-01-02,133.53,60.04,28.49,19.63,36.48,29.84,0.0
B_0094,2020-01-02,147.65,50.87,24.59,20.27,34.34,26.34,0.0
B_0095,2020-01-02,121.55,41.57,19.27,17.95,32.0,26.31,0.0
B_0096,2020-01-02,169.73,54.39,27.88,25.25,35.13,31.09,0.0
B_0097,2020-01-02,159.07,75.33,24.81,19.36,35.5,32.01,0.0
B_0098,2020-01-02,120.76,39.6,25.32,20.86,30.92,23.08,0.0
B_0099,2020-01-02,146.75,51.27,22.58,22.97,42.74,31.99,0.0
B_0100,2020-01-02,110.3,39.17,17.5,18.34,23.76,23.03,0.0
B_0001,2020-01-03,132.43,60.78,25.06,17.7,30.04,28.88,0.0
B_0002,2020-01-03,123.45,46.83,20.32,21.6,31.43,22.7,0.0
B_0003,2020-01-03,155.2,53.72,25.26,26.95,35.81,27.16,0.0
B_0004,2020-01-03,170.01,56.32,30.69,21.57,44.98,40.39,0.0
B_0005,2020-01-03,162.46,72.09,30.89,28.51,39.81,29.63,0.0
B_0006,2020-01-03,123.89,56.68,23.61,19.89,34.99,24.62,0.0
B_0007,2020-01-03,176.31,67.39,29.23,25.58,48.35,32.6,0.0
B_0008,2020-01-03,196.82,67.95,28.71,29.63,49.29,35.54,0.0
B_0009,2020-01-03,170.14,60.3,32.73,29.4,39.09,38.91,0.0
B_0010,2020-01-03,187.53,80.75,34.98,31.97,53.67,34.27,0.0
B_0011,2020-01-03,112.47,47.28,22.25,17.68,25.84,25.23,0.0
B_0012,2020-01-03,140.07,50.09,25.27,18.06,41.61,26.95,0.0
B_0013,2020-01-03,168.56,63.36,35.95,25.46,34.95,30.28,0.0
B_0014,2020-01-03,135.16,55.41,27.71,22.28,38.79,30.85,0.0
B_0015,2020-01-03,130.98,57.43,23.92,22.06,39.06,27.96,0.0
B_0016,2020-01-03,152.12,52.07,31.19,21.78,41.79,33.06,0.0
B_0017,2020-01-03,147.77,56.46,26.91,23.74,40.17,29.24,0.0
B_0018,2020-01-03,156.69,56.2,23.57,23.42,45.78,28.43,0.0
B_0019,2020-01-03,115.36,38.9,24.79,16.03,28.45,19.55,0.0
B_0020,2020-01-03,156.22,51.3,33.62,27.79,41.43,36.78,0.0
B_0021,2020-01-03,105.61,37.85,22.22,18.34,26.41,23.38,0.0
B_0022,2020-01-03,173.05,77.81,34.11,29.12,35.46,34.95,0.0
B_0023,2020-01-03,123.88,58.57,18.13,15.43,26.17,29.1,0.0
B_0024,2020-01-03,115.97,40.03,18.18,20.23,30.46,21.1,0.0
B_0025,2020-01-03,160.99,69.03,27.62,25.81,45.02,33.64,0.0
B_0026,2020-01-03,168.19,71.51,31.66,26.27,39.65,38.5,0.0
B_0027,2020-01-03,164.5,76.68,29.25,28.61,39.22,31.74,0.0
B_0028,2020-01-03,144.04,67.47,21.6,19.65,30.06,32.72,0.0
B_0029,2020-01-03,213.97,74.09,31.75,25.93,57.92,41.37,0.0
B_0030,2020-01-03,105.56,35.62,16.5,16.23,23.62,18.98,0.0
B_0031,2020-01-03,158.12,67.3,32.71,25.33,38.47,25.58,0.0
B_0032,2020-01-03,133.81,60.99,25.37,20.69,36.4,25.41,0.0
B_0033,2020-01-03,169.25,66.14,27.31,23.34,49.88,32.55,0.0
B_0034,2020-01-03,147.49,69.79,25.94,22.98,29.96,30.19,0.0
B_0035,2020-01-03,191.33,78.34,29.94,28.49,40.06,44.42,0.0
B_0036,2020-01-03,161.1,52.97,26.95,22.46,44.26,37.52,0.0
B_0037,2020-01-03,186.92,68.87,36.92,31.36,55.5,36.93,0.0
B_0038,2020-01-03,134.72,61.45,25.62,16.87,37.74,22.61,0.0
B_0039,2020-01-03,117.67,40.29,25.27,15.61,27.92,25.91,0.0
B_0040,2020-01-03,186.49,81.51,28.68,32.6,38.57,29.92,0.0
B_0041,2020-01-03,173.13,71.41,32.79,24.87,43.72,37.14,0.0
B_0042,2020-01-03,89.26,36.63,14.93,13.99,19.31,15.91,0.0
B_0043,2020-01-03,89.56,42.5,18.7,11.22,23.1,17.45,0.0
B_0044,2020-01-03,145.68,49.84,27.75,23.55,30.96,33.87,0.0
B_0045,2020-01-03,77.11,28.84,11.53,11.49,20.86,17.06,0.0
B_0046,2020-01-03,182.52,72.38,30.76,32.15,45.93,42.34,0.0
B_0047,2020-01-03,163.19,61.9,23.7,26.08,48.34,31.43,0.0
B_0048,2020-01-03,119.34,48.07,21.97,19.01,32.23,24.84,0.0
B_0049,2020-01-03,153.12,51.18,30.56,22.19,38.73,33.49,0.0
B_0050,2020-01-03,160.87,71.63,26.7,20.46,41.08,36.45,0.0
B_0051,2020-01-03,115.22,47.18,24.66,15.49,28.33,23.18,0.0
B_0052,2020-01-03,159.31,51.6,29.86,24.0,41.66,35.8,0.0
B_0053,2020-01-03,139.7,50.33,20.31,21.11,30.55,28.14,0.0
B_0054,2020-01-03,169.01,56.53,30.37,21.83,33.9,30.03,0.0
B_0055,2020-01-03,174.79,74.61,36.35,29.39,46.32,35.0,0.0
B_0056,2020-01-03,185.62,60.55,27.47,25.47,52.29,40.48,0.0
B_0057,2020-01-03,146.98,67.35,29.71,19.17,37.72,29.13,0.0
B_0058,2020-01-03,124.08,40.69,18.65,17.19,32.17,25.89,0.0
B_0059,2020-01-03,129.86,46.34,26.96,18.42,33.08,21.63,0.0
B_0060,2020-01-03,115.73,45.51,21.12,16.89,31.28,24.88,0.0
B_0061,2020-01-03,120.1,45.64,19.78,19.07,24.56,21.37,0.0
B_0062,2020-01-03,165.11,54.24,31.09,23.25,37.93,31.79,0.0
B_0063,2020-01-03,105.5,41.34,22.08,14.9,31.55,18.39,0.0
B_0064,2020-01-03,179.63,63.61,34.0,31.85,48.93,38.73,0.0
B_0065,2020-01-03,114.85,47.04,18.22,14.88,27.76,19.53,0.0
B_0066,2020-01-03,168.45,67.25,30.61,27.27,44.97,34.54,0.0
B_0067,2020-01-03,130.19,50.68,26.42,16.59,33.12,27.89,0.0
B_0068,2020-01-03,170.77,67.93,36.15,24.89,37.29,29.52,0.0
B_0069,2020-01-03,108.14,39.37,15.78,18.04,30.46,22.98,0.0
B_0070,2020-01-03,68.4,24.78,11.48,9.06,18.5,12.21,0.0
B_0071,2020-01-03,106.14,44.91,17.98,16.08,27.56,25.22,0.0
B_0072,2020-01-03,204.39,84.64,35.3,35.1,52.71,41.65,0.0
B_0073,2020-01-03,191.38,79.86,30.45,29.41,45.15,38.32,0.0
B_0074,2020-01-03,162.74,75.02,26.16,20.81,33.76,35.99,0.0
B_0075,2020-01-03,188.43,67.29,30.24,25.25,43.51,40.65,0.0
B_0076,2020-01-03,131.73,60.89,24.12,20.09,38.46,31.4,0.0
B_0077,2020-01-03,137.4,59.74,27.02,21.03,38.56,24.8,0.0
B_0078,2020-01-03,122.29,45.7,24.27,16.0,27.51,23.22,0.0
B_0079,2020-01-03,45.0,18.9,7.74,6.52,13.44,10.13,0.0
B_0080,2020-01-03,107.05,47.74,19.85,15.27,23.66,19.05,0.0
B_0081,2020-01-03,222.09,80.7,42.31,27.47,49.3,35.93,0.0
B_0082,2020-01-03,178.71,83.13,27.6,24.0,48.4,36.54,0.0
B_0083,2020-01-03,128.13,58.68,23.87,21.0,26.2,28.02,0.0
B_0084,2020-01-03,125.81,45.34,26.29,17.54,35.36,25.74,0.0
B_0085,2020-01-03,81.19,30.31,16.82,13.07,22.73,13.03,0.0
B_0086,2020-01-03,179.66,80.27,33.96,23.98,48.78,32.14,0.0
B_0087,2020-01-03,225.63,99.44,46.75,28.43,45.83,47.73,0.0
B_0088,2020-01-03,235.8,106.52,41.4,40.4,58.27,56.22,0.0
B_0089,2020-01-03,137.16,58.27,21.81,18.86,38.87,27.25,0.0
B_0090,2020-01-03,189.48,75.81,39.27,26.31,48.27,37.05,0.0
B_0091,2020-01-03,128.59,47.9,18.98,16.75,26.99,29.47,0.0
B_0092,2020-01-03,164.99,58.86,32.97,27.91,44.51,36.88,0.0
B_0093,2020-01-03,199.1,88.05,42.66,24.53,53.85,42.76,0.0
B_0094,2020-01-03,81.78,39.12,15.73,14.35,18.72,13.81,0.0
B_0095,2020-01-03,84.78,39.48,13.93,11.13,18.5,19.19,0.0
B_0096,2020-01-03,138.55,56.16,26.58,19.7,37.37,25.59,0.0
B_0097,2020-01-03,210.57,78.09,40.39,35.75,48.73,50.36,0.0
B_0098,2020-01-03,98.58,33.21,20.13,14.7,20.46,17.87,0.0
B_0099,2020-01-03,135.06,64.0,20.06,23.67,40.01,23.6,0.0
B_0100,2020-01-03,162.14,77.79,30.78,24.91,36.72,31.6,0.0
B_0001,2020-01-04,138.04,49.82,22.73,18.5,30.17,24.59,0.0
B_0002,2020-01-04,122.27,58.03,21.84,16.78,31.44,24.38,0.0
B_0003,2020-01-04,112.31,44.6,21.12,19.13,31.75,23.05,0.0
B_0004,2020-01-04,60.06,22.7,11.54,9.73,13.61,13.82,0.0
B_0005,2020-01-04,157.23,73.22,32.84,26.59,40.29,32.0,0.0
B_0006,2020-01-04,96.59,36.96,15.59,15.7,20.99,21.96,0.0
B_0007,2020-01-04,181.8,72.66,37.74,26.11,49.5,40.75,0.0
B_0008,2020-01-04,136.22,56.58,21.43,17.17,37.13,26.18,0.0
B_0009,2020-01-04,139.42,61.94,20.73,16.74,41.03,31.93,0.0
B_0010,2020-01-04,85.83,39.17,16.22,13.75,17.75,14.87,0.0
B_0011,2020-01-04,95.2,32.74,15.33,13.3,23.71,21.42,0.0
B_0012,2020-01-04,93.14,42.85,13.53,14.65,22.11,17.86,0.0
B_0013,2020-01-04,148.69,56.1,29.33,23.75,42.59,24.73,0.0
B_0014,2020-01-04,150.41,71.24,32.4,26.06,35.65,31.17,0.0
B_0015,2020-01-04,103.07,41.21,17.77,15.37,22.62,21.5,0.0
B_0016,2020-01-04,105.28,48.25,15.8,13.14,31.29,19.82,0.0
B_0017,2020-01-04,92.71,41.87,18.39,16.55,22.92,20.26,0.0
B_0018,2020-01-04,116.0,43.15,19.84,19.45,23.88,27.33,0.0
B_0019,2020-01-04,90.98,38.0,19.54,11.45,26.07,20.99,0.0
B_0020,2020-01-04,109.72,44.36,18.04,18.94,22.14,23.51,0.0
B_0021,2020-01-04,99.8,47.26,15.54,13.13,28.5,19.28,0.0
B_0022,2020-01-04,153.01,53.18,27.72,21.46,33.74,36.36,0.0
B_0023,2020-01-04,113.25,43.62,17.39,14.75,26.46,25.68,0.0
B_0024,2020-01-04,135.94,48.21,20.14,16.62,31.21,25.0,0.0
B_0025,2020-01-04,165.17,59.45,28.5,23.83,47.18,30.4,0.0
B_0026,2020-01-04,133.89,60.82,22.72,22.02,32.05,30.93,0.0
B_0027,2020-01-04,142.08,53.72,22.05,19.93,31.37,31.52,0.0
B_0028,2020-01-04,81.81,38.98,14.89,11.84,18.72,15.01,0.0
B_0029,2020-01-04,98.36,34.61,20.12,12.46,21.69,21.26,0.0
B_0030,2020-01-04,96.6,34.63,20.42,16.2,21.87,18.46,0.0
B_0031,2020-01-04,97.25,38.96,15.09,11.84,26.29,22.49,0.0
B_0032,2020-01-04,145.08,61.44,28.4,22.6,30.88,29.79,0.0
B_0033,2020-01-04,102.44,35.0,22.02,12.51,21.69,16.56,0.0
B_0034,2020-01-04,94.54,33.57,18.28,15.28,19.16,18.18,0.0
B_0035,2020-01-04,142.86,50.28,20.78,19.64,34.83,28.12,0.0
B_0036,2020-01-04,110.32,48.9,19.63,14.49,23.04,23.51,0.0
B_0037,2020-01-04,111.12,53.07,23.44,13.52,33.31,24.82,0.0
B_0038,2020-01-04,82.6,39.02,13.07,12.11,20.96,17.95,0.0
B_0039,2020-01-04,102.49,48.87,20.08,18.24,24.74,19.66,0.0
B_0040,2020-01-04,80.33,37.2,14.72,14.31,22.92,13.84,0.0
B_0041,2020-01-04,105.63,42.49,19.27,17.21,29.72,19.77,0.0
B_0042,2020-01-04,147.32,52.39,23.58,25.97,44.16,26.93,0.0
B_0043,2020-01-04,68.87,25.3,13.81,12.32,20.54,12.88,0.0
B_0044,2020-01-04,106.18,49.67,22.1,14.91,26.33,24.71,0.0
B_0045,2020-01-04,138.19,49.34,22.45,19.33,40.11,29.89,0.0
B_0046,2020-01-04,127.68,42.92,26.62,16.43,29.79,23.64,0.0
