building_id,total_floor_area_m2,rooftop_area_m2,height_m,volume_m3,floor_count,rooms_count,window_area_m2,wall_area_m2,aspect_ratio
B_0066,1739.5,1659.7,3.8,5300.4,1,92,790.9,4348.8,1.94
B_0067,2466.1,2513.5,27.7,54626.9,7,104,1822.7,6165.2,2.29
B_0068,2556.4,2660.9,30.6,62631.9,8,132,1152.1,6391.1,1.03
B_0069,4359.0,4653.1,18.1,63159.5,5,197,2063.0,10897.6,1.12
B_0070,941.1,1023.9,38.0,28633.9,10,43,624.6,2352.7,2.31
B_0071,4369.1,4482.6,30.6,106892.0,8,273,2854.9,10922.7,1.31
B_0072,2962.4,3153.1,20.3,48191.3,5,131,1448.9,7406.0,1.21
B_0073,2824.5,3211.1,4.7,10629.4,1,136,1072.5,7061.2,1.48
B_0074,641.2,576.3,19.3,9885.2,5,40,304.3,1602.9,2.71
B_0075,4562.8,3986.1,14.1,51484.4,4,207,1818.4,11407.0,1.7
B_0076,1072.6,1192.5,39.2,33611.8,11,54,639.9,2681.5,2.55
B_0077,4267.3,3640.5,38.3,130868.5,10,207,2081.8,10668.3,1.26
B_0078,3290.3,3910.1,43.9,115631.0,12,162,1730.2,8225.8,2.04
B_0079,1024.8,1056.3,32.5,26623.3,9,58,501.3,2562.0,2.62
B_0080,1058.2,1066.8,33.9,28670.1,9,51,713.0,2645.5,1.05
B_0081,2961.2,2837.1,6.6,15519.9,1,125,1625.8,7402.9,2.27
B_0082,3262.8,3738.6,6.7,17394.0,1,164,2266.8,8157.0,1.6
B_0083,3416.5,3313.2,42.4,115791.6,12,152,2359.3,8541.2,2.49
B_0084,4530.1,5384.8,45.6,165407.5,13,211,2930.0,11325.4,2.32
B_0085,1917.2,2093.5,23.7,36297.3,6,95,1166.1,4792.9,2.42
B_0086,3874.6,3650.1,43.3,134273.0,12,190,2569.3,9686.5,2.34
B_0087,1545.2,1397.8,8.0,9850.8,2,90,691.7,3863.0,1.68
B_0088,3245.2,3867.6,26.5,68697.7,7,200,1231.2,8112.9,2.54
B_0089,2422.8,2082.3,39.8,77176.6,11,133,1803.7,6056.9,1.61
B_0090,4840.1,4806.6,8.5,32811.8,2,206,2868.3,12100.2,2.13
B_0091,2060.1,1654.9,28.1,46386.8,8,101,1170.6,5150.2,1.02
B_0092,3490.3,3381.7,23.9,66649.9,6,144,2440.8,8725.7,2.72
B_0093,3680.2,4411.5,40.5,119108.3,11,175,1504.3,9200.4,1.84
B_0094,2433.3,2693.8,22.0,42747.5,6,105,1094.1,6083.2,2.86
B_0095,3147.4,3638.3,20.8,52318.9,5,153,1860.0,7868.5,1.39
B_0096,2758.3,2316.0,18.4,40532.3,5,113,1057.6,6895.8,1.73
B_0097,124.7,143.3,17.6,1751.3,5,7,81.4,311.7,2.66
B_0098,268.0,311.3,38.0,8138.6,10,14,117.4,670.0,2.64
B_0099,2577.3,2081.2,13.4,27699.4,3,114,1396.3,6443.3,1.77
B_0100,2314.6,2313.6,44.6,82596.5,12,129,957.9,5786.6,1.55
