building_id,wall_u_value_wm2k,roof_u_value_wm2k,floor_u_value_wm2k,window_u_value_wm2k,wall_r_value_m2kw,roof_r_value_m2kw,floor_r_value_m2kw,window_r_value_m2kw,thermal_mass_kg,air_tightness_ach
B_0023,0.879,0.638,0.773,1.971,1.138,1.567,1.294,0.507,176362.0,3.44
B_0024,1.008,0.545,0.228,2.443,0.992,1.836,4.389,0.409,217960.0,2.14
B_0025,0.601,0.98,1.716,2.782,1.664,1.02,0.583,0.359,289612.0,4.71
B_0026,0.347,0.378,0.292,2.917,2.882,2.643,3.42,0.343,226315.0,4.58
B_0027,1.076,0.449,1.594,1.42,0.929,2.225,0.627,0.704,225525.0,2.04
B_0028,0.741,1.471,1.541,2.396,1.349,0.68,0.649,0.417,126633.0,2.25
B_0029,0.306,0.315,0.917,2.927,3.267,3.177,1.09,0.342,267364.0,2.32
B_0030,1.197,0.945,0.654,1.865,0.836,1.058,1.529,0.536,338809.0,4.88
B_0031,0.796,0.216,0.948,2.459,1.256,4.632,1.055,0.407,69183.0,3.9
B_0032,0.777,1.319,0.506,1.545,1.288,0.758,1.978,0.647,395395.0,2.95
B_0033,1.467,1.128,0.611,2.865,0.682,0.887,1.637,0.349,159144.0,1.5
B_0034,0.498,1.281,1.326,2.847,2.008,0.781,0.754,0.351,340000.0,3.02
B_0035,0.586,1.097,1.108,1.639,1.707,0.911,0.902,0.61,488772.0,4.55
B_0036,1.769,0.773,0.985,1.396,0.565,1.294,1.015,0.716,239972.0,2.06
B_0037,1.077,1.252,1.32,1.678,0.929,0.799,0.757,0.596,304810.0,4.77
B_0038,0.293,0.254,0.466,2.589,3.419,3.939,2.146,0.386,58510.0,1.1
B_0039,0.36,0.6,0.364,2.926,2.776,1.666,2.751,0.342,402775.0,1.99
B_0040,0.927,0.81,1.399,2.534,1.078,1.235,0.715,0.395,254141.0,4.46
B_0041,0.998,1.358,1.152,2.43,1.002,0.737,0.868,0.411,196783.0,3.67
B_0042,1.629,1.334,1.585,2.482,0.614,0.75,0.631,0.403,380652.0,2.15
B_0043,0.491,0.521,0.283,2.33,2.035,1.918,3.53,0.429,158007.0,3.5
B_0044,1.676,0.478,0.63,1.717,0.597,2.093,1.588,0.582,54210.0,2.54
B_0045,1.149,1.26,1.615,1.424,0.871,0.794,0.619,0.702,421159.0,3.74
B_0046,1.066,0.229,0.981,2.303,0.938,4.361,1.02,0.434,368331.0,4.14
B_0047,1.797,0.162,0.876,1.988,0.557,6.164,1.142,0.503,75268.0,3.58
B_0048,1.767,1.107,0.728,1.939,0.566,0.904,1.373,0.516,315259.0,3.68
B_0049,1.517,0.682,0.893,1.296,0.659,1.465,1.12,0.772,134971.0,3.2
B_0050,0.404,0.46,1.325,2.962,2.472,2.173,0.755,0.338,244046.0,4.85
B_0051,0.92,1.428,0.753,2.992,1.087,0.7,1.328,0.334,50850.0,3.38
B_0052,1.294,0.199,1.602,2.28,0.773,5.033,0.624,0.439,238940.0,3.67
B_0053,1.147,1.123,1.356,2.855,0.872,0.89,0.737,0.35,55627.0,1.63
B_0054,0.262,1.444,1.179,1.772,3.821,0.693,0.848,0.564,195155.0,2.13
B_0055,1.143,1.47,0.423,2.371,0.875,0.68,2.363,0.422,163008.0,4.96
B_0056,0.789,0.693,0.825,2.784,1.268,1.443,1.213,0.359,251049.0,1.8
B_0057,0.342,1.039,0.844,1.171,2.925,0.962,1.185,0.854,162572.0,1.52
B_0058,0.605,1.19,1.195,2.358,1.653,0.841,0.837,0.424,413079.0,3.72
B_0059,0.306,1.257,0.698,2.02,3.264,0.796,1.432,0.495,231146.0,2.58
B_0060,0.764,1.406,1.591,1.168,1.31,0.711,0.629,0.856,405417.0,3.69
B_0061,1.842,0.748,0.769,2.581,0.543,1.337,1.3,0.387,331123.0,4.78
B_0062,0.354,0.774,0.829,1.216,2.822,1.292,1.206,0.822,416233.0,1.2
B_0063,0.274,1.351,1.606,1.158,3.656,0.74,0.623,0.864,462897.0,3.43
B_0064,1.644,0.442,1.514,2.118,0.608,2.264,0.661,0.472,155380.0,2.61
B_0065,0.591,0.81,0.366,2.037,1.693,1.235,2.729,0.491,189072.0,1.02
B_0066,1.942,1.029,1.675,2.27,0.515,0.972,0.597,0.441,428615.0,3.56
B_0067,1.677,1.178,0.219,1.942,0.596,0.849,4.559,0.515,185261.0,3.71
B_0068,1.36,0.436,1.176,1.768,0.735,2.293,0.851,0.566,317912.0,2.58
B_0069,0.309,1.117,0.761,1.415,3.233,0.895,1.314,0.707,394491.0,3.74
B_0070,1.833,0.339,0.911,1.595,0.545,2.951,1.097,0.627,343899.0,4.2
B_0071,1.894,0.967,1.361,1.377,0.528,1.034,0.735,0.726,169869.0,3.59
B_0072,0.877,0.303,0.257,2.029,1.141,3.296,3.892,0.493,323405.0,3.71
B_0073,0.803,0.433,1.474,2.747,1.245,2.311,0.678,0.364,62806.0,4.94
B_0074,1.373,0.927,0.823,1.216,0.728,1.079,1.215,0.823,66969.0,1.85
B_0075,0.77,1.383,0.703,2.479,1.299,0.723,1.422,0.403,190702.0,3.32
B_0076,1.219,1.22,0.994,1.268,0.82,0.819,1.006,0.789,407990.0,1.15
B_0077,0.301,0.516,0.215,2.488,3.317,1.939,4.654,0.402,153148.0,1.68
B_0078,0.93,0.532,1.129,2.918,1.075,1.879,0.886,0.343,57663.0,2.13
B_0079,1.663,1.393,1.503,1.155,0.601,0.718,0.665,0.866,87882.0,4.91
B_0080,1.29,0.218,0.664,2.785,0.775,4.584,1.507,0.359,61090.0,3.58
B_0081,0.934,0.852,1.087,1.813,1.071,1.173,0.92,0.552,195399.0,4.68
B_0082,0.372,0.309,0.853,1.876,2.691,3.236,1.172,0.533,281215.0,1.19
B_0083,0.595,0.781,0.385,1.229,1.681,1.28,2.597,0.814,322268.0,1.42
B_0084,1.391,0.2,1.336,2.411,0.719,4.995,0.748,0.415,232342.0,3.13
B_0085,0.924,1.354,1.099,2.01,1.082,0.738,0.91,0.498,124378.0,4.67
B_0086,1.621,1.147,1.676,1.947,0.617,0.872,0.597,0.514,194579.0,2.98
B_0087,0.87,1.191,0.723,1.253,1.15,0.839,1.383,0.798,83502.0,2.28
B_0088,0.992,0.725,0.201,1.503,1.008,1.38,4.975,0.665,285723.0,4.06
B_0089,1.225,1.209,0.97,1.602,0.816,0.827,1.031,0.624,316800.0,0.53
B_0090,1.641,1.45,0.984,2.226,0.609,0.69,1.017,0.449,144299.0,2.55
B_0091,1.687,0.395,1.188,2.762,0.593,2.532,0.842,0.362,161106.0,3.91
B_0092,1.519,0.338,0.484,2.59,0.658,2.957,2.068,0.386,450088.0,2.28
B_0093,1.354,0.437,1.031,1.673,0.739,2.289,0.97,0.598,306527.0,2.52
B_0094,0.375,0.436,1.779,2.274,2.667,2.295,0.562,0.44,157764.0,4.34
B_0095,0.858,0.343,1.004,2.71,1.165,2.919,0.996,0.369,229986.0,3.83
B_0096,1.036,1.099,1.685,2.049,0.965,0.91,0.593,0.488,53665.0,0.54
B_0097,1.884,0.299,1.67,1.133,0.531,3.342,0.599,0.883,375909.0,1.68
B_0098,0.495,0.657,0.828,2.722,2.018,1.522,1.208,0.367,124182.0,4.44
B_0099,1.973,0.648,1.68,1.068,0.507,1.543,0.595,0.937,412928.0,2.84
B_0100,0.474,0.309,1.607,1.026,2.111,3.233,0.622,0.975,192021.0,2.22
