building_id,name,address,latitude,longitude,construction_year,last_renovation_year,building_type,architectural_style,quality_rating
B_0028,Building 28,"788 Main Street, City 3",43.289523,8.389995,2020,2025.0,educational,modern,poor
B_0029,Building 29,"84 Main Street, City 3",47.853079,1.536237,2019,2024.0,office,gothic,fair
B_0030,Building 30,"962 Main Street, City 3",47.06699,-2.884752,1978,2000.0,retail,traditional,excellent
B_0031,Building 31,"449 Main Street, City 4",45.686983,8.525167,2020,2025.0,retail,brutalist,excellent
B_0032,Building 32,"747 Main Street, City 4",42.648161,7.209065,1984,1990.0,healthcare,contemporary,good
B_0033,Building 33,"886 Main Street, City 4",40.189459,0.100562,1958,1981.0,educational,gothic,poor
B_0034,Building 34,"318 Main Street, City 4",44.093181,0.960516,2015,,healthcare,gothic,poor
B_0035,Building 35,"781 Main Street, City 4",49.828372,2.356754,1958,1999.0,industrial,brutalist,fair
B_0036,Building 36,"938 Main Street, City 4",49.262533,8.551908,2000,2010.0,healthcare,gothic,poor
B_0037,Building 37,"633 Main Street, City 4",45.301676,7.441641,1954,,industrial,gothic,good
B_0038,Building 38,"873 Main Street, City 4",44.326466,3.569472,2000,,retail,art_deco,excellent
B_0039,Building 39,"680 Main Street, City 4",42.839395,-4.702654,2018,,residential,contemporary,poor
B_0040,Building 40,"812 Main Street, City 4",44.310439,9.47802,2006,2011.0,office,modern,poor
B_0041,Building 41,"278 Main Street, City 5",41.380121,0.048927,1998,2019.0,office,brutalist,excellent
B_0042,Building 42,"325 Main Street, City 5",45.183153,0.717088,1952,1984.0,residential,art_deco,good
B_0043,Building 43,"513 Main Street, City 5",45.425538,7.036458,1977,,office,brutalist,good
B_0044,Building 44,"656 Main Street, City 5",42.48087,-1.827964,2019,2024.0,residential,traditional,poor
B_0045,Building 45,"789 Main Street, City 5",49.394199,3.155499,1990,2012.0,healthcare,brutalist,excellent
B_0046,Building 46,"282 Main Street, City 5",49.400876,-3.20593,2018,2023.0,office,gothic,good
B_0047,Building 47,"909 Main Street, City 5",44.202583,8.818251,1999,2007.0,retail,contemporary,fair
B_0048,Building 48,"137 Main Street, City 5",41.333594,-3.196307,1957,2010.0,healthcare,modern,excellent
B_0049,Building 49,"451 Main Street, City 5",49.942994,-3.838877,1965,1995.0,office,art_deco,fair
B_0050,Building 50,"244 Main Street, City 5",45.395733,-4.726496,1972,1995.0,retail,contemporary,good
B_0051,Building 51,"858 Main Street, City 6",48.534206,-0.129197,1957,1973.0,industrial,art_deco,excellent
B_0052,Building 52,"816 Main Street, City 6",42.223598,5.295637,1989,2000.0,office,brutalist,poor
B_0053,Building 53,"689 Main Street, City 6",42.118434,0.242305,1998,2019.0,office,traditional,good
B_0054,Building 54,"487 Main Street, City 6",45.040399,-4.272873,2018,2023.0,educational,contemporary,good
B_0055,Building 55,"240 Main Street, City 6",46.302638,1.322439,1951,,retail,modern,fair
B_0056,Building 56,"167 Main Street, City 6",49.275597,-4.905455,2012,2018.0,office,modern,excellent
B_0057,Building 57,"870 Main Street, City 6",46.317612,7.438787,1983,,residential,traditional,poor
B_0058,Building 58,"703 Main Street, City 6",44.167532,0.858576,1965,1994.0,residential,contemporary,good
B_0059,Building 59,"267 Main Street, City 6",46.262603,8.405523,2003,2008.0,retail,contemporary,poor
B_0060,Building 60,"136 Main Street, City 6",47.38252,-0.922538,2000,,healthcare,brutalist,poor
B_0061,Building 61,"64 Main Street, City 7",40.39052,1.434291,1959,2009.0,office,contemporary,fair
B_0062,Building 62,"515 Main Street, City 7",40.430295,-2.106264,1960,,healthcare,brutalist,poor
B_0063,Building 63,"544 Main Street, City 7",43.742,-0.272902,1983,2011.0,retail,art_deco,poor
B_0064,Building 64,"696 Main Street, City 7",40.128197,3.710915,1980,1999.0,residential,modern,fair
B_0065,Building 65,"173 Main Street, City 7",42.945134,-0.578344,1994,2008.0,office,gothic,fair
B_0066,Building 66,"419 Main Street, City 7",43.49902,3.332676,2017,2022.0,office,modern,poor
B_0067,Building 67,"520 Main Street, City 7",44.664815,-3.681223,1958,2008.0,healthcare,modern,fair
B_0068,Building 68,"183 Main Street, City 7",46.551471,0.151012,1976,1995.0,residential,contemporary,poor
B_0069,Building 69,"841 Main Street, City 7",43.180801,3.733046,2005,2014.0,retail,gothic,excellent
B_0070,Building 70,"485 Main Street, City 7",43.783332,-1.281042,1977,2018.0,educational,modern,good
B_0071,Building 71,"513 Main Street, City 8",41.508733,3.393624,1968,1973.0,healthcare,brutalist,excellent
B_0072,Building 72,"943 Main Street, City 8",49.351085,-3.522374,1997,,educational,art_deco,excellent
B_0073,Building 73,"88 Main Street, City 8",47.37282,7.289358,1984,,educational,modern,fair
B_0074,Building 74,"205 Main Street, City 8",47.941465,2.909058,1978,1987.0,healthcare,gothic,good
B_0075,Building 75,"698 Main Street, City 8",41.124387,5.285917,1997,,healthcare,modern,fair
B_0076,Building 76,"522 Main Street, City 8",41.02043,7.944598,1998,2012.0,retail,modern,excellent
B_0077,Building 77,"349 Main Street, City 8",43.689649,7.871918,1961,2006.0,office,modern,poor
B_0078,Building 78,"901 Main Street, City 8",48.056454,9.452746,2010,2018.0,retail,traditional,fair
B_0079,Building 79,"872 Main Street, City 8",47.337618,-1.97903,1992,2005.0,industrial,brutalist,fair
B_0080,Building 80,"726 Main Street, City 8",46.152512,-4.860396,1980,2005.0,residential,modern,good
B_0081,Building 81,"260 Main Street, City 9",44.221365,-0.812934,2012,,office,modern,excellent
B_0082,Building 82,"157 Main Street, City 9",48.314527,-0.619084,1951,,healthcare,modern,fair
B_0083,Building 83,"753 Main Street, City 9",44.608571,8.70461,1959,,residential,brutalist,good
B_0084,Building 84,"454 Main Street, City 9",44.024113,-3.485063,1992,2008.0,educational,gothic,poor
B_0085,Building 85,"750 Main Street, City 9",46.999591,-1.416284,1980,2018.0,healthcare,art_deco,fair
B_0086,Building 86,"137 Main Street, City 9",49.064491,-4.533317,1960,,retail,gothic,fair
B_0087,Building 87,"292 Main Street, City 9",44.939508,3.05794,1975,,industrial,gothic,poor
B_0088,Building 88,"355 Main Street, City 9",45.516446,-1.494817,1959,1972.0,residential,contemporary,excellent
B_0089,Building 89,"351 Main Street, City 9",40.159885,1.499859,2009,,educational,gothic,poor
B_0090,Building 90,"19 Main Street, City 9",49.80589,1.50156,1976,1988.0,retail,modern,fair
B_0091,Building 91,"381 Main Street, City 10",45.196005,-1.780096,1952,,residential,modern,excellent
B_0092,Building 92,"615 Main Street, City 10",47.357952,4.246141,1994,2003.0,retail,brutalist,fair
B_0093,Building 93,"93 Main Street, City 10",44.538416,7.433503,1982,1991.0,healthcare,traditional,poor
B_0094,Building 94,"175 Main Street, City 10",42.873103,9.595848,2001,2018.0,industrial,gothic,good
B_0095,Building 95,"165 Main Street, City 10",49.323772,-3.732612,1998,2010.0,industrial,traditional,fair
B_0096,Building 96,"844 Main Street, City 10",42.845037,3.590457,1973,1985.0,retail,traditional,excellent
B_0097,Building 97,"662 Main Street, City 10",49.344694,-1.072907,2000,2006.0,healthcare,modern,good
B_0098,Building 98,"4 Main Street, City 10",49.448173,4.536313,1975,,healthcare,brutalist,poor
B_0099,Building 99,"905 Main Street, City 10",43.005491,6.413366,1966,1995.0,retail,brutalist,fair
B_0100,Building 100,"182 Main Street, City 10",45.650408,2.824065,2020,,residential,brutalist,excellent
