building_id,year,month,total_energy_kwh,heating_energy_kwh,cooling_energy_kwh,lighting_energy_kwh,appliances_energy_kwh,energy_intensity_kwhm2
B_0003,2019,6,5638.9,1890.3,1404.4,979.6,1248.6,8.5
B_0003,2019,7,4123.5,1468.9,475.0,668.2,1341.3,2.63
B_0003,2019,8,10814.1,3479.7,2685.8,1755.6,3835.9,11.88
B_0003,2019,9,2762.2,1562.2,541.4,365.9,796.1,4.56
B_0003,2019,10,2802.3,1051.8,484.9,376.8,602.5,1.4
B_0003,2019,11,8222.9,3466.2,1286.6,1358.6,3051.4,5.4
B_0003,2019,12,3240.3,1679.8,743.2,577.2,721.2,1.67
B_0003,2020,1,8021.6,4543.6,2167.9,861.1,2333.5,4.82
B_0003,2020,2,2939.9,1618.7,354.6,373.6,589.1,5.51
B_0003,2020,3,5681.9,2434.0,1199.2,923.2,1432.8,7.22
B_0003,2020,4,3887.2,2271.2,637.4,432.2,1215.3,7.54
B_0003,2020,5,4074.9,2143.2,883.9,451.1,1018.4,2.12
B_0003,2020,6,5990.0,3256.8,623.6,750.4,1939.1,5.01
B_0003,2020,7,2767.9,1390.2,657.1,359.7,574.8,1.48
B_0003,2020,8,9314.5,3020.1,1367.2,1381.7,2855.8,4.68
B_0003,2020,9,9185.5,4914.5,1027.9,1556.5,2687.5,5.93
B_0003,2020,10,3239.4,1940.2,417.5,604.9,1143.0,3.72
B_0003,2020,11,7685.4,3337.5,1666.3,1370.0,1670.8,4.75
B_0003,2020,12,7039.9,2549.4,709.6,865.9,1879.8,6.73
B_0003,2021,1,7012.8,2643.8,1166.1,1108.4,1484.3,5.5
B_0003,2021,2,4131.4,1795.8,1229.5,461.7,940.8,3.32
B_0003,2021,3,4285.2,1727.8,628.3,636.6,1261.4,6.31
B_0003,2021,4,3130.8,1523.6,858.6,485.1,838.0,2.5
B_0003,2021,5,8384.7,3928.7,1456.4,1210.4,2628.9,5.01
B_0003,2021,6,7249.6,2854.3,1239.1,1317.7,1478.4,12.61
B_0003,2021,7,6207.7,2826.3,1028.4,875.8,1302.9,3.31
B_0003,2021,8,4851.7,1508.1,1430.2,620.8,973.4,5.47
B_0003,2021,9,5098.8,1953.7,1111.1,969.5,1701.9,4.87
B_0003,2021,10,2192.0,1187.8,545.1,360.1,870.0,1.52
B_0003,2021,11,4692.4,1519.2,702.8,748.5,1561.5,4.44
B_0003,2021,12,8503.7,5080.5,1633.4,918.4,2160.0,4.32
B_0003,2022,1,7470.7,3282.5,1220.0,790.1,2499.6,4.79
B_0003,2022,2,4143.2,1585.9,1105.0,757.8,1330.2,6.64
B_0003,2022,3,8479.7,4912.4,1031.8,1164.4,2742.2,8.68
B_0003,2022,4,5050.0,1685.3,681.2,898.7,1376.9,2.54
B_0003,2022,5,6112.0,3337.2,850.3,747.4,1932.6,3.08
B_0003,2022,6,6868.1,2546.0,1642.7,1202.1,2699.7,5.95
B_0003,2022,7,6916.8,2201.4,930.0,1270.5,2397.3,7.34
B_0003,2022,8,4678.4,1555.2,1006.6,931.8,1654.4,3.58
B_0003,2022,9,3293.8,1927.9,494.3,426.5,1046.2,1.84
B_0003,2022,10,3668.8,1545.1,570.5,544.4,1030.4,2.15
B_0003,2022,11,3419.9,1058.6,772.7,396.3,730.1,2.68
B_0003,2022,12,2233.2,799.4,374.0,322.9,476.7,1.73
B_0004,2018,1,5998.6,1843.4,1211.1,1094.0,1548.1,3.22
B_0004,2018,2,9834.6,4919.0,2705.0,1739.6,2267.4,7.25
B_0004,2018,3,4364.7,2048.5,1082.1,477.6,1636.1,2.56
B_0004,2018,4,6696.0,3365.6,1227.9,953.3,1407.6,4.29
B_0004,2018,5,6862.2,3323.7,1927.1,1180.9,1766.2,3.86
B_0004,2018,6,6178.4,2037.7,1183.2,1120.5,1976.2,9.5
B_0004,2018,7,8947.1,4470.3,2167.4,1131.2,2739.1,9.3
B_0004,2018,8,5956.4,3438.9,1280.7,1140.8,1511.4,7.35
B_0004,2018,9,8648.1,3190.9,1286.7,1077.7,2606.9,4.48
B_0004,2018,10,7496.4,2330.5,817.6,1189.3,1672.8,5.27
B_0004,2018,11,6276.6,2029.5,1263.2,978.6,2019.9,5.71
B_0004,2018,12,7438.3,2309.3,1758.9,753.4,2446.2,4.35
B_0004,2019,1,8597.1,4369.3,1005.4,862.3,3000.2,6.13
B_0004,2019,2,5502.5,2925.1,971.2,620.9,1872.9,9.0
B_0004,2019,3,3732.6,1167.6,787.4,568.0,963.4,2.28
B_0004,2019,4,5267.2,2019.5,537.2,728.1,1539.2,2.7
B_0004,2019,5,2210.7,930.7,256.2,378.6,452.5,1.55
B_0004,2019,6,8898.6,3554.0,1913.7,1319.5,3486.8,16.93
B_0004,2019,7,6945.1,2911.8,1995.7,1110.4,2752.3,3.48
B_0004,2019,8,6718.5,2558.8,1236.1,1275.0,1358.6,4.14
B_0004,2019,9,2799.4,840.6,397.1,489.2,1071.4,2.39
B_0004,2019,10,3731.5,1854.5,810.8,741.1,1316.4,3.9
B_0004,2019,11,7674.9,3145.1,1691.1,1158.4,2262.0,3.97
B_0004,2019,12,2299.0,720.7,528.4,328.2,686.2,3.15
B_0004,2020,1,9097.8,5273.3,1891.5,1793.5,3154.6,16.23
B_0004,2020,2,6923.7,3982.5,2023.6,1202.3,2221.3,12.65
B_0004,2020,3,4526.0,2062.3,1016.0,715.6,1187.9,2.29
B_0004,2020,4,4144.6,1655.0,480.7,606.0,1253.5,4.72
B_0004,2020,5,4565.4,1939.9,733.8,603.5,1739.1,2.41
B_0004,2020,6,8776.4,2909.1,2616.6,1060.7,1995.2,5.38
B_0004,2020,7,3127.3,1176.0,825.6,333.1,769.4,1.7
B_0004,2020,8,4976.2,1957.9,978.3,801.4,1473.5,3.76
B_0004,2020,9,6992.9,2709.9,799.7,984.9,1958.3,8.54
B_0004,2020,10,4730.4,1956.7,1331.7,632.2,1032.9,2.71
B_0004,2020,11,3437.0,1227.9,421.1,494.7,1078.0,1.94
B_0004,2020,12,5747.2,2516.5,1586.1,765.0,1578.8,3.14
B_0004,2021,1,6005.8,2723.9,1018.5,859.0,1898.4,9.65
B_0004,2021,2,7134.0,4078.7,1679.3,753.2,1932.8,14.16
B_0004,2021,3,1859.1,990.4,496.5,257.3,450.0,1.9
B_0004,2021,4,4735.4,1614.9,696.6,509.0,1092.0,2.95
B_0004,2021,5,2755.2,1358.6,623.6,473.5,916.3,1.43
B_0004,2021,6,8407.2,3115.0,2194.6,1648.9,2666.8,15.69
B_0004,2021,7,3402.8,2023.8,832.2,609.6,1237.1,1.96
B_0004,2021,8,6172.6,2693.3,1292.5,885.2,1982.0,6.48
B_0004,2021,9,4862.8,2638.1,1067.9,665.9,1095.1,4.11
B_0004,2021,10,5981.3,2733.6,966.9,875.9,1450.7,3.13
B_0004,2021,11,3302.1,1019.2,703.6,338.2,1128.8,2.25
B_0004,2021,12,6656.7,3295.4,1404.7,1318.4,2215.6,10.09
B_0004,2022,1,6909.9,3775.7,746.1,1338.0,1923.0,3.71
B_0004,2022,2,4336.2,2309.9,1004.8,722.0,1480.3,4.42
B_0004,2022,3,6166.3,3453.4,1780.7,979.1,1990.6,8.29
B_0004,2022,4,6533.4,2748.2,1355.9,708.5,2125.2,6.24
B_0004,2022,5,4249.5,2267.9,773.4,689.6,1070.2,4.28
B_0004,2022,6,2716.7,1215.4,457.0,477.4,743.0,2.41
B_0004,2022,7,9261.4,3543.3,2350.7,1594.3,2832.8,4.76
B_0004,2022,8,7264.9,2668.6,863.3,1323.0,2699.1,7.72
B_0004,2022,9,5747.3,2552.3,1060.6,973.9,2216.9,4.94
B_0004,2022,10,4966.4,2592.8,830.8,526.6,1755.0,4.0
B_0004,2022,11,1944.0,675.7,563.2,204.7,408.2,1.57
B_0004,2022,12,7098.9,2888.1,1266.0,1114.1,2369.8,4.49
B_0005,2018,1,11155.2,3539.0,1942.5,1337.0,4264.4,5.61
B_0005,2018,2,9722.7,4489.3,1645.4,1854.1,3678.0,10.43
B_0005,2018,3,8408.5,2715.0,1476.5,869.7,2019.3,4.35
B_0005,2018,4,5163.0,1932.2,605.7,795.7,1329.6,3.59
B_0005,2018,5,2555.6,1126.3,738.9,267.1,751.7,1.3
B_0005,2018,6,5631.9,2727.6,1391.0,942.8,1749.7,2.95
B_0005,2018,7,3877.8,2277.0,949.2,408.3,1063.2,2.07
B_0005,2018,8,5771.4,2133.0,1589.7,742.1,1161.0,3.73
B_0005,2018,9,2272.4,1277.3,430.1,378.8,472.6,1.42
B_0005,2018,10,6901.0,3123.0,1032.8,1358.4,1525.2,8.79
B_0005,2018,11,6743.0,2362.4,1158.6,1302.9,2463.8,7.81
B_0005,2018,12,7615.0,2415.7,1604.2,882.9,1633.2,5.48
B_0005,2019,1,10819.2,4022.9,1867.0,1317.6,4081.7,7.12
B_0005,2019,2,3164.7,1064.9,839.6,422.5,664.9,2.3
B_0005,2019,3,5910.4,2314.9,1247.0,769.8,1209.9,5.16
B_0005,2019,4,3830.9,2199.9,509.5,765.6,1489.5,1.96
B_0005,2019,5,5995.4,3293.6,1321.2,982.2,2330.8,7.33
B_0005,2019,6,2578.5,1297.7,680.2,470.1,711.4,1.36
B_0005,2019,7,8557.5,3703.7,918.6,1478.6,1787.4,5.99
B_0005,2019,8,6320.7,3063.7,978.1,1171.0,1664.6,8.85
B_0005,2019,9,3834.4,1876.3,810.0,428.3,1513.1,2.03
B_0005,2019,10,4035.6,2142.2,1209.6,431.1,1608.8,6.01
B_0005,2019,11,4222.4,1696.3,1108.1,651.9,1040.6,4.24
B_0005,2019,12,3529.7,1253.6,726.7,682.2,800.2,3.15
B_0005,2020,1,6676.4,2222.3,755.5,1072.3,2637.9,4.27
B_0005,2020,2,7368.7,2233.5,1905.3,789.7,2550.5,3.7
B_0005,2020,3,9153.2,5128.5,1851.9,1326.5,3281.9,10.68
B_0005,2020,4,4221.1,1555.3,1133.0,642.5,861.7,4.32
B_0005,2020,5,5170.3,2106.3,1234.4,811.7,1220.8,4.3
B_0005,2020,6,5663.5,3267.7,1154.0,928.0,1339.5,5.09
B_0005,2020,7,10151.9,3549.9,2056.8,1409.0,3224.0,10.72
B_0005,2020,8,5286.2,2991.8,1269.5,594.9,1408.6,6.46
B_0005,2020,9,4633.7,2611.8,1367.9,918.4,1581.1,2.91
B_0005,2020,10,7443.8,3764.5,2121.0,793.3,2426.5,5.28
B_0005,2020,11,2367.8,869.3,287.2,406.1,823.3,1.97
B_0005,2020,12,8713.7,3371.8,1782.8,1698.9,2332.0,15.05
B_0005,2021,1,2284.1,1049.7,408.6,232.1,883.7,1.55
B_0005,2021,2,6575.5,2462.9,1050.8,781.5,1758.7,7.93
B_0005,2021,3,6614.8,2610.5,1887.3,810.7,2068.1,5.5
B_0005,2021,4,3997.2,1993.9,1136.3,675.7,1196.9,2.08
B_0005,2021,5,7550.0,2686.3,2075.9,1182.8,2117.8,5.66
B_0005,2021,6,5696.6,1808.7,1277.0,571.4,2130.2,5.68
B_0005,2021,7,2735.4,849.1,281.9,396.6,1077.7,2.39
B_0005,2021,8,7507.8,3253.8,1493.1,1422.6,2339.5,4.09
B_0005,2021,9,1953.3,613.6,310.3,387.8,467.0,1.31
B_0005,2021,10,6456.1,2158.7,878.7,776.0,1679.2,6.97
B_0005,2021,11,2478.8,1224.6,442.9,454.9,517.8,2.52
B_0005,2021,12,8023.0,3044.6,1136.6,1228.3,1978.9,4.76
B_0005,2022,1,9162.8,3964.4,2056.7,1764.0,2078.2,7.47
B_0005,2022,2,9442.0,4529.8,1223.8,1377.4,1940.8,7.02
B_0005,2022,3,7193.7,3272.9,1560.0,1047.9,1537.6,5.38
B_0005,2022,4,6520.8,3742.0,1007.6,887.5,2493.3,5.9
B_0005,2022,5,7202.0,3325.3,780.7,835.6,2120.9,6.63
B_0005,2022,6,9940.9,4098.6,2780.3,1020.6,3585.7,7.57
B_0005,2022,7,6368.2,2405.0,1014.9,790.9,2117.1,4.61
B_0005,2022,8,7028.8,3869.0,1974.4,705.0,1776.8,6.22
B_0005,2022,9,3226.2,1549.7,382.1,607.4,892.5,2.17
B_0005,2022,10,2456.9,1406.3,417.0,445.1,778.8,3.34
B_0005,2022,11,3946.6,1243.3,719.4,432.2,1140.8,2.99
B_0005,2022,12,6704.3,2064.4,1994.6,879.3,2326.1,4.66
B_0006,2018,1,5065.5,2278.7,972.2,857.0,1940.0,4.84
B_0006,2018,2,6551.3,3864.6,1127.1,1176.5,1606.0,11.66
B_0006,2018,3,2105.2,1198.0,250.0,312.2,570.0,1.46
B_0006,2018,4,3645.7,1528.9,699.8,373.7,851.3,1.95
B_0006,2018,5,3914.4,1182.3,752.6,533.0,1309.3,2.41
B_0006,2018,6,7355.5,2728.8,1205.2,1112.4,1511.8,13.22
B_0006,2018,7,8059.9,3745.6,1386.2,1216.4,2740.6,10.27
B_0006,2018,8,6606.0,3828.7,1938.8,781.3,2104.7,3.64
B_0006,2018,9,4204.5,1640.3,726.1,625.6,1234.4,4.54
B_0006,2018,10,4429.6,1408.8,978.9,763.7,1105.4,7.16
B_0006,2018,11,5118.2,1965.6,572.4,1002.0,1621.5,5.36
B_0006,2018,12,6550.1,2152.4,1482.5,1090.9,2098.1,5.91
B_0006,2019,1,7912.8,4402.3,845.5,1324.5,2275.2,5.6
B_0006,2019,2,4838.1,2307.2,1401.9,552.6,1572.3,2.58
B_0006,2019,3,3395.5,1088.9,987.5,617.6,857.5,3.73
B_0006,2019,4,3125.0,1693.9,717.4,510.8,743.1,1.72
B_0006,2019,5,4775.3,2470.4,1097.6,706.6,1880.1,3.41
B_0006,2019,6,4119.2,1412.7,769.8,488.8,1024.3,5.46
B_0006,2019,7,5796.9,2900.3,1573.9,802.8,1898.4,4.65
B_0006,2019,8,6286.9,3071.1,1478.9,737.6,1329.3,3.55
B_0006,2019,9,6390.8,2534.1,753.9,926.1,1879.0,5.71
B_0006,2019,10,2944.8,1034.6,305.8,471.9,1021.2,2.66
B_0006,2019,11,4651.0,1415.8,1192.1,869.7,1132.3,3.72
B_0006,2019,12,5869.1,3227.9,1550.4,1026.5,1791.7,6.09
B_0006,2020,1,2366.0,986.7,279.5,371.2,799.1,1.41
B_0006,2020,2,5256.0,1952.8,1080.9,555.0,1254.9,3.14
B_0006,2020,3,2776.2,1617.8,521.5,336.7,882.8,4.28
B_0006,2020,4,2393.6,1085.2,560.5,471.9,647.3,1.81
B_0006,2020,5,6694.3,2643.4,1605.9,1071.6,2309.6,3.95
B_0006,2020,6,7061.1,2785.1,1634.1,882.9,2710.5,4.38
B_0006,2020,7,4223.5,2410.3,1189.0,793.9,1114.8,2.77
B_0006,2020,8,5100.0,2291.5,1230.4,961.3,1304.8,3.79
B_0006,2020,9,5280.3,2331.2,1416.8,638.5,1191.2,5.02
B_0006,2020,10,7029.9,3135.6,2048.3,855.4,1493.3,3.98
B_0006,2020,11,6840.3,3310.8,934.2,1080.7,2441.8,10.89
B_0006,2020,12,7500.7,2460.4,1198.2,1119.9,2651.4,5.51
B_0006,2021,1,9786.4,5181.8,1784.3,1909.0,3262.2,13.44
B_0006,2021,2,5783.0,3051.8,1281.2,590.0,1715.0,3.11
B_0006,2021,3,5300.8,2232.7,1055.8,1047.5,1415.0,3.32
B_0006,2021,4,6786.0,3969.8,1254.6,1352.6,2628.6,5.39
B_0006,2021,5,3901.1,1946.9,1017.8,431.6,1315.1,3.19
B_0006,2021,6,3349.1,1181.5,936.5,569.1,1211.7,5.76
B_0006,2021,7,3394.8,1985.2,811.3,675.7,894.3,2.62
B_0006,2021,8,6125.5,3187.0,1471.9,1142.3,2076.8,3.84
B_0006,2021,9,3512.9,1299.3,421.0,684.2,1201.2,2.44
B_0006,2021,10,2999.3,1421.4,850.4,525.4,1155.2,5.16
B_0006,2021,11,5597.1,1694.8,683.3,591.5,1976.8,7.66
B_0006,2021,12,6492.1,3279.7,1101.1,717.8,1446.3,6.04
B_0006,2022,1,4340.2,1959.7,511.3,513.0,1151.8,2.83
B_0006,2022,2,2347.0,819.4,612.2,357.6,793.4,1.39
B_0006,2022,3,3061.2,1339.8,669.2,551.4,1111.3,3.48
B_0006,2022,4,4144.2,2441.6,822.2,716.1,1511.4,2.2
B_0006,2022,5,6366.5,2066.6,1396.0,1226.6,2511.1,6.58
B_0006,2022,6,5303.9,1809.9,1315.9,667.2,1965.0,5.37
B_0006,2022,7,2514.7,991.3,469.1,376.4,755.2,1.29
B_0006,2022,8,4765.5,1521.9,639.8,723.0,1581.4,2.41
B_0006,2022,9,2059.0,663.4,292.3,280.5,456.9,1.32
B_0006,2022,10,3022.4,1618.3,651.2,343.1,1034.8,1.98
B_0006,2022,11,6582.6,2391.1,1346.6,1085.2,2262.5,4.51
B_0006,2022,12,4157.0,2360.4,441.4,682.5,1244.2,2.78
B_0007,2018,1,8484.9,4591.2,1823.0,1102.1,2504.1,4.48
B_0007,2018,2,6753.0,3611.9,945.1,971.2,1826.6,12.87
B_0007,2018,3,5067.3,2857.1,824.7,957.3,1217.0,7.41
B_0007,2018,4,4216.7,1412.3,648.2,795.7,1412.4,3.89
B_0007,2018,5,9055.2,3180.8,1781.9,1325.6,3319.1,4.67
B_0007,2018,6,6890.4,2164.7,1829.2,874.5,2343.0,3.58
B_0007,2018,7,8573.0,4476.6,2489.4,1087.1,2509.0,11.72
B_0007,2018,8,4505.7,2632.4,703.4,849.8,1114.5,2.52
