building_id,timestamp,occupancy_count,occupancy_density_per_m2,activity_level,occupancy_type
B_0079,2020-01-01,2,0.0014,low,mixed
B_0080,2020-01-01,4,0.0072,low,residential
B_0081,2020-01-01,28,0.0301,low,mixed
B_0082,2020-01-01,0,0.0,low,commercial
B_0083,2020-01-01,0,0.0,low,residential
B_0084,2020-01-01,0,0.0,low,mixed
B_0085,2020-01-01,38,0.0233,low,residential
B_0086,2020-01-01,27,0.0407,low,commercial
B_0087,2020-01-01,0,0.0,low,residential
B_0088,2020-01-01,0,0.0,low,residential
B_0089,2020-01-01,5,0.0064,low,residential
B_0090,2020-01-01,0,0.0,low,commercial
B_0091,2020-01-01,3,0.0024,low,residential
B_0092,2020-01-01,28,0.0259,low,residential
B_0093,2020-01-01,9,0.0163,low,residential
B_0094,2020-01-01,41,0.0763,low,commercial
B_0095,2020-01-01,1,0.002,low,mixed
B_0096,2020-01-01,13,0.0141,low,mixed
B_0097,2020-01-01,19,0.0113,low,residential
B_0098,2020-01-01,28,0.0142,low,residential
B_0099,2020-01-01,31,0.0332,low,commercial
B_0100,2020-01-01,0,0.0,low,residential
B_0001,2020-01-02,8,0.0132,low,commercial
B_0002,2020-01-02,15,0.0113,low,mixed
B_0003,2020-01-02,33,0.0239,low,residential
B_0004,2020-01-02,30,0.0361,low,commercial
B_0005,2020-01-02,0,0.0,low,residential
B_0006,2020-01-02,0,0.0,low,residential
B_0007,2020-01-02,8,0.0044,low,residential
B_0008,2020-01-02,10,0.0058,low,commercial
B_0009,2020-01-02,10,0.0072,low,residential
B_0010,2020-01-02,0,0.0,low,residential
B_0011,2020-01-02,12,0.0134,low,commercial
B_0012,2020-01-02,3,0.0017,low,mixed
B_0013,2020-01-02,0,0.0,low,commercial
B_0014,2020-01-02,12,0.0119,low,commercial
B_0015,2020-01-02,0,0.0,low,commercial
B_0016,2020-01-02,0,0.0,low,mixed
B_0017,2020-01-02,5,0.0028,low,residential
B_0018,2020-01-02,0,0.0,low,commercial
B_0019,2020-01-02,9,0.008,low,mixed
B_0020,2020-01-02,0,0.0,low,commercial
B_0021,2020-01-02,60,0.0866,medium,commercial
B_0022,2020-01-02,19,0.0137,low,mixed
B_0023,2020-01-02,6,0.0036,low,mixed
B_0024,2020-01-02,6,0.0038,low,mixed
B_0025,2020-01-02,0,0.0,low,mixed
B_0026,2020-01-02,21,0.0305,low,residential
B_0027,2020-01-02,0,0.0,low,residential
B_0028,2020-01-02,21,0.0254,low,commercial
B_0029,2020-01-02,44,0.073,low,residential
B_0030,2020-01-02,46,0.0316,low,mixed
B_0031,2020-01-02,11,0.0081,low,residential
B_0032,2020-01-02,23,0.0154,low,residential
B_0033,2020-01-02,20,0.018,low,commercial
B_0034,2020-01-02,36,0.0307,low,commercial
B_0035,2020-01-02,5,0.0044,low,residential
B_0036,2020-01-02,10,0.0162,low,residential
B_0037,2020-01-02,5,0.003,low,commercial
B_0038,2020-01-02,0,0.0,low,mixed
B_0039,2020-01-02,8,0.0053,low,mixed
B_0040,2020-01-02,2,0.0016,low,commercial
B_0041,2020-01-02,16,0.0095,low,commercial
B_0042,2020-01-02,11,0.0084,low,mixed
B_0043,2020-01-02,0,0.0,low,mixed
B_0044,2020-01-02,0,0.0,low,mixed
B_0045,2020-01-02,0,0.0,low,mixed
B_0046,2020-01-02,6,0.0116,low,commercial
B_0047,2020-01-02,26,0.0192,low,residential
B_0048,2020-01-02,6,0.0076,low,commercial
B_0049,2020-01-02,1,0.0006,low,mixed
B_0050,2020-01-02,7,0.0037,low,mixed
B_0051,2020-01-02,0,0.0,low,mixed
B_0052,2020-01-02,14,0.0092,low,mixed
B_0053,2020-01-02,15,0.0221,low,residential
B_0054,2020-01-02,0,0.0,low,residential
B_0055,2020-01-02,0,0.0,low,commercial
B_0056,2020-01-02,0,0.0,low,mixed
B_0057,2020-01-02,7,0.0074,low,residential
B_0058,2020-01-02,18,0.0118,low,residential
B_0059,2020-01-02,9,0.0126,low,residential
B_0060,2020-01-02,4,0.0055,low,residential
B_0061,2020-01-02,19,0.0177,low,commercial
B_0062,2020-01-02,2,0.0016,low,residential
B_0063,2020-01-02,20,0.0261,low,mixed
B_0064,2020-01-02,10,0.0054,low,residential
B_0065,2020-01-02,3,0.0017,low,mixed
B_0066,2020-01-02,7,0.0052,low,residential
B_0067,2020-01-02,25,0.0148,low,mixed
B_0068,2020-01-02,2,0.0026,low,mixed
B_0069,2020-01-02,22,0.0168,low,mixed
B_0070,2020-01-02,0,0.0,low,commercial
B_0071,2020-01-02,18,0.0117,low,commercial
B_0072,2020-01-02,10,0.0097,low,commercial
B_0073,2020-01-02,3,0.0016,low,residential
B_0074,2020-01-02,60,0.0303,medium,mixed
B_0075,2020-01-02,31,0.0307,low,commercial
B_0076,2020-01-02,42,0.0214,low,residential
B_0077,2020-01-02,10,0.0169,low,commercial
B_0078,2020-01-02,16,0.0095,low,mixed
B_0079,2020-01-02,0,0.0,low,commercial
B_0080,2020-01-02,20,0.0143,low,mixed
B_0081,2020-01-02,31,0.0215,low,commercial
B_0082,2020-01-02,25,0.0176,low,mixed
B_0083,2020-01-02,2,0.0022,low,commercial
B_0084,2020-01-02,36,0.0245,low,mixed
B_0085,2020-01-02,1,0.0012,low,residential
B_0086,2020-01-02,46,0.0325,low,residential
B_0087,2020-01-02,12,0.0089,low,commercial
B_0088,2020-01-02,8,0.0088,low,commercial
B_0089,2020-01-02,6,0.0048,low,residential
B_0090,2020-01-02,6,0.0034,low,mixed
B_0091,2020-01-02,16,0.0083,medium,residential
B_0092,2020-01-02,18,0.0121,low,residential
B_0093,2020-01-02,31,0.017,low,residential
B_0094,2020-01-02,14,0.0207,low,commercial
B_0095,2020-01-02,2,0.0012,low,residential
B_0096,2020-01-02,0,0.0,low,commercial
B_0097,2020-01-02,3,0.0015,low,residential
B_0098,2020-01-02,27,0.0256,low,mixed
B_0099,2020-01-02,13,0.0104,low,residential
B_0100,2020-01-02,19,0.023,low,commercial
B_0001,2020-01-03,20,0.0247,low,residential
B_0002,2020-01-03,33,0.0261,low,residential
B_0003,2020-01-03,7,0.0048,low,commercial
B_0004,2020-01-03,0,0.0,low,mixed
B_0005,2020-01-03,23,0.0136,low,mixed
B_0006,2020-01-03,0,0.0,low,residential
B_0007,2020-01-03,1,0.0016,low,residential
B_0008,2020-01-03,8,0.005,low,mixed
B_0009,2020-01-03,10,0.006,low,mixed
B_0010,2020-01-03,0,0.0,low,mixed
B_0011,2020-01-03,30,0.0151,low,mixed
B_0012,2020-01-03,25,0.0238,low,commercial
B_0013,2020-01-03,7,0.0035,low,mixed
B_0014,2020-01-03,10,0.006,low,commercial
B_0015,2020-01-03,18,0.0096,low,commercial
B_0016,2020-01-03,24,0.0267,low,mixed
B_0017,2020-01-03,28,0.0321,low,mixed
B_0018,2020-01-03,30,0.0238,low,residential
B_0019,2020-01-03,1,0.0005,low,residential
B_0020,2020-01-03,63,0.0449,medium,commercial
B_0021,2020-01-03,0,0.0,low,commercial
B_0022,2020-01-03,3,0.0019,low,mixed
B_0023,2020-01-03,2,0.0029,low,residential
B_0024,2020-01-03,17,0.0125,low,commercial
B_0025,2020-01-03,8,0.006,low,commercial
B_0026,2020-01-03,19,0.0225,low,residential
B_0027,2020-01-03,25,0.0306,low,residential
B_0028,2020-01-03,4,0.0028,low,commercial
B_0029,2020-01-03,0,0.0,low,mixed
B_0030,2020-01-03,8,0.0067,low,commercial
B_0031,2020-01-03,10,0.0092,low,mixed
B_0032,2020-01-03,0,0.0,low,commercial
B_0033,2020-01-03,2,0.0039,low,mixed
B_0034,2020-01-03,11,0.0067,low,mixed
B_0035,2020-01-03,8,0.0111,low,mixed
B_0036,2020-01-03,27,0.0146,low,commercial
B_0037,2020-01-03,0,0.0,low,mixed
B_0038,2020-01-03,1,0.0006,low,residential
B_0039,2020-01-03,7,0.0037,low,residential
B_0040,2020-01-03,44,0.0264,low,mixed
B_0041,2020-01-03,0,0.0,low,commercial
B_0042,2020-01-03,6,0.005,low,residential
B_0043,2020-01-03,15,0.0199,low,commercial
B_0044,2020-01-03,8,0.0099,low,mixed
B_0045,2020-01-03,15,0.0118,low,commercial
B_0046,2020-01-03,19,0.0116,low,mixed
B_0047,2020-01-03,34,0.0187,low,mixed
B_0048,2020-01-03,0,0.0,low,residential
B_0049,2020-01-03,17,0.0153,low,commercial
B_0050,2020-01-03,12,0.0215,low,commercial
B_0051,2020-01-03,5,0.0032,low,residential
B_0052,2020-01-03,15,0.0221,low,commercial
B_0053,2020-01-03,47,0.0578,medium,commercial
B_0054,2020-01-03,23,0.0172,low,commercial
B_0055,2020-01-03,37,0.0718,low,mixed
B_0056,2020-01-03,25,0.0142,low,residential
B_0057,2020-01-03,29,0.0262,low,mixed
B_0058,2020-01-03,19,0.0167,low,commercial
B_0059,2020-01-03,0,0.0,low,mixed
B_0060,2020-01-03,17,0.0303,low,residential
B_0061,2020-01-03,10,0.0147,low,residential
B_0062,2020-01-03,0,0.0,low,mixed
B_0063,2020-01-03,14,0.0075,low,mixed
B_0064,2020-01-03,10,0.0111,low,mixed
B_0065,2020-01-03,8,0.0045,low,commercial
B_0066,2020-01-03,0,0.0,low,residential
B_0067,2020-01-03,7,0.0037,low,commercial
B_0068,2020-01-03,3,0.002,low,residential
B_0069,2020-01-03,3,0.0038,low,mixed
B_0070,2020-01-03,6,0.0057,low,commercial
B_0071,2020-01-03,7,0.0079,low,residential
B_0072,2020-01-03,0,0.0,low,residential
B_0073,2020-01-03,9,0.0099,low,commercial
B_0074,2020-01-03,32,0.0203,low,residential
B_0075,2020-01-03,9,0.0089,low,mixed
B_0076,2020-01-03,14,0.0176,low,residential
B_0077,2020-01-03,16,0.0107,low,mixed
B_0078,2020-01-03,10,0.0073,low,mixed
B_0079,2020-01-03,0,0.0,low,residential
B_0080,2020-01-03,10,0.0125,low,residential
B_0081,2020-01-03,3,0.0028,low,commercial
B_0082,2020-01-03,5,0.0038,low,commercial
B_0083,2020-01-03,19,0.0311,low,mixed
B_0084,2020-01-03,7,0.0037,low,mixed
B_0085,2020-01-03,13,0.0146,low,commercial
B_0086,2020-01-03,12,0.0225,low,residential
B_0087,2020-01-03,17,0.0089,low,commercial
B_0088,2020-01-03,7,0.0041,low,mixed
B_0089,2020-01-03,3,0.0033,low,residential
B_0090,2020-01-03,55,0.0334,medium,mixed
B_0091,2020-01-03,17,0.009,low,mixed
B_0092,2020-01-03,5,0.0039,low,residential
B_0093,2020-01-03,9,0.0049,low,commercial
B_0094,2020-01-03,13,0.0183,low,residential
B_0095,2020-01-03,0,0.0,low,commercial
B_0096,2020-01-03,21,0.0135,low,commercial
B_0097,2020-01-03,13,0.016,low,commercial
B_0098,2020-01-03,26,0.0138,low,mixed
B_0099,2020-01-03,0,0.0,low,commercial
B_0100,2020-01-03,9,0.0112,low,residential
B_0001,2020-01-04,4,0.0051,low,commercial
B_0002,2020-01-04,33,0.0586,medium,residential
B_0003,2020-01-04,9,0.0068,low,mixed
B_0004,2020-01-04,0,0.0,low,mixed
B_0005,2020-01-04,5,0.0089,low,mixed
B_0006,2020-01-04,11,0.0103,low,residential
B_0007,2020-01-04,10,0.0051,low,residential
B_0008,2020-01-04,6,0.0073,low,commercial
B_0009,2020-01-04,10,0.005,low,mixed
B_0010,2020-01-04,5,0.0055,low,commercial
B_0011,2020-01-04,43,0.0339,low,commercial
B_0012,2020-01-04,23,0.0289,low,commercial
B_0013,2020-01-04,0,0.0,low,residential
B_0014,2020-01-04,0,0.0,low,mixed
B_0015,2020-01-04,10,0.0116,low,commercial
B_0016,2020-01-04,17,0.0176,low,residential
B_0017,2020-01-04,0,0.0,low,commercial
B_0018,2020-01-04,24,0.0351,medium,commercial
B_0019,2020-01-04,19,0.0266,low,mixed
B_0020,2020-01-04,14,0.0276,low,residential
B_0021,2020-01-04,9,0.0109,low,residential
B_0022,2020-01-04,14,0.0088,low,mixed
B_0023,2020-01-04,0,0.0,low,residential
B_0024,2020-01-04,6,0.0055,low,commercial
B_0025,2020-01-04,0,0.0,low,residential
B_0026,2020-01-04,1,0.0005,low,residential
B_0027,2020-01-04,10,0.0053,low,mixed
B_0028,2020-01-04,18,0.0109,low,mixed
B_0029,2020-01-04,0,0.0,low,mixed
B_0030,2020-01-04,17,0.009,low,residential
B_0031,2020-01-04,0,0.0,low,mixed
B_0032,2020-01-04,14,0.0095,low,residential
B_0033,2020-01-04,5,0.005,low,mixed
B_0034,2020-01-04,17,0.0101,low,mixed
B_0035,2020-01-04,0,0.0,low,mixed
B_0036,2020-01-04,18,0.0132,low,residential
B_0037,2020-01-04,22,0.0115,low,residential
B_0038,2020-01-04,7,0.0126,low,residential
B_0039,2020-01-04,12,0.0063,low,commercial
B_0040,2020-01-04,0,0.0,low,commercial
B_0041,2020-01-04,14,0.0114,low,residential
B_0042,2020-01-04,27,0.053,low,residential
B_0043,2020-01-04,0,0.0,low,commercial
B_0044,2020-01-04,4,0.0026,low,commercial
B_0045,2020-01-04,5,0.0092,low,commercial
B_0046,2020-01-04,0,0.0,low,commercial
B_0047,2020-01-04,0,0.0,low,residential
B_0048,2020-01-04,0,0.0,low,residential
B_0049,2020-01-04,4,0.0034,low,mixed
B_0050,2020-01-04,0,0.0,low,residential
B_0051,2020-01-04,23,0.0189,low,commercial
B_0052,2020-01-04,0,0.0,low,residential
B_0053,2020-01-04,38,0.0296,low,residential
B_0054,2020-01-04,17,0.0111,low,mixed
B_0055,2020-01-04,0,0.0,low,commercial
B_0056,2020-01-04,51,0.0586,medium,mixed
B_0057,2020-01-04,18,0.0226,low,commercial
B_0058,2020-01-04,0,0.0,low,mixed
B_0059,2020-01-04,0,0.0,low,commercial
B_0060,2020-01-04,1,0.0008,low,commercial
B_0061,2020-01-04,31,0.0228,low,mixed
B_0062,2020-01-04,0,0.0,low,residential
B_0063,2020-01-04,19,0.0282,low,mixed
B_0064,2020-01-04,1,0.0007,low,mixed
B_0065,2020-01-04,17,0.0087,low,commercial
B_0066,2020-01-04,0,0.0,low,commercial
B_0067,2020-01-04,5,0.0059,low,commercial
B_0068,2020-01-04,0,0.0,low,residential
B_0069,2020-01-04,7,0.006,low,mixed
B_0070,2020-01-04,12,0.0093,low,residential
B_0071,2020-01-04,4,0.0024,low,residential
B_0072,2020-01-04,4,0.0033,low,commercial
B_0073,2020-01-04,6,0.0043,low,mixed
B_0074,2020-01-04,24,0.0402,low,commercial
B_0075,2020-01-04,9,0.0071,low,mixed
B_0076,2020-01-04,14,0.0182,low,residential
B_0077,2020-01-04,46,0.0755,low,residential
B_0078,2020-01-04,4,0.0026,low,mixed
B_0079,2020-01-04,9,0.0121,low,residential
B_0080,2020-01-04,10,0.0075,low,residential
B_0081,2020-01-04,20,0.0237,low,mixed
B_0082,2020-01-04,0,0.0,low,residential
B_0083,2020-01-04,15,0.0192,low,mixed
B_0084,2020-01-04,0,0.0,low,mixed
B_0085,2020-01-04,7,0.0037,low,mixed
B_0086,2020-01-04,0,0.0,low,commercial
B_0087,2020-01-04,7,0.0043,low,mixed
B_0088,2020-01-04,3,0.0022,low,commercial
B_0089,2020-01-04,3,0.0032,low,residential
B_0090,2020-01-04,10,0.0053,low,residential
B_0091,2020-01-04,14,0.0085,low,mixed
B_0092,2020-01-04,2,0.0014,low,residential
B_0093,2020-01-04,21,0.0141,low,residential
B_0094,2020-01-04,16,0.017,low,commercial
B_0095,2020-01-04,6,0.0041,low,residential
B_0096,2020-01-04,11,0.0084,low,commercial
B_0097,2020-01-04,11,0.02,low,commercial
B_0098,2020-01-04,10,0.0088,low,mixed
B_0099,2020-01-04,20,0.0198,low,mixed
B_0100,2020-01-04,0,0.0,low,mixed
B_0001,2020-01-05,0,0.0,low,mixed
B_0002,2020-01-05,7,0.0121,low,mixed
B_0003,2020-01-05,13,0.0187,low,residential
B_0004,2020-01-05,15,0.0159,low,residential
B_0005,2020-01-05,13,0.0076,low,mixed
B_0006,2020-01-05,0,0.0,low,mixed
B_0007,2020-01-05,3,0.0015,low,residential
B_0008,2020-01-05,7,0.0044,low,commercial
B_0009,2020-01-05,3,0.0021,low,residential
B_0010,2020-01-05,25,0.0204,low,residential
B_0011,2020-01-05,6,0.0098,low,commercial
B_0012,2020-01-05,0,0.0,low,mixed
B_0013,2020-01-05,27,0.0379,low,mixed
B_0014,2020-01-05,0,0.0,low,mixed
B_0015,2020-01-05,10,0.0107,low,residential
B_0016,2020-01-05,5,0.0031,low,residential
B_0017,2020-01-05,2,0.0021,low,mixed
B_0018,2020-01-05,0,0.0,low,residential
B_0019,2020-01-05,15,0.0185,low,residential
B_0020,2020-01-05,4,0.0023,low,mixed
B_0021,2020-01-05,13,0.0124,low,mixed
B_0022,2020-01-05,0,0.0,low,mixed
B_0023,2020-01-05,29,0.0203,low,mixed
B_0024,2020-01-05,20,0.02,low,residential
B_0025,2020-01-05,0,0.0,low,mixed
B_0026,2020-01-05,6,0.0055,low,residential
B_0027,2020-01-05,2,0.0011,low,commercial
B_0028,2020-01-05,25,0.0152,low,mixed
B_0029,2020-01-05,19,0.0108,low,commercial
B_0030,2020-01-05,0,0.0,low,mixed
B_0031,2020-01-05,0,0.0,low,commercial
B_0032,2020-01-05,4,0.0056,low,mixed
B_0033,2020-01-05,0,0.0,low,commercial
B_0034,2020-01-05,14,0.0113,low,residential
B_0035,2020-01-05,3,0.0018,low,commercial
B_0036,2020-01-05,11,0.0068,low,residential
B_0037,2020-01-05,0,0.0,low,mixed
B_0038,2020-01-05,3,0.0015,low,commercial
B_0039,2020-01-05,11,0.0058,low,residential
B_0040,2020-01-05,23,0.013,low,commercial
B_0041,2020-01-05,0,0.0,low,commercial
B_0042,2020-01-05,12,0.0184,low,residential
B_0043,2020-01-05,0,0.0,low,residential
B_0044,2020-01-05,42,0.0286,low,mixed
B_0045,2020-01-05,22,0.0197,low,mixed
B_0046,2020-01-05,6,0.0032,low,residential
B_0047,2020-01-05,4,0.0029,low,residential
B_0048,2020-01-05,11,0.009,low,mixed
B_0049,2020-01-05,9,0.0148,low,mixed
B_0050,2020-01-05,20,0.0307,low,mixed
B_0051,2020-01-05,18,0.0113,low,mixed
B_0052,2020-01-05,0,0.0,low,mixed
B_0053,2020-01-05,11,0.0116,low,mixed
B_0054,2020-01-05,8,0.0066,low,commercial
B_0055,2020-01-05,7,0.0056,low,commercial
B_0056,2020-01-05,15,0.0081,low,residential
B_0057,2020-01-05,19,0.0351,low,commercial
B_0058,2020-01-05,12,0.0172,low,commercial
B_0059,2020-01-05,0,0.0,low,commercial
B_0060,2020-01-05,9,0.0059,low,mixed
B_0061,2020-01-05,0,0.0,low,residential
B_0062,2020-01-05,0,0.0,low,commercial
B_0063,2020-01-05,15,0.0247,low,residential
B_0064,2020-01-05,8,0.0075,low,residential
B_0065,2020-01-05,0,0.0,low,residential
B_0066,2020-01-05,19,0.029,low,residential
B_0067,2020-01-05,12,0.0107,low,mixed
B_0068,2020-01-05,0,0.0,low,commercial
B_0069,2020-01-05,24,0.0161,low,residential
B_0070,2020-01-05,12,0.0089,low,residential
B_0071,2020-01-05,9,0.0075,low,mixed
B_0072,2020-01-05,18,0.0148,low,residential
B_0073,2020-01-05,0,0.0,low,residential
B_0074,2020-01-05,16,0.0148,low,mixed
B_0075,2020-01-05,21,0.0144,low,commercial
B_0076,2020-01-05,14,0.0125,low,mixed
B_0077,2020-01-05,4,0.0022,low,residential
B_0078,2020-01-05,0,0.0,low,commercial
B_0079,2020-01-05,4,0.0027,low,mixed
B_0080,2020-01-05,4,0.0034,low,mixed
B_0081,2020-01-05,0,0.0,low,residential
B_0082,2020-01-05,11,0.0065,low,mixed
B_0083,2020-01-05,3,0.0029,low,commercial
B_0084,2020-01-05,26,0.0236,low,commercial
B_0085,2020-01-05,0,0.0,low,commercial
B_0086,2020-01-05,0,0.0,low,mixed
B_0087,2020-01-05,11,0.0097,low,residential
B_0088,2020-01-05,16,0.022,low,residential
B_0089,2020-01-05,2,0.0021,low,mixed
B_0090,2020-01-05,3,0.0019,low,commercial
B_0091,2020-01-05,0,0.0,low,residential
B_0092,2020-01-05,1,0.0006,low,residential
B_0093,2020-01-05,7,0.0035,low,commercial
B_0094,2020-01-05,0,0.0,low,commercial
B_0095,2020-01-05,0,0.0,low,residential
B_0096,2020-01-05,0,0.0,low,residential
B_0097,2020-01-05,19,0.0134,medium,commercial
B_0098,2020-01-05,0,0.0,low,mixed
B_0099,2020-01-05,23,0.0232,low,mixed
B_0100,2020-01-05,24,0.0264,low,residential
B_0001,2020-01-06,23,0.0289,low,mixed
B_0002,2020-01-06,5,0.0078,low,residential
B_0003,2020-01-06,7,0.0091,low,commercial
B_0004,2020-01-06,5,0.0036,low,mixed
B_0005,2020-01-06,18,0.0214,low,mixed
B_0006,2020-01-06,0,0.0,low,residential
B_0007,2020-01-06,4,0.004,low,mixed
B_0008,2020-01-06,0,0.0,low,residential
B_0009,2020-01-06,26,0.0201,low,residential
B_0010,2020-01-06,0,0.0,low,commercial
B_0011,2020-01-06,10,0.0059,low,residential
B_0012,2020-01-06,17,0.023,low,mixed
B_0013,2020-01-06,26,0.0165,low,commercial
B_0014,2020-01-06,9,0.0124,low,residential
B_0015,2020-01-06,21,0.0288,low,residential
B_0016,2020-01-06,13,0.0075,low,residential
B_0017,2020-01-06,0,0.0,low,commercial
B_0018,2020-01-06,18,0.0135,low,mixed
B_0019,2020-01-06,13,0.0251,low,residential
B_0020,2020-01-06,13,0.0203,low,residential
B_0021,2020-01-06,1,0.0013,low,mixed
B_0022,2020-01-06,24,0.0154,low,residential
B_0023,2020-01-06,9,0.0053,low,residential
B_0024,2020-01-06,51,0.0303,low,residential
B_0025,2020-01-06,5,0.0031,low,mixed
B_0026,2020-01-06,1,0.0006,low,mixed
B_0027,2020-01-06,9,0.0049,low,residential
B_0028,2020-01-06,28,0.0148,low,residential
B_0029,2020-01-06,16,0.0106,low,mixed
B_0030,2020-01-06,8,0.0113,low,mixed
B_0031,2020-01-06,27,0.0212,low,residential
B_0032,2020-01-06,10,0.0077,low,mixed
B_0033,2020-01-06,27,0.0167,low,residential
B_0034,2020-01-06,4,0.0051,low,residential
B_0035,2020-01-06,0,0.0,low,mixed
B_0036,2020-01-06,33,0.0269,low,mixed
B_0037,2020-01-06,0,0.0,low,commercial
B_0038,2020-01-06,0,0.0,low,commercial
B_0039,2020-01-06,15,0.0115,low,residential
B_0040,2020-01-06,5,0.0027,low,mixed
B_0041,2020-01-06,32,0.0546,low,mixed
B_0042,2020-01-06,34,0.0338,low,mixed
B_0043,2020-01-06,10,0.0117,low,mixed
B_0044,2020-01-06,18,0.0095,low,mixed
B_0045,2020-01-06,18,0.0103,low,residential
B_0046,2020-01-06,9,0.0113,low,mixed
B_0047,2020-01-06,16,0.0158,low,mixed
B_0048,2020-01-06,0,0.0,low,residential
B_0049,2020-01-06,23,0.0119,low,residential
B_0050,2020-01-06,0,0.0,low,residential
B_0051,2020-01-06,21,0.024,medium,mixed
B_0052,2020-01-06,16,0.0081,low,mixed
B_0053,2020-01-06,0,0.0,low,residential
B_0054,2020-01-06,7,0.0037,low,residential
B_0055,2020-01-06,11,0.0075,low,mixed
B_0056,2020-01-06,16,0.023,low,commercial
B_0057,2020-01-06,0,0.0,low,residential
B_0058,2020-01-06,0,0.0,low,commercial
B_0059,2020-01-06,28,0.0147,low,residential
B_0060,2020-01-06,0,0.0,low,commercial
B_0061,2020-01-06,2,0.0014,low,commercial
B_0062,2020-01-06,21,0.0138,low,mixed
B_0063,2020-01-06,3,0.0019,low,residential
B_0064,2020-01-06,0,0.0,low,residential
B_0065,2020-01-06,13,0.0184,low,commercial
B_0066,2020-01-06,14,0.0231,low,mixed
B_0067,2020-01-06,16,0.0159,low,residential
B_0068,2020-01-06,2,0.0014,low,mixed
B_0069,2020-01-06,8,0.0109,low,mixed
B_0070,2020-01-06,16,0.0112,low,mixed
B_0071,2020-01-06,12,0.0119,low,mixed
