building_id,timestamp,outdoor_temp_c,outdoor_humidity_percent,wind_speed_ms,wind_direction_deg,solar_irradiance_wm2,precipitation_mm,atmospheric_pressure_hpa
B_0080,2020-01-01,-10.6,49.5,0.0,90.1,247.9,1.0,1006.0
B_0081,2020-01-01,4.6,43.6,0.3,59.3,178.1,3.1,1015.3
B_0082,2020-01-01,-3.0,58.2,3.1,112.5,191.9,3.5,1010.8
B_0083,2020-01-01,-3.2,42.3,3.1,19.1,0.0,0.5,1005.0
B_0084,2020-01-01,1.4,90.0,3.3,219.9,140.9,3.3,998.9
B_0085,2020-01-01,-1.8,65.0,6.5,209.8,320.5,1.5,1032.4
B_0086,2020-01-01,-5.9,68.5,9.1,297.1,349.4,2.3,1024.7
B_0087,2020-01-01,-5.2,76.4,7.8,144.7,205.0,0.8,1030.2
B_0088,2020-01-01,-0.2,65.7,6.7,246.9,382.6,6.4,1048.4
B_0089,2020-01-01,0.6,69.6,4.6,53.3,342.2,0.3,1024.4
B_0090,2020-01-01,1.4,68.6,0.1,114.9,126.7,0.8,1041.8
B_0091,2020-01-01,-1.7,59.6,0.2,174.5,265.5,3.8,976.3
B_0092,2020-01-01,-6.8,35.7,5.9,73.3,331.4,5.2,1036.4
B_0093,2020-01-01,-3.3,69.1,1.7,154.0,240.8,1.2,1006.3
B_0094,2020-01-01,-3.1,40.0,1.4,141.5,360.8,2.0,1009.4
B_0095,2020-01-01,-4.7,30.1,6.2,64.4,200.0,0.7,1028.3
B_0096,2020-01-01,-0.3,35.8,0.3,348.0,304.7,0.3,1006.5
B_0097,2020-01-01,-6.8,41.2,3.5,350.7,351.8,0.4,1007.0
B_0098,2020-01-01,-3.8,43.4,3.4,261.4,448.3,0.2,1005.9
B_0099,2020-01-01,-11.4,69.5,0.1,143.5,215.4,0.7,1014.1
B_0100,2020-01-01,-3.2,90.0,2.9,166.0,24.1,1.3,1003.7
B_0001,2020-01-02,2.2,38.8,2.3,292.9,358.6,1.2,999.7
B_0002,2020-01-02,-1.0,80.4,2.3,270.2,229.0,0.6,1033.4
B_0003,2020-01-02,0.6,90.0,0.7,181.2,279.7,0.2,1031.4
B_0004,2020-01-02,-8.0,87.5,0.4,258.4,93.6,2.8,991.3
B_0005,2020-01-02,-6.6,30.0,0.4,321.0,373.1,1.9,1026.8
B_0006,2020-01-02,-14.4,52.1,2.1,106.0,129.6,1.3,998.2
B_0007,2020-01-02,-3.1,43.7,8.9,261.7,133.5,0.5,994.2
B_0008,2020-01-02,-7.1,45.9,0.4,161.0,277.1,0.5,1002.2
B_0009,2020-01-02,-2.7,73.9,1.3,289.3,213.1,0.4,1015.1
B_0010,2020-01-02,-8.1,80.3,3.9,46.6,158.5,2.3,1032.3
B_0011,2020-01-02,-9.0,31.5,3.8,319.4,209.2,0.7,1002.1
B_0012,2020-01-02,-7.3,55.9,0.5,44.5,420.4,2.5,1008.3
B_0013,2020-01-02,-11.5,74.4,0.1,288.6,183.3,3.5,1030.0
B_0014,2020-01-02,-9.6,58.3,2.9,0.7,237.7,1.4,1004.4
B_0015,2020-01-02,2.5,78.3,7.5,159.5,59.5,4.5,1025.7
B_0016,2020-01-02,-8.3,58.6,1.2,211.7,147.1,3.0,988.0
B_0017,2020-01-02,-1.6,81.0,3.9,345.9,405.8,3.2,1005.7
B_0018,2020-01-02,-13.9,66.0,3.3,341.8,116.2,2.6,1021.7
B_0019,2020-01-02,-0.6,50.3,0.6,303.6,251.1,3.5,1026.5
B_0020,2020-01-02,-5.9,48.8,0.1,50.5,426.8,0.3,993.7
B_0021,2020-01-02,-9.7,39.0,0.7,149.5,254.8,2.9,1014.3
B_0022,2020-01-02,-5.3,73.0,5.2,191.1,293.3,0.1,1003.6
B_0023,2020-01-02,-7.1,41.8,2.1,330.1,224.6,7.2,1050.0
B_0024,2020-01-02,-4.9,50.5,5.0,196.7,294.1,1.0,1042.9
B_0025,2020-01-02,-3.1,88.1,1.8,284.2,259.6,1.3,1021.2
B_0026,2020-01-02,-17.5,69.4,0.9,314.2,210.7,5.8,1007.6
B_0027,2020-01-02,1.7,76.4,2.5,122.3,230.8,1.4,1006.2
B_0028,2020-01-02,-6.4,50.2,0.3,138.8,103.0,2.1,1032.1
B_0029,2020-01-02,-6.4,30.0,1.4,359.2,197.4,0.9,1002.7
B_0030,2020-01-02,-7.3,51.5,0.3,75.1,414.2,0.3,997.5
B_0031,2020-01-02,-11.0,67.5,2.0,87.6,268.9,2.6,1014.1
B_0032,2020-01-02,-2.4,61.8,1.8,282.0,64.4,2.7,1014.7
B_0033,2020-01-02,-8.6,39.2,7.0,67.1,151.4,0.3,979.4
B_0034,2020-01-02,-8.1,50.7,0.7,216.6,215.8,1.1,1023.1
B_0035,2020-01-02,-1.3,52.7,0.4,10.0,258.0,0.5,995.2
B_0036,2020-01-02,-13.0,56.0,0.0,105.5,107.4,2.4,1027.9
B_0037,2020-01-02,-4.6,59.8,4.6,86.9,337.2,0.1,1028.0
B_0038,2020-01-02,-1.0,77.8,1.0,265.2,379.4,0.5,981.4
B_0039,2020-01-02,-2.1,56.0,1.1,106.2,92.1,11.5,1024.3
B_0040,2020-01-02,-2.5,83.9,0.3,57.1,296.1,1.7,998.2
B_0041,2020-01-02,1.3,51.5,3.0,353.9,229.2,2.6,972.2
B_0042,2020-01-02,-6.8,76.2,12.7,53.6,345.5,0.6,986.8
B_0043,2020-01-02,-9.7,69.5,0.1,275.2,259.7,0.2,1019.0
B_0044,2020-01-02,-7.9,65.1,7.0,335.8,188.5,0.5,986.3
B_0045,2020-01-02,0.7,55.2,0.9,133.0,350.6,1.6,1025.6
B_0046,2020-01-02,-5.8,47.9,5.3,297.3,159.3,0.6,994.0
B_0047,2020-01-02,-11.4,51.1,1.2,221.8,330.1,1.1,988.6
B_0048,2020-01-02,-2.4,71.0,0.0,93.0,277.0,1.1,1004.1
B_0049,2020-01-02,3.0,46.0,2.3,345.5,297.8,0.7,994.3
B_0050,2020-01-02,-1.1,78.6,2.3,77.2,108.9,1.3,990.3
B_0051,2020-01-02,-7.6,54.3,4.1,87.2,146.0,6.0,1035.1
B_0052,2020-01-02,-3.3,78.4,1.1,127.5,273.9,1.6,1016.2
B_0053,2020-01-02,-9.9,47.4,10.4,88.4,561.4,0.6,1028.3
B_0054,2020-01-02,-0.9,61.1,1.1,182.0,105.5,0.1,988.4
B_0055,2020-01-02,-0.6,80.3,2.0,11.3,259.2,0.1,1023.9
B_0056,2020-01-02,-13.8,68.3,0.7,328.9,160.1,0.7,999.7
B_0057,2020-01-02,-4.7,39.7,0.7,198.1,30.5,2.3,1025.4
B_0058,2020-01-02,-12.0,56.3,1.3,216.6,166.8,0.7,993.8
B_0059,2020-01-02,-6.1,32.3,3.3,292.2,30.8,1.7,1011.3
B_0060,2020-01-02,-7.8,90.0,2.6,41.5,53.1,3.3,1012.8
B_0061,2020-01-02,-6.0,72.4,4.0,178.0,99.8,1.1,980.2
B_0062,2020-01-02,1.4,88.7,0.5,92.0,260.2,0.5,1029.0
B_0063,2020-01-02,-5.9,71.7,1.3,229.3,218.6,0.9,1017.8
B_0064,2020-01-02,-4.4,36.5,1.5,295.5,217.9,0.6,1034.2
B_0065,2020-01-02,-6.5,49.4,2.9,42.8,378.4,0.3,1002.5
B_0066,2020-01-02,-4.7,62.7,9.1,32.7,351.6,0.7,995.1
B_0067,2020-01-02,-4.0,43.6,2.5,297.7,188.3,1.1,1032.1
B_0068,2020-01-02,-10.6,50.6,4.2,138.2,299.8,4.5,997.8
B_0069,2020-01-02,-4.4,65.5,1.6,189.7,119.5,0.0,1034.8
B_0070,2020-01-02,-0.2,80.6,3.7,308.0,121.2,2.7,1016.6
B_0071,2020-01-02,2.9,58.6,1.7,297.1,313.0,2.1,1014.7
B_0072,2020-01-02,-14.0,60.0,1.1,184.5,120.1,0.0,1007.7
B_0073,2020-01-02,-5.1,69.8,0.4,280.8,130.7,0.5,1011.5
B_0074,2020-01-02,-3.2,50.8,6.2,87.4,191.1,1.5,1026.0
B_0075,2020-01-02,0.8,53.0,2.2,346.3,196.4,1.9,1001.9
B_0076,2020-01-02,-3.7,46.2,1.7,113.7,249.8,2.3,1010.3
B_0077,2020-01-02,-8.9,69.4,0.4,279.5,242.5,0.9,1002.5
B_0078,2020-01-02,-6.3,66.1,6.7,118.8,65.7,2.3,979.9
B_0079,2020-01-02,-6.8,63.7,5.5,345.8,87.0,6.6,1021.3
B_0080,2020-01-02,-10.6,54.3,2.7,84.3,168.3,1.0,972.0
B_0081,2020-01-02,-4.1,42.1,3.6,70.5,142.2,0.5,1021.8
B_0082,2020-01-02,-4.8,54.8,2.9,71.8,260.7,0.7,1036.0
B_0083,2020-01-02,-3.0,47.6,7.0,304.6,318.6,7.8,1007.3
B_0084,2020-01-02,-6.5,53.5,1.8,214.9,9.0,1.6,999.4
B_0085,2020-01-02,-6.5,90.0,0.9,118.6,236.2,0.1,1005.3
B_0086,2020-01-02,-3.1,78.8,0.8,233.1,199.0,0.3,991.4
B_0087,2020-01-02,-5.9,53.8,0.8,159.3,220.4,1.8,1004.5
B_0088,2020-01-02,-3.6,62.7,0.2,335.6,150.1,1.2,1028.0
B_0089,2020-01-02,-6.7,55.7,2.6,269.5,248.7,1.8,1031.9
B_0090,2020-01-02,-10.4,52.0,0.7,283.7,116.1,3.3,1034.6
B_0091,2020-01-02,-11.4,52.1,0.7,52.1,0.0,0.7,997.8
B_0092,2020-01-02,-8.1,45.4,0.1,290.2,219.6,3.1,1005.8
B_0093,2020-01-02,-1.7,52.6,5.5,129.2,295.7,9.0,1022.6
B_0094,2020-01-02,-7.0,80.5,2.6,321.4,267.5,5.4,997.7
B_0095,2020-01-02,-3.6,83.3,0.1,311.8,184.9,1.5,1043.3
B_0096,2020-01-02,-9.3,56.9,5.8,139.7,266.8,3.3,1033.8
B_0097,2020-01-02,-5.7,82.7,4.2,95.5,185.0,0.5,984.2
B_0098,2020-01-02,-5.9,39.0,4.7,151.6,236.6,5.7,1014.1
B_0099,2020-01-02,-5.2,65.5,3.8,217.2,257.9,0.2,1006.0
B_0100,2020-01-02,-3.6,77.0,11.3,86.1,315.9,0.3,1008.9
B_0001,2020-01-03,2.3,77.8,0.5,170.7,187.4,0.6,1012.7
B_0002,2020-01-03,-7.3,66.3,2.3,69.6,241.3,5.2,1027.0
B_0003,2020-01-03,-8.7,61.5,1.8,284.8,392.9,0.8,1040.4
B_0004,2020-01-03,-5.9,48.1,6.1,114.7,141.1,0.6,1032.0
B_0005,2020-01-03,-10.7,68.0,0.3,313.4,66.6,0.4,1039.5
B_0006,2020-01-03,2.0,72.6,0.3,225.7,158.8,0.6,997.5
B_0007,2020-01-03,-10.5,66.3,2.5,172.4,203.9,1.5,994.9
B_0008,2020-01-03,-6.9,59.5,0.5,264.7,235.5,6.4,975.9
B_0009,2020-01-03,2.8,70.4,1.5,52.0,187.9,1.2,1001.5
B_0010,2020-01-03,-6.0,78.5,2.2,346.4,116.7,1.7,1047.7
B_0011,2020-01-03,-7.0,65.2,1.3,255.2,38.1,1.4,1009.6
B_0012,2020-01-03,-8.9,58.9,4.9,221.6,384.1,6.9,1024.0
B_0013,2020-01-03,6.7,41.5,4.8,80.6,348.8,3.5,1030.2
B_0014,2020-01-03,-4.2,53.4,3.2,154.5,222.8,0.6,1049.8
B_0015,2020-01-03,-6.5,73.8,3.0,22.1,65.2,3.0,1050.0
B_0016,2020-01-03,-15.9,63.9,3.6,290.4,270.3,0.5,1014.4
B_0017,2020-01-03,0.8,55.0,5.5,210.6,375.8,2.4,997.0
B_0018,2020-01-03,-0.0,61.3,2.5,82.7,120.0,0.1,1026.2
B_0019,2020-01-03,0.7,90.0,0.9,312.2,144.8,0.8,1019.2
B_0020,2020-01-03,-13.4,66.6,1.1,330.7,232.4,3.1,998.4
B_0021,2020-01-03,-13.1,35.7,0.2,183.1,319.6,0.6,997.2
B_0022,2020-01-03,-11.5,71.1,3.5,216.8,99.4,0.8,1013.8
B_0023,2020-01-03,-2.1,53.8,0.2,79.1,218.6,4.2,1032.2
B_0024,2020-01-03,-4.5,61.6,1.1,276.7,152.1,4.5,1035.1
B_0025,2020-01-03,2.1,67.9,0.8,42.4,136.5,1.8,990.9
B_0026,2020-01-03,-2.9,74.9,7.4,273.9,341.3,0.4,1050.0
B_0027,2020-01-03,-0.3,57.5,3.8,128.0,296.2,0.3,984.8
B_0028,2020-01-03,-13.0,42.0,2.2,8.3,188.4,1.1,1042.4
B_0029,2020-01-03,-6.1,57.7,4.5,331.5,200.7,1.7,1050.0
B_0030,2020-01-03,-10.4,64.3,5.4,29.2,190.2,1.4,1010.6
B_0031,2020-01-03,-2.7,65.9,1.2,204.3,181.9,1.8,1033.2
B_0032,2020-01-03,-4.9,86.9,8.2,323.5,259.4,2.2,985.4
B_0033,2020-01-03,3.9,52.0,0.3,323.9,101.8,3.5,1041.1
B_0034,2020-01-03,-5.0,90.0,2.1,253.8,283.5,6.4,1041.5
B_0035,2020-01-03,-6.5,52.8,0.0,71.2,276.7,3.3,1008.5
B_0036,2020-01-03,-6.1,68.2,1.4,100.9,227.0,0.5,1050.0
B_0037,2020-01-03,-6.6,71.1,4.2,189.1,246.0,2.2,1032.3
B_0038,2020-01-03,1.2,57.2,3.3,331.2,118.5,0.2,1019.4
B_0039,2020-01-03,-8.2,30.3,8.6,124.6,125.5,2.1,1045.5
B_0040,2020-01-03,1.9,53.8,1.4,179.7,176.3,0.1,1001.6
B_0041,2020-01-03,-4.0,54.0,0.2,215.2,159.7,0.2,1001.4
B_0042,2020-01-03,-8.6,46.1,2.2,135.8,137.1,3.3,1019.7
B_0043,2020-01-03,-5.4,31.1,0.7,191.4,256.0,1.4,1003.9
B_0044,2020-01-03,-9.9,59.3,7.1,309.9,170.6,2.9,1033.9
B_0045,2020-01-03,-3.3,48.0,0.7,359.8,275.4,2.1,1001.3
B_0046,2020-01-03,-4.0,67.9,3.3,161.3,251.2,2.7,1023.9
B_0047,2020-01-03,-0.3,81.0,0.2,104.0,225.9,2.7,999.7
B_0048,2020-01-03,-8.4,68.6,0.5,12.8,494.1,1.3,1018.8
B_0049,2020-01-03,-6.4,72.4,1.5,323.9,27.7,0.6,1017.8
B_0050,2020-01-03,-6.5,68.5,2.1,316.0,307.9,0.0,991.0
B_0051,2020-01-03,-2.4,53.3,0.8,164.6,226.8,2.1,1022.4
B_0052,2020-01-03,-10.5,70.3,6.9,13.7,279.6,2.0,1025.4
B_0053,2020-01-03,-0.0,54.7,1.5,29.9,120.8,0.5,1016.7
B_0054,2020-01-03,1.9,59.0,4.0,61.1,195.5,5.3,950.0
B_0055,2020-01-03,-12.0,59.3,0.1,328.5,283.4,3.3,1022.8
B_0056,2020-01-03,-3.5,66.4,3.4,71.9,97.6,2.6,983.2
B_0057,2020-01-03,-6.4,34.6,0.2,85.1,182.1,2.2,1003.4
B_0058,2020-01-03,-8.9,71.6,4.0,204.4,137.6,2.5,999.9
B_0059,2020-01-03,-1.8,63.5,1.4,115.0,184.7,1.8,992.5
B_0060,2020-01-03,-4.5,74.5,5.4,151.5,174.6,0.2,1000.1
B_0061,2020-01-03,-9.1,89.8,0.6,319.4,250.3,2.7,1029.3
B_0062,2020-01-03,-11.1,70.8,4.5,183.5,392.6,4.0,1010.6
B_0063,2020-01-03,-0.6,41.1,3.8,214.6,203.4,0.3,998.5
B_0064,2020-01-03,0.8,74.5,1.3,200.1,183.0,1.1,1042.2
B_0065,2020-01-03,0.3,45.1,4.1,221.9,116.8,0.6,962.7
B_0066,2020-01-03,5.0,41.7,2.1,303.5,358.7,0.9,1034.2
B_0067,2020-01-03,-2.3,49.5,12.8,186.9,262.6,1.7,1004.5
B_0068,2020-01-03,-3.8,33.9,0.3,305.3,206.9,4.5,986.2
B_0069,2020-01-03,-1.7,34.4,0.9,204.9,238.3,3.4,1039.2
B_0070,2020-01-03,-2.9,37.7,5.6,139.4,0.0,10.2,1019.7
B_0071,2020-01-03,-13.4,71.9,3.8,230.4,211.2,1.4,1015.9
B_0072,2020-01-03,-2.5,54.5,0.7,261.7,271.7,3.1,1033.5
B_0073,2020-01-03,-10.4,42.2,2.2,320.3,389.7,0.2,1023.0
B_0074,2020-01-03,-11.5,45.1,2.8,186.6,206.7,3.1,995.8
B_0075,2020-01-03,-4.0,62.9,2.1,115.8,154.9,2.6,1025.9
B_0076,2020-01-03,-4.4,71.2,1.3,136.3,321.9,3.4,994.6
B_0077,2020-01-03,-8.4,41.7,0.8,157.9,363.7,1.1,988.9
B_0078,2020-01-03,-0.8,57.6,2.4,25.6,133.8,0.2,1046.7
B_0079,2020-01-03,-5.9,56.4,6.8,160.6,316.4,0.2,988.3
B_0080,2020-01-03,-4.0,57.4,1.2,109.4,238.2,1.0,1027.1
B_0081,2020-01-03,0.3,81.1,3.3,179.3,0.0,0.9,1032.9
B_0082,2020-01-03,-6.4,45.8,2.7,160.2,0.0,0.0,1004.3
B_0083,2020-01-03,3.9,90.0,0.1,157.2,438.0,0.7,1013.2
B_0084,2020-01-03,-7.9,38.7,2.6,39.8,179.3,0.7,1013.0
B_0085,2020-01-03,-5.5,60.4,3.5,149.2,307.2,0.6,974.5
B_0086,2020-01-03,-6.5,65.1,8.6,306.7,342.5,3.5,1001.9
B_0087,2020-01-03,-0.7,50.7,0.2,306.4,150.1,0.2,1045.2
B_0088,2020-01-03,-7.9,62.4,0.5,327.2,340.7,0.4,1030.1
B_0089,2020-01-03,-11.7,67.3,1.3,206.4,131.2,8.3,1047.2
B_0090,2020-01-03,-9.1,70.3,1.3,327.9,165.4,0.3,988.6
B_0091,2020-01-03,-6.4,42.9,1.8,32.4,474.6,9.0,988.5
B_0092,2020-01-03,10.1,43.6,8.6,274.9,0.0,0.3,1034.5
B_0093,2020-01-03,-5.6,66.7,3.7,75.1,159.7,2.9,1021.3
B_0094,2020-01-03,-0.9,62.2,3.3,196.9,176.9,0.7,1021.2
B_0095,2020-01-03,-1.9,49.4,0.8,148.0,298.4,0.3,1027.3
B_0096,2020-01-03,6.9,61.0,0.6,11.7,205.1,3.6,982.4
B_0097,2020-01-03,-2.5,58.6,4.8,211.0,112.6,0.2,1038.2
B_0098,2020-01-03,1.9,55.3,13.8,169.4,70.5,2.6,1015.0
B_0099,2020-01-03,1.6,73.1,2.1,149.5,60.8,4.0,1047.3
B_0100,2020-01-03,-1.8,84.3,3.0,134.6,258.5,4.1,1013.5
B_0001,2020-01-04,-5.4,67.1,0.1,323.3,105.6,2.8,1016.9
B_0002,2020-01-04,-3.3,76.3,2.7,304.7,182.7,0.2,1028.0
B_0003,2020-01-04,-3.8,52.7,0.2,121.7,192.6,0.4,984.5
B_0004,2020-01-04,1.0,63.6,2.4,18.3,270.1,3.6,1010.9
B_0005,2020-01-04,-10.5,34.7,7.2,153.4,269.5,0.1,996.8
B_0006,2020-01-04,-3.1,47.0,5.8,135.5,180.0,1.1,1003.1
B_0007,2020-01-04,5.1,46.2,0.7,199.6,114.2,0.2,1008.1
B_0008,2020-01-04,1.1,44.6,0.3,221.2,234.3,6.3,993.1
B_0009,2020-01-04,-4.9,57.3,1.0,63.8,395.1,1.1,1022.2
B_0010,2020-01-04,1.4,50.0,1.7,339.4,267.6,1.8,1000.2
B_0011,2020-01-04,-4.3,36.7,4.9,320.9,471.0,0.1,1029.5
B_0012,2020-01-04,4.1,45.7,1.5,180.5,307.5,3.5,985.4
B_0013,2020-01-04,1.6,40.9,3.9,131.6,121.0,0.6,1009.8
B_0014,2020-01-04,-6.8,45.8,0.3,322.7,73.3,2.9,1011.5
B_0015,2020-01-04,-8.4,82.4,2.0,178.1,136.9,2.7,1022.0
B_0016,2020-01-04,-9.1,78.0,0.3,236.0,192.7,0.2,1015.0
B_0017,2020-01-04,3.3,84.2,1.2,125.3,92.1,2.8,1030.8
B_0018,2020-01-04,-9.3,39.1,1.7,111.1,90.9,2.1,1043.3
B_0019,2020-01-04,-7.9,84.2,1.0,44.7,239.0,13.5,1020.7
B_0020,2020-01-04,1.2,76.7,0.1,311.6,215.6,0.1,1013.7
B_0021,2020-01-04,-4.2,44.5,6.1,209.6,131.9,0.2,981.0
B_0022,2020-01-04,2.1,46.4,1.2,151.1,184.3,5.6,1040.0
B_0023,2020-01-04,-2.7,47.9,1.5,202.3,196.3,0.5,1007.0
B_0024,2020-01-04,-4.2,60.1,3.6,55.6,59.6,2.4,1007.2
B_0025,2020-01-04,-0.6,57.8,1.1,186.9,212.6,2.0,1006.7
B_0026,2020-01-04,-3.1,41.2,1.7,346.6,173.4,1.5,1029.5
B_0027,2020-01-04,1.1,75.0,3.4,51.7,308.0,0.1,1022.0
B_0028,2020-01-04,-4.3,76.4,6.3,346.4,78.9,0.7,984.8
B_0029,2020-01-04,-3.7,34.8,1.5,91.3,311.2,3.7,978.0
B_0030,2020-01-04,-10.8,65.4,1.6,13.3,184.7,7.2,996.2
B_0031,2020-01-04,0.3,50.1,4.3,44.3,211.3,5.3,1036.7
B_0032,2020-01-04,-5.2,50.4,1.9,136.1,233.2,1.1,1009.5
