building_id,building_type,building_function,construction_year,building_age_years,architectural_style,quality_rating,epc_rating,num_floors,floor_height_m,total_height_m,footprint_area_m2,total_floor_area_m2,building_width_m,building_length_m,rooftop_area_m2,wall_area_m2,window_area_m2,window_wall_ratio,volume_m3,wall_material,roof_material,window_type,hvac_system,wall_u_value,wall_r_value,roof_u_value,roof_r_value,window_u_value,window_shgc,envelope_avg_u_value,heat_loss_coefficient_w_k,thermal_mass_kj_k,wall_cost_per_m2,roof_cost_per_m2,window_cost_per_m2,hvac_system_cost,wall_carbon_kgco2_m2,roof_carbon_kgco2_m2,window_carbon_kgco2_m2,hvac_carbon_kgco2_year
BLD_024,industrial,Warehouse,2001,23,Neo-traditional,good,B,1,2.72,2.72,1597.43,1597.43,35.03,45.61,1597.43,438.69,150.26,0.343,4345.45,timber_frame,flat_insulated,double_glazed,gas_boiler_condensing,0.25,4.0,0.18,5.56,2.8,0.76,0.383,780.37,2173147.2,125,155,285,5500,28,45,75,1800
BLD_025,educational,University,1938,86,Victorian,poor,G,4,3.23,12.9,1102.1,4408.39,24.27,45.42,1102.1,1798.22,606.24,0.337,14220.1,concrete_block,pitched_uninsulated,single_glazed,gas_boiler_old,1.8,0.56,2.3,0.43,5.8,0.86,2.826,8196.59,6371541.32,95,75,185,3500,65,35,55,2500
BLD_026,educational,University,1924,100,Edwardian,fair,G,1,3.08,3.08,1341.01,1341.01,25.18,53.25,1341.01,483.06,130.22,0.27,4129.41,brick_uninsulated,pitched_uninsulated,single_glazed,gas_boiler_old,2.1,0.48,2.3,0.43,5.8,0.86,2.511,4580.56,2309999.77,85,75,185,3500,45,35,55,2500
BLD_027,residential,Townhouse,2011,13,Smart building,excellent,B,1,3.1,3.1,82.6,82.6,5.85,14.12,82.6,123.84,31.94,0.258,256.13,timber_frame,flat_insulated,triple_glazed,district_heating,0.25,4.0,0.18,5.56,0.8,0.5,0.307,63.4,191298.27,125,155,485,8000,28,45,95,1200
BLD_028,educational,Training center,1989,35,Contemporary,good,E,2,3.36,6.71,541.35,1082.7,15.5,34.94,541.35,677.09,254.04,0.375,3634.1,timber_frame,flat_insulated,double_glazed,gas_boiler_condensing,0.25,4.0,0.18,5.56,2.8,0.76,0.751,914.52,2002038.89,125,155,285,5500,28,45,75,1800
BLD_029,commercial,Mixed-use,1990,34,High-tech,excellent,C,1,2.72,2.72,587.08,587.08,15.98,36.73,587.08,286.63,158.68,0.554,1596.04,brick_insulated,pitched_insulated,double_glazed_low_e,district_heating,0.35,2.86,0.16,6.25,1.8,0.7,0.486,424.34,1107697.12,145,135,385,8000,55,42,82,1200
BLD_030,residential,Single-family,1976,48,Brutalist,fair,G,2,3.29,6.57,176.65,353.3,9.52,18.55,176.65,368.94,64.76,0.176,1160.69,brick_uninsulated,flat_uninsulated,double_glazed,gas_boiler_old,2.1,0.48,1.8,0.56,2.8,0.76,2.086,1138.08,779911.62,85,85,285,3500,45,38,75,2500
BLD_031,industrial,Factory,1930,94,Edwardian,poor,G,3,2.96,8.87,1763.13,5289.39,27.84,63.33,1763.13,1616.97,532.15,0.329,15635.65,brick_uninsulated,pitched_uninsulated,single_glazed,electric_resistance,2.1,0.48,2.3,0.43,5.8,0.86,2.787,9419.79,8251330.51,85,75,185,2500,45,35,55,3500
BLD_032,educational,Training center,1969,55,Modernist,good,G,2,3.18,6.36,491.61,983.23,19.3,25.47,491.61,569.83,205.56,0.361,3128.58,brick_uninsulated,pitched_insulated,double_glazed,gas_boiler_old,2.1,0.48,0.16,6.25,2.8,0.76,1.337,1419.19,2470637.38,85,135,285,3500,45,42,75,2500
BLD_033,commercial,Retail,1965,59,Brutalist,fair,G,6,2.81,16.89,615.82,3694.94,21.34,28.86,615.82,1695.3,916.1,0.54,10399.02,concrete_block,pitched_uninsulated,single_glazed,gas_boiler_condensing,1.8,0.56,2.3,0.43,5.8,0.86,3.519,8132.33,7578223.68,95,75,185,5500,65,35,55,1800
BLD_034,residential,Apartment,1972,52,Brutalist,fair,G,1,3.4,3.4,178.82,178.82,8.78,20.38,178.82,198.49,39.17,0.197,608.76,cavity_wall_insulated,flat_uninsulated,single_glazed,gas_boiler_condensing,0.28,3.57,1.8,0.56,5.8,0.86,1.573,593.67,335545.49,165,85,185,5500,48,38,55,1800
BLD_035,commercial,Office,2013,11,Smart building,excellent,A,2,3.07,6.15,743.36,1486.73,24.74,30.05,743.36,673.87,245.34,0.364,4571.57,cavity_wall_insulated,pitched_insulated,triple_glazed,ground_source_heat_pump,0.28,3.57,0.16,6.25,0.8,0.5,0.307,435.2,2895392.46,165,135,485,22000,48,42,95,600
BLD_036,industrial,Workshop,1969,55,Brutalist,good,G,1,3.34,3.34,1820.93,1820.93,32.1,56.73,1820.93,593.66,205.16,0.346,6084.96,concrete_block,pitched_uninsulated,single_glazed,gas_boiler_condensing,1.8,0.56,2.3,0.43,5.8,0.86,2.517,6077.37,3049758.02,95,75,185,5500,65,35,55,1800
BLD_037,residential,Townhouse,1973,51,Post-war,good,G,2,3.2,6.4,198.28,396.55,10.52,18.84,198.28,376.13,100.37,0.267,1269.79,cavity_wall_insulated,pitched_uninsulated,single_glazed,gas_boiler_condensing,0.28,3.57,2.3,0.43,5.8,0.86,1.942,1115.4,739351.36,165,75,185,5500,48,35,55,1800
BLD_038,commercial,Mixed-use,1939,85,Classical,poor,G,4,2.76,11.05,618.02,2472.07,17.76,34.79,618.02,1161.35,689.37,0.594,6828.32,concrete_block,pitched_uninsulated,single_glazed,gas_boiler_old,1.8,0.56,2.3,0.43,5.8,0.86,3.523,6269.36,4954069.12,95,75,185,3500,65,35,55,2500
BLD_039,commercial,Office,1927,97,Art Deco,fair,G,8,3.44,27.48,674.98,5399.8,18.58,36.33,674.98,3018.12,1118.78,0.371,18550.16,concrete_block,pitched_uninsulated,single_glazed,gas_boiler_old,1.8,0.56,2.3,0.43,5.8,0.86,3.103,11460.19,13189922.71,95,75,185,3500,65,35,55,2500
BLD_040,industrial,Factory,1981,43,Neo-traditional,excellent,A,1,3.37,3.37,2924.79,2924.79,35.7,81.92,2924.79,792.95,193.27,0.244,9858.47,cavity_wall_insulated,pitched_insulated,double_glazed,air_source_heat_pump,0.28,3.57,0.16,6.25,2.8,0.76,0.317,1177.03,7885662.68,165,135,285,12000,48,42,75,800
BLD_041,residential,Townhouse,1980,44,Postmodern,excellent,B,3,2.89,8.68,208.7,626.11,11.11,18.79,208.7,518.91,99.12,0.191,1811.26,brick_insulated,pitched_insulated,double_glazed,air_source_heat_pump,0.35,2.86,0.16,6.25,2.8,0.76,0.629,457.85,758480.68,145,135,285,12000,55,42,75,800
BLD_042,industrial,Warehouse,1989,35,Contemporary,good,B,1,3.38,3.38,2430.8,2430.8,35.99,67.53,2430.8,700.2,182.32,0.26,8220.33,cavity_wall_insulated,flat_insulated,double_glazed,gas_boiler_condensing,0.28,3.57,0.18,5.56,2.8,0.76,0.349,1093.05,5771122.97,165,155,285,5500,48,45,75,1800
BLD_043,commercial,Retail,2002,22,Postmodern,good,E,8,3.19,25.49,855.54,6844.3,18.59,46.01,855.54,3293.83,1677.09,0.509,21809.15,cavity_wall_insulated,pitched_insulated,double_glazed_low_e,gas_boiler_condensing,0.28,3.57,0.16,6.25,1.8,0.7,0.87,3608.34,16666301.87,165,135,385,5500,48,42,82,1800
BLD_044,industrial,Manufacturing,1991,33,Postmodern,good,C,2,3.32,6.63,1648.37,3296.73,26.8,61.5,1648.37,1170.96,191.16,0.163,10929.12,brick_insulated,flat_insulated,double_glazed,gas_boiler_condensing,0.35,2.86,0.18,5.56,2.8,0.76,0.417,1174.88,5864842.13,145,155,285,5500,55,45,75,1800
BLD_045,industrial,Manufacturing,1933,91,Georgian,poor,G,1,2.85,2.85,847.07,847.07,20.41,41.5,847.07,352.34,77.21,0.219,2410.34,concrete_block,pitched_uninsulated,single_glazed,gas_boiler_old,1.8,0.56,2.3,0.43,5.8,0.86,2.411,2891.31,1149528.77,95,75,185,3500,65,35,55,2500
BLD_046,residential,Apartment,1955,69,Modernist,fair,G,2,3.13,6.26,85.41,170.81,6.68,12.78,85.41,243.5,53.86,0.221,534.23,cavity_wall_insulated,pitched_uninsulated,single_glazed,gas_boiler_old,0.28,3.57,2.3,0.43,5.8,0.86,1.708,561.93,316508.92,165,75,185,3500,48,35,55,2500
BLD_047,educational,School,2009,15,Neo-traditional,excellent,E,4,3.34,13.38,467.19,1868.74,17.31,27.0,467.19,1185.5,473.79,0.4,6250.87,brick_insulated,pitched_insulated,double_glazed,gas_boiler_condensing,0.35,2.86,0.16,6.25,2.8,0.76,0.999,1650.46,3422760.48,145,135,285,5500,55,42,75,1800
BLD_048,commercial,Restaurant,1923,101,Classical,poor,G,3,3.11,9.33,942.01,2826.04,19.96,47.19,942.01,1252.77,605.12,0.483,8787.14,brick_uninsulated,pitched_uninsulated,single_glazed,gas_boiler_old,2.1,0.48,2.3,0.43,5.8,0.86,3.206,7036.38,4461207.19,85,75,185,3500,45,35,55,2500
BLD_049,commercial,Office,1978,46,Modernist,fair,G,6,2.89,17.32,380.28,2281.7,14.16,26.85,380.28,1420.68,619.03,0.436,6586.3,concrete_block,pitched_uninsulated,single_glazed,gas_boiler_old,1.8,0.56,2.3,0.43,5.8,0.86,3.28,5907.99,4575693.55,95,75,185,3500,65,35,55,2500
BLD_050,educational,Library,1933,91,Georgian,poor,G,2,3.16,6.31,799.39,1598.78,19.8,40.38,799.39,759.82,244.07,0.321,5046.75,concrete_block,pitched_uninsulated,single_glazed,gas_boiler_old,1.8,0.56,2.3,0.43,5.8,0.86,2.682,4182.55,2327276.74,95,75,185,3500,65,35,55,2500
