material,quantity_kg,area_m2,gwp_total_kgco2eq,gwp_per_m2_kgco2eq,embodied_energy_total_mj,embodied_energy_per_m2_mj,water_usage_total_l,recyclability_pct,lifespan_years,demolition_gwp_kgco2eq,installation_gwp_kgco2eq,total_gwp_with_installation,measure,building_id,scenario_name,operational_gwp_savings_kgco2eq_year,capacity_kwp
air_source_heat_pump,,,1200.0,,15500.0,,,,20,,150.0,1350.0,hvac_upgrade_heat_pump,BLD_002,Standard,1700.0,
eps_insulation,1532.65,613.06,5333.62,8.7,135792.79,221.5,306.53,95.0,50,,30.65,5364.27,wall_insulation,BLD_002,Deep Retrofit,,
mineral_wool_insulation,3442.92,573.82,4406.94,7.68,57841.06,100.8,1721.46,60.0,50,,23.91,4430.85,roof_insulation,BLD_002,Deep Retrofit,,
glass_double_glazed,25921.0,259.21,22032.85,85.0,412143.9,1590.0,7776.3,100.0,35,1347.89,25.92,23406.66,window_replacement,BLD_002,Deep Retrofit,,
air_source_heat_pump,,,1200.0,,15500.0,,,,20,,150.0,1350.0,hvac_upgrade_heat_pump,BLD_002,Deep Retrofit,1700.0,
solar_pv,,,15493.14,,215182.5,,,,25,,860.73,16353.87,solar_pv,BLD_002,Deep Retrofit,4303.65,8.61
glass_double_glazed,13433.0,134.33,11418.05,85.0,213584.7,1590.0,4029.9,100.0,35,698.52,13.43,12130.0,window_replacement,BLD_003,Minimal,,
air_source_heat_pump,,,1200.0,,15500.0,,,,20,,150.0,1350.0,hvac_upgrade_heat_pump,BLD_003,Minimal,1700.0,
glass_double_glazed,13433.0,134.33,11418.05,85.0,213584.7,1590.0,4029.9,100.0,35,698.52,13.43,12130.0,window_replacement,BLD_003,Standard,,
air_source_heat_pump,,,1200.0,,15500.0,,,,20,,150.0,1350.0,hvac_upgrade_heat_pump,BLD_003,Standard,1700.0,
solar_pv,,,12179.7,,169162.5,,,,25,,676.65,12856.35,solar_pv,BLD_003,Standard,3383.25,6.77
glass_double_glazed,13433.0,134.33,11418.05,85.0,213584.7,1590.0,4029.9,100.0,35,698.52,13.43,12130.0,window_replacement,BLD_003,Deep Retrofit,,
air_source_heat_pump,,,1200.0,,15500.0,,,,20,,150.0,1350.0,hvac_upgrade_heat_pump,BLD_003,Deep Retrofit,1700.0,
solar_pv,,,12179.7,,169162.5,,,,25,,676.65,12856.35,solar_pv,BLD_003,Deep Retrofit,3383.25,6.77
glass_double_glazed,21696.0,216.96,18441.6,85.0,344966.4,1590.0,6508.8,100.0,35,1128.19,21.7,19591.49,window_replacement,BLD_004,Minimal,,
air_source_heat_pump,,,1200.0,,15500.0,,,,20,,150.0,1350.0,hvac_upgrade_heat_pump,BLD_004,Minimal,1700.0,
glass_double_glazed,21696.0,216.96,18441.6,85.0,344966.4,1590.0,6508.8,100.0,35,1128.19,21.7,19591.49,window_replacement,BLD_004,Standard,,
air_source_heat_pump,,,1200.0,,15500.0,,,,20,,150.0,1350.0,hvac_upgrade_heat_pump,BLD_004,Standard,1700.0,
solar_pv,,,25202.07,,350028.75,,,,25,,1400.12,26602.19,solar_pv,BLD_004,Standard,7000.58,14.0
glass_double_glazed,21696.0,216.96,18441.6,85.0,344966.4,1590.0,6508.8,100.0,35,1128.19,21.7,19591.49,window_replacement,BLD_004,Deep Retrofit,,
air_source_heat_pump,,,1200.0,,15500.0,,,,20,,150.0,1350.0,hvac_upgrade_heat_pump,BLD_004,Deep Retrofit,1700.0,
solar_pv,,,25202.07,,350028.75,,,,25,,1400.12,26602.19,solar_pv,BLD_004,Deep Retrofit,7000.58,14.0
air_source_heat_pump,,,1200.0,,15500.0,,,,20,,150.0,1350.0,hvac_upgrade_heat_pump,BLD_005,Minimal,1700.0,
air_source_heat_pump,,,1200.0,,15500.0,,,,20,,150.0,1350.0,hvac_upgrade_heat_pump,BLD_005,Standard,1700.0,
solar_pv,,,13428.18,,186502.5,,,,25,,746.01,14174.19,solar_pv,BLD_005,Standard,3730.05,7.46
air_source_heat_pump,,,1200.0,,15500.0,,,,20,,150.0,1350.0,hvac_upgrade_heat_pump,BLD_005,Deep Retrofit,1700.0,
solar_pv,,,13428.18,,186502.5,,,,25,,746.01,14174.19,solar_pv,BLD_005,Deep Retrofit,3730.05,7.46
eps_insulation,1200.83,480.33,4178.87,8.7,106393.1,221.5,240.17,95.0,50,,24.02,4202.89,wall_insulation,BLD_006,Minimal,,
mineral_wool_insulation,9351.0,1558.5,11969.28,7.68,157096.8,100.8,4675.5,60.0,50,,64.94,12034.22,roof_insulation,BLD_006,Minimal,,
eps_insulation,1200.83,480.33,4178.87,8.7,106393.1,221.5,240.17,95.0,50,,24.02,4202.89,wall_insulation,BLD_006,Standard,,
mineral_wool_insulation,9351.0,1558.5,11969.28,7.68,157096.8,100.8,4675.5,60.0,50,,64.94,12034.22,roof_insulation,BLD_006,Standard,,
glass_double_glazed,7340.0,73.4,6239.0,85.0,116706.0,1590.0,2202.0,100.0,35,381.68,7.34,6628.02,window_replacement,BLD_006,Standard,,
air_source_heat_pump,,,1200.0,,15500.0,,,,20,,150.0,1350.0,hvac_upgrade_heat_pump,BLD_006,Standard,1700.0,
eps_insulation,1200.83,480.33,4178.87,8.7,106393.1,221.5,240.17,95.0,50,,24.02,4202.89,wall_insulation,BLD_006,Deep Retrofit,,
mineral_wool_insulation,9351.0,1558.5,11969.28,7.68,157096.8,100.8,4675.5,60.0,50,,64.94,12034.22,roof_insulation,BLD_006,Deep Retrofit,,
glass_double_glazed,7340.0,73.4,6239.0,85.0,116706.0,1590.0,2202.0,100.0,35,381.68,7.34,6628.02,window_replacement,BLD_006,Deep Retrofit,,
air_source_heat_pump,,,1200.0,,15500.0,,,,20,,150.0,1350.0,hvac_upgrade_heat_pump,BLD_006,Deep Retrofit,1700.0,
solar_pv,,,42079.5,,584437.5,,,,25,,2337.75,44417.25,solar_pv,BLD_006,Deep Retrofit,11688.75,23.38
air_source_heat_pump,,,1200.0,,15500.0,,,,20,,150.0,1350.0,hvac_upgrade_heat_pump,BLD_007,Minimal,1700.0,
air_source_heat_pump,,,1200.0,,15500.0,,,,20,,150.0,1350.0,hvac_upgrade_heat_pump,BLD_007,Standard,1700.0,
solar_pv,,,20627.73,,286496.25,,,,25,,1145.98,21773.72,solar_pv,BLD_007,Standard,5729.92,11.46
air_source_heat_pump,,,1200.0,,15500.0,,,,20,,150.0,1350.0,hvac_upgrade_heat_pump,BLD_007,Deep Retrofit,1700.0,
solar_pv,,,20627.73,,286496.25,,,,25,,1145.98,21773.72,solar_pv,BLD_007,Deep Retrofit,5729.92,11.46
eps_insulation,1644.55,657.82,5723.03,8.7,145707.13,221.5,328.91,95.0,50,,32.89,5755.92,wall_insulation,BLD_008,Minimal,,
mineral_wool_insulation,2018.34,336.39,2583.48,7.68,33908.11,100.8,1009.17,60.0,50,,14.02,2597.5,roof_insulation,BLD_008,Minimal,,
eps_insulation,1644.55,657.82,5723.03,8.7,145707.13,221.5,328.91,95.0,50,,32.89,5755.92,wall_insulation,BLD_008,Standard,,
mineral_wool_insulation,2018.34,336.39,2583.48,7.68,33908.11,100.8,1009.17,60.0,50,,14.02,2597.5,roof_insulation,BLD_008,Standard,,
glass_double_glazed,30249.0,302.49,25711.65,85.0,480959.1,1590.0,9074.7,100.0,35,1572.95,30.25,27314.85,window_replacement,BLD_008,Standard,,
air_source_heat_pump,,,1200.0,,15500.0,,,,20,,150.0,1350.0,hvac_upgrade_heat_pump,BLD_008,Standard,1700.0,
eps_insulation,1644.55,657.82,5723.03,8.7,145707.13,221.5,328.91,95.0,50,,32.89,5755.92,wall_insulation,BLD_008,Deep Retrofit,,
mineral_wool_insulation,2018.34,336.39,2583.48,7.68,33908.11,100.8,1009.17,60.0,50,,14.02,2597.5,roof_insulation,BLD_008,Deep Retrofit,,
glass_double_glazed,30249.0,302.49,25711.65,85.0,480959.1,1590.0,9074.7,100.0,35,1572.95,30.25,27314.85,window_replacement,BLD_008,Deep Retrofit,,
air_source_heat_pump,,,1200.0,,15500.0,,,,20,,150.0,1350.0,hvac_upgrade_heat_pump,BLD_008,Deep Retrofit,1700.0,
solar_pv,,,9082.53,,126146.25,,,,25,,504.59,9587.12,solar_pv,BLD_008,Deep Retrofit,2522.93,5.05
solar_pv,,,18696.15,,259668.75,,,,25,,1038.68,19734.83,solar_pv,BLD_009,Minimal,5193.38,10.39
solar_pv,,,18696.15,,259668.75,,,,25,,1038.68,19734.83,solar_pv,BLD_009,Standard,5193.38,10.39
solar_pv,,,18696.15,,259668.75,,,,25,,1038.68,19734.83,solar_pv,BLD_009,Deep Retrofit,5193.38,10.39
eps_insulation,3304.05,1321.62,11498.09,8.7,292738.83,221.5,660.81,95.0,50,,66.08,11564.17,wall_insulation,BLD_010,Minimal,,
mineral_wool_insulation,6696.9,1116.15,8572.03,7.68,112507.92,100.8,3348.45,60.0,50,,46.51,8618.54,roof_insulation,BLD_010,Minimal,,
eps_insulation,3304.05,1321.62,11498.09,8.7,292738.83,221.5,660.81,95.0,50,,66.08,11564.17,wall_insulation,BLD_010,Standard,,
mineral_wool_insulation,6696.9,1116.15,8572.03,7.68,112507.92,100.8,3348.45,60.0,50,,46.51,8618.54,roof_insulation,BLD_010,Standard,,
glass_double_glazed,46274.0,462.74,39332.9,85.0,735756.6,1590.0,13882.2,100.0,35,2406.25,46.27,41785.42,window_replacement,BLD_010,Standard,,
air_source_heat_pump,,,1200.0,,15500.0,,,,20,,150.0,1350.0,hvac_upgrade_heat_pump,BLD_010,Standard,1700.0,
eps_insulation,3304.05,1321.62,11498.09,8.7,292738.83,221.5,660.81,95.0,50,,66.08,11564.17,wall_insulation,BLD_010,Deep Retrofit,,
mineral_wool_insulation,6696.9,1116.15,8572.03,7.68,112507.92,100.8,3348.45,60.0,50,,46.51,8618.54,roof_insulation,BLD_010,Deep Retrofit,,
glass_double_glazed,46274.0,462.74,39332.9,85.0,735756.6,1590.0,13882.2,100.0,35,2406.25,46.27,41785.42,window_replacement,BLD_010,Deep Retrofit,,
air_source_heat_pump,,,1200.0,,15500.0,,,,20,,150.0,1350.0,hvac_upgrade_heat_pump,BLD_010,Deep Retrofit,1700.0,
solar_pv,,,30136.05,,418556.25,,,,25,,1674.23,31810.28,solar_pv,BLD_010,Deep Retrofit,8371.13,16.74
glass_double_glazed,117456.0,1174.56,99837.6,85.0,1867550.4,1590.0,35236.8,100.0,35,6107.71,117.46,106062.77,window_replacement,BLD_011,Minimal,,
air_source_heat_pump,,,1200.0,,15500.0,,,,20,,150.0,1350.0,hvac_upgrade_heat_pump,BLD_011,Minimal,1700.0,
glass_double_glazed,117456.0,1174.56,99837.6,85.0,1867550.4,1590.0,35236.8,100.0,35,6107.71,117.46,106062.77,window_replacement,BLD_011,Standard,,
air_source_heat_pump,,,1200.0,,15500.0,,,,20,,150.0,1350.0,hvac_upgrade_heat_pump,BLD_011,Standard,1700.0,
solar_pv,,,15953.76,,221580.0,,,,25,,886.32,16840.08,solar_pv,BLD_011,Standard,4431.6,8.86
glass_double_glazed,117456.0,1174.56,99837.6,85.0,1867550.4,1590.0,35236.8,100.0,35,6107.71,117.46,106062.77,window_replacement,BLD_011,Deep Retrofit,,
air_source_heat_pump,,,1200.0,,15500.0,,,,20,,150.0,1350.0,hvac_upgrade_heat_pump,BLD_011,Deep Retrofit,1700.0,
solar_pv,,,15953.76,,221580.0,,,,25,,886.32,16840.08,solar_pv,BLD_011,Deep Retrofit,4431.6,8.86
solar_pv,,,79881.12,,1109460.0,,,,25,,4437.84,84318.96,solar_pv,BLD_013,Minimal,22189.2,44.38
solar_pv,,,79881.12,,1109460.0,,,,25,,4437.84,84318.96,solar_pv,BLD_013,Standard,22189.2,44.38
solar_pv,,,79881.12,,1109460.0,,,,25,,4437.84,84318.96,solar_pv,BLD_013,Deep Retrofit,22189.2,44.38
eps_insulation,1969.17,787.67,6852.73,8.7,174468.9,221.5,393.84,95.0,50,,39.38,6892.11,wall_insulation,BLD_014,Minimal,,
mineral_wool_insulation,5615.52,935.92,7187.87,7.68,94340.74,100.8,2807.76,60.0,50,,39.0,7226.87,roof_insulation,BLD_014,Minimal,,
eps_insulation,1969.17,787.67,6852.73,8.7,174468.9,221.5,393.84,95.0,50,,39.38,6892.11,wall_insulation,BLD_014,Standard,,
mineral_wool_insulation,5615.52,935.92,7187.87,7.68,94340.74,100.8,2807.76,60.0,50,,39.0,7226.87,roof_insulation,BLD_014,Standard,,
glass_double_glazed,26572.0,265.72,22586.2,85.0,422494.8,1590.0,7971.6,100.0,35,1381.74,26.57,23994.52,window_replacement,BLD_014,Standard,,
air_source_heat_pump,,,1200.0,,15500.0,,,,20,,150.0,1350.0,hvac_upgrade_heat_pump,BLD_014,Standard,1700.0,
eps_insulation,1969.17,787.67,6852.73,8.7,174468.9,221.5,393.84,95.0,50,,39.38,6892.11,wall_insulation,BLD_014,Deep Retrofit,,
mineral_wool_insulation,5615.52,935.92,7187.87,7.68,94340.74,100.8,2807.76,60.0,50,,39.0,7226.87,roof_insulation,BLD_014,Deep Retrofit,,
glass_double_glazed,26572.0,265.72,22586.2,85.0,422494.8,1590.0,7971.6,100.0,35,1381.74,26.57,23994.52,window_replacement,BLD_014,Deep Retrofit,,
air_source_heat_pump,,,1200.0,,15500.0,,,,20,,150.0,1350.0,hvac_upgrade_heat_pump,BLD_014,Deep Retrofit,1700.0,
solar_pv,,,25269.84,,350970.0,,,,25,,1403.88,26673.72,solar_pv,BLD_014,Deep Retrofit,7019.4,14.04
eps_insulation,4454.28,1781.71,15500.88,8.7,394648.77,221.5,890.86,95.0,50,,89.09,15589.97,wall_insulation,BLD_015,Minimal,,
mineral_wool_insulation,5809.8,968.3,7436.54,7.68,97604.64,100.8,2904.9,60.0,50,,40.35,7476.89,roof_insulation,BLD_015,Minimal,,
eps_insulation,4454.28,1781.71,15500.88,8.7,394648.77,221.5,890.86,95.0,50,,89.09,15589.97,wall_insulation,BLD_015,Standard,,
mineral_wool_insulation,5809.8,968.3,7436.54,7.68,97604.64,100.8,2904.9,60.0,50,,40.35,7476.89,roof_insulation,BLD_015,Standard,,
glass_double_glazed,78945.0,789.45,67103.25,85.0,1255225.5,1590.0,23683.5,100.0,35,4105.14,78.95,71287.34,window_replacement,BLD_015,Standard,,
air_source_heat_pump,,,1200.0,,15500.0,,,,20,,150.0,1350.0,hvac_upgrade_heat_pump,BLD_015,Standard,1700.0,
eps_insulation,4454.28,1781.71,15500.88,8.7,394648.77,221.5,890.86,95.0,50,,89.09,15589.97,wall_insulation,BLD_015,Deep Retrofit,,
mineral_wool_insulation,5809.8,968.3,7436.54,7.68,97604.64,100.8,2904.9,60.0,50,,40.35,7476.89,roof_insulation,BLD_015,Deep Retrofit,,
glass_double_glazed,78945.0,789.45,67103.25,85.0,1255225.5,1590.0,23683.5,100.0,35,4105.14,78.95,71287.34,window_replacement,BLD_015,Deep Retrofit,,
air_source_heat_pump,,,1200.0,,15500.0,,,,20,,150.0,1350.0,hvac_upgrade_heat_pump,BLD_015,Deep Retrofit,1700.0,
solar_pv,,,26144.1,,363112.5,,,,25,,1452.45,27596.55,solar_pv,BLD_015,Deep Retrofit,7262.25,14.52
solar_pv,,,29868.21,,414836.25,,,,25,,1659.35,31527.56,solar_pv,BLD_016,Minimal,8296.73,16.59
solar_pv,,,29868.21,,414836.25,,,,25,,1659.35,31527.56,solar_pv,BLD_016,Standard,8296.73,16.59
solar_pv,,,29868.21,,414836.25,,,,25,,1659.35,31527.56,solar_pv,BLD_016,Deep Retrofit,8296.73,16.59
air_source_heat_pump,,,1200.0,,15500.0,,,,20,,150.0,1350.0,hvac_upgrade_heat_pump,BLD_017,Minimal,1700.0,
air_source_heat_pump,,,1200.0,,15500.0,,,,20,,150.0,1350.0,hvac_upgrade_heat_pump,BLD_017,Standard,1700.0,
solar_pv,,,13549.68,,188190.0,,,,25,,752.76,14302.44,solar_pv,BLD_017,Standard,3763.8,7.53
air_source_heat_pump,,,1200.0,,15500.0,,,,20,,150.0,1350.0,hvac_upgrade_heat_pump,BLD_017,Deep Retrofit,1700.0,
solar_pv,,,13549.68,,188190.0,,,,25,,752.76,14302.44,solar_pv,BLD_017,Deep Retrofit,3763.8,7.53
solar_pv,,,67149.81,,932636.25,,,,25,,3730.55,70880.35,solar_pv,BLD_018,Minimal,18652.72,37.31
solar_pv,,,67149.81,,932636.25,,,,25,,3730.55,70880.35,solar_pv,BLD_018,Standard,18652.72,37.31
solar_pv,,,67149.81,,932636.25,,,,25,,3730.55,70880.35,solar_pv,BLD_018,Deep Retrofit,18652.72,37.31
eps_insulation,2760.2,1104.08,9605.5,8.7,244553.72,221.5,552.04,95.0,50,,55.2,9660.7,wall_insulation,BLD_019,Minimal,,
mineral_wool_insulation,8231.04,1371.84,10535.73,7.68,138281.47,100.8,4115.52,60.0,50,,57.16,10592.89,roof_insulation,BLD_019,Minimal,,
eps_insulation,2760.2,1104.08,9605.5,8.7,244553.72,221.5,552.04,95.0,50,,55.2,9660.7,wall_insulation,BLD_019,Standard,,
mineral_wool_insulation,8231.04,1371.84,10535.73,7.68,138281.47,100.8,4115.52,60.0,50,,57.16,10592.89,roof_insulation,BLD_019,Standard,,
glass_double_glazed,34906.0,349.06,29670.1,85.0,555005.4,1590.0,10471.8,100.0,35,1815.11,34.91,31520.12,window_replacement,BLD_019,Standard,,
air_source_heat_pump,,,1200.0,,15500.0,,,,20,,150.0,1350.0,hvac_upgrade_heat_pump,BLD_019,Standard,1700.0,
eps_insulation,2760.2,1104.08,9605.5,8.7,244553.72,221.5,552.04,95.0,50,,55.2,9660.7,wall_insulation,BLD_019,Deep Retrofit,,
mineral_wool_insulation,8231.04,1371.84,10535.73,7.68,138281.47,100.8,4115.52,60.0,50,,57.16,10592.89,roof_insulation,BLD_019,Deep Retrofit,,
glass_double_glazed,34906.0,349.06,29670.1,85.0,555005.4,1590.0,10471.8,100.0,35,1815.11,34.91,31520.12,window_replacement,BLD_019,Deep Retrofit,,
air_source_heat_pump,,,1200.0,,15500.0,,,,20,,150.0,1350.0,hvac_upgrade_heat_pump,BLD_019,Deep Retrofit,1700.0,
solar_pv,,,37039.68,,514440.0,,,,25,,2057.76,39097.44,solar_pv,BLD_019,Deep Retrofit,10288.8,20.58
eps_insulation,1799.82,719.93,6263.39,8.7,159464.49,221.5,359.96,95.0,50,,36.0,6299.39,wall_insulation,BLD_020,Minimal,,
mineral_wool_insulation,17042.34,2840.39,21814.2,7.68,286311.31,100.8,8521.17,60.0,50,,118.35,21932.55,roof_insulation,BLD_020,Minimal,,
eps_insulation,1799.82,719.93,6263.39,8.7,159464.49,221.5,359.96,95.0,50,,36.0,6299.39,wall_insulation,BLD_020,Standard,,
mineral_wool_insulation,17042.34,2840.39,21814.2,7.68,286311.31,100.8,8521.17,60.0,50,,118.35,21932.55,roof_insulation,BLD_020,Standard,,
glass_double_glazed,12198.0,121.98,10368.3,85.0,193948.2,1590.0,3659.4,100.0,35,634.3,12.2,11014.79,window_replacement,BLD_020,Standard,,
air_source_heat_pump,,,1200.0,,15500.0,,,,20,,150.0,1350.0,hvac_upgrade_heat_pump,BLD_020,Standard,1700.0,
eps_insulation,1799.82,719.93,6263.39,8.7,159464.49,221.5,359.96,95.0,50,,36.0,6299.39,wall_insulation,BLD_020,Deep Retrofit,,
mineral_wool_insulation,17042.34,2840.39,21814.2,7.68,286311.31,100.8,8521.17,60.0,50,,118.35,21932.55,roof_insulation,BLD_020,Deep Retrofit,,
glass_double_glazed,12198.0,121.98,10368.3,85.0,193948.2,1590.0,3659.4,100.0,35,634.3,12.2,11014.79,window_replacement,BLD_020,Deep Retrofit,,
air_source_heat_pump,,,1200.0,,15500.0,,,,20,,150.0,1350.0,hvac_upgrade_heat_pump,BLD_020,Deep Retrofit,1700.0,
solar_pv,,,76690.53,,1065146.25,,,,25,,4260.59,80951.12,solar_pv,BLD_020,Deep Retrofit,21302.92,42.61
eps_insulation,1233.33,493.33,4291.97,8.7,109272.6,221.5,246.67,95.0,50,,24.67,4316.64,wall_insulation,BLD_021,Minimal,,
mineral_wool_insulation,1043.88,173.98,1336.17,7.68,17537.18,100.8,521.94,60.0,50,,7.25,1343.42,roof_insulation,BLD_021,Minimal,,
eps_insulation,1233.33,493.33,4291.97,8.7,109272.6,221.5,246.67,95.0,50,,24.67,4316.64,wall_insulation,BLD_021,Standard,,
mineral_wool_insulation,1043.88,173.98,1336.17,7.68,17537.18,100.8,521.94,60.0,50,,7.25,1343.42,roof_insulation,BLD_021,Standard,,
glass_double_glazed,9928.0,99.28,8438.8,85.0,157855.2,1590.0,2978.4,100.0,35,516.26,9.93,8964.98,window_replacement,BLD_021,Standard,,
air_source_heat_pump,,,1200.0,,15500.0,,,,20,,150.0,1350.0,hvac_upgrade_heat_pump,BLD_021,Standard,1700.0,
eps_insulation,1233.33,493.33,4291.97,8.7,109272.6,221.5,246.67,95.0,50,,24.67,4316.64,wall_insulation,BLD_021,Deep Retrofit,,
mineral_wool_insulation,1043.88,173.98,1336.17,7.68,17537.18,100.8,521.94,60.0,50,,7.25,1343.42,roof_insulation,BLD_021,Deep Retrofit,,
glass_double_glazed,9928.0,99.28,8438.8,85.0,157855.2,1590.0,2978.4,100.0,35,516.26,9.93,8964.98,window_replacement,BLD_021,Deep Retrofit,,
air_source_heat_pump,,,1200.0,,15500.0,,,,20,,150.0,1350.0,hvac_upgrade_heat_pump,BLD_021,Deep Retrofit,1700.0,
solar_pv,,,4697.46,,65242.5,,,,25,,260.97,4958.43,solar_pv,BLD_021,Deep Retrofit,1304.85,2.61
glass_double_glazed,83761.0,837.61,71196.85,85.0,1331799.9,1590.0,25128.3,100.0,35,4355.57,83.76,75636.18,window_replacement,BLD_022,Minimal,,
air_source_heat_pump,,,1200.0,,15500.0,,,,20,,150.0,1350.0,hvac_upgrade_heat_pump,BLD_022,Minimal,1700.0,
glass_double_glazed,83761.0,837.61,71196.85,85.0,1331799.9,1590.0,25128.3,100.0,35,4355.57,83.76,75636.18,window_replacement,BLD_022,Standard,,
air_source_heat_pump,,,1200.0,,15500.0,,,,20,,150.0,1350.0,hvac_upgrade_heat_pump,BLD_022,Standard,1700.0,
solar_pv,,,16313.4,,226575.0,,,,25,,906.3,17219.7,solar_pv,BLD_022,Standard,4531.5,9.06
glass_double_glazed,83761.0,837.61,71196.85,85.0,1331799.9,1590.0,25128.3,100.0,35,4355.57,83.76,75636.18,window_replacement,BLD_022,Deep Retrofit,,
air_source_heat_pump,,,1200.0,,15500.0,,,,20,,150.0,1350.0,hvac_upgrade_heat_pump,BLD_022,Deep Retrofit,1700.0,
solar_pv,,,16313.4,,226575.0,,,,25,,906.3,17219.7,solar_pv,BLD_022,Deep Retrofit,4531.5,9.06
eps_insulation,2680.38,1072.15,9327.71,8.7,237481.23,221.5,536.08,95.0,50,,53.61,9381.32,wall_insulation,BLD_023,Minimal,,
mineral_wool_insulation,4192.2,698.7,5366.02,7.68,70428.96,100.8,2096.1,60.0,50,,29.11,5395.13,roof_insulation,BLD_023,Minimal,,
eps_insulation,2680.38,1072.15,9327.71,8.7,237481.23,221.5,536.08,95.0,50,,53.61,9381.32,wall_insulation,BLD_023,Standard,,
mineral_wool_insulation,4192.2,698.7,5366.02,7.68,70428.96,100.8,2096.1,60.0,50,,29.11,5395.13,roof_insulation,BLD_023,Standard,,
glass_double_glazed,44859.0,448.59,38130.15,85.0,713258.1,1590.0,13457.7,100.0,35,2332.67,44.86,40507.68,window_replacement,BLD_023,Standard,,
air_source_heat_pump,,,1200.0,,15500.0,,,,20,,150.0,1350.0,hvac_upgrade_heat_pump,BLD_023,Standard,1700.0,
eps_insulation,2680.38,1072.15,9327.71,8.7,237481.23,221.5,536.08,95.0,50,,53.61,9381.32,wall_insulation,BLD_023,Deep Retrofit,,
mineral_wool_insulation,4192.2,698.7,5366.02,7.68,70428.96,100.8,2096.1,60.0,50,,29.11,5395.13,roof_insulation,BLD_023,Deep Retrofit,,
glass_double_glazed,44859.0,448.59,38130.15,85.0,713258.1,1590.0,13457.7,100.0,35,2332.67,44.86,40507.68,window_replacement,BLD_023,Deep Retrofit,,
air_source_heat_pump,,,1200.0,,15500.0,,,,20,,150.0,1350.0,hvac_upgrade_heat_pump,BLD_023,Deep Retrofit,1700.0,
solar_pv,,,18864.9,,262012.5,,,,25,,1048.05,19912.95,solar_pv,BLD_023,Deep Retrofit,5240.25,10.48
glass_double_glazed,15026.0,150.26,12772.1,85.0,238913.4,1590.0,4507.8,100.0,35,781.35,15.03,13568.48,window_replacement,BLD_024,Minimal,,
air_source_heat_pump,,,1200.0,,15500.0,,,,20,,150.0,1350.0,hvac_upgrade_heat_pump,BLD_024,Minimal,1700.0,
glass_double_glazed,15026.0,150.26,12772.1,85.0,238913.4,1590.0,4507.8,100.0,35,781.35,15.03,13568.48,window_replacement,BLD_024,Standard,,
air_source_heat_pump,,,1200.0,,15500.0,,,,20,,150.0,1350.0,hvac_upgrade_heat_pump,BLD_024,Standard,1700.0,
solar_pv,,,43130.61,,599036.25,,,,25,,2396.15,45526.76,solar_pv,BLD_024,Standard,11980.73,23.96
glass_double_glazed,15026.0,150.26,12772.1,85.0,238913.4,1590.0,4507.8,100.0,35,781.35,15.03,13568.48,window_replacement,BLD_024,Deep Retrofit,,
air_source_heat_pump,,,1200.0,,15500.0,,,,20,,150.0,1350.0,hvac_upgrade_heat_pump,BLD_024,Deep Retrofit,1700.0,
solar_pv,,,43130.61,,599036.25,,,,25,,2396.15,45526.76,solar_pv,BLD_024,Deep Retrofit,11980.73,23.96
