year,total_consumption_kwh,heating_cooling_kwh,lighting_kwh,equipment_kwh,other_kwh,cost_eur,carbon_emissions_kgco2,building_id
2020,285144.03,140493.54,66096.81,67314.82,11238.86,42771.61,99800.41,BLD_007
2021,282784.83,141696.33,54221.47,48698.6,38168.43,42417.72,98974.69,BLD_007
2022,290310.58,140441.09,70920.25,52929.51,26019.73,43546.59,101608.7,BLD_007
2023,306689.39,159571.07,57155.54,75806.93,14155.84,46003.41,107341.28,BLD_007
2019,285076.47,135462.13,56936.86,51338.8,41338.68,42761.47,99776.77,BLD_008
2020,270612.52,122773.84,57087.45,54195.0,36556.23,40591.88,94714.38,BLD_008
2021,268062.42,128097.55,64556.56,46631.12,28777.19,40209.36,93821.85,BLD_008
2022,274626.15,137023.42,68262.46,47841.39,21498.87,41193.92,96119.15,BLD_008
2023,293796.15,154584.36,51051.12,65464.14,22696.53,44069.42,102828.65,BLD_008
2019,102494.2,52603.16,21867.44,20865.51,7158.09,15374.13,35872.97,BLD_009
2020,101106.12,53943.17,18409.2,17051.73,11702.01,15165.92,35387.14,BLD_009
2021,102070.58,51963.04,22226.52,15479.9,12401.11,15310.59,35724.7,BLD_009
2022,108672.8,51364.15,23312.19,18195.81,15800.64,16300.92,38035.48,BLD_009
2023,112201.77,54830.03,27340.54,18373.27,11657.92,16830.26,39270.62,BLD_009
2019,889709.95,410465.33,215727.4,211514.25,52002.97,133456.49,311398.48,BLD_010
2020,895427.74,462039.28,207490.5,184028.38,41869.57,134314.16,313399.71,BLD_010
2021,933962.23,442871.09,148789.78,223890.9,118410.46,140094.33,326886.78,BLD_010
2022,982592.34,504374.62,180701.66,181701.92,115814.15,147388.85,343907.32,BLD_010
2023,979977.39,528904.6,233929.07,223422.65,-6278.93,146996.61,342992.09,BLD_010
2019,1294433.79,593386.57,215086.83,310476.96,175483.43,194165.07,453051.83,BLD_011
2020,1309238.15,590361.28,209670.76,283253.91,225952.2,196385.72,458233.35,BLD_011
2021,1249531.01,582382.42,255995.64,273884.1,137268.85,187429.65,437335.85,BLD_011
2022,1354007.66,639669.68,299530.76,235224.86,179582.36,203101.15,473902.68,BLD_011
2023,1329263.17,697396.78,285742.78,312273.61,33849.99,199389.47,465242.11,BLD_011
2019,12523.61,6347.35,1995.86,2339.05,1841.35,1878.54,4383.26,BLD_012
2020,12220.39,5797.34,3022.11,2313.44,1087.49,1833.06,4277.14,BLD_012
2021,13197.02,6771.58,3028.47,2642.89,754.1,1979.55,4618.96,BLD_012
2022,12983.18,6481.88,2200.96,2885.45,1414.89,1947.48,4544.11,BLD_012
2023,12782.53,5783.22,2742.46,2143.77,2113.08,1917.38,4473.88,BLD_012
2019,463330.85,252697.33,111888.12,86650.22,12095.17,69499.63,162165.8,BLD_013
2020,428614.95,232665.85,82644.86,105724.51,7579.73,64292.24,150015.23,BLD_013
2021,478289.47,256028.81,85826.6,90162.24,46271.82,71743.42,167401.32,BLD_013
2022,480038.39,231230.75,80142.06,98734.36,69931.22,72005.76,168013.44,BLD_013
2023,490928.24,255087.78,101625.15,78409.9,55805.41,73639.24,171824.88,BLD_013
2019,710009.02,389798.78,116447.45,143303.23,60459.57,106501.35,248503.16,BLD_014
2020,739351.82,387477.18,162436.76,162841.06,26596.82,110902.77,258773.14,BLD_014
2021,712835.63,341704.3,164619.49,164673.11,41838.72,106925.34,249492.47,BLD_014
2022,760448.99,411649.33,152952.33,152205.11,43642.23,114067.35,266157.15,BLD_014
2023,766247.15,394614.52,168725.08,175914.46,26993.09,114937.07,268186.5,BLD_014
2019,845093.94,408856.04,158504.38,134706.45,143027.08,126764.09,295782.88,BLD_015
2020,832035.17,377406.35,163544.67,169955.22,121128.93,124805.28,291212.31,BLD_015
2021,819890.16,417392.41,125484.21,126045.67,150967.88,122983.52,286961.56,BLD_015
2022,877393.94,426430.18,142757.3,177430.4,130776.06,131609.09,307087.88,BLD_015
2023,885452.47,417563.54,187971.86,140374.98,139542.09,132817.87,309908.36,BLD_015
2019,266273.0,133971.39,54336.6,56913.99,21051.02,39940.95,93195.55,BLD_016
2020,289349.67,158443.6,58341.58,52747.19,19817.3,43402.45,101272.38,BLD_016
2021,295609.72,141030.44,57317.88,46660.71,50600.7,44341.46,103463.4,BLD_016
2022,277488.22,151582.06,64820.7,60935.7,149.77,41623.23,97120.88,BLD_016
2023,292806.63,136837.16,48501.58,51248.27,56219.63,43921.0,102482.32,BLD_016
2019,453881.16,236680.69,98047.29,80787.85,38365.34,68082.17,158858.41,BLD_017
2020,479285.18,251044.64,98462.14,101211.65,28566.75,71892.78,167749.81,BLD_017
2021,461467.27,219092.25,85647.06,104192.21,52535.75,69220.09,161513.54,BLD_017
2022,449062.63,207290.57,69425.2,69188.37,103158.48,67359.39,157171.92,BLD_017
2023,495775.2,257984.45,97874.64,79216.66,60699.45,74366.28,173521.32,BLD_017
2019,745483.45,370764.09,124734.43,144165.44,105819.49,111822.52,260919.21,BLD_018
2020,749614.39,383491.49,160049.69,115838.21,90235.0,112442.16,262365.04,BLD_018
2021,758856.35,388979.13,152009.27,178823.73,39044.22,113828.45,265599.72,BLD_018
2022,792056.99,369330.98,124398.0,169691.82,128636.2,118808.55,277219.95,BLD_018
2023,753428.48,383176.82,183853.9,156372.14,30025.63,113014.27,263699.97,BLD_018
2019,569731.53,293029.35,111567.84,116545.24,48589.1,85459.73,199406.04,BLD_019
2020,610635.16,298362.61,150288.95,146879.17,15104.44,91595.27,213722.31,BLD_019
2021,575406.56,262924.05,92109.82,87359.48,133013.22,86310.98,201392.3,BLD_019
2022,577684.07,299414.04,90765.07,105079.32,82425.64,86652.61,202189.42,BLD_019
2023,631808.49,285784.16,146230.08,112579.1,87215.15,94771.27,221132.97,BLD_019
2019,1024475.22,532392.84,218104.92,243566.12,30411.34,153671.28,358566.33,BLD_020
2020,1106537.53,586850.07,197188.81,185614.98,136883.67,165980.63,387288.13,BLD_020
2021,1124595.6,596804.3,280081.11,215092.14,32618.05,168689.34,393608.46,BLD_020
2022,1098832.45,579789.38,202273.47,267099.5,49670.1,164824.87,384591.36,BLD_020
2023,1169521.8,576456.6,263244.28,263673.7,66147.22,175428.27,409332.63,BLD_020
2019,90220.58,48742.15,18091.5,20989.43,2397.5,13533.09,31577.2,BLD_021
2020,93642.46,50525.01,17690.95,14147.86,11278.65,14046.37,32774.86,BLD_021
2021,100690.46,46229.88,18318.75,24669.79,11472.04,15103.57,35241.66,BLD_021
2022,102600.84,52053.9,21872.83,19991.21,8682.9,15390.13,35910.29,BLD_021
2023,97526.82,47092.43,21187.88,21966.69,7279.82,14629.02,34134.39,BLD_021
2019,873024.13,461796.43,138916.13,174117.71,98193.87,130953.62,305558.45,BLD_022
2020,822919.31,415535.48,159772.29,196488.79,51122.75,123437.9,288021.76,BLD_022
2021,860712.34,397396.66,141414.32,194651.01,127250.35,129106.85,301249.32,BLD_022
2022,896942.41,412694.21,142085.26,197414.26,144748.69,134541.36,313929.84,BLD_022
2023,860770.56,458090.05,189906.84,136117.85,76655.83,129115.58,301269.7,BLD_022
2019,421904.33,231483.7,79076.3,78923.2,32421.13,63285.65,147666.52,BLD_023
2020,460756.89,250985.73,114544.21,103825.95,-8599.01,69113.53,161264.91,BLD_023
2021,447774.07,205237.28,101964.73,92170.01,48402.05,67166.11,156720.92,BLD_023
2022,456501.26,246800.76,73551.37,90963.59,45185.55,68475.19,159775.44,BLD_023
2023,443789.9,220504.14,69067.17,71841.5,82377.09,66568.49,155326.47,BLD_023
2019,288062.34,148329.36,64700.1,60014.01,15018.88,43209.35,100821.82,BLD_024
2020,318061.45,155050.84,56796.62,75336.01,30877.98,47709.22,111321.51,BLD_024
2021,299976.5,163883.84,45361.08,74090.56,16641.02,44996.47,104991.77,BLD_024
2022,298697.51,161032.1,60566.93,74464.24,2634.24,44804.63,104544.13,BLD_024
2023,303957.71,153615.8,75056.36,61493.62,13791.94,45593.66,106385.2,BLD_024
2019,937741.13,487226.73,183285.36,199509.87,67719.18,140661.17,328209.4,BLD_025
2020,947570.91,511798.02,146442.0,168758.89,120571.99,142135.64,331649.82,BLD_025
2021,996483.06,537130.65,194877.88,211267.62,53206.9,149472.46,348769.07,BLD_025
2022,945884.57,443442.15,185743.2,175305.73,141393.49,141882.69,331059.6,BLD_025
2023,989516.85,452974.56,244845.54,246014.74,45682.02,148427.53,346330.9,BLD_025
2019,287192.57,144632.95,51968.29,66450.47,24140.86,43078.89,100517.4,BLD_026
2020,291116.57,135736.5,70186.08,67612.91,17581.07,43667.49,101890.8,BLD_026
2021,303107.38,158395.41,64059.17,58143.36,22509.43,45466.11,106087.58,BLD_026
2022,307019.18,164748.45,47441.18,46862.39,47967.16,46052.88,107456.71,BLD_026
2023,294821.15,156566.34,73330.16,48657.78,16266.86,44223.17,103187.4,BLD_026
2019,7503.98,3662.61,1853.42,1757.52,230.43,1125.6,2626.39,BLD_027
2020,7800.8,3875.98,1493.71,1383.4,1047.71,1170.12,2730.28,BLD_027
2021,7317.34,3925.55,1692.43,1829.13,-129.77,1097.6,2561.07,BLD_027
2022,8154.34,4122.37,1850.21,1993.55,188.21,1223.15,2854.02,BLD_027
2023,8155.56,3871.73,1590.78,1328.67,1364.38,1223.33,2854.45,BLD_027
2019,182229.48,93049.55,31500.97,39574.79,18104.17,27334.42,63780.32,BLD_028
2020,179019.46,86970.56,28885.82,38875.39,24287.69,26852.92,62656.81,BLD_028
2021,179908.75,94853.62,36344.51,42317.8,6392.82,26986.31,62968.06,BLD_028
2022,183104.39,92668.0,43517.57,34853.61,12065.22,27465.66,64086.54,BLD_028
2023,178011.15,80617.38,40143.96,37743.87,19505.94,26701.67,62303.9,BLD_028
2019,97047.9,45738.33,15880.64,14698.34,20730.59,14557.19,33966.77,BLD_029
2020,95091.23,48400.65,17993.58,18423.69,10273.31,14263.68,33281.93,BLD_029
2021,101919.31,49413.09,20526.44,23274.83,8704.95,15287.9,35671.76,BLD_029
2022,98358.55,50380.1,23235.87,24093.13,649.45,14753.78,34425.49,BLD_029
2023,97255.41,52776.5,19374.41,17099.88,8004.62,14588.31,34039.39,BLD_029
2019,63334.13,34707.31,12620.07,11582.24,4424.51,9500.12,22166.94,BLD_030
2020,65408.98,31004.81,10307.56,10654.34,13442.27,9811.35,22893.14,BLD_030
2021,63065.45,29337.43,10335.34,13501.52,9891.16,9459.82,22072.91,BLD_030
2022,64341.64,31177.82,15421.33,12700.79,5041.7,9651.25,22519.57,BLD_030
2023,68539.14,32023.68,11598.8,10560.98,14355.68,10280.87,23988.7,BLD_030
2019,1917853.82,916463.77,321626.1,304689.92,375074.03,287678.07,671248.84,BLD_031
2020,1936897.67,960852.08,330499.38,361090.0,284456.21,290534.65,677914.19,BLD_031
2021,2043725.05,1060773.99,314593.08,469936.26,198421.72,306558.76,715303.77,BLD_031
2022,2099290.64,961844.38,498283.14,508211.48,130951.64,314893.6,734751.72,BLD_031
2023,2010247.74,960270.75,463603.59,451955.9,134417.5,301537.16,703586.71,BLD_031
2019,199964.34,94170.19,37402.77,39683.38,28707.99,29994.65,69987.52,BLD_032
2020,212053.8,103247.17,41616.3,47658.48,19531.87,31808.07,74218.83,BLD_032
2021,202819.17,96388.53,44890.97,48579.39,12960.28,30422.88,70986.71,BLD_032
2022,216021.79,108704.61,34718.42,42068.35,30530.41,32403.27,75607.63,BLD_032
2023,219580.88,104135.59,38849.2,41221.57,35374.53,32937.13,76853.31,BLD_032
2019,949754.48,457979.13,162545.54,173567.38,155662.43,142463.17,332414.07,BLD_033
2020,974095.48,525088.83,203935.9,212265.37,32805.39,146114.32,340933.42,BLD_033
2021,1057276.98,528473.78,167781.43,215378.58,145643.18,158591.55,370046.94,BLD_033
2022,1051580.74,551600.31,203129.6,171153.21,125697.62,157737.11,368053.26,BLD_033
2023,1034626.31,503147.29,222022.24,214248.17,95208.61,155193.95,362119.21,BLD_033
2019,31724.41,17405.65,6680.45,5511.25,2127.07,4758.66,11103.54,BLD_034
2020,31369.42,14595.75,5476.97,5209.46,6087.24,4705.41,10979.3,BLD_034
2021,32114.1,15366.9,5373.89,7697.0,3676.31,4817.11,11239.93,BLD_034
2022,32224.11,16191.04,6156.08,7999.25,1877.74,4833.62,11278.44,BLD_034
2023,32795.18,16062.6,8098.67,7757.72,876.18,4919.28,11478.31,BLD_034
2019,165657.97,78818.45,27679.58,35925.3,23234.63,24848.69,57980.29,BLD_035
2020,169973.11,85951.37,35211.85,30254.86,18555.04,25495.97,59490.59,BLD_035
2021,169840.82,79605.14,30973.52,32701.77,26560.4,25476.12,59444.29,BLD_035
2022,167920.04,79634.57,27116.35,35441.54,25727.59,25188.01,58772.02,BLD_035
2023,166603.32,84655.12,27562.23,33006.45,21379.52,24990.5,58311.16,BLD_035
2019,685074.12,311833.65,125821.01,111969.52,135449.94,102761.12,239775.94,BLD_036
2020,662829.37,363890.69,120790.97,153105.26,25042.45,99424.41,231990.28,BLD_036
2021,686077.25,355491.11,155069.09,143777.01,31740.04,102911.59,240127.04,BLD_036
2022,711548.69,349501.39,131555.98,172872.83,57618.49,106732.3,249042.04,BLD_036
2023,747750.56,408647.69,121456.92,166813.24,50832.71,112162.58,261712.7,BLD_036
2019,74507.83,34878.85,11671.62,16698.1,11259.25,11176.17,26077.74,BLD_037
2020,72989.24,38989.6,11968.57,16752.98,5278.08,10948.39,25546.23,BLD_037
2021,71326.72,33264.33,11870.66,16509.1,9682.63,10699.01,24964.35,BLD_037
2022,75823.28,38086.53,14094.26,18024.71,5617.77,11373.49,26538.15,BLD_037
2023,74847.96,39793.66,14514.03,14048.55,6491.72,11227.19,26196.79,BLD_037
2019,664967.93,319276.23,149458.82,133174.48,63058.4,99745.19,232738.78,BLD_038
2020,659328.98,356009.6,124210.41,134737.36,44371.61,98899.35,230765.14,BLD_038
2021,715426.92,366601.78,115677.24,174552.16,58595.74,107314.04,250399.42,BLD_038
2022,706402.12,341538.76,115798.53,162050.43,87014.41,105960.32,247240.74,BLD_038
2023,716001.66,360396.65,171403.11,163863.94,20337.96,107400.25,250600.58,BLD_038
2019,1407162.08,677087.28,246040.76,315759.61,168274.42,211074.31,492506.73,BLD_039
2020,1410786.61,715253.25,319184.64,335310.91,41037.81,211617.99,493775.31,BLD_039
2021,1477970.04,786465.89,238046.55,346798.62,106658.99,221695.51,517289.52,BLD_039
2022,1466799.47,718333.84,336967.16,242009.8,169488.67,220019.92,513379.82,BLD_039
2023,1503580.65,785207.79,333800.4,321938.82,62633.65,225537.1,526253.23,BLD_039
2019,447227.38,225524.44,78345.25,82544.58,60813.11,67084.11,156529.58,BLD_040
2020,431120.85,233169.58,89819.36,81949.67,26182.24,64668.13,150892.3,BLD_040
2021,450163.17,245216.64,74427.79,93914.38,36604.36,67524.48,157557.11,BLD_040
2022,458730.81,234478.15,69640.39,108816.63,45795.63,68809.62,160555.78,BLD_040
2023,485136.91,245728.31,106567.64,117524.39,15316.58,72770.54,169797.92,BLD_040
2019,57517.69,26760.33,11942.33,12117.34,6697.69,8627.65,20131.19,BLD_041
2020,56761.21,29722.69,13817.76,13767.82,-547.06,8514.18,19866.42,BLD_041
2021,57755.07,26643.79,14351.22,13508.32,3251.74,8663.26,20214.27,BLD_041
2022,56675.45,30722.86,13431.49,11441.86,1079.23,8501.32,19836.41,BLD_041
2023,60276.09,29529.27,9371.5,11061.85,10313.47,9041.41,21096.63,BLD_041
2019,469578.3,211527.75,86097.14,89133.88,82819.53,70436.75,164352.41,BLD_042
2020,464341.59,251666.44,85733.52,85761.72,41179.91,69651.24,162519.56,BLD_042
2021,480597.7,238002.46,82884.11,93833.79,65877.34,72089.66,168209.2,BLD_042
2022,459179.44,214730.07,91760.94,88113.11,64575.31,68876.92,160712.8,BLD_042
2023,503163.6,244657.96,104687.63,107287.78,46530.23,75474.54,176107.26,BLD_042
2019,1347786.78,695934.74,226163.47,331699.8,93988.77,202168.02,471725.37,BLD_043
2020,1387498.59,681903.4,219967.04,346440.95,139187.19,208124.79,485624.51,BLD_043
2021,1459593.51,743719.09,228729.47,328402.77,158742.18,218939.03,510857.73,BLD_043
2022,1437575.56,776011.09,245126.71,243049.13,173388.63,215636.33,503151.45,BLD_043
2023,1432176.43,712087.71,295721.68,224237.1,200129.94,214826.46,501261.75,BLD_043
2019,762201.9,377540.62,154299.41,147925.31,82436.57,114330.29,266770.67,BLD_044
2020,745419.26,377155.33,123384.8,125374.16,119504.97,111812.89,260896.74,BLD_044
2021,791658.22,431146.21,148302.07,140182.46,72027.48,118748.73,277080.38,BLD_044
2022,786305.67,385976.55,119941.99,130224.22,150162.91,117945.85,275206.99,BLD_044
2023,803251.36,414391.27,122664.19,138317.65,127878.25,120487.7,281137.97,BLD_044
2019,309108.81,159867.76,46975.59,49584.41,52681.05,46366.32,108188.08,BLD_045
2020,332085.79,155367.82,71489.64,57722.58,47505.75,49812.87,116230.03,BLD_045
2021,314075.28,148971.31,69795.91,73986.6,21321.45,47111.29,109926.35,BLD_045
2022,342907.06,167927.88,74345.17,58465.11,42168.89,51436.06,120017.47,BLD_045
2023,329745.4,177941.69,49890.54,52281.41,49631.75,49461.81,115410.89,BLD_045
2019,29847.67,13510.65,5018.69,6217.39,5100.94,4477.15,10446.69,BLD_046
2020,30961.78,16696.67,7175.22,5702.59,1387.3,4644.27,10836.62,BLD_046
2021,30906.31,15081.33,6460.33,5464.43,3900.22,4635.95,10817.21,BLD_046
2022,32528.24,15969.45,6674.95,6297.88,3585.96,4879.24,11384.89,BLD_046
2023,31920.7,17391.84,7225.59,5235.36,2067.91,4788.11,11172.25,BLD_046
2019,311953.13,155584.48,74698.81,71744.7,9925.14,46792.97,109183.6,BLD_047
2020,303096.32,137074.38,53607.96,61881.18,50532.8,45464.45,106083.71,BLD_047
2021,314029.55,149411.73,51480.63,73323.71,39813.48,47104.43,109910.34,BLD_047
2022,329636.06,165664.87,55104.58,58421.64,50444.97,49445.41,115372.62,BLD_047
2023,303559.72,164356.31,49108.41,63034.68,27060.33,45533.96,106245.9,BLD_047
2019,745790.52,376935.8,160450.89,173749.93,34653.89,111868.58,261026.68,BLD_048
2020,751739.29,339109.28,123051.12,180418.83,109160.05,112760.89,263108.75,BLD_048
2021,815306.56,415595.43,171256.52,176516.86,51937.75,122295.98,285357.3,BLD_048
2022,771482.36,417712.33,148029.76,145280.82,60459.45,115722.35,270018.82,BLD_048
2023,810342.74,368460.08,135026.06,181357.43,125499.16,121551.41,283619.96,BLD_048
2019,590356.94,301268.12,103037.9,111535.88,74515.04,88553.54,206624.93,BLD_049
2020,612086.91,297209.37,135824.89,109999.47,69053.18,91813.04,214230.42,BLD_049
2021,638754.42,317847.42,138205.45,155653.58,27047.97,95813.16,223564.05,BLD_049
2022,658754.22,310598.69,100867.34,116089.89,131198.31,98813.13,230563.98,BLD_049
2023,659231.34,300044.26,131606.72,138230.45,89349.91,98884.7,230730.97,BLD_049
2019,330178.64,174034.26,53046.44,52007.69,51090.25,49526.8,115562.52,BLD_050
2020,348556.17,174120.93,76278.12,67439.6,30717.52,52283.43,121994.66,BLD_050
2021,337046.29,179278.37,77500.96,73971.43,6295.53,50556.94,117966.2,BLD_050
2022,342857.93,174522.6,63804.97,54568.65,49961.72,51428.69,120000.28,BLD_050
2023,370740.14,171905.48,90840.13,72146.24,35848.28,55611.02,129759.05,BLD_050
