building_id,building_type,building_function,construction_year,building_age_years,architectural_style,quality_rating,epc_rating,num_floors,floor_height_m,total_height_m,footprint_area_m2,total_floor_area_m2,building_width_m,building_length_m,rooftop_area_m2,wall_area_m2,window_area_m2,window_wall_ratio,volume_m3,wall_material,roof_material,window_type,hvac_system,wall_u_value,wall_r_value,roof_u_value,roof_r_value,window_u_value,window_shgc,envelope_avg_u_value,heat_loss_coefficient_w_k,thermal_mass_kj_k,wall_cost_per_m2,roof_cost_per_m2,window_cost_per_m2,hvac_system_cost,wall_carbon_kgco2_m2,roof_carbon_kgco2_m2,window_carbon_kgco2_m2,hvac_carbon_kgco2_year,total_embodied_carbon_kgco2eq,gwp_per_m2_kgco2eq,total_embodied_energy_mj,embodied_energy_per_m2_mj,avg_annual_consumption_kwh,std_annual_consumption_kwh,min_annual_consumption_kwh,max_annual_consumption_kwh,avg_annual_carbon_kgco2,avg_annual_cost_eur,best_retrofit_scenario,best_retrofit_cost_eur,best_retrofit_savings_kwh,best_retrofit_energy_pct,best_retrofit_roi_pct,best_retrofit_payback_years
BLD_031,industrial,Factory,1930,94,Edwardian,poor,G,3,2.96,8.87,1763.13,5289.39,27.84,63.33,1763.13,1616.97,532.15,0.329,15635.65,brick_uninsulated,pitched_uninsulated,single_glazed,electric_resistance,2.1,0.48,2.3,0.43,5.8,0.86,2.787,9419.79,8251330.51,85,75,185,2500,45,35,55,3500,777991.93,128.43,6903384.38,1305.14,2001602.984,75154.13913371597,1917853.82,2099290.64,700561.046,300240.448,Minimal,269677.2,592331.56,29.47,390.16,3.04
BLD_032,educational,Training center,1969,55,Modernist,good,G,2,3.18,6.36,491.61,983.23,19.3,25.47,491.61,569.83,205.56,0.361,3128.58,brick_uninsulated,pitched_insulated,double_glazed,gas_boiler_old,2.1,0.48,0.16,6.25,2.8,0.76,1.337,1419.19,2470637.38,85,135,285,3500,45,42,75,2500,232551.74,217.86,2298959.83,2338.17,210087.99599999998,8433.762290089151,199964.34,219580.88,73530.8,31513.2,Deep Retrofit,189867.28,146622.03,66.77,72.33,8.63
BLD_033,commercial,Retail,1965,59,Brutalist,fair,G,6,2.81,16.89,615.82,3694.94,21.34,28.86,615.82,1695.3,916.1,0.54,10399.02,concrete_block,pitched_uninsulated,single_glazed,gas_boiler_condensing,1.8,0.56,2.3,0.43,5.8,0.86,3.519,8132.33,7578223.68,95,75,185,5500,65,35,55,1800,465351.11,109.26,4523018.56,1224.11,1013466.7980000001,48551.750008936055,949754.48,1057276.98,354713.38,152020.02,Minimal,190287.0,304858.85,29.47,257.53,4.16
BLD_034,residential,Apartment,1972,52,Brutalist,fair,G,1,3.4,3.4,178.82,178.82,8.78,20.38,178.82,198.49,39.17,0.197,608.76,cavity_wall_insulated,flat_uninsulated,single_glazed,gas_boiler_condensing,0.28,3.57,1.8,0.56,5.8,0.86,1.573,593.67,335545.49,165,85,185,5500,48,38,55,1800,46530.16,234.57,342710.33,1916.51,32045.444,538.2403118775117,31369.42,32795.18,11215.904,4806.816,Deep Retrofit,54227.26,21475.35,65.48,-11.62,16.83
BLD_035,commercial,Office,2013,11,Smart building,excellent,A,2,3.07,6.15,743.36,1486.73,24.74,30.05,743.36,673.87,245.34,0.364,4571.57,cavity_wall_insulated,pitched_insulated,triple_glazed,ground_source_heat_pump,0.28,3.57,0.16,6.25,0.8,0.5,0.307,435.2,2895392.46,165,135,485,22000,48,42,95,600,234208.72,136.49,2008748.64,1351.12,167999.052,1918.5925828507723,165657.97,169973.11,58799.67,25199.858,Standard,62548.73,70753.09,42.47,152.43,5.89
BLD_036,industrial,Workshop,1969,55,Brutalist,good,G,1,3.34,3.34,1820.93,1820.93,32.1,56.73,1820.93,593.66,205.16,0.346,6084.96,concrete_block,pitched_uninsulated,single_glazed,gas_boiler_condensing,1.8,0.56,2.3,0.43,5.8,0.86,2.517,6077.37,3049758.02,95,75,185,5500,65,35,55,1800,499430.37,250.16,3531146.13,1939.2,698655.998,32414.26040373086,662829.37,747750.56,244529.6,104798.4,Deep Retrofit,381652.84,555493.45,74.29,224.81,4.58
BLD_037,residential,Townhouse,1973,51,Post-war,good,G,2,3.2,6.4,198.28,396.55,10.52,18.84,198.28,376.13,100.37,0.267,1269.79,cavity_wall_insulated,pitched_uninsulated,single_glazed,gas_boiler_condensing,0.28,3.57,2.3,0.43,5.8,0.86,1.942,1115.4,739351.36,165,75,185,5500,48,35,55,1800,61659.43,137.12,522682.24,1318.07,73899.00600000001,1761.983273524467,71326.72,75823.28,25864.652000000002,11084.85,Deep Retrofit,89020.29,49012.87,65.48,22.87,12.11
BLD_038,commercial,Mixed-use,1939,85,Classical,poor,G,4,2.76,11.05,618.02,2472.07,17.76,34.79,618.02,1161.35,689.37,0.594,6828.32,concrete_block,pitched_uninsulated,single_glazed,gas_boiler_old,1.8,0.56,2.3,0.43,5.8,0.86,3.523,6269.36,4954069.12,95,75,185,3500,65,35,55,2500,363291.64,129.87,3459452.97,1399.42,692425.5220000001,27971.16522152447,659328.98,716001.66,242348.93199999997,103863.83,Minimal,145066.25,210974.19,29.47,224.55,4.58
BLD_039,commercial,Office,1927,97,Art Deco,fair,G,8,3.44,27.48,674.98,5399.8,18.58,36.33,674.98,3018.12,1118.78,0.371,18550.16,concrete_block,pitched_uninsulated,single_glazed,gas_boiler_old,1.8,0.56,2.3,0.43,5.8,0.86,3.103,11460.19,13189922.71,95,75,185,3500,65,35,55,2500,680535.98,106.71,6398195.15,1184.89,1453259.77,42588.3734934165,1407162.08,1503580.65,508640.92199999996,217988.96600000001,Minimal,307163.7,443039.06,29.47,221.88,4.62
BLD_040,industrial,Factory,1981,43,Neo-traditional,excellent,A,1,3.37,3.37,2924.79,2924.79,35.7,81.92,2924.79,792.95,193.27,0.244,9858.47,cavity_wall_insulated,pitched_insulated,double_glazed,air_source_heat_pump,0.28,3.57,0.16,6.25,2.8,0.76,0.317,1177.03,7885662.68,165,135,285,12000,48,42,75,800,695943.4,217.96,4730859.3,1617.5,454475.824,19841.880178331896,431120.85,485136.91,159066.538,68171.376,Deep Retrofit,224737.47,239520.99,49.37,137.84,6.26
BLD_041,residential,Townhouse,1980,44,Postmodern,excellent,B,3,2.89,8.68,208.7,626.11,11.11,18.79,208.7,518.91,99.12,0.191,1811.26,brick_insulated,pitched_insulated,double_glazed,air_source_heat_pump,0.35,2.86,0.16,6.25,2.8,0.76,0.629,457.85,758480.68,145,135,285,12000,55,42,75,800,146431.91,213.9,1530810.59,2444.95,57797.102,1462.5657851597646,56675.45,60276.09,20228.984,8669.564,Standard,67513.35,26518.7,44.0,-12.34,16.97
BLD_042,industrial,Warehouse,1989,35,Contemporary,good,B,1,3.38,3.38,2430.8,2430.8,35.99,67.53,2430.8,700.2,182.32,0.26,8220.33,cavity_wall_insulated,flat_insulated,double_glazed,gas_boiler_condensing,0.28,3.57,0.18,5.56,2.8,0.76,0.349,1093.05,5771122.97,165,155,285,5500,48,45,75,1800,581681.96,219.17,3987526.18,1640.42,475372.126,17443.601081645375,459179.44,503163.6,166380.24599999998,71305.822,Minimal,94044.0,184359.14,36.64,337.48,3.4
BLD_043,commercial,Retail,2002,22,Postmodern,good,E,8,3.19,25.49,855.54,6844.3,18.59,46.01,855.54,3293.83,1677.09,0.509,21809.15,cavity_wall_insulated,pitched_insulated,double_glazed_low_e,gas_boiler_condensing,0.28,3.57,0.16,6.25,1.8,0.7,0.87,3608.34,16666301.87,165,135,385,5500,48,42,82,1800,563997.59,66.9,6365711.58,930.07,1412926.174,44848.93397379624,1347786.78,1459593.51,494524.162,211938.92599999998,Deep Retrofit,210507.22,838925.35,58.58,789.36,1.67
BLD_044,industrial,Manufacturing,1991,33,Postmodern,good,C,2,3.32,6.63,1648.37,3296.73,26.8,61.5,1648.37,1170.96,191.16,0.163,10929.12,brick_insulated,flat_insulated,double_glazed,gas_boiler_condensing,0.35,2.86,0.18,5.56,2.8,0.76,0.417,1174.88,5864842.13,145,155,285,5500,55,45,75,1800,619779.83,166.63,5165213.68,1566.77,777767.282,23473.261936652896,745419.26,803251.36,272218.55,116665.09199999999,Minimal,98022.0,294311.3,36.64,570.04,2.22
BLD_045,industrial,Manufacturing,1933,91,Georgian,poor,G,1,2.85,2.85,847.07,847.07,20.41,41.5,847.07,352.34,77.21,0.219,2410.34,concrete_block,pitched_uninsulated,single_glazed,gas_boiler_old,1.8,0.56,2.3,0.43,5.8,0.86,2.411,2891.31,1149528.77,95,75,185,3500,65,35,55,2500,234773.39,256.76,1677590.96,1980.46,325584.468,13816.307858895223,309108.81,342907.06,113954.56400000001,48837.67,Deep Retrofit,180147.66,235959.84,71.56,192.3,5.09
BLD_046,residential,Apartment,1955,69,Modernist,fair,G,2,3.13,6.26,85.41,170.81,6.68,12.78,85.41,243.5,53.86,0.221,534.23,cavity_wall_insulated,pitched_uninsulated,single_glazed,gas_boiler_old,0.28,3.57,2.3,0.43,5.8,0.86,1.708,561.93,316508.92,165,75,185,3500,48,35,55,2500,28411.95,145.44,250212.58,1464.86,31232.940000000002,1030.7768651604495,29847.67,32528.24,10931.532000000001,4684.944,Deep Retrofit,50413.0,18148.21,56.85,-19.66,18.52
BLD_047,educational,School,2009,15,Neo-traditional,excellent,E,4,3.34,13.38,467.19,1868.74,17.31,27.0,467.19,1185.5,473.79,0.4,6250.87,brick_insulated,pitched_insulated,double_glazed,gas_boiler_condensing,0.35,2.86,0.16,6.25,2.8,0.76,0.999,1650.46,3422760.48,145,135,285,5500,55,42,75,1800,373936.77,181.41,4148462.52,2219.92,312454.956,10777.648184252908,303096.32,329636.06,109359.23400000001,46868.244,Deep Retrofit,280333.42,149873.0,49.37,19.31,12.47
BLD_048,commercial,Restaurant,1923,101,Classical,poor,G,3,3.11,9.33,942.01,2826.04,19.96,47.19,942.01,1252.77,605.12,0.483,8787.14,brick_uninsulated,pitched_uninsulated,single_glazed,gas_boiler_old,2.1,0.48,2.3,0.43,5.8,0.86,3.206,7036.38,4461207.19,85,75,185,3500,45,35,55,2500,502905.17,158.86,4977903.3,1761.44,778932.294,32415.43425581834,745790.52,815306.56,272626.302,116839.84199999999,Minimal,177136.2,238772.35,29.47,200.81,4.95
BLD_049,commercial,Office,1978,46,Modernist,fair,G,6,2.89,17.32,380.28,2281.7,14.16,26.85,380.28,1420.68,619.03,0.436,6586.3,concrete_block,pitched_uninsulated,single_glazed,gas_boiler_old,1.8,0.56,2.3,0.43,5.8,0.86,3.28,5907.99,4575693.55,95,75,185,3500,65,35,55,2500,334518.33,127.19,3227780.1,1414.64,631836.7660000001,30139.25483633557,590356.94,659231.34,221142.87000000002,94775.514,Minimal,149278.8,194246.47,29.47,190.39,5.12
BLD_050,educational,Library,1933,91,Georgian,poor,G,2,3.16,6.31,799.39,1598.78,19.8,40.38,799.39,759.82,244.07,0.321,5046.75,concrete_block,pitched_uninsulated,single_glazed,gas_boiler_old,1.8,0.56,2.3,0.43,5.8,0.86,2.682,4182.55,2327276.74,95,75,185,3500,65,35,55,2500,298472.39,168.41,2393121.12,1496.84,345875.834,15482.961645057758,330178.64,370740.14,121056.54199999999,51881.376000000004,Deep Retrofit,312728.97,275417.67,74.29,96.54,7.57
