building_id,timestamp,building_type,total_floor_area_m2,num_floors,building_age_years,epc_rating,envelope_avg_u_value,window_wall_ratio,outdoor_temperature,outdoor_humidity,solar_radiation,indoor_temperature,indoor_humidity,co2_level,occupancy_ratio,total_energy_consumption_kwh,day_of_week,month,day_of_year
BLD_001,2023-02-03 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,12.56,79.64,872.46,19.52,49.52,435.97,0.995,247.307,4,2,34
BLD_001,2023-02-04 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,13.35,74.8,918.81,20.56,37.34,379.65,0.32,198.167,5,2,35
BLD_001,2023-02-05 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,13.56,70.4,696.2,20.01,43.65,410.78,0.227,203.439,6,2,36
BLD_001,2023-02-06 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,14.74,75.17,843.18,20.1,48.97,435.99,0.991,249.738,0,2,37
BLD_001,2023-02-07 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,12.54,75.93,891.04,20.03,49.96,419.16,0.752,256.061,1,2,38
BLD_001,2023-02-08 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,12.97,68.17,726.87,19.79,45.06,409.9,0.942,214.098,2,2,39
BLD_001,2023-02-09 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,12.92,74.01,798.84,19.83,43.64,456.35,0.961,242.422,3,2,40
BLD_001,2023-02-10 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,12.51,65.54,753.16,20.23,42.55,422.65,0.87,216.158,4,2,41
BLD_001,2023-02-11 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,11.46,75.98,642.47,19.67,42.52,420.54,0.232,215.65,5,2,42
BLD_001,2023-02-12 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,15.45,75.71,935.55,20.56,38.16,434.74,0.36,199.529,6,2,43
BLD_001,2023-02-13 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,14.65,70.14,830.13,20.6,40.87,457.46,0.763,222.539,0,2,44
BLD_001,2023-02-14 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,13.66,68.12,742.26,19.87,37.43,422.84,0.928,233.795,1,2,45
BLD_001,2023-02-15 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,12.91,70.83,757.94,19.37,40.93,415.4,0.974,244.634,2,2,46
BLD_001,2023-02-16 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,15.6,74.42,732.79,20.92,48.47,439.02,0.85,209.158,3,2,47
BLD_001,2023-02-17 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,10.69,71.19,938.5,19.78,46.84,432.62,0.939,242.273,4,2,48
BLD_001,2023-02-18 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,16.9,70.44,722.14,20.13,40.34,395.62,0.288,181.335,5,2,49
BLD_001,2023-02-19 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,13.73,73.71,829.18,20.47,40.32,423.14,0.355,205.562,6,2,50
BLD_001,2023-02-20 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,15.36,70.35,923.82,20.15,54.81,488.99,0.953,211.708,0,2,51
BLD_001,2023-02-21 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,17.81,72.46,658.69,20.91,40.45,422.73,0.929,198.433,1,2,52
BLD_001,2023-02-22 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,16.36,66.83,764.14,20.43,41.8,455.13,0.899,202.242,2,2,53
BLD_001,2023-02-23 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,17.0,70.87,651.75,20.65,48.37,448.82,0.767,200.66,3,2,54
BLD_001,2023-02-24 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,13.84,81.97,765.58,20.28,49.24,414.85,0.724,234.149,4,2,55
BLD_001,2023-02-25 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,15.21,74.14,942.88,19.87,38.11,423.29,0.319,190.23,5,2,56
BLD_001,2023-02-26 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,18.29,71.7,832.36,20.65,56.31,419.55,0.216,157.101,6,2,57
BLD_001,2023-02-27 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,14.11,73.88,705.96,19.85,36.13,467.61,0.897,223.941,0,2,58
BLD_001,2023-02-28 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,14.99,70.56,830.67,20.44,44.29,454.69,0.982,229.273,1,2,59
BLD_001,2023-03-01 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,15.89,74.28,643.61,19.25,37.38,438.79,0.985,219.14,2,3,60
BLD_001,2023-03-02 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,17.59,69.36,664.12,20.54,42.17,440.39,0.794,205.099,3,3,61
BLD_001,2023-03-03 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,17.12,70.53,838.51,21.47,51.29,443.78,0.957,213.122,4,3,62
BLD_001,2023-03-04 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,17.0,74.3,874.1,19.89,45.38,412.18,0.368,169.922,5,3,63
BLD_001,2023-03-05 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,18.99,69.66,911.97,20.36,35.11,416.6,0.376,176.24,6,3,64
BLD_001,2023-03-06 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,17.74,57.8,698.94,19.68,45.53,437.93,0.921,201.242,0,3,65
BLD_001,2023-03-07 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,20.08,60.7,813.85,20.89,41.7,455.34,0.872,167.602,1,3,66
BLD_001,2023-03-08 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,20.85,60.99,875.99,21.09,46.28,432.29,0.958,174.849,2,3,67
BLD_001,2023-03-09 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,14.16,66.43,959.35,20.42,45.86,371.06,0.816,196.916,3,3,68
BLD_001,2023-03-10 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,17.9,71.36,809.8,20.96,44.53,454.55,0.893,183.454,4,3,69
BLD_001,2023-03-11 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,19.01,61.36,861.04,20.8,47.95,416.88,0.353,157.395,5,3,70
BLD_001,2023-03-12 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,20.05,63.21,643.1,22.01,50.24,364.12,0.269,154.534,6,3,71
BLD_001,2023-03-13 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,17.13,69.6,774.99,20.29,51.23,460.94,0.951,203.539,0,3,72
BLD_001,2023-03-14 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,15.81,69.89,880.95,19.86,40.35,423.37,0.841,219.589,1,3,73
BLD_001,2023-03-15 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,15.07,65.75,667.58,20.0,49.15,448.8,0.908,233.297,2,3,74
BLD_001,2023-03-16 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,20.75,67.9,950.8,21.21,43.61,423.4,0.708,156.894,3,3,75
BLD_001,2023-03-17 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,16.82,65.0,828.04,21.05,39.58,419.3,0.881,209.008,4,3,76
BLD_001,2023-03-18 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,18.66,64.21,682.88,19.9,46.6,381.84,0.388,160.809,5,3,77
BLD_001,2023-03-19 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,20.17,70.83,663.66,20.66,39.67,417.8,0.204,157.3,6,3,78
BLD_001,2023-03-20 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,19.78,53.98,648.89,19.79,38.55,414.73,0.855,178.815,0,3,79
BLD_001,2023-03-21 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,18.94,68.94,830.98,20.28,51.79,421.67,0.917,176.957,1,3,80
BLD_001,2023-03-22 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,21.36,61.97,711.78,22.04,50.16,428.16,0.815,175.377,2,3,81
BLD_001,2023-03-23 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,23.56,56.04,827.04,21.12,55.57,453.21,0.726,192.931,3,3,82
BLD_001,2023-03-24 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,19.93,58.03,723.64,19.73,56.39,446.55,0.808,178.303,4,3,83
BLD_001,2023-03-25 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,21.36,57.22,903.27,21.47,42.47,434.68,0.253,153.584,5,3,84
BLD_001,2023-03-26 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,22.37,52.31,786.97,21.54,50.88,391.26,0.365,156.504,6,3,85
BLD_001,2023-03-27 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,21.54,60.15,769.54,20.6,49.15,415.13,0.754,176.497,0,3,86
BLD_001,2023-03-28 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,23.66,61.39,738.36,20.59,44.83,404.28,0.76,183.562,1,3,87
BLD_001,2023-03-29 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,23.58,54.29,792.71,21.76,46.82,492.82,0.979,204.07,2,3,88
BLD_001,2023-03-30 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,25.16,56.25,766.84,21.99,52.1,398.86,0.945,204.692,3,3,89
BLD_001,2023-03-31 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,21.73,67.59,890.63,20.1,45.01,447.59,0.906,189.976,4,3,90
BLD_001,2023-04-01 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,21.45,63.59,835.83,20.93,49.68,378.05,0.291,145.721,5,4,91
BLD_001,2023-04-02 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,22.91,67.44,645.65,21.54,43.63,396.12,0.365,160.759,6,4,92
BLD_001,2023-04-03 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,20.01,55.74,831.81,20.82,54.88,409.38,0.898,179.497,0,4,93
BLD_001,2023-04-04 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,22.58,60.08,890.52,20.99,51.85,391.39,0.777,169.401,1,4,94
BLD_001,2023-04-05 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,21.56,58.06,782.38,21.25,45.3,415.57,0.77,173.482,2,4,95
BLD_001,2023-04-06 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,21.36,49.3,692.52,20.69,44.83,448.74,0.765,166.592,3,4,96
BLD_001,2023-04-07 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,25.24,53.84,734.31,22.09,45.75,430.07,0.756,195.459,4,4,97
BLD_001,2023-04-08 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,22.33,59.59,757.48,20.94,45.42,423.47,0.278,150.941,5,4,98
BLD_001,2023-04-09 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,23.65,61.08,652.45,21.44,44.58,390.55,0.342,176.11,6,4,99
BLD_001,2023-04-10 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,25.39,57.84,912.11,21.01,45.41,444.86,0.984,220.248,0,4,100
BLD_001,2023-04-11 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,23.96,49.02,715.48,21.16,41.12,440.1,0.786,199.338,1,4,101
BLD_001,2023-04-12 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,20.98,63.49,817.9,20.42,49.37,406.15,0.881,164.945,2,4,102
BLD_001,2023-04-13 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,20.17,56.73,751.58,20.67,49.23,423.76,0.994,185.971,3,4,103
BLD_001,2023-04-14 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,25.82,48.16,683.17,21.73,41.83,416.77,0.749,208.591,4,4,104
BLD_001,2023-04-15 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,24.38,61.4,822.65,21.6,46.51,428.72,0.229,168.485,5,4,105
BLD_001,2023-04-16 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,24.27,62.39,770.15,21.99,45.91,431.67,0.35,174.062,6,4,106
BLD_001,2023-04-17 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,25.32,48.64,850.62,21.33,48.78,394.55,0.935,201.674,0,4,107
BLD_001,2023-04-18 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,23.18,65.05,835.62,21.03,35.94,452.61,0.917,181.132,1,4,108
BLD_001,2023-04-19 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,22.5,65.46,749.23,21.42,41.82,431.57,0.886,179.544,2,4,109
BLD_001,2023-04-20 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,25.07,65.19,847.49,22.01,36.09,412.25,0.898,186.438,3,4,110
BLD_001,2023-04-21 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,25.01,52.79,744.28,22.16,40.97,392.08,0.942,205.426,4,4,111
BLD_001,2023-04-22 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,22.52,57.78,879.03,21.6,46.27,429.57,0.367,160.132,5,4,112
BLD_001,2023-04-23 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,25.54,51.54,673.7,21.34,45.72,423.79,0.392,187.221,6,4,113
BLD_001,2023-04-24 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,25.06,39.5,779.32,20.59,41.64,450.5,0.716,202.196,0,4,114
BLD_001,2023-04-25 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,23.66,54.61,930.08,20.5,50.0,487.1,0.968,187.041,1,4,115
BLD_001,2023-04-26 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,28.05,53.67,647.79,21.92,38.11,419.15,0.984,216.333,2,4,116
BLD_001,2023-04-27 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,31.41,50.63,943.97,21.67,48.04,412.25,0.727,246.592,3,4,117
BLD_001,2023-04-28 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,25.75,53.28,671.07,22.25,37.65,422.62,0.954,212.055,4,4,118
BLD_001,2023-04-29 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,26.88,48.63,709.34,21.73,45.71,428.76,0.399,193.866,5,4,119
BLD_001,2023-04-30 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,26.8,50.77,780.69,21.75,44.53,374.43,0.23,184.489,6,4,120
BLD_001,2023-05-01 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,26.66,53.18,827.14,21.68,50.58,412.01,0.933,205.027,0,5,121
BLD_001,2023-05-02 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,27.37,55.2,704.3,21.71,40.87,383.18,0.734,211.186,1,5,122
BLD_001,2023-05-03 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,23.57,55.36,774.79,21.23,42.17,415.52,0.724,179.976,2,5,123
BLD_001,2023-05-04 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,31.45,44.71,654.46,21.79,35.74,442.27,0.838,251.892,3,5,124
BLD_001,2023-05-05 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,22.02,57.26,951.9,21.46,49.69,424.71,0.754,155.969,4,5,125
BLD_001,2023-05-06 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,26.97,52.58,851.87,22.44,34.77,428.24,0.311,190.701,5,5,126
BLD_001,2023-05-07 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,29.37,45.81,944.25,22.0,42.64,433.21,0.248,210.393,6,5,127
BLD_001,2023-05-08 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,27.88,52.75,840.6,21.74,50.39,415.38,0.838,232.385,0,5,128
BLD_001,2023-05-09 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,28.68,48.84,776.19,22.05,48.15,400.12,0.856,230.406,1,5,129
BLD_001,2023-05-10 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,26.25,60.92,949.69,21.71,50.9,433.94,0.799,222.062,2,5,130
BLD_001,2023-05-11 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,28.66,49.25,739.46,22.08,43.82,436.76,0.743,227.114,3,5,131
BLD_001,2023-05-12 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,28.26,54.74,731.91,22.08,43.49,456.24,0.931,222.792,4,5,132
BLD_001,2023-05-13 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,29.38,52.8,723.59,21.56,50.38,382.57,0.202,199.197,5,5,133
BLD_001,2023-05-14 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,28.14,48.51,718.19,22.04,47.38,365.16,0.263,187.882,6,5,134
BLD_001,2023-05-15 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,28.92,53.11,700.39,23.1,46.38,438.08,0.995,243.499,0,5,135
BLD_001,2023-05-16 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,29.85,52.29,840.84,22.08,48.51,462.66,0.84,224.183,1,5,136
BLD_001,2023-05-17 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,29.41,58.5,680.66,22.02,42.09,463.58,0.929,244.091,2,5,137
BLD_001,2023-05-18 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,26.22,53.22,728.21,20.87,49.64,457.2,0.778,198.911,3,5,138
BLD_001,2023-05-19 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,31.25,52.82,704.76,21.65,45.29,433.24,0.942,247.89,4,5,139
BLD_001,2023-05-20 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,27.82,49.34,834.04,22.33,41.25,451.56,0.236,200.387,5,5,140
BLD_001,2023-05-21 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,25.2,57.42,959.27,21.5,43.77,416.09,0.235,173.784,6,5,141
BLD_001,2023-05-22 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,27.28,50.29,689.8,21.95,54.79,411.09,0.733,196.909,0,5,142
BLD_001,2023-05-23 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,30.25,43.39,697.45,22.16,48.52,463.5,0.858,217.255,1,5,143
BLD_001,2023-05-24 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,26.82,55.52,935.94,22.43,48.63,406.96,0.998,225.465,2,5,144
BLD_001,2023-05-25 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,25.57,54.62,843.12,21.68,48.63,425.94,0.973,209.041,3,5,145
BLD_001,2023-05-26 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,28.81,51.42,809.95,21.47,45.8,436.65,0.837,217.247,4,5,146
BLD_001,2023-05-27 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,30.29,54.14,950.34,23.03,46.91,434.79,0.282,198.911,5,5,147
BLD_001,2023-05-28 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,26.14,42.1,943.6,22.15,51.21,392.98,0.325,177.818,6,5,148
BLD_001,2023-05-29 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,33.62,48.65,662.24,22.51,36.24,466.87,0.844,251.514,0,5,149
BLD_001,2023-05-30 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,26.55,46.57,810.61,20.88,43.78,424.1,0.975,222.076,1,5,150
BLD_001,2023-05-31 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,28.87,43.03,774.01,21.65,44.92,440.69,0.822,221.085,2,5,151
BLD_001,2023-06-01 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,29.56,46.11,663.17,22.06,46.89,407.79,0.703,226.493,3,6,152
BLD_001,2023-06-02 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,28.01,51.83,643.93,21.82,40.44,407.09,0.757,210.467,4,6,153
BLD_001,2023-06-03 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,29.38,44.82,661.6,22.01,47.28,426.69,0.2,199.744,5,6,154
BLD_001,2023-06-04 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,33.96,47.31,730.25,23.15,38.75,440.09,0.239,250.342,6,6,155
BLD_001,2023-06-05 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,28.29,52.31,728.87,22.0,35.42,376.29,0.905,221.492,0,6,156
BLD_001,2023-06-06 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,31.22,48.91,942.84,22.46,51.97,420.23,0.729,238.674,1,6,157
BLD_001,2023-06-07 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,29.44,46.18,741.25,22.91,40.41,411.39,0.883,238.823,2,6,158
BLD_001,2023-06-08 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,32.18,40.26,778.41,22.45,41.92,447.0,0.774,226.259,3,6,159
BLD_001,2023-06-09 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,30.29,48.97,750.69,22.43,49.0,434.01,0.906,254.451,4,6,160
BLD_001,2023-06-10 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,29.82,51.76,908.97,22.59,39.38,413.65,0.375,222.846,5,6,161
BLD_001,2023-06-11 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,27.77,54.84,669.5,22.75,40.1,414.62,0.367,208.613,6,6,162
BLD_001,2023-06-12 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,26.31,47.17,685.59,21.85,50.17,425.86,0.868,214.411,0,6,163
BLD_001,2023-06-13 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,28.96,48.05,936.14,22.46,48.44,416.95,0.716,239.983,1,6,164
BLD_001,2023-06-14 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,31.21,46.26,789.98,22.0,44.3,397.53,0.716,252.134,2,6,165
BLD_001,2023-06-15 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,30.36,55.88,935.13,22.24,52.43,455.51,0.974,250.366,3,6,166
BLD_001,2023-06-16 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,30.69,54.54,883.51,22.55,40.67,435.8,0.727,231.15,4,6,167
BLD_001,2023-06-17 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,32.04,40.34,913.58,22.08,39.46,412.32,0.324,224.35,5,6,168
BLD_001,2023-06-18 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,32.34,42.97,903.74,22.2,44.87,399.13,0.269,216.868,6,6,169
BLD_001,2023-06-19 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,26.09,48.77,919.63,21.39,52.17,455.89,0.763,197.755,0,6,170
BLD_001,2023-06-20 12:00:00,industrial,2449.23,1,22,B,0.274,0.17,29.07,48.99,809.17,21.39,42.53,415.19,0.976,259.098,1,6,171
