node_id,feature_tag,x_mm,y_mm,z_mm,T_C,Ux_um,Uy_um,Uz_um,sigma_xx_MPa,sigma_yy_MPa,sigma_zz_MPa,sigma_xy_MPa,sigma_yz_MPa,sigma_xz_MPa,epsilon_xx,epsilon_yy,epsilon_zz,epsilon_xy,epsilon_yz,epsilon_xz
127,free_edge,0.296,5.351,0.211,420.67,1.222,22.084,0.87,-88.238,-74.722,-24.728,0.385,1.787,0.264,0.00377546,0.00386442,0.00419349,5.07e-06,2.353e-05,3.48e-06
2424,free_surface,6.218,0.764,0.373,372.49,22.535,2.771,1.351,-59.392,-55.831,-19.874,0.333,-1.067,-0.477,0.00339853,0.00342198,0.00365864,4.39e-06,-1.404e-05,-6.29e-06
4760,free_edge,11.547,8.409,0.243,259.37,28.226,20.556,0.594,-36.012,-48.874,-10.142,-0.0,0.589,1.093,0.00232359,0.00223893,0.00249387,-0.0,7.76e-06,1.439e-05
3708,free_surface,9.178,4.332,0.373,586.58,53.76,25.374,2.184,-89.002,-98.363,-30.09,0.612,0.699,0.75,0.00553716,0.00547555,0.00592492,8.06e-06,9.2e-06,9.88e-06
2639,free_edge,6.218,9.938,0.34,343.55,20.658,33.019,1.131,-60.25,-62.532,-19.292,-0.528,0.834,-0.363,0.00309953,0.00308451,0.00336912,-6.94e-06,1.098e-05,-4.78e-06
4703,free_edge,11.547,5.861,0.34,336.0,37.455,19.011,1.104,-52.109,-58.81,-16.509,0.438,-0.019,1.016,0.00305643,0.00301232,0.00329075,5.77e-06,-2.5e-07,1.337e-05
2953,free_surface,7.402,3.313,0.016,689.31,51.286,22.953,0.112,-117.932,-103.633,-42.833,2.385,0.877,0.859,0.00647562,0.00656973,0.00696992,3.139e-05,1.155e-05,1.131e-05
3120,"free_edge,free_surface",7.402,9.938,0.373,285.54,20.114,27.006,1.013,-42.089,-66.125,-13.182,-0.055,-1.277,0.804,0.00258873,0.00243052,0.00277899,-7.2e-07,-1.681e-05,1.058e-05
4152,free_surface,10.363,2.803,0.373,356.21,35.798,9.683,1.288,-48.525,-56.909,-17.461,0.69,-0.104,0.19,0.00328529,0.00323011,0.00348975,9.09e-06,-1.37e-06,2.5e-06
150,free_edge,0.296,6.371,0.178,393.19,1.137,24.464,0.685,-82.278,-70.966,-22.081,-0.115,-0.173,-0.455,0.0035129,0.00358735,0.00390911,-1.52e-06,-2.28e-06,-5.99e-06
1439,free_edge,3.257,9.938,0.34,275.58,8.512,25.974,0.89,-48.486,-54.934,-12.896,-0.345,-0.014,-0.014,0.00243656,0.00239412,0.00267081,-4.54e-06,-1.9e-07,-1.9e-07
1685,free_edge,4.441,0.255,0.146,386.01,16.722,0.96,0.549,-69.945,-50.999,-21.848,-0.137,1.691,-0.875,0.00347946,0.00360416,0.00379603,-1.8e-06,2.226e-05,-1.152e-05
649,free_surface,1.48,7.39,0.016,356.21,5.114,25.528,0.056,-66.693,-63.366,-23.04,-0.408,-1.134,-0.589,0.00320262,0.00322452,0.00348994,-5.37e-06,-1.493e-05,-7.75e-06
68,free_edge,0.296,2.803,0.243,330.18,0.942,8.922,0.774,-61.312,-45.713,-19.366,0.048,-0.684,0.571,0.00293395,0.00303661,0.00321003,6.4e-07,-9e-06,7.51e-06
2163,free_edge,5.625,0.255,0.081,374.4,20.5,0.929,0.295,-59.88,-45.093,-23.068,0.058,-2.261,0.182,0.00340658,0.00350391,0.00364888,7.6e-07,-2.976e-05,2.39e-06
4619,free_edge,11.547,2.293,0.34,247.24,26.766,5.316,0.789,-31.243,-35.528,-13.213,0.021,0.36,2.538,0.00221011,0.00218192,0.00232879,2.7e-07,4.74e-06,3.341e-05
4761,free_edge,11.547,8.409,0.276,250.05,27.104,19.739,0.647,-27.109,-45.319,-12.858,0.0,-2.016,-1.435,0.00227309,0.00215324,0.0023669,0.0,-2.654e-05,-1.889e-05
1717,free_surface,4.441,1.784,0.016,488.47,21.468,8.623,0.078,-87.462,-76.299,-28.222,-0.657,-0.215,-2.172,0.00449296,0.00456642,0.00488287,-8.65e-06,-2.84e-06,-2.86e-05
219,free_edge,0.296,9.429,0.081,172.26,0.455,14.482,0.124,-32.451,-31.311,-7.315,0.0,-0.821,-0.179,0.00140921,0.00141672,0.00157466,0.0,-1.081e-05,-2.36e-06
4624,free_edge,11.547,2.803,0.113,318.05,35.293,8.568,0.347,-43.187,-48.461,-22.161,0.16,-0.343,-0.898,0.00291131,0.0028766,0.0030497,2.11e-06,-4.51e-06,-1.183e-05
3848,free_edge,9.77,0.255,0.243,259.37,23.884,0.623,0.594,-37.843,-34.112,-15.859,-0.0,3.274,-1.83,0.00230273,0.00232728,0.00244742,-0.0,4.31e-05,-2.41e-05
3240,free_surface,7.994,4.842,0.373,738.9,59.523,36.051,2.776,-119.776,-128.079,-39.741,-3.014,-0.29,-1.372,0.0070091,0.00695444,0.00753588,-3.968e-05,-3.82e-06,-1.806e-05
732,"free_edge,free_surface",2.073,0.255,0.373,194.14,3.656,0.45,0.658,-31.834,-22.517,-13.217,-0.0,-1.012,-0.869,0.0016372,0.00169853,0.00175974,-0.0,-1.333e-05,-1.143e-05
78,free_edge,0.296,3.313,0.178,367.61,1.058,11.838,0.637,-68.125,-64.067,-23.652,0.054,-3.364,-0.162,0.00331547,0.00334217,0.00360819,7.1e-07,-4.428e-05,-2.13e-06
3516,free_surface,8.586,6.371,0.373,628.5,54.046,40.1,2.347,-101.445,-111.55,-38.653,1.311,-0.788,-0.596,0.00593432,0.00586781,0.00634762,1.725e-05,-1.037e-05,-7.85e-06
1447,free_edge,3.849,0.255,0.211,367.61,13.754,0.911,0.753,-62.938,-47.821,-19.674,-0.204,-0.717,0.789,0.00331855,0.00341805,0.00360331,-2.68e-06,-9.43e-06,1.039e-05
1140,free_surface,2.665,7.39,0.373,477.48,12.576,34.876,1.759,-94.472,-93.657,-26.163,-0.348,1.391,-0.208,0.00435944,0.00436481,0.00480905,-4.58e-06,1.831e-05,-2.74e-06
685,free_surface,1.48,8.919,0.016,240.02,3.32,20.002,0.036,-34.319,-48.164,-15.325,0.08,0.731,-0.535,0.00213633,0.00204521,0.00226135,1.06e-06,9.63e-06,-7.04e-06
113,free_edge,0.296,4.842,0.146,412.96,1.198,19.592,0.59,-79.531,-64.875,-26.449,0.108,2.115,1.762,0.00373176,0.00382822,0.00408115,1.43e-06,2.784e-05,2.319e-05
3913,free_surface,9.77,3.313,0.016,456.27,43.95,14.901,0.073,-66.59,-75.337,-31.521,-0.441,-0.014,1.932,0.00427187,0.00421429,0.00450269,-5.81e-06,-1.9e-07,2.543e-05
1924,free_edge,5.033,0.255,0.113,388.7,19.093,0.967,0.43,-66.119,-51.547,-23.162,-0.434,2.432,0.528,0.00353032,0.00362623,0.00381306,-5.72e-06,3.202e-05,6.94e-06
3836,free_edge,9.178,9.938,0.243,295.67,25.911,28.056,0.686,-41.31,-51.248,-15.042,0.017,-2.536,-0.909,0.0026827,0.00261729,0.00285559,2.3e-07,-3.339e-05,-1.197e-05
199,free_edge,0.296,8.409,0.211,264.03,0.738,20.965,0.525,-46.79,-49.565,-13.394,0.0,-0.806,-0.099,0.00231924,0.00230097,0.00253905,0.0,-1.061e-05,-1.3e-06
2473,free_surface,6.218,3.313,0.016,738.9,46.296,24.667,0.121,-128.147,-123.296,-51.996,-0.101,0.801,1.805,0.00697336,0.00700529,0.00747458,-1.32e-06,1.054e-05,2.376e-05
2976,free_surface,7.402,3.822,0.373,738.9,55.114,28.461,2.776,-121.801,-123.481,-38.221,-1.995,-0.099,-0.286,0.00699076,0.0069797,0.00754089,-2.626e-05,-1.3e-06,-3.77e-06
216,"free_edge,free_surface",0.296,8.919,0.373,167.99,0.442,13.301,0.556,-27.261,-32.476,-8.324,-0.0,-1.718,-1.449,0.00139509,0.00136076,0.00151973,-0.0,-2.262e-05,-1.907e-05
4225,free_surface,10.363,6.371,0.016,416.8,42.346,26.033,0.066,-60.992,-71.458,-25.879,0.366,-1.002,0.994,0.00387849,0.0038096,0.0041096,4.81e-06,-1.319e-05,1.309e-05
954,free_edge,2.073,9.938,0.178,264.03,5.167,24.777,0.444,-47.688,-49.761,-16.458,0.0,1.912,-0.252,0.0023184,0.00230476,0.00252396,0.0,2.516e-05,-3.32e-06
2593,free_surface,6.218,8.409,0.016,523.07,32.3,43.685,0.084,-84.23,-101.277,-36.668,-0.184,0.531,-0.721,0.00491201,0.00479981,0.00522506,-2.43e-06,7e-06,-9.49e-06
4795,free_edge,11.547,9.938,0.211,159.37,16.183,13.928,0.295,-17.946,-21.311,-7.464,0.0,1.191,1.919,0.00134044,0.0013183,0.00140943,0.0,1.567e-05,2.527e-05
1764,free_surface,4.441,3.313,0.373,689.31,30.771,22.953,2.583,-116.179,-115.833,-39.401,3.093,-0.48,0.15,0.00649572,0.006498,0.00700108,4.072e-05,-6.31e-06,1.98e-06
32,free_edge,0.296,1.274,0.243,223.13,0.612,2.633,0.502,-42.623,-23.31,-12.179,0.0,2.19,-0.057,0.00188137,0.00200849,0.00208175,0.0,2.883e-05,-7.5e-07
4603,free_edge,11.547,1.784,0.211,264.03,28.787,4.447,0.525,-31.405,-37.471,-12.33,0.0,3.167,0.621,0.00238561,0.00234569,0.00251117,0.0,4.169e-05,8.18e-06
4729,"free_edge,free_surface",11.547,7.39,0.016,245.25,26.525,16.976,0.037,-34.002,-38.409,-18.021,-0.031,-1.526,-0.483,0.00218388,0.00215488,0.00228906,-4.1e-07,-2.009e-05,-6.36e-06
36,"free_edge,free_surface",0.296,1.274,0.373,167.99,0.442,1.9,0.556,-31.148,-16.211,-6.815,-0.0,0.992,0.502,0.00135253,0.00145084,0.00151269,-0.0,1.306e-05,6.6e-06
2317,free_surface,5.625,6.88,0.016,738.9,41.887,51.231,0.121,-132.797,-137.503,-47.007,0.805,-0.344,-0.544,0.0069597,0.00692872,0.00752437,1.059e-05,-4.53e-06,-7.16e-06
4428,free_surface,10.955,4.332,0.373,364.25,38.762,15.328,1.319,-50.799,-56.758,-16.506,0.188,-0.101,1.414,0.00335566,0.00331644,0.00358138,2.47e-06,-1.34e-06,1.862e-05
1212,"free_edge,free_surface",3.257,0.255,0.373,245.25,7.481,0.585,0.856,-45.524,-30.393,-14.626,0.23,-0.594,-1.456,0.00210818,0.00220777,0.00231155,3.02e-06,-7.82e-06,-1.916e-05
477,free_edge,0.888,9.938,0.276,182.01,1.455,16.275,0.451,-35.209,-40.254,-5.64,-0.0,1.4,-0.169,0.00150502,0.00147182,0.00169965,-0.0,1.844e-05,-2.22e-06
201,free_edge,0.296,8.409,0.276,250.05,0.695,19.739,0.647,-47.57,-50.938,-14.412,-0.0,-1.028,-0.423,0.00217219,0.00215003,0.00239044,-0.0,-1.353e-05,-5.57e-06
3312,free_surface,7.994,7.9,0.373,523.07,41.528,41.037,1.937,-85.248,-103.546,-32.285,0.31,0.493,0.522,0.00490397,0.00478353,0.00525257,4.08e-06,6.49e-06,6.87e-06
4646,free_edge,11.547,3.822,0.049,321.42,35.699,11.817,0.15,-36.379,-48.937,-18.393,0.249,0.66,0.466,0.00297896,0.0028963,0.00309734,3.28e-06,8.68e-06,6.13e-06
2632,free_edge,6.218,9.938,0.113,397.54,24.159,38.615,0.441,-72.469,-75.064,-24.248,0.447,1.25,-1.491,0.00361849,0.00360141,0.00393588,5.88e-06,1.646e-05,-1.962e-05
3577,free_surface,8.586,9.429,0.016,298.35,24.479,26.881,0.046,-40.918,-56.005,-16.405,0.327,1.766,-0.669,0.00272019,0.00262089,0.00288153,4.31e-06,2.325e-05,-8.81e-06
1116,free_surface,2.665,6.371,0.373,560.26,14.876,35.565,2.081,-106.264,-101.783,-31.395,-1.139,-0.454,-1.341,0.00517591,0.0052054,0.00566869,-1.499e-05,-5.98e-06,-1.766e-05
385,free_surface,0.888,6.371,0.016,348.35,2.996,21.485,0.055,-69.592,-59.615,-19.326,-0.107,-0.942,-0.409,0.00309604,0.00316171,0.00342689,-1.41e-06,-1.24e-05,-5.39e-06
4658,free_edge,11.547,4.332,0.049,336.0,37.455,14.052,0.158,-54.098,-52.365,-19.883,0.256,0.943,1.123,0.00304201,0.00305342,0.00326722,3.37e-06,1.241e-05,1.478e-05
2293,free_surface,5.625,5.861,0.016,829.92,47.227,49.205,0.136,-150.204,-154.099,-54.853,-2.444,0.722,0.543,0.00784561,0.00781997,0.00847321,-3.217e-05,9.51e-06,7.15e-06
913,free_surface,2.073,8.409,0.016,325.89,6.504,26.391,0.051,-51.878,-61.806,-20.131,-0.332,1.313,1.12,0.00296036,0.00289501,0.00316931,-4.38e-06,1.728e-05,1.475e-05
21,free_edge,0.296,0.764,0.276,182.01,0.485,1.252,0.451,-32.268,-19.079,-7.434,0.0,-0.95,0.285,0.0014971,0.00158391,0.00166056,0.0,-1.251e-05,3.75e-06
1191,free_edge,2.665,9.938,0.081,268.77,6.775,25.268,0.206,-52.231,-54.285,-20.051,0.018,2.358,3.043,0.00235338,0.00233987,0.00256519,2.4e-07,3.105e-05,4.006e-05
3948,free_surface,9.77,4.332,0.373,511.26,49.553,21.971,1.891,-73.867,-90.539,-27.69,0.301,-0.605,1.031,0.00482026,0.00471053,0.0051242,3.96e-06,-7.96e-06,1.357e-05
2651,free_edge,6.81,0.255,0.34,336.0,22.089,0.827,1.104,-53.729,-43.596,-16.975,0.03,0.492,-0.173,0.00302972,0.00309642,0.00327164,4e-07,6.47e-06,-2.28e-06
3313,free_surface,7.994,8.409,0.016,456.27,35.959,37.826,0.073,-73.812,-86.95,-33.23,-1.097,-0.368,-0.605,0.00424944,0.00416296,0.00451655,-1.444e-05,-4.84e-06,-7.96e-06
4764,"free_edge,free_surface",11.547,8.409,0.373,194.14,20.371,14.835,0.658,-21.304,-35.354,-8.037,0.0,-0.111,2.4,0.001703,0.00161053,0.00179032,0.0,-1.46e-06,3.159e-05
4772,free_edge,11.547,8.919,0.243,223.13,23.861,18.43,0.502,-25.843,-50.23,-11.838,0.0,-0.042,-0.033,0.0020038,0.00184328,0.00209597,0.0,-5.5e-07,-4.4e-07
4755,free_edge,11.547,8.409,0.081,236.08,25.421,18.513,0.178,-29.854,-42.802,-16.325,0.0,-0.746,-0.141,0.00211376,0.00202853,0.0022028,0.0,-9.81e-06,-1.85e-06
155,free_edge,0.296,6.371,0.34,321.42,0.915,19.696,1.052,-61.912,-55.978,-16.97,0.075,0.029,1.412,0.00284897,0.00288803,0.00314477,9.8e-07,3.9e-07,1.859e-05
3112,free_edge,7.402,9.938,0.113,371.66,26.762,35.933,0.41,-61.786,-71.552,-23.68,0.241,-2.766,2.013,0.00340084,0.00333656,0.00365165,3.18e-06,-3.641e-05,2.65e-05
1452,"free_edge,free_surface",3.849,0.255,0.373,267.44,9.733,0.644,0.943,-50.07,-38.208,-12.548,0.505,-0.905,0.007,0.00232228,0.00240036,0.00256925,6.65e-06,-1.191e-05,9e-08
224,free_edge,0.296,9.429,0.243,188.52,0.505,16.08,0.415,-34.164,-39.087,-9.645,0.0,-1.496,0.397,0.0015819,0.0015495,0.00174328,0.0,-1.969e-05,5.23e-06
207,free_edge,0.296,8.919,0.081,203.43,0.551,16.599,0.151,-42.296,-37.697,-12.958,-0.0,-1.341,1.071,0.00169626,0.00172653,0.00188936,-0.0,-1.765e-05,1.41e-05
1190,free_edge,2.665,9.938,0.049,247.24,6.177,23.037,0.113,-47.004,-45.969,-16.586,-0.017,1.642,-0.261,0.00214252,0.00214933,0.00234273,-2.2e-07,2.162e-05,-3.44e-06
1729,free_surface,4.441,2.293,0.016,560.26,24.794,12.804,0.09,-108.208,-83.003,-36.731,1.036,0.084,1.72,0.00514906,0.00531496,0.00561952,1.364e-05,1.1e-06,2.264e-05
958,free_edge,2.073,9.938,0.308,236.08,4.563,21.879,0.678,-50.13,-43.599,-10.995,-0.0,0.299,-0.826,0.00199954,0.00204253,0.00225713,-0.0,3.93e-06,-1.087e-05
4213,free_surface,10.363,5.861,0.016,436.06,44.429,25.128,0.069,-66.791,-79.376,-27.404,-0.727,-2.77,-1.336,0.00405988,0.00397705,0.00431912,-9.57e-06,-3.647e-05,-1.759e-05
2160,"free_edge,free_surface",5.033,9.938,0.373,298.35,14.35,28.334,1.063,-43.602,-56.42,-14.63,-0.48,0.197,0.317,0.00270415,0.00261978,0.00289483,-6.31e-06,2.59e-06,4.18e-06
3721,free_surface,9.178,5.351,0.016,600.22,55.065,32.105,0.097,-92.997,-106.278,-40.365,-0.311,0.601,2.467,0.00568025,0.00559284,0.00602668,-4.09e-06,7.92e-06,3.248e-05
1368,free_surface,3.257,6.88,0.373,586.58,19.076,40.299,2.184,-104.616,-109.659,-32.087,0.601,-1.044,0.049,0.00546972,0.00543653,0.0059471,7.91e-06,-1.374e-05,6.4e-07
1200,"free_edge,free_surface",2.665,9.938,0.373,220.34,5.429,20.248,0.76,-35.264,-52.679,-10.753,-0.002,-0.959,0.781,0.00192591,0.00181128,0.00208724,-2e-08,-1.262e-05,1.028e-05
601,free_surface,1.48,5.351,0.016,446.05,6.501,23.5,0.071,-84.669,-78.156,-25.937,-0.038,-0.206,-0.196,0.00406492,0.00410778,0.00445149,-5e-07,-2.72e-06,-2.58e-06
3613,free_surface,9.178,0.764,0.016,267.44,23.209,1.933,0.041,-33.875,-34.916,-17.58,-0.445,0.231,-0.073,0.00241121,0.00240436,0.00251846,-5.86e-06,3.04e-06,-9.6e-07
3553,free_surface,8.586,8.409,0.016,416.8,35.087,34.364,0.066,-68.294,-81.115,-26.989,-1.728,-0.025,-0.212,0.00385251,0.00376812,0.00412438,-2.275e-05,-3.3e-07,-2.79e-06
253,free_surface,0.888,0.764,0.016,171.46,1.357,1.168,0.025,-30.535,-24.035,-12.714,-0.0,0.843,0.366,0.00140881,0.00145159,0.00152611,-0.0,1.11e-05,4.81e-06
4734,free_edge,11.547,7.39,0.178,336.25,37.485,23.99,0.579,-46.215,-55.688,-19.71,-0.063,-1.07,0.386,0.00309075,0.0030284,0.0032652,-8.3e-07,-1.409e-05,5.08e-06
348,free_surface,0.888,4.332,0.373,364.25,3.143,15.328,1.319,-67.892,-58.714,-20.207,0.277,-0.831,0.338,0.00327096,0.00333137,0.00358482,3.64e-06,-1.094e-05,4.45e-06
47,free_edge,0.296,1.784,0.34,217.44,0.594,3.58,0.683,-50.154,-36.338,-12.151,0.0,0.069,0.77,0.00179757,0.00188851,0.00204771,0.0,9.1e-07,1.013e-05
3852,"free_edge,free_surface",9.77,0.255,0.373,194.14,17.237,0.45,0.658,-20.955,-22.398,-9.703,0.0,-0.384,-0.045,0.00169108,0.00168158,0.00176514,0.0,-5.05e-06,-5.9e-07
1405,free_surface,3.257,8.919,0.016,356.21,11.251,30.81,0.056,-63.101,-73.956,-26.55,-0.115,0.671,0.541,0.00323911,0.00316766,0.00347968,-1.51e-06,8.84e-06,7.12e-06
1908,free_surface,4.441,9.429,0.373,348.35,14.978,31.798,1.257,-64.646,-66.572,-18.229,-0.209,-0.816,1.012,0.00312971,0.00311703,0.00343523,-2.76e-06,-1.074e-05,1.333e-05
4782,free_edge,11.547,9.429,0.178,191.77,20.084,16.4,0.31,-17.41,-37.818,-11.88,-0.0,1.356,0.516,0.00170678,0.00157246,0.00174318,-0.0,1.786e-05,6.79e-06
2521,free_surface,6.218,5.351,0.016,849.47,53.467,46.017,0.139,-144.084,-156.312,-54.368,-2.175,-0.293,-0.893,0.00808445,0.00800396,0.00867496,-2.863e-05,-3.86e-06,-1.176e-05
3360,"free_edge,free_surface",7.994,9.938,0.373,267.44,20.214,25.13,0.943,-43.303,-56.282,-11.913,0.026,-0.048,0.192,0.00237987,0.00229444,0.00258648,3.4e-07,-6.4e-07,2.52e-06
277,free_surface,0.888,1.784,0.016,234.92,1.945,3.906,0.035,-34.131,-34.248,-13.75,0.08,0.609,0.79,0.00206523,0.00206446,0.00219937,1.06e-06,8.01e-06,1.04e-05
17,free_edge,0.296,0.764,0.146,188.52,0.505,1.304,0.249,-33.817,-19.65,-10.319,0.0,1.43,0.258,0.00156083,0.00165408,0.00171549,0.0,1.882e-05,3.4e-06
56,free_edge,0.296,2.293,0.243,295.67,0.836,6.475,0.686,-53.713,-42.39,-15.484,-0.061,0.835,-2.505,0.00260593,0.00268046,0.00285755,-8e-07,1.1e-05,-3.298e-05
661,free_surface,1.48,7.9,0.016,318.75,4.536,24.203,0.05,-60.709,-59.648,-21.106,-0.532,1.009,-0.011,0.00283715,0.00284414,0.00309782,-7e-06,1.328e-05,-1.5e-07
2604,free_surface,6.218,8.409,0.373,523.07,32.3,43.685,1.937,-93.181,-99.204,-26.777,0.339,0.341,1.756,0.00484941,0.00480977,0.00528648,4.47e-06,4.49e-06,2.312e-05
4726,free_edge,11.547,6.88,0.308,327.54,36.436,21.711,0.972,-43.815,-56.6,-18.851,-0.031,-0.829,-0.367,0.00301286,0.00292871,0.00317717,-4.1e-07,-1.092e-05,-4.83e-06
1668,free_surface,3.849,9.429,0.373,325.89,12.079,29.589,1.17,-54.637,-62.271,-17.459,0.21,0.044,-0.934,0.00294287,0.00289262,0.00318758,2.77e-06,5.8e-07,-1.23e-05
1689,free_edge,4.441,0.255,0.276,371.66,16.057,0.921,0.996,-63.924,-49.898,-21.744,0.528,-0.494,0.565,0.00336055,0.00345287,0.00363818,6.95e-06,-6.51e-06,7.44e-06
190,free_edge,0.296,7.9,0.308,268.77,0.753,20.085,0.783,-52.821,-52.926,-14.54,-0.01,-2.536,-0.827,0.00234183,0.00234114,0.00259379,-1.3e-07,-3.339e-05,-1.089e-05
2353,free_surface,5.625,8.409,0.016,523.07,29.223,43.685,0.084,-96.896,-100.343,-33.517,0.942,0.73,0.063,0.00483913,0.00481644,0.00525628,1.24e-05,9.61e-06,8.3e-07
4713,free_edge,11.547,6.371,0.276,371.66,41.749,23.034,0.996,-51.266,-59.424,-24.493,-0.067,1.598,-4.712,0.0034434,0.0033897,0.00361962,-8.8e-07,2.103e-05,-6.203e-05
45,free_edge,0.296,1.784,0.276,250.05,0.695,4.187,0.647,-46.815,-37.523,-13.921,-0.0,-1.43,-0.05,0.00215925,0.0022204,0.00237575,-0.0,-1.883e-05,-6.5e-07
3000,free_surface,7.402,4.842,0.373,792.2,59.229,38.743,2.983,-123.185,-133.03,-45.317,0.579,-0.269,-1.751,0.00755957,0.00749477,0.0080721,7.62e-06,-3.54e-06,-2.305e-05
4571,free_edge,11.547,0.255,0.34,133.18,13.028,0.288,0.384,-9.185,-11.891,-4.861,-0.0,1.945,0.871,0.00109954,0.00108173,0.001128,-0.0,2.561e-05,1.146e-05
4694,free_edge,11.547,5.861,0.049,336.0,37.455,19.011,0.158,-41.307,-59.138,-21.953,0.042,-0.316,1.212,0.00312138,0.00300401,0.00324877,5.5e-07,-4.16e-06,1.595e-05
2748,free_surface,6.81,4.332,0.373,810.83,55.814,35.506,3.055,-146.611,-131.708,-45.388,-0.924,-1.05,-0.581,0.00762685,0.00772494,0.0082931,-1.216e-05,-1.382e-05,-7.65e-06
2407,free_edge,6.218,0.255,0.211,420.67,25.659,1.052,0.87,-71.26,-54.48,-24.543,-0.197,0.988,0.126,0.0038415,0.00395195,0.00414899,-2.6e-06,1.301e-05,1.65e-06
3369,free_edge,8.586,0.255,0.276,318.05,26.244,0.779,0.842,-49.961,-44.72,-14.296,0.098,-2.58,1.893,0.00286082,0.00289531,0.00309557,1.29e-06,-3.396e-05,2.492e-05
478,free_edge,0.888,9.938,0.308,172.26,1.364,15.264,0.473,-31.882,-35.24,-7.844,0.0,-0.263,-1.888,0.00141771,0.00139561,0.00157593,0.0,-3.46e-06,-2.486e-05
