node_id,x_mm,y_mm,z_mm,T_C,Ux_um,Uy_um,Uz_um,sigma_xx_MPa,sigma_yy_MPa,sigma_zz_MPa,sigma_xy_MPa,sigma_yz_MPa,sigma_xz_MPa,epsilon_xx,epsilon_yy,epsilon_zz,epsilon_xy,epsilon_yz,epsilon_xz
16,0.296,0.764,0.113,182.01,0.485,1.252,0.186,-31.86,-25.64,-10.349,-0.0,-0.24,-0.698,0.00151087,0.00155181,0.00165246,-0.0,-3.15e-06,-9.18e-06
17,0.296,0.764,0.146,188.52,0.505,1.304,0.249,-33.817,-19.65,-10.319,0.0,1.43,0.258,0.00156083,0.00165408,0.00171549,0.0,1.882e-05,3.4e-06
18,0.296,0.764,0.178,191.77,0.515,1.33,0.31,-36.488,-26.676,-11.665,-0.0,-0.002,0.82,0.00159065,0.00165523,0.00175403,-0.0,-2e-08,1.08e-05
19,0.296,0.764,0.211,191.77,0.515,1.33,0.366,-37.97,-28.158,-10.344,-0.0,-1.656,1.929,0.0015829,0.00164748,0.00176474,-0.0,-2.179e-05,2.539e-05
20,0.296,0.764,0.243,188.52,0.505,1.304,0.415,-38.405,-26.52,-11.201,-0.0,-0.231,-2.454,0.00154571,0.00162394,0.00172477,-0.0,-3.05e-06,-3.23e-05
21,0.296,0.764,0.276,182.01,0.485,1.252,0.451,-32.268,-19.079,-7.434,0.0,-0.95,0.285,0.0014971,0.00158391,0.00166056,0.0,-1.251e-05,3.75e-06
22,0.296,0.764,0.308,172.26,0.455,1.174,0.473,-27.832,-25.74,-10.062,-0.0,-2.024,-0.208,0.00143052,0.00144429,0.00154748,-0.0,-2.664e-05,-2.73e-06
23,0.296,0.764,0.34,159.26,0.415,1.071,0.477,-27.353,-17.889,-7.996,-0.0,-2.351,0.879,0.00128536,0.00134765,0.00141276,-0.0,-3.094e-05,1.157e-05
24,0.296,0.764,0.373,143.01,0.364,0.941,0.459,-29.661,-17.009,-8.475,0.0,0.107,0.17,0.00110298,0.00118625,0.00124243,0.0,1.41e-06,2.24e-06
25,0.296,1.274,0.016,167.99,0.442,1.9,0.024,-32.553,-27.07,-11.156,-0.0,0.081,1.512,0.00136358,0.00139966,0.00150441,-0.0,1.06e-06,1.991e-05
26,0.296,1.274,0.049,187.68,0.502,2.162,0.083,-40.744,-25.234,-12.373,0.0,0.476,-0.149,0.00152432,0.0016264,0.00171105,0.0,6.27e-06,-1.96e-06
27,0.296,1.274,0.081,203.43,0.551,2.371,0.151,-37.551,-24.104,-10.759,0.0,-2.638,0.045,0.00170239,0.0017909,0.00187874,0.0,-3.473e-05,6e-07
28,0.296,1.274,0.113,215.25,0.588,2.528,0.225,-40.537,-36.678,-11.278,-0.0,0.669,-2.006,0.00182563,0.00185103,0.00201821,-0.0,8.81e-06,-2.64e-05
29,0.296,1.274,0.146,223.13,0.612,2.633,0.301,-44.101,-36.817,-11.18,0.0,3.158,-3.086,0.00188874,0.00193668,0.00210542,0.0,4.157e-05,-4.063e-05
30,0.296,1.274,0.178,227.07,0.624,2.685,0.376,-39.915,-30.262,-11.469,0.0,-2.18,-1.976,0.0019446,0.00200813,0.00213183,0.0,-2.869e-05,-2.601e-05
31,0.296,1.274,0.211,227.07,0.624,2.685,0.444,-54.982,-27.685,-12.435,0.0,-6.105,-2.324,0.00186187,0.00204154,0.00214191,0.0,-8.037e-05,-3.059e-05
32,0.296,1.274,0.243,223.13,0.612,2.633,0.502,-42.623,-23.31,-12.179,0.0,2.19,-0.057,0.00188137,0.00200849,0.00208175,0.0,2.883e-05,-7.5e-07
33,0.296,1.274,0.276,215.25,0.588,2.528,0.547,-39.469,-27.616,-7.899,-0.0,0.292,1.085,0.00181615,0.00189416,0.00202395,-0.0,3.85e-06,1.428e-05
34,0.296,1.274,0.308,203.43,0.551,2.371,0.573,-36.751,-34.192,-9.481,-0.0,0.336,-1.392,0.00171745,0.00173429,0.00189694,-0.0,4.42e-06,-1.832e-05
35,0.296,1.274,0.34,187.68,0.502,2.162,0.578,-36.113,-18.432,-12.255,0.0,0.531,0.207,0.00154068,0.00165706,0.00169771,0.0,6.99e-06,2.72e-06
36,0.296,1.274,0.373,167.99,0.442,1.9,0.556,-31.148,-16.211,-6.815,-0.0,0.992,0.502,0.00135253,0.00145084,0.00151269,-0.0,1.306e-05,6.6e-06
37,0.296,1.784,0.016,194.14,0.522,3.147,0.029,-37.158,-24.181,-11.351,0.0,0.027,1.178,0.00160842,0.00169384,0.00177828,0.0,3.5e-07,1.55e-05
38,0.296,1.784,0.049,217.44,0.594,3.58,0.098,-44.973,-31.265,-9.495,-0.0,-2.281,0.53,0.0018159,0.00190612,0.00204941,-0.0,-3.003e-05,6.98e-06
39,0.296,1.784,0.081,236.08,0.652,3.927,0.178,-39.118,-35.612,-12.642,-0.0,1.439,-0.765,0.00205082,0.00207389,0.00222508,-0.0,1.895e-05,-1.008e-05
40,0.296,1.784,0.113,250.05,0.695,4.187,0.266,-45.04,-33.91,-15.937,0.0,-0.907,-1.83,0.00216681,0.00224006,0.00235836,0.0,-1.194e-05,-2.409e-05
41,0.296,1.784,0.146,259.37,0.724,4.36,0.357,-56.787,-34.487,-19.383,0.0,-1.681,1.927,0.00220595,0.00235273,0.00245214,0.0,-2.213e-05,2.537e-05
42,0.296,1.784,0.178,264.03,0.738,4.447,0.444,-49.215,-37.269,-15.431,-0.0,-0.766,-0.146,0.0022937,0.00237232,0.00251607,-0.0,-1.008e-05,-1.92e-06
43,0.296,1.784,0.211,264.03,0.738,4.447,0.525,-47.267,-44.906,-17.055,0.0,-0.029,4.53,0.00231546,0.002331,0.00251431,0.0,-3.8e-07,5.963e-05
44,0.296,1.784,0.243,259.37,0.724,4.36,0.594,-57.276,-41.728,-17.73,-0.0,0.329,2.041,0.00221016,0.0023125,0.00247045,-0.0,4.34e-06,2.687e-05
45,0.296,1.784,0.276,250.05,0.695,4.187,0.647,-46.815,-37.523,-13.921,-0.0,-1.43,-0.05,0.00215925,0.0022204,0.00237575,-0.0,-1.883e-05,-6.5e-07
46,0.296,1.784,0.308,236.08,0.652,3.927,0.678,-39.662,-34.686,-17.993,0.0,-2.269,-0.473,0.00205331,0.00208606,0.00219594,0.0,-2.987e-05,-6.22e-06
47,0.296,1.784,0.34,217.44,0.594,3.58,0.683,-50.154,-36.338,-12.151,0.0,0.069,0.77,0.00179757,0.00188851,0.00204771,0.0,9.1e-07,1.013e-05
48,0.296,1.784,0.373,194.14,0.522,3.147,0.658,-36.859,-32.675,-7.699,-0.0,1.555,0.257,0.00161594,0.00164348,0.00180787,-0.0,2.048e-05,3.38e-06
49,0.296,2.293,0.016,220.34,0.603,4.673,0.033,-45.506,-32.331,-11.988,-0.088,-0.058,-0.029,0.00184766,0.00193438,0.00206827,-1.16e-06,-7.6e-07,-3.8e-07
50,0.296,2.293,0.049,247.24,0.686,5.316,0.113,-49.83,-43.127,-13.638,0.002,1.071,1.057,0.00212029,0.00216442,0.00235851,2e-08,1.41e-05,1.392e-05
51,0.296,2.293,0.081,268.77,0.753,5.831,0.206,-52.317,-36.215,-15.805,0.053,-0.433,-0.034,0.00232565,0.00243164,0.00256598,6.9e-07,-5.7e-06,-4.5e-07
52,0.296,2.293,0.113,284.91,0.803,6.217,0.308,-48.865,-43.102,-16.583,-0.001,-0.037,-1.032,0.00252188,0.00255982,0.00273437,-2e-08,-4.8e-07,-1.358e-05
53,0.296,2.293,0.146,295.67,0.836,6.475,0.412,-51.249,-50.464,-17.326,-0.01,0.391,1.449,0.00263126,0.00263642,0.00285454,-1.3e-07,5.15e-06,1.908e-05
54,0.296,2.293,0.178,301.05,0.852,6.603,0.513,-66.444,-40.823,-18.006,0.018,2.301,1.303,0.00259498,0.00276362,0.0029138,2.3e-07,3.029e-05,1.715e-05
55,0.296,2.293,0.211,301.05,0.852,6.603,0.607,-59.797,-47.69,-17.134,-0.049,-0.815,-1.72,0.00263794,0.00271762,0.00291874,-6.4e-07,-1.073e-05,-2.264e-05
56,0.296,2.293,0.243,295.67,0.836,6.475,0.686,-53.713,-42.39,-15.484,-0.061,0.835,-2.505,0.00260593,0.00268046,0.00285755,-8e-07,1.1e-05,-3.298e-05
57,0.296,2.293,0.276,284.91,0.803,6.217,0.747,-61.789,-43.27,-17.412,0.001,1.151,1.112,0.00245383,0.00257573,0.00274592,1e-08,1.516e-05,1.464e-05
58,0.296,2.293,0.308,268.77,0.753,5.831,0.783,-47.498,-39.34,-15.068,-0.013,-0.272,1.595,0.0023544,0.00240809,0.00256786,-1.7e-07,-3.59e-06,2.1e-05
59,0.296,2.293,0.34,247.24,0.686,5.316,0.789,-46.204,-30.995,-16.322,0.016,0.899,1.968,0.00212819,0.00222829,0.00232487,2.1e-07,1.183e-05,2.59e-05
60,0.296,2.293,0.373,220.34,0.603,4.673,0.76,-46.093,-29.85,-14.888,0.031,-0.544,-0.899,0.00184502,0.00195193,0.00205041,4e-07,-7.16e-06,-1.184e-05
61,0.296,2.803,0.016,245.25,0.68,6.439,0.037,-47.644,-34.492,-16.282,-0.115,-2.272,-1.209,0.00210385,0.00219042,0.00231027,-1.51e-06,-2.991e-05,-1.591e-05
62,0.296,2.803,0.049,275.58,0.774,7.326,0.127,-52.82,-39.906,-23.117,-0.343,-0.211,1.538,0.00240746,0.00249246,0.00260296,-4.51e-06,-2.78e-06,2.025e-05
63,0.296,2.803,0.081,299.85,0.849,8.035,0.232,-60.818,-42.207,-17.684,0.002,-3.664,-1.511,0.00261387,0.00273636,0.00289778,3e-08,-4.823e-05,-1.989e-05
64,0.296,2.803,0.113,318.05,0.905,8.568,0.347,-57.805,-46.309,-20.338,-0.132,2.978,2.276,0.0028281,0.00290377,0.00307471,-1.74e-06,3.92e-05,2.996e-05
65,0.296,2.803,0.146,330.18,0.942,8.922,0.464,-68.897,-47.704,-20.069,-0.007,-1.899,-3.148,0.00289658,0.00303607,0.00321797,-1e-07,-2.499e-05,-4.143e-05
66,0.296,2.803,0.178,336.25,0.961,9.1,0.579,-68.55,-58.111,-18.856,-0.015,-3.124,-0.621,0.00297295,0.00304166,0.00330004,-2e-07,-4.112e-05,-8.18e-06
67,0.296,2.803,0.211,336.25,0.961,9.1,0.684,-64.111,-52.826,-17.598,-0.087,-2.613,-2.268,0.00298875,0.00306303,0.0032949,-1.15e-06,-3.439e-05,-2.986e-05
68,0.296,2.803,0.243,330.18,0.942,8.922,0.774,-61.312,-45.713,-19.366,0.048,-0.684,0.571,0.00293395,0.00303661,0.00321003,6.4e-07,-9e-06,7.51e-06
69,0.296,2.803,0.276,318.05,0.905,8.568,0.842,-67.462,-52.95,-18.491,-0.0,1.958,0.604,0.0027822,0.00287772,0.00310453,-0.0,2.578e-05,7.96e-06
70,0.296,2.803,0.308,299.85,0.849,8.035,0.883,-59.335,-44.984,-15.828,0.017,-1.661,-0.411,0.00262294,0.0027174,0.00290931,2.2e-07,-2.186e-05,-5.42e-06
71,0.296,2.803,0.34,275.58,0.774,7.326,0.89,-57.295,-42.208,-14.156,-0.22,0.569,0.415,0.00237533,0.00247464,0.00265928,-2.9e-06,7.5e-06,5.46e-06
72,0.296,2.803,0.373,245.25,0.68,6.439,0.856,-42.205,-39.326,-12.622,-0.082,-0.409,-0.613,0.00213444,0.00215339,0.00232915,-1.08e-06,-5.38e-06,-8.07e-06
73,0.296,3.313,0.016,267.44,0.749,8.377,0.041,-50.025,-41.772,-17.397,0.066,1.065,-0.142,0.00233281,0.00238713,0.00254756,8.7e-07,1.402e-05,-1.87e-06
74,0.296,3.313,0.049,300.83,0.852,9.53,0.14,-56.247,-54.13,-17.022,0.166,1.063,-3.068,0.00266236,0.00267629,0.00292054,2.19e-06,1.4e-05,-4.039e-05
75,0.296,3.313,0.081,327.54,0.934,10.453,0.256,-68.738,-60.133,-16.255,-0.243,0.515,-0.722,0.00288042,0.00293706,0.00322586,-3.2e-06,6.79e-06,-9.51e-06
76,0.296,3.313,0.113,347.57,0.996,11.146,0.382,-68.161,-59.879,-23.01,0.033,0.127,0.244,0.00310042,0.00315493,0.00339759,4.4e-07,1.67e-06,3.21e-06
77,0.296,3.313,0.146,360.93,1.037,11.607,0.511,-74.033,-56.687,-24.568,0.052,3.837,0.695,0.00320625,0.00332042,0.00353182,6.8e-07,5.051e-05,9.15e-06
78,0.296,3.313,0.178,367.61,1.058,11.838,0.637,-68.125,-64.067,-23.652,0.054,-3.364,-0.162,0.00331547,0.00334217,0.00360819,7.1e-07,-4.428e-05,-2.13e-06
79,0.296,3.313,0.211,367.61,1.058,11.838,0.753,-74.25,-56.8,-18.967,0.387,-1.923,1.586,0.00326803,0.00338288,0.0036319,5.09e-06,-2.532e-05,2.088e-05
80,0.296,3.313,0.243,360.93,1.037,11.607,0.852,-73.23,-51.543,-19.565,0.473,-1.654,-0.273,0.00319815,0.00334089,0.00355137,6.22e-06,-2.178e-05,-3.6e-06
81,0.296,3.313,0.276,347.57,0.996,11.146,0.927,-76.439,-54.11,-18.024,0.358,0.245,-2.796,0.0030429,0.00318987,0.00342739,4.72e-06,3.22e-06,-3.681e-05
82,0.296,3.313,0.308,327.54,0.934,10.453,0.972,-62.133,-52.416,-14.624,-0.094,0.593,0.379,0.0029044,0.00296835,0.0032171,-1.24e-06,7.81e-06,5e-06
83,0.296,3.313,0.34,300.83,0.852,9.53,0.979,-61.614,-42.476,-18.52,0.115,1.89,0.121,0.00262118,0.00274715,0.00290483,1.52e-06,2.488e-05,1.6e-06
84,0.296,3.313,0.373,267.44,0.749,8.377,0.943,-53.331,-39.772,-13.802,-0.042,-0.701,-1.236,0.00230825,0.00239749,0.00256843,-5.5e-07,-9.23e-06,-1.627e-05
85,0.296,3.822,0.016,285.54,0.805,10.387,0.044,-57.843,-45.188,-18.392,0.556,0.116,0.212,0.00248507,0.00256836,0.00274474,7.31e-06,1.53e-06,2.79e-06
86,0.296,3.822,0.049,321.42,0.915,11.817,0.15,-67.569,-44.588,-19.792,-0.121,-0.88,-3.112,0.00280818,0.00295944,0.00312264,-1.59e-06,-1.159e-05,-4.096e-05
87,0.296,3.822,0.081,350.13,1.004,12.962,0.275,-70.48,-54.499,-21.639,0.44,-0.551,2.982,0.00310635,0.00321154,0.00342782,5.79e-06,-7.25e-06,3.925e-05
88,0.296,3.822,0.113,371.66,1.07,13.82,0.41,-73.617,-58.424,-24.071,-0.149,-0.904,3.127,0.00332186,0.00342186,0.00364797,-1.96e-06,-1.19e-05,4.117e-05
89,0.296,3.822,0.146,386.01,1.115,14.393,0.549,-82.39,-59.401,-20.958,-0.151,-1.245,-0.437,0.00342193,0.00357325,0.00382628,-1.99e-06,-1.638e-05,-5.75e-06
90,0.296,3.822,0.178,393.19,1.137,14.679,0.685,-81.639,-56.637,-20.043,0.602,-2.555,-2.844,0.00349632,0.00366088,0.00390174,7.93e-06,-3.363e-05,-3.744e-05
91,0.296,3.822,0.211,393.19,1.137,14.679,0.809,-81.159,-65.803,-16.378,0.196,-1.979,0.641,0.00350561,0.00360668,0.003932,2.58e-06,-2.605e-05,8.44e-06
92,0.296,3.822,0.243,386.01,1.115,14.393,0.915,-79.671,-56.666,-23.998,-0.163,-1.677,-4.072,0.00343688,0.0035883,0.00380332,-2.15e-06,-2.208e-05,-5.36e-05
93,0.296,3.822,0.276,371.66,1.07,13.82,0.996,-74.002,-58.297,-22.386,0.402,-1.706,-1.519,0.00331758,0.00342095,0.00365732,5.3e-06,-2.246e-05,-2e-05
94,0.296,3.822,0.308,350.13,1.004,12.962,1.044,-67.591,-56.387,-20.36,-0.107,-0.546,1.683,0.00312258,0.00319632,0.00343345,-1.42e-06,-7.19e-06,2.215e-05
95,0.296,3.822,0.34,321.42,0.915,11.817,1.052,-62.975,-49.088,-12.484,0.188,1.084,-1.545,0.00282937,0.00292077,0.0031617,2.48e-06,1.427e-05,-2.034e-05
96,0.296,3.822,0.373,285.54,0.805,10.387,1.013,-52.91,-47.671,-14.02,0.089,-0.394,0.636,0.0025092,0.00254368,0.00276517,1.17e-06,-5.19e-06,8.37e-06
97,0.296,4.332,0.016,298.35,0.844,12.351,0.046,-63.772,-46.108,-18.594,0.313,-1.373,-0.828,0.00258828,0.00270454,0.00288564,4.11e-06,-1.808e-05,-1.09e-05
98,0.296,4.332,0.049,336.0,0.96,14.052,0.158,-60.502,-51.452,-22.321,0.18,1.391,-0.537,0.00300955,0.00306912,0.00326086,2.37e-06,1.831e-05,-7.07e-06
99,0.296,4.332,0.081,366.11,1.053,15.413,0.288,-74.002,-51.312,-23.578,-0.163,0.195,-0.348,0.00325269,0.00340203,0.00358458,-2.15e-06,2.57e-06,-4.58e-06
100,0.296,4.332,0.113,388.7,1.123,16.433,0.43,-76.557,-64.205,-23.039,0.106,1.705,0.071,0.00348969,0.00357099,0.00384194,1.4e-06,2.244e-05,9.3e-07
101,0.296,4.332,0.146,403.76,1.17,17.114,0.576,-82.877,-66.733,-25.145,0.356,-0.254,-0.17,0.00361855,0.0037248,0.00399854,4.69e-06,-3.34e-06,-2.24e-06
102,0.296,4.332,0.178,411.29,1.193,17.454,0.718,-79.081,-72.705,-22.664,0.259,-1.164,0.419,0.00372169,0.00376366,0.00409302,3.42e-06,-1.532e-05,5.51e-06
103,0.296,4.332,0.211,411.29,1.193,17.454,0.849,-82.397,-73.202,-22.005,-0.314,-5.008,-3.02,0.00370372,0.00376424,0.00410122,-4.13e-06,-6.592e-05,-3.976e-05
104,0.296,4.332,0.243,403.76,1.17,17.114,0.96,-85.261,-70.121,-23.823,0.089,-0.952,0.539,0.00360829,0.00370794,0.00401268,1.17e-06,-1.253e-05,7.09e-06
105,0.296,4.332,0.276,388.7,1.123,16.433,1.045,-77.817,-63.879,-23.072,0.526,-0.663,-0.755,0.00348258,0.00357432,0.00384291,6.93e-06,-8.73e-06,-9.94e-06
106,0.296,4.332,0.308,366.11,1.053,15.413,1.096,-68.108,-56.116,-23.657,0.09,-0.667,0.529,0.00329025,0.00336918,0.00358282,1.18e-06,-8.78e-06,6.97e-06
107,0.296,4.332,0.34,336.0,0.96,14.052,1.104,-64.574,-57.177,-18.31,-0.611,0.257,-1.462,0.00298982,0.00303851,0.00329433,-8.04e-06,3.38e-06,-1.924e-05
108,0.296,4.332,0.373,298.35,0.844,12.351,1.063,-57.242,-46.296,-19.755,0.197,1.061,-0.029,0.00262492,0.00269697,0.00287166,2.6e-06,1.397e-05,-3.9e-07
109,0.296,4.842,0.016,304.99,0.865,14.139,0.047,-61.266,-45.969,-19.86,-0.359,-0.158,0.936,0.00267234,0.00277302,0.00294487,-4.72e-06,-2.08e-06,1.232e-05
110,0.296,4.842,0.049,343.55,0.984,16.086,0.162,-69.77,-55.481,-17.841,-0.731,1.801,0.17,0.00303812,0.00313217,0.00337991,-9.62e-06,2.37e-05,2.24e-06
111,0.296,4.842,0.081,374.4,1.079,17.644,0.295,-72.426,-67.845,-21.165,-0.138,2.597,-0.191,0.00336481,0.00339497,0.00370221,-1.82e-06,3.419e-05,-2.51e-06
112,0.296,4.842,0.113,397.54,1.15,18.813,0.441,-77.362,-63.845,-25.093,-0.001,1.498,0.751,0.00357959,0.00366856,0.00392362,-1e-08,1.973e-05,9.88e-06
113,0.296,4.842,0.146,412.96,1.198,19.592,0.59,-79.531,-64.875,-26.449,0.108,2.115,1.762,0.00373176,0.00382822,0.00408115,1.43e-06,2.784e-05,2.319e-05
114,0.296,4.842,0.178,420.67,1.222,19.981,0.736,-82.91,-65.78,-28.397,-0.441,3.757,1.942,0.00379758,0.00391033,0.00415638,-5.81e-06,4.946e-05,2.556e-05
115,0.296,4.842,0.211,420.67,1.222,19.981,0.87,-83.499,-74.072,-25.199,-0.323,0.318,2.33,0.00380064,0.00386269,0.00418438,-4.25e-06,4.19e-06,3.067e-05
116,0.296,4.842,0.243,412.96,1.198,19.592,0.984,-78.043,-59.833,-24.668,-0.077,3.004,3.017,0.0037314,0.00385126,0.00408271,-1.01e-06,3.955e-05,3.972e-05
117,0.296,4.842,0.276,397.54,1.15,18.813,1.071,-82.811,-62.505,-23.345,0.262,0.781,-2.085,0.00354661,0.00368026,0.00393801,3.45e-06,1.029e-05,-2.744e-05
118,0.296,4.842,0.308,374.4,1.079,17.644,1.122,-79.441,-60.573,-18.17,0.183,0.287,-2.66,0.00331467,0.00343886,0.00371795,2.41e-06,3.78e-06,-3.502e-05
119,0.296,4.842,0.34,343.55,0.984,16.086,1.131,-65.761,-51.261,-17.104,0.053,-1.881,-0.975,0.00305355,0.00314899,0.0033738,6.9e-07,-2.476e-05,-1.284e-05
120,0.296,4.842,0.373,304.99,0.865,14.139,1.089,-63.731,-44.843,-15.989,-0.231,-0.168,-0.444,0.00265302,0.00277734,0.00296725,-3.04e-06,-2.21e-06,-5.85e-06
121,0.296,5.351,0.016,304.99,0.865,15.627,0.047,-64.182,-48.896,-22.301,-0.1,0.728,-0.896,0.00266327,0.00276388,0.00293893,-1.32e-06,9.58e-06,-1.179e-05
122,0.296,5.351,0.049,343.55,0.984,17.78,0.162,-64.85,-63.674,-19.45,-0.555,-0.185,-1.048,0.00307646,0.00308421,0.00337529,-7.31e-06,-2.44e-06,-1.379e-05
123,0.296,5.351,0.081,374.4,1.079,19.501,0.295,-78.602,-61.951,-21.05,0.533,-0.842,-1.709,0.00332436,0.00343396,0.00370317,7.02e-06,-1.109e-05,-2.25e-05
124,0.296,5.351,0.113,397.54,1.15,20.793,0.441,-77.258,-68.702,-27.756,0.15,-2.094,-1.65,0.00358934,0.00364565,0.00391516,1.97e-06,-2.757e-05,-2.172e-05
125,0.296,5.351,0.146,412.96,1.198,21.654,0.59,-81.453,-71.4,-24.903,0.069,0.579,3.089,0.00372754,0.00379371,0.00409976,9.1e-07,7.62e-06,4.066e-05
126,0.296,5.351,0.178,420.67,1.222,22.084,0.736,-81.972,-67.316,-25.037,0.167,1.098,-0.558,0.00380037,0.00389684,0.00417512,2.2e-06,1.445e-05,-7.35e-06
127,0.296,5.351,0.211,420.67,1.222,22.084,0.87,-88.238,-74.722,-24.728,0.385,1.787,0.264,0.00377546,0.00386442,0.00419349,5.07e-06,2.353e-05,3.48e-06
128,0.296,5.351,0.243,412.96,1.198,21.654,0.984,-85.846,-76.686,-22.776,-0.617,-1.87,0.26,0.00370786,0.00376815,0.00412298,-8.12e-06,-2.461e-05,3.42e-06
129,0.296,5.351,0.276,397.54,1.15,20.793,1.071,-78.258,-63.055,-25.48,-0.13,0.401,0.009,0.0035743,0.00367436,0.00392168,-1.71e-06,5.27e-06,1.2e-07
130,0.296,5.351,0.308,374.4,1.079,19.501,1.122,-76.521,-66.416,-16.283,0.187,0.25,-0.069,0.00333515,0.00340166,0.00373164,2.46e-06,3.29e-06,-9e-07
131,0.296,5.351,0.34,343.55,0.984,17.78,1.131,-69.054,-58.575,-18.435,0.205,0.734,0.311,0.00304646,0.00311543,0.00337964,2.69e-06,9.66e-06,4.1e-06
132,0.296,5.351,0.373,304.99,0.865,15.627,1.089,-58.294,-57.229,-15.316,-0.148,-0.842,-1.846,0.00269647,0.00270348,0.00297936,-1.95e-06,-1.109e-05,-2.43e-05
133,0.296,5.861,0.016,298.35,0.844,16.71,0.046,-65.392,-50.765,-15.645,0.599,0.808,-0.164,0.00258168,0.00267795,0.00290911,7.88e-06,1.064e-05,-2.16e-06
134,0.296,5.861,0.049,336.0,0.96,19.011,0.158,-68.151,-60.409,-20.645,-0.23,-1.319,-0.807,0.00297745,0.00302841,0.00329014,-3.03e-06,-1.737e-05,-1.062e-05
135,0.296,5.861,0.081,366.11,1.053,20.852,0.288,-72.271,-56.548,-19.232,-0.184,2.044,1.228,0.00326305,0.00336654,0.00361216,-2.42e-06,2.691e-05,1.617e-05
136,0.296,5.861,0.113,388.7,1.123,22.233,0.43,-77.149,-62.211,-23.938,-0.134,1.059,-0.391,0.00348518,0.0035835,0.00383542,-1.76e-06,1.395e-05,-5.14e-06
137,0.296,5.861,0.146,403.76,1.17,23.154,0.576,-80.925,-63.426,-24.014,-0.129,1.267,-0.187,0.00362358,0.00373876,0.00399817,-1.69e-06,1.668e-05,-2.46e-06
138,0.296,5.861,0.178,411.29,1.193,23.614,0.718,-80.574,-69.833,-22.585,-0.19,0.113,0.772,0.00371008,0.00378078,0.00409176,-2.5e-06,1.49e-06,1.016e-05
139,0.296,5.861,0.211,411.29,1.193,23.614,0.849,-89.332,-74.502,-24.252,-0.473,2.385,-1.066,0.00367088,0.00376849,0.00409924,-6.23e-06,3.14e-05,-1.403e-05
