Mix_ID,Temperature_C,Data_Type,Property_Type,Ultimate_Autogenous_Shrinkage_Mean,Ultimate_Autogenous_Shrinkage_Std,Ultimate_Drying_Shrinkage_Mean,Ultimate_Drying_Shrinkage_Std,Shrinkage_Time_Constant_Mean_days,Shrinkage_Time_Constant_Std_days,Humidity_Factor_Mean,Humidity_Factor_Std,Rubber_Content_Percent,Particle_Size
C,330,Calibration,Deformation,1.78e-04,4.46e-05,6.54e-04,1.31e-04,24.9,4.5,0.785,0.079,0.0,small
C,340,Validation,Deformation,1.80e-04,4.49e-05,6.59e-04,1.32e-04,24.8,4.5,0.783,0.078,0.0,small
C,350,Validation,Deformation,1.81e-04,4.53e-05,6.65e-04,1.33e-04,24.7,4.4,0.781,0.078,0.0,small
C,360,Validation,Deformation,1.83e-04,4.57e-05,6.70e-04,1.34e-04,24.6,4.4,0.779,0.078,0.0,small
C,370,Validation,Deformation,1.84e-04,4.60e-05,6.75e-04,1.35e-04,24.5,4.4,0.777,0.078,0.0,small
C,380,Calibration,Deformation,1.86e-04,4.64e-05,6.80e-04,1.36e-04,24.4,4.4,0.775,0.078,0.0,small
C,390,Calibration,Deformation,1.87e-04,4.68e-05,6.85e-04,1.37e-04,24.3,4.4,0.773,0.077,0.0,small
C,400,Validation,Deformation,1.89e-04,4.71e-05,6.91e-04,1.38e-04,24.2,4.4,0.771,0.077,0.0,small
C,410,Validation,Deformation,1.90e-04,4.75e-05,6.96e-04,1.39e-04,24.1,4.3,0.769,0.077,0.0,small
C,420,Calibration,Deformation,1.91e-04,4.78e-05,7.01e-04,1.40e-04,24.0,4.3,0.767,0.077,0.0,small
C,430,Calibration,Deformation,1.93e-04,4.82e-05,7.06e-04,1.41e-04,23.9,4.3,0.765,0.077,0.0,small
C,440,Calibration,Deformation,1.94e-04,4.85e-05,7.11e-04,1.42e-04,23.8,4.3,0.763,0.076,0.0,small
C,450,Validation,Deformation,1.96e-04,4.89e-05,7.15e-04,1.43e-04,23.7,4.3,0.761,0.076,0.0,small
C,460,Validation,Deformation,1.97e-04,4.92e-05,7.20e-04,1.44e-04,23.6,4.3,0.759,0.076,0.0,small
C,470,Calibration,Deformation,1.98e-04,4.96e-05,7.25e-04,1.45e-04,23.6,4.2,0.757,0.076,0.0,small
C,480,Calibration,Deformation,2.00e-04,4.99e-05,7.30e-04,1.46e-04,23.5,4.2,0.755,0.076,0.0,small
C,490,Calibration,Deformation,2.01e-04,5.02e-05,7.35e-04,1.47e-04,23.4,4.2,0.753,0.075,0.0,small
C,500,Validation,Deformation,2.02e-04,5.06e-05,7.40e-04,1.48e-04,23.3,4.2,0.752,0.075,0.0,small
C,510,Validation,Deformation,2.04e-04,5.09e-05,7.44e-04,1.49e-04,23.2,4.2,0.75,0.075,0.0,small
C,520,Validation,Deformation,2.05e-04,5.12e-05,7.49e-04,1.50e-04,23.1,4.2,0.748,0.075,0.0,small
C,530,Calibration,Deformation,2.06e-04,5.16e-05,7.54e-04,1.51e-04,23.0,4.1,0.746,0.075,0.0,small
C,540,Calibration,Deformation,2.08e-04,5.19e-05,7.59e-04,1.52e-04,22.9,4.1,0.744,0.074,0.0,small
C,550,Calibration,Deformation,2.09e-04,5.22e-05,7.63e-04,1.53e-04,22.8,4.1,0.742,0.074,0.0,small
C,560,Calibration,Deformation,2.10e-04,5.25e-05,7.68e-04,1.54e-04,22.7,4.1,0.74,0.074,0.0,small
C,570,Validation,Deformation,2.11e-04,5.29e-05,7.73e-04,1.55e-04,22.7,4.1,0.738,0.074,0.0,small
C,580,Validation,Deformation,2.13e-04,5.32e-05,7.77e-04,1.55e-04,22.6,4.1,0.736,0.074,0.0,small
C,590,Validation,Deformation,2.14e-04,5.35e-05,7.82e-04,1.56e-04,22.5,4.0,0.734,0.073,0.0,small
C,600,Validation,Deformation,2.15e-04,5.38e-05,7.86e-04,1.57e-04,22.4,4.0,0.733,0.073,0.0,small
C,610,Calibration,Deformation,2.17e-04,5.41e-05,7.91e-04,1.58e-04,22.3,4.0,0.731,0.073,0.0,small
C,620,Validation,Deformation,2.18e-04,5.45e-05,7.95e-04,1.59e-04,22.2,4.0,0.729,0.073,0.0,small
C,630,Validation,Deformation,2.19e-04,5.48e-05,8.00e-04,1.60e-04,22.1,4.0,0.727,0.073,0.0,small
C,640,Validation,Deformation,2.20e-04,5.51e-05,8.05e-04,1.61e-04,22.1,4.0,0.725,0.073,0.0,small
C,650,Calibration,Deformation,2.22e-04,5.54e-05,8.09e-04,1.62e-04,22.0,4.0,0.723,0.072,0.0,small
C,660,Calibration,Deformation,2.23e-04,5.57e-05,8.14e-04,1.63e-04,21.9,3.9,0.721,0.072,0.0,small
C,670,Calibration,Deformation,2.24e-04,5.60e-05,8.18e-04,1.64e-04,21.8,3.9,0.72,0.072,0.0,small
C,680,Validation,Deformation,2.25e-04,5.63e-05,8.22e-04,1.64e-04,21.7,3.9,0.718,0.072,0.0,small
C,690,Calibration,Deformation,2.27e-04,5.67e-05,8.27e-04,1.65e-04,21.6,3.9,0.716,0.072,0.0,small
C,700,Calibration,Deformation,2.28e-04,5.70e-05,8.31e-04,1.66e-04,21.6,3.9,0.714,0.071,0.0,small
C,710,Calibration,Deformation,2.29e-04,5.73e-05,8.36e-04,1.67e-04,21.5,3.9,0.712,0.071,0.0,small
C,720,Calibration,Deformation,2.30e-04,5.76e-05,8.40e-04,1.68e-04,21.4,3.9,0.71,0.071,0.0,small
C,730,Calibration,Deformation,2.32e-04,5.79e-05,8.45e-04,1.69e-04,21.3,3.8,0.709,0.071,0.0,small
C,740,Calibration,Deformation,2.33e-04,5.82e-05,8.49e-04,1.70e-04,21.2,3.8,0.707,0.071,0.0,small
C,750,Calibration,Deformation,2.34e-04,5.85e-05,8.53e-04,1.71e-04,21.1,3.8,0.705,0.07,0.0,small
C,760,Calibration,Deformation,2.35e-04,5.88e-05,8.58e-04,1.72e-04,21.1,3.8,0.703,0.07,0.0,small
C,770,Validation,Deformation,2.36e-04,5.91e-05,8.62e-04,1.72e-04,21.0,3.8,0.701,0.07,0.0,small
C,780,Calibration,Deformation,2.38e-04,5.94e-05,8.66e-04,1.73e-04,20.9,3.8,0.699,0.07,0.0,small
C,790,Validation,Deformation,2.39e-04,5.97e-05,8.71e-04,1.74e-04,20.8,3.7,0.698,0.07,0.0,small
C,800,Calibration,Deformation,2.40e-04,6.00e-05,8.75e-04,1.75e-04,20.7,3.7,0.696,0.07,0.0,small
R5S,20,Calibration,Deformation,1.15e-04,2.88e-05,4.34e-04,8.68e-05,28.7,5.2,0.846,0.085,10.0,small
R5S,30,Validation,Deformation,1.16e-04,2.90e-05,4.37e-04,8.74e-05,28.6,5.1,0.844,0.084,10.0,small
R5S,40,Calibration,Deformation,1.17e-04,2.92e-05,4.40e-04,8.80e-05,28.5,5.1,0.841,0.084,10.0,small
R5S,50,Calibration,Deformation,1.17e-04,2.94e-05,4.43e-04,8.85e-05,28.4,5.1,0.839,0.084,10.0,small
R5S,60,Calibration,Deformation,1.18e-04,2.95e-05,4.45e-04,8.91e-05,28.3,5.1,0.837,0.084,10.0,small
R5S,70,Validation,Deformation,1.19e-04,2.97e-05,4.48e-04,8.96e-05,28.2,5.1,0.835,0.083,10.0,small
R5S,80,Calibration,Deformation,1.20e-04,2.99e-05,4.51e-04,9.02e-05,28.0,5.0,0.833,0.083,10.0,small
R5S,90,Validation,Deformation,1.20e-04,3.01e-05,4.54e-04,9.07e-05,27.9,5.0,0.831,0.083,10.0,small
R5S,100,Calibration,Deformation,1.21e-04,3.03e-05,4.57e-04,9.13e-05,27.8,5.0,0.829,0.083,10.0,small
R5S,110,Calibration,Deformation,1.29e-04,3.23e-05,4.83e-04,9.66e-05,27.7,5.0,0.826,0.083,10.0,small
R5S,120,Calibration,Deformation,1.33e-04,3.32e-05,4.96e-04,9.92e-05,27.6,5.0,0.824,0.082,10.0,small
R5S,130,Calibration,Deformation,1.36e-04,3.39e-05,5.06e-04,1.01e-04,27.5,5.0,0.822,0.082,10.0,small
R5S,140,Calibration,Deformation,1.38e-04,3.46e-05,5.15e-04,1.03e-04,27.4,4.9,0.82,0.082,10.0,small
R5S,150,Calibration,Deformation,1.41e-04,3.52e-05,5.24e-04,1.05e-04,27.3,4.9,0.818,0.082,10.0,small
R5S,160,Calibration,Deformation,1.43e-04,3.58e-05,5.32e-04,1.06e-04,27.2,4.9,0.816,0.082,10.0,small
R5S,170,Validation,Deformation,1.45e-04,3.63e-05,5.39e-04,1.08e-04,27.1,4.9,0.814,0.081,10.0,small
R5S,180,Calibration,Deformation,1.47e-04,3.68e-05,5.46e-04,1.09e-04,27.0,4.9,0.812,0.081,10.0,small
R5S,190,Calibration,Deformation,1.49e-04,3.73e-05,5.53e-04,1.11e-04,26.9,4.8,0.81,0.081,10.0,small
R5S,200,Validation,Deformation,1.51e-04,3.78e-05,5.60e-04,1.12e-04,26.8,4.8,0.808,0.081,10.0,small
R5S,210,Calibration,Deformation,1.53e-04,3.83e-05,5.66e-04,1.13e-04,26.7,4.8,0.806,0.081,10.0,small
R5S,220,Calibration,Deformation,1.55e-04,3.87e-05,5.73e-04,1.15e-04,26.6,4.8,0.803,0.08,10.0,small
R5S,230,Validation,Deformation,1.57e-04,3.91e-05,5.79e-04,1.16e-04,26.5,4.8,0.801,0.08,10.0,small
R5S,240,Validation,Deformation,1.58e-04,3.96e-05,5.85e-04,1.17e-04,26.4,4.7,0.799,0.08,10.0,small
R5S,250,Calibration,Deformation,1.60e-04,4.00e-05,5.91e-04,1.18e-04,26.3,4.7,0.797,0.08,10.0,small
R5S,260,Validation,Deformation,1.62e-04,4.04e-05,5.97e-04,1.19e-04,26.2,4.7,0.795,0.08,10.0,small
R5S,270,Calibration,Deformation,1.63e-04,4.08e-05,6.02e-04,1.20e-04,26.1,4.7,0.793,0.079,10.0,small
R5S,280,Calibration,Deformation,1.65e-04,4.12e-05,6.08e-04,1.22e-04,26.0,4.7,0.791,0.079,10.0,small
R5S,290,Calibration,Deformation,1.66e-04,4.16e-05,6.14e-04,1.23e-04,25.9,4.7,0.789,0.079,10.0,small
R5S,300,Validation,Deformation,1.68e-04,4.20e-05,6.19e-04,1.24e-04,25.8,4.6,0.787,0.079,10.0,small
R5S,310,Calibration,Deformation,1.69e-04,4.24e-05,6.25e-04,1.25e-04,25.7,4.6,0.785,0.079,10.0,small
R5S,320,Calibration,Deformation,1.71e-04,4.27e-05,6.30e-04,1.26e-04,25.6,4.6,0.783,0.078,10.0,small
R5S,330,Calibration,Deformation,1.72e-04,4.31e-05,6.35e-04,1.27e-04,25.5,4.6,0.781,0.078,10.0,small
R5S,340,Calibration,Deformation,1.74e-04,4.35e-05,6.40e-04,1.28e-04,25.4,4.6,0.779,0.078,10.0,small
R5S,350,Calibration,Deformation,1.75e-04,4.39e-05,6.46e-04,1.29e-04,25.3,4.6,0.777,0.078,10.0,small
R5S,360,Calibration,Deformation,1.77e-04,4.42e-05,6.51e-04,1.30e-04,25.2,4.5,0.775,0.078,10.0,small
R5S,370,Calibration,Deformation,1.78e-04,4.46e-05,6.56e-04,1.31e-04,25.1,4.5,0.773,0.077,10.0,small
R5S,380,Calibration,Deformation,1.80e-04,4.49e-05,6.61e-04,1.32e-04,25.0,4.5,0.771,0.077,10.0,small
R5S,390,Calibration,Deformation,1.81e-04,4.53e-05,6.66e-04,1.33e-04,24.9,4.5,0.769,0.077,10.0,small
R5S,400,Calibration,Deformation,1.83e-04,4.56e-05,6.71e-04,1.34e-04,24.8,4.5,0.767,0.077,10.0,small
R5S,410,Calibration,Deformation,1.84e-04,4.60e-05,6.76e-04,1.35e-04,24.7,4.4,0.765,0.077,10.0,small
R5S,420,Calibration,Deformation,1.85e-04,4.63e-05,6.81e-04,1.36e-04,24.6,4.4,0.763,0.076,10.0,small
R5S,430,Validation,Deformation,1.87e-04,4.67e-05,6.86e-04,1.37e-04,24.5,4.4,0.761,0.076,10.0,small
R5S,440,Calibration,Deformation,1.88e-04,4.70e-05,6.91e-04,1.38e-04,24.4,4.4,0.759,0.076,10.0,small
R5S,450,Calibration,Deformation,1.89e-04,4.73e-05,6.95e-04,1.39e-04,24.3,4.4,0.757,0.076,10.0,small
R5S,460,Calibration,Deformation,1.91e-04,4.77e-05,7.00e-04,1.40e-04,24.2,4.4,0.756,0.076,10.0,small
R5S,470,Calibration,Deformation,1.92e-04,4.80e-05,7.05e-04,1.41e-04,24.1,4.3,0.754,0.075,10.0,small
R5S,480,Calibration,Deformation,1.93e-04,4.83e-05,7.10e-04,1.42e-04,24.0,4.3,0.752,0.075,10.0,small
R5S,490,Calibration,Deformation,1.95e-04,4.87e-05,7.14e-04,1.43e-04,24.0,4.3,0.75,0.075,10.0,small
R5S,500,Calibration,Deformation,1.96e-04,4.90e-05,7.19e-04,1.44e-04,23.9,4.3,0.748,0.075,10.0,small
R5S,510,Calibration,Deformation,1.97e-04,4.93e-05,7.24e-04,1.45e-04,23.8,4.3,0.746,0.075,10.0,small
R5S,520,Calibration,Deformation,1.99e-04,4.96e-05,7.28e-04,1.46e-04,23.7,4.3,0.744,0.074,10.0,small
R5S,530,Calibration,Deformation,2.00e-04,5.00e-05,7.33e-04,1.47e-04,23.6,4.2,0.742,0.074,10.0,small
R5S,540,Calibration,Deformation,2.01e-04,5.03e-05,7.38e-04,1.48e-04,23.5,4.2,0.74,0.074,10.0,small
R5S,550,Calibration,Deformation,2.02e-04,5.06e-05,7.42e-04,1.48e-04,23.4,4.2,0.738,0.074,10.0,small
R5S,560,Calibration,Deformation,2.04e-04,5.09e-05,7.47e-04,1.49e-04,23.3,4.2,0.736,0.074,10.0,small
R5S,570,Calibration,Deformation,2.05e-04,5.12e-05,7.51e-04,1.50e-04,23.2,4.2,0.735,0.073,10.0,small
R5S,580,Calibration,Deformation,2.06e-04,5.16e-05,7.56e-04,1.51e-04,23.1,4.2,0.733,0.073,10.0,small
R5S,590,Calibration,Deformation,2.07e-04,5.19e-05,7.60e-04,1.52e-04,23.1,4.1,0.731,0.073,10.0,small
R5S,600,Validation,Deformation,2.09e-04,5.22e-05,7.65e-04,1.53e-04,23.0,4.1,0.729,0.073,10.0,small
R5S,610,Calibration,Deformation,2.10e-04,5.25e-05,7.69e-04,1.54e-04,22.9,4.1,0.727,0.073,10.0,small
R5S,620,Calibration,Deformation,2.11e-04,5.28e-05,7.74e-04,1.55e-04,22.8,4.1,0.725,0.073,10.0,small
R5S,630,Validation,Deformation,2.12e-04,5.31e-05,7.78e-04,1.56e-04,22.7,4.1,0.723,0.072,10.0,small
R5S,640,Validation,Deformation,2.14e-04,5.34e-05,7.82e-04,1.56e-04,22.6,4.1,0.721,0.072,10.0,small
R5S,650,Calibration,Deformation,2.15e-04,5.37e-05,7.87e-04,1.57e-04,22.5,4.1,0.72,0.072,10.0,small
R5S,660,Calibration,Deformation,2.16e-04,5.40e-05,7.91e-04,1.58e-04,22.4,4.0,0.718,0.072,10.0,small
R5S,670,Validation,Deformation,2.17e-04,5.43e-05,7.96e-04,1.59e-04,22.4,4.0,0.716,0.072,10.0,small
R5S,680,Validation,Deformation,2.19e-04,5.46e-05,8.00e-04,1.60e-04,22.3,4.0,0.714,0.071,10.0,small
R5S,690,Calibration,Deformation,2.20e-04,5.49e-05,8.04e-04,1.61e-04,22.2,4.0,0.712,0.071,10.0,small
R5S,700,Calibration,Deformation,2.21e-04,5.52e-05,8.09e-04,1.62e-04,22.1,4.0,0.71,0.071,10.0,small
R5S,710,Calibration,Deformation,2.22e-04,5.55e-05,8.13e-04,1.63e-04,22.0,4.0,0.709,0.071,10.0,small
R5S,720,Calibration,Deformation,2.23e-04,5.58e-05,8.17e-04,1.63e-04,21.9,3.9,0.707,0.071,10.0,small
R5S,730,Calibration,Deformation,2.25e-04,5.61e-05,8.22e-04,1.64e-04,21.8,3.9,0.705,0.07,10.0,small
R5S,740,Calibration,Deformation,2.26e-04,5.64e-05,8.26e-04,1.65e-04,21.8,3.9,0.703,0.07,10.0,small
R5S,750,Calibration,Deformation,2.27e-04,5.67e-05,8.30e-04,1.66e-04,21.7,3.9,0.701,0.07,10.0,small
R5S,760,Validation,Deformation,2.28e-04,5.70e-05,8.34e-04,1.67e-04,21.6,3.9,0.7,0.07,10.0,small
R5S,770,Calibration,Deformation,2.29e-04,5.73e-05,8.39e-04,1.68e-04,21.5,3.9,0.698,0.07,10.0,small
R5S,780,Calibration,Deformation,2.30e-04,5.76e-05,8.43e-04,1.69e-04,21.4,3.9,0.696,0.07,10.0,small
R5S,790,Validation,Deformation,2.32e-04,5.79e-05,8.47e-04,1.69e-04,21.3,3.8,0.694,0.069,10.0,small
R5S,800,Validation,Deformation,2.33e-04,5.82e-05,8.51e-04,1.70e-04,21.3,3.8,0.692,0.069,10.0,small
R10S,20,Calibration,Deformation,1.15e-04,2.88e-05,4.34e-04,8.68e-05,28.7,5.2,0.846,0.085,10.0,small
R10S,30,Calibration,Deformation,1.16e-04,2.90e-05,4.37e-04,8.74e-05,28.6,5.1,0.844,0.084,10.0,small
R10S,40,Calibration,Deformation,1.17e-04,2.92e-05,4.40e-04,8.80e-05,28.5,5.1,0.841,0.084,10.0,small
R10S,50,Calibration,Deformation,1.17e-04,2.94e-05,4.43e-04,8.85e-05,28.4,5.1,0.839,0.084,10.0,small
R10S,60,Calibration,Deformation,1.18e-04,2.95e-05,4.45e-04,8.91e-05,28.3,5.1,0.837,0.084,10.0,small
R10S,70,Calibration,Deformation,1.19e-04,2.97e-05,4.48e-04,8.96e-05,28.2,5.1,0.835,0.083,10.0,small
R10S,80,Calibration,Deformation,1.20e-04,2.99e-05,4.51e-04,9.02e-05,28.0,5.0,0.833,0.083,10.0,small
R10S,90,Calibration,Deformation,1.20e-04,3.01e-05,4.54e-04,9.07e-05,27.9,5.0,0.831,0.083,10.0,small
R10S,100,Calibration,Deformation,1.21e-04,3.03e-05,4.57e-04,9.13e-05,27.8,5.0,0.829,0.083,10.0,small
R10S,110,Calibration,Deformation,1.29e-04,3.23e-05,4.83e-04,9.66e-05,27.7,5.0,0.826,0.083,10.0,small
R10S,120,Calibration,Deformation,1.33e-04,3.32e-05,4.96e-04,9.92e-05,27.6,5.0,0.824,0.082,10.0,small
R10S,130,Calibration,Deformation,1.36e-04,3.39e-05,5.06e-04,1.01e-04,27.5,5.0,0.822,0.082,10.0,small
R10S,140,Calibration,Deformation,1.38e-04,3.46e-05,5.15e-04,1.03e-04,27.4,4.9,0.82,0.082,10.0,small
R10S,150,Validation,Deformation,1.41e-04,3.52e-05,5.24e-04,1.05e-04,27.3,4.9,0.818,0.082,10.0,small
R10S,160,Calibration,Deformation,1.43e-04,3.58e-05,5.32e-04,1.06e-04,27.2,4.9,0.816,0.082,10.0,small
R10S,170,Calibration,Deformation,1.45e-04,3.63e-05,5.39e-04,1.08e-04,27.1,4.9,0.814,0.081,10.0,small
R10S,180,Validation,Deformation,1.47e-04,3.68e-05,5.46e-04,1.09e-04,27.0,4.9,0.812,0.081,10.0,small
R10S,190,Calibration,Deformation,1.49e-04,3.73e-05,5.53e-04,1.11e-04,26.9,4.8,0.81,0.081,10.0,small
R10S,200,Calibration,Deformation,1.51e-04,3.78e-05,5.60e-04,1.12e-04,26.8,4.8,0.808,0.081,10.0,small
R10S,210,Calibration,Deformation,1.53e-04,3.83e-05,5.66e-04,1.13e-04,26.7,4.8,0.806,0.081,10.0,small
R10S,220,Calibration,Deformation,1.55e-04,3.87e-05,5.73e-04,1.15e-04,26.6,4.8,0.803,0.08,10.0,small
R10S,230,Validation,Deformation,1.57e-04,3.91e-05,5.79e-04,1.16e-04,26.5,4.8,0.801,0.08,10.0,small
R10S,240,Calibration,Deformation,1.58e-04,3.96e-05,5.85e-04,1.17e-04,26.4,4.7,0.799,0.08,10.0,small
R10S,250,Calibration,Deformation,1.60e-04,4.00e-05,5.91e-04,1.18e-04,26.3,4.7,0.797,0.08,10.0,small
R10S,260,Calibration,Deformation,1.62e-04,4.04e-05,5.97e-04,1.19e-04,26.2,4.7,0.795,0.08,10.0,small
R10S,270,Calibration,Deformation,1.63e-04,4.08e-05,6.02e-04,1.20e-04,26.1,4.7,0.793,0.079,10.0,small
R10S,280,Calibration,Deformation,1.65e-04,4.12e-05,6.08e-04,1.22e-04,26.0,4.7,0.791,0.079,10.0,small
R10S,290,Calibration,Deformation,1.66e-04,4.16e-05,6.14e-04,1.23e-04,25.9,4.7,0.789,0.079,10.0,small
R10S,300,Calibration,Deformation,1.68e-04,4.20e-05,6.19e-04,1.24e-04,25.8,4.6,0.787,0.079,10.0,small
R10S,310,Validation,Deformation,1.69e-04,4.24e-05,6.25e-04,1.25e-04,25.7,4.6,0.785,0.079,10.0,small
R10S,320,Calibration,Deformation,1.71e-04,4.27e-05,6.30e-04,1.26e-04,25.6,4.6,0.783,0.078,10.0,small
R10S,330,Calibration,Deformation,1.72e-04,4.31e-05,6.35e-04,1.27e-04,25.5,4.6,0.781,0.078,10.0,small
R10S,340,Calibration,Deformation,1.74e-04,4.35e-05,6.40e-04,1.28e-04,25.4,4.6,0.779,0.078,10.0,small
R10S,350,Calibration,Deformation,1.75e-04,4.39e-05,6.46e-04,1.29e-04,25.3,4.6,0.777,0.078,10.0,small
R10S,360,Calibration,Deformation,1.77e-04,4.42e-05,6.51e-04,1.30e-04,25.2,4.5,0.775,0.078,10.0,small
R10S,370,Calibration,Deformation,1.78e-04,4.46e-05,6.56e-04,1.31e-04,25.1,4.5,0.773,0.077,10.0,small
R10S,380,Calibration,Deformation,1.80e-04,4.49e-05,6.61e-04,1.32e-04,25.0,4.5,0.771,0.077,10.0,small
R10S,390,Calibration,Deformation,1.81e-04,4.53e-05,6.66e-04,1.33e-04,24.9,4.5,0.769,0.077,10.0,small
R10S,400,Calibration,Deformation,1.83e-04,4.56e-05,6.71e-04,1.34e-04,24.8,4.5,0.767,0.077,10.0,small
R10S,410,Validation,Deformation,1.84e-04,4.60e-05,6.76e-04,1.35e-04,24.7,4.4,0.765,0.077,10.0,small
R10S,420,Calibration,Deformation,1.85e-04,4.63e-05,6.81e-04,1.36e-04,24.6,4.4,0.763,0.076,10.0,small
R10S,430,Calibration,Deformation,1.87e-04,4.67e-05,6.86e-04,1.37e-04,24.5,4.4,0.761,0.076,10.0,small
R10S,440,Calibration,Deformation,1.88e-04,4.70e-05,6.91e-04,1.38e-04,24.4,4.4,0.759,0.076,10.0,small
R10S,450,Validation,Deformation,1.89e-04,4.73e-05,6.95e-04,1.39e-04,24.3,4.4,0.757,0.076,10.0,small
R10S,460,Calibration,Deformation,1.91e-04,4.77e-05,7.00e-04,1.40e-04,24.2,4.4,0.756,0.076,10.0,small
R10S,470,Calibration,Deformation,1.92e-04,4.80e-05,7.05e-04,1.41e-04,24.1,4.3,0.754,0.075,10.0,small
R10S,480,Validation,Deformation,1.93e-04,4.83e-05,7.10e-04,1.42e-04,24.0,4.3,0.752,0.075,10.0,small
R10S,490,Validation,Deformation,1.95e-04,4.87e-05,7.14e-04,1.43e-04,24.0,4.3,0.75,0.075,10.0,small
R10S,500,Validation,Deformation,1.96e-04,4.90e-05,7.19e-04,1.44e-04,23.9,4.3,0.748,0.075,10.0,small
R10S,510,Calibration,Deformation,1.97e-04,4.93e-05,7.24e-04,1.45e-04,23.8,4.3,0.746,0.075,10.0,small
R10S,520,Calibration,Deformation,1.99e-04,4.96e-05,7.28e-04,1.46e-04,23.7,4.3,0.744,0.074,10.0,small
