Mix_ID,Temperature_C,Data_Type,Property_Type,Creep_Coefficient_A_Mean,Creep_Coefficient_A_Std,Stress_Exponent_n_Mean,Stress_Exponent_n_Std,Time_Exponent_m_Mean,Time_Exponent_m_Std,Activation_Energy_Mean_J_mol,Activation_Energy_Std_J_mol,Rubber_Content_Percent,Particle_Size
R5S,100,Calibration,Deformation,1.35e-10,4.05e-11,1.23,0.185,0.1773,0.0213,44460.0,4446.0,10.0,small
R5S,110,Validation,Deformation,1.96e-10,5.88e-11,1.232,0.185,0.1772,0.0213,44460.0,4446.0,10.0,small
R5S,120,Calibration,Deformation,2.80e-10,8.39e-11,1.234,0.185,0.1771,0.0212,44460.0,4446.0,10.0,small
R5S,130,Calibration,Deformation,3.92e-10,1.18e-10,1.235,0.185,0.1769,0.0212,44460.0,4446.0,10.0,small
R5S,140,Validation,Deformation,5.40e-10,1.62e-10,1.237,0.186,0.1768,0.0212,44460.0,4446.0,10.0,small
R5S,150,Validation,Deformation,7.33e-10,2.20e-10,1.238,0.186,0.1767,0.0212,44460.0,4446.0,10.0,small
R5S,160,Calibration,Deformation,9.82e-10,2.95e-10,1.24,0.186,0.1766,0.0212,44460.0,4446.0,10.0,small
R5S,170,Validation,Deformation,1.30e-09,3.89e-10,1.241,0.186,0.1765,0.0212,44460.0,4446.0,10.0,small
R5S,180,Calibration,Deformation,1.69e-09,5.08e-10,1.243,0.186,0.1764,0.0212,44460.0,4446.0,10.0,small
R5S,190,Calibration,Deformation,2.18e-09,6.55e-10,1.245,0.187,0.1763,0.0212,44460.0,4446.0,10.0,small
R5S,200,Calibration,Deformation,2.79e-09,8.36e-10,1.246,0.187,0.1761,0.0211,44460.0,4446.0,10.0,small
R5S,210,Calibration,Deformation,3.52e-09,1.06e-09,1.248,0.187,0.176,0.0211,44460.0,4446.0,10.0,small
R5S,220,Calibration,Deformation,4.41e-09,1.32e-09,1.249,0.187,0.1759,0.0211,44460.0,4446.0,10.0,small
R5S,230,Calibration,Deformation,5.47e-09,1.64e-09,1.251,0.188,0.1758,0.0211,44460.0,4446.0,10.0,small
R5S,240,Calibration,Deformation,6.73e-09,2.02e-09,1.252,0.188,0.1757,0.0211,44460.0,4446.0,10.0,small
R5S,250,Calibration,Deformation,8.21e-09,2.46e-09,1.254,0.188,0.1756,0.0211,44460.0,4446.0,10.0,small
R5S,260,Calibration,Deformation,9.95e-09,2.98e-09,1.255,0.188,0.1755,0.0211,44460.0,4446.0,10.0,small
R5S,270,Validation,Deformation,1.20e-08,3.59e-09,1.257,0.189,0.1753,0.021,44460.0,4446.0,10.0,small
R5S,280,Calibration,Deformation,1.43e-08,4.29e-09,1.259,0.189,0.1752,0.021,44460.0,4446.0,10.0,small
R5S,290,Calibration,Deformation,1.70e-08,5.09e-09,1.26,0.189,0.1751,0.021,44460.0,4446.0,10.0,small
R5S,300,Validation,Deformation,2.00e-08,6.01e-09,1.262,0.189,0.175,0.021,44460.0,4446.0,10.0,small
R5S,310,Calibration,Deformation,2.35e-08,7.05e-09,1.263,0.189,0.1749,0.021,44460.0,4446.0,10.0,small
R5S,320,Calibration,Deformation,2.74e-08,8.23e-09,1.265,0.19,0.1748,0.021,44460.0,4446.0,10.0,small
R5S,330,Calibration,Deformation,3.19e-08,9.56e-09,1.266,0.19,0.1747,0.021,44460.0,4446.0,10.0,small
R5S,340,Calibration,Deformation,3.68e-08,1.10e-08,1.268,0.19,0.1745,0.0209,44460.0,4446.0,10.0,small
R5S,350,Validation,Deformation,4.23e-08,1.27e-08,1.27,0.19,0.1744,0.0209,44460.0,4446.0,10.0,small
R5S,360,Validation,Deformation,4.85e-08,1.45e-08,1.271,0.191,0.1743,0.0209,44460.0,4446.0,10.0,small
R5S,370,Calibration,Deformation,5.53e-08,1.66e-08,1.273,0.191,0.1742,0.0209,44460.0,4446.0,10.0,small
R5S,380,Validation,Deformation,6.28e-08,1.88e-08,1.274,0.191,0.1741,0.0209,44460.0,4446.0,10.0,small
R5S,390,Validation,Deformation,7.11e-08,2.13e-08,1.276,0.191,0.174,0.0209,44460.0,4446.0,10.0,small
R5S,400,Calibration,Deformation,8.01e-08,2.40e-08,1.277,0.192,0.1739,0.0209,44460.0,4446.0,10.0,small
R5S,410,Validation,Deformation,9.00e-08,2.70e-08,1.279,0.192,0.1737,0.0208,44460.0,4446.0,10.0,small
R5S,420,Calibration,Deformation,1.01e-07,3.02e-08,1.28,0.192,0.1736,0.0208,44460.0,4446.0,10.0,small
R5S,430,Validation,Deformation,1.12e-07,3.37e-08,1.282,0.192,0.1735,0.0208,44460.0,4446.0,10.0,small
R5S,440,Validation,Deformation,1.25e-07,3.75e-08,1.284,0.193,0.1734,0.0208,44460.0,4446.0,10.0,small
R5S,450,Calibration,Deformation,1.39e-07,4.16e-08,1.285,0.193,0.1733,0.0208,44460.0,4446.0,10.0,small
R5S,460,Calibration,Deformation,1.53e-07,4.60e-08,1.287,0.193,0.1732,0.0208,44460.0,4446.0,10.0,small
R5S,470,Calibration,Deformation,1.69e-07,5.08e-08,1.288,0.193,0.1731,0.0208,44460.0,4446.0,10.0,small
R5S,480,Calibration,Deformation,1.86e-07,5.59e-08,1.29,0.193,0.1729,0.0208,44460.0,4446.0,10.0,small
R5S,490,Validation,Deformation,2.04e-07,6.13e-08,1.291,0.194,0.1728,0.0207,44460.0,4446.0,10.0,small
R5S,500,Validation,Deformation,2.24e-07,6.71e-08,1.293,0.194,0.1727,0.0207,44460.0,4446.0,10.0,small
R5S,510,Calibration,Deformation,2.44e-07,7.33e-08,1.295,0.194,0.1726,0.0207,44460.0,4446.0,10.0,small
R5S,520,Calibration,Deformation,2.66e-07,7.99e-08,1.296,0.194,0.1725,0.0207,44460.0,4446.0,10.0,small
R5S,530,Calibration,Deformation,2.90e-07,8.69e-08,1.298,0.195,0.1724,0.0207,44460.0,4446.0,10.0,small
R5S,540,Calibration,Deformation,3.14e-07,9.43e-08,1.299,0.195,0.1723,0.0207,44460.0,4446.0,10.0,small
R5S,550,Calibration,Deformation,3.41e-07,1.02e-07,1.301,0.195,0.1721,0.0207,44460.0,4446.0,10.0,small
R5S,560,Calibration,Deformation,3.68e-07,1.10e-07,1.302,0.195,0.172,0.0206,44460.0,4446.0,10.0,small
R5S,570,Validation,Deformation,3.97e-07,1.19e-07,1.304,0.196,0.1719,0.0206,44460.0,4446.0,10.0,small
R5S,580,Calibration,Deformation,4.28e-07,1.28e-07,1.305,0.196,0.1718,0.0206,44460.0,4446.0,10.0,small
R5S,590,Calibration,Deformation,4.60e-07,1.38e-07,1.307,0.196,0.1717,0.0206,44460.0,4446.0,10.0,small
R5S,600,Validation,Deformation,4.94e-07,1.48e-07,1.309,0.196,0.1716,0.0206,44460.0,4446.0,10.0,small
R5S,610,Calibration,Deformation,5.30e-07,1.59e-07,1.31,0.197,0.1715,0.0206,44460.0,4446.0,10.0,small
R5S,620,Validation,Deformation,5.67e-07,1.70e-07,1.312,0.197,0.1713,0.0206,44460.0,4446.0,10.0,small
R5S,630,Validation,Deformation,6.06e-07,1.82e-07,1.313,0.197,0.1712,0.0205,44460.0,4446.0,10.0,small
R5S,640,Calibration,Deformation,6.46e-07,1.94e-07,1.315,0.197,0.1711,0.0205,44460.0,4446.0,10.0,small
R5S,650,Calibration,Deformation,6.89e-07,2.07e-07,1.316,0.197,0.171,0.0205,44460.0,4446.0,10.0,small
R5S,660,Calibration,Deformation,7.33e-07,2.20e-07,1.318,0.198,0.1709,0.0205,44460.0,4446.0,10.0,small
R5S,670,Calibration,Deformation,7.79e-07,2.34e-07,1.319,0.198,0.1708,0.0205,44460.0,4446.0,10.0,small
R5S,680,Calibration,Deformation,8.26e-07,2.48e-07,1.321,0.198,0.1707,0.0205,44460.0,4446.0,10.0,small
R5S,690,Calibration,Deformation,8.76e-07,2.63e-07,1.323,0.198,0.1705,0.0205,44460.0,4446.0,10.0,small
R5S,700,Calibration,Deformation,9.27e-07,2.78e-07,1.324,0.199,0.1704,0.0205,44460.0,4446.0,10.0,small
R5S,710,Calibration,Deformation,9.81e-07,2.94e-07,1.326,0.199,0.1703,0.0204,44460.0,4446.0,10.0,small
R5S,720,Calibration,Deformation,1.04e-06,3.11e-07,1.327,0.199,0.1702,0.0204,44460.0,4446.0,10.0,small
R5S,730,Validation,Deformation,1.09e-06,3.28e-07,1.329,0.199,0.1701,0.0204,44460.0,4446.0,10.0,small
R5S,740,Calibration,Deformation,1.15e-06,3.46e-07,1.33,0.2,0.17,0.0204,44460.0,4446.0,10.0,small
R5S,750,Calibration,Deformation,1.21e-06,3.64e-07,1.332,0.2,0.1699,0.0204,44460.0,4446.0,10.0,small
R5S,760,Calibration,Deformation,1.28e-06,3.83e-07,1.334,0.2,0.1697,0.0204,44460.0,4446.0,10.0,small
R5S,770,Validation,Deformation,1.34e-06,4.02e-07,1.335,0.2,0.1696,0.0204,44460.0,4446.0,10.0,small
R5S,780,Calibration,Deformation,1.41e-06,4.22e-07,1.337,0.201,0.1695,0.0203,44460.0,4446.0,10.0,small
R5S,790,Calibration,Deformation,1.48e-06,4.43e-07,1.338,0.201,0.1694,0.0203,44460.0,4446.0,10.0,small
R5S,800,Validation,Deformation,1.55e-06,4.64e-07,1.34,0.201,0.1693,0.0203,44460.0,4446.0,10.0,small
R10S,20,Calibration,Deformation,2.70e-12,8.10e-13,1.218,0.183,0.1782,0.0214,44460.0,4446.0,10.0,small
R10S,30,Validation,Deformation,4.93e-12,1.48e-12,1.22,0.183,0.1781,0.0214,44460.0,4446.0,10.0,small
R10S,40,Calibration,Deformation,8.66e-12,2.60e-12,1.221,0.183,0.178,0.0214,44460.0,4446.0,10.0,small
R10S,50,Calibration,Deformation,1.47e-11,4.41e-12,1.223,0.183,0.1779,0.0213,44460.0,4446.0,10.0,small
R10S,60,Calibration,Deformation,2.41e-11,7.24e-12,1.224,0.184,0.1777,0.0213,44460.0,4446.0,10.0,small
R10S,70,Calibration,Deformation,3.85e-11,1.16e-11,1.226,0.184,0.1776,0.0213,44460.0,4446.0,10.0,small
R10S,80,Calibration,Deformation,5.99e-11,1.80e-11,1.227,0.184,0.1775,0.0213,44460.0,4446.0,10.0,small
R10S,90,Validation,Deformation,9.09e-11,2.73e-11,1.229,0.184,0.1774,0.0213,44460.0,4446.0,10.0,small
R10S,100,Calibration,Deformation,1.35e-10,4.05e-11,1.23,0.185,0.1773,0.0213,44460.0,4446.0,10.0,small
R10S,110,Calibration,Deformation,1.96e-10,5.88e-11,1.232,0.185,0.1772,0.0213,44460.0,4446.0,10.0,small
R10S,120,Calibration,Deformation,2.80e-10,8.39e-11,1.234,0.185,0.1771,0.0212,44460.0,4446.0,10.0,small
R10S,130,Calibration,Deformation,3.92e-10,1.18e-10,1.235,0.185,0.1769,0.0212,44460.0,4446.0,10.0,small
R10S,140,Calibration,Deformation,5.40e-10,1.62e-10,1.237,0.186,0.1768,0.0212,44460.0,4446.0,10.0,small
R10S,150,Calibration,Deformation,7.33e-10,2.20e-10,1.238,0.186,0.1767,0.0212,44460.0,4446.0,10.0,small
R10S,160,Calibration,Deformation,9.82e-10,2.95e-10,1.24,0.186,0.1766,0.0212,44460.0,4446.0,10.0,small
R10S,170,Calibration,Deformation,1.30e-09,3.89e-10,1.241,0.186,0.1765,0.0212,44460.0,4446.0,10.0,small
R10S,180,Calibration,Deformation,1.69e-09,5.08e-10,1.243,0.186,0.1764,0.0212,44460.0,4446.0,10.0,small
R10S,190,Calibration,Deformation,2.18e-09,6.55e-10,1.245,0.187,0.1763,0.0212,44460.0,4446.0,10.0,small
R10S,200,Calibration,Deformation,2.79e-09,8.36e-10,1.246,0.187,0.1761,0.0211,44460.0,4446.0,10.0,small
R10S,210,Calibration,Deformation,3.52e-09,1.06e-09,1.248,0.187,0.176,0.0211,44460.0,4446.0,10.0,small
R10S,220,Validation,Deformation,4.41e-09,1.32e-09,1.249,0.187,0.1759,0.0211,44460.0,4446.0,10.0,small
R10S,230,Calibration,Deformation,5.47e-09,1.64e-09,1.251,0.188,0.1758,0.0211,44460.0,4446.0,10.0,small
R10S,240,Calibration,Deformation,6.73e-09,2.02e-09,1.252,0.188,0.1757,0.0211,44460.0,4446.0,10.0,small
R10S,250,Calibration,Deformation,8.21e-09,2.46e-09,1.254,0.188,0.1756,0.0211,44460.0,4446.0,10.0,small
R10S,260,Validation,Deformation,9.95e-09,2.98e-09,1.255,0.188,0.1755,0.0211,44460.0,4446.0,10.0,small
R10S,270,Validation,Deformation,1.20e-08,3.59e-09,1.257,0.189,0.1753,0.021,44460.0,4446.0,10.0,small
R10S,280,Calibration,Deformation,1.43e-08,4.29e-09,1.259,0.189,0.1752,0.021,44460.0,4446.0,10.0,small
R10S,290,Calibration,Deformation,1.70e-08,5.09e-09,1.26,0.189,0.1751,0.021,44460.0,4446.0,10.0,small
R10S,300,Validation,Deformation,2.00e-08,6.01e-09,1.262,0.189,0.175,0.021,44460.0,4446.0,10.0,small
R10S,310,Calibration,Deformation,2.35e-08,7.05e-09,1.263,0.189,0.1749,0.021,44460.0,4446.0,10.0,small
R10S,320,Calibration,Deformation,2.74e-08,8.23e-09,1.265,0.19,0.1748,0.021,44460.0,4446.0,10.0,small
R10S,330,Calibration,Deformation,3.19e-08,9.56e-09,1.266,0.19,0.1747,0.021,44460.0,4446.0,10.0,small
R10S,340,Calibration,Deformation,3.68e-08,1.10e-08,1.268,0.19,0.1745,0.0209,44460.0,4446.0,10.0,small
R10S,350,Validation,Deformation,4.23e-08,1.27e-08,1.27,0.19,0.1744,0.0209,44460.0,4446.0,10.0,small
R10S,360,Validation,Deformation,4.85e-08,1.45e-08,1.271,0.191,0.1743,0.0209,44460.0,4446.0,10.0,small
R10S,370,Calibration,Deformation,5.53e-08,1.66e-08,1.273,0.191,0.1742,0.0209,44460.0,4446.0,10.0,small
R10S,380,Calibration,Deformation,6.28e-08,1.88e-08,1.274,0.191,0.1741,0.0209,44460.0,4446.0,10.0,small
R10S,390,Calibration,Deformation,7.11e-08,2.13e-08,1.276,0.191,0.174,0.0209,44460.0,4446.0,10.0,small
R10S,400,Validation,Deformation,8.01e-08,2.40e-08,1.277,0.192,0.1739,0.0209,44460.0,4446.0,10.0,small
R10S,410,Validation,Deformation,9.00e-08,2.70e-08,1.279,0.192,0.1737,0.0208,44460.0,4446.0,10.0,small
R10S,420,Validation,Deformation,1.01e-07,3.02e-08,1.28,0.192,0.1736,0.0208,44460.0,4446.0,10.0,small
R10S,430,Validation,Deformation,1.12e-07,3.37e-08,1.282,0.192,0.1735,0.0208,44460.0,4446.0,10.0,small
R10S,440,Calibration,Deformation,1.25e-07,3.75e-08,1.284,0.193,0.1734,0.0208,44460.0,4446.0,10.0,small
R10S,450,Calibration,Deformation,1.39e-07,4.16e-08,1.285,0.193,0.1733,0.0208,44460.0,4446.0,10.0,small
R10S,460,Calibration,Deformation,1.53e-07,4.60e-08,1.287,0.193,0.1732,0.0208,44460.0,4446.0,10.0,small
R10S,470,Validation,Deformation,1.69e-07,5.08e-08,1.288,0.193,0.1731,0.0208,44460.0,4446.0,10.0,small
R10S,480,Calibration,Deformation,1.86e-07,5.59e-08,1.29,0.193,0.1729,0.0208,44460.0,4446.0,10.0,small
R10S,490,Calibration,Deformation,2.04e-07,6.13e-08,1.291,0.194,0.1728,0.0207,44460.0,4446.0,10.0,small
R10S,500,Calibration,Deformation,2.24e-07,6.71e-08,1.293,0.194,0.1727,0.0207,44460.0,4446.0,10.0,small
R10S,510,Calibration,Deformation,2.44e-07,7.33e-08,1.295,0.194,0.1726,0.0207,44460.0,4446.0,10.0,small
R10S,520,Calibration,Deformation,2.66e-07,7.99e-08,1.296,0.194,0.1725,0.0207,44460.0,4446.0,10.0,small
R10S,530,Calibration,Deformation,2.90e-07,8.69e-08,1.298,0.195,0.1724,0.0207,44460.0,4446.0,10.0,small
R10S,540,Calibration,Deformation,3.14e-07,9.43e-08,1.299,0.195,0.1723,0.0207,44460.0,4446.0,10.0,small
R10S,550,Calibration,Deformation,3.41e-07,1.02e-07,1.301,0.195,0.1721,0.0207,44460.0,4446.0,10.0,small
R10S,560,Calibration,Deformation,3.68e-07,1.10e-07,1.302,0.195,0.172,0.0206,44460.0,4446.0,10.0,small
R10S,570,Calibration,Deformation,3.97e-07,1.19e-07,1.304,0.196,0.1719,0.0206,44460.0,4446.0,10.0,small
R10S,580,Validation,Deformation,4.28e-07,1.28e-07,1.305,0.196,0.1718,0.0206,44460.0,4446.0,10.0,small
R10S,590,Calibration,Deformation,4.60e-07,1.38e-07,1.307,0.196,0.1717,0.0206,44460.0,4446.0,10.0,small
R10S,600,Calibration,Deformation,4.94e-07,1.48e-07,1.309,0.196,0.1716,0.0206,44460.0,4446.0,10.0,small
