sample_id,interface,interface_condition,temperature_C,pO2_atm,log10_pO2,eta,beta33_over_beta11,Gc_bulk_Jm2,Gamma_i_Jm2,Gc_int_Jm2,sigma_max_MPa,characteristic_length_um,beta_pen_GPam,l0_nm,regulated_length_um,LSCF_delta,GDC_delta,newton_tol,mesh_h_nm,degradation_residual
11,YSZ/GDC,with_interdiffusion,798.54,6.356e-08,-7.1968,2.1,1.7155,4.7753,2.2717,2.7433,199.89,,105.399,5.3856,0.5,0.028713,0.006553,1e-06,1.7087,1e-06
12,GDC/LSCF,baseline,777.96,1.103e-09,-8.9574,2.1,1.8425,7.462,0.6155,0.7906,,0.3101,227.8585,9.7621,0.5,0.028926,0.007409,1e-08,3.6394,1e-06
13,GDC/LSCF,with_sr_segregation,637.18,4.160e-05,-4.3809,2.1,1.578,2.6756,0.7559,0.7358,,0.276,5041.8517,14.8816,0.5,0.015421,0.001744,1e-06,6.6345,1e-06
14,GDC/LSCF,baseline,860.91,1.977e-05,-4.7041,2.1,1.5668,5.674,1.137,1.0799,,0.2167,2596.8861,8.1549,0.5,0.030628,0.006218,1e-07,2.1782,1e-06
15,YSZ/GDC,baseline,688.85,3.046e-08,-7.5162,2.1,1.7499,2.9306,2.1491,1.8268,224.573,,831.0785,5.7361,0.5,0.021688,0.004589,3e-08,2.1854,1e-06
16,YSZ/GDC,baseline,787.83,1.150e-18,-17.9393,2.1,1.9712,2.9537,3.0594,2.3563,249.292,,482.5647,6.3107,0.5,0.037668,0.014073,1e-06,3.0386,1e-06
17,GDC/LSCF,baseline,799.49,1.885e-12,-11.7246,2.1,1.7582,6.0471,0.8993,0.9359,,0.2,130.7616,16.9178,0.5,0.032851,0.009831,3e-08,8.2657,1e-06
18,YSZ/GDC,with_interdiffusion,781.54,2.786e-19,-18.5551,2.1,1.837,5.4261,2.1406,2.7405,237.456,,813.7049,10.1668,0.5,0.037802,0.01439,3e-07,3.1637,1e-06
19,GDC/LSCF,with_sr_segregation,857.89,6.415e-18,-17.1928,2.1,1.7822,5.923,0.378,0.4624,,0.2182,442.7852,10.5966,0.5,0.041666,0.014937,1e-06,3.5172,1e-06
20,GDC/LSCF,with_sr_segregation,763.41,2.052e-03,-2.6879,2.1,1.6529,4.8021,0.7845,0.6328,,0.3015,219.3197,11.8716,0.5,0.022313,0.004268,3e-07,3.655,1e-06
21,GDC/LSCF,baseline,804.7,2.745e-12,-11.5615,2.1,1.8169,2.9652,0.9226,0.8452,,0.2064,692.4293,16.2178,0.5,0.033052,0.009818,1e-08,5.6367,1e-06
22,YSZ/GDC,with_interdiffusion,839.31,1.961e-07,-6.7075,2.1,1.6175,8.835,3.2,2.9556,235.562,,731.891,10.3298,0.5,0.030991,0.007016,1e-07,4.6389,1e-06
23,GDC/LSCF,with_sr_segregation,723.35,9.347e-15,-14.0293,2.1,1.9672,4.8578,0.5159,0.5775,,0.3119,999.424,18.0902,0.5,0.02985,0.009968,3e-08,8.925,1e-06
24,GDC/LSCF,with_sr_segregation,837.44,1.738e-06,-5.7599,2.1,1.5361,4.5518,0.3224,0.269,,0.3265,3721.1566,17.4992,0.5,0.030013,0.006296,1e-06,7.7465,1e-06
25,YSZ/GDC,with_interdiffusion,790.46,9.174e-05,-4.0374,2.1,1.6486,3.1971,1.9091,2.5362,193.27,,665.8085,17.9967,0.5,0.025331,0.004809,1e-08,4.9777,1e-06
26,YSZ/GDC,with_interdiffusion,762.24,4.943e-03,-2.306,2.1,1.8123,6.819,2.7604,2.9693,189.964,,4341.7293,17.9585,0.5,0.021891,0.004245,3e-07,7.7852,1e-06
27,YSZ/GDC,baseline,669.01,6.845e-02,-1.1646,2.1,1.6863,1.9607,1.3199,1.8397,218.273,,868.7636,5.1049,0.5,0.014649,0.00238,3e-07,1.5184,1e-06
28,YSZ/GDC,baseline,862.01,1.023e-06,-5.9899,2.1,1.7134,7.737,2.8671,2.4613,216.695,,1531.9944,16.7773,0.5,0.031858,0.006953,1e-08,8.2231,1e-06
29,GDC/LSCF,with_sr_segregation,637.67,1.292e-16,-15.8886,2.1,1.8969,3.1148,0.3595,0.4872,,0.3178,146.0722,5.9148,0.5,0.025811,0.009593,1e-07,2.9522,1e-06
30,YSZ/GDC,baseline,644.28,1.292e-18,-17.8889,2.1,1.8776,8.4698,1.9882,2.493,196.572,,217.233,6.3091,0.5,0.028052,0.011166,1e-07,2.377,1e-06
31,YSZ/GDC,baseline,760.63,6.998e-07,-6.155,2.1,1.8456,7.1576,1.4087,1.9506,202.218,,654.9113,11.173,0.5,0.025248,0.005044,3e-08,4.8731,1e-06
32,GDC/LSCF,with_sr_segregation,696.86,6.496e-15,-14.1874,2.1,1.947,7.87,0.2262,0.2647,,0.248,538.0675,9.5036,0.5,0.028226,0.009552,3e-08,2.4049,1e-06
33,GDC/LSCF,with_sr_segregation,652.82,2.416e-06,-5.6169,2.1,1.6767,3.399,0.4678,0.4508,,0.2553,189.5438,15.9467,0.5,0.017577,0.002501,3e-07,5.9413,1e-06
34,GDC/LSCF,with_sr_segregation,668.0,5.473e-04,-3.2618,2.1,1.9238,4.8413,0.201,0.2478,,0.3367,6983.8171,14.5616,0.5,0.016469,0.00236,1e-08,6.7762,1e-06
35,GDC/LSCF,with_sr_segregation,824.41,1.057e-14,-13.9761,2.1,1.8909,2.0565,0.4669,0.4751,,0.2534,771.821,16.3854,0.5,0.036539,0.011951,1e-06,4.9955,1e-06
36,GDC/LSCF,baseline,653.26,1.945e-03,-2.7111,2.1,1.5411,8.745,1.1113,0.975,,0.2887,351.6007,18.5212,0.5,0.01499,0.002065,3e-07,5.8488,1e-06
37,YSZ/GDC,with_interdiffusion,745.63,2.876e-03,-2.5411,2.1,1.7391,3.0235,2.3227,2.7247,227.231,,1331.0862,10.8132,0.5,0.020996,0.003913,3e-07,4.2498,1e-06
38,GDC/LSCF,with_sr_segregation,652.08,4.495e-14,-13.3472,2.1,1.7183,9.1415,0.2408,0.2284,,0.2706,195.1454,9.2397,0.5,0.024484,0.008052,1e-08,2.4268,1e-06
39,GDC/LSCF,with_sr_segregation,830.89,1.472e-02,-1.8321,2.1,1.6038,4.8331,0.3312,0.4703,,0.3155,347.7003,18.9751,0.5,0.026041,0.005618,1e-06,7.0856,1e-06
40,GDC/LSCF,baseline,825.38,1.004e-18,-17.9982,2.1,1.8819,9.6686,1.4309,1.2769,,0.3243,115.241,19.2358,0.5,0.040224,0.014866,1e-08,5.4829,1e-06
41,YSZ/GDC,baseline,720.4,1.834e-16,-15.7365,2.1,1.9194,7.037,2.515,2.0686,185.31,,113.1943,7.7749,0.5,0.03119,0.011138,1e-07,2.0031,1e-06
42,YSZ/GDC,with_interdiffusion,722.14,3.712e-20,-19.4304,2.1,1.696,2.2541,2.2493,2.7924,238.513,,2484.6153,15.5971,0.5,0.03463,0.013833,3e-07,4.7726,1e-06
43,GDC/LSCF,with_sr_segregation,807.15,4.105e-15,-14.3867,2.1,1.6593,2.6786,0.593,0.72,,0.2404,6603.409,17.5397,0.5,0.035758,0.011902,1e-06,4.5991,1e-06
44,GDC/LSCF,with_sr_segregation,804.57,2.372e-06,-5.625,2.1,1.7122,9.8718,0.5488,0.6767,,0.1801,128.8529,14.0513,0.5,0.027701,0.005541,1e-07,3.6143,1e-06
45,YSZ/GDC,with_interdiffusion,785.11,2.393e-18,-17.621,2.1,1.8504,4.3953,3.2,3.0603,202.127,,3441.0198,7.2047,0.5,0.0372,0.013789,1e-06,3.1972,1e-06
46,YSZ/GDC,baseline,816.68,1.296e-13,-12.8874,2.1,1.6994,5.1191,1.96,1.8705,188.816,,7572.6383,9.2501,0.5,0.035044,0.011013,1e-06,3.7908,1e-06
47,GDC/LSCF,baseline,751.31,5.433e-09,-8.265,2.1,1.6384,8.2672,0.5827,0.5501,,0.2687,936.2611,7.1778,0.5,0.026526,0.006377,1e-08,2.2467,1e-06
48,GDC/LSCF,with_sr_segregation,816.46,1.010e-16,-15.9955,2.1,1.8933,7.6928,0.6205,0.6152,,0.212,635.7759,8.8256,0.5,0.037827,0.013246,3e-07,3.7414,1e-06
49,YSZ/GDC,baseline,767.49,5.794e-03,-2.237,2.1,1.5853,7.1959,2.7456,2.363,234.201,,358.1625,14.0958,0.5,0.022179,0.00435,1e-06,7.0399,1e-06
50,YSZ/GDC,with_interdiffusion,773.61,2.362e-06,-5.6267,2.1,1.7682,3.4487,3.2,3.0302,185.292,,1684.7078,10.2476,0.5,0.025638,0.004923,1e-06,4.4635,1e-06
51,GDC/LSCF,with_sr_segregation,629.07,7.149e-14,-13.1458,2.1,1.7567,4.5366,0.6884,0.6355,,0.2623,224.2172,19.5211,0.5,0.022769,0.007446,3e-07,7.2985,1e-06
52,YSZ/GDC,with_interdiffusion,895.49,6.490e-07,-6.1878,2.1,1.6197,1.7423,3.2,3.148,218.045,,148.4451,5.9155,0.5,0.034268,0.007765,3e-07,2.9324,1e-06
53,GDC/LSCF,baseline,806.8,1.934e-13,-12.7135,2.1,1.6851,8.9559,0.7153,0.721,,0.2318,736.1069,11.7713,0.5,0.034228,0.01069,1e-06,4.6723,1e-06
54,GDC/LSCF,with_sr_segregation,788.04,1.202e-13,-12.9201,2.1,1.8844,2.1779,0.5551,0.6587,,0.2638,1108.1641,14.5894,0.5,0.033164,0.010463,3e-08,6.8168,1e-06
55,GDC/LSCF,baseline,662.59,2.788e-04,-3.5546,2.1,1.6581,9.2701,0.8398,0.7187,,0.2541,850.87,7.9216,0.5,0.016372,0.002252,3e-07,2.9589,1e-06
56,GDC/LSCF,baseline,845.34,8.922e-05,-4.0495,2.1,1.7843,1.8856,1.074,0.985,,0.1845,111.4435,12.8425,0.5,0.029001,0.005907,1e-06,4.2067,1e-06
57,GDC/LSCF,baseline,872.57,3.223e-07,-6.4918,2.1,1.6463,3.0915,0.7944,0.8444,,0.2713,262.0122,5.4374,0.5,0.033014,0.007525,3e-07,2.52,1e-06
58,GDC/LSCF,baseline,765.12,7.867e-03,-2.1042,2.1,1.6027,6.643,1.4061,1.3315,,0.3425,131.7098,10.5425,0.5,0.021902,0.004302,1e-08,4.353,1e-06
59,YSZ/GDC,with_interdiffusion,793.08,8.387e-06,-5.0764,2.1,1.6881,5.1581,3.2,2.8887,256.86,,2340.3879,19.7642,0.5,0.026441,0.004917,1e-06,5.3441,1e-06
60,GDC/LSCF,baseline,817.17,4.890e-14,-13.3107,2.1,1.5113,6.8273,0.8512,1.1769,,0.2757,640.2962,8.9716,0.5,0.035458,0.011327,1e-06,4.2805,1e-06
61,GDC/LSCF,baseline,712.94,6.090e-20,-19.2154,2.1,1.7328,3.1709,1.4056,1.2009,,0.2606,3285.1203,12.6061,0.5,0.033823,0.013494,3e-08,5.0608,1e-06
62,GDC/LSCF,baseline,705.93,1.116e-08,-7.9522,2.1,1.8029,2.7895,1.5157,1.2917,,0.2939,426.1778,19.0031,0.5,0.023219,0.005244,1e-07,6.9057,1e-06
63,YSZ/GDC,baseline,705.14,2.181e-03,-2.6613,2.1,1.6755,2.2415,1.8026,2.0986,188.691,,7047.6226,9.9841,0.5,0.018404,0.003103,3e-08,4.8693,1e-06
64,YSZ/GDC,with_interdiffusion,668.8,2.564e-14,-13.5911,2.1,1.783,4.8972,2.2315,2.8677,210.311,,2548.8317,14.0272,0.5,0.025818,0.008562,1e-07,3.5707,1e-06
65,GDC/LSCF,baseline,655.23,1.619e-13,-12.7907,2.1,1.6051,6.8897,0.6378,0.8884,,0.208,2865.1236,16.0811,0.5,0.024194,0.007714,3e-08,5.8659,1e-06
66,YSZ/GDC,baseline,799.09,1.427e-12,-11.8455,2.1,1.7976,4.228,2.1672,1.9234,229.903,,8619.7004,5.7947,0.5,0.032934,0.009911,3e-07,2.789,1e-06
67,GDC/LSCF,baseline,862.95,8.118e-15,-14.0906,2.1,1.6049,7.8643,0.9831,1.364,,0.2695,116.1932,6.9294,0.5,0.039211,0.012804,1e-06,2.9491,1e-06
68,GDC/LSCF,with_sr_segregation,747.55,6.242e-05,-4.2047,2.1,1.7135,6.9029,0.4994,0.6936,,0.3394,249.3786,6.8056,0.5,0.022621,0.003951,1e-06,2.1887,1e-06
69,YSZ/GDC,with_interdiffusion,619.43,2.358e-15,-14.6274,2.1,1.9192,3.8323,2.3036,2.7528,224.595,,149.813,11.981,0.5,0.02346,0.00832,1e-06,4.8171,1e-06
70,GDC/LSCF,baseline,675.23,2.454e-07,-6.61,2.1,1.5671,4.9736,0.6703,0.7618,,0.2739,185.9062,15.2991,0.5,0.019964,0.003664,1e-08,6.7302,1e-06
71,GDC/LSCF,with_sr_segregation,783.21,2.532e-08,-7.5966,2.1,1.8904,2.4086,0.2947,0.3773,,0.3385,315.1503,13.223,0.5,0.028051,0.006534,3e-07,6.5058,1e-06
72,GDC/LSCF,baseline,847.69,5.543e-11,-10.2563,2.1,1.647,8.1378,0.908,0.7429,,0.2149,1266.4468,12.7256,0.5,0.034743,0.009738,3e-08,3.7457,1e-06
73,GDC/LSCF,with_sr_segregation,807.83,2.267e-17,-16.6445,2.1,1.6909,5.4799,0.4771,0.41,,0.3208,541.895,7.7065,0.5,0.037835,0.013541,1e-06,3.4084,1e-06
74,YSZ/GDC,with_interdiffusion,756.99,3.187e-18,-17.4966,2.1,1.7689,3.0897,2.94,3.1588,191.172,,291.7664,13.4173,0.5,0.035213,0.013137,1e-07,3.5425,1e-06
75,GDC/LSCF,baseline,730.86,3.924e-20,-19.4063,2.1,1.76,2.3923,1.0846,1.4769,,0.3399,5434.9445,11.6268,0.5,0.03519,0.01399,1e-06,5.5765,1e-06
76,GDC/LSCF,baseline,835.7,2.722e-12,-11.565,2.1,1.6285,4.7734,0.7352,0.848,,0.2191,4966.6514,5.4388,0.5,0.035122,0.010441,1e-07,2.6356,1e-06
77,GDC/LSCF,baseline,873.6,9.731e-03,-2.0118,2.1,1.5607,7.2101,1.7403,1.3785,,0.2051,996.7171,6.0692,0.5,0.029051,0.006472,1e-06,2.0636,1e-06
78,GDC/LSCF,baseline,676.84,6.257e-15,-14.2037,2.1,1.6612,7.7874,0.7069,0.8909,,0.2895,287.574,15.7894,0.5,0.026906,0.009163,1e-07,6.041,1e-06
79,YSZ/GDC,baseline,833.14,1.468e-11,-10.8333,2.1,1.8608,9.0252,2.926,2.3287,220.966,,5806.301,8.4659,0.5,0.034292,0.009863,1e-07,2.6198,1e-06
80,GDC/LSCF,with_sr_segregation,751.43,2.061e-09,-8.6858,2.1,1.7594,9.1101,0.2,0.2554,,0.2934,513.6834,17.6343,0.5,0.026913,0.006682,1e-08,6.7711,1e-06
81,GDC/LSCF,baseline,614.29,6.741e-16,-15.1713,2.1,1.8673,5.4027,0.8168,1.1049,,0.2261,3399.5724,8.8127,0.5,0.023607,0.008609,1e-07,4.0183,1e-06
82,YSZ/GDC,baseline,800.96,6.681e-19,-18.1752,2.1,1.6041,8.7384,1.9025,2.1708,201.69,,2900.1406,10.4596,0.5,0.038755,0.014505,1e-06,3.5545,1e-06
83,GDC/LSCF,baseline,610.66,5.639e-17,-16.2488,2.1,1.71,2.8482,0.6367,0.5233,,0.1998,4124.1919,6.0811,0.5,0.024334,0.009312,3e-08,1.7144,1e-06
84,GDC/LSCF,baseline,728.42,7.925e-13,-12.101,2.1,1.9058,5.3667,0.9252,0.8137,,0.298,291.5216,9.9278,0.5,0.028452,0.008681,1e-07,3.4388,1e-06
85,YSZ/GDC,with_interdiffusion,687.33,4.121e-12,-11.385,2.1,1.7538,2.5078,2.6793,2.9597,205.224,,1190.8934,15.4531,0.5,0.025069,0.007344,3e-08,4.7398,1e-06
86,YSZ/GDC,with_interdiffusion,815.46,3.161e-20,-19.5001,2.1,1.7509,8.6535,3.1595,2.6481,259.763,,655.7429,19.0273,0.5,0.040914,0.015749,3e-08,7.189,1e-06
87,YSZ/GDC,with_interdiffusion,607.93,2.958e-05,-4.529,2.1,1.82,5.8366,3.2,3.1166,243.872,,224.6773,15.3003,0.5,0.013605,0.001159,3e-08,6.1028,1e-06
88,GDC/LSCF,with_sr_segregation,642.33,9.603e-04,-3.0176,2.1,1.6733,3.8686,0.4286,0.3869,,0.3178,102.322,7.6471,0.5,0.014538,0.001847,1e-06,2.735,1e-06
89,GDC/LSCF,with_sr_segregation,748.92,3.667e-02,-1.4357,2.1,1.8411,7.8233,0.3778,0.4688,,0.3178,369.7271,16.6387,0.5,0.02022,0.003978,3e-08,5.4075,1e-06
90,GDC/LSCF,with_sr_segregation,730.96,1.229e-11,-10.9106,2.1,1.8722,4.4676,0.585,0.6498,,0.1945,1062.8093,5.1088,0.5,0.02755,0.007875,1e-08,1.6304,1e-06
91,YSZ/GDC,with_interdiffusion,615.98,2.004e-17,-16.6981,2.1,1.9803,5.3251,2.1602,2.5711,204.833,,7153.2891,7.1469,0.5,0.025094,0.009742,1e-06,2.2326,1e-06
92,YSZ/GDC,baseline,790.97,8.293e-03,-2.0813,2.1,1.6982,7.1987,1.9639,2.2791,195.85,,805.5193,18.3753,0.5,0.023605,0.004819,3e-07,8.1011,1e-06
93,YSZ/GDC,baseline,788.39,3.285e-12,-11.4834,2.1,1.823,3.1523,2.0832,2.1896,198.483,,9523.9105,11.2436,0.5,0.031894,0.009436,3e-08,3.3356,1e-06
94,YSZ/GDC,with_interdiffusion,707.6,2.008e-14,-13.6973,2.1,1.6809,3.5989,2.6564,2.6303,215.338,,487.4186,12.8306,0.5,0.028501,0.009414,3e-08,3.3228,1e-06
95,YSZ/GDC,baseline,674.28,4.816e-02,-1.3173,2.1,1.8279,4.8802,2.7809,2.4111,194.573,,174.1631,19.8197,0.5,0.015138,0.002486,3e-08,8.9411,1e-06
96,YSZ/GDC,with_interdiffusion,836.35,4.585e-09,-8.3386,2.1,1.7097,6.1948,3.2,2.8315,209.655,,587.2161,7.5726,0.5,0.032262,0.008131,1e-07,3.2479,1e-06
97,GDC/LSCF,with_sr_segregation,681.01,3.282e-19,-18.4839,2.1,1.7348,4.8176,0.2364,0.259,,0.2747,617.1244,14.0395,0.5,0.031036,0.012329,3e-07,5.3331,1e-06
98,GDC/LSCF,baseline,844.29,3.382e-09,-8.4709,2.1,1.5612,3.0425,1.022,1.3971,,0.2124,110.8229,19.0595,0.5,0.03291,0.008385,3e-07,5.2732,1e-06
99,GDC/LSCF,baseline,729.08,3.513e-16,-15.4543,2.1,1.9006,5.1669,1.2371,1.4382,,0.1896,2036.0452,18.617,0.5,0.031514,0.011109,1e-08,6.1979,1e-06
100,YSZ/GDC,baseline,763.66,1.158e-03,-2.9363,2.1,1.7935,5.7226,2.4759,2.2126,209.986,,1007.7977,11.9004,0.5,0.022553,0.004273,1e-06,5.0813,1e-06
101,GDC/LSCF,baseline,683.81,1.187e-16,-15.9256,2.1,1.9583,3.2246,1.1414,0.9217,,0.2581,529.1338,18.6633,0.5,0.02892,0.010543,1e-07,4.8727,1e-06
102,GDC/LSCF,with_sr_segregation,621.78,1.680e-11,-10.7746,2.1,1.7793,2.986,0.5294,0.5699,,0.1977,3771.5653,12.3488,0.5,0.020149,0.005593,1e-08,3.7794,1e-06
103,GDC/LSCF,with_sr_segregation,732.03,3.579e-03,-2.4463,2.1,1.7471,6.0443,0.5004,0.4696,,0.2409,136.9981,11.9537,0.5,0.020003,0.003641,1e-07,5.8265,1e-06
104,YSZ/GDC,baseline,812.38,1.750e-01,-0.7571,2.1,1.8495,2.5697,2.483,2.0735,258.826,,6943.8695,9.9024,0.5,0.02384,0.005248,3e-07,2.6293,1e-06
105,YSZ/GDC,with_interdiffusion,835.12,2.487e-13,-12.6043,2.1,1.7103,2.8468,2.2214,3.1699,198.531,,379.9391,11.2724,0.5,0.036018,0.011177,3e-08,3.0126,1e-06
106,YSZ/GDC,baseline,705.87,5.871e-03,-2.2313,2.1,1.9183,6.9375,2.6738,2.1049,190.314,,903.1194,15.4467,0.5,0.018066,0.003117,1e-07,5.0436,1e-06
107,GDC/LSCF,baseline,601.38,1.393e-04,-3.8561,2.1,1.7041,4.4219,0.9024,0.948,,0.1906,129.8503,11.5538,0.5,0.012563,0.001028,3e-07,3.1574,1e-06
108,GDC/LSCF,baseline,768.11,4.597e-17,-16.3375,2.1,1.7003,7.0036,0.5783,0.6342,,0.2791,4272.7304,9.3323,0.5,0.034911,0.012525,3e-08,2.5382,1e-06
109,YSZ/GDC,baseline,711.53,1.492e-01,-0.8261,2.1,1.7633,4.9635,2.7633,2.1518,228.828,,7320.9508,14.634,0.5,0.017179,0.003231,1e-07,4.6149,1e-06
110,GDC/LSCF,baseline,739.08,2.356e-06,-5.6278,2.1,1.6817,3.4647,1.7455,1.4166,,0.3498,104.4795,9.5805,0.5,0.023337,0.004234,1e-07,3.3495,1e-06
111,GDC/LSCF,baseline,762.28,7.192e-01,-0.1432,2.1,1.7299,8.2424,0.6406,0.64,,0.1988,592.5706,15.5473,0.5,0.019947,0.004246,3e-07,6.6592,1e-06
112,GDC/LSCF,with_sr_segregation,644.1,5.308e-11,-10.2751,2.1,1.7487,6.8651,0.4176,0.3269,,0.3388,132.0971,17.1004,0.5,0.021187,0.00568,3e-08,7.4792,1e-06
113,GDC/LSCF,with_sr_segregation,658.59,1.442e-08,-7.8411,2.1,1.6682,5.136,0.5373,0.4308,,0.2526,206.1873,8.0241,0.5,0.019963,0.004217,1e-08,3.9563,1e-06
114,GDC/LSCF,with_sr_segregation,881.27,1.862e-05,-4.7301,2.1,1.5739,5.0829,0.6484,0.5428,,0.3252,252.5158,13.6209,0.5,0.032009,0.006625,1e-06,6.7992,1e-06
115,GDC/LSCF,baseline,878.42,2.825e-08,-7.549,2.1,1.7546,2.0245,1.0122,0.8373,,0.2634,150.9515,5.2886,0.5,0.034355,0.008404,3e-08,2.1712,1e-06
116,YSZ/GDC,baseline,840.4,6.404e-01,-0.1935,2.1,1.5908,2.4364,2.4271,1.9372,259.768,,112.5983,10.0853,0.5,0.025201,0.005808,1e-06,3.8297,1e-06
117,YSZ/GDC,baseline,871.28,2.478e-17,-16.6059,2.1,1.783,8.848,1.6061,2.1657,202.158,,4102.0257,6.1679,0.5,0.04203,0.014782,3e-07,2.2855,1e-06
118,GDC/LSCF,baseline,766.23,1.932e-15,-14.714,2.1,1.8402,4.8286,1.1122,1.196,,0.2158,350.0168,19.153,0.5,0.033324,0.011319,1e-06,6.3601,1e-06
119,YSZ/GDC,baseline,649.04,3.455e-04,-3.4615,2.1,1.7717,1.6305,2.3423,1.8102,193.152,,372.5261,16.9737,0.5,0.015385,0.001981,1e-07,6.3835,1e-06
120,YSZ/GDC,with_interdiffusion,798.12,5.986e-19,-18.2228,2.1,1.9087,6.131,3.2,3.0884,253.718,,6212.2341,17.8907,0.5,0.038609,0.014483,1e-06,6.9084,1e-06
121,GDC/LSCF,with_sr_segregation,621.62,5.633e-08,-7.2492,2.1,1.8194,7.3022,0.2,0.2353,,0.2695,614.3812,9.0837,0.5,0.016966,0.003052,1e-07,4.2404,1e-06
122,YSZ/GDC,baseline,780.79,6.801e-10,-9.1674,2.1,1.8003,9.8732,2.0246,1.8521,191.614,,1761.223,6.0558,0.5,0.029303,0.007616,3e-08,2.327,1e-06
123,GDC/LSCF,baseline,657.48,4.463e-02,-1.3503,2.1,1.6957,8.4134,1.0321,1.0686,,0.3335,767.5703,13.3387,0.5,0.014047,0.00215,1e-08,4.1023,1e-06
124,GDC/LSCF,with_sr_segregation,687.47,2.211e-17,-16.6553,2.1,1.5732,8.5061,0.2,0.2636,,0.2689,468.7843,6.9435,0.5,0.029821,0.011141,1e-08,2.7357,1e-06
125,GDC/LSCF,baseline,853.15,2.903e-19,-18.5372,2.1,1.5316,7.514,0.9797,0.9338,,0.2994,6821.9474,9.1607,0.5,0.04256,0.01581,1e-06,4.3681,1e-06
126,YSZ/GDC,baseline,703.78,6.321e-01,-0.1992,2.1,1.8392,6.325,2.1142,2.2771,207.734,,4443.2638,9.3596,0.5,0.016098,0.003076,1e-08,2.8146,1e-06
127,YSZ/GDC,baseline,819.01,2.104e-06,-5.677,2.1,1.6979,6.4649,2.3283,2.3546,214.049,,3755.2382,12.535,0.5,0.02871,0.005868,3e-08,4.2069,1e-06
128,GDC/LSCF,with_sr_segregation,833.52,1.204e-03,-2.9196,2.1,1.6237,3.2763,0.6588,0.7015,,0.3322,2359.8289,7.292,0.5,0.027195,0.00567,3e-08,3.361,1e-06
129,YSZ/GDC,with_interdiffusion,894.76,2.884e-17,-16.54,2.1,1.6813,9.1683,3.2,3.0647,203.119,,1089.1579,8.3038,0.5,0.043537,0.015204,1e-07,2.6823,1e-06
130,YSZ/GDC,baseline,877.63,1.694e-18,-17.7712,2.1,1.7707,9.5581,2.5565,2.4169,223.774,,9703.2384,7.4823,0.5,0.043503,0.015748,3e-07,2.3294,1e-06
131,YSZ/GDC,baseline,740.82,5.702e-08,-7.244,2.1,1.5301,8.615,2.0463,2.1085,232.306,,437.7609,9.2626,0.5,0.024908,0.005432,3e-08,4.1331,1e-06
132,YSZ/GDC,baseline,661.67,3.128e-20,-19.5048,2.1,1.6934,4.2401,1.7671,2.2904,259.174,,732.7471,18.0029,0.5,0.030666,0.012677,3e-07,5.1915,1e-06
133,GDC/LSCF,baseline,779.24,8.197e-12,-11.0863,2.1,1.6489,3.4159,0.8017,0.8741,,0.2294,1799.9758,12.7247,0.5,0.030927,0.008967,1e-06,3.2507,1e-06
