material,temperature_C,delta_nonstoichiometry,alpha_chem_per_delta,epsilon_ch,epsilon_ch_microstrain,equation
GDC,600,0.022,0.02,0.000506,506.0,epsilon_ch = alpha_chem * delta * (1 + 0.15 * delta/0.022)
GDC,700,0.0,0.022667,0.0,0.0,epsilon_ch = alpha_chem * delta * (1 + 0.15 * delta/0.022)
GDC,700,0.001048,0.022667,2.392e-05,23.92,epsilon_ch = alpha_chem * delta * (1 + 0.15 * delta/0.022)
GDC,700,0.002095,0.022667,4.817e-05,48.17,epsilon_ch = alpha_chem * delta * (1 + 0.15 * delta/0.022)
GDC,700,0.003143,0.022667,7.276e-05,72.76,epsilon_ch = alpha_chem * delta * (1 + 0.15 * delta/0.022)
GDC,700,0.00419,0.022667,9.77e-05,97.7,epsilon_ch = alpha_chem * delta * (1 + 0.15 * delta/0.022)
GDC,700,0.005238,0.022667,0.00012297,122.97,epsilon_ch = alpha_chem * delta * (1 + 0.15 * delta/0.022)
GDC,700,0.006286,0.022667,0.00014858,148.58,epsilon_ch = alpha_chem * delta * (1 + 0.15 * delta/0.022)
GDC,700,0.007333,0.022667,0.00017453,174.53,epsilon_ch = alpha_chem * delta * (1 + 0.15 * delta/0.022)
GDC,700,0.008381,0.022667,0.00020082,200.82,epsilon_ch = alpha_chem * delta * (1 + 0.15 * delta/0.022)
GDC,700,0.009429,0.022667,0.00022745,227.45,epsilon_ch = alpha_chem * delta * (1 + 0.15 * delta/0.022)
GDC,700,0.010476,0.022667,0.00025442,254.42,epsilon_ch = alpha_chem * delta * (1 + 0.15 * delta/0.022)
GDC,700,0.011524,0.022667,0.00028173,281.73,epsilon_ch = alpha_chem * delta * (1 + 0.15 * delta/0.022)
GDC,700,0.012571,0.022667,0.00030938,309.38,epsilon_ch = alpha_chem * delta * (1 + 0.15 * delta/0.022)
GDC,700,0.013619,0.022667,0.00033736,337.36,epsilon_ch = alpha_chem * delta * (1 + 0.15 * delta/0.022)
GDC,700,0.014667,0.022667,0.00036569,365.69,epsilon_ch = alpha_chem * delta * (1 + 0.15 * delta/0.022)
GDC,700,0.015714,0.022667,0.00039435,394.35,epsilon_ch = alpha_chem * delta * (1 + 0.15 * delta/0.022)
GDC,700,0.016762,0.022667,0.00042336,423.36,epsilon_ch = alpha_chem * delta * (1 + 0.15 * delta/0.022)
GDC,700,0.01781,0.022667,0.0004527,452.7,epsilon_ch = alpha_chem * delta * (1 + 0.15 * delta/0.022)
GDC,700,0.018857,0.022667,0.00048238,482.38,epsilon_ch = alpha_chem * delta * (1 + 0.15 * delta/0.022)
GDC,700,0.019905,0.022667,0.00051241,512.41,epsilon_ch = alpha_chem * delta * (1 + 0.15 * delta/0.022)
GDC,700,0.020952,0.022667,0.00054277,542.77,epsilon_ch = alpha_chem * delta * (1 + 0.15 * delta/0.022)
GDC,700,0.022,0.022667,0.00057347,573.47,epsilon_ch = alpha_chem * delta * (1 + 0.15 * delta/0.022)
GDC,800,0.0,0.025333,0.0,0.0,epsilon_ch = alpha_chem * delta * (1 + 0.15 * delta/0.022)
GDC,800,0.001048,0.025333,2.673e-05,26.73,epsilon_ch = alpha_chem * delta * (1 + 0.15 * delta/0.022)
GDC,800,0.002095,0.025333,5.384e-05,53.84,epsilon_ch = alpha_chem * delta * (1 + 0.15 * delta/0.022)
GDC,800,0.003143,0.025333,8.133e-05,81.33,epsilon_ch = alpha_chem * delta * (1 + 0.15 * delta/0.022)
GDC,800,0.00419,0.025333,0.00010919,109.19,epsilon_ch = alpha_chem * delta * (1 + 0.15 * delta/0.022)
GDC,800,0.005238,0.025333,0.00013744,137.44,epsilon_ch = alpha_chem * delta * (1 + 0.15 * delta/0.022)
GDC,800,0.006286,0.025333,0.00016606,166.06,epsilon_ch = alpha_chem * delta * (1 + 0.15 * delta/0.022)
GDC,800,0.007333,0.025333,0.00019507,195.07,epsilon_ch = alpha_chem * delta * (1 + 0.15 * delta/0.022)
GDC,800,0.008381,0.025333,0.00022445,224.45,epsilon_ch = alpha_chem * delta * (1 + 0.15 * delta/0.022)
GDC,800,0.009429,0.025333,0.00025421,254.21,epsilon_ch = alpha_chem * delta * (1 + 0.15 * delta/0.022)
GDC,800,0.010476,0.025333,0.00028435,284.35,epsilon_ch = alpha_chem * delta * (1 + 0.15 * delta/0.022)
GDC,800,0.011524,0.025333,0.00031487,314.87,epsilon_ch = alpha_chem * delta * (1 + 0.15 * delta/0.022)
GDC,800,0.012571,0.025333,0.00034577,345.77,epsilon_ch = alpha_chem * delta * (1 + 0.15 * delta/0.022)
GDC,800,0.013619,0.025333,0.00037705,377.05,epsilon_ch = alpha_chem * delta * (1 + 0.15 * delta/0.022)
GDC,800,0.014667,0.025333,0.00040871,408.71,epsilon_ch = alpha_chem * delta * (1 + 0.15 * delta/0.022)
GDC,800,0.015714,0.025333,0.00044075,440.75,epsilon_ch = alpha_chem * delta * (1 + 0.15 * delta/0.022)
GDC,800,0.016762,0.025333,0.00047316,473.16,epsilon_ch = alpha_chem * delta * (1 + 0.15 * delta/0.022)
GDC,800,0.01781,0.025333,0.00050596,505.96,epsilon_ch = alpha_chem * delta * (1 + 0.15 * delta/0.022)
GDC,800,0.018857,0.025333,0.00053913,539.13,epsilon_ch = alpha_chem * delta * (1 + 0.15 * delta/0.022)
GDC,800,0.019905,0.025333,0.00057269,572.69,epsilon_ch = alpha_chem * delta * (1 + 0.15 * delta/0.022)
GDC,800,0.020952,0.025333,0.00060662,606.62,epsilon_ch = alpha_chem * delta * (1 + 0.15 * delta/0.022)
GDC,800,0.022,0.025333,0.00064093,640.93,epsilon_ch = alpha_chem * delta * (1 + 0.15 * delta/0.022)
GDC,900,0.0,0.028,0.0,0.0,epsilon_ch = alpha_chem * delta * (1 + 0.15 * delta/0.022)
GDC,900,0.001048,0.028,2.954e-05,29.54,epsilon_ch = alpha_chem * delta * (1 + 0.15 * delta/0.022)
GDC,900,0.002095,0.028,5.95e-05,59.5,epsilon_ch = alpha_chem * delta * (1 + 0.15 * delta/0.022)
GDC,900,0.003143,0.028,8.989e-05,89.89,epsilon_ch = alpha_chem * delta * (1 + 0.15 * delta/0.022)
GDC,900,0.00419,0.028,0.00012069,120.69,epsilon_ch = alpha_chem * delta * (1 + 0.15 * delta/0.022)
GDC,900,0.005238,0.028,0.0001519,151.9,epsilon_ch = alpha_chem * delta * (1 + 0.15 * delta/0.022)
GDC,900,0.006286,0.028,0.00018354,183.54,epsilon_ch = alpha_chem * delta * (1 + 0.15 * delta/0.022)
GDC,900,0.007333,0.028,0.0002156,215.6,epsilon_ch = alpha_chem * delta * (1 + 0.15 * delta/0.022)
GDC,900,0.008381,0.028,0.00024808,248.08,epsilon_ch = alpha_chem * delta * (1 + 0.15 * delta/0.022)
GDC,900,0.009429,0.028,0.00028097,280.97,epsilon_ch = alpha_chem * delta * (1 + 0.15 * delta/0.022)
GDC,900,0.010476,0.028,0.00031429,314.29,epsilon_ch = alpha_chem * delta * (1 + 0.15 * delta/0.022)
GDC,900,0.011524,0.028,0.00034802,348.02,epsilon_ch = alpha_chem * delta * (1 + 0.15 * delta/0.022)
GDC,900,0.012571,0.028,0.00038217,382.17,epsilon_ch = alpha_chem * delta * (1 + 0.15 * delta/0.022)
GDC,900,0.013619,0.028,0.00041674,416.74,epsilon_ch = alpha_chem * delta * (1 + 0.15 * delta/0.022)
GDC,900,0.014667,0.028,0.00045173,451.73,epsilon_ch = alpha_chem * delta * (1 + 0.15 * delta/0.022)
GDC,900,0.015714,0.028,0.00048714,487.14,epsilon_ch = alpha_chem * delta * (1 + 0.15 * delta/0.022)
GDC,900,0.016762,0.028,0.00052297,522.97,epsilon_ch = alpha_chem * delta * (1 + 0.15 * delta/0.022)
GDC,900,0.01781,0.028,0.00055922,559.22,epsilon_ch = alpha_chem * delta * (1 + 0.15 * delta/0.022)
GDC,900,0.018857,0.028,0.00059589,595.89,epsilon_ch = alpha_chem * delta * (1 + 0.15 * delta/0.022)
GDC,900,0.019905,0.028,0.00063297,632.97,epsilon_ch = alpha_chem * delta * (1 + 0.15 * delta/0.022)
GDC,900,0.020952,0.028,0.00067048,670.48,epsilon_ch = alpha_chem * delta * (1 + 0.15 * delta/0.022)
GDC,900,0.022,0.028,0.0007084,708.4,epsilon_ch = alpha_chem * delta * (1 + 0.15 * delta/0.022)
