Material,Temperature_C,Ionic_Conductivity_Sperm,Electronic_Conductivity_Sperm,Total_Conductivity_Sperm,Transport_Number_Ionic
FSS,680,1e-12,817862.1841901235,798124.7271006277,0.0001
FSS,700,1e-12,838783.3283224627,808541.628633189,0.0001
FSS,720,1e-12,810493.2106758612,818666.8128538376,0.0001
FSS,740,1e-12,816606.1655547835,828511.6120503475,0.0001
FSS,760,1e-12,851219.0833938093,838086.8384293596,0.0001
FSS,780,1e-12,859406.5431701666,847402.8075101213,0.0001
FSS,800,1e-12,869756.2036527646,856469.3610873036,0.0001
FSS,820,1e-12,897991.6564525167,865295.8896129061,0.0001
FSS,840,1e-12,874090.0751895546,873891.3538896842,0.0001
FSS,860,1e-12,889783.9604288809,882264.3060019921,0.0001
FSS,880,1e-12,872963.7062509727,890422.9094362331,0.0001
FSS,900,1e-12,936741.3388805591,898374.9583636603,0.0001
FSS,920,1e-12,900028.8412464471,906127.8960742407,0.0001
FSS,940,1e-12,908056.5635310112,913688.8325625805,0.0001
FSS,960,1e-12,914676.9805515879,921064.5612762698,0.0001
FSS,980,1e-12,916288.9341343291,928261.5750440203,0.0001
FSS,1000,1e-12,921641.4348280535,935286.0812061189,0.0001
