Material,Temperature_C,Stress_MPa,Time_hours,Creep_Strain_percent
8YSZ,700,75,464.6464646464646,7.253499955484586e-34
8YSZ,700,75,474.7474747474747,7.036830854378809e-34
8YSZ,700,75,484.8484848484848,7.284186199135768e-34
8YSZ,700,75,494.9494949494949,7.127784941144918e-34
8YSZ,700,75,505.050505050505,7.207150929059385e-34
8YSZ,700,75,515.1515151515151,7.078120231154543e-34
8YSZ,700,75,525.2525252525252,7.2314868226610015e-34
8YSZ,700,75,535.3535353535353,7.180885623816407e-34
8YSZ,700,75,545.4545454545454,7.310220693029095e-34
8YSZ,700,75,555.5555555555555,7.815914243322966e-34
8YSZ,700,75,565.6565656565656,7.404534895044163e-34
8YSZ,700,75,575.7575757575758,8.271676274402889e-34
8YSZ,700,75,585.8585858585858,7.824495896657827e-34
8YSZ,700,75,595.959595959596,7.797000816272324e-34
8YSZ,700,75,606.060606060606,7.596348293903841e-34
8YSZ,700,75,616.1616161616162,8.004485288965916e-34
8YSZ,700,75,626.2626262626262,7.745843583840664e-34
8YSZ,700,75,636.3636363636364,7.952688898997885e-34
8YSZ,700,75,646.4646464646464,8.576702184856437e-34
8YSZ,700,75,656.5656565656565,7.982757218591608e-34
8YSZ,700,75,666.6666666666666,8.323686418595127e-34
8YSZ,700,75,676.7676767676767,7.915711742836772e-34
8YSZ,700,75,686.8686868686868,8.117395592753214e-34
8YSZ,700,75,696.9696969696969,8.598933430202113e-34
8YSZ,700,75,707.070707070707,8.04971997437017e-34
8YSZ,700,75,717.1717171717171,8.690696592138812e-34
8YSZ,700,75,727.2727272727273,8.456472576283843e-34
8YSZ,700,75,737.3737373737373,8.178065657295245e-34
8YSZ,700,75,747.4747474747475,8.514392873467724e-34
8YSZ,700,75,757.5757575757575,8.63783697419858e-34
8YSZ,700,75,767.6767676767677,8.586974567048094e-34
8YSZ,700,75,777.7777777777777,8.06735303561772e-34
8YSZ,700,75,787.8787878787879,8.316823392805395e-34
8YSZ,700,75,797.9797979797979,8.474710994465712e-34
8YSZ,700,75,808.0808080808081,8.554481655879496e-34
8YSZ,700,75,818.1818181818181,8.769143834337101e-34
8YSZ,700,75,828.2828282828282,8.689854955600376e-34
8YSZ,700,75,838.3838383838383,8.330759143766212e-34
8YSZ,700,75,848.4848484848484,8.812163192256494e-34
8YSZ,700,75,858.5858585858585,8.907100498239269e-34
8YSZ,700,75,868.6868686868686,8.928165049022808e-34
8YSZ,700,75,878.7878787878788,9.100056121257671e-34
8YSZ,700,75,888.8888888888888,9.068918531207121e-34
8YSZ,700,75,898.989898989899,9.002960000186919e-34
8YSZ,700,75,909.090909090909,8.894668279420691e-34
8YSZ,700,75,919.1919191919192,8.500224150334637e-34
8YSZ,700,75,929.2929292929292,9.094032713982232e-34
8YSZ,700,75,939.3939393939394,9.066544038931574e-34
8YSZ,700,75,949.4949494949494,9.115932063060042e-34
8YSZ,700,75,959.5959595959596,8.726340698664966e-34
8YSZ,700,75,969.6969696969696,8.81000203593267e-34
8YSZ,700,75,979.7979797979797,9.425157042866785e-34
8YSZ,700,75,989.8989898989898,9.15659088156668e-34
8YSZ,700,75,1000.0,9.386292721401602e-34
8YSZ,700,100,0.0,0.0
8YSZ,700,100,10.1010101010101,3.1111558885826076e-34
8YSZ,700,100,20.2020202020202,3.910933101608318e-34
8YSZ,700,100,30.3030303030303,4.592602311349569e-34
8YSZ,700,100,40.4040404040404,4.835670738208075e-34
8YSZ,700,100,50.505050505050505,5.3022916803375465e-34
8YSZ,700,100,60.6060606060606,5.537042084016616e-34
8YSZ,700,100,70.7070707070707,5.830920613366494e-34
8YSZ,700,100,80.8080808080808,6.116820269844606e-34
8YSZ,700,100,90.9090909090909,6.46156243895848e-34
8YSZ,700,100,101.01010101010101,6.550436040356693e-34
8YSZ,700,100,111.1111111111111,7.11660635566006e-34
8YSZ,700,100,121.2121212121212,6.868593735977198e-34
8YSZ,700,100,131.3131313131313,7.206306173240053e-34
8YSZ,700,100,141.4141414141414,7.328378926700673e-34
8YSZ,700,100,151.5151515151515,7.92716335439532e-34
8YSZ,700,100,161.6161616161616,7.806671895953358e-34
8YSZ,700,100,171.7171717171717,8.162834073784576e-34
8YSZ,700,100,181.8181818181818,7.708914407471856e-34
8YSZ,700,100,191.91919191919192,8.279557990865088e-34
8YSZ,700,100,202.02020202020202,8.57692769889169e-34
8YSZ,700,100,212.1212121212121,8.510519760942789e-34
8YSZ,700,100,222.2222222222222,8.896458940628933e-34
8YSZ,700,100,232.3232323232323,8.61252808992682e-34
8YSZ,700,100,242.4242424242424,9.247136408844969e-34
8YSZ,700,100,252.5252525252525,9.612524331039025e-34
8YSZ,700,100,262.6262626262626,9.010334161985923e-34
8YSZ,700,100,272.7272727272727,9.100379432635846e-34
8YSZ,700,100,282.8282828282828,9.74203830892894e-34
8YSZ,700,100,292.9292929292929,9.891258693069968e-34
8YSZ,700,100,303.030303030303,9.40019229555371e-34
8YSZ,700,100,313.1313131313131,9.532196589174353e-34
8YSZ,700,100,323.2323232323232,9.673096841941992e-34
8YSZ,700,100,333.3333333333333,9.457642676435557e-34
8YSZ,700,100,343.4343434343434,9.678410275538019e-34
8YSZ,700,100,353.5353535353535,9.745666401182145e-34
8YSZ,700,100,363.6363636363636,9.90859964785601e-34
8YSZ,700,100,373.73737373737373,1.022368367480352e-33
8YSZ,700,100,383.83838383838383,1.0397344522250257e-33
8YSZ,700,100,393.93939393939394,1.0898074132345101e-33
8YSZ,700,100,404.04040404040404,1.018653807383203e-33
8YSZ,700,100,414.1414141414141,1.0899598848535047e-33
8YSZ,700,100,424.2424242424242,1.0602986947398598e-33
8YSZ,700,100,434.3434343434343,1.0738722774157281e-33
8YSZ,700,100,444.4444444444444,1.1055965003161142e-33
8YSZ,700,100,454.5454545454545,1.0549535191622463e-33
8YSZ,700,100,464.6464646464646,1.1122874797514145e-33
8YSZ,700,100,474.7474747474747,1.1130343008480749e-33
8YSZ,700,100,484.8484848484848,1.1317010420027684e-33
8YSZ,700,100,494.9494949494949,1.1325801941276315e-33
8YSZ,700,100,505.050505050505,1.2136108369441453e-33
8YSZ,700,100,515.1515151515151,1.1159933578733137e-33
8YSZ,700,100,525.2525252525252,1.1268344339254724e-33
8YSZ,700,100,535.3535353535353,1.1307546164354534e-33
8YSZ,700,100,545.4545454545454,1.1401046448279206e-33
8YSZ,700,100,555.5555555555555,1.1441628070319279e-33
8YSZ,700,100,565.6565656565656,1.2152807729605667e-33
8YSZ,700,100,575.7575757575758,1.2305965635913131e-33
8YSZ,700,100,585.8585858585858,1.1667657016698469e-33
8YSZ,700,100,595.959595959596,1.1639968869484585e-33
8YSZ,700,100,606.060606060606,1.2174239895073827e-33
8YSZ,700,100,616.1616161616162,1.1870164374302523e-33
8YSZ,700,100,626.2626262626262,1.2365488603553187e-33
8YSZ,700,100,636.3636363636364,1.2273578102191854e-33
8YSZ,700,100,646.4646464646464,1.1705255301306275e-33
8YSZ,700,100,656.5656565656565,1.2898005357080182e-33
8YSZ,700,100,666.6666666666666,1.305545833051019e-33
8YSZ,700,100,676.7676767676767,1.2220794391441835e-33
8YSZ,700,100,686.8686868686868,1.2365167671534893e-33
8YSZ,700,100,696.9696969696969,1.267890613657709e-33
8YSZ,700,100,707.070707070707,1.2757664969459346e-33
8YSZ,700,100,717.1717171717171,1.294090466755272e-33
8YSZ,700,100,727.2727272727273,1.3517736369124272e-33
8YSZ,700,100,737.3737373737373,1.2739076941177013e-33
8YSZ,700,100,747.4747474747475,1.2556597949898896e-33
8YSZ,700,100,757.5757575757575,1.238710639835329e-33
8YSZ,700,100,767.6767676767677,1.2693819813458295e-33
8YSZ,700,100,777.7777777777777,1.3021562284933111e-33
8YSZ,700,100,787.8787878787879,1.3794867273612834e-33
8YSZ,700,100,797.9797979797979,1.294115780210799e-33
8YSZ,700,100,808.0808080808081,1.3288581421805344e-33
8YSZ,700,100,818.1818181818181,1.324765489384843e-33
8YSZ,700,100,828.2828282828282,1.3782414551689756e-33
8YSZ,700,100,838.3838383838383,1.4374194025178413e-33
8YSZ,700,100,848.4848484848484,1.3200575574589032e-33
8YSZ,700,100,858.5858585858585,1.3268967010404023e-33
8YSZ,700,100,868.6868686868686,1.3942252219427815e-33
8YSZ,700,100,878.7878787878788,1.3848059714587474e-33
8YSZ,700,100,888.8888888888888,1.4376390053540635e-33
8YSZ,700,100,898.989898989899,1.3912132674490124e-33
8YSZ,700,100,909.090909090909,1.3575206149362506e-33
8YSZ,700,100,919.1919191919192,1.4017313642671226e-33
8YSZ,700,100,929.2929292929292,1.4282789623712682e-33
8YSZ,700,100,939.3939393939394,1.4213886057674351e-33
8YSZ,700,100,949.4949494949494,1.4133332270968462e-33
8YSZ,700,100,959.5959595959596,1.4417221209756546e-33
8YSZ,700,100,969.6969696969696,1.4510284335904933e-33
8YSZ,700,100,979.7979797979797,1.464981800409369e-33
8YSZ,700,100,989.8989898989898,1.4388924087784264e-33
8YSZ,700,100,1000.0,1.4090608801620555e-33
8YSZ,700,125,0.0,0.0
8YSZ,700,125,10.1010101010101,4.363402812578922e-34
8YSZ,700,125,20.2020202020202,5.658476243796778e-34
8YSZ,700,125,30.3030303030303,6.089640966216624e-34
8YSZ,700,125,40.4040404040404,6.940245049074592e-34
8YSZ,700,125,50.505050505050505,7.301681280590349e-34
8YSZ,700,125,60.6060606060606,7.853843735369285e-34
8YSZ,700,125,70.7070707070707,8.573252227246375e-34
8YSZ,700,125,80.8080808080808,8.678014616542677e-34
8YSZ,700,125,90.9090909090909,8.983025126437625e-34
8YSZ,700,125,101.01010101010101,8.909003250541436e-34
8YSZ,700,125,111.1111111111111,9.799257180929998e-34
8YSZ,700,125,121.2121212121212,1.0054889917591256e-33
8YSZ,700,125,131.3131313131313,1.0785174216138387e-33
8YSZ,700,125,141.4141414141414,1.028280560941877e-33
8YSZ,700,125,151.5151515151515,1.068744854994579e-33
8YSZ,700,125,161.6161616161616,1.0927345434340134e-33
8YSZ,700,125,171.7171717171717,1.1589028383538101e-33
8YSZ,700,125,181.8181818181818,1.1243837284453427e-33
8YSZ,700,125,191.91919191919192,1.1575156624712838e-33
8YSZ,700,125,202.02020202020202,1.1887943196571857e-33
8YSZ,700,125,212.1212121212121,1.193094598850437e-33
8YSZ,700,125,222.2222222222222,1.1886709981789655e-33
8YSZ,700,125,232.3232323232323,1.2297295577942106e-33
8YSZ,700,125,242.4242424242424,1.2798389539377824e-33
8YSZ,700,125,252.5252525252525,1.2180178036917278e-33
8YSZ,700,125,262.6262626262626,1.2781687395280661e-33
8YSZ,700,125,272.7272727272727,1.2619702573597932e-33
8YSZ,700,125,282.8282828282828,1.351380352457964e-33
8YSZ,700,125,292.9292929292929,1.2594944425833747e-33
8YSZ,700,125,303.030303030303,1.3122729116053486e-33
8YSZ,700,125,313.1313131313131,1.3644398138497291e-33
8YSZ,700,125,323.2323232323232,1.427413988939442e-33
8YSZ,700,125,333.3333333333333,1.3745802452742235e-33
8YSZ,700,125,343.4343434343434,1.3677650884659832e-33
8YSZ,700,125,353.5353535353535,1.4835531519979405e-33
8YSZ,700,125,363.6363636363636,1.355844380407883e-33
8YSZ,700,125,373.73737373737373,1.3359435097601609e-33
8YSZ,700,125,383.83838383838383,1.461981735689081e-33
8YSZ,700,125,393.93939393939394,1.4334362117549397e-33
8YSZ,700,125,404.04040404040404,1.422604690504206e-33
8YSZ,700,125,414.1414141414141,1.5110158863688226e-33
8YSZ,700,125,424.2424242424242,1.5022947111131755e-33
8YSZ,700,125,434.3434343434343,1.4775779528600047e-33
8YSZ,700,125,444.4444444444444,1.45628946175836e-33
8YSZ,700,125,454.5454545454545,1.5656656053115585e-33
8YSZ,700,125,464.6464646464646,1.5668155706213226e-33
8YSZ,700,125,474.7474747474747,1.543178679236091e-33
8YSZ,700,125,484.8484848484848,1.644918273213497e-33
8YSZ,700,125,494.9494949494949,1.5188400781605085e-33
8YSZ,700,125,505.050505050505,1.5074159035164961e-33
8YSZ,700,125,515.1515151515151,1.557064200764116e-33
8YSZ,700,125,525.2525252525252,1.598102965904587e-33
8YSZ,700,125,535.3535353535353,1.6221385421486032e-33
8YSZ,700,125,545.4545454545454,1.6086200630355907e-33
8YSZ,700,125,555.5555555555555,1.6474054522877782e-33
8YSZ,700,125,565.6565656565656,1.5783377413096157e-33
8YSZ,700,125,575.7575757575758,1.7209620309855815e-33
8YSZ,700,125,585.8585858585858,1.6549221774161338e-33
8YSZ,700,125,595.959595959596,1.7243188250142944e-33
8YSZ,700,125,606.060606060606,1.6949247372051517e-33
8YSZ,700,125,616.1616161616162,1.7099656950077052e-33
8YSZ,700,125,626.2626262626262,1.7249158942319452e-33
8YSZ,700,125,636.3636363636364,1.7278047733998777e-33
8YSZ,700,125,646.4646464646464,1.7468338714552822e-33
8YSZ,700,125,656.5656565656565,1.7912671486952583e-33
8YSZ,700,125,666.6666666666666,1.7414877167882352e-33
8YSZ,700,125,676.7676767676767,1.776901282043653e-33
8YSZ,700,125,686.8686868686868,1.7437138071087364e-33
8YSZ,700,125,696.9696969696969,1.832766911366405e-33
8YSZ,700,125,707.070707070707,1.7294065648245417e-33
8YSZ,700,125,717.1717171717171,1.86932788332319e-33
8YSZ,700,125,727.2727272727273,1.779566371887953e-33
8YSZ,700,125,737.3737373737373,1.7130155364325173e-33
8YSZ,700,125,747.4747474747475,1.804805114391224e-33
8YSZ,700,125,757.5757575757575,1.7689803110983178e-33
8YSZ,700,125,767.6767676767677,1.8595302803436124e-33
8YSZ,700,125,777.7777777777777,1.7859638411980153e-33
8YSZ,700,125,787.8787878787879,1.8049147942533915e-33
8YSZ,700,125,797.9797979797979,1.7329702658662185e-33
8YSZ,700,125,808.0808080808081,1.8197189496518838e-33
8YSZ,700,125,818.1818181818181,1.717634038033563e-33
8YSZ,700,125,828.2828282828282,1.771469825032386e-33
8YSZ,700,125,838.3838383838383,1.90989620216907e-33
8YSZ,700,125,848.4848484848484,1.9188870212957645e-33
8YSZ,700,125,858.5858585858585,1.9060503863669315e-33
8YSZ,700,125,868.6868686868686,1.834499338637451e-33
8YSZ,700,125,878.7878787878788,1.8938138047345577e-33
8YSZ,700,125,888.8888888888888,1.9034888431926676e-33
8YSZ,700,125,898.989898989899,1.8444041151076718e-33
8YSZ,700,125,909.090909090909,2.004364393188695e-33
8YSZ,700,125,919.1919191919192,1.9755353825703276e-33
8YSZ,700,125,929.2929292929292,1.9190199349251107e-33
8YSZ,700,125,939.3939393939394,1.94029389070395e-33
8YSZ,700,125,949.4949494949494,1.957747684220383e-33
8YSZ,700,125,959.5959595959596,1.8328029974856043e-33
8YSZ,700,125,969.6969696969696,1.944621429600626e-33
8YSZ,700,125,979.7979797979797,1.92563978606492e-33
8YSZ,700,125,989.8989898989898,1.9132537460831802e-33
8YSZ,700,125,1000.0,1.9624548256097766e-33
8YSZ,700,150,0.0,0.0
8YSZ,700,150,10.1010101010101,6.018688609314407e-34
8YSZ,700,150,20.2020202020202,7.316442273737925e-34
8YSZ,700,150,30.3030303030303,8.065542483253783e-34
8YSZ,700,150,40.4040404040404,9.178387675264807e-34
8YSZ,700,150,50.505050505050505,1.0120678365848037e-33
8YSZ,700,150,60.6060606060606,1.0601385242485517e-33
8YSZ,700,150,70.7070707070707,1.08729761567484e-33
8YSZ,700,150,80.8080808080808,1.1122383310550781e-33
8YSZ,700,150,90.9090909090909,1.2039070562272715e-33
8YSZ,700,150,101.01010101010101,1.2353399754485912e-33
8YSZ,700,150,111.1111111111111,1.293775454593432e-33
8YSZ,700,150,121.2121212121212,1.3213484615131914e-33
8YSZ,700,150,131.3131313131313,1.3732662641068225e-33
8YSZ,700,150,141.4141414141414,1.3424002663076753e-33
8YSZ,700,150,151.5151515151515,1.450886996683087e-33
8YSZ,700,150,161.6161616161616,1.434221895619499e-33
8YSZ,700,150,171.7171717171717,1.5451403924419816e-33
8YSZ,700,150,181.8181818181818,1.4516313835105783e-33
8YSZ,700,150,191.91919191919192,1.5875480071758457e-33
8YSZ,700,150,202.02020202020202,1.543834291017332e-33
8YSZ,700,150,212.1212121212121,1.5291531540217267e-33
8YSZ,700,150,222.2222222222222,1.5607691462511916e-33
8YSZ,700,150,232.3232323232323,1.591717939353554e-33
8YSZ,700,150,242.4242424242424,1.650635168186742e-33
8YSZ,700,150,252.5252525252525,1.677911812613149e-33
8YSZ,700,150,262.6262626262626,1.6447176539684756e-33
8YSZ,700,150,272.7272727272727,1.693255428394974e-33
8YSZ,700,150,282.8282828282828,1.8251689085337585e-33
8YSZ,700,150,292.9292929292929,1.8248418210793523e-33
8YSZ,700,150,303.030303030303,1.777410660592854e-33
8YSZ,700,150,313.1313131313131,1.7755547981759255e-33
8YSZ,700,150,323.2323232323232,1.7986655411143538e-33
8YSZ,700,150,333.3333333333333,1.8438271912595293e-33
8YSZ,700,150,343.4343434343434,1.7723250929848336e-33
8YSZ,700,150,353.5353535353535,1.8317491035580177e-33
8YSZ,700,150,363.6363636363636,1.7699744435535547e-33
8YSZ,700,150,373.73737373737373,1.9026852080662133e-33
8YSZ,700,150,383.83838383838383,1.9336142722718965e-33
8YSZ,700,150,393.93939393939394,1.885383721236856e-33
8YSZ,700,150,404.04040404040404,2.0202607327135993e-33
8YSZ,700,150,414.1414141414141,1.8734288173527577e-33
8YSZ,700,150,424.2424242424242,1.874352427081925e-33
8YSZ,700,150,434.3434343434343,1.989065096629883e-33
8YSZ,700,150,444.4444444444444,2.0533445276656062e-33
8YSZ,700,150,454.5454545454545,2.1069460732511714e-33
8YSZ,700,150,464.6464646464646,1.9924144596800806e-33
8YSZ,700,150,474.7474747474747,2.1004555877072156e-33
8YSZ,700,150,484.8484848484848,2.046432668774642e-33
8YSZ,700,150,494.9494949494949,2.052105064166142e-33
8YSZ,700,150,505.050505050505,2.131636081903531e-33
8YSZ,700,150,515.1515151515151,2.131105427187707e-33
8YSZ,700,150,525.2525252525252,2.0041530549407277e-33
8YSZ,700,150,535.3535353535353,2.2106734801563744e-33
8YSZ,700,150,545.4545454545454,2.2181888572039368e-33
8YSZ,700,150,555.5555555555555,2.1027214651666523e-33
8YSZ,700,150,565.6565656565656,2.181315039215699e-33
8YSZ,700,150,575.7575757575758,2.200482757803721e-33
8YSZ,700,150,585.8585858585858,2.1978809488590944e-33
8YSZ,700,150,595.959595959596,2.156956307663128e-33
8YSZ,700,150,606.060606060606,2.160926262465579e-33
8YSZ,700,150,616.1616161616162,2.2157238907504676e-33
8YSZ,700,150,626.2626262626262,2.3077872909217832e-33
8YSZ,700,150,636.3636363636364,2.277705601449269e-33
8YSZ,700,150,646.4646464646464,2.2277863400885678e-33
8YSZ,700,150,656.5656565656565,2.316813027991104e-33
8YSZ,700,150,666.6666666666666,2.0813438476060357e-33
8YSZ,700,150,676.7676767676767,2.365971433930389e-33
8YSZ,700,150,686.8686868686868,2.1784040832594084e-33
8YSZ,700,150,696.9696969696969,2.2843467031359066e-33
8YSZ,700,150,707.070707070707,2.242505863227167e-33
8YSZ,700,150,717.1717171717171,2.2407871504920935e-33
8YSZ,700,150,727.2727272727273,2.4236863441184285e-33
8YSZ,700,150,737.3737373737373,2.3197952281018725e-33
8YSZ,700,150,747.4747474747475,2.387962862185303e-33
8YSZ,700,150,757.5757575757575,2.3705456779824804e-33
