Material,Temperature_C,CTE_1perK,Thermal_Conductivity_WperMK,Specific_Heat_JperKgK,Density_kg_per_m3
LSM,880,1.3244750346634802e-05,3.120759383171334,585.0706060056415,6500
LSM,900,1.3014304575347552e-05,3.3144153560949414,627.6295743313739,6500
LSM,920,1.3604758731581085e-05,3.33246470412136,611.0108173844781,6500
LSM,940,1.2759015500355061e-05,3.179971065417025,612.4140925610272,6500
LSM,960,1.3213735943153464e-05,3.2232802423032663,624.6665423065143,6500
LSM,980,1.3706186595655692e-05,3.1852003698696603,599.0867728432909,6500
LSM,1000,1.3297511647458532e-05,3.2102040659826887,641.7193376484873,6500
Ni-YSZ,20,1.1795589176813722e-05,6.123010470815856,503.62609874544296,5800
Ni-YSZ,40,1.204584370240423e-05,6.206732455313533,495.67340092091746,5800
Ni-YSZ,60,1.1851897542518976e-05,5.965159035510946,499.87013938531,5800
Ni-YSZ,80,1.2274256057965504e-05,5.782203176176511,514.8966938591377,5800
Ni-YSZ,100,1.2083577181269134e-05,5.9870320210765815,510.0693360036868,5800
Ni-YSZ,120,1.2026402316644972e-05,5.942734994661701,522.626968580097,5800
Ni-YSZ,140,1.217846462011607e-05,6.30673837411413,511.0213463644892,5800
Ni-YSZ,160,1.2186482149908821e-05,5.517378892711008,532.9114755184096,5800
Ni-YSZ,180,1.1830481471842433e-05,5.806630487099709,527.0515444730934,5800
Ni-YSZ,200,1.237339602370189e-05,5.726514255474217,528.0229036509006,5800
Ni-YSZ,220,1.2829831035247697e-05,5.906474802254849,532.4258134976994,5800
Ni-YSZ,240,1.2237216624797024e-05,6.207301889680992,540.8017576557851,5800
Ni-YSZ,260,1.2104416228135093e-05,5.648861694402636,540.4769672104428,5800
Ni-YSZ,280,1.2169025196573987e-05,5.495531186494447,536.4860386621317,5800
Ni-YSZ,300,1.2110995228512953e-05,5.912676568103403,550.700801706907,5800
Ni-YSZ,320,1.2372625109123376e-05,6.052628281018728,578.1301000991378,5800
Ni-YSZ,340,1.237437242128923e-05,5.59905279978538,551.8115325772031,5800
Ni-YSZ,360,1.27699987463715e-05,5.6810974786553725,562.5117725574164,5800
Ni-YSZ,380,1.2233899386833251e-05,5.536146618869078,576.5768321383533,5800
Ni-YSZ,400,1.2073948229933913e-05,5.922670883192644,568.3126371290651,5800
Ni-YSZ,420,1.2543437613072822e-05,5.376238607910466,579.8206938954858,5800
Ni-YSZ,440,1.2505599194814549e-05,5.652653739523078,605.4869499160835,5800
Ni-YSZ,460,1.2727489717791133e-05,5.468470597117779,577.5435973149655,5800
Ni-YSZ,480,1.291656644247737e-05,5.924569624594998,596.1723867071155,5800
Ni-YSZ,500,1.29828127833221e-05,5.7529714821703575,617.1440597590271,5800
Ni-YSZ,520,1.2004281758932292e-05,5.749457042404213,614.7560406585534,5800
Ni-YSZ,540,1.2266733331067621e-05,5.386177154420326,591.1531804957149,5800
Ni-YSZ,560,1.2529925927532172e-05,5.460711978415639,611.6875627584352,5800
Ni-YSZ,580,1.3173457875629672e-05,5.792138869981236,599.1813071641329,5800
Ni-YSZ,600,1.2543860172200776e-05,5.827375588253192,625.959856605447,5800
Ni-YSZ,620,1.2932068693803302e-05,5.624512737962537,619.5380413813027,5800
Ni-YSZ,640,1.313348639855417e-05,5.430011556097296,628.193356977252,5800
Ni-YSZ,660,1.237269969561634e-05,5.337017591599921,617.3709245243916,5800
Ni-YSZ,680,1.2844100204059266e-05,5.269204778793808,623.5700107119953,5800
Ni-YSZ,700,1.2428469867227293e-05,5.575748391968422,634.6880350493088,5800
Ni-YSZ,720,1.238241122155569e-05,5.258341011465044,645.3856228409948,5800
Ni-YSZ,740,1.2866918188238215e-05,5.272791580808438,642.7990579001699,5800
Ni-YSZ,760,1.324513691058559e-05,5.097288236493288,656.9120813957296,5800
Ni-YSZ,780,1.2824524388390371e-05,5.388133295807884,651.4226517067284,5800
Ni-YSZ,800,1.2961756176683465e-05,5.155872208192052,651.3147406112869,5800
Ni-YSZ,820,1.3843630802393777e-05,5.068056873468598,687.9231648152305,5800
Ni-YSZ,840,1.3126916667199724e-05,5.351560994116867,645.9606005310136,5800
Ni-YSZ,860,1.2953189026045695e-05,5.220819895383897,650.5368939863389,5800
Ni-YSZ,880,1.320670441039623e-05,5.225517263308897,703.0931231929203,5800
Ni-YSZ,900,1.2854076715402088e-05,5.317753959068021,680.1886021641409,5800
Ni-YSZ,920,1.2921336620264939e-05,5.42505796703964,673.2284407810123,5800
Ni-YSZ,940,1.2379554793854557e-05,5.402937934324737,664.9003108818496,5800
Ni-YSZ,960,1.2988480139168241e-05,5.3924044052407725,682.0288225024027,5800
Ni-YSZ,980,1.3810045731102365e-05,5.485263560438054,680.8427376364243,5800
Ni-YSZ,1000,1.3790557374615427e-05,5.05838065839739,734.8562169580999,5800
FSS,20,1.0847549459003132e-05,25.769565580720005,467.7628682381105,7800
FSS,40,1.1093691043018576e-05,24.43829960662804,463.5920033249449,7800
FSS,60,1.0572143170563771e-05,25.04750711664851,473.28638411166685,7800
FSS,80,1.1101562111356948e-05,22.60607622485556,462.9764537716468,7800
FSS,100,1.0929983649086225e-05,24.976644255572825,482.7776534941727,7800
FSS,120,1.1082142228665607e-05,25.170716942623528,475.0454489595619,7800
FSS,140,1.1280009178069077e-05,24.99092936389765,493.70003638181157,7800
FSS,160,1.1127339449312707e-05,25.92999049643057,499.8826373160498,7800
FSS,180,1.0975247700369321e-05,24.70265350795139,507.5248337707422,7800
FSS,200,1.1084075479089298e-05,25.259307974798045,508.8585404277317,7800
FSS,220,1.0713410869692829e-05,24.61935988741136,505.8585026249903,7800
FSS,240,1.1385015868619961e-05,25.029465676351876,517.0101690855607,7800
FSS,260,1.1663947344335353e-05,24.14982990528395,526.4981053597603,7800
FSS,280,1.1494110207859713e-05,24.14926841900254,533.1771302337667,7800
FSS,300,1.1201175740350593e-05,23.85372240989342,516.0876198824351,7800
FSS,320,1.1414848151239275e-05,24.335156961642696,547.6181157967977,7800
FSS,340,1.1564126756191748e-05,23.834605444545872,527.2756593767898,7800
FSS,360,1.1506759147838955e-05,24.77907583223509,553.231516214463,7800
FSS,380,1.167995494128337e-05,23.767948072412143,544.8671913500679,7800
FSS,400,1.128716116217665e-05,23.819989309197986,554.1276421647461,7800
FSS,420,1.1527453183512582e-05,23.70768161567665,558.5033694270602,7800
FSS,440,1.1325298232292168e-05,24.41062106145137,565.8646541033539,7800
FSS,460,1.1487780206511185e-05,23.149026258491762,554.8161905415416,7800
FSS,480,1.18541920470466e-05,24.0130169885822,556.3249448104453,7800
FSS,500,1.1752682705460298e-05,24.212009691120763,581.4427630186908,7800
FSS,520,1.1970761727814407e-05,23.65278734769663,568.4231647229944,7800
FSS,540,1.1708894489363713e-05,23.612211782564394,582.8810971844177,7800
FSS,560,1.1781616266638965e-05,22.21029958229373,606.7877452465691,7800
FSS,580,1.1467011269510343e-05,22.630931690868124,598.6341027323103,7800
FSS,600,1.1797281027327967e-05,23.374386211575498,596.0138240941542,7800
FSS,620,1.160137267014462e-05,22.411402526225285,607.2589052001156,7800
FSS,640,1.1996500982864322e-05,23.13704066868762,625.5707953335412,7800
FSS,660,1.2110543258847236e-05,22.672855977418802,617.6864916621134,7800
FSS,680,1.230405412435298e-05,24.01746356031335,604.0949434273456,7800
FSS,700,1.1907490890051513e-05,22.96038572272358,640.4133091968204,7800
FSS,720,1.166358902785954e-05,22.323189048408057,626.4139019157711,7800
FSS,740,1.1728292794558037e-05,23.398660119097535,624.8806249836944,7800
FSS,760,1.1739967319145671e-05,21.557388932331317,657.9918199220197,7800
FSS,780,1.2214810210888472e-05,22.497066749523242,646.1266582574282,7800
FSS,800,1.2044193132512972e-05,23.662352868615738,660.3528007930873,7800
FSS,820,1.1793147967359953e-05,21.502438296193194,645.280333332842,7800
FSS,840,1.2001549237850891e-05,22.09686752881162,667.5930704896771,7800
FSS,860,1.1875209768260705e-05,21.76638604673505,654.2277761385288,7800
FSS,880,1.2407964989135574e-05,23.01793316010092,698.3619923496774,7800
FSS,900,1.218619296119007e-05,22.071561763101165,697.9974365458631,7800
FSS,920,1.2072010770870997e-05,22.447743144324246,684.4133060066654,7800
FSS,940,1.1390613426595724e-05,23.310679200203126,696.7758544542171,7800
FSS,960,1.2208001881644265e-05,22.13889420816517,697.2716467033672,7800
FSS,980,1.2006837327431927e-05,22.529162058191105,681.7006231784121,7800
FSS,1000,1.2221311384675227e-05,22.431649322823954,702.1987652130971,7800
