Mix_ID,Temperature_C,Data_Type,Property_Type,Thermal_Conductivity_W_mK,Thermal_Conductivity_Std,Specific_Heat_J_kgK,Specific_Heat_Std,Density_kg_m3,Density_Std
R5S,100,Validation,Thermal,2.1884,0.1751,2530.82,253.08,2402.88,72.09
R5S,120,Validation,Thermal,2.1651,0.1732,1985.12,198.51,2396.59,71.9
R5S,140,Validation,Thermal,2.1394,0.1711,1264.09,126.41,2391.1,71.73
R5S,160,Validation,Thermal,2.1111,0.1689,1038.74,103.87,2386.29,71.59
R5S,180,Validation,Thermal,2.0803,0.1664,1018.53,101.85,2382.07,71.46
R5S,200,Validation,Thermal,2.0467,0.1637,1023.71,102.37,2378.39,71.35
R5S,220,Validation,Thermal,2.0105,0.1608,1029.82,102.98,2375.16,71.25
R5S,240,Validation,Thermal,1.9716,0.1577,1036.0,103.6,2372.34,71.17
R5S,260,Validation,Thermal,1.93,0.1544,1043.23,104.32,2369.87,71.1
R5S,280,Validation,Thermal,1.886,0.1509,1054.04,105.4,2367.71,71.03
R5S,300,Validation,Thermal,1.8397,0.1472,1073.83,107.38,2365.82,70.97
R5S,320,Validation,Thermal,1.7914,0.1433,1111.97,111.2,2364.16,70.92
R5S,340,Validation,Thermal,1.7413,0.1393,1181.03,118.1,2362.71,70.88
R5S,360,Validation,Thermal,1.6899,0.1352,1292.0,129.2,2361.44,70.84
R5S,380,Validation,Thermal,1.6377,0.131,1445.28,144.53,2360.33,70.81
R5S,400,Validation,Thermal,1.5849,0.1268,1621.69,162.17,2359.36,70.78
R5S,420,Validation,Thermal,1.5322,0.1226,1781.71,178.17,2358.51,70.76
R5S,440,Validation,Thermal,1.4799,0.1184,1878.36,187.84,2357.77,70.73
R5S,460,Validation,Thermal,1.4285,0.1143,1879.39,187.94,2357.12,70.71
R5S,480,Validation,Thermal,1.3785,0.1103,1784.79,178.48,2356.55,70.7
R5S,500,Validation,Thermal,1.3301,0.1064,1626.83,162.68,2356.05,70.68
R5S,520,Validation,Thermal,1.2838,0.1027,1452.48,145.25,2355.61,70.67
R5S,540,Validation,Thermal,1.2398,0.0992,1301.26,130.13,2355.23,70.66
R5S,560,Validation,Thermal,1.1983,0.0959,1192.35,119.23,2354.89,70.65
R5S,580,Validation,Thermal,1.1593,0.0927,1125.34,112.53,2354.6,70.64
R5S,600,Validation,Thermal,1.1231,0.0898,1089.26,108.93,2354.35,70.63
R5S,620,Validation,Thermal,1.0895,0.0872,1071.53,107.15,2354.12,70.62
R5S,640,Validation,Thermal,1.0587,0.0847,1062.78,106.28,2353.93,70.62
R5S,660,Validation,Thermal,1.0304,0.0824,1057.61,105.76,2353.75,70.61
R5S,680,Validation,Thermal,1.0047,0.0804,1053.48,105.35,2353.6,70.61
R5S,700,Validation,Thermal,0.9814,0.0785,1049.41,104.94,2353.47,70.6
R5S,720,Validation,Thermal,0.9603,0.0768,1045.05,104.51,2353.36,70.6
R5S,740,Validation,Thermal,0.9413,0.0753,1040.31,104.03,2353.26,70.6
R5S,760,Validation,Thermal,0.9243,0.0739,1035.17,103.52,2353.17,70.6
R5S,780,Validation,Thermal,0.909,0.0727,1029.61,102.96,2353.09,70.59
R5S,800,Validation,Thermal,0.8954,0.0716,1023.64,102.36,2353.02,70.59
R10S,20,Calibration,Thermal,2.1143,0.1691,941.02,94.1,2352.2,70.57
R10S,40,Calibration,Thermal,2.1001,0.168,976.67,97.67,2341.87,70.26
R10S,60,Calibration,Thermal,2.0841,0.1667,1211.72,121.17,2332.83,69.98
R10S,80,Calibration,Thermal,2.0664,0.1653,1928.57,192.86,2324.91,69.75
R10S,100,Calibration,Thermal,2.0467,0.1637,2475.0,247.5,2317.99,69.54
R10S,120,Calibration,Thermal,2.0248,0.162,1944.57,194.46,2311.93,69.36
R10S,140,Calibration,Thermal,2.0008,0.1601,1243.72,124.37,2306.62,69.2
R10S,160,Calibration,Thermal,1.9744,0.1579,1024.68,102.47,2301.98,69.06
R10S,180,Calibration,Thermal,1.9455,0.1556,1005.03,100.5,2297.92,68.94
R10S,200,Calibration,Thermal,1.9142,0.1531,1010.07,101.01,2294.37,68.83
R10S,220,Calibration,Thermal,1.8803,0.1504,1016.01,101.6,2291.25,68.74
R10S,240,Calibration,Thermal,1.8439,0.1475,1022.01,102.2,2288.53,68.66
R10S,260,Calibration,Thermal,1.805,0.1444,1029.04,102.9,2286.15,68.58
R10S,280,Calibration,Thermal,1.7638,0.1411,1039.55,103.95,2284.06,68.52
R10S,300,Calibration,Thermal,1.7205,0.1376,1058.78,105.88,2282.24,68.47
R10S,320,Calibration,Thermal,1.6753,0.134,1095.85,109.59,2280.64,68.42
R10S,340,Calibration,Thermal,1.6285,0.1303,1162.98,116.3,2279.24,68.38
R10S,360,Calibration,Thermal,1.5805,0.1264,1270.85,127.09,2278.02,68.34
R10S,380,Calibration,Thermal,1.5316,0.1225,1419.83,141.98,2276.95,68.31
R10S,400,Calibration,Thermal,1.4822,0.1186,1591.31,159.13,2276.01,68.28
R10S,420,Calibration,Thermal,1.4329,0.1146,1746.85,174.69,2275.19,68.26
R10S,440,Calibration,Thermal,1.384,0.1107,1840.8,184.08,2274.47,68.23
R10S,460,Calibration,Thermal,1.336,0.1069,1841.8,184.18,2273.84,68.22
R10S,480,Calibration,Thermal,1.2892,0.1031,1749.85,174.99,2273.29,68.2
R10S,500,Calibration,Thermal,1.244,0.0995,1596.31,159.63,2272.81,68.18
R10S,520,Calibration,Thermal,1.2007,0.0961,1426.83,142.68,2272.39,68.17
R10S,540,Calibration,Thermal,1.1595,0.0928,1279.85,127.99,2272.02,68.16
R10S,560,Calibration,Thermal,1.1206,0.0897,1173.98,117.4,2271.7,68.15
R10S,580,Calibration,Thermal,1.0842,0.0867,1108.85,110.89,2271.42,68.14
R10S,600,Calibration,Thermal,1.0503,0.084,1073.78,107.38,2271.17,68.14
R10S,620,Calibration,Thermal,1.019,0.0815,1056.55,105.65,2270.96,68.13
R10S,640,Calibration,Thermal,0.9901,0.0792,1048.04,104.8,2270.77,68.12
R10S,660,Calibration,Thermal,0.9637,0.0771,1043.01,104.3,2270.6,68.12
R10S,680,Calibration,Thermal,0.9396,0.0752,1039.01,103.9,2270.46,68.11
R10S,700,Calibration,Thermal,0.9178,0.0734,1035.05,103.5,2270.33,68.11
R10S,720,Calibration,Thermal,0.8981,0.0718,1030.81,103.08,2270.22,68.11
R10S,740,Calibration,Thermal,0.8803,0.0704,1026.2,102.62,2270.12,68.1
R10S,760,Calibration,Thermal,0.8644,0.0692,1021.2,102.12,2270.04,68.1
R10S,780,Calibration,Thermal,0.8501,0.068,1015.8,101.58,2269.96,68.1
R10S,800,Calibration,Thermal,0.8374,0.067,1010.0,101.0,2269.9,68.1
R10S,20,Validation,Thermal,2.1865,0.1749,973.12,97.31,2432.43,72.97
R10S,40,Validation,Thermal,2.1717,0.1737,1009.99,101.0,2421.75,72.65
R10S,60,Validation,Thermal,2.1552,0.1724,1253.05,125.31,2412.4,72.37
R10S,80,Validation,Thermal,2.1369,0.171,1994.36,199.44,2404.22,72.13
R10S,100,Validation,Thermal,2.1165,0.1693,2559.43,255.94,2397.06,71.91
R10S,120,Validation,Thermal,2.0939,0.1675,2010.9,201.09,2390.79,71.72
R10S,140,Validation,Thermal,2.069,0.1655,1286.15,128.61,2385.31,71.56
R10S,160,Validation,Thermal,2.0417,0.1633,1059.63,105.96,2380.51,71.42
R10S,180,Validation,Thermal,2.0119,0.161,1039.32,103.93,2376.31,71.29
R10S,200,Validation,Thermal,1.9794,0.1584,1044.52,104.45,2372.63,71.18
R10S,220,Validation,Thermal,1.9444,0.1556,1050.66,105.07,2369.41,71.08
R10S,240,Validation,Thermal,1.9067,0.1525,1056.88,105.69,2366.6,71.0
R10S,260,Validation,Thermal,1.8666,0.1493,1064.14,106.41,2364.13,70.92
R10S,280,Validation,Thermal,1.824,0.1459,1075.01,107.5,2361.98,70.86
R10S,300,Validation,Thermal,1.7792,0.1423,1094.9,109.49,2360.09,70.8
R10S,320,Validation,Thermal,1.7325,0.1386,1133.23,113.32,2358.44,70.75
R10S,340,Validation,Thermal,1.6841,0.1347,1202.65,120.27,2356.99,70.71
R10S,360,Validation,Thermal,1.6344,0.1308,1314.2,131.42,2355.72,70.67
R10S,380,Validation,Thermal,1.5838,0.1267,1468.27,146.83,2354.62,70.64
R10S,400,Validation,Thermal,1.5328,0.1226,1645.59,164.56,2353.65,70.61
R10S,420,Validation,Thermal,1.4818,0.1185,1806.44,180.64,2352.8,70.58
R10S,440,Validation,Thermal,1.4312,0.1145,1903.59,190.36,2352.06,70.56
R10S,460,Validation,Thermal,1.3815,0.1105,1904.62,190.46,2351.41,70.54
R10S,480,Validation,Thermal,1.3331,0.1067,1809.54,180.95,2350.84,70.53
R10S,500,Validation,Thermal,1.2864,0.1029,1650.76,165.08,2350.34,70.51
R10S,520,Validation,Thermal,1.2416,0.0993,1475.51,147.55,2349.91,70.5
R10S,540,Validation,Thermal,1.199,0.0959,1323.51,132.35,2349.53,70.49
R10S,560,Validation,Thermal,1.1589,0.0927,1214.03,121.4,2349.19,70.48
R10S,580,Validation,Thermal,1.1212,0.0897,1146.68,114.67,2348.9,70.47
R10S,600,Validation,Thermal,1.0862,0.0869,1110.41,111.04,2348.65,70.46
R10S,620,Validation,Thermal,1.0537,0.0843,1092.59,109.26,2348.42,70.45
R10S,640,Validation,Thermal,1.0239,0.0819,1083.79,108.38,2348.23,70.45
R10S,660,Validation,Thermal,0.9966,0.0797,1078.59,107.86,2348.05,70.44
R10S,680,Validation,Thermal,0.9717,0.0777,1074.45,107.44,2347.9,70.44
R10S,700,Validation,Thermal,0.9491,0.0759,1070.35,107.04,2347.77,70.43
R10S,720,Validation,Thermal,0.9287,0.0743,1065.97,106.6,2347.66,70.43
R10S,740,Validation,Thermal,0.9104,0.0728,1061.21,106.12,2347.56,70.43
R10S,760,Validation,Thermal,0.8939,0.0715,1056.03,105.6,2347.47,70.42
R10S,780,Validation,Thermal,0.8791,0.0703,1050.45,105.05,2347.39,70.42
R10S,800,Validation,Thermal,0.866,0.0693,1044.45,104.45,2347.33,70.42
R15S,20,Calibration,Thermal,2.0327,0.1626,956.02,95.6,2334.29,70.03
R15S,40,Calibration,Thermal,2.019,0.1615,991.67,99.17,2324.03,69.72
R15S,60,Calibration,Thermal,2.0037,0.1603,1226.72,122.67,2315.06,69.45
R15S,80,Calibration,Thermal,1.9866,0.1589,1943.57,194.36,2307.21,69.22
R15S,100,Calibration,Thermal,1.9677,0.1574,2490.0,249.0,2300.34,69.01
R15S,120,Calibration,Thermal,1.9467,0.1557,1959.57,195.96,2294.33,68.83
R15S,140,Calibration,Thermal,1.9236,0.1539,1258.72,125.87,2289.06,68.67
R15S,160,Calibration,Thermal,1.8982,0.1519,1039.68,103.97,2284.46,68.53
R15S,180,Calibration,Thermal,1.8704,0.1496,1020.03,102.0,2280.42,68.41
R15S,200,Calibration,Thermal,1.8403,0.1472,1025.07,102.51,2276.9,68.31
R15S,220,Calibration,Thermal,1.8077,0.1446,1031.01,103.1,2273.81,68.21
R15S,240,Calibration,Thermal,1.7727,0.1418,1037.01,103.7,2271.11,68.13
R15S,260,Calibration,Thermal,1.7353,0.1388,1044.04,104.4,2268.74,68.06
R15S,280,Calibration,Thermal,1.6958,0.1357,1054.55,105.45,2266.67,68.0
R15S,300,Calibration,Thermal,1.6541,0.1323,1073.78,107.38,2264.86,67.95
R15S,320,Calibration,Thermal,1.6107,0.1289,1110.85,111.09,2263.27,67.9
R15S,340,Calibration,Thermal,1.5657,0.1253,1177.98,117.8,2261.89,67.86
R15S,360,Calibration,Thermal,1.5195,0.1216,1285.85,128.59,2260.67,67.82
R15S,380,Calibration,Thermal,1.4725,0.1178,1434.83,143.48,2259.61,67.79
R15S,400,Calibration,Thermal,1.425,0.114,1606.31,160.63,2258.68,67.76
R15S,420,Calibration,Thermal,1.3776,0.1102,1761.85,176.19,2257.87,67.74
R15S,440,Calibration,Thermal,1.3306,0.1064,1855.8,185.58,2257.15,67.71
R15S,460,Calibration,Thermal,1.2844,0.1028,1856.8,185.68,2256.53,67.7
R15S,480,Calibration,Thermal,1.2394,0.0992,1764.85,176.49,2255.99,67.68
R15S,500,Calibration,Thermal,1.196,0.0957,1611.31,161.13,2255.51,67.67
R15S,520,Calibration,Thermal,1.1543,0.0923,1441.83,144.18,2255.09,67.65
R15S,540,Calibration,Thermal,1.1147,0.0892,1294.85,129.49,2254.72,67.64
R15S,560,Calibration,Thermal,1.0774,0.0862,1188.98,118.9,2254.4,67.63
R15S,580,Calibration,Thermal,1.0424,0.0834,1123.85,112.39,2254.12,67.62
R15S,600,Calibration,Thermal,1.0098,0.0808,1088.78,108.88,2253.88,67.62
R15S,620,Calibration,Thermal,0.9796,0.0784,1071.55,107.15,2253.66,67.61
R15S,640,Calibration,Thermal,0.9519,0.0762,1063.04,106.3,2253.48,67.6
R15S,660,Calibration,Thermal,0.9265,0.0741,1058.01,105.8,2253.31,67.6
R15S,680,Calibration,Thermal,0.9034,0.0723,1054.01,105.4,2253.17,67.6
R15S,700,Calibration,Thermal,0.8824,0.0706,1050.05,105.0,2253.04,67.59
R15S,720,Calibration,Thermal,0.8634,0.0691,1045.81,104.58,2252.93,67.59
R15S,740,Calibration,Thermal,0.8464,0.0677,1041.2,104.12,2252.84,67.59
R15S,760,Calibration,Thermal,0.831,0.0665,1036.2,103.62,2252.75,67.58
R15S,780,Calibration,Thermal,0.8173,0.0654,1030.8,103.08,2252.68,67.58
R15S,800,Calibration,Thermal,0.8051,0.0644,1025.0,102.5,2252.61,67.58
R15S,20,Validation,Thermal,1.9543,0.1563,919.12,91.91,2244.18,67.33
R15S,40,Validation,Thermal,1.9411,0.1553,953.39,95.34,2234.32,67.03
R15S,60,Validation,Thermal,1.9264,0.1541,1179.37,117.94,2225.7,66.77
R15S,80,Validation,Thermal,1.91,0.1528,1868.55,186.85,2218.15,66.54
R15S,100,Validation,Thermal,1.8917,0.1513,2393.88,239.39,2211.54,66.35
R15S,120,Validation,Thermal,1.8716,0.1497,1883.93,188.39,2205.76,66.17
R15S,140,Validation,Thermal,1.8493,0.1479,1210.13,121.01,2200.7,66.02
R15S,160,Validation,Thermal,1.8249,0.146,999.54,99.95,2196.27,65.89
R15S,180,Validation,Thermal,1.7982,0.1439,980.66,98.07,2192.4,65.77
R15S,200,Validation,Thermal,1.7692,0.1415,985.5,98.55,2189.01,65.67
R15S,220,Validation,Thermal,1.7379,0.139,991.21,99.12,2186.04,65.58
R15S,240,Validation,Thermal,1.7043,0.1363,996.98,99.7,2183.44,65.5
R15S,260,Validation,Thermal,1.6684,0.1335,1003.74,100.37,2181.17,65.43
R15S,280,Validation,Thermal,1.6303,0.1304,1013.84,101.38,2179.18,65.38
R15S,300,Validation,Thermal,1.5903,0.1272,1032.33,103.23,2177.43,65.32
R15S,320,Validation,Thermal,1.5485,0.1239,1067.97,106.8,2175.91,65.28
R15S,340,Validation,Thermal,1.5052,0.1204,1132.51,113.25,2174.58,65.24
R15S,360,Validation,Thermal,1.4608,0.1169,1236.22,123.62,2173.41,65.2
R15S,380,Validation,Thermal,1.4156,0.1133,1379.45,137.94,2172.39,65.17
R15S,400,Validation,Thermal,1.37,0.1096,1544.3,154.43,2171.49,65.14
R15S,420,Validation,Thermal,1.3244,0.106,1693.84,169.38,2170.71,65.12
R15S,440,Validation,Thermal,1.2792,0.1023,1784.16,178.42,2170.03,65.1
R15S,460,Validation,Thermal,1.2348,0.0988,1785.12,178.51,2169.43,65.08
R15S,480,Validation,Thermal,1.1916,0.0953,1696.73,169.67,2168.9,65.07
R15S,500,Validation,Thermal,1.1498,0.092,1549.11,154.91,2168.44,65.05
R15S,520,Validation,Thermal,1.1098,0.0888,1386.18,138.62,2168.04,65.04
R15S,540,Validation,Thermal,1.0717,0.0857,1244.87,124.49,2167.69,65.03
R15S,560,Validation,Thermal,1.0358,0.0829,1143.09,114.31,2167.38,65.02
R15S,580,Validation,Thermal,1.0021,0.0802,1080.47,108.05,2167.11,65.01
R15S,600,Validation,Thermal,0.9708,0.0777,1046.76,104.68,2166.88,65.01
R15S,620,Validation,Thermal,0.9418,0.0753,1030.19,103.02,2166.67,65.0
R15S,640,Validation,Thermal,0.9152,0.0732,1022.01,102.2,2166.49,64.99
R15S,660,Validation,Thermal,0.8907,0.0713,1017.17,101.72,2166.33,64.99
R15S,680,Validation,Thermal,0.8685,0.0695,1013.32,101.33,2166.19,64.99
R15S,700,Validation,Thermal,0.8483,0.0679,1009.51,100.95,2166.07,64.98
R15S,720,Validation,Thermal,0.8301,0.0664,1005.44,100.54,2165.97,64.98
R15S,740,Validation,Thermal,0.8137,0.0651,1001.01,100.1,2165.87,64.98
R15S,760,Validation,Thermal,0.799,0.0639,996.2,99.62,2165.79,64.97
R15S,780,Validation,Thermal,0.7858,0.0629,991.01,99.1,2165.72,64.97
R15S,800,Validation,Thermal,0.774,0.0619,985.43,98.54,2165.66,64.97
R20S,20,Calibration,Thermal,1.9527,0.1562,971.02,97.1,2316.38,69.49
R20S,40,Calibration,Thermal,1.9396,0.1552,1006.67,100.67,2306.2,69.19
R20S,60,Calibration,Thermal,1.9249,0.154,1241.72,124.17,2297.3,68.92
