Mix_ID,Temperature_C,Data_Type,Property_Type,Gas_Permeability_m2,Gas_Permeability_Std,Moisture_Diffusivity_m2_s,Moisture_Diffusivity_Std,Porosity,Porosity_Std
R5S,520,Validation,Transport,6.2463e-17,1.5616e-17,3.6705e-11,1.1011e-11,0.2038,0.0306
R5S,540,Validation,Transport,6.6835e-17,1.6709e-17,3.8587e-11,1.1576e-11,0.205,0.0307
R5S,560,Validation,Transport,7.1515e-17,1.7879e-17,4.0565e-11,1.2170e-11,0.206,0.0309
R5S,580,Validation,Transport,7.6521e-17,1.9130e-17,4.2645e-11,1.2794e-11,0.207,0.0311
R5S,600,Validation,Transport,8.1878e-17,2.0470e-17,4.4832e-11,1.3449e-11,0.208,0.0312
R5S,620,Validation,Transport,8.7610e-17,2.1903e-17,4.7130e-11,1.4139e-11,0.2088,0.0313
R5S,640,Validation,Transport,9.3744e-17,2.3436e-17,4.9547e-11,1.4864e-11,0.2097,0.0314
R5S,660,Validation,Transport,1.0031e-16,2.5077e-17,5.2087e-11,1.5626e-11,0.2104,0.0316
R5S,680,Validation,Transport,1.0733e-16,2.6832e-17,5.4757e-11,1.6427e-11,0.2111,0.0317
R5S,700,Validation,Transport,1.1484e-16,2.8711e-17,5.7565e-11,1.7269e-11,0.2118,0.0318
R5S,720,Validation,Transport,1.2288e-16,3.0721e-17,6.0516e-11,1.8155e-11,0.2124,0.0319
R5S,740,Validation,Transport,1.3149e-16,3.2871e-17,6.3619e-11,1.9086e-11,0.213,0.032
R5S,760,Validation,Transport,1.4069e-16,3.5173e-17,6.6881e-11,2.0064e-11,0.2136,0.032
R5S,780,Validation,Transport,1.5054e-16,3.7635e-17,7.0310e-11,2.1093e-11,0.2141,0.0321
R5S,800,Validation,Transport,1.6108e-16,4.0270e-17,7.3915e-11,2.2174e-11,0.2146,0.0322
R10S,20,Calibration,Transport,1.2933e-17,3.2333e-18,1.1038e-11,3.3115e-12,0.1294,0.0194
R10S,40,Calibration,Transport,1.3853e-17,3.4631e-18,1.1604e-11,3.4813e-12,0.1355,0.0203
R10S,60,Calibration,Transport,1.4837e-17,3.7093e-18,1.2199e-11,3.6598e-12,0.1411,0.0212
R10S,80,Calibration,Transport,1.5892e-17,3.9730e-18,1.2825e-11,3.8474e-12,0.1464,0.022
R10S,100,Calibration,Transport,1.7021e-17,4.2553e-18,1.3482e-11,4.0447e-12,0.1513,0.0227
R10S,120,Calibration,Transport,1.8231e-17,4.5578e-18,1.4174e-11,4.2521e-12,0.156,0.0234
R10S,140,Calibration,Transport,1.9527e-17,4.8818e-18,1.4900e-11,4.4701e-12,0.1603,0.024
R10S,160,Calibration,Transport,2.0915e-17,5.2288e-18,1.5664e-11,4.6992e-12,0.1643,0.0247
R10S,180,Calibration,Transport,2.2402e-17,5.6004e-18,1.6467e-11,4.9402e-12,0.1681,0.0252
R10S,200,Calibration,Transport,2.3994e-17,5.9985e-18,1.7312e-11,5.1935e-12,0.1717,0.0257
R10S,220,Calibration,Transport,2.5699e-17,6.4249e-18,1.8199e-11,5.4597e-12,0.175,0.0262
R10S,240,Calibration,Transport,2.7526e-17,6.8815e-18,1.9132e-11,5.7397e-12,0.1781,0.0267
R10S,260,Calibration,Transport,2.9483e-17,7.3707e-18,2.0113e-11,6.0340e-12,0.181,0.0271
R10S,280,Calibration,Transport,3.1578e-17,7.8946e-18,2.1144e-11,6.3433e-12,0.1837,0.0276
R10S,300,Calibration,Transport,3.3823e-17,8.4557e-18,2.2229e-11,6.6686e-12,0.1862,0.0279
R10S,320,Calibration,Transport,3.6227e-17,9.0567e-18,2.3368e-11,7.0105e-12,0.1886,0.0283
R10S,340,Calibration,Transport,3.8802e-17,9.7005e-18,2.4566e-11,7.3699e-12,0.1908,0.0286
R10S,360,Calibration,Transport,4.1560e-17,1.0390e-17,2.5826e-11,7.7477e-12,0.1929,0.0289
R10S,380,Calibration,Transport,4.4514e-17,1.1129e-17,2.7150e-11,8.1450e-12,0.1948,0.0292
R10S,400,Calibration,Transport,4.7678e-17,1.1920e-17,2.8542e-11,8.5626e-12,0.1966,0.0295
R10S,420,Calibration,Transport,5.1067e-17,1.2767e-17,3.0005e-11,9.0016e-12,0.1983,0.0298
R10S,440,Calibration,Transport,5.4697e-17,1.3674e-17,3.1544e-11,9.4631e-12,0.1999,0.03
R10S,460,Calibration,Transport,5.8585e-17,1.4646e-17,3.3161e-11,9.9483e-12,0.2014,0.0302
R10S,480,Calibration,Transport,6.2749e-17,1.5687e-17,3.4861e-11,1.0458e-11,0.2028,0.0304
R10S,500,Calibration,Transport,6.7209e-17,1.6802e-17,3.6649e-11,1.0995e-11,0.2041,0.0306
R10S,520,Calibration,Transport,7.1986e-17,1.7996e-17,3.8528e-11,1.1558e-11,0.2053,0.0308
R10S,540,Calibration,Transport,7.7103e-17,1.9276e-17,4.0503e-11,1.2151e-11,0.2065,0.031
R10S,560,Calibration,Transport,8.2583e-17,2.0646e-17,4.2580e-11,1.2774e-11,0.2075,0.0311
R10S,580,Calibration,Transport,8.8453e-17,2.2113e-17,4.4763e-11,1.3429e-11,0.2085,0.0313
R10S,600,Calibration,Transport,9.4740e-17,2.3685e-17,4.7058e-11,1.4117e-11,0.2095,0.0314
R10S,620,Calibration,Transport,1.0147e-16,2.5369e-17,4.9470e-11,1.4841e-11,0.2103,0.0316
R10S,640,Calibration,Transport,1.0869e-16,2.7172e-17,5.2007e-11,1.5602e-11,0.2112,0.0317
R10S,660,Calibration,Transport,1.1641e-16,2.9103e-17,5.4673e-11,1.6402e-11,0.2119,0.0318
R10S,680,Calibration,Transport,1.2469e-16,3.1172e-17,5.7476e-11,1.7243e-11,0.2126,0.0319
R10S,700,Calibration,Transport,1.3355e-16,3.3387e-17,6.0423e-11,1.8127e-11,0.2133,0.032
R10S,720,Calibration,Transport,1.4304e-16,3.5760e-17,6.3521e-11,1.9056e-11,0.2139,0.0321
R10S,740,Calibration,Transport,1.5321e-16,3.8302e-17,6.6778e-11,2.0033e-11,0.2145,0.0322
R10S,760,Calibration,Transport,1.6410e-16,4.1025e-17,7.0202e-11,2.1061e-11,0.2151,0.0323
R10S,780,Calibration,Transport,1.7576e-16,4.3941e-17,7.3801e-11,2.2140e-11,0.2156,0.0323
R10S,800,Calibration,Transport,1.8826e-16,4.7064e-17,7.7585e-11,2.3276e-11,0.2161,0.0324
R10S,20,Validation,Transport,1.4905e-17,3.7264e-18,1.2722e-11,3.8165e-12,0.1294,0.0194
R10S,40,Validation,Transport,1.5965e-17,3.9912e-18,1.3374e-11,4.0121e-12,0.1355,0.0203
R10S,60,Validation,Transport,1.7100e-17,4.2749e-18,1.4060e-11,4.2179e-12,0.1411,0.0212
R10S,80,Validation,Transport,1.8315e-17,4.5788e-18,1.4780e-11,4.4341e-12,0.1464,0.022
R10S,100,Validation,Transport,1.9617e-17,4.9042e-18,1.5538e-11,4.6615e-12,0.1513,0.0227
R10S,120,Validation,Transport,2.1011e-17,5.2528e-18,1.6335e-11,4.9005e-12,0.156,0.0234
R10S,140,Validation,Transport,2.2505e-17,5.6262e-18,1.7172e-11,5.1517e-12,0.1603,0.024
R10S,160,Validation,Transport,2.4104e-17,6.0261e-18,1.8053e-11,5.4158e-12,0.1643,0.0247
R10S,180,Validation,Transport,2.5818e-17,6.4544e-18,1.8978e-11,5.6935e-12,0.1681,0.0252
R10S,200,Validation,Transport,2.7653e-17,6.9132e-18,1.9951e-11,5.9854e-12,0.1717,0.0257
R10S,220,Validation,Transport,2.9618e-17,7.4046e-18,2.0974e-11,6.2923e-12,0.175,0.0262
R10S,240,Validation,Transport,3.1724e-17,7.9309e-18,2.2050e-11,6.6149e-12,0.1781,0.0267
R10S,260,Validation,Transport,3.3979e-17,8.4946e-18,2.3180e-11,6.9541e-12,0.181,0.0271
R10S,280,Validation,Transport,3.6394e-17,9.0984e-18,2.4369e-11,7.3106e-12,0.1837,0.0276
R10S,300,Validation,Transport,3.8981e-17,9.7451e-18,2.5618e-11,7.6854e-12,0.1862,0.0279
R10S,320,Validation,Transport,4.1751e-17,1.0438e-17,2.6932e-11,8.0795e-12,0.1886,0.0283
R10S,340,Validation,Transport,4.4719e-17,1.1180e-17,2.8312e-11,8.4937e-12,0.1908,0.0286
R10S,360,Validation,Transport,4.7897e-17,1.1974e-17,2.9764e-11,8.9292e-12,0.1929,0.0289
R10S,380,Validation,Transport,5.1302e-17,1.2825e-17,3.1290e-11,9.3870e-12,0.1948,0.0292
R10S,400,Validation,Transport,5.4948e-17,1.3737e-17,3.2894e-11,9.8683e-12,0.1966,0.0295
R10S,420,Validation,Transport,5.8854e-17,1.4714e-17,3.4581e-11,1.0374e-11,0.1983,0.0298
R10S,440,Validation,Transport,6.3037e-17,1.5759e-17,3.6354e-11,1.0906e-11,0.1999,0.03
R10S,460,Validation,Transport,6.7518e-17,1.6880e-17,3.8218e-11,1.1465e-11,0.2014,0.0302
R10S,480,Validation,Transport,7.2317e-17,1.8079e-17,4.0177e-11,1.2053e-11,0.2028,0.0304
R10S,500,Validation,Transport,7.7457e-17,1.9364e-17,4.2237e-11,1.2671e-11,0.2041,0.0306
R10S,520,Validation,Transport,8.2963e-17,2.0741e-17,4.4403e-11,1.3321e-11,0.2053,0.0308
R10S,540,Validation,Transport,8.8860e-17,2.2215e-17,4.6679e-11,1.4004e-11,0.2065,0.031
R10S,560,Validation,Transport,9.5176e-17,2.3794e-17,4.9073e-11,1.4722e-11,0.2075,0.0311
R10S,580,Validation,Transport,1.0194e-16,2.5485e-17,5.1589e-11,1.5477e-11,0.2085,0.0313
R10S,600,Validation,Transport,1.0919e-16,2.7297e-17,5.4234e-11,1.6270e-11,0.2095,0.0314
R10S,620,Validation,Transport,1.1695e-16,2.9237e-17,5.7014e-11,1.7104e-11,0.2103,0.0316
R10S,640,Validation,Transport,1.2526e-16,3.1315e-17,5.9937e-11,1.7981e-11,0.2112,0.0317
R10S,660,Validation,Transport,1.3416e-16,3.3541e-17,6.3010e-11,1.8903e-11,0.2119,0.0318
R10S,680,Validation,Transport,1.4370e-16,3.5925e-17,6.6241e-11,1.9872e-11,0.2126,0.0319
R10S,700,Validation,Transport,1.5391e-16,3.8479e-17,6.9637e-11,2.0891e-11,0.2133,0.032
R10S,720,Validation,Transport,1.6485e-16,4.1214e-17,7.3208e-11,2.1962e-11,0.2139,0.0321
R10S,740,Validation,Transport,1.7657e-16,4.4143e-17,7.6961e-11,2.3088e-11,0.2145,0.0322
R10S,760,Validation,Transport,1.8912e-16,4.7281e-17,8.0907e-11,2.4272e-11,0.2151,0.0323
R10S,780,Validation,Transport,2.0257e-16,5.0641e-17,8.5055e-11,2.5517e-11,0.2156,0.0323
R10S,800,Validation,Transport,2.1696e-16,5.4241e-17,8.9416e-11,2.6825e-11,0.2161,0.0324
R15S,20,Calibration,Transport,1.4119e-17,3.5297e-18,1.1301e-11,3.3903e-12,0.1309,0.0196
R15S,40,Calibration,Transport,1.5138e-17,3.7844e-18,1.1881e-11,3.5642e-12,0.137,0.0205
R15S,60,Calibration,Transport,1.6230e-17,4.0574e-18,1.2490e-11,3.7469e-12,0.1426,0.0214
R15S,80,Calibration,Transport,1.7401e-17,4.3502e-18,1.3130e-11,3.9390e-12,0.1479,0.0222
R15S,100,Calibration,Transport,1.8656e-17,4.6641e-18,1.3803e-11,4.1410e-12,0.1528,0.0229
R15S,120,Calibration,Transport,2.0002e-17,5.0006e-18,1.4511e-11,4.3533e-12,0.1575,0.0236
R15S,140,Calibration,Transport,2.1445e-17,5.3614e-18,1.5255e-11,4.5765e-12,0.1618,0.0243
R15S,160,Calibration,Transport,2.2993e-17,5.7482e-18,1.6037e-11,4.8111e-12,0.1658,0.0249
