Mix_ID,Temperature_C,Data_Type,Property_Type,Thermal_Strain,Thermal_Strain_Std,Creep_Coefficient,Creep_Coefficient_Std,Shrinkage_Strain,Shrinkage_Strain_Std
C,480,Calibration,Deformation,0.006764,0.000676,1.49,0.298,-0.001700,0.000425
C,500,Calibration,Deformation,0.007040,0.000704,1.5,0.3,-0.001750,0.000438
C,520,Calibration,Deformation,0.007280,0.000728,1.49,0.298,-0.001800,0.000450
C,540,Calibration,Deformation,0.007486,0.000749,1.4608,0.2922,-0.001850,0.000463
C,560,Calibration,Deformation,0.007660,0.000766,1.4139,0.2828,-0.001900,0.000475
C,580,Calibration,Deformation,0.007808,0.000781,1.3521,0.2704,-0.001950,0.000487
C,600,Calibration,Deformation,0.007938,0.000794,1.2788,0.2558,-0.002000,0.000500
C,620,Calibration,Deformation,0.008055,0.000806,1.1977,0.2395,-0.002050,0.000512
C,640,Calibration,Deformation,0.008169,0.000817,1.1126,0.2225,-0.002100,0.000525
C,660,Calibration,Deformation,0.008287,0.000829,1.0273,0.2055,-0.002150,0.000538
C,680,Calibration,Deformation,0.008414,0.000841,0.9449,0.189,-0.002200,0.000550
C,700,Calibration,Deformation,0.008556,0.000856,0.8679,0.1736,-0.002250,0.000563
C,720,Calibration,Deformation,0.008716,0.000872,0.7982,0.1596,-0.002300,0.000575
C,740,Calibration,Deformation,0.008898,0.000890,0.7369,0.1474,-0.002350,0.000588
C,760,Calibration,Deformation,0.009101,0.000910,0.6845,0.1369,-0.002400,0.000600
C,780,Calibration,Deformation,0.009326,0.000933,0.6409,0.1282,-0.002450,0.000613
C,800,Calibration,Deformation,0.009571,0.000957,0.6054,0.1211,-0.002500,0.000625
C,20,Validation,Deformation,0.000007,0.000001,0.5032,0.1006,-0.000585,0.000146
C,40,Validation,Deformation,0.000185,0.000019,0.505,0.101,-0.000638,0.000159
C,60,Validation,Deformation,0.000370,0.000037,0.5079,0.1016,-0.000691,0.000173
C,80,Validation,Deformation,0.000562,0.000056,0.5122,0.1024,-0.000744,0.000186
C,100,Validation,Deformation,0.000762,0.000076,0.5183,0.1037,-0.000797,0.000199
C,120,Validation,Deformation,0.000972,0.000097,0.5271,0.1054,-0.000850,0.000213
C,140,Validation,Deformation,0.001193,0.000119,0.5392,0.1078,-0.000904,0.000226
C,160,Validation,Deformation,0.001428,0.000143,0.5556,0.1111,-0.000957,0.000239
C,180,Validation,Deformation,0.001678,0.000168,0.5773,0.1155,-0.001010,0.000252
C,200,Validation,Deformation,0.001946,0.000195,0.6054,0.1211,-0.001063,0.000266
C,220,Validation,Deformation,0.002234,0.000223,0.6409,0.1282,-0.001116,0.000279
C,240,Validation,Deformation,0.002544,0.000254,0.6845,0.1369,-0.001169,0.000292
C,260,Validation,Deformation,0.002877,0.000288,0.7369,0.1474,-0.001223,0.000306
C,280,Validation,Deformation,0.003232,0.000323,0.7982,0.1596,-0.001276,0.000319
C,300,Validation,Deformation,0.003610,0.000361,0.8679,0.1736,-0.001329,0.000332
C,320,Validation,Deformation,0.004008,0.000401,0.9449,0.189,-0.001382,0.000346
C,340,Validation,Deformation,0.004421,0.000442,1.0273,0.2055,-0.001435,0.000359
C,360,Validation,Deformation,0.004845,0.000484,1.1126,0.2225,-0.001488,0.000372
C,380,Validation,Deformation,0.005272,0.000527,1.1977,0.2395,-0.001542,0.000385
C,400,Validation,Deformation,0.005696,0.000570,1.2788,0.2558,-0.001595,0.000399
C,420,Validation,Deformation,0.006107,0.000611,1.3521,0.2704,-0.001648,0.000412
C,440,Validation,Deformation,0.006498,0.000650,1.4139,0.2828,-0.001701,0.000425
C,460,Validation,Deformation,0.006861,0.000686,1.4608,0.2922,-0.001754,0.000439
C,480,Validation,Deformation,0.007191,0.000719,1.49,0.298,-0.001807,0.000452
C,500,Validation,Deformation,0.007484,0.000748,1.5,0.3,-0.001860,0.000465
C,520,Validation,Deformation,0.007740,0.000774,1.49,0.298,-0.001914,0.000478
C,540,Validation,Deformation,0.007958,0.000796,1.4608,0.2922,-0.001967,0.000492
C,560,Validation,Deformation,0.008143,0.000814,1.4139,0.2828,-0.002020,0.000505
C,580,Validation,Deformation,0.008301,0.000830,1.3521,0.2704,-0.002073,0.000518
C,600,Validation,Deformation,0.008439,0.000844,1.2788,0.2558,-0.002126,0.000532
C,620,Validation,Deformation,0.008564,0.000856,1.1977,0.2395,-0.002179,0.000545
C,640,Validation,Deformation,0.008685,0.000868,1.1126,0.2225,-0.002233,0.000558
C,660,Validation,Deformation,0.008810,0.000881,1.0273,0.2055,-0.002286,0.000571
C,680,Validation,Deformation,0.008945,0.000894,0.9449,0.189,-0.002339,0.000585
C,700,Validation,Deformation,0.009096,0.000910,0.8679,0.1736,-0.002392,0.000598
C,720,Validation,Deformation,0.009267,0.000927,0.7982,0.1596,-0.002445,0.000611
C,740,Validation,Deformation,0.009460,0.000946,0.7369,0.1474,-0.002498,0.000625
C,760,Validation,Deformation,0.009676,0.000968,0.6845,0.1369,-0.002551,0.000638
C,780,Validation,Deformation,0.009914,0.000991,0.6409,0.1282,-0.002605,0.000651
C,800,Validation,Deformation,0.010175,0.001017,0.6054,0.1211,-0.002658,0.000664
R5S,20,Calibration,Deformation,0.000006,0.000001,0.5132,0.1026,-0.000550,0.000138
R5S,40,Calibration,Deformation,0.000177,0.000018,0.5151,0.103,-0.000600,0.000150
R5S,60,Calibration,Deformation,0.000353,0.000035,0.5181,0.1036,-0.000650,0.000163
R5S,80,Calibration,Deformation,0.000536,0.000054,0.5224,0.1045,-0.000700,0.000175
R5S,100,Calibration,Deformation,0.000727,0.000073,0.5287,0.1057,-0.000750,0.000188
R5S,120,Calibration,Deformation,0.000927,0.000093,0.5376,0.1075,-0.000800,0.000200
R5S,140,Calibration,Deformation,0.001138,0.000114,0.5499,0.11,-0.000850,0.000212
R5S,160,Calibration,Deformation,0.001362,0.000136,0.5667,0.1133,-0.000900,0.000225
R5S,180,Calibration,Deformation,0.001600,0.000160,0.5889,0.1178,-0.000950,0.000237
R5S,200,Calibration,Deformation,0.001855,0.000186,0.6175,0.1235,-0.001000,0.000250
R5S,220,Calibration,Deformation,0.002129,0.000213,0.6537,0.1307,-0.001050,0.000263
R5S,240,Calibration,Deformation,0.002423,0.000242,0.6982,0.1396,-0.001100,0.000275
R5S,260,Calibration,Deformation,0.002739,0.000274,0.7517,0.1503,-0.001150,0.000287
R5S,280,Calibration,Deformation,0.003077,0.000308,0.8142,0.1628,-0.001200,0.000300
R5S,300,Calibration,Deformation,0.003436,0.000344,0.8852,0.177,-0.001250,0.000313
R5S,320,Calibration,Deformation,0.003813,0.000381,0.9638,0.1928,-0.001300,0.000325
R5S,340,Calibration,Deformation,0.004205,0.000421,1.0478,0.2096,-0.001350,0.000338
R5S,360,Calibration,Deformation,0.004607,0.000461,1.1349,0.227,-0.001400,0.000350
R5S,380,Calibration,Deformation,0.005013,0.000501,1.2216,0.2443,-0.001450,0.000362
R5S,400,Calibration,Deformation,0.005415,0.000541,1.3044,0.2609,-0.001500,0.000375
R5S,420,Calibration,Deformation,0.005805,0.000580,1.3792,0.2758,-0.001550,0.000388
R5S,440,Calibration,Deformation,0.006176,0.000618,1.4422,0.2884,-0.001600,0.000400
R5S,460,Calibration,Deformation,0.006522,0.000652,1.49,0.298,-0.001650,0.000412
R5S,480,Calibration,Deformation,0.006836,0.000684,1.5199,0.304,-0.001700,0.000425
R5S,500,Calibration,Deformation,0.007116,0.000712,1.53,0.306,-0.001750,0.000438
R5S,520,Calibration,Deformation,0.007360,0.000736,1.5199,0.304,-0.001800,0.000450
R5S,540,Calibration,Deformation,0.007569,0.000757,1.49,0.298,-0.001850,0.000463
R5S,560,Calibration,Deformation,0.007747,0.000775,1.4422,0.2884,-0.001900,0.000475
R5S,580,Calibration,Deformation,0.007900,0.000790,1.3792,0.2758,-0.001950,0.000487
R5S,600,Calibration,Deformation,0.008033,0.000803,1.3044,0.2609,-0.002000,0.000500
R5S,620,Calibration,Deformation,0.008155,0.000816,1.2216,0.2443,-0.002050,0.000512
R5S,640,Calibration,Deformation,0.008273,0.000827,1.1349,0.227,-0.002100,0.000525
R5S,660,Calibration,Deformation,0.008395,0.000840,1.0478,0.2096,-0.002150,0.000538
R5S,680,Calibration,Deformation,0.008527,0.000853,0.9638,0.1928,-0.002200,0.000550
R5S,700,Calibration,Deformation,0.008673,0.000867,0.8852,0.177,-0.002250,0.000563
R5S,720,Calibration,Deformation,0.008838,0.000884,0.8142,0.1628,-0.002300,0.000575
R5S,740,Calibration,Deformation,0.009024,0.000902,0.7517,0.1503,-0.002350,0.000588
R5S,760,Calibration,Deformation,0.009232,0.000923,0.6982,0.1396,-0.002400,0.000600
R5S,780,Calibration,Deformation,0.009461,0.000946,0.6537,0.1307,-0.002450,0.000613
R5S,800,Calibration,Deformation,0.009711,0.000971,0.6175,0.1235,-0.002500,0.000625
R5S,20,Validation,Deformation,0.000007,0.000001,0.5132,0.1026,-0.000592,0.000148
R5S,40,Validation,Deformation,0.000190,0.000019,0.5151,0.103,-0.000646,0.000161
R5S,60,Validation,Deformation,0.000380,0.000038,0.5181,0.1036,-0.000700,0.000175
R5S,80,Validation,Deformation,0.000577,0.000058,0.5224,0.1045,-0.000753,0.000188
R5S,100,Validation,Deformation,0.000782,0.000078,0.5287,0.1057,-0.000807,0.000202
R5S,120,Validation,Deformation,0.000998,0.000100,0.5376,0.1075,-0.000861,0.000215
R5S,140,Validation,Deformation,0.001225,0.000122,0.5499,0.11,-0.000915,0.000229
R5S,160,Validation,Deformation,0.001466,0.000147,0.5667,0.1133,-0.000969,0.000242
R5S,180,Validation,Deformation,0.001722,0.000172,0.5889,0.1178,-0.001023,0.000256
R5S,200,Validation,Deformation,0.001997,0.000200,0.6175,0.1235,-0.001076,0.000269
R5S,220,Validation,Deformation,0.002292,0.000229,0.6537,0.1307,-0.001130,0.000283
R5S,240,Validation,Deformation,0.002609,0.000261,0.6982,0.1396,-0.001184,0.000296
R5S,260,Validation,Deformation,0.002949,0.000295,0.7517,0.1503,-0.001238,0.000309
R5S,280,Validation,Deformation,0.003312,0.000331,0.8142,0.1628,-0.001292,0.000323
R5S,300,Validation,Deformation,0.003698,0.000370,0.8852,0.177,-0.001346,0.000336
R5S,320,Validation,Deformation,0.004104,0.000410,0.9638,0.1928,-0.001399,0.000350
R5S,340,Validation,Deformation,0.004526,0.000453,1.0478,0.2096,-0.001453,0.000363
R5S,360,Validation,Deformation,0.004959,0.000496,1.1349,0.227,-0.001507,0.000377
R5S,380,Validation,Deformation,0.005396,0.000540,1.2216,0.2443,-0.001561,0.000390
R5S,400,Validation,Deformation,0.005828,0.000583,1.3044,0.2609,-0.001615,0.000404
R5S,420,Validation,Deformation,0.006248,0.000625,1.3792,0.2758,-0.001668,0.000417
R5S,440,Validation,Deformation,0.006648,0.000665,1.4422,0.2884,-0.001722,0.000431
R5S,460,Validation,Deformation,0.007020,0.000702,1.49,0.298,-0.001776,0.000444
R5S,480,Validation,Deformation,0.007358,0.000736,1.5199,0.304,-0.001830,0.000457
R5S,500,Validation,Deformation,0.007659,0.000766,1.53,0.306,-0.001884,0.000471
R5S,520,Validation,Deformation,0.007922,0.000792,1.5199,0.304,-0.001938,0.000484
R5S,540,Validation,Deformation,0.008147,0.000815,1.49,0.298,-0.001991,0.000498
R5S,560,Validation,Deformation,0.008339,0.000834,1.4422,0.2884,-0.002045,0.000511
R5S,580,Validation,Deformation,0.008503,0.000850,1.3792,0.2758,-0.002099,0.000525
R5S,600,Validation,Deformation,0.008647,0.000865,1.3044,0.2609,-0.002153,0.000538
R5S,620,Validation,Deformation,0.008778,0.000878,1.2216,0.2443,-0.002207,0.000552
R5S,640,Validation,Deformation,0.008906,0.000891,1.1349,0.227,-0.002260,0.000565
R5S,660,Validation,Deformation,0.009037,0.000904,1.0478,0.2096,-0.002314,0.000579
R5S,680,Validation,Deformation,0.009178,0.000918,0.9638,0.1928,-0.002368,0.000592
R5S,700,Validation,Deformation,0.009336,0.000934,0.8852,0.177,-0.002422,0.000605
R5S,720,Validation,Deformation,0.009513,0.000951,0.8142,0.1628,-0.002476,0.000619
R5S,740,Validation,Deformation,0.009714,0.000971,0.7517,0.1503,-0.002530,0.000632
R5S,760,Validation,Deformation,0.009937,0.000994,0.6982,0.1396,-0.002583,0.000646
R5S,780,Validation,Deformation,0.010184,0.001018,0.6537,0.1307,-0.002637,0.000659
R5S,800,Validation,Deformation,0.010453,0.001045,0.6175,0.1235,-0.002691,0.000673
R10S,20,Calibration,Deformation,0.000006,0.000001,0.5233,0.1047,-0.000550,0.000138
R10S,40,Calibration,Deformation,0.000179,0.000018,0.5252,0.105,-0.000600,0.000150
R10S,60,Calibration,Deformation,0.000358,0.000036,0.5282,0.1056,-0.000650,0.000163
R10S,80,Calibration,Deformation,0.000543,0.000054,0.5326,0.1065,-0.000700,0.000175
R10S,100,Calibration,Deformation,0.000737,0.000074,0.539,0.1078,-0.000750,0.000188
R10S,120,Calibration,Deformation,0.000940,0.000094,0.5481,0.1096,-0.000800,0.000200
R10S,140,Calibration,Deformation,0.001154,0.000115,0.5607,0.1121,-0.000850,0.000212
R10S,160,Calibration,Deformation,0.001380,0.000138,0.5778,0.1156,-0.000900,0.000225
R10S,180,Calibration,Deformation,0.001621,0.000162,0.6004,0.1201,-0.000950,0.000237
R10S,200,Calibration,Deformation,0.001879,0.000188,0.6296,0.1259,-0.001000,0.000250
R10S,220,Calibration,Deformation,0.002156,0.000216,0.6665,0.1333,-0.001050,0.000263
R10S,240,Calibration,Deformation,0.002454,0.000245,0.7119,0.1424,-0.001100,0.000275
R10S,260,Calibration,Deformation,0.002773,0.000277,0.7664,0.1533,-0.001150,0.000287
R10S,280,Calibration,Deformation,0.003114,0.000311,0.8301,0.166,-0.001200,0.000300
R10S,300,Calibration,Deformation,0.003476,0.000348,0.9026,0.1805,-0.001250,0.000313
R10S,320,Calibration,Deformation,0.003856,0.000386,0.9827,0.1965,-0.001300,0.000325
R10S,340,Calibration,Deformation,0.004252,0.000425,1.0684,0.2137,-0.001350,0.000338
R10S,360,Calibration,Deformation,0.004657,0.000466,1.1571,0.2314,-0.001400,0.000350
R10S,380,Calibration,Deformation,0.005066,0.000507,1.2456,0.2491,-0.001450,0.000362
R10S,400,Calibration,Deformation,0.005472,0.000547,1.33,0.266,-0.001500,0.000375
R10S,420,Calibration,Deformation,0.005865,0.000587,1.4062,0.2812,-0.001550,0.000388
R10S,440,Calibration,Deformation,0.006240,0.000624,1.4705,0.2941,-0.001600,0.000400
R10S,460,Calibration,Deformation,0.006590,0.000659,1.5192,0.3038,-0.001650,0.000412
R10S,480,Calibration,Deformation,0.006908,0.000691,1.5497,0.3099,-0.001700,0.000425
R10S,500,Calibration,Deformation,0.007191,0.000719,1.56,0.312,-0.001750,0.000438
R10S,520,Calibration,Deformation,0.007439,0.000744,1.5497,0.3099,-0.001800,0.000450
R10S,540,Calibration,Deformation,0.007652,0.000765,1.5192,0.3038,-0.001850,0.000463
R10S,560,Calibration,Deformation,0.007835,0.000783,1.4705,0.2941,-0.001900,0.000475
R10S,580,Calibration,Deformation,0.007991,0.000799,1.4062,0.2812,-0.001950,0.000487
R10S,600,Calibration,Deformation,0.008129,0.000813,1.33,0.266,-0.002000,0.000500
R10S,620,Calibration,Deformation,0.008255,0.000826,1.2456,0.2491,-0.002050,0.000512
R10S,640,Calibration,Deformation,0.008378,0.000838,1.1571,0.2314,-0.002100,0.000525
R10S,660,Calibration,Deformation,0.008504,0.000850,1.0684,0.2137,-0.002150,0.000538
R10S,680,Calibration,Deformation,0.008639,0.000864,0.9827,0.1965,-0.002200,0.000550
R10S,700,Calibration,Deformation,0.008790,0.000879,0.9026,0.1805,-0.002250,0.000563
R10S,720,Calibration,Deformation,0.008960,0.000896,0.8301,0.166,-0.002300,0.000575
R10S,740,Calibration,Deformation,0.009151,0.000915,0.7664,0.1533,-0.002350,0.000588
R10S,760,Calibration,Deformation,0.009363,0.000936,0.7119,0.1424,-0.002400,0.000600
R10S,780,Calibration,Deformation,0.009597,0.000960,0.6665,0.1333,-0.002450,0.000613
R10S,800,Calibration,Deformation,0.009852,0.000985,0.6296,0.1259,-0.002500,0.000625
R10S,20,Validation,Deformation,0.000006,0.000001,0.5233,0.1047,-0.000501,0.000125
R10S,40,Validation,Deformation,0.000163,0.000016,0.5252,0.105,-0.000547,0.000137
R10S,60,Validation,Deformation,0.000326,0.000033,0.5282,0.1056,-0.000592,0.000148
R10S,80,Validation,Deformation,0.000495,0.000050,0.5326,0.1065,-0.000638,0.000159
R10S,100,Validation,Deformation,0.000672,0.000067,0.539,0.1078,-0.000683,0.000171
R10S,120,Validation,Deformation,0.000857,0.000086,0.5481,0.1096,-0.000729,0.000182
R10S,140,Validation,Deformation,0.001051,0.000105,0.5607,0.1121,-0.000775,0.000194
R10S,160,Validation,Deformation,0.001258,0.000126,0.5778,0.1156,-0.000820,0.000205
R10S,180,Validation,Deformation,0.001478,0.000148,0.6004,0.1201,-0.000866,0.000216
R10S,200,Validation,Deformation,0.001713,0.000171,0.6296,0.1259,-0.000911,0.000228
R10S,220,Validation,Deformation,0.001965,0.000197,0.6665,0.1333,-0.000957,0.000239
R10S,240,Validation,Deformation,0.002236,0.000224,0.7119,0.1424,-0.001002,0.000251
R10S,260,Validation,Deformation,0.002527,0.000253,0.7664,0.1533,-0.001048,0.000262
R10S,280,Validation,Deformation,0.002838,0.000284,0.8301,0.166,-0.001094,0.000273
R10S,300,Validation,Deformation,0.003167,0.000317,0.9026,0.1805,-0.001139,0.000285
R10S,320,Validation,Deformation,0.003514,0.000351,0.9827,0.1965,-0.001185,0.000296
R10S,340,Validation,Deformation,0.003875,0.000387,1.0684,0.2137,-0.001230,0.000308
R10S,360,Validation,Deformation,0.004244,0.000424,1.1571,0.2314,-0.001276,0.000319
R10S,380,Validation,Deformation,0.004617,0.000462,1.2456,0.2491,-0.001321,0.000330
R10S,400,Validation,Deformation,0.004986,0.000499,1.33,0.266,-0.001367,0.000342
R10S,420,Validation,Deformation,0.005345,0.000535,1.4062,0.2812,-0.001413,0.000353
R10S,440,Validation,Deformation,0.005687,0.000569,1.4705,0.2941,-0.001458,0.000365
R10S,460,Validation,Deformation,0.006005,0.000601,1.5192,0.3038,-0.001504,0.000376
R10S,480,Validation,Deformation,0.006295,0.000630,1.5497,0.3099,-0.001549,0.000387
R10S,500,Validation,Deformation,0.006553,0.000655,1.56,0.312,-0.001595,0.000399
R10S,520,Validation,Deformation,0.006779,0.000678,1.5497,0.3099,-0.001640,0.000410
R10S,540,Validation,Deformation,0.006974,0.000697,1.5192,0.3038,-0.001686,0.000421
R10S,560,Validation,Deformation,0.007140,0.000714,1.4705,0.2941,-0.001732,0.000433
R10S,580,Validation,Deformation,0.007283,0.000728,1.4062,0.2812,-0.001777,0.000444
R10S,600,Validation,Deformation,0.007408,0.000741,1.33,0.266,-0.001823,0.000456
R10S,620,Validation,Deformation,0.007523,0.000752,1.2456,0.2491,-0.001868,0.000467
R10S,640,Validation,Deformation,0.007635,0.000763,1.1571,0.2314,-0.001914,0.000478
R10S,660,Validation,Deformation,0.007749,0.000775,1.0684,0.2137,-0.001959,0.000490
R10S,680,Validation,Deformation,0.007873,0.000787,0.9827,0.1965,-0.002005,0.000501
R10S,700,Validation,Deformation,0.008011,0.000801,0.9026,0.1805,-0.002050,0.000513
R10S,720,Validation,Deformation,0.008165,0.000817,0.8301,0.166,-0.002096,0.000524
R10S,740,Validation,Deformation,0.008339,0.000834,0.7664,0.1533,-0.002142,0.000535
R10S,760,Validation,Deformation,0.008533,0.000853,0.7119,0.1424,-0.002187,0.000547
R10S,780,Validation,Deformation,0.008746,0.000875,0.6665,0.1333,-0.002233,0.000558
R10S,800,Validation,Deformation,0.008978,0.000898,0.6296,0.1259,-0.002278,0.000570
R15S,20,Calibration,Deformation,0.000006,0.000001,0.5333,0.1067,-0.000550,0.000138
R15S,40,Calibration,Deformation,0.000181,0.000018,0.5353,0.1071,-0.000600,0.000150
R15S,60,Calibration,Deformation,0.000363,0.000036,0.5384,0.1077,-0.000650,0.000163
R15S,80,Calibration,Deformation,0.000551,0.000055,0.5429,0.1086,-0.000700,0.000175
R15S,100,Calibration,Deformation,0.000747,0.000075,0.5494,0.1099,-0.000750,0.000188
R15S,120,Calibration,Deformation,0.000953,0.000095,0.5587,0.1117,-0.000800,0.000200
R15S,140,Calibration,Deformation,0.001169,0.000117,0.5715,0.1143,-0.000850,0.000212
R15S,160,Calibration,Deformation,0.001399,0.000140,0.5889,0.1178,-0.000900,0.000225
R15S,180,Calibration,Deformation,0.001643,0.000164,0.6119,0.1224,-0.000950,0.000237
R15S,200,Calibration,Deformation,0.001904,0.000190,0.6417,0.1283,-0.001000,0.000250
R15S,220,Calibration,Deformation,0.002184,0.000218,0.6793,0.1359,-0.001050,0.000263
R15S,240,Calibration,Deformation,0.002484,0.000248,0.7256,0.1451,-0.001100,0.000275
R15S,260,Calibration,Deformation,0.002806,0.000281,0.7811,0.1562,-0.001150,0.000287
R15S,280,Calibration,Deformation,0.003150,0.000315,0.8461,0.1692,-0.001200,0.000300
R15S,300,Calibration,Deformation,0.003515,0.000352,0.92,0.184,-0.001250,0.000313
R15S,320,Calibration,Deformation,0.003899,0.000390,1.0015,0.2003,-0.001300,0.000325
R15S,340,Calibration,Deformation,0.004298,0.000430,1.0889,0.2178,-0.001350,0.000338
R15S,360,Calibration,Deformation,0.004707,0.000471,1.1794,0.2359,-0.001400,0.000350
R15S,380,Calibration,Deformation,0.005120,0.000512,1.2695,0.2539,-0.001450,0.000362
R15S,400,Calibration,Deformation,0.005529,0.000553,1.3555,0.2711,-0.001500,0.000375
R15S,420,Calibration,Deformation,0.005926,0.000593,1.4333,0.2867,-0.001550,0.000388
R15S,440,Calibration,Deformation,0.006305,0.000630,1.4988,0.2998,-0.001600,0.000400
R15S,460,Calibration,Deformation,0.006658,0.000666,1.5484,0.3097,-0.001650,0.000412
R15S,480,Calibration,Deformation,0.006979,0.000698,1.5795,0.3159,-0.001700,0.000425
R15S,500,Calibration,Deformation,0.007267,0.000727,1.59,0.318,-0.001750,0.000438
R15S,520,Calibration,Deformation,0.007519,0.000752,1.5795,0.3159,-0.001800,0.000450
R15S,540,Calibration,Deformation,0.007736,0.000774,1.5484,0.3097,-0.001850,0.000463
R15S,560,Calibration,Deformation,0.007922,0.000792,1.4988,0.2998,-0.001900,0.000475
R15S,580,Calibration,Deformation,0.008083,0.000808,1.4333,0.2867,-0.001950,0.000487
R15S,600,Calibration,Deformation,0.008225,0.000822,1.3555,0.2711,-0.002000,0.000500
R15S,620,Calibration,Deformation,0.008355,0.000836,1.2695,0.2539,-0.002050,0.000512
R15S,640,Calibration,Deformation,0.008482,0.000848,1.1794,0.2359,-0.002100,0.000525
R15S,660,Calibration,Deformation,0.008612,0.000861,1.0889,0.2178,-0.002150,0.000538
R15S,680,Calibration,Deformation,0.008752,0.000875,1.0015,0.2003,-0.002200,0.000550
R15S,700,Calibration,Deformation,0.008908,0.000891,0.92,0.184,-0.002250,0.000563
R15S,720,Calibration,Deformation,0.009082,0.000908,0.8461,0.1692,-0.002300,0.000575
R15S,740,Calibration,Deformation,0.009277,0.000928,0.7811,0.1562,-0.002350,0.000588
R15S,760,Calibration,Deformation,0.009494,0.000949,0.7256,0.1451,-0.002400,0.000600
R15S,780,Calibration,Deformation,0.009733,0.000973,0.6793,0.1359,-0.002450,0.000613
R15S,800,Calibration,Deformation,0.009992,0.000999,0.6417,0.1283,-0.002500,0.000625
R15S,20,Validation,Deformation,0.000007,0.000001,0.5333,0.1067,-0.000576,0.000144
R15S,40,Validation,Deformation,0.000190,0.000019,0.5353,0.1071,-0.000628,0.000157
R15S,60,Validation,Deformation,0.000380,0.000038,0.5384,0.1077,-0.000681,0.000170
R15S,80,Validation,Deformation,0.000577,0.000058,0.5429,0.1086,-0.000733,0.000183
R15S,100,Validation,Deformation,0.000783,0.000078,0.5494,0.1099,-0.000785,0.000196
R15S,120,Validation,Deformation,0.000998,0.000100,0.5587,0.1117,-0.000838,0.000209
R15S,140,Validation,Deformation,0.001225,0.000122,0.5715,0.1143,-0.000890,0.000223
R15S,160,Validation,Deformation,0.001465,0.000146,0.5889,0.1178,-0.000943,0.000236
R15S,180,Validation,Deformation,0.001720,0.000172,0.6119,0.1224,-0.000995,0.000249
R15S,200,Validation,Deformation,0.001994,0.000199,0.6417,0.1283,-0.001047,0.000262
R15S,220,Validation,Deformation,0.002287,0.000229,0.6793,0.1359,-0.001100,0.000275
R15S,240,Validation,Deformation,0.002602,0.000260,0.7256,0.1451,-0.001152,0.000288
R15S,260,Validation,Deformation,0.002939,0.000294,0.7811,0.1562,-0.001204,0.000301
R15S,280,Validation,Deformation,0.003299,0.000330,0.8461,0.1692,-0.001257,0.000314
R15S,300,Validation,Deformation,0.003682,0.000368,0.92,0.184,-0.001309,0.000327
R15S,320,Validation,Deformation,0.004084,0.000408,1.0015,0.2003,-0.001361,0.000340
R15S,340,Validation,Deformation,0.004502,0.000450,1.0889,0.2178,-0.001414,0.000353
R15S,360,Validation,Deformation,0.004930,0.000493,1.1794,0.2359,-0.001466,0.000367
R15S,380,Validation,Deformation,0.005362,0.000536,1.2695,0.2539,-0.001519,0.000380
R15S,400,Validation,Deformation,0.005790,0.000579,1.3555,0.2711,-0.001571,0.000393
R15S,420,Validation,Deformation,0.006206,0.000621,1.4333,0.2867,-0.001623,0.000406
