country,month,sentiment_score
Nigeria,2021-05,-0.332
Nigeria,2021-06,0.135
Nigeria,2021-07,0.008
Nigeria,2021-08,0.094
Nigeria,2021-09,-0.073
Nigeria,2021-10,-0.067
Nigeria,2021-11,0.093
Nigeria,2021-12,0.002
Nigeria,2022-01,0.186
Nigeria,2022-02,0.1
Nigeria,2022-03,-0.136
Nigeria,2022-04,-0.08
Nigeria,2022-05,-0.044
Nigeria,2022-06,0.034
Nigeria,2022-07,0.115
Nigeria,2022-08,0.149
Nigeria,2022-09,0.063
Nigeria,2022-10,0.033
Nigeria,2022-11,0.147
Nigeria,2022-12,0.001
Nigeria,2023-01,0.098
Nigeria,2023-02,0.196
Nigeria,2023-03,0.158
Nigeria,2023-04,0.114
Nigeria,2023-05,-0.029
Nigeria,2023-06,0.008
Nigeria,2023-07,0.02
Nigeria,2023-08,0.101
Nigeria,2023-09,-0.03
Nigeria,2023-10,-0.164
Nigeria,2023-11,0.046
Nigeria,2023-12,-0.28
Nigeria,2024-01,-0.191
Nigeria,2024-02,0.228
Nigeria,2024-03,0.018
Nigeria,2024-04,0.051
Nigeria,2024-05,0.014
Nigeria,2024-06,0.108
Nigeria,2024-07,0.163
Nigeria,2024-08,0.098
Nigeria,2024-09,0.145
Nigeria,2024-10,-0.146
Nigeria,2024-11,-0.011
Nigeria,2024-12,-0.219
Ghana,2018-01,0.167
Ghana,2018-02,0.131
Ghana,2018-03,0.091
Ghana,2018-04,0.001
Ghana,2018-05,-0.292
Ghana,2018-06,-0.069
Ghana,2018-07,0.104
Ghana,2018-08,0.142
Ghana,2018-09,0.116
Ghana,2018-10,0.025
Ghana,2018-11,0.101
Ghana,2018-12,0.027
Ghana,2019-01,0.117
Ghana,2019-02,-0.005
Ghana,2019-03,-0.079
Ghana,2019-04,0.013
Ghana,2019-05,0.072
Ghana,2019-06,0.183
Ghana,2019-07,0.036
Ghana,2019-08,0.137
Ghana,2019-09,0.121
Ghana,2019-10,0.18
Ghana,2019-11,-0.027
Ghana,2019-12,0.142
Ghana,2020-01,0.163
Ghana,2020-02,0.29
Ghana,2020-03,0.136
Ghana,2020-04,-0.041
Ghana,2020-05,-0.18
Ghana,2020-06,-0.002
Ghana,2020-07,0.245
Ghana,2020-08,0.244
Ghana,2020-09,0.064
Ghana,2020-10,-0.063
Ghana,2020-11,-0.213
Ghana,2020-12,0.121
Ghana,2021-01,0.22
Ghana,2021-02,0.175
Ghana,2021-03,0.125
Ghana,2021-04,-0.293
Ghana,2021-05,-0.105
Ghana,2021-06,0.128
Ghana,2021-07,0.153
Ghana,2021-08,0.213
Ghana,2021-09,0.105
Ghana,2021-10,0.046
Ghana,2021-11,-0.05
Ghana,2021-12,-0.165
Ghana,2022-01,0.121
Ghana,2022-02,0.102
Ghana,2022-03,0.107
Ghana,2022-04,-0.11
Ghana,2022-05,0.005
Ghana,2022-06,0.021
Ghana,2022-07,0.058
Ghana,2022-08,0.21
Ghana,2022-09,0.109
Ghana,2022-10,-0.094
Ghana,2022-11,0.124
Ghana,2022-12,0.027
Ghana,2023-01,0.148
Ghana,2023-02,0.164
Ghana,2023-03,0.061
Ghana,2023-04,-0.141
Ghana,2023-05,-0.24
Ghana,2023-06,-0.078
Ghana,2023-07,0.176
Ghana,2023-08,-0.004
Ghana,2023-09,0.061
Ghana,2023-10,0.023
Ghana,2023-11,-0.069
Ghana,2023-12,0.202
Ghana,2024-01,0.306
Ghana,2024-02,0.192
Ghana,2024-03,0.064
Ghana,2024-04,0.123
Ghana,2024-05,-0.216
Ghana,2024-06,-0.045
Ghana,2024-07,0.312
Ghana,2024-08,0.22
Ghana,2024-09,0.1
Ghana,2024-10,-0.137
Ghana,2024-11,0.109
Ghana,2024-12,-0.159
Tanzania,2018-01,0.234
Tanzania,2018-02,0.335
Tanzania,2018-03,0.064
Tanzania,2018-04,0.079
Tanzania,2018-05,0.203
Tanzania,2018-06,-0.127
Tanzania,2018-07,0.131
Tanzania,2018-08,0.155
Tanzania,2018-09,0.169
Tanzania,2018-10,0.088
Tanzania,2018-11,-0.059
Tanzania,2018-12,0.028
Tanzania,2019-01,0.168
Tanzania,2019-02,0.221
Tanzania,2019-03,0.174
Tanzania,2019-04,0.168
Tanzania,2019-05,0.152
Tanzania,2019-06,0.204
Tanzania,2019-07,0.127
Tanzania,2019-08,0.263
Tanzania,2019-09,0.41
Tanzania,2019-10,0.213
Tanzania,2019-11,-0.01
Tanzania,2019-12,0.27
Tanzania,2020-01,0.173
Tanzania,2020-02,0.14
Tanzania,2020-03,0.295
Tanzania,2020-04,-0.042
Tanzania,2020-05,-0.155
Tanzania,2020-06,0.222
Tanzania,2020-07,0.216
Tanzania,2020-08,0.249
Tanzania,2020-09,0.158
Tanzania,2020-10,0.049
Tanzania,2020-11,0.018
Tanzania,2020-12,-0.009
Tanzania,2021-01,0.244
Tanzania,2021-02,0.201
Tanzania,2021-03,0.104
Tanzania,2021-04,0.046
Tanzania,2021-05,-0.179
Tanzania,2021-06,0.171
Tanzania,2021-07,0.2
Tanzania,2021-08,0.257
Tanzania,2021-09,0.191
Tanzania,2021-10,0.097
Tanzania,2021-11,0.016
Tanzania,2021-12,0.066
Tanzania,2022-01,0.252
Tanzania,2022-02,0.228
Tanzania,2022-03,0.351
Tanzania,2022-04,0.218
Tanzania,2022-05,0.112
Tanzania,2022-06,-0.017
Tanzania,2022-07,0.143
Tanzania,2022-08,0.216
Tanzania,2022-09,0.244
Tanzania,2022-10,-0.117
Tanzania,2022-11,0.019
Tanzania,2022-12,0.031
Tanzania,2023-01,0.088
Tanzania,2023-02,0.218
Tanzania,2023-03,0.004
Tanzania,2023-04,0.084
Tanzania,2023-05,0.345
Tanzania,2023-06,-0.011
Tanzania,2023-07,0.191
Tanzania,2023-08,0.193
Tanzania,2023-09,0.071
Tanzania,2023-10,0.163
Tanzania,2023-11,0.238
Tanzania,2023-12,0.23
Tanzania,2024-01,0.079
Tanzania,2024-02,0.382
Tanzania,2024-03,-0.012
Tanzania,2024-04,-0.0
Tanzania,2024-05,0.028
Tanzania,2024-06,0.204
Tanzania,2024-07,0.322
Tanzania,2024-08,0.445
Tanzania,2024-09,0.11
Tanzania,2024-10,0.032
Tanzania,2024-11,-0.127
Tanzania,2024-12,0.091
Uganda,2018-01,0.121
Uganda,2018-02,0.128
Uganda,2018-03,0.137
Uganda,2018-04,0.097
Uganda,2018-05,-0.248
Uganda,2018-06,0.077
Uganda,2018-07,0.107
Uganda,2018-08,0.262
Uganda,2018-09,0.085
Uganda,2018-10,0.144
Uganda,2018-11,-0.099
Uganda,2018-12,-0.208
Uganda,2019-01,0.242
Uganda,2019-02,0.072
Uganda,2019-03,-0.088
Uganda,2019-04,0.013
Uganda,2019-05,-0.05
Uganda,2019-06,0.105
Uganda,2019-07,0.214
Uganda,2019-08,0.191
Uganda,2019-09,0.02
Uganda,2019-10,0.055
Uganda,2019-11,-0.008
Uganda,2019-12,0.092
Uganda,2020-01,0.073
Uganda,2020-02,0.156
Uganda,2020-03,0.165
Uganda,2020-04,0.127
Uganda,2020-05,0.087
Uganda,2020-06,0.049
Uganda,2020-07,0.112
Uganda,2020-08,0.212
Uganda,2020-09,0.033
Uganda,2020-10,-0.048
Uganda,2020-11,0.118
Uganda,2020-12,0.036
Uganda,2021-01,0.088
Uganda,2021-02,0.259
Uganda,2021-03,0.243
Uganda,2021-04,-0.049
Uganda,2021-05,-0.055
Uganda,2021-06,-0.041
Uganda,2021-07,0.18
Uganda,2021-08,0.239
Uganda,2021-09,0.221
Uganda,2021-10,0.094
Uganda,2021-11,-0.19
Uganda,2021-12,-0.0
Uganda,2022-01,0.004
Uganda,2022-02,0.139
Uganda,2022-03,0.133
Uganda,2022-04,0.007
Uganda,2022-05,-0.131
Uganda,2022-06,-0.185
Uganda,2022-07,0.139
Uganda,2022-08,0.385
Uganda,2022-09,0.077
Uganda,2022-10,0.084
Uganda,2022-11,0.16
Uganda,2022-12,0.105
Uganda,2023-01,0.246
Uganda,2023-02,0.257
Uganda,2023-03,0.084
Uganda,2023-04,-0.22
Uganda,2023-05,-0.191
Uganda,2023-06,0.28
Uganda,2023-07,0.224
Uganda,2023-08,0.268
Uganda,2023-09,0.085
Uganda,2023-10,0.142
Uganda,2023-11,0.232
Uganda,2023-12,0.088
Uganda,2024-01,0.027
Uganda,2024-02,0.079
Uganda,2024-03,0.175
Uganda,2024-04,-0.178
Uganda,2024-05,0.019
Uganda,2024-06,-0.148
Uganda,2024-07,0.089
Uganda,2024-08,0.15
Uganda,2024-09,0.229
Uganda,2024-10,-0.157
Uganda,2024-11,-0.152
Uganda,2024-12,-0.124
South Africa,2018-01,0.02
South Africa,2018-02,0.125
South Africa,2018-03,0.062
South Africa,2018-04,-0.159
South Africa,2018-05,0.033
South Africa,2018-06,0.005
South Africa,2018-07,0.222
South Africa,2018-08,-0.037
South Africa,2018-09,-0.012
South Africa,2018-10,0.046
South Africa,2018-11,-0.131
South Africa,2018-12,-0.022
South Africa,2019-01,0.146
South Africa,2019-02,0.145
South Africa,2019-03,-0.022
South Africa,2019-04,-0.031
South Africa,2019-05,-0.124
South Africa,2019-06,0.108
South Africa,2019-07,0.097
South Africa,2019-08,0.169
South Africa,2019-09,0.358
South Africa,2019-10,-0.111
South Africa,2019-11,0.098
South Africa,2019-12,-0.253
South Africa,2020-01,-0.099
South Africa,2020-02,-0.023
South Africa,2020-03,-0.083
South Africa,2020-04,-0.037
South Africa,2020-05,-0.005
South Africa,2020-06,0.0
South Africa,2020-07,0.077
South Africa,2020-08,0.216
South Africa,2020-09,0.194
South Africa,2020-10,-0.165
South Africa,2020-11,-0.079
South Africa,2020-12,0.008
South Africa,2021-01,0.135
South Africa,2021-02,0.1
South Africa,2021-03,0.109
South Africa,2021-04,-0.071
South Africa,2021-05,-0.175
South Africa,2021-06,-0.075
South Africa,2021-07,0.145
South Africa,2021-08,0.189
South Africa,2021-09,0.127
South Africa,2021-10,-0.085
South Africa,2021-11,-0.137
South Africa,2021-12,-0.005
South Africa,2022-01,0.234
South Africa,2022-02,-0.018
South Africa,2022-03,0.13
South Africa,2022-04,0.054
South Africa,2022-05,0.133
South Africa,2022-06,-0.141
South Africa,2022-07,0.126
South Africa,2022-08,0.099
South Africa,2022-09,-0.102
South Africa,2022-10,0.159
South Africa,2022-11,-0.196
South Africa,2022-12,-0.086
South Africa,2023-01,0.232
South Africa,2023-02,0.034
South Africa,2023-03,0.203
South Africa,2023-04,-0.247
South Africa,2023-05,0.169
South Africa,2023-06,-0.169
South Africa,2023-07,0.005
South Africa,2023-08,0.134
South Africa,2023-09,0.174
South Africa,2023-10,0.038
South Africa,2023-11,0.008
South Africa,2023-12,0.083
South Africa,2024-01,0.422
South Africa,2024-02,0.216
South Africa,2024-03,-0.004
South Africa,2024-04,-0.084
South Africa,2024-05,-0.121
South Africa,2024-06,-0.025
South Africa,2024-07,0.036
South Africa,2024-08,0.282
South Africa,2024-09,0.191
South Africa,2024-10,0.157
South Africa,2024-11,-0.16
South Africa,2024-12,0.039
Ethiopia,2018-01,0.349
Ethiopia,2018-02,0.351
Ethiopia,2018-03,0.016
Ethiopia,2018-04,0.078
Ethiopia,2018-05,-0.009
Ethiopia,2018-06,0.155
Ethiopia,2018-07,0.207
Ethiopia,2018-08,-0.035
Ethiopia,2018-09,0.109
Ethiopia,2018-10,0.068
Ethiopia,2018-11,-0.141
Ethiopia,2018-12,0.107
Ethiopia,2019-01,0.018
Ethiopia,2019-02,0.122
Ethiopia,2019-03,0.25
Ethiopia,2019-04,-0.051
Ethiopia,2019-05,0.072
Ethiopia,2019-06,-0.095
Ethiopia,2019-07,0.376
Ethiopia,2019-08,0.183
Ethiopia,2019-09,0.137
Ethiopia,2019-10,0.055
Ethiopia,2019-11,0.071
Ethiopia,2019-12,-0.111
Ethiopia,2020-01,0.193
Ethiopia,2020-02,0.125
Ethiopia,2020-03,-0.05
Ethiopia,2020-04,0.12
Ethiopia,2020-05,-0.009
Ethiopia,2020-06,0.085
Ethiopia,2020-07,0.202
Ethiopia,2020-08,0.15
Ethiopia,2020-09,0.321
Ethiopia,2020-10,0.013
Ethiopia,2020-11,-0.178
Ethiopia,2020-12,-0.022
Ethiopia,2021-01,0.241
Ethiopia,2021-02,0.278
Ethiopia,2021-03,-0.03
Ethiopia,2021-04,0.086
Ethiopia,2021-05,-0.171
Ethiopia,2021-06,0.216
Ethiopia,2021-07,0.094
Ethiopia,2021-08,0.182
Ethiopia,2021-09,0.224
Ethiopia,2021-10,0.012
Ethiopia,2021-11,0.048
Ethiopia,2021-12,0.078
Ethiopia,2022-01,0.264
Ethiopia,2022-02,0.222
Ethiopia,2022-03,0.077
Ethiopia,2022-04,0.054
Ethiopia,2022-05,-0.07
Ethiopia,2022-06,0.077
Ethiopia,2022-07,0.282
Ethiopia,2022-08,0.155
Ethiopia,2022-09,0.247
Ethiopia,2022-10,0.025
Ethiopia,2022-11,0.175
Ethiopia,2022-12,0.053
Ethiopia,2023-01,0.134
Ethiopia,2023-02,0.27
Ethiopia,2023-03,-0.087
Ethiopia,2023-04,-0.013
Ethiopia,2023-05,-0.009
Ethiopia,2023-06,0.198
Ethiopia,2023-07,0.207
Ethiopia,2023-08,0.195
Ethiopia,2023-09,0.1
Ethiopia,2023-10,-0.119
Ethiopia,2023-11,-0.152
Ethiopia,2023-12,0.083
Ethiopia,2024-01,0.289
Ethiopia,2024-02,0.175
Ethiopia,2024-03,0.1
Ethiopia,2024-04,-0.006
Ethiopia,2024-05,0.141
Ethiopia,2024-06,0.105
Ethiopia,2024-07,0.36
Ethiopia,2024-08,0.067
Ethiopia,2024-09,0.098
Ethiopia,2024-10,-0.212
Ethiopia,2024-11,0.081
Ethiopia,2024-12,0.167
Rwanda,2018-01,0.113
Rwanda,2018-02,0.113
Rwanda,2018-03,0.124
Rwanda,2018-04,0.201
Rwanda,2018-05,0.072
Rwanda,2018-06,0.089
Rwanda,2018-07,0.163
Rwanda,2018-08,0.191
Rwanda,2018-09,0.045
Rwanda,2018-10,0.022
Rwanda,2018-11,-0.01
Rwanda,2018-12,0.212
Rwanda,2019-01,0.263
Rwanda,2019-02,0.21
Rwanda,2019-03,0.434
Rwanda,2019-04,0.045
Rwanda,2019-05,0.227
Rwanda,2019-06,0.34
Rwanda,2019-07,0.104
Rwanda,2019-08,0.311
Rwanda,2019-09,0.204
Rwanda,2019-10,0.095
Rwanda,2019-11,0.158
Rwanda,2019-12,0.088
Rwanda,2020-01,0.267
Rwanda,2020-02,0.266
Rwanda,2020-03,0.178
Rwanda,2020-04,0.016
Rwanda,2020-05,0.214
Rwanda,2020-06,0.301
Rwanda,2020-07,0.263
Rwanda,2020-08,0.232
Rwanda,2020-09,0.153
Rwanda,2020-10,0.093
Rwanda,2020-11,0.339
Rwanda,2020-12,0.221
Rwanda,2021-01,0.153
Rwanda,2021-02,0.328
Rwanda,2021-03,0.199
Rwanda,2021-04,0.233
Rwanda,2021-05,0.156
Rwanda,2021-06,0.277
Rwanda,2021-07,0.128
Rwanda,2021-08,0.252
Rwanda,2021-09,0.056
Rwanda,2021-10,-0.004
Rwanda,2021-11,0.156
Rwanda,2021-12,-0.0
Rwanda,2022-01,0.271
Rwanda,2022-02,0.341
Rwanda,2022-03,0.293
Rwanda,2022-04,0.088
Rwanda,2022-05,-0.167
Rwanda,2022-06,0.11
Rwanda,2022-07,0.347
Rwanda,2022-08,0.257
Rwanda,2022-09,0.412
Rwanda,2022-10,0.025
Rwanda,2022-11,-0.042
Rwanda,2022-12,0.257
Rwanda,2023-01,0.242
Rwanda,2023-02,0.336
Rwanda,2023-03,0.332
Rwanda,2023-04,0.162
Rwanda,2023-05,0.06
Rwanda,2023-06,0.211
Rwanda,2023-07,0.28
Rwanda,2023-08,0.416
Rwanda,2023-09,0.411
Rwanda,2023-10,0.262
Rwanda,2023-11,0.071
Rwanda,2023-12,0.15
Rwanda,2024-01,0.351
Rwanda,2024-02,0.28
Rwanda,2024-03,0.155
Rwanda,2024-04,0.16
Rwanda,2024-05,0.099
Rwanda,2024-06,0.167
Rwanda,2024-07,0.353
Rwanda,2024-08,0.274
Rwanda,2024-09,0.324
Rwanda,2024-10,0.111
Rwanda,2024-11,0.138
Rwanda,2024-12,0.163
Cameroon,2018-01,0.213
Cameroon,2018-02,0.009
Cameroon,2018-03,0.217
Cameroon,2018-04,-0.001
Cameroon,2018-05,-0.016
Cameroon,2018-06,-0.015
Cameroon,2018-07,0.173
Cameroon,2018-08,0.157
Cameroon,2018-09,0.215
Cameroon,2018-10,-0.145
Cameroon,2018-11,-0.029
Cameroon,2018-12,0.041
Cameroon,2019-01,0.123
Cameroon,2019-02,0.093
Cameroon,2019-03,0.017
Cameroon,2019-04,-0.003
Cameroon,2019-05,-0.221
Cameroon,2019-06,0.106
Cameroon,2019-07,0.091
Cameroon,2019-08,0.182
Cameroon,2019-09,0.13
Cameroon,2019-10,-0.069
Cameroon,2019-11,-0.047
Cameroon,2019-12,-0.204
Cameroon,2020-01,0.228
Cameroon,2020-02,0.253
Cameroon,2020-03,-0.121
Cameroon,2020-04,-0.036
Cameroon,2020-05,-0.127
Cameroon,2020-06,-0.013
Cameroon,2020-07,0.188
Cameroon,2020-08,0.242
Cameroon,2020-09,0.24
Cameroon,2020-10,0.131
Cameroon,2020-11,-0.039
Cameroon,2020-12,-0.086
Cameroon,2021-01,0.099
Cameroon,2021-02,0.242
Cameroon,2021-03,-0.066
Cameroon,2021-04,0.196
Cameroon,2021-05,0.048
Cameroon,2021-06,0.043
Cameroon,2021-07,0.022
Cameroon,2021-08,0.061
Cameroon,2021-09,0.112
Cameroon,2021-10,0.036
Cameroon,2021-11,0.047
Cameroon,2021-12,-0.077
Cameroon,2022-01,0.194
Cameroon,2022-02,0.117
Cameroon,2022-03,0.103
Cameroon,2022-04,-0.038
Cameroon,2022-05,0.021
Cameroon,2022-06,0.069
Cameroon,2022-07,0.115
Cameroon,2022-08,0.245
Cameroon,2022-09,0.012
Cameroon,2022-10,-0.011
Cameroon,2022-11,0.122
Cameroon,2022-12,-0.024
Cameroon,2023-01,0.083
Cameroon,2023-02,0.18
Cameroon,2023-03,0.167
Cameroon,2023-04,-0.121
Cameroon,2023-05,-0.146
Cameroon,2023-06,0.058
Cameroon,2023-07,0.141
Cameroon,2023-08,0.15
Cameroon,2023-09,-0.157
Cameroon,2023-10,0.056
Cameroon,2023-11,-0.092
Cameroon,2023-12,0.173
Cameroon,2024-01,0.2
Cameroon,2024-02,0.127
Cameroon,2024-03,0.056
Cameroon,2024-04,-0.102
Cameroon,2024-05,0.258
Cameroon,2024-06,-0.046
Cameroon,2024-07,0.259
Cameroon,2024-08,-0.04
Cameroon,2024-09,0.124
Cameroon,2024-10,0.159
Cameroon,2024-11,-0.088
Cameroon,2024-12,-0.011
Ivory Coast,2018-01,0.17
Ivory Coast,2018-02,0.163
Ivory Coast,2018-03,0.367
Ivory Coast,2018-04,0.035
Ivory Coast,2018-05,0.069
Ivory Coast,2018-06,0.263
Ivory Coast,2018-07,0.091
Ivory Coast,2018-08,0.215
Ivory Coast,2018-09,0.127
Ivory Coast,2018-10,0.049
Ivory Coast,2018-11,-0.005
Ivory Coast,2018-12,-0.014
Ivory Coast,2019-01,0.236
Ivory Coast,2019-02,0.107
Ivory Coast,2019-03,0.223
Ivory Coast,2019-04,0.083
Ivory Coast,2019-05,-0.027
Ivory Coast,2019-06,0.055
Ivory Coast,2019-07,0.203
Ivory Coast,2019-08,0.139
Ivory Coast,2019-09,0.351
Ivory Coast,2019-10,0.076
Ivory Coast,2019-11,0.064
Ivory Coast,2019-12,0.119
Ivory Coast,2020-01,0.129
Ivory Coast,2020-02,0.284
Ivory Coast,2020-03,0.141
Ivory Coast,2020-04,0.137
Ivory Coast,2020-05,0.02
Ivory Coast,2020-06,0.19
Ivory Coast,2020-07,0.185
Ivory Coast,2020-08,0.459
Ivory Coast,2020-09,0.126
Ivory Coast,2020-10,0.058
Ivory Coast,2020-11,-0.058
Ivory Coast,2020-12,-0.023
Ivory Coast,2021-01,0.254
Ivory Coast,2021-02,0.287
Ivory Coast,2021-03,0.394
Ivory Coast,2021-04,-0.032
Ivory Coast,2021-05,-0.04
Ivory Coast,2021-06,0.208
Ivory Coast,2021-07,0.087
Ivory Coast,2021-08,0.227
Ivory Coast,2021-09,0.096
Ivory Coast,2021-10,0.061
Ivory Coast,2021-11,0.132
Ivory Coast,2021-12,0.064
Ivory Coast,2022-01,0.278
Ivory Coast,2022-02,0.251
Ivory Coast,2022-03,-0.005
Ivory Coast,2022-04,-0.102
Ivory Coast,2022-05,-0.158
Ivory Coast,2022-06,0.282
Ivory Coast,2022-07,0.126
Ivory Coast,2022-08,0.401
Ivory Coast,2022-09,0.002
Ivory Coast,2022-10,0.08
Ivory Coast,2022-11,0.06
Ivory Coast,2022-12,0.153
Ivory Coast,2023-01,0.282
Ivory Coast,2023-02,0.033
Ivory Coast,2023-03,0.277
Ivory Coast,2023-04,0.152
Ivory Coast,2023-05,0.106
Ivory Coast,2023-06,-0.074
Ivory Coast,2023-07,0.232
Ivory Coast,2023-08,0.182
Ivory Coast,2023-09,0.069
Ivory Coast,2023-10,0.01
Ivory Coast,2023-11,0.057
Ivory Coast,2023-12,0.186
Ivory Coast,2024-01,-0.062
Ivory Coast,2024-02,0.26
Ivory Coast,2024-03,0.04
Ivory Coast,2024-04,0.111
Ivory Coast,2024-05,0.107
Ivory Coast,2024-06,0.114
Ivory Coast,2024-07,0.34
Ivory Coast,2024-08,0.118
Ivory Coast,2024-09,0.361
Ivory Coast,2024-10,0.022
Ivory Coast,2024-11,-0.189
Ivory Coast,2024-12,0.017
