country,month,google_trend_mobile_money_fraud
Kenya,2024-07,65.0
Kenya,2024-08,73.0
Kenya,2024-09,88.0
Kenya,2024-10,100.0
Kenya,2024-11,73.0
Kenya,2024-12,76.0
Nigeria,2018-01,36.0
Nigeria,2018-02,42.0
Nigeria,2018-03,38.0
Nigeria,2018-04,27.0
Nigeria,2018-05,55.0
Nigeria,2018-06,46.0
Nigeria,2018-07,31.0
Nigeria,2018-08,33.0
Nigeria,2018-09,30.0
Nigeria,2018-10,28.0
Nigeria,2018-11,37.0
Nigeria,2018-12,22.0
Nigeria,2019-01,26.0
Nigeria,2019-02,30.0
Nigeria,2019-03,38.0
Nigeria,2019-04,28.0
Nigeria,2019-05,31.0
Nigeria,2019-06,39.0
Nigeria,2019-07,43.0
Nigeria,2019-08,40.0
Nigeria,2019-09,42.0
Nigeria,2019-10,50.0
Nigeria,2019-11,59.0
Nigeria,2019-12,51.0
Nigeria,2020-01,50.0
Nigeria,2020-02,57.0
Nigeria,2020-03,41.0
Nigeria,2020-04,43.0
Nigeria,2020-05,46.0
Nigeria,2020-06,56.0
Nigeria,2020-07,47.0
Nigeria,2020-08,54.0
Nigeria,2020-09,62.0
Nigeria,2020-10,71.0
Nigeria,2020-11,58.0
Nigeria,2020-12,68.0
Nigeria,2021-01,65.0
Nigeria,2021-02,69.0
Nigeria,2021-03,90.0
Nigeria,2021-04,67.0
Nigeria,2021-05,69.0
Nigeria,2021-06,76.0
Nigeria,2021-07,59.0
Nigeria,2021-08,61.0
Nigeria,2021-09,67.0
Nigeria,2021-10,66.0
Nigeria,2021-11,38.0
Nigeria,2021-12,63.0
Nigeria,2022-01,68.0
Nigeria,2022-02,58.0
Nigeria,2022-03,60.0
Nigeria,2022-04,55.0
Nigeria,2022-05,49.0
Nigeria,2022-06,73.0
Nigeria,2022-07,63.0
Nigeria,2022-08,61.0
Nigeria,2022-09,50.0
Nigeria,2022-10,73.0
Nigeria,2022-11,53.0
Nigeria,2022-12,58.0
Nigeria,2023-01,61.0
Nigeria,2023-02,75.0
Nigeria,2023-03,76.0
Nigeria,2023-04,65.0
Nigeria,2023-05,63.0
Nigeria,2023-06,52.0
Nigeria,2023-07,80.0
Nigeria,2023-08,64.0
Nigeria,2023-09,72.0
Nigeria,2023-10,75.0
Nigeria,2023-11,63.0
Nigeria,2023-12,51.0
Nigeria,2024-01,44.0
Nigeria,2024-02,79.0
Nigeria,2024-03,75.0
Nigeria,2024-04,76.0
Nigeria,2024-05,83.0
Nigeria,2024-06,49.0
Nigeria,2024-07,65.0
Nigeria,2024-08,73.0
Nigeria,2024-09,88.0
Nigeria,2024-10,100.0
Nigeria,2024-11,73.0
Nigeria,2024-12,76.0
Ghana,2018-01,36.0
Ghana,2018-02,42.0
Ghana,2018-03,38.0
Ghana,2018-04,27.0
Ghana,2018-05,55.0
Ghana,2018-06,46.0
Ghana,2018-07,31.0
Ghana,2018-08,33.0
Ghana,2018-09,30.0
Ghana,2018-10,28.0
Ghana,2018-11,37.0
Ghana,2018-12,22.0
Ghana,2019-01,26.0
Ghana,2019-02,30.0
Ghana,2019-03,38.0
Ghana,2019-04,28.0
Ghana,2019-05,31.0
Ghana,2019-06,39.0
Ghana,2019-07,43.0
Ghana,2019-08,40.0
Ghana,2019-09,42.0
Ghana,2019-10,50.0
Ghana,2019-11,59.0
Ghana,2019-12,51.0
Ghana,2020-01,50.0
Ghana,2020-02,57.0
Ghana,2020-03,41.0
Ghana,2020-04,43.0
Ghana,2020-05,46.0
Ghana,2020-06,56.0
Ghana,2020-07,47.0
Ghana,2020-08,54.0
Ghana,2020-09,62.0
Ghana,2020-10,71.0
Ghana,2020-11,58.0
Ghana,2020-12,68.0
Ghana,2021-01,65.0
Ghana,2021-02,69.0
Ghana,2021-03,90.0
Ghana,2021-04,67.0
Ghana,2021-05,69.0
Ghana,2021-06,76.0
Ghana,2021-07,59.0
Ghana,2021-08,61.0
Ghana,2021-09,67.0
Ghana,2021-10,66.0
Ghana,2021-11,38.0
Ghana,2021-12,63.0
Ghana,2022-01,68.0
Ghana,2022-02,58.0
Ghana,2022-03,60.0
Ghana,2022-04,55.0
Ghana,2022-05,49.0
Ghana,2022-06,73.0
Ghana,2022-07,63.0
Ghana,2022-08,61.0
Ghana,2022-09,50.0
Ghana,2022-10,73.0
Ghana,2022-11,53.0
Ghana,2022-12,58.0
Ghana,2023-01,61.0
Ghana,2023-02,75.0
Ghana,2023-03,76.0
Ghana,2023-04,65.0
Ghana,2023-05,63.0
Ghana,2023-06,52.0
Ghana,2023-07,80.0
Ghana,2023-08,64.0
Ghana,2023-09,72.0
Ghana,2023-10,75.0
Ghana,2023-11,63.0
Ghana,2023-12,51.0
Ghana,2024-01,44.0
Ghana,2024-02,79.0
Ghana,2024-03,75.0
Ghana,2024-04,76.0
Ghana,2024-05,83.0
Ghana,2024-06,49.0
Ghana,2024-07,65.0
Ghana,2024-08,73.0
Ghana,2024-09,88.0
Ghana,2024-10,100.0
Ghana,2024-11,73.0
Ghana,2024-12,76.0
Tanzania,2018-01,36.0
Tanzania,2018-02,42.0
Tanzania,2018-03,38.0
Tanzania,2018-04,27.0
Tanzania,2018-05,55.0
Tanzania,2018-06,46.0
Tanzania,2018-07,31.0
Tanzania,2018-08,33.0
Tanzania,2018-09,30.0
Tanzania,2018-10,28.0
Tanzania,2018-11,37.0
Tanzania,2018-12,22.0
Tanzania,2019-01,26.0
Tanzania,2019-02,30.0
Tanzania,2019-03,38.0
Tanzania,2019-04,28.0
Tanzania,2019-05,31.0
Tanzania,2019-06,39.0
Tanzania,2019-07,43.0
Tanzania,2019-08,40.0
Tanzania,2019-09,42.0
Tanzania,2019-10,50.0
Tanzania,2019-11,59.0
Tanzania,2019-12,51.0
Tanzania,2020-01,50.0
Tanzania,2020-02,57.0
Tanzania,2020-03,41.0
Tanzania,2020-04,43.0
Tanzania,2020-05,46.0
Tanzania,2020-06,56.0
Tanzania,2020-07,47.0
Tanzania,2020-08,54.0
Tanzania,2020-09,62.0
Tanzania,2020-10,71.0
Tanzania,2020-11,58.0
Tanzania,2020-12,68.0
Tanzania,2021-01,65.0
Tanzania,2021-02,69.0
Tanzania,2021-03,90.0
Tanzania,2021-04,67.0
Tanzania,2021-05,69.0
Tanzania,2021-06,76.0
Tanzania,2021-07,59.0
Tanzania,2021-08,61.0
Tanzania,2021-09,67.0
Tanzania,2021-10,66.0
Tanzania,2021-11,38.0
Tanzania,2021-12,63.0
Tanzania,2022-01,68.0
Tanzania,2022-02,58.0
Tanzania,2022-03,60.0
Tanzania,2022-04,55.0
Tanzania,2022-05,49.0
Tanzania,2022-06,73.0
Tanzania,2022-07,63.0
Tanzania,2022-08,61.0
Tanzania,2022-09,50.0
Tanzania,2022-10,73.0
Tanzania,2022-11,53.0
Tanzania,2022-12,58.0
Tanzania,2023-01,61.0
Tanzania,2023-02,75.0
Tanzania,2023-03,76.0
Tanzania,2023-04,65.0
Tanzania,2023-05,63.0
Tanzania,2023-06,52.0
Tanzania,2023-07,80.0
Tanzania,2023-08,64.0
Tanzania,2023-09,72.0
Tanzania,2023-10,75.0
Tanzania,2023-11,63.0
Tanzania,2023-12,51.0
Tanzania,2024-01,44.0
Tanzania,2024-02,79.0
Tanzania,2024-03,75.0
Tanzania,2024-04,76.0
Tanzania,2024-05,83.0
Tanzania,2024-06,49.0
Tanzania,2024-07,65.0
Tanzania,2024-08,73.0
Tanzania,2024-09,88.0
Tanzania,2024-10,100.0
Tanzania,2024-11,73.0
Tanzania,2024-12,76.0
Uganda,2018-01,36.0
Uganda,2018-02,42.0
Uganda,2018-03,38.0
Uganda,2018-04,27.0
Uganda,2018-05,55.0
Uganda,2018-06,46.0
Uganda,2018-07,31.0
Uganda,2018-08,33.0
Uganda,2018-09,30.0
Uganda,2018-10,28.0
Uganda,2018-11,37.0
Uganda,2018-12,22.0
Uganda,2019-01,26.0
Uganda,2019-02,30.0
Uganda,2019-03,38.0
Uganda,2019-04,28.0
Uganda,2019-05,31.0
Uganda,2019-06,39.0
Uganda,2019-07,43.0
Uganda,2019-08,40.0
Uganda,2019-09,42.0
Uganda,2019-10,50.0
Uganda,2019-11,59.0
Uganda,2019-12,51.0
Uganda,2020-01,50.0
Uganda,2020-02,57.0
Uganda,2020-03,41.0
Uganda,2020-04,43.0
Uganda,2020-05,46.0
Uganda,2020-06,56.0
Uganda,2020-07,47.0
Uganda,2020-08,54.0
Uganda,2020-09,62.0
Uganda,2020-10,71.0
Uganda,2020-11,58.0
Uganda,2020-12,68.0
Uganda,2021-01,65.0
Uganda,2021-02,69.0
Uganda,2021-03,90.0
Uganda,2021-04,67.0
Uganda,2021-05,69.0
Uganda,2021-06,76.0
Uganda,2021-07,59.0
Uganda,2021-08,61.0
Uganda,2021-09,67.0
Uganda,2021-10,66.0
Uganda,2021-11,38.0
Uganda,2021-12,63.0
Uganda,2022-01,68.0
Uganda,2022-02,58.0
Uganda,2022-03,60.0
Uganda,2022-04,55.0
Uganda,2022-05,49.0
Uganda,2022-06,73.0
Uganda,2022-07,63.0
Uganda,2022-08,61.0
Uganda,2022-09,50.0
Uganda,2022-10,73.0
Uganda,2022-11,53.0
Uganda,2022-12,58.0
Uganda,2023-01,61.0
Uganda,2023-02,75.0
Uganda,2023-03,76.0
Uganda,2023-04,65.0
Uganda,2023-05,63.0
Uganda,2023-06,52.0
Uganda,2023-07,80.0
Uganda,2023-08,64.0
Uganda,2023-09,72.0
Uganda,2023-10,75.0
Uganda,2023-11,63.0
Uganda,2023-12,51.0
Uganda,2024-01,44.0
Uganda,2024-02,79.0
Uganda,2024-03,75.0
Uganda,2024-04,76.0
Uganda,2024-05,83.0
Uganda,2024-06,49.0
Uganda,2024-07,65.0
Uganda,2024-08,73.0
Uganda,2024-09,88.0
Uganda,2024-10,100.0
Uganda,2024-11,73.0
Uganda,2024-12,76.0
South Africa,2018-01,36.0
South Africa,2018-02,42.0
South Africa,2018-03,38.0
South Africa,2018-04,27.0
South Africa,2018-05,55.0
South Africa,2018-06,46.0
South Africa,2018-07,31.0
South Africa,2018-08,33.0
South Africa,2018-09,30.0
South Africa,2018-10,28.0
South Africa,2018-11,37.0
South Africa,2018-12,22.0
South Africa,2019-01,26.0
South Africa,2019-02,30.0
South Africa,2019-03,38.0
South Africa,2019-04,28.0
South Africa,2019-05,31.0
South Africa,2019-06,39.0
South Africa,2019-07,43.0
South Africa,2019-08,40.0
South Africa,2019-09,42.0
South Africa,2019-10,50.0
South Africa,2019-11,59.0
South Africa,2019-12,51.0
South Africa,2020-01,50.0
South Africa,2020-02,57.0
South Africa,2020-03,41.0
South Africa,2020-04,43.0
South Africa,2020-05,46.0
South Africa,2020-06,56.0
South Africa,2020-07,47.0
South Africa,2020-08,54.0
South Africa,2020-09,62.0
South Africa,2020-10,71.0
South Africa,2020-11,58.0
South Africa,2020-12,68.0
South Africa,2021-01,65.0
South Africa,2021-02,69.0
South Africa,2021-03,90.0
South Africa,2021-04,67.0
South Africa,2021-05,69.0
South Africa,2021-06,76.0
South Africa,2021-07,59.0
South Africa,2021-08,61.0
South Africa,2021-09,67.0
South Africa,2021-10,66.0
South Africa,2021-11,38.0
South Africa,2021-12,63.0
South Africa,2022-01,68.0
South Africa,2022-02,58.0
South Africa,2022-03,60.0
South Africa,2022-04,55.0
South Africa,2022-05,49.0
South Africa,2022-06,73.0
South Africa,2022-07,63.0
South Africa,2022-08,61.0
South Africa,2022-09,50.0
South Africa,2022-10,73.0
South Africa,2022-11,53.0
South Africa,2022-12,58.0
South Africa,2023-01,61.0
South Africa,2023-02,75.0
South Africa,2023-03,76.0
South Africa,2023-04,65.0
South Africa,2023-05,63.0
South Africa,2023-06,52.0
South Africa,2023-07,80.0
South Africa,2023-08,64.0
South Africa,2023-09,72.0
South Africa,2023-10,75.0
South Africa,2023-11,63.0
South Africa,2023-12,51.0
South Africa,2024-01,44.0
South Africa,2024-02,79.0
South Africa,2024-03,75.0
South Africa,2024-04,76.0
South Africa,2024-05,83.0
South Africa,2024-06,49.0
South Africa,2024-07,65.0
South Africa,2024-08,73.0
South Africa,2024-09,88.0
South Africa,2024-10,100.0
South Africa,2024-11,73.0
South Africa,2024-12,76.0
Ethiopia,2018-01,36.0
Ethiopia,2018-02,42.0
Ethiopia,2018-03,38.0
Ethiopia,2018-04,27.0
Ethiopia,2018-05,55.0
Ethiopia,2018-06,46.0
Ethiopia,2018-07,31.0
Ethiopia,2018-08,33.0
Ethiopia,2018-09,30.0
Ethiopia,2018-10,28.0
Ethiopia,2018-11,37.0
Ethiopia,2018-12,22.0
Ethiopia,2019-01,26.0
Ethiopia,2019-02,30.0
Ethiopia,2019-03,38.0
Ethiopia,2019-04,28.0
Ethiopia,2019-05,31.0
Ethiopia,2019-06,39.0
Ethiopia,2019-07,43.0
Ethiopia,2019-08,40.0
Ethiopia,2019-09,42.0
Ethiopia,2019-10,50.0
Ethiopia,2019-11,59.0
Ethiopia,2019-12,51.0
Ethiopia,2020-01,50.0
Ethiopia,2020-02,57.0
Ethiopia,2020-03,41.0
Ethiopia,2020-04,43.0
Ethiopia,2020-05,46.0
Ethiopia,2020-06,56.0
Ethiopia,2020-07,47.0
Ethiopia,2020-08,54.0
Ethiopia,2020-09,62.0
Ethiopia,2020-10,71.0
Ethiopia,2020-11,58.0
Ethiopia,2020-12,68.0
Ethiopia,2021-01,65.0
Ethiopia,2021-02,69.0
Ethiopia,2021-03,90.0
Ethiopia,2021-04,67.0
Ethiopia,2021-05,69.0
Ethiopia,2021-06,76.0
Ethiopia,2021-07,59.0
Ethiopia,2021-08,61.0
Ethiopia,2021-09,67.0
Ethiopia,2021-10,66.0
Ethiopia,2021-11,38.0
Ethiopia,2021-12,63.0
Ethiopia,2022-01,68.0
Ethiopia,2022-02,58.0
Ethiopia,2022-03,60.0
Ethiopia,2022-04,55.0
Ethiopia,2022-05,49.0
Ethiopia,2022-06,73.0
Ethiopia,2022-07,63.0
Ethiopia,2022-08,61.0
Ethiopia,2022-09,50.0
Ethiopia,2022-10,73.0
Ethiopia,2022-11,53.0
Ethiopia,2022-12,58.0
Ethiopia,2023-01,61.0
Ethiopia,2023-02,75.0
Ethiopia,2023-03,76.0
Ethiopia,2023-04,65.0
Ethiopia,2023-05,63.0
Ethiopia,2023-06,52.0
Ethiopia,2023-07,80.0
Ethiopia,2023-08,64.0
Ethiopia,2023-09,72.0
Ethiopia,2023-10,75.0
Ethiopia,2023-11,63.0
Ethiopia,2023-12,51.0
Ethiopia,2024-01,44.0
Ethiopia,2024-02,79.0
Ethiopia,2024-03,75.0
Ethiopia,2024-04,76.0
Ethiopia,2024-05,83.0
Ethiopia,2024-06,49.0
Ethiopia,2024-07,65.0
Ethiopia,2024-08,73.0
Ethiopia,2024-09,88.0
Ethiopia,2024-10,100.0
Ethiopia,2024-11,73.0
Ethiopia,2024-12,76.0
Rwanda,2018-01,36.0
Rwanda,2018-02,42.0
Rwanda,2018-03,38.0
Rwanda,2018-04,27.0
Rwanda,2018-05,55.0
Rwanda,2018-06,46.0
Rwanda,2018-07,31.0
Rwanda,2018-08,33.0
Rwanda,2018-09,30.0
Rwanda,2018-10,28.0
Rwanda,2018-11,37.0
Rwanda,2018-12,22.0
Rwanda,2019-01,26.0
Rwanda,2019-02,30.0
Rwanda,2019-03,38.0
Rwanda,2019-04,28.0
Rwanda,2019-05,31.0
Rwanda,2019-06,39.0
Rwanda,2019-07,43.0
Rwanda,2019-08,40.0
Rwanda,2019-09,42.0
Rwanda,2019-10,50.0
Rwanda,2019-11,59.0
Rwanda,2019-12,51.0
Rwanda,2020-01,50.0
Rwanda,2020-02,57.0
Rwanda,2020-03,41.0
Rwanda,2020-04,43.0
Rwanda,2020-05,46.0
Rwanda,2020-06,56.0
Rwanda,2020-07,47.0
Rwanda,2020-08,54.0
Rwanda,2020-09,62.0
Rwanda,2020-10,71.0
Rwanda,2020-11,58.0
Rwanda,2020-12,68.0
Rwanda,2021-01,65.0
Rwanda,2021-02,69.0
Rwanda,2021-03,90.0
Rwanda,2021-04,67.0
Rwanda,2021-05,69.0
Rwanda,2021-06,76.0
Rwanda,2021-07,59.0
Rwanda,2021-08,61.0
Rwanda,2021-09,67.0
Rwanda,2021-10,66.0
Rwanda,2021-11,38.0
Rwanda,2021-12,63.0
Rwanda,2022-01,68.0
Rwanda,2022-02,58.0
Rwanda,2022-03,60.0
Rwanda,2022-04,55.0
Rwanda,2022-05,49.0
Rwanda,2022-06,73.0
Rwanda,2022-07,63.0
Rwanda,2022-08,61.0
Rwanda,2022-09,50.0
Rwanda,2022-10,73.0
Rwanda,2022-11,53.0
Rwanda,2022-12,58.0
Rwanda,2023-01,61.0
Rwanda,2023-02,75.0
Rwanda,2023-03,76.0
Rwanda,2023-04,65.0
Rwanda,2023-05,63.0
Rwanda,2023-06,52.0
Rwanda,2023-07,80.0
Rwanda,2023-08,64.0
Rwanda,2023-09,72.0
Rwanda,2023-10,75.0
Rwanda,2023-11,63.0
Rwanda,2023-12,51.0
Rwanda,2024-01,44.0
Rwanda,2024-02,79.0
Rwanda,2024-03,75.0
Rwanda,2024-04,76.0
Rwanda,2024-05,83.0
Rwanda,2024-06,49.0
Rwanda,2024-07,65.0
Rwanda,2024-08,73.0
Rwanda,2024-09,88.0
Rwanda,2024-10,100.0
Rwanda,2024-11,73.0
Rwanda,2024-12,76.0
Cameroon,2018-01,36.0
Cameroon,2018-02,42.0
Cameroon,2018-03,38.0
Cameroon,2018-04,27.0
Cameroon,2018-05,55.0
Cameroon,2018-06,46.0
Cameroon,2018-07,31.0
Cameroon,2018-08,33.0
Cameroon,2018-09,30.0
Cameroon,2018-10,28.0
Cameroon,2018-11,37.0
Cameroon,2018-12,22.0
Cameroon,2019-01,26.0
Cameroon,2019-02,30.0
Cameroon,2019-03,38.0
Cameroon,2019-04,28.0
Cameroon,2019-05,31.0
Cameroon,2019-06,39.0
Cameroon,2019-07,43.0
Cameroon,2019-08,40.0
Cameroon,2019-09,42.0
Cameroon,2019-10,50.0
Cameroon,2019-11,59.0
Cameroon,2019-12,51.0
Cameroon,2020-01,50.0
Cameroon,2020-02,57.0
Cameroon,2020-03,41.0
Cameroon,2020-04,43.0
Cameroon,2020-05,46.0
Cameroon,2020-06,56.0
Cameroon,2020-07,47.0
Cameroon,2020-08,54.0
Cameroon,2020-09,62.0
Cameroon,2020-10,71.0
Cameroon,2020-11,58.0
Cameroon,2020-12,68.0
Cameroon,2021-01,65.0
Cameroon,2021-02,69.0
Cameroon,2021-03,90.0
Cameroon,2021-04,67.0
Cameroon,2021-05,69.0
Cameroon,2021-06,76.0
Cameroon,2021-07,59.0
Cameroon,2021-08,61.0
Cameroon,2021-09,67.0
Cameroon,2021-10,66.0
Cameroon,2021-11,38.0
Cameroon,2021-12,63.0
Cameroon,2022-01,68.0
Cameroon,2022-02,58.0
Cameroon,2022-03,60.0
Cameroon,2022-04,55.0
Cameroon,2022-05,49.0
Cameroon,2022-06,73.0
Cameroon,2022-07,63.0
Cameroon,2022-08,61.0
Cameroon,2022-09,50.0
Cameroon,2022-10,73.0
Cameroon,2022-11,53.0
Cameroon,2022-12,58.0
Cameroon,2023-01,61.0
Cameroon,2023-02,75.0
Cameroon,2023-03,76.0
Cameroon,2023-04,65.0
Cameroon,2023-05,63.0
Cameroon,2023-06,52.0
Cameroon,2023-07,80.0
Cameroon,2023-08,64.0
Cameroon,2023-09,72.0
Cameroon,2023-10,75.0
Cameroon,2023-11,63.0
Cameroon,2023-12,51.0
Cameroon,2024-01,44.0
Cameroon,2024-02,79.0
Cameroon,2024-03,75.0
Cameroon,2024-04,76.0
Cameroon,2024-05,83.0
Cameroon,2024-06,49.0
Cameroon,2024-07,65.0
Cameroon,2024-08,73.0
Cameroon,2024-09,88.0
Cameroon,2024-10,100.0
Cameroon,2024-11,73.0
Cameroon,2024-12,76.0
Ivory Coast,2018-01,36.0
Ivory Coast,2018-02,42.0
Ivory Coast,2018-03,38.0
Ivory Coast,2018-04,27.0
Ivory Coast,2018-05,55.0
Ivory Coast,2018-06,46.0
Ivory Coast,2018-07,31.0
Ivory Coast,2018-08,33.0
Ivory Coast,2018-09,30.0
Ivory Coast,2018-10,28.0
Ivory Coast,2018-11,37.0
Ivory Coast,2018-12,22.0
Ivory Coast,2019-01,26.0
Ivory Coast,2019-02,30.0
Ivory Coast,2019-03,38.0
Ivory Coast,2019-04,28.0
Ivory Coast,2019-05,31.0
Ivory Coast,2019-06,39.0
Ivory Coast,2019-07,43.0
Ivory Coast,2019-08,40.0
Ivory Coast,2019-09,42.0
Ivory Coast,2019-10,50.0
Ivory Coast,2019-11,59.0
Ivory Coast,2019-12,51.0
Ivory Coast,2020-01,50.0
Ivory Coast,2020-02,57.0
Ivory Coast,2020-03,41.0
Ivory Coast,2020-04,43.0
Ivory Coast,2020-05,46.0
Ivory Coast,2020-06,56.0
Ivory Coast,2020-07,47.0
Ivory Coast,2020-08,54.0
Ivory Coast,2020-09,62.0
Ivory Coast,2020-10,71.0
Ivory Coast,2020-11,58.0
Ivory Coast,2020-12,68.0
Ivory Coast,2021-01,65.0
Ivory Coast,2021-02,69.0
Ivory Coast,2021-03,90.0
Ivory Coast,2021-04,67.0
Ivory Coast,2021-05,69.0
Ivory Coast,2021-06,76.0
Ivory Coast,2021-07,59.0
Ivory Coast,2021-08,61.0
Ivory Coast,2021-09,67.0
Ivory Coast,2021-10,66.0
Ivory Coast,2021-11,38.0
Ivory Coast,2021-12,63.0
Ivory Coast,2022-01,68.0
Ivory Coast,2022-02,58.0
Ivory Coast,2022-03,60.0
Ivory Coast,2022-04,55.0
Ivory Coast,2022-05,49.0
Ivory Coast,2022-06,73.0
Ivory Coast,2022-07,63.0
Ivory Coast,2022-08,61.0
Ivory Coast,2022-09,50.0
Ivory Coast,2022-10,73.0
Ivory Coast,2022-11,53.0
Ivory Coast,2022-12,58.0
Ivory Coast,2023-01,61.0
Ivory Coast,2023-02,75.0
Ivory Coast,2023-03,76.0
Ivory Coast,2023-04,65.0
Ivory Coast,2023-05,63.0
Ivory Coast,2023-06,52.0
Ivory Coast,2023-07,80.0
Ivory Coast,2023-08,64.0
Ivory Coast,2023-09,72.0
Ivory Coast,2023-10,75.0
Ivory Coast,2023-11,63.0
Ivory Coast,2023-12,51.0
Ivory Coast,2024-01,44.0
Ivory Coast,2024-02,79.0
Ivory Coast,2024-03,75.0
Ivory Coast,2024-04,76.0
Ivory Coast,2024-05,83.0
Ivory Coast,2024-06,49.0
Ivory Coast,2024-07,65.0
Ivory Coast,2024-08,73.0
Ivory Coast,2024-09,88.0
Ivory Coast,2024-10,100.0
Ivory Coast,2024-11,73.0
Ivory Coast,2024-12,76.0
