dataset,file,column_name,data_type,unit,description,range_min,range_max,precision,example_value
signal_processing,filtered_signals_fourier.csv,filter_order,integer,none,Filter order,0,6,1,4
signal_processing,filtered_signals_fourier.csv,amplitude_original,float,none,Original signal amplitude,0.45,0.92,0.01,0.85
signal_processing,filtered_signals_fourier.csv,amplitude_filtered,float,none,Filtered signal amplitude,0.12,0.92,0.01,0.92
signal_processing,filtered_signals_fourier.csv,snr_original_db,float,dB,Original signal-to-noise ratio,17.5,28.5,0.1,25.4
signal_processing,filtered_signals_fourier.csv,snr_filtered_db,float,dB,Filtered signal-to-noise ratio,23.9,35.6,0.1,32.1
signal_processing,wavelet_filtered_signals.csv,wavelet_type,string,none,Wavelet function type,none,none,none,daubechies_4
signal_processing,wavelet_filtered_signals.csv,decomposition_level,integer,none,Wavelet decomposition level,4,6,1,5
signal_processing,wavelet_filtered_signals.csv,coefficient_type,string,none,Wavelet coefficient type,none,none,none,approximation
signal_processing,wavelet_filtered_signals.csv,original_energy,float,J,Original signal energy,5.67e4,1.42e6,1e2,1.25e6
signal_processing,wavelet_filtered_signals.csv,filtered_energy,float,J,Filtered signal energy,5.34e4,1.35e6,1e2,1.18e6
signal_processing,wavelet_filtered_signals.csv,energy_ratio,float,none,Energy preservation ratio,0.808,0.951,0.001,0.944
signal_processing,cross_correlation_functions.csv,sensor_pair,string,none,Sensor pair identifier,none,none,none,S001_S002
signal_processing,cross_correlation_functions.csv,lag_samples,integer,samples,Time lag in samples,-1000,750,1,-500
signal_processing,cross_correlation_functions.csv,lag_time_s,float,s,Time lag in seconds,-0.02,0.015,0.00001,-0.01
signal_processing,cross_correlation_functions.csv,correlation_coefficient,float,none,Cross-correlation coefficient,0.05,0.92,0.01,0.25
signal_processing,cross_correlation_functions.csv,max_correlation,float,none,Maximum correlation value,0.85,0.92,0.01,0.87
signal_processing,cross_correlation_functions.csv,time_delay_estimate_s,float,s,Time delay estimate,0.0025,0.005,0.00001,0.0025
signal_processing,cross_correlation_functions.csv,confidence_interval_s,float,s,95% confidence interval,0.0003,0.0005,0.00001,0.0003
signal_processing,cross_correlation_functions.csv,flow_velocity_estimate_ms,float,m/s,Estimated flow velocity,0.4,0.6,0.001,0.4
signal_processing,extracted_signal_characteristics.csv,rms_amplitude,float,none,Root mean square amplitude,0.189,0.425,0.001,0.245
signal_processing,extracted_signal_characteristics.csv,peak_amplitude,float,none,Peak amplitude,0.745,1.485,0.001,0.892
signal_processing,extracted_signal_characteristics.csv,crest_factor,float,none,Crest factor (peak/RMS),3.49,4.17,0.01,3.64
signal_processing,extracted_signal_characteristics.csv,kurtosis,float,none,Signal kurtosis,2.15,3.58,0.01,2.85
signal_processing,extracted_signal_characteristics.csv,skewness,float,none,Signal skewness,-0.22,0.32,0.01,0.12
signal_processing,extracted_signal_characteristics.csv,zero_crossing_rate,float,none,Zero crossing rate,0.035,0.062,0.001,0.045
signal_processing,extracted_signal_characteristics.csv,spectral_centroid_hz,float,Hz,Spectral centroid frequency,1250.5,2850.5,0.1,1250.5
signal_processing,extracted_signal_characteristics.csv,leak_probability,float,none,Leak detection probability,0.03,0.28,0.01,0.15
signal_processing,extracted_signal_characteristics.csv,leak_location_estimate_m,float,m,Estimated leak location,1.2,8.1,0.1,2.3
