date,value,indicator
2014,6.73246186832483,GDP_growth
2015,6.16062877406682,GDP_growth
2016,6.86711619644551,GDP_growth
2017,6.76227716834148,GDP_growth
2018,5.46808181528009,GDP_growth
2019,5.79999999996723,GDP_growth
2020,1.99196460647855,GDP_growth
2021,4.32138429480482,GDP_growth
2022,4.56600576430955,GDP_growth
2023,5.06952353203394,GDP_growth
2024,5.5263138305945,GDP_growth
1990,0.0,Internet_users_pct
1996,0.00162,Internet_users_pct
1997,0.0079,Internet_users_pct
1998,0.00924,Internet_users_pct
1999,0.0751,Internet_users_pct
2000,0.117,Internet_users_pct
2001,0.171,Internet_users_pct
2002,0.222,Internet_users_pct
2003,0.677,Internet_users_pct
2004,0.878,Internet_users_pct
2005,1.1,Internet_users_pct
2006,1.3,Internet_users_pct
2007,1.6,Internet_users_pct
2008,1.9,Internet_users_pct
2009,2.4,Internet_users_pct
2010,2.9,Internet_users_pct
2011,3.2,Internet_users_pct
2012,3.95,Internet_users_pct
2013,4.4,Internet_users_pct
2014,7.0,Internet_users_pct
2015,10.0,Internet_users_pct
2016,13.5,Internet_users_pct
2017,14.5,Internet_users_pct
2018,15.5,Internet_users_pct
2019,16.6,Internet_users_pct
2020,17.8,Internet_users_pct
2021,19.0,Internet_users_pct
2022,22.1,Internet_users_pct
2023,29.1,Internet_users_pct
1960,0.0,Mobile_subs_per100
1965,0.0,Mobile_subs_per100
1970,0.0,Mobile_subs_per100
1975,0.0,Mobile_subs_per100
1976,0.0,Mobile_subs_per100
1977,0.0,Mobile_subs_per100
1978,0.0,Mobile_subs_per100
1979,0.0,Mobile_subs_per100
1980,0.0,Mobile_subs_per100
1981,0.0,Mobile_subs_per100
1982,0.0,Mobile_subs_per100
1983,0.0,Mobile_subs_per100
1984,0.0,Mobile_subs_per100
1985,0.0,Mobile_subs_per100
1986,0.0,Mobile_subs_per100
1987,0.0,Mobile_subs_per100
1988,0.0,Mobile_subs_per100
1989,0.0,Mobile_subs_per100
1990,0.0,Mobile_subs_per100
1991,0.0,Mobile_subs_per100
1992,0.0,Mobile_subs_per100
1993,0.0,Mobile_subs_per100
1994,0.001253449,Mobile_subs_per100
1995,0.011452853,Mobile_subs_per100
1996,0.02902308,Mobile_subs_per100
1997,0.063550298,Mobile_subs_per100
1998,0.116285848,Mobile_subs_per100
1999,0.152090587,Mobile_subs_per100
2000,0.322585,Mobile_subs_per100
2001,0.782879,Mobile_subs_per100
2002,1.68006,Mobile_subs_per100
2003,3.49964,Mobile_subs_per100
2004,5.09582,Mobile_subs_per100
2005,7.56468,Mobile_subs_per100
2006,13.9199,Mobile_subs_per100
2007,19.9153,Mobile_subs_per100
2008,30.5534,Mobile_subs_per100
2009,40.0364,Mobile_subs_per100
2010,46.8824,Mobile_subs_per100
2011,55.761,Mobile_subs_per100
2012,57.4558,Mobile_subs_per100
2013,56.2075,Mobile_subs_per100
2014,63.2804,Mobile_subs_per100
2015,76.2493,Mobile_subs_per100
2016,74.3984,Mobile_subs_per100
2017,71.7912,Mobile_subs_per100
2018,75.7302,Mobile_subs_per100
2019,80.5836,Mobile_subs_per100
2020,84.0051,Mobile_subs_per100
2021,86.0163,Mobile_subs_per100
2022,93.016,Mobile_subs_per100
2023,105.4,Mobile_subs_per100
