timestamp,building_id,total_consumption_kw,hvac_consumption_kw,lighting_consumption_kw,equipment_consumption_kw,other_consumption_kw
2023-01-03 21:00:00,BLD_00039,11.41,4.61,2.71,2.91,1.18
2023-01-03 22:00:00,BLD_00039,7.51,2.73,1.89,2.0,0.9
2023-01-03 23:00:00,BLD_00039,8.12,3.02,2.09,1.83,1.18
2023-01-04 00:00:00,BLD_00039,7.71,3.12,1.99,2.03,0.57
2023-01-04 01:00:00,BLD_00039,7.45,3.33,1.87,1.78,0.46
2023-01-04 02:00:00,BLD_00039,7.44,2.93,1.67,1.65,1.19
2023-01-04 03:00:00,BLD_00039,8.02,3.58,2.17,2.1,0.18
2023-01-04 04:00:00,BLD_00039,7.23,2.65,1.7,1.83,1.06
2023-01-04 05:00:00,BLD_00039,7.57,3.19,1.96,1.79,0.62
2023-01-04 06:00:00,BLD_00039,12.77,5.01,3.0,3.08,1.68
2023-01-04 07:00:00,BLD_00039,16.19,6.89,3.58,3.67,2.05
2023-01-04 08:00:00,BLD_00039,23.6,9.38,5.33,5.89,3.0
2023-01-04 09:00:00,BLD_00039,31.98,12.71,7.37,7.87,4.04
2023-01-04 10:00:00,BLD_00039,41.62,17.21,9.27,10.09,5.05
2023-01-04 11:00:00,BLD_00039,35.73,14.74,8.94,9.7,2.35
2023-01-04 12:00:00,BLD_00039,36.59,13.07,9.46,8.11,5.96
2023-01-04 13:00:00,BLD_00039,39.37,16.09,10.88,10.02,2.38
2023-01-04 14:00:00,BLD_00039,41.53,16.44,10.5,11.48,3.11
2023-01-04 15:00:00,BLD_00039,36.1,14.03,10.02,9.9,2.14
2023-01-04 16:00:00,BLD_00039,39.02,13.94,9.33,10.56,5.19
2023-01-04 17:00:00,BLD_00039,37.28,13.14,10.02,8.83,5.29
2023-01-04 18:00:00,BLD_00039,35.25,14.56,9.61,9.31,1.78
2023-01-04 19:00:00,BLD_00039,26.0,11.19,6.16,6.0,2.65
2023-01-04 20:00:00,BLD_00039,19.96,8.96,4.89,4.84,1.27
2023-01-04 21:00:00,BLD_00039,11.9,5.09,2.86,3.28,0.67
2023-01-04 22:00:00,BLD_00039,7.61,3.24,2.02,1.72,0.64
2023-01-04 23:00:00,BLD_00039,8.12,3.57,2.03,2.19,0.32
2023-01-05 00:00:00,BLD_00039,8.95,3.48,1.98,2.46,1.04
2023-01-05 01:00:00,BLD_00039,8.52,3.06,2.04,2.36,1.06
2023-01-05 02:00:00,BLD_00039,8.7,3.59,2.15,2.07,0.89
2023-01-05 03:00:00,BLD_00039,8.92,3.41,2.32,2.36,0.82
2023-01-05 04:00:00,BLD_00039,8.93,3.21,2.23,2.0,1.5
2023-01-05 05:00:00,BLD_00039,8.93,3.62,2.2,2.44,0.67
2023-01-05 06:00:00,BLD_00039,12.45,4.54,3.31,3.2,1.41
2023-01-05 07:00:00,BLD_00039,17.04,6.14,3.83,4.47,2.6
2023-01-05 08:00:00,BLD_00039,25.36,9.09,7.08,6.15,3.04
2023-01-05 09:00:00,BLD_00039,35.04,13.56,9.42,9.7,2.36
2023-01-05 10:00:00,BLD_00039,41.74,17.85,10.58,10.24,3.06
2023-01-05 11:00:00,BLD_00039,42.83,18.87,9.71,10.69,3.56
2023-01-05 12:00:00,BLD_00039,43.25,15.38,9.82,9.82,8.23
2023-01-05 13:00:00,BLD_00039,42.67,17.7,11.3,10.88,2.79
2023-01-05 14:00:00,BLD_00039,43.06,16.3,11.72,10.05,4.99
2023-01-05 15:00:00,BLD_00039,44.16,19.71,9.75,12.29,2.42
2023-01-05 16:00:00,BLD_00039,43.78,15.65,11.09,12.18,4.87
2023-01-05 17:00:00,BLD_00039,43.32,17.43,11.17,11.34,3.39
2023-01-05 18:00:00,BLD_00039,43.16,17.63,11.83,9.61,4.09
2023-01-05 19:00:00,BLD_00039,29.14,11.02,8.07,7.97,2.08
2023-01-05 20:00:00,BLD_00039,24.02,9.07,5.55,5.95,3.44
2023-01-05 21:00:00,BLD_00039,12.46,4.8,3.18,2.8,1.68
2023-01-05 22:00:00,BLD_00039,8.81,3.35,2.37,2.3,0.78
2023-01-05 23:00:00,BLD_00039,9.47,3.47,2.6,2.55,0.85
2023-01-06 00:00:00,BLD_00039,8.99,3.98,2.44,2.0,0.56
2023-01-06 01:00:00,BLD_00039,10.5,3.7,2.55,2.82,1.43
2023-01-06 02:00:00,BLD_00039,8.8,3.93,2.38,2.38,0.11
2023-01-06 03:00:00,BLD_00039,10.27,4.08,2.52,2.43,1.25
2023-01-06 04:00:00,BLD_00039,9.62,4.11,2.66,2.61,0.24
2023-01-06 05:00:00,BLD_00039,9.64,3.61,2.38,2.2,1.45
2023-01-06 06:00:00,BLD_00039,14.52,5.41,3.78,3.73,1.59
2023-01-06 07:00:00,BLD_00039,19.74,7.61,4.48,5.14,2.51
2023-01-06 08:00:00,BLD_00039,31.1,12.5,8.43,7.87,2.29
2023-01-06 09:00:00,BLD_00039,38.71,15.72,10.55,9.45,2.98
2023-01-06 10:00:00,BLD_00039,49.66,20.88,11.56,11.33,5.89
2023-01-06 11:00:00,BLD_00039,51.4,18.06,12.39,13.13,7.82
2023-01-06 12:00:00,BLD_00039,45.26,19.93,10.9,11.35,3.07
2023-01-06 13:00:00,BLD_00039,43.2,18.5,10.53,11.12,3.05
2023-01-06 14:00:00,BLD_00039,44.01,17.42,12.27,10.98,3.33
2023-01-06 15:00:00,BLD_00039,47.97,18.37,12.38,11.24,5.98
2023-01-06 16:00:00,BLD_00039,48.98,18.04,11.79,13.41,5.74
2023-01-06 17:00:00,BLD_00039,45.84,18.22,11.92,10.56,5.14
2023-01-06 18:00:00,BLD_00039,42.15,15.5,9.5,9.58,7.58
2023-01-06 19:00:00,BLD_00039,32.34,12.81,7.51,7.82,4.19
2023-01-06 20:00:00,BLD_00039,26.41,9.35,7.08,6.81,3.18
2023-01-06 21:00:00,BLD_00039,14.46,5.18,3.94,3.98,1.36
2023-01-06 22:00:00,BLD_00039,9.57,4.12,2.53,2.21,0.7
2023-01-06 23:00:00,BLD_00039,9.51,3.53,2.3,2.37,1.31
2023-01-07 00:00:00,BLD_00039,8.89,3.52,2.35,1.98,1.04
2023-01-07 01:00:00,BLD_00039,10.28,3.86,2.7,2.81,0.91
2023-01-07 02:00:00,BLD_00039,11.1,4.0,2.74,2.8,1.56
2023-01-07 03:00:00,BLD_00039,10.16,3.8,2.4,2.46,1.49
2023-01-07 04:00:00,BLD_00039,9.31,3.37,2.55,2.38,1.01
2023-01-07 05:00:00,BLD_00039,9.1,3.8,2.43,2.27,0.59
2023-01-07 06:00:00,BLD_00039,14.49,5.92,3.84,3.56,1.17
2023-01-07 07:00:00,BLD_00039,18.41,6.68,4.36,4.45,2.92
2023-01-07 08:00:00,BLD_00039,30.2,11.64,8.43,7.74,2.38
2023-01-07 09:00:00,BLD_00039,42.16,15.75,9.53,9.66,7.21
2023-01-07 10:00:00,BLD_00039,46.54,17.16,11.03,10.72,7.62
2023-01-07 11:00:00,BLD_00039,46.93,20.63,10.55,11.8,3.94
2023-01-07 12:00:00,BLD_00039,48.75,17.61,11.89,13.56,5.69
2023-01-07 13:00:00,BLD_00039,47.98,20.95,12.91,11.3,2.83
2023-01-07 14:00:00,BLD_00039,49.31,21.84,12.49,12.54,2.43
2023-01-07 15:00:00,BLD_00039,45.75,17.29,12.18,10.58,5.7
2023-01-07 16:00:00,BLD_00039,46.27,18.54,10.85,10.5,6.38
2023-01-07 17:00:00,BLD_00039,43.76,17.99,10.39,11.15,4.23
2023-01-07 18:00:00,BLD_00039,43.15,17.4,9.63,10.36,5.76
2023-01-07 19:00:00,BLD_00039,31.63,11.5,7.08,8.84,4.22
2023-01-07 20:00:00,BLD_00039,25.26,9.48,6.59,6.71,2.48
2023-01-07 21:00:00,BLD_00039,14.01,5.74,3.48,3.43,1.37
2023-01-07 22:00:00,BLD_00039,9.9,4.29,2.75,2.25,0.61
2023-01-07 23:00:00,BLD_00039,9.52,4.03,2.63,2.2,0.66
2023-01-08 00:00:00,BLD_00039,8.7,3.54,2.35,1.99,0.81
2023-01-08 01:00:00,BLD_00039,8.59,3.69,1.99,1.97,0.93
2023-01-08 02:00:00,BLD_00039,8.83,3.68,2.22,2.13,0.8
2023-01-08 03:00:00,BLD_00039,8.48,3.71,2.06,2.28,0.42
2023-01-08 04:00:00,BLD_00039,7.78,3.08,1.85,2.06,0.78
2023-01-08 05:00:00,BLD_00039,8.22,3.29,1.92,2.25,0.75
2023-01-08 06:00:00,BLD_00039,13.53,5.96,3.48,3.07,1.01
2023-01-08 07:00:00,BLD_00039,15.4,6.84,3.97,3.7,0.9
2023-01-08 08:00:00,BLD_00039,26.42,10.88,6.66,7.23,1.65
2023-01-08 09:00:00,BLD_00039,33.92,14.54,7.77,8.1,3.5
2023-01-08 10:00:00,BLD_00039,45.09,15.93,11.46,11.98,5.71
2023-01-08 11:00:00,BLD_00039,41.44,18.14,9.97,11.16,2.18
2023-01-08 12:00:00,BLD_00039,42.71,18.35,9.78,9.98,4.59
2023-01-08 13:00:00,BLD_00039,41.17,17.38,10.84,10.64,2.31
2023-01-08 14:00:00,BLD_00039,44.19,16.58,10.64,10.2,6.77
2023-01-08 15:00:00,BLD_00039,47.36,20.88,12.08,11.56,2.85
2023-01-08 16:00:00,BLD_00039,44.71,16.33,11.41,11.19,5.77
2023-01-08 17:00:00,BLD_00039,43.17,17.75,9.54,11.76,4.12
2023-01-08 18:00:00,BLD_00039,39.18,16.44,10.79,10.28,1.67
2023-01-08 19:00:00,BLD_00039,31.4,11.47,7.99,8.05,3.89
2023-01-08 20:00:00,BLD_00039,23.37,10.36,6.44,5.77,0.79
2023-01-08 21:00:00,BLD_00039,12.66,4.57,3.53,3.42,1.13
2023-01-08 22:00:00,BLD_00039,8.68,3.55,2.12,1.94,1.07
2023-01-08 23:00:00,BLD_00039,9.13,3.5,2.45,2.01,1.17
2023-01-09 00:00:00,BLD_00039,7.31,2.95,2.01,1.76,0.59
2023-01-09 01:00:00,BLD_00039,7.06,2.72,1.87,1.74,0.73
2023-01-09 02:00:00,BLD_00039,7.6,2.77,1.75,1.9,1.18
2023-01-09 03:00:00,BLD_00039,7.12,2.79,1.96,1.72,0.65
2023-01-09 04:00:00,BLD_00039,8.41,2.95,2.18,1.94,1.33
2023-01-09 05:00:00,BLD_00039,8.13,3.63,1.86,1.99,0.65
2023-01-09 06:00:00,BLD_00039,13.03,4.65,3.45,3.03,1.9
2023-01-09 07:00:00,BLD_00039,15.44,6.79,3.59,3.57,1.49
2023-01-09 08:00:00,BLD_00039,23.05,9.37,5.16,6.14,2.38
2023-01-09 09:00:00,BLD_00039,29.95,11.84,7.53,7.38,3.2
2023-01-09 10:00:00,BLD_00039,40.88,14.94,9.44,11.11,5.39
2023-01-09 11:00:00,BLD_00039,34.49,15.34,8.36,8.15,2.65
2023-01-09 12:00:00,BLD_00039,36.35,12.81,8.34,9.56,5.64
2023-01-09 13:00:00,BLD_00039,41.85,17.41,9.28,9.77,5.41
2023-01-09 14:00:00,BLD_00039,39.87,14.03,9.02,10.69,6.13
2023-01-09 15:00:00,BLD_00039,36.31,13.36,9.41,8.51,5.04
2023-01-09 16:00:00,BLD_00039,38.02,16.05,10.32,10.26,1.39
2023-01-09 17:00:00,BLD_00039,37.76,14.72,9.82,8.77,4.45
2023-01-09 18:00:00,BLD_00039,35.66,12.53,8.03,8.29,6.81
2023-01-09 19:00:00,BLD_00039,26.52,9.35,6.12,6.76,4.28
2023-01-09 20:00:00,BLD_00039,20.13,8.69,4.84,4.74,1.86
2023-01-09 21:00:00,BLD_00039,11.44,4.44,2.92,2.7,1.38
2023-01-09 22:00:00,BLD_00039,7.2,2.92,1.77,1.71,0.8
2023-01-09 23:00:00,BLD_00039,8.37,3.72,2.23,1.91,0.51
2023-01-10 00:00:00,BLD_00039,7.68,3.38,2.06,1.89,0.36
2023-01-10 01:00:00,BLD_00039,8.12,2.86,1.92,2.05,1.29
2023-01-10 02:00:00,BLD_00039,7.18,2.61,1.94,2.0,0.62
2023-01-10 03:00:00,BLD_00039,7.98,3.21,1.84,1.89,1.04
2023-01-10 04:00:00,BLD_00039,7.77,2.93,1.97,2.01,0.86
2023-01-10 05:00:00,BLD_00039,7.32,3.17,1.7,1.62,0.83
2023-01-10 06:00:00,BLD_00039,11.69,4.79,3.04,2.7,1.16
2023-01-10 07:00:00,BLD_00039,16.15,7.13,3.96,3.92,1.14
2023-01-10 08:00:00,BLD_00039,22.37,8.2,5.91,5.03,3.22
2023-01-10 09:00:00,BLD_00039,30.83,12.65,7.24,7.5,3.44
2023-01-10 10:00:00,BLD_00039,36.71,15.49,8.73,9.32,3.17
2023-01-10 11:00:00,BLD_00039,35.88,14.27,9.32,9.91,2.38
2023-01-10 12:00:00,BLD_00039,36.83,13.01,8.68,9.42,5.73
2023-01-10 13:00:00,BLD_00039,39.83,14.15,9.95,10.19,5.55
2023-01-10 14:00:00,BLD_00039,40.69,14.68,9.14,10.73,6.15
2023-01-10 15:00:00,BLD_00039,37.13,14.84,9.7,9.14,3.46
2023-01-10 16:00:00,BLD_00039,39.84,17.13,10.43,9.42,2.87
2023-01-10 17:00:00,BLD_00039,37.4,15.3,9.04,8.43,4.63
2023-01-10 18:00:00,BLD_00039,34.51,12.72,8.71,9.4,3.68
2023-01-10 19:00:00,BLD_00039,27.77,11.75,7.45,7.21,1.36
2023-01-10 20:00:00,BLD_00039,20.04,7.52,5.0,4.68,2.85
2023-01-10 21:00:00,BLD_00039,11.81,5.3,3.27,2.63,0.62
2023-01-10 22:00:00,BLD_00039,7.86,2.89,2.0,2.16,0.81
2023-01-10 23:00:00,BLD_00039,7.78,2.75,2.04,1.85,1.14
2023-01-11 00:00:00,BLD_00039,7.68,3.35,2.08,1.84,0.41
2023-01-11 01:00:00,BLD_00039,7.96,3.45,1.77,2.04,0.71
2023-01-11 02:00:00,BLD_00039,7.53,2.69,1.97,1.81,1.06
2023-01-11 03:00:00,BLD_00039,7.58,3.2,1.7,1.81,0.87
2023-01-11 04:00:00,BLD_00039,8.25,3.15,2.13,2.25,0.72
2023-01-11 05:00:00,BLD_00039,7.77,3.2,1.82,1.72,1.03
2023-01-11 06:00:00,BLD_00039,11.59,5.15,3.11,3.24,0.1
2023-01-11 07:00:00,BLD_00039,16.21,6.24,4.31,3.96,1.7
2023-01-11 08:00:00,BLD_00039,25.74,11.26,7.18,6.85,0.45
2023-01-11 09:00:00,BLD_00039,30.23,11.84,7.41,7.99,2.98
2023-01-11 10:00:00,BLD_00039,37.67,14.52,8.94,8.96,5.26
2023-01-11 11:00:00,BLD_00039,37.94,14.17,8.44,8.39,6.94
2023-01-11 12:00:00,BLD_00039,38.42,14.92,10.02,8.95,4.52
2023-01-11 13:00:00,BLD_00039,38.93,17.33,10.4,8.77,2.43
2023-01-11 14:00:00,BLD_00039,40.38,17.95,10.02,10.37,2.05
2023-01-11 15:00:00,BLD_00039,38.07,13.96,10.64,8.9,4.57
2023-01-11 16:00:00,BLD_00039,38.8,15.94,9.73,9.07,4.06
2023-01-11 17:00:00,BLD_00039,39.43,14.5,9.2,9.12,6.62
2023-01-11 18:00:00,BLD_00039,33.53,11.93,9.33,9.15,3.12
2023-01-11 19:00:00,BLD_00039,28.54,12.64,7.98,6.58,1.34
2023-01-11 20:00:00,BLD_00039,20.61,8.65,4.72,5.54,1.69
2023-01-11 21:00:00,BLD_00039,11.22,4.18,2.62,2.83,1.59
2023-01-11 22:00:00,BLD_00039,8.29,2.98,2.26,1.96,1.1
2023-01-11 23:00:00,BLD_00039,8.39,3.04,2.29,2.33,0.72
2023-01-12 00:00:00,BLD_00039,8.78,3.65,2.22,1.98,0.93
2023-01-12 01:00:00,BLD_00039,8.8,3.44,2.13,2.07,1.16
2023-01-12 02:00:00,BLD_00039,8.64,3.1,2.02,2.26,1.28
2023-01-12 03:00:00,BLD_00039,9.44,3.37,2.56,2.36,1.15
2023-01-12 04:00:00,BLD_00039,9.75,4.22,2.35,2.54,0.64
2023-01-12 05:00:00,BLD_00039,8.43,3.43,1.99,2.3,0.71
2023-01-12 06:00:00,BLD_00039,13.37,5.82,3.64,3.51,0.41
2023-01-12 07:00:00,BLD_00039,18.28,7.93,4.79,4.77,0.8
2023-01-12 08:00:00,BLD_00039,27.77,10.16,7.58,7.56,2.47
2023-01-12 09:00:00,BLD_00039,35.76,12.62,9.64,8.14,5.36
2023-01-12 10:00:00,BLD_00039,45.9,16.8,12.35,12.39,4.36
2023-01-12 11:00:00,BLD_00039,41.52,16.64,9.15,9.85,5.88
2023-01-12 12:00:00,BLD_00039,43.71,18.06,10.3,11.28,4.07
2023-01-12 13:00:00,BLD_00039,43.39,17.53,11.58,9.83,4.46
2023-01-12 14:00:00,BLD_00039,43.83,19.56,10.54,11.31,2.42
2023-01-12 15:00:00,BLD_00039,46.71,20.7,10.56,12.9,2.54
2023-01-12 16:00:00,BLD_00039,42.33,16.09,11.11,9.48,5.65
2023-01-12 17:00:00,BLD_00039,43.71,17.84,10.52,11.25,4.1
2023-01-12 18:00:00,BLD_00039,37.87,16.13,8.39,8.38,4.98
2023-01-12 19:00:00,BLD_00039,30.88,11.81,7.7,8.22,3.15
2023-01-12 20:00:00,BLD_00039,21.05,7.94,5.89,5.17,2.05
2023-01-12 21:00:00,BLD_00039,14.21,5.61,3.27,3.8,1.53
2023-01-12 22:00:00,BLD_00039,8.22,2.94,2.14,2.13,1.0
2023-01-12 23:00:00,BLD_00039,8.97,3.38,2.48,2.05,1.04
2023-01-13 00:00:00,BLD_00039,9.93,3.89,2.57,2.42,1.05
2023-01-13 01:00:00,BLD_00039,9.57,3.61,2.67,2.34,0.95
2023-01-13 02:00:00,BLD_00039,9.5,3.53,2.11,2.46,1.4
2023-01-13 03:00:00,BLD_00039,9.79,3.79,2.66,2.43,0.91
2023-01-13 04:00:00,BLD_00039,9.79,4.18,2.65,2.6,0.36
2023-01-13 05:00:00,BLD_00039,9.84,4.06,2.24,2.18,1.35
2023-01-13 06:00:00,BLD_00039,14.57,6.26,3.63,3.31,1.38
2023-01-13 07:00:00,BLD_00039,19.92,7.22,5.2,4.9,2.6
2023-01-13 08:00:00,BLD_00039,28.8,10.27,7.34,6.8,4.39
2023-01-13 09:00:00,BLD_00039,35.73,15.36,8.53,8.84,3.01
2023-01-13 10:00:00,BLD_00039,47.02,19.28,11.17,12.3,4.27
2023-01-13 11:00:00,BLD_00039,42.27,18.43,11.28,9.4,3.16
2023-01-13 12:00:00,BLD_00039,45.78,17.13,12.78,10.46,5.4
2023-01-13 13:00:00,BLD_00039,47.99,19.19,12.34,12.58,3.88
2023-01-13 14:00:00,BLD_00039,47.57,18.2,11.94,10.72,6.71
2023-01-13 15:00:00,BLD_00039,48.17,18.55,10.69,10.82,8.1
2023-01-13 16:00:00,BLD_00039,45.69,18.59,11.94,12.25,2.92
2023-01-13 17:00:00,BLD_00039,47.43,17.55,10.91,10.73,8.24
2023-01-13 18:00:00,BLD_00039,46.32,16.36,12.79,10.34,6.83
2023-01-13 19:00:00,BLD_00039,35.23,14.24,9.25,9.59,2.15
2023-01-13 20:00:00,BLD_00039,25.13,9.65,6.76,5.65,3.07
2023-01-13 21:00:00,BLD_00039,14.89,6.54,3.76,4.01,0.58
2023-01-13 22:00:00,BLD_00039,10.62,4.28,2.8,2.39,1.15
2023-01-13 23:00:00,BLD_00039,9.29,3.31,2.18,2.13,1.67
2023-01-14 00:00:00,BLD_00039,9.47,4.24,2.27,2.19,0.77
2023-01-14 01:00:00,BLD_00039,9.82,4.21,2.55,2.46,0.61
2023-01-14 02:00:00,BLD_00039,10.45,3.9,2.92,2.91,0.72
2023-01-14 03:00:00,BLD_00039,9.83,4.08,2.28,2.56,0.91
2023-01-14 04:00:00,BLD_00039,9.5,4.15,2.5,2.51,0.33
2023-01-14 05:00:00,BLD_00039,8.82,3.46,2.12,2.14,1.1
2023-01-14 06:00:00,BLD_00039,14.59,5.75,3.85,3.64,1.36
2023-01-14 07:00:00,BLD_00039,20.25,8.86,5.55,4.97,0.88
2023-01-14 08:00:00,BLD_00039,29.8,13.15,6.93,7.67,2.05
2023-01-14 09:00:00,BLD_00039,35.45,14.65,9.36,8.08,3.37
2023-01-14 10:00:00,BLD_00039,49.29,18.14,11.55,13.72,5.89
2023-01-14 11:00:00,BLD_00039,48.73,17.94,13.22,12.16,5.41
2023-01-14 12:00:00,BLD_00039,49.41,19.49,12.4,11.94,5.58
2023-01-14 13:00:00,BLD_00039,47.21,19.32,10.85,11.49,5.54
2023-01-14 14:00:00,BLD_00039,44.99,19.23,10.25,12.52,3.0
2023-01-14 15:00:00,BLD_00039,50.9,20.12,11.92,11.42,7.43
2023-01-14 16:00:00,BLD_00039,48.29,18.53,13.02,11.87,4.86
2023-01-14 17:00:00,BLD_00039,45.02,16.88,11.57,11.81,4.76
2023-01-14 18:00:00,BLD_00039,42.54,15.04,11.24,11.05,5.2
2023-01-14 19:00:00,BLD_00039,33.08,13.15,8.95,8.88,2.1
2023-01-14 20:00:00,BLD_00039,25.29,9.37,5.73,5.97,4.21
2023-01-14 21:00:00,BLD_00039,14.6,5.19,3.68,4.03,1.7
2023-01-14 22:00:00,BLD_00039,9.97,3.81,2.5,2.22,1.45
2023-01-14 23:00:00,BLD_00039,9.58,3.5,2.68,2.66,0.75
2023-01-15 00:00:00,BLD_00039,9.06,3.58,2.27,2.26,0.94
2023-01-15 01:00:00,BLD_00039,8.81,3.67,2.01,1.95,1.17
2023-01-15 02:00:00,BLD_00039,9.14,3.38,2.38,2.54,0.83
2023-01-15 03:00:00,BLD_00039,8.21,2.95,2.14,2.02,1.1
2023-01-15 04:00:00,BLD_00039,8.58,3.6,2.32,2.37,0.29
2023-01-15 05:00:00,BLD_00039,8.75,3.66,2.19,2.25,0.65
2023-01-15 06:00:00,BLD_00039,13.12,4.63,3.62,3.43,1.44
2023-01-15 07:00:00,BLD_00039,18.23,7.61,4.25,4.73,1.64
2023-01-15 08:00:00,BLD_00039,28.1,10.13,7.29,7.87,2.81
2023-01-15 09:00:00,BLD_00039,32.65,11.58,9.1,7.98,3.99
2023-01-15 10:00:00,BLD_00039,43.99,17.89,11.63,12.0,2.48
