building_id,assessment_period_years,a1_a3_embodied_carbon_kg_co2_total,a4_transport_to_site_kg_co2_total,a5_installation_kg_co2_total,b1_b7_use_stage_kg_co2_total,c1_deconstruction_kg_co2_total,c2_transport_eol_kg_co2_total,c3_waste_processing_kg_co2_total,c4_disposal_kg_co2_total,d_recycling_potential_kg_co2_total,total_embodied_carbon_kg_co2,total_operational_carbon_kg_co2,total_end_of_life_carbon_kg_co2,total_recycling_credit_kg_co2,net_lifecycle_carbon_kg_co2,carbon_per_m2_per_year_kg_co2,total_ozone_depletion_potential,total_acidification_potential,total_eutrophication_potential,total_photochemical_oxidation_potential,total_abiotic_depletion_potential,total_water_consumption,total_primary_energy_demand
BLD_00001,50,2280268.25,262028.47,104811.39,262028.5,52405.7,157217.09,104811.39,262028.47,-975960.59,2280268.25,262028.5,576462.65,-975960.59,2142798.81,0.008,19069342.25,9658604.56,25437128.86,7649275.01,12766795.77,42074365.62,33528948.38
BLD_00021,50,1080708.79,36514.4,14605.76,36514.45,7302.89,21908.65,14605.76,36514.4,-481700.89,1080708.79,36514.45,80331.7,-481700.89,715854.05,0.02,4225172.74,2968055.45,2979236.64,2645930.93,3517302.52,3910883.88,4679986.92
BLD_00035,50,2159362.35,59903.06,23961.22,59903.1,11980.62,35941.83,23961.22,59903.06,-975559.96,2159362.35,59903.1,131786.73,-975559.96,1375492.22,0.023,7373254.01,458587.5,3607898.03,8598242.0,5143334.8,1585891.5,8890166.55
BLD_00024,50,2393391.93,233650.16,93460.06,233650.15,46730.03,140190.09,93460.06,233650.16,-1012663.36,2393391.93,233650.15,514030.34,-1012663.36,2128409.06,0.009,21918378.32,17983310.21,21235764.56,20914721.33,5532801.28,32656140.81,35830116.85
BLD_00031,50,658079.48,21288.72,8515.49,21288.7,4257.74,12773.23,8515.49,21288.72,-265497.74,658079.48,21288.7,46835.18,-265497.74,460705.62,0.022,2791928.23,2562291.01,1183335.57,2881417.09,3061360.93,2249806.17,2931849.26
BLD_00055,50,317848.71,7546.74,3018.7,7546.75,1509.35,4528.05,3018.7,7546.74,-142697.15,317848.71,7546.75,16602.84,-142697.15,199301.15,0.026,342838.99,1025397.09,1148634.76,822334.98,723259.94,158536.01,1331211.87
BLD_00085,50,1353454.16,35460.94,14184.36,35460.95,7092.19,21276.57,14184.36,35460.94,-579445.38,1353454.16,35460.95,78014.06,-579445.38,887483.79,0.025,2655730.38,2113786.21,2459804.52,3151614.7,1085262.44,1300028.82,2775711.44
BLD_00057,50,594352.29,15694.53,6277.82,15694.5,3138.9,9416.71,6277.82,15694.53,-242780.32,594352.29,15694.5,34527.96,-242780.32,401794.43,0.026,1949927.83,1397438.05,2437311.71,2271112.31,979660.29,1650112.54,2002482.92
BLD_00033,50,2448415.92,74351.43,29740.58,74351.45,14870.29,44610.86,29740.58,74351.43,-975384.59,2448415.92,74351.45,163573.16,-975384.59,1710955.94,0.023,4612263.74,6488459.58,8295033.1,9311581.1,4245407.06,4339190.53,5125684.79
BLD_00028,50,2224742.34,52776.66,21110.67,52776.65,10555.33,31666.0,21110.67,52776.66,-995698.01,2224742.34,52776.65,116108.66,-995698.01,1397929.64,0.026,3540567.56,5493458.68,3285826.56,8025033.72,4343190.34,6884449.99,8413406.66
BLD_00060,50,1598954.14,52666.31,21066.52,52666.35,10533.27,31599.78,21066.52,52666.31,-694269.55,1598954.14,52666.35,115865.88,-694269.55,1073216.82,0.02,2540775.87,8958347.62,5709370.99,2667411.09,4113789.96,7138111.87,6704961.45
BLD_00032,50,1754069.73,108791.29,43516.51,108791.3,21758.26,65274.78,43516.51,108791.29,-780165.73,1754069.73,108791.3,239340.84,-780165.73,1322036.14,0.012,13132784.71,9930009.59,17267603.66,3657136.71,16011816.37,12051232.38,16761976.8
BLD_00069,50,1234397.56,122003.87,48801.55,122003.85,24400.77,73202.3,48801.55,122003.87,-538821.57,1234397.56,122003.85,268408.49,-538821.57,1085988.33,0.009,8218343.75,14406651.57,14138288.37,19798233.93,16845092.66,18301970.42,11554798.88
BLD_00006,50,466582.32,15607.12,6242.85,15607.1,3121.42,9364.28,6242.85,15607.12,-203870.15,466582.32,15607.1,34335.67,-203870.15,312654.94,0.02,1427769.58,1284899.86,1802241.19,2845880.53,753510.91,1003862.69,1638368.56
BLD_00009,50,1340802.02,21534.49,8613.79,21534.5,4306.9,12920.7,8613.79,21534.49,-467647.12,1340802.02,21534.5,47375.88,-467647.12,942065.28,0.044,1608959.24,1859766.58,2679053.12,2820116.33,2042365.29,2618114.47,2477970.44
BLD_00080,50,4764349.95,264073.12,105629.25,264073.1,52814.62,158443.87,105629.25,264073.12,-2117447.7,4764349.95,264073.1,580960.86,-2117447.7,3491936.21,0.013,12998359.06,17367297.91,42020690.36,40025624.99,24781617.65,29097158.9,41716097.04
BLD_00010,50,1596731.58,34486.56,13794.63,34486.6,6897.32,20691.93,13794.63,34486.56,-681888.4,1596731.58,34486.6,75870.44,-681888.4,1025200.22,0.03,2140481.34,5713000.47,4818503.52,4838710.18,4339014.01,3326300.64,1506113.97
BLD_00068,50,1715955.69,38971.94,15588.77,38971.95,7794.39,23383.16,15588.77,38971.94,-777439.8,1715955.69,38971.95,85738.26,-777439.8,1063226.1,0.027,4919115.18,4362546.22,6435618.1,4611290.28,730997.36,4498173.86,3138935.3
BLD_00034,50,445029.83,7854.47,3141.8,7854.5,1570.9,4712.69,3141.8,7854.47,-171549.04,445029.83,7854.5,17279.86,-171549.04,298615.15,0.038,839282.06,893704.26,771505.41,368949.04,380763.77,678343.42,958067.09
BLD_00025,50,800373.69,22592.39,9036.95,22592.4,4518.48,13555.44,9036.95,22592.39,-363856.92,800373.69,22592.4,49703.26,-363856.92,508812.43,0.023,2345108.64,665501.41,3569010.17,3892180.15,2385105.13,2648088.48,3780369.34
BLD_00037,50,546677.93,12740.18,5096.07,12740.25,2548.05,7644.1,5096.07,12740.18,-229598.78,546677.93,12740.25,28028.4,-229598.78,357847.8,0.028,1039067.83,754325.63,641529.7,1208757.4,1759196.38,1116706.07,1939180.8
BLD_00073,50,3978520.5,378984.38,151593.75,378984.35,75796.87,227390.63,151593.75,378984.38,-1680893.48,3978520.5,378984.35,833765.63,-1680893.48,3510377.0,0.009,11907748.44,27082321.69,27559107.45,17605525.71,12815679.07,11834213.17,46437883.27
BLD_00070,50,187670.57,4628.34,1851.34,4628.3,925.66,2777.0,1851.34,4628.34,-82984.05,187670.57,4628.3,10182.34,-82984.05,119497.16,0.026,323857.3,198125.69,720390.07,556271.58,412513.56,735512.48,425794.07
BLD_00045,50,1060369.01,102738.38,41095.35,102738.35,20547.67,61643.03,41095.35,102738.38,-467022.57,1060369.01,102738.35,226024.43,-467022.57,922109.22,0.009,7333521.75,16231529.21,17064252.57,11119963.32,9134783.32,9150678.07,7154600.16
BLD_00062,50,1295009.13,119971.98,47988.79,119972.0,23994.4,71983.18,47988.79,119971.98,-524062.72,1295009.13,119972.0,263938.35,-524062.72,1154856.76,0.01,17789450.49,16237694.19,20951387.36,15308428.92,14603793.48,22212525.03,3004661.52
BLD_00016,50,3246309.92,330213.85,132085.54,330213.8,66042.76,198128.31,132085.54,330213.85,-1340283.72,3246309.92,330213.8,726470.46,-1340283.72,2962710.46,0.009,28851345.29,27398651.4,22240625.55,15449021.82,22076163.26,57289736.65,34658504.0
BLD_00052,50,1142022.25,30817.72,12327.09,30817.7,6163.54,18490.64,12327.09,30817.72,-514492.87,1142022.25,30817.7,67798.99,-514492.87,726146.07,0.024,5211012.78,1420158.73,3926716.71,4876623.95,2370847.07,3343831.4,4653325.12
BLD_00074,50,1346688.47,34600.24,13840.1,34600.25,6920.05,20760.14,13840.1,34600.24,-565673.31,1346688.47,34600.25,76120.53,-565673.31,891735.94,0.026,3875477.67,2889300.65,3962569.99,3941243.54,5178698.68,5049387.8,2596839.61
BLD_00048,50,2907370.3,85913.72,34365.49,85913.75,17182.75,51548.23,34365.49,85913.72,-1310041.44,2907370.3,85913.75,189010.19,-1310041.44,1872252.8,0.022,2858218.71,3463362.63,14339703.39,9823941.75,14374153.85,4467081.53,3098872.94
BLD_00036,50,31812.73,864.54,345.81,864.6,172.92,518.73,345.81,864.54,-13166.22,31812.73,864.6,1902.0,-13166.22,21413.11,0.025,70348.65,64889.75,117733.71,46131.76,115337.28,156394.33,131954.79
BLD_00072,50,820012.44,23304.58,9321.83,23304.6,4660.92,13982.74,9321.83,23304.58,-371320.97,820012.44,23304.6,51270.07,-371320.97,523266.14,0.022,3171901.57,1975146.37,943050.65,2129338.46,2084727.06,1016318.04,3410733.63
BLD_00027,50,292016.69,8260.07,3304.02,8260.05,1652.01,4956.03,3304.02,8260.07,-115791.42,292016.69,8260.05,18172.13,-115791.42,202657.45,0.025,1145589.42,633853.57,216492.25,1161874.3,1117312.2,860114.8,538899.34
BLD_00008,50,574793.56,9401.48,3760.58,9401.45,1880.29,5640.88,3760.58,9401.48,-193797.18,574793.56,9401.45,20683.23,-193797.18,411081.06,0.044,994036.91,769461.91,1415866.27,1140504.14,1080714.88,415822.82,1007956.97
BLD_00097,50,97091.88,2774.19,1109.67,2774.2,554.84,1664.5,1109.67,2774.19,-41273.8,97091.88,2774.2,6103.2,-41273.8,64695.48,0.023,268076.37,469932.24,195173.67,241905.12,332463.05,395006.23,277021.67
BLD_00007,50,880758.03,25380.48,10152.19,25380.5,5076.1,15228.28,10152.19,25380.48,-362749.76,880758.03,25380.5,55837.05,-362749.76,599225.82,0.024,1650791.48,2874779.21,2987341.06,2172244.41,2333088.52,999947.07,2892455.99
BLD_00090,50,1360228.66,126948.82,50779.53,126948.8,25389.76,76169.29,50779.53,126948.82,-553316.25,1360228.66,126948.8,279287.4,-553316.25,1213148.61,0.01,8818791.84,13654450.34,11347137.36,3659750.43,19930967.16,11736894.52,13721306.77
BLD_00019,50,829656.08,21750.43,8700.18,21750.45,4350.09,13050.25,8700.18,21750.43,-346531.51,829656.08,21750.45,47850.95,-346531.51,552725.97,0.025,3434910.74,3314558.72,1869211.12,2495531.25,2919663.34,1391633.63,2218838.34
BLD_00030,50,1270766.26,123952.45,49580.98,123952.4,24790.48,74371.47,49580.98,123952.45,-532999.81,1270766.26,123952.4,272695.38,-532999.81,1134414.23,0.009,21360010.15,7920545.67,17381347.7,11202812.34,16823192.35,3852629.52,6505346.58
BLD_00067,50,1750150.28,168830.17,67532.08,168830.15,33766.03,101298.11,67532.08,168830.17,-739841.41,1750150.28,168830.15,371426.39,-739841.41,1550565.41,0.009,3202409.97,23728289.05,18144576.7,12833305.4,13506270.54,6286261.36,20995998.23
