material_type,quantity,unit,epd_number,manufacturer,production_location,transport_distance_km,a1_a3_embodied_carbon_kg_co2,a1_raw_material_kg_co2,a2_transport_kg_co2,a3_manufacturing_kg_co2,a4_transport_to_site_kg_co2,a5_installation_kg_co2,b1_b7_use_stage_kg_co2_per_year,c1_deconstruction_kg_co2,c2_transport_eol_kg_co2,c3_waste_processing_kg_co2,c4_disposal_kg_co2,d_recycling_potential_kg_co2,density_kg_m3,recyclability_pct,expected_lifespan_years,renewable_content_pct,recycled_content_pct,certification_standard,valid_from,valid_until,ozone_depletion_potential_value,ozone_depletion_potential_unit,acidification_potential_value,acidification_potential_unit,eutrophication_potential_value,eutrophication_potential_unit,photochemical_oxidation_potential_value,photochemical_oxidation_potential_unit,abiotic_depletion_potential_value,abiotic_depletion_potential_unit,water_consumption_value,water_consumption_unit,primary_energy_demand_value,primary_energy_demand_unit,building_id,retrofit_measure
steel,200.0,kg,EPD-4921-STE,Steel Corp 42,Europe,1577,324.44,97.33,32.44,194.66,10.0,4.0,0.2,2.0,6.0,4.0,10.0,-151.88,7850,93.1,89,1.058775735944315,14.072589125466944,ISO 14025,2023-01-01,2028-01-01,520.824,kg CFC-11 eq,557.675,kg SO2 eq,916.083,kg PO4 eq,905.463,kg C2H4 eq,724.602,kg Sb eq,545.389,m3,1452.685,MJ,BLD_00005,heat_pump
aluminum,50.0,kg,EPD-7749-ALU,Aluminum Corp 9,Europe,1282,496.08,148.83,49.61,297.65,2.5,1.0,0.05,0.5,1.5,1.0,2.5,-239.78,2700,97.3,60,3.2621892615567516,23.762682183558393,EN 15804,2023-01-01,2028-01-01,228.187,kg CFC-11 eq,490.071,kg SO2 eq,436.042,kg PO4 eq,122.844,kg C2H4 eq,61.953,kg Sb eq,126.275,m3,398.923,MJ,BLD_00005,heat_pump
insulation_mineral_wool,77848.245,kg,EPD-9947-INS,Insulation_mineral_wool Corp 22,Europe,517,87160.21,26148.06,8716.02,52296.12,3892.41,1556.96,77.848,778.48,2335.45,1556.96,3892.41,-24528.16,100,60.5,49,12.18622501034101,5.757479248927733,EN 15804,2023-01-01,2028-01-01,435817.029,kg CFC-11 eq,503467.103,kg SO2 eq,416441.907,kg PO4 eq,373911.94,kg C2H4 eq,330.422,kg Sb eq,560179.843,m3,278874.639,MJ,BLD_00005,roof_insulation
insulation_mineral_wool,12868.785,kg,EPD-3012-INS,Insulation_mineral_wool Corp 41,Local,719,18978.85,5693.66,1897.89,11387.31,643.44,257.38,12.869,128.69,386.06,257.38,643.44,-5720.28,100,55.3,34,9.243391219251581,25.863479605780014,EN 15804,2023-01-01,2028-01-01,83859.927,kg CFC-11 eq,22462.995,kg SO2 eq,57789.223,kg PO4 eq,118030.434,kg C2H4 eq,122877.508,kg Sb eq,73431.661,m3,109387.332,MJ,BLD_00046,roof_insulation
glass,25737.57,kg,EPD-4706-GLA,Glass Corp 31,North America,942,28870.63,8661.19,2887.06,17322.38,1286.88,514.75,25.738,257.38,772.13,514.75,1286.88,-14346.75,2500,96.2,34,0.39846511090980696,27.570545773115356,ISO 14025,2023-01-01,2028-01-01,205005.994,kg CFC-11 eq,115239.313,kg SO2 eq,247892.904,kg PO4 eq,21612.911,kg C2H4 eq,223609.941,kg Sb eq,184612.486,m3,243128.717,MJ,BLD_00046,window_upgrade
aluminum,6863.352,kg,EPD-6963-ALU,Aluminum Corp 7,Local,626,79182.04,23754.61,7918.2,47509.22,343.17,137.27,6.863,68.63,205.9,137.27,343.17,-37740.79,2700,96.1,57,6.138408938496706,31.815779451505705,ISO 14025,2023-01-01,2028-01-01,60929.038,kg CFC-11 eq,45872.309,kg SO2 eq,43818.425,kg PO4 eq,25298.445,kg C2H4 eq,9646.683,kg Sb eq,17544.911,m3,68576.146,MJ,BLD_00046,window_upgrade
insulation_polyurethane,21447.975000000002,kg,EPD-6931-INS,Insulation_polyurethane Corp 37,Local,1581,80192.05,24057.61,8019.2,48115.23,1072.4,428.96,21.448,214.48,643.44,428.96,1072.4,-4519.2,30,26.4,26,4.407630080110383,37.96547149928028,ISO 14025,2023-01-01,2028-01-01,158163.239,kg CFC-11 eq,88228.466,kg SO2 eq,144863.381,kg PO4 eq,93425.926,kg C2H4 eq,64926.209,kg Sb eq,11109.98,m3,187174.217,MJ,BLD_00046,wall_insulation
aluminum,1429.865,kg,EPD-9405-ALU,Aluminum Corp 80,Asia,1494,16834.93,5050.48,1683.49,10100.96,71.49,28.6,1.43,14.3,42.9,28.6,71.49,-8411.43,2700,99.5,43,17.85224382580465,33.982385400741045,ISO 14025,2023-01-01,2028-01-01,14042.423,kg CFC-11 eq,4856.543,kg SO2 eq,11657.758,kg PO4 eq,3748.377,kg C2H4 eq,2576.157,kg Sb eq,9002.291,m3,13783.91,MJ,BLD_00046,wall_insulation
glass,121140.27,kg,EPD-9273-GLA,Glass Corp 39,Local,810,136595.68,40978.7,13659.57,81957.41,6057.01,2422.81,121.14,1211.4,3634.21,2422.81,6057.01,-64094.53,2500,93.5,44,10.927306665695102,10.982009334229382,EN 15804,2023-01-01,2028-01-01,719934.68,kg CFC-11 eq,729703.382,kg SO2 eq,936268.817,kg PO4 eq,251391.301,kg C2H4 eq,35717.431,kg Sb eq,826223.519,m3,96242.781,MJ,BLD_00093,window_upgrade
aluminum,32304.072,kg,EPD-9330-ALU,Aluminum Corp 46,Local,1170,328144.31,98443.29,32814.43,196886.58,1615.2,646.08,32.304,323.04,969.12,646.08,1615.2,-159477.24,2700,99.6,56,18.80479929676237,0.7562893177766261,ISO 21930,2023-01-01,2028-01-01,109867.983,kg CFC-11 eq,58182.871,kg SO2 eq,280743.266,kg PO4 eq,164666.768,kg C2H4 eq,195116.272,kg Sb eq,167474.726,m3,3914.322,MJ,BLD_00093,window_upgrade
steel,200.0,kg,EPD-8080-STE,Steel Corp 47,North America,877,470.79,141.24,47.08,282.47,10.0,4.0,0.2,2.0,6.0,4.0,10.0,-220.75,7850,93.2,96,0.354516779270484,22.544369754822835,ISO 14025,2023-01-01,2028-01-01,682.945,kg CFC-11 eq,839.11,kg SO2 eq,1338.629,kg PO4 eq,1357.829,kg C2H4 eq,754.378,kg Sb eq,935.516,m3,1791.916,MJ,BLD_00093,heat_pump
aluminum,50.0,kg,EPD-8331-ALU,Aluminum Corp 13,Local,780,582.44,174.73,58.24,349.46,2.5,1.0,0.05,0.5,1.5,1.0,2.5,-284.24,2700,99.1,41,15.89338415559614,27.608326401816562,EN 15804,2023-01-01,2028-01-01,332.265,kg CFC-11 eq,17.278,kg SO2 eq,170.701,kg PO4 eq,490.756,kg C2H4 eq,453.13,kg Sb eq,22.823,m3,200.194,MJ,BLD_00093,heat_pump
glass,40380.090000000004,kg,EPD-1769-GLA,Glass Corp 60,North America,476,46747.48,14024.24,4674.75,28048.49,2019.0,807.6,40.38,403.8,1211.4,807.6,2019.0,-22394.41,2500,96.3,38,18.39188568785294,12.569785296920866,ISO 14025,2023-01-01,2028-01-01,76780.053,kg CFC-11 eq,67736.317,kg SO2 eq,60184.674,kg PO4 eq,254039.471,kg C2H4 eq,103130.855,kg Sb eq,361850.05,m3,108588.5,MJ,BLD_00093,solar_panels
aluminum,26920.060000000005,kg,EPD-4858-ALU,Aluminum Corp 82,Europe,1225,288805.63,86641.69,28880.56,173283.38,1346.0,538.4,26.92,269.2,807.6,538.4,1346.0,-140675.68,2700,99.5,60,12.482853643447157,33.63287299886952,EN 15804,2023-01-01,2028-01-01,18189.201,kg CFC-11 eq,15593.32,kg SO2 eq,52725.187,kg PO4 eq,107024.415,kg C2H4 eq,244913.923,kg Sb eq,164326.508,m3,261231.559,MJ,BLD_00093,solar_panels
steel,13460.030000000002,kg,EPD-7468-STE,Steel Corp 80,North America,1950,21159.36,6347.81,2115.94,12695.62,673.0,269.2,13.46,134.6,403.8,269.2,673.0,-9588.01,7850,92.2,90,15.532526818205012,19.61532399621191,ISO 21930,2023-01-01,2028-01-01,56571.951,kg CFC-11 eq,65067.934,kg SO2 eq,133390.402,kg PO4 eq,65781.044,kg C2H4 eq,77144.788,kg Sb eq,46648.124,m3,59623.573,MJ,BLD_00093,solar_panels
insulation_mineral_wool,60570.135,kg,EPD-3214-INS,Insulation_mineral_wool Corp 90,Europe,1163,73298.95,21989.68,7329.89,43979.37,3028.51,1211.4,60.57,605.7,1817.1,1211.4,3028.51,-20142.29,100,69.1,36,0.22872532180243432,0.25828483523253065,ISO 21930,2023-01-01,2028-01-01,233955.94,kg CFC-11 eq,384946.926,kg SO2 eq,317927.452,kg PO4 eq,108101.646,kg C2H4 eq,200202.42,kg Sb eq,599141.751,m3,566267.968,MJ,BLD_00093,roof_insulation
insulation_mineral_wool,45711.045,kg,EPD-3521-INS,Insulation_mineral_wool Corp 51,Local,765,45760.06,13728.02,4576.01,27456.04,2285.55,914.22,45.711,457.11,1371.33,914.22,2285.55,-12984.65,100,58.9,36,16.248781190648995,38.79092954697628,ISO 14025,2023-01-01,2028-01-01,367948.064,kg CFC-11 eq,361072.537,kg SO2 eq,40847.495,kg PO4 eq,193991.774,kg C2H4 eq,241813.059,kg Sb eq,156102.663,m3,47583.832,MJ,BLD_00081,roof_insulation
insulation_polyurethane,76185.075,kg,EPD-3311-INS,Insulation_polyurethane Corp 82,Asia,157,358644.83,107593.45,35864.48,215186.9,3809.25,1523.7,76.185,761.85,2285.55,1523.7,3809.25,-24834.69,30,26.2,30,1.794627230569732,40.07537996688227,EN 15804,2023-01-01,2028-01-01,748020.316,kg CFC-11 eq,728829.848,kg SO2 eq,521987.473,kg PO4 eq,659439.162,kg C2H4 eq,414509.852,kg Sb eq,690909.024,m3,596353.599,MJ,BLD_00081,wall_insulation
aluminum,5079.005,kg,EPD-5230-ALU,Aluminum Corp 71,Europe,1146,55842.28,16752.68,5584.23,33505.37,253.95,101.58,5.079,50.79,152.37,101.58,253.95,-27766.21,2700,97.6,53,17.61085639814138,3.953721414250988,EN 15804,2023-01-01,2028-01-01,39198.372,kg CFC-11 eq,25502.576,kg SO2 eq,15368.31,kg PO4 eq,35659.068,kg C2H4 eq,11766.299,kg Sb eq,20204.676,m3,16179.651,MJ,BLD_00081,wall_insulation
steel,200.0,kg,EPD-8609-STE,Steel Corp 62,Asia,239,465.79,139.74,46.58,279.47,10.0,4.0,0.2,2.0,6.0,4.0,10.0,-210.77,7850,92.2,94,8.09338130303209,5.2851479503478735,ISO 21930,2023-01-01,2028-01-01,1061.603,kg CFC-11 eq,189.505,kg SO2 eq,1968.223,kg PO4 eq,1319.015,kg C2H4 eq,907.752,kg Sb eq,831.137,m3,857.819,MJ,BLD_00081,heat_pump
aluminum,50.0,kg,EPD-7020-ALU,Aluminum Corp 17,Europe,733,446.6,133.98,44.66,267.96,2.5,1.0,0.05,0.5,1.5,1.0,2.5,-213.83,2700,97.1,46,16.56246478162013,22.579977704042914,EN 15804,2023-01-01,2028-01-01,6.247,kg CFC-11 eq,382.415,kg SO2 eq,467.997,kg PO4 eq,267.066,kg C2H4 eq,262.99,kg Sb eq,216.572,m3,209.592,MJ,BLD_00081,heat_pump
glass,30474.030000000002,kg,EPD-6032-GLA,Glass Corp 13,North America,1018,33377.3,10013.19,3337.73,20026.38,1523.7,609.48,30.474,304.74,914.22,609.48,1523.7,-16499.02,2500,93.5,49,16.798190371820617,21.386567707827673,ISO 21930,2023-01-01,2028-01-01,102296.228,kg CFC-11 eq,193752.838,kg SO2 eq,88929.368,kg PO4 eq,56600.019,kg C2H4 eq,52535.545,kg Sb eq,139987.305,m3,282001.676,MJ,BLD_00081,solar_panels
aluminum,20316.02,kg,EPD-9049-ALU,Aluminum Corp 92,Local,1711,206278.18,61883.45,20627.82,123766.91,1015.8,406.32,20.316,203.16,609.48,406.32,1015.8,-101867.36,2700,98.4,58,7.478542192047428,19.40146186444477,ISO 14025,2023-01-01,2028-01-01,6908.789,kg CFC-11 eq,147320.403,kg SO2 eq,197911.463,kg PO4 eq,132219.383,kg C2H4 eq,133392.378,kg Sb eq,150257.066,m3,6121.697,MJ,BLD_00081,solar_panels
steel,10158.01,kg,EPD-1278-STE,Steel Corp 79,North America,1509,17929.28,5378.78,1792.93,10757.57,507.9,203.16,10.158,101.58,304.74,203.16,507.9,-8357.95,7850,90.3,78,15.920435733510917,40.53589853520549,ISO 14025,2023-01-01,2028-01-01,65431.166,kg CFC-11 eq,77976.322,kg SO2 eq,63079.719,kg PO4 eq,96092.87,kg C2H4 eq,73990.442,kg Sb eq,64114.334,m3,22601.585,MJ,BLD_00081,solar_panels
steel,200.0,kg,EPD-8848-STE,Steel Corp 81,Asia,1659,473.05,141.92,47.31,283.83,10.0,4.0,0.2,2.0,6.0,4.0,10.0,-221.44,7850,94.2,59,1.022322313241737,37.78796195930391,EN 15804,2023-01-01,2028-01-01,20.162,kg CFC-11 eq,141.041,kg SO2 eq,1970.092,kg PO4 eq,1084.787,kg C2H4 eq,1799.267,kg Sb eq,848.204,m3,1475.88,MJ,BLD_00014,heat_pump
aluminum,50.0,kg,EPD-4359-ALU,Aluminum Corp 91,Local,825,587.91,176.37,58.79,352.74,2.5,1.0,0.05,0.5,1.5,1.0,2.5,-293.14,2700,97.0,43,7.325558553504048,3.454721476285533,ISO 21930,2023-01-01,2028-01-01,33.881,kg CFC-11 eq,289.218,kg SO2 eq,280.653,kg PO4 eq,222.67,kg C2H4 eq,419.195,kg Sb eq,339.482,m3,63.444,MJ,BLD_00014,heat_pump
glass,57200.009999999995,kg,EPD-3730-GLA,Glass Corp 89,North America,1788,62550.6,18765.18,6255.06,37530.36,2860.0,1144.0,57.2,572.0,1716.0,1144.0,2860.0,-30717.05,2500,91.5,47,8.177990349629525,16.606629467732336,EN 15804,2023-01-01,2028-01-01,175233.034,kg CFC-11 eq,95806.523,kg SO2 eq,504518.613,kg PO4 eq,114533.386,kg C2H4 eq,333262.078,kg Sb eq,512313.724,m3,469060.089,MJ,BLD_00014,solar_panels
aluminum,38133.34,kg,EPD-5412-ALU,Aluminum Corp 79,North America,769,379400.44,113820.13,37940.04,227640.26,1906.67,762.67,38.133,381.33,1144.0,762.67,1906.67,-185991.65,2700,95.3,44,15.424968566576563,37.32371152553745,EN 15804,2023-01-01,2028-01-01,137072.794,kg CFC-11 eq,323820.913,kg SO2 eq,192250.048,kg PO4 eq,173712.336,kg C2H4 eq,368506.46,kg Sb eq,340236.418,m3,247660.394,MJ,BLD_00014,solar_panels
steel,19066.67,kg,EPD-4531-STE,Steel Corp 83,Europe,1867,33605.86,10081.76,3360.59,20163.51,953.33,381.33,19.067,190.67,572.0,381.33,953.33,-15487.83,7850,93.3,51,7.002894926246923,48.00126362974581,ISO 21930,2023-01-01,2028-01-01,93092.968,kg CFC-11 eq,39650.348,kg SO2 eq,133123.582,kg PO4 eq,28521.159,kg C2H4 eq,78055.333,kg Sb eq,51837.297,m3,111575.589,MJ,BLD_00014,solar_panels
insulation_polyurethane,170936.325,kg,EPD-8347-INS,Insulation_polyurethane Corp 18,North America,1472,819220.77,245766.23,81922.08,491532.46,8546.82,3418.73,170.936,1709.36,5128.09,3418.73,8546.82,-63023.89,30,18.5,36,16.176374995972964,23.651902634313686,ISO 14025,2023-01-01,2028-01-01,1534221.313,kg CFC-11 eq,1431826.876,kg SO2 eq,910506.264,kg PO4 eq,828011.659,kg C2H4 eq,783022.756,kg Sb eq,415060.812,m3,1534846.979,MJ,BLD_00061,wall_insulation
aluminum,11395.755,kg,EPD-9706-ALU,Aluminum Corp 28,North America,950,93643.95,28093.19,9364.4,56186.37,569.79,227.92,11.396,113.96,341.87,227.92,569.79,-44789.97,2700,97.7,40,18.894444498117647,4.724522627388872,ISO 21930,2023-01-01,2028-01-01,6471.249,kg CFC-11 eq,81606.913,kg SO2 eq,94530.433,kg PO4 eq,28471.823,kg C2H4 eq,73040.422,kg Sb eq,35029.929,m3,87783.942,MJ,BLD_00061,wall_insulation
steel,200.0,kg,EPD-1235-STE,Steel Corp 34,Asia,143,316.1,94.83,31.61,189.66,10.0,4.0,0.2,2.0,6.0,4.0,10.0,-147.6,7850,90.8,50,6.32063087537669,43.39719994502935,ISO 14025,2023-01-01,2028-01-01,1751.265,kg CFC-11 eq,913.375,kg SO2 eq,429.597,kg PO4 eq,1554.312,kg C2H4 eq,865.443,kg Sb eq,1110.532,m3,1304.959,MJ,BLD_00061,heat_pump
aluminum,50.0,kg,EPD-9212-ALU,Aluminum Corp 62,Local,754,437.45,131.23,43.74,262.47,2.5,1.0,0.05,0.5,1.5,1.0,2.5,-218.26,2700,96.8,51,6.9409118799540925,16.59315470938501,ISO 14025,2023-01-01,2028-01-01,278.724,kg CFC-11 eq,470.364,kg SO2 eq,438.401,kg PO4 eq,180.045,kg C2H4 eq,362.359,kg Sb eq,213.099,m3,192.258,MJ,BLD_00061,heat_pump
insulation_mineral_wool,102561.795,kg,EPD-9207-INS,Insulation_mineral_wool Corp 62,Asia,1397,153112.52,45933.76,15311.25,91867.51,5128.09,2051.24,102.562,1025.62,3076.85,2051.24,5128.09,-44415.74,100,67.5,46,9.459496753151234,11.208204196751904,EN 15804,2023-01-01,2028-01-01,55127.754,kg CFC-11 eq,352201.824,kg SO2 eq,267884.905,kg PO4 eq,657497.418,kg C2H4 eq,349296.663,kg Sb eq,255713.374,m3,293033.587,MJ,BLD_00061,roof_insulation
glass,90536.76,kg,EPD-1453-GLA,Glass Corp 42,Asia,1408,95613.83,28684.15,9561.38,57368.3,4526.84,1810.74,90.537,905.37,2716.1,1810.74,4526.84,-43335.95,2500,99.9,30,7.41018747069764,34.84563710015094,ISO 14025,2023-01-01,2028-01-01,270878.531,kg CFC-11 eq,126698.653,kg SO2 eq,568767.645,kg PO4 eq,724111.972,kg C2H4 eq,681289.008,kg Sb eq,273414.709,m3,304213.146,MJ,BLD_00001,solar_panels
aluminum,60357.84,kg,EPD-8238-ALU,Aluminum Corp 55,North America,816,571553.07,171465.92,57155.31,342931.84,3017.89,1207.16,60.358,603.58,1810.74,1207.16,3017.89,-279564.89,2700,99.2,60,3.4113997840524535,25.79251642915141,EN 15804,2023-01-01,2028-01-01,20970.129,kg CFC-11 eq,312912.613,kg SO2 eq,272226.997,kg PO4 eq,126573.141,kg C2H4 eq,471570.963,kg Sb eq,419440.969,m3,145926.782,MJ,BLD_00001,solar_panels
steel,30178.92,kg,EPD-6030-STE,Steel Corp 14,Asia,1558,62818.06,18845.42,6281.81,37690.84,1508.95,603.58,30.179,301.79,905.37,603.58,1508.95,-28638.66,7850,93.7,66,6.555644062608632,35.84014146492929,EN 15804,2023-01-01,2028-01-01,53248.008,kg CFC-11 eq,111595.732,kg SO2 eq,155823.415,kg PO4 eq,291112.202,kg C2H4 eq,54661.486,kg Sb eq,104880.451,m3,252505.525,MJ,BLD_00001,solar_panels
insulation_polyurethane,226341.9,kg,EPD-2665-INS,Insulation_polyurethane Corp 99,Local,416,714136.2,214240.86,71413.62,428481.72,11317.1,4526.84,226.342,2263.42,6790.26,4526.84,11317.1,-93620.44,30,19.3,31,6.658853754801164,45.52004366491186,ISO 14025,2023-01-01,2028-01-01,1351100.912,kg CFC-11 eq,1164131.019,kg SO2 eq,931746.726,kg PO4 eq,302840.192,kg C2H4 eq,1586281.124,kg Sb eq,348246.402,m3,225513.815,MJ,BLD_00001,wall_insulation
aluminum,15089.46,kg,EPD-1545-ALU,Aluminum Corp 17,Europe,141,136193.56,40858.07,13619.36,81716.14,754.47,301.79,15.089,150.89,452.68,301.79,754.47,-67968.39,2700,95.0,60,17.063203228204774,19.393507477796113,ISO 14025,2023-01-01,2028-01-01,41314.06,kg CFC-11 eq,31329.9,kg SO2 eq,102566.602,kg PO4 eq,310.813,kg C2H4 eq,98013.995,kg Sb eq,145829.913,m3,112765.085,MJ,BLD_00001,wall_insulation
steel,200.0,kg,EPD-3676-STE,Steel Corp 28,North America,1281,335.32,100.6,33.53,201.19,10.0,4.0,0.2,2.0,6.0,4.0,10.0,-159.23,7850,91.9,81,13.632669154913197,38.570546575226885,ISO 21930,2023-01-01,2028-01-01,582.536,kg CFC-11 eq,1973.559,kg SO2 eq,1702.963,kg PO4 eq,1754.894,kg C2H4 eq,1374.878,kg Sb eq,1997.342,m3,598.589,MJ,BLD_00024,heat_pump
aluminum,50.0,kg,EPD-6544-ALU,Aluminum Corp 21,Asia,1258,434.35,130.31,43.44,260.61,2.5,1.0,0.05,0.5,1.5,1.0,2.5,-217.04,2700,96.3,51,7.757409876998547,33.76754746820135,ISO 21930,2023-01-01,2028-01-01,332.671,kg CFC-11 eq,322.512,kg SO2 eq,110.258,kg PO4 eq,353.116,kg C2H4 eq,452.528,kg Sb eq,348.67,m3,174.226,MJ,BLD_00024,heat_pump
glass,237946.41,kg,EPD-3560-GLA,Glass Corp 89,Asia,452,216963.53,65089.06,21696.35,130178.12,11897.32,4758.93,237.946,2379.46,7138.39,4758.93,11897.32,-104605.96,2500,94.6,33,7.0482924466050845,9.837539814065327,ISO 14025,2023-01-01,2028-01-01,1315407.586,kg CFC-11 eq,1933215.687,kg SO2 eq,2105442.328,kg PO4 eq,2055465.916,kg C2H4 eq,493079.414,kg Sb eq,1242765.062,m3,1209872.681,MJ,BLD_00024,window_upgrade
aluminum,63452.376000000004,kg,EPD-6983-ALU,Aluminum Corp 80,Europe,1547,747030.82,224109.25,74703.08,448218.49,3172.62,1269.05,63.452,634.52,1903.57,1269.05,3172.62,-371753.28,2700,99.6,40,6.806908732996764,38.12222630987664,ISO 21930,2023-01-01,2028-01-01,405465.578,kg CFC-11 eq,170031.567,kg SO2 eq,356217.086,kg PO4 eq,229322.27,kg C2H4 eq,219269.737,kg Sb eq,322824.688,m3,629003.122,MJ,BLD_00024,window_upgrade
