material_type,quantity,unit,epd_number,manufacturer,production_location,transport_distance_km,a1_a3_embodied_carbon_kg_co2,a1_raw_material_kg_co2,a2_transport_kg_co2,a3_manufacturing_kg_co2,a4_transport_to_site_kg_co2,a5_installation_kg_co2,b1_b7_use_stage_kg_co2_per_year,c1_deconstruction_kg_co2,c2_transport_eol_kg_co2,c3_waste_processing_kg_co2,c4_disposal_kg_co2,d_recycling_potential_kg_co2,density_kg_m3,recyclability_pct,expected_lifespan_years,renewable_content_pct,recycled_content_pct,certification_standard,valid_from,valid_until,ozone_depletion_potential_value,ozone_depletion_potential_unit,acidification_potential_value,acidification_potential_unit,eutrophication_potential_value,eutrophication_potential_unit,photochemical_oxidation_potential_value,photochemical_oxidation_potential_unit,abiotic_depletion_potential_value,abiotic_depletion_potential_unit,water_consumption_value,water_consumption_unit,primary_energy_demand_value,primary_energy_demand_unit,building_id,component
steel,891071.9999999999,kg,EPD-5981-STE,Steel Corp 28,Local,573,2189287.39,656786.22,218928.74,1313572.43,44553.6,17821.44,891.072,8910.72,26732.16,17821.44,44553.6,-990106.7,7850,90.8,89,17.83868474095857,27.446150756558215,EN 15804,2023-01-01,2028-01-01,4566810.797,kg CFC-11 eq,3344395.639,kg SO2 eq,2842711.788,kg PO4 eq,1070386.062,kg C2H4 eq,4669299.799,kg Sb eq,6920946.101,m3,905982.194,MJ,BLD_00056,structure
concrete,5346.432,m3,EPD-8577-CON,Concrete Corp 1,Local,1786,1952.01,585.6,195.2,1171.2,267.32,106.93,5.346,53.46,160.39,106.93,267.32,-336.79,2400,30.0,89,15.814056576285488,33.92085771265541,EN 15804,2023-01-01,2028-01-01,6838.358,kg CFC-11 eq,16252.643,kg SO2 eq,8900.098,kg PO4 eq,25178.943,kg C2H4 eq,19628.996,kg Sb eq,15554.444,m3,19191.858,MJ,BLD_00056,facade
insulation_polyurethane,80196.47999999998,kg,EPD-7611-INS,Insulation_polyurethane Corp 48,Local,796,247455.27,74236.58,24745.53,148473.16,4009.82,1603.93,80.196,801.96,2405.89,1603.93,4009.82,-21402.1,30,19.5,37,4.243766312986872,7.423071397559372,EN 15804,2023-01-01,2028-01-01,779945.648,kg CFC-11 eq,549735.651,kg SO2 eq,534354.078,kg PO4 eq,537026.349,kg C2H4 eq,605063.478,kg Sb eq,628913.876,m3,316210.155,MJ,BLD_00056,insulation
glass,160392.95999999996,kg,EPD-6527-GLA,Glass Corp 41,Local,480,184224.05,55267.22,18422.41,110534.43,8019.65,3207.86,160.393,1603.93,4811.79,3207.86,8019.65,-87721.7,2500,96.3,39,2.3159556166519746,28.612215967747062,EN 15804,2023-01-01,2028-01-01,1249158.554,kg CFC-11 eq,1197121.933,kg SO2 eq,1488619.837,kg PO4 eq,1328130.684,kg C2H4 eq,654435.744,kg Sb eq,1561881.313,m3,1081122.333,MJ,BLD_00056,windows
aluminum,40098.23999999999,kg,EPD-6617-ALU,Aluminum Corp 25,Europe,952,331506.36,99451.91,33150.64,198903.82,2004.91,801.96,40.098,400.98,1202.95,801.96,2004.91,-160602.12,2700,95.1,45,5.865658267121187,34.68095785920517,ISO 14025,2023-01-01,2028-01-01,240920.699,kg CFC-11 eq,281642.164,kg SO2 eq,36650.96,kg PO4 eq,33931.839,kg C2H4 eq,85378.047,kg Sb eq,304404.673,m3,359314.891,MJ,BLD_00056,window_frames
timber,5189.883,m3,EPD-8398-TIM,Timber Corp 43,Local,730,-1323.09,-396.93,-132.31,-793.85,259.49,103.8,5.19,51.9,155.7,103.8,259.49,508.99,500,67.2,55,78.53098661951915,19.2252760963866,EN 15804,2023-01-01,2028-01-01,13925.588,kg CFC-11 eq,51873.932,kg SO2 eq,21689.613,kg PO4 eq,19343.828,kg C2H4 eq,12220.461,kg Sb eq,27241.222,m3,8168.943,MJ,BLD_00005,structure
concrete,5189.883000000001,m3,EPD-8130-CON,Concrete Corp 76,Local,822,1691.54,507.46,169.15,1014.92,259.49,103.8,5.19,51.9,155.7,103.8,259.49,-291.95,2400,30.9,100,17.09886773486731,36.294513498564704,ISO 21930,2023-01-01,2028-01-01,5984.713,kg CFC-11 eq,24197.972,kg SO2 eq,16619.154,kg PO4 eq,28854.414,kg C2H4 eq,14970.096,kg Sb eq,15005.307,m3,1019.866,MJ,BLD_00005,facade
insulation_mineral_wool,207595.32,kg,EPD-4654-INS,Insulation_mineral_wool Corp 40,Local,582,251090.29,75327.09,25109.03,150654.17,10379.77,4151.91,207.595,2075.95,6227.86,4151.91,10379.77,-71150.06,100,52.8,42,2.4187955122924265,28.187792703447922,EN 15804,2023-01-01,2028-01-01,1798977.122,kg CFC-11 eq,1271449.516,kg SO2 eq,1797659.417,kg PO4 eq,328344.34,kg C2H4 eq,1541217.702,kg Sb eq,1260783.421,m3,1825123.788,MJ,BLD_00005,insulation
glass,155696.49,kg,EPD-5771-GLA,Glass Corp 38,Asia,1982,161965.49,48589.65,16196.55,97179.29,7784.82,3113.93,155.696,1556.96,4670.89,3113.93,7784.82,-80492.83,2500,96.9,32,15.821604460075125,13.733898100865465,ISO 21930,2023-01-01,2028-01-01,503743.575,kg CFC-11 eq,1294459.288,kg SO2 eq,944546.432,kg PO4 eq,928834.038,kg C2H4 eq,1431933.445,kg Sb eq,740278.397,m3,533475.983,MJ,BLD_00005,windows
aluminum,38924.1225,kg,EPD-8948-ALU,Aluminum Corp 17,Asia,167,371703.82,111511.15,37170.38,223022.29,1946.21,778.48,38.924,389.24,1167.72,778.48,1946.21,-180105.28,2700,96.0,53,6.96916080217739,43.175918805182334,EN 15804,2023-01-01,2028-01-01,172068.15,kg CFC-11 eq,28687.516,kg SO2 eq,265077.397,kg PO4 eq,42489.252,kg C2H4 eq,306527.985,kg Sb eq,110863.018,m3,91916.708,MJ,BLD_00005,window_frames
timber,857.919,m3,EPD-6280-TIM,Timber Corp 51,Local,1765,-267.35,-80.2,-26.73,-160.41,42.9,17.16,0.858,8.58,25.74,17.16,42.9,96.56,500,79.9,60,69.16131062177303,15.224055861382801,ISO 21930,2023-01-01,2028-01-01,6948.372,kg CFC-11 eq,6987.514,kg SO2 eq,789.204,kg PO4 eq,8428.398,kg C2H4 eq,6672.094,kg Sb eq,575.223,m3,3459.603,MJ,BLD_00046,structure
brick,428959.5,kg,EPD-8203-BRI,Brick Corp 95,Local,193,103221.87,30966.56,10322.19,61933.12,21447.98,8579.19,428.96,4289.6,12868.78,8579.19,21447.98,-43372.56,1900,82.3,114,15.31207629467678,19.616424742203108,ISO 21930,2023-01-01,2028-01-01,512092.135,kg CFC-11 eq,44400.231,kg SO2 eq,848838.166,kg PO4 eq,3192413.458,kg C2H4 eq,1759053.922,kg Sb eq,1299945.632,m3,3514309.477,MJ,BLD_00046,facade
insulation_mineral_wool,34316.76,kg,EPD-5966-INS,Insulation_mineral_wool Corp 4,North America,874,43165.56,12949.67,4316.56,25899.34,1715.84,686.34,34.317,343.17,1029.5,686.34,1715.84,-12502.93,100,66.2,38,11.34043447472319,22.625417646138047,ISO 14025,2023-01-01,2028-01-01,77211.991,kg CFC-11 eq,101901.254,kg SO2 eq,330739.057,kg PO4 eq,275515.836,kg C2H4 eq,280411.097,kg Sb eq,331434.093,m3,223003.839,MJ,BLD_00046,insulation
glass,25737.57,kg,EPD-3161-GLA,Glass Corp 14,Local,828,23547.45,7064.23,2354.74,14128.47,1286.88,514.75,25.738,257.38,772.13,514.75,1286.88,-10796.96,2500,99.1,50,0.6280863058334241,3.8128389793004756,EN 15804,2023-01-01,2028-01-01,222382.09,kg CFC-11 eq,158477.266,kg SO2 eq,230797.392,kg PO4 eq,236242.045,kg C2H4 eq,42086.091,kg Sb eq,2355.447,m3,6065.72,MJ,BLD_00046,windows
aluminum,6434.3925,kg,EPD-3668-ALU,Aluminum Corp 3,North America,554,68825.1,20647.53,6882.51,41295.06,321.72,128.69,6.434,64.34,193.03,128.69,321.72,-34169.07,2700,96.6,49,12.659690880014729,19.96934209936725,ISO 14025,2023-01-01,2028-01-01,39828.334,kg CFC-11 eq,38520.673,kg SO2 eq,2467.445,kg PO4 eq,5123.779,kg C2H4 eq,10900.353,kg Sb eq,14057.758,m3,5757.112,MJ,BLD_00046,window_frames
concrete,6730.015,m3,EPD-9134-CON,Concrete Corp 89,Europe,1761,2216.22,664.87,221.62,1329.73,336.5,134.6,6.73,67.3,201.9,134.6,336.5,-389.75,2400,35.6,82,5.67450925243413,35.58026569136239,ISO 14025,2023-01-01,2028-01-01,56990.659,kg CFC-11 eq,16479.366,kg SO2 eq,51464.291,kg PO4 eq,52131.947,kg C2H4 eq,31173.336,kg Sb eq,18387.01,m3,5936.539,MJ,BLD_00093,structure
concrete,4038.0090000000005,m3,EPD-6198-CON,Concrete Corp 3,North America,1481,1509.77,452.93,150.98,905.86,201.9,80.76,4.038,40.38,121.14,80.76,201.9,-283.37,2400,37.7,58,13.397531995242298,2.589535995651848,ISO 14025,2023-01-01,2028-01-01,27120.076,kg CFC-11 eq,12730.549,kg SO2 eq,10879.812,kg PO4 eq,28767.45,kg C2H4 eq,3152.872,kg Sb eq,2400.856,m3,24907.333,MJ,BLD_00093,facade
insulation_mineral_wool,161520.36000000002,kg,EPD-8057-INS,Insulation_mineral_wool Corp 14,Europe,1328,214973.28,64491.98,21497.33,128983.97,8076.02,3230.41,161.52,1615.2,4845.61,3230.41,8076.02,-74096.86,100,64.4,48,9.086664351601128,31.958855107288475,EN 15804,2023-01-01,2028-01-01,530103.394,kg CFC-11 eq,1277098.879,kg SO2 eq,374783.293,kg PO4 eq,509748.552,kg C2H4 eq,440743.193,kg Sb eq,499704.909,m3,1560158.327,MJ,BLD_00093,insulation
glass,121140.27,kg,EPD-5100-GLA,Glass Corp 35,Asia,1170,125788.83,37736.65,12578.88,75473.3,6057.01,2422.81,121.14,1211.4,3634.21,2422.81,6057.01,-56708.27,2500,93.2,30,1.2236280120100118,49.49116340462459,ISO 21930,2023-01-01,2028-01-01,913627.26,kg CFC-11 eq,130184.695,kg SO2 eq,429951.849,kg PO4 eq,1120386.45,kg C2H4 eq,1157904.344,kg Sb eq,678628.878,m3,294293.823,MJ,BLD_00093,windows
aluminum,30285.0675,kg,EPD-6607-ALU,Aluminum Corp 88,Asia,1241,348946.47,104683.94,34894.65,209367.88,1514.25,605.7,30.285,302.85,908.55,605.7,1514.25,-165984.86,2700,95.2,48,12.680374939908901,38.17851529734217,EN 15804,2023-01-01,2028-01-01,286373.564,kg CFC-11 eq,225929.403,kg SO2 eq,48170.979,kg PO4 eq,117617.415,kg C2H4 eq,7604.032,kg Sb eq,100190.543,m3,110330.075,MJ,BLD_00093,window_frames
concrete,5079.005,m3,EPD-4453-CON,Concrete Corp 5,Local,99,1722.53,516.76,172.25,1033.52,253.95,101.58,5.079,50.79,152.37,101.58,253.95,-310.55,2400,23.0,92,4.702823325458563,19.891083795851195,EN 15804,2023-01-01,2028-01-01,10780.684,kg CFC-11 eq,43237.709,kg SO2 eq,15272.434,kg PO4 eq,42499.9,kg C2H4 eq,12805.878,kg Sb eq,14260.449,m3,5875.457,MJ,BLD_00081,structure
concrete,3047.4030000000002,m3,EPD-7446-CON,Concrete Corp 8,Local,980,841.56,252.47,84.16,504.94,152.37,60.95,3.047,30.47,91.42,60.95,152.37,-164.89,2400,24.7,79,10.567269404476002,44.27728675997207,EN 15804,2023-01-01,2028-01-01,2206.312,kg CFC-11 eq,3725.413,kg SO2 eq,3592.227,kg PO4 eq,1827.315,kg C2H4 eq,4904.523,kg Sb eq,18530.536,m3,15352.289,MJ,BLD_00081,facade
insulation_mineral_wool,121896.12,kg,EPD-9733-INS,Insulation_mineral_wool Corp 93,Europe,1537,137572.81,41271.84,13757.28,82543.69,6094.81,2437.92,121.896,1218.96,3656.88,2437.92,6094.81,-35834.04,100,51.9,31,14.696995369321888,38.369793217892244,ISO 14025,2023-01-01,2028-01-01,566756.764,kg CFC-11 eq,1060368.718,kg SO2 eq,522400.166,kg PO4 eq,403527.657,kg C2H4 eq,767695.091,kg Sb eq,554070.063,m3,444506.661,MJ,BLD_00081,insulation
glass,91422.09,kg,EPD-4690-GLA,Glass Corp 94,Asia,866,94807.12,28442.14,9480.71,56884.27,4571.1,1828.44,91.422,914.22,2742.66,1828.44,4571.1,-45642.2,2500,98.7,40,12.664611278335798,37.517842176524844,ISO 14025,2023-01-01,2028-01-01,702315.045,kg CFC-11 eq,851748.569,kg SO2 eq,893344.631,kg PO4 eq,761964.313,kg C2H4 eq,18951.216,kg Sb eq,533089.867,m3,564979.074,MJ,BLD_00081,windows
aluminum,22855.5225,kg,EPD-4562-ALU,Aluminum Corp 96,Local,1133,239422.42,71826.73,23942.24,143653.45,1142.78,457.11,22.856,228.56,685.67,457.11,1142.78,-115415.7,2700,98.6,52,6.289768690203877,10.860615138304519,EN 15804,2023-01-01,2028-01-01,122973.423,kg CFC-11 eq,66055.302,kg SO2 eq,191851.319,kg PO4 eq,44247.498,kg C2H4 eq,200437.68,kg Sb eq,5669.197,m3,139845.993,MJ,BLD_00081,window_frames
concrete,1975.52,m3,EPD-2498-CON,Concrete Corp 47,North America,1456,424.86,127.46,42.49,254.91,98.78,39.51,1.976,19.76,59.27,39.51,98.78,-71.58,2400,37.2,64,16.087032523419694,25.2562335780123,ISO 14025,2023-01-01,2028-01-01,1810.092,kg CFC-11 eq,2483.325,kg SO2 eq,14949.993,kg PO4 eq,13500.285,kg C2H4 eq,11451.388,kg Sb eq,19207.952,m3,17809.624,MJ,BLD_00012,structure
concrete,1185.312,m3,EPD-4034-CON,Concrete Corp 71,Europe,707,241.17,72.35,24.12,144.7,59.27,23.71,1.185,11.85,35.56,23.71,59.27,-41.47,2400,34.6,75,1.0713907572089765,41.41697019024588,EN 15804,2023-01-01,2028-01-01,316.622,kg CFC-11 eq,11024.857,kg SO2 eq,6343.156,kg PO4 eq,4164.702,kg C2H4 eq,993.851,kg Sb eq,6187.036,m3,3118.065,MJ,BLD_00012,facade
insulation_polyurethane,17779.68,kg,EPD-4355-INS,Insulation_polyurethane Corp 53,Asia,708,60452.15,18135.65,6045.22,36271.29,888.98,355.59,17.78,177.8,533.39,355.59,888.98,-5652.99,30,11.2,40,8.858518990209866,31.44979138640263,EN 15804,2023-01-01,2028-01-01,50560.878,kg CFC-11 eq,25775.776,kg SO2 eq,160392.036,kg PO4 eq,46331.89,kg C2H4 eq,125139.077,kg Sb eq,82455.894,m3,25646.417,MJ,BLD_00012,insulation
glass,35559.36,kg,EPD-9040-GLA,Glass Corp 96,North America,544,39836.98,11951.09,3983.7,23902.19,1777.97,711.19,35.559,355.59,1066.78,711.19,1777.97,-17967.65,2500,94.1,45,6.028426010978663,30.135274171933684,EN 15804,2023-01-01,2028-01-01,49804.091,kg CFC-11 eq,187848.56,kg SO2 eq,259358.538,kg PO4 eq,185794.754,kg C2H4 eq,8598.595,kg Sb eq,255754.672,m3,227008.336,MJ,BLD_00012,windows
aluminum,8889.84,kg,EPD-6498-ALU,Aluminum Corp 14,Local,1426,91874.76,27562.43,9187.48,55124.86,444.49,177.8,8.89,88.9,266.7,177.8,444.49,-44028.2,2700,98.5,41,11.129758553530163,17.42246868640675,ISO 21930,2023-01-01,2028-01-01,70196.143,kg CFC-11 eq,33570.443,kg SO2 eq,38944.441,kg PO4 eq,80522.311,kg C2H4 eq,19846.119,kg Sb eq,76590.529,m3,16645.842,MJ,BLD_00012,window_frames
steel,100407.5,kg,EPD-3140-STE,Steel Corp 86,Local,855,202944.64,60883.39,20294.46,121766.78,5020.38,2008.15,100.408,1004.08,3012.22,2008.15,5020.38,-96311.45,7850,91.1,50,5.122107535222174,5.214292788087038,ISO 14025,2023-01-01,2028-01-01,978701.702,kg CFC-11 eq,745310.171,kg SO2 eq,262299.598,kg PO4 eq,991335.483,kg C2H4 eq,427058.769,kg Sb eq,717940.105,m3,853243.758,MJ,BLD_00075,structure
concrete,602.445,m3,EPD-7568-CON,Concrete Corp 79,Local,1106,136.04,40.81,13.6,81.62,30.12,12.05,0.602,6.02,18.07,12.05,30.12,-24.46,2400,38.8,57,8.24446746598456,8.89894778524748,ISO 14025,2023-01-01,2028-01-01,2233.304,kg CFC-11 eq,2779.53,kg SO2 eq,1491.273,kg PO4 eq,4142.858,kg C2H4 eq,865.007,kg Sb eq,3333.773,m3,1974.237,MJ,BLD_00075,facade
insulation_polyurethane,9036.675000000001,kg,EPD-1477-INS,Insulation_polyurethane Corp 92,North America,64,38720.29,11616.09,3872.03,23232.17,451.83,180.73,9.037,90.37,271.1,180.73,451.83,-4358.42,30,17.1,39,5.196327072821598,16.626265536705414,ISO 21930,2023-01-01,2028-01-01,86300.001,kg CFC-11 eq,43800.415,kg SO2 eq,37909.476,kg PO4 eq,48317.432,kg C2H4 eq,46778.987,kg Sb eq,10395.004,m3,49306.274,MJ,BLD_00075,insulation
glass,18073.350000000002,kg,EPD-3929-GLA,Glass Corp 59,Local,145,16264.03,4879.21,1626.4,9758.42,903.67,361.47,18.073,180.73,542.2,361.47,903.67,-7721.67,2500,97.7,36,7.002950252093023,14.30753154332126,EN 15804,2023-01-01,2028-01-01,115164.394,kg CFC-11 eq,157905.068,kg SO2 eq,23052.167,kg PO4 eq,46289.73,kg C2H4 eq,22916.6,kg Sb eq,149305.606,m3,145214.64,MJ,BLD_00075,windows
aluminum,4518.337500000001,kg,EPD-2944-ALU,Aluminum Corp 50,Europe,1408,45925.87,13777.76,4592.59,27555.52,225.92,90.37,4.518,45.18,135.55,90.37,225.92,-22031.78,2700,96.8,47,6.18432836352047,24.36014131602556,ISO 21930,2023-01-01,2028-01-01,37489.656,kg CFC-11 eq,14070.249,kg SO2 eq,4818.01,kg PO4 eq,11840.199,kg C2H4 eq,4662.994,kg Sb eq,34593.902,m3,29630.634,MJ,BLD_00075,window_frames
concrete,7626.668,m3,EPD-2635-CON,Concrete Corp 38,Local,1820,1575.06,472.52,157.51,945.04,381.33,152.53,7.627,76.27,228.8,152.53,381.33,-192.53,2400,32.8,93,17.73558170787973,31.467773455910255,ISO 21930,2023-01-01,2028-01-01,38624.86,kg CFC-11 eq,49746.837,kg SO2 eq,71740.595,kg PO4 eq,23900.64,kg C2H4 eq,19097.245,kg Sb eq,42713.415,m3,68271.04,MJ,BLD_00014,structure
brick,2860000.4999999995,kg,EPD-2622-BRI,Brick Corp 18,Local,1022,574343.64,172303.09,57434.36,344606.18,143000.02,57200.01,2860.0,28600.0,85800.01,57200.01,143000.02,-231847.77,1900,88.9,131,13.946151302026244,45.726392910514065,ISO 14025,2023-01-01,2028-01-01,18509199.581,kg CFC-11 eq,28474103.043,kg SO2 eq,5566574.617,kg PO4 eq,23846717.409,kg C2H4 eq,128549.595,kg Sb eq,16892409.923,m3,19480853.99,MJ,BLD_00014,facade
insulation_mineral_wool,286000.05,kg,EPD-8986-INS,Insulation_mineral_wool Corp 73,North America,78,326295.18,97888.55,32629.52,195777.11,14300.0,5720.0,286.0,2860.0,8580.0,5720.0,14300.0,-111336.65,100,50.0,36,0.5759162892895975,40.10570793256706,ISO 21930,2023-01-01,2028-01-01,1701989.937,kg CFC-11 eq,457526.004,kg SO2 eq,1619260.751,kg PO4 eq,127911.284,kg C2H4 eq,1150738.598,kg Sb eq,2368415.798,m3,1730362.89,MJ,BLD_00014,insulation
glass,171600.02999999997,kg,EPD-6337-GLA,Glass Corp 72,North America,117,189710.31,56913.09,18971.03,113826.18,8580.0,3432.0,171.6,1716.0,5148.0,3432.0,8580.0,-86835.65,2500,95.7,44,8.415637947891668,16.097611236105823,ISO 14025,2023-01-01,2028-01-01,1098163.793,kg CFC-11 eq,952547.223,kg SO2 eq,1657951.78,kg PO4 eq,900349.497,kg C2H4 eq,1593817.223,kg Sb eq,408412.806,m3,1507625.988,MJ,BLD_00014,windows
aluminum,42900.00749999999,kg,EPD-3923-ALU,Aluminum Corp 53,Europe,77,398154.41,119446.32,39815.44,238892.64,2145.0,858.0,42.9,429.0,1287.0,858.0,2145.0,-194642.0,2700,96.8,57,0.5144913001548335,43.441421955870204,ISO 21930,2023-01-01,2028-01-01,329645.893,kg CFC-11 eq,219415.333,kg SO2 eq,2971.621,kg PO4 eq,106147.014,kg C2H4 eq,198.258,kg Sb eq,398001.464,m3,195651.758,MJ,BLD_00014,window_frames
concrete,11395.755,m3,EPD-5876-CON,Concrete Corp 9,Local,1008,4156.78,1247.03,415.68,2494.07,569.79,227.92,11.396,113.96,341.87,227.92,569.79,-651.08,2400,32.5,60,13.041653937421467,9.355113828257295,ISO 21930,2023-01-01,2028-01-01,88972.236,kg CFC-11 eq,57893.094,kg SO2 eq,77745.169,kg PO4 eq,78599.176,kg C2H4 eq,31319.925,kg Sb eq,96956.175,m3,105084.558,MJ,BLD_00061,structure
concrete,6837.453,m3,EPD-2163-CON,Concrete Corp 72,Europe,1019,1478.09,443.43,147.81,886.85,341.87,136.75,6.837,68.37,205.12,136.75,341.87,-240.39,2400,30.3,71,15.66404111923055,15.042577883613895,ISO 21930,2023-01-01,2028-01-01,33069.07,kg CFC-11 eq,40129.339,kg SO2 eq,2935.09,kg PO4 eq,3016.101,kg C2H4 eq,59400.373,kg Sb eq,28778.034,m3,37785.621,MJ,BLD_00061,facade
insulation_mineral_wool,273498.12,kg,EPD-7518-INS,Insulation_mineral_wool Corp 45,Europe,1863,380143.36,114043.01,38014.34,228086.02,13674.91,5469.96,273.498,2734.98,8204.94,5469.96,13674.91,-113786.39,100,53.7,30,16.564660676688664,27.87237973426826,ISO 21930,2023-01-01,2028-01-01,61548.152,kg CFC-11 eq,1249424.826,kg SO2 eq,56513.103,kg PO4 eq,1558515.641,kg C2H4 eq,1361303.742,kg Sb eq,2363197.395,m3,2637676.143,MJ,BLD_00061,insulation
