image_id,mix_design,temperature_C,cooling_method,view_angle,resolution,file_format,filename,capture_date,lighting,scale_bar,color_chart,annotations
IMG-0027,RC-10,400,furnace,top,4096x3072,TIFF,RC-10_400C_furnace_top.tiff,2024-10-10,diffuse_LED,yes,yes,none
IMG-0028,RC-10,400,furnace,cross_section,4096x3072,TIFF,RC-10_400C_furnace_cross_section.tiff,2024-10-10,diffuse_LED,yes,yes,none
IMG-0029,RC-10,400,water_quench,front,4096x3072,TIFF,RC-10_400C_water_quench_front.tiff,2024-10-10,diffuse_LED,yes,yes,crack_mapping
IMG-0030,RC-10,400,water_quench,side,4096x3072,TIFF,RC-10_400C_water_quench_side.tiff,2024-10-10,diffuse_LED,yes,yes,none
IMG-0031,RC-10,400,water_quench,top,4096x3072,TIFF,RC-10_400C_water_quench_top.tiff,2024-10-10,diffuse_LED,yes,yes,none
IMG-0032,RC-10,400,water_quench,cross_section,4096x3072,TIFF,RC-10_400C_water_quench_cross_section.tiff,2024-10-10,diffuse_LED,yes,yes,none
IMG-0033,RC-10,600,furnace,front,4096x3072,TIFF,RC-10_600C_furnace_front.tiff,2024-10-10,diffuse_LED,yes,yes,crack_mapping
IMG-0034,RC-10,600,furnace,side,4096x3072,TIFF,RC-10_600C_furnace_side.tiff,2024-10-10,diffuse_LED,yes,yes,none
IMG-0035,RC-10,600,furnace,top,4096x3072,TIFF,RC-10_600C_furnace_top.tiff,2024-10-10,diffuse_LED,yes,yes,none
IMG-0036,RC-10,600,furnace,cross_section,4096x3072,TIFF,RC-10_600C_furnace_cross_section.tiff,2024-10-10,diffuse_LED,yes,yes,none
IMG-0037,RC-10,600,water_quench,front,4096x3072,TIFF,RC-10_600C_water_quench_front.tiff,2024-10-10,diffuse_LED,yes,yes,crack_mapping
IMG-0038,RC-10,600,water_quench,side,4096x3072,TIFF,RC-10_600C_water_quench_side.tiff,2024-10-10,diffuse_LED,yes,yes,none
IMG-0039,RC-10,600,water_quench,top,4096x3072,TIFF,RC-10_600C_water_quench_top.tiff,2024-10-10,diffuse_LED,yes,yes,none
IMG-0040,RC-10,600,water_quench,cross_section,4096x3072,TIFF,RC-10_600C_water_quench_cross_section.tiff,2024-10-10,diffuse_LED,yes,yes,none
IMG-0041,RC-10,800,furnace,front,4096x3072,TIFF,RC-10_800C_furnace_front.tiff,2024-10-10,diffuse_LED,yes,yes,crack_mapping
IMG-0042,RC-10,800,furnace,side,4096x3072,TIFF,RC-10_800C_furnace_side.tiff,2024-10-10,diffuse_LED,yes,yes,none
IMG-0043,RC-10,800,furnace,top,4096x3072,TIFF,RC-10_800C_furnace_top.tiff,2024-10-10,diffuse_LED,yes,yes,none
IMG-0044,RC-10,800,furnace,cross_section,4096x3072,TIFF,RC-10_800C_furnace_cross_section.tiff,2024-10-10,diffuse_LED,yes,yes,none
IMG-0045,RC-10,800,water_quench,front,4096x3072,TIFF,RC-10_800C_water_quench_front.tiff,2024-10-10,diffuse_LED,yes,yes,crack_mapping
IMG-0046,RC-10,800,water_quench,side,4096x3072,TIFF,RC-10_800C_water_quench_side.tiff,2024-10-10,diffuse_LED,yes,yes,none
IMG-0047,RC-10,800,water_quench,top,4096x3072,TIFF,RC-10_800C_water_quench_top.tiff,2024-10-10,diffuse_LED,yes,yes,none
IMG-0048,RC-10,800,water_quench,cross_section,4096x3072,TIFF,RC-10_800C_water_quench_cross_section.tiff,2024-10-10,diffuse_LED,yes,yes,none
IMG-0049,RC-15,400,furnace,front,4096x3072,TIFF,RC-15_400C_furnace_front.tiff,2024-10-10,diffuse_LED,yes,yes,crack_mapping
IMG-0050,RC-15,400,furnace,side,4096x3072,TIFF,RC-15_400C_furnace_side.tiff,2024-10-10,diffuse_LED,yes,yes,none
IMG-0051,RC-15,400,furnace,top,4096x3072,TIFF,RC-15_400C_furnace_top.tiff,2024-10-10,diffuse_LED,yes,yes,none
IMG-0052,RC-15,400,furnace,cross_section,4096x3072,TIFF,RC-15_400C_furnace_cross_section.tiff,2024-10-10,diffuse_LED,yes,yes,none
IMG-0053,RC-15,400,water_quench,front,4096x3072,TIFF,RC-15_400C_water_quench_front.tiff,2024-10-10,diffuse_LED,yes,yes,crack_mapping
IMG-0054,RC-15,400,water_quench,side,4096x3072,TIFF,RC-15_400C_water_quench_side.tiff,2024-10-10,diffuse_LED,yes,yes,none
IMG-0055,RC-15,400,water_quench,top,4096x3072,TIFF,RC-15_400C_water_quench_top.tiff,2024-10-10,diffuse_LED,yes,yes,none
IMG-0056,RC-15,400,water_quench,cross_section,4096x3072,TIFF,RC-15_400C_water_quench_cross_section.tiff,2024-10-10,diffuse_LED,yes,yes,none
IMG-0057,RC-15,600,furnace,front,4096x3072,TIFF,RC-15_600C_furnace_front.tiff,2024-10-10,diffuse_LED,yes,yes,crack_mapping
IMG-0058,RC-15,600,furnace,side,4096x3072,TIFF,RC-15_600C_furnace_side.tiff,2024-10-10,diffuse_LED,yes,yes,none
IMG-0059,RC-15,600,furnace,top,4096x3072,TIFF,RC-15_600C_furnace_top.tiff,2024-10-10,diffuse_LED,yes,yes,none
IMG-0060,RC-15,600,furnace,cross_section,4096x3072,TIFF,RC-15_600C_furnace_cross_section.tiff,2024-10-10,diffuse_LED,yes,yes,none
IMG-0061,RC-15,600,water_quench,front,4096x3072,TIFF,RC-15_600C_water_quench_front.tiff,2024-10-10,diffuse_LED,yes,yes,crack_mapping
IMG-0062,RC-15,600,water_quench,side,4096x3072,TIFF,RC-15_600C_water_quench_side.tiff,2024-10-10,diffuse_LED,yes,yes,none
IMG-0063,RC-15,600,water_quench,top,4096x3072,TIFF,RC-15_600C_water_quench_top.tiff,2024-10-10,diffuse_LED,yes,yes,none
IMG-0064,RC-15,600,water_quench,cross_section,4096x3072,TIFF,RC-15_600C_water_quench_cross_section.tiff,2024-10-10,diffuse_LED,yes,yes,none
IMG-0065,RC-15,800,furnace,front,4096x3072,TIFF,RC-15_800C_furnace_front.tiff,2024-10-10,diffuse_LED,yes,yes,crack_mapping
IMG-0066,RC-15,800,furnace,side,4096x3072,TIFF,RC-15_800C_furnace_side.tiff,2024-10-10,diffuse_LED,yes,yes,none
IMG-0067,RC-15,800,furnace,top,4096x3072,TIFF,RC-15_800C_furnace_top.tiff,2024-10-10,diffuse_LED,yes,yes,none
IMG-0068,RC-15,800,furnace,cross_section,4096x3072,TIFF,RC-15_800C_furnace_cross_section.tiff,2024-10-10,diffuse_LED,yes,yes,none
IMG-0069,RC-15,800,water_quench,front,4096x3072,TIFF,RC-15_800C_water_quench_front.tiff,2024-10-10,diffuse_LED,yes,yes,crack_mapping
IMG-0070,RC-15,800,water_quench,side,4096x3072,TIFF,RC-15_800C_water_quench_side.tiff,2024-10-10,diffuse_LED,yes,yes,none
IMG-0071,RC-15,800,water_quench,top,4096x3072,TIFF,RC-15_800C_water_quench_top.tiff,2024-10-10,diffuse_LED,yes,yes,none
IMG-0072,RC-15,800,water_quench,cross_section,4096x3072,TIFF,RC-15_800C_water_quench_cross_section.tiff,2024-10-10,diffuse_LED,yes,yes,none
IMG-0073,RC-20,400,furnace,front,4096x3072,TIFF,RC-20_400C_furnace_front.tiff,2024-10-10,diffuse_LED,yes,yes,crack_mapping
IMG-0074,RC-20,400,furnace,side,4096x3072,TIFF,RC-20_400C_furnace_side.tiff,2024-10-10,diffuse_LED,yes,yes,none
IMG-0075,RC-20,400,furnace,top,4096x3072,TIFF,RC-20_400C_furnace_top.tiff,2024-10-10,diffuse_LED,yes,yes,none
IMG-0076,RC-20,400,furnace,cross_section,4096x3072,TIFF,RC-20_400C_furnace_cross_section.tiff,2024-10-10,diffuse_LED,yes,yes,none
IMG-0077,RC-20,400,water_quench,front,4096x3072,TIFF,RC-20_400C_water_quench_front.tiff,2024-10-10,diffuse_LED,yes,yes,crack_mapping
IMG-0078,RC-20,400,water_quench,side,4096x3072,TIFF,RC-20_400C_water_quench_side.tiff,2024-10-10,diffuse_LED,yes,yes,none
IMG-0079,RC-20,400,water_quench,top,4096x3072,TIFF,RC-20_400C_water_quench_top.tiff,2024-10-10,diffuse_LED,yes,yes,none
IMG-0080,RC-20,400,water_quench,cross_section,4096x3072,TIFF,RC-20_400C_water_quench_cross_section.tiff,2024-10-10,diffuse_LED,yes,yes,none
IMG-0081,RC-20,600,furnace,front,4096x3072,TIFF,RC-20_600C_furnace_front.tiff,2024-10-10,diffuse_LED,yes,yes,crack_mapping
IMG-0082,RC-20,600,furnace,side,4096x3072,TIFF,RC-20_600C_furnace_side.tiff,2024-10-10,diffuse_LED,yes,yes,none
IMG-0083,RC-20,600,furnace,top,4096x3072,TIFF,RC-20_600C_furnace_top.tiff,2024-10-10,diffuse_LED,yes,yes,none
IMG-0084,RC-20,600,furnace,cross_section,4096x3072,TIFF,RC-20_600C_furnace_cross_section.tiff,2024-10-10,diffuse_LED,yes,yes,none
IMG-0085,RC-20,600,water_quench,front,4096x3072,TIFF,RC-20_600C_water_quench_front.tiff,2024-10-10,diffuse_LED,yes,yes,crack_mapping
IMG-0086,RC-20,600,water_quench,side,4096x3072,TIFF,RC-20_600C_water_quench_side.tiff,2024-10-10,diffuse_LED,yes,yes,none
IMG-0087,RC-20,600,water_quench,top,4096x3072,TIFF,RC-20_600C_water_quench_top.tiff,2024-10-10,diffuse_LED,yes,yes,none
IMG-0088,RC-20,600,water_quench,cross_section,4096x3072,TIFF,RC-20_600C_water_quench_cross_section.tiff,2024-10-10,diffuse_LED,yes,yes,none
IMG-0089,RC-20,800,furnace,front,4096x3072,TIFF,RC-20_800C_furnace_front.tiff,2024-10-10,diffuse_LED,yes,yes,crack_mapping
IMG-0090,RC-20,800,furnace,side,4096x3072,TIFF,RC-20_800C_furnace_side.tiff,2024-10-10,diffuse_LED,yes,yes,none
IMG-0091,RC-20,800,furnace,top,4096x3072,TIFF,RC-20_800C_furnace_top.tiff,2024-10-10,diffuse_LED,yes,yes,none
IMG-0092,RC-20,800,furnace,cross_section,4096x3072,TIFF,RC-20_800C_furnace_cross_section.tiff,2024-10-10,diffuse_LED,yes,yes,none
IMG-0093,RC-20,800,water_quench,front,4096x3072,TIFF,RC-20_800C_water_quench_front.tiff,2024-10-10,diffuse_LED,yes,yes,crack_mapping
IMG-0094,RC-20,800,water_quench,side,4096x3072,TIFF,RC-20_800C_water_quench_side.tiff,2024-10-10,diffuse_LED,yes,yes,none
IMG-0095,RC-20,800,water_quench,top,4096x3072,TIFF,RC-20_800C_water_quench_top.tiff,2024-10-10,diffuse_LED,yes,yes,none
IMG-0096,RC-20,800,water_quench,cross_section,4096x3072,TIFF,RC-20_800C_water_quench_cross_section.tiff,2024-10-10,diffuse_LED,yes,yes,none
IMG-0097,RC-20-SF,400,furnace,front,4096x3072,TIFF,RC-20-SF_400C_furnace_front.tiff,2024-10-10,diffuse_LED,yes,yes,crack_mapping
IMG-0098,RC-20-SF,400,furnace,side,4096x3072,TIFF,RC-20-SF_400C_furnace_side.tiff,2024-10-10,diffuse_LED,yes,yes,none
IMG-0099,RC-20-SF,400,furnace,top,4096x3072,TIFF,RC-20-SF_400C_furnace_top.tiff,2024-10-10,diffuse_LED,yes,yes,none
IMG-0100,RC-20-SF,400,furnace,cross_section,4096x3072,TIFF,RC-20-SF_400C_furnace_cross_section.tiff,2024-10-10,diffuse_LED,yes,yes,none
IMG-0101,RC-20-SF,400,water_quench,front,4096x3072,TIFF,RC-20-SF_400C_water_quench_front.tiff,2024-10-10,diffuse_LED,yes,yes,crack_mapping
IMG-0102,RC-20-SF,400,water_quench,side,4096x3072,TIFF,RC-20-SF_400C_water_quench_side.tiff,2024-10-10,diffuse_LED,yes,yes,none
IMG-0103,RC-20-SF,400,water_quench,top,4096x3072,TIFF,RC-20-SF_400C_water_quench_top.tiff,2024-10-10,diffuse_LED,yes,yes,none
IMG-0104,RC-20-SF,400,water_quench,cross_section,4096x3072,TIFF,RC-20-SF_400C_water_quench_cross_section.tiff,2024-10-10,diffuse_LED,yes,yes,none
IMG-0105,RC-20-SF,600,furnace,front,4096x3072,TIFF,RC-20-SF_600C_furnace_front.tiff,2024-10-10,diffuse_LED,yes,yes,crack_mapping
IMG-0106,RC-20-SF,600,furnace,side,4096x3072,TIFF,RC-20-SF_600C_furnace_side.tiff,2024-10-10,diffuse_LED,yes,yes,none
IMG-0107,RC-20-SF,600,furnace,top,4096x3072,TIFF,RC-20-SF_600C_furnace_top.tiff,2024-10-10,diffuse_LED,yes,yes,none
IMG-0108,RC-20-SF,600,furnace,cross_section,4096x3072,TIFF,RC-20-SF_600C_furnace_cross_section.tiff,2024-10-10,diffuse_LED,yes,yes,none
IMG-0109,RC-20-SF,600,water_quench,front,4096x3072,TIFF,RC-20-SF_600C_water_quench_front.tiff,2024-10-10,diffuse_LED,yes,yes,crack_mapping
IMG-0110,RC-20-SF,600,water_quench,side,4096x3072,TIFF,RC-20-SF_600C_water_quench_side.tiff,2024-10-10,diffuse_LED,yes,yes,none
IMG-0111,RC-20-SF,600,water_quench,top,4096x3072,TIFF,RC-20-SF_600C_water_quench_top.tiff,2024-10-10,diffuse_LED,yes,yes,none
IMG-0112,RC-20-SF,600,water_quench,cross_section,4096x3072,TIFF,RC-20-SF_600C_water_quench_cross_section.tiff,2024-10-10,diffuse_LED,yes,yes,none
IMG-0113,RC-20-SF,800,furnace,front,4096x3072,TIFF,RC-20-SF_800C_furnace_front.tiff,2024-10-10,diffuse_LED,yes,yes,crack_mapping
IMG-0114,RC-20-SF,800,furnace,side,4096x3072,TIFF,RC-20-SF_800C_furnace_side.tiff,2024-10-10,diffuse_LED,yes,yes,none
IMG-0115,RC-20-SF,800,furnace,top,4096x3072,TIFF,RC-20-SF_800C_furnace_top.tiff,2024-10-10,diffuse_LED,yes,yes,none
IMG-0116,RC-20-SF,800,furnace,cross_section,4096x3072,TIFF,RC-20-SF_800C_furnace_cross_section.tiff,2024-10-10,diffuse_LED,yes,yes,none
IMG-0117,RC-20-SF,800,water_quench,front,4096x3072,TIFF,RC-20-SF_800C_water_quench_front.tiff,2024-10-10,diffuse_LED,yes,yes,crack_mapping
IMG-0118,RC-20-SF,800,water_quench,side,4096x3072,TIFF,RC-20-SF_800C_water_quench_side.tiff,2024-10-10,diffuse_LED,yes,yes,none
IMG-0119,RC-20-SF,800,water_quench,top,4096x3072,TIFF,RC-20-SF_800C_water_quench_top.tiff,2024-10-10,diffuse_LED,yes,yes,none
IMG-0120,RC-20-SF,800,water_quench,cross_section,4096x3072,TIFF,RC-20-SF_800C_water_quench_cross_section.tiff,2024-10-10,diffuse_LED,yes,yes,none
IMG-0121,RC-25-SF,400,furnace,front,4096x3072,TIFF,RC-25-SF_400C_furnace_front.tiff,2024-10-10,diffuse_LED,yes,yes,crack_mapping
IMG-0122,RC-25-SF,400,furnace,side,4096x3072,TIFF,RC-25-SF_400C_furnace_side.tiff,2024-10-10,diffuse_LED,yes,yes,none
IMG-0123,RC-25-SF,400,furnace,top,4096x3072,TIFF,RC-25-SF_400C_furnace_top.tiff,2024-10-10,diffuse_LED,yes,yes,none
IMG-0124,RC-25-SF,400,furnace,cross_section,4096x3072,TIFF,RC-25-SF_400C_furnace_cross_section.tiff,2024-10-10,diffuse_LED,yes,yes,none
IMG-0125,RC-25-SF,400,water_quench,front,4096x3072,TIFF,RC-25-SF_400C_water_quench_front.tiff,2024-10-10,diffuse_LED,yes,yes,crack_mapping
IMG-0126,RC-25-SF,400,water_quench,side,4096x3072,TIFF,RC-25-SF_400C_water_quench_side.tiff,2024-10-10,diffuse_LED,yes,yes,none
IMG-0127,RC-25-SF,400,water_quench,top,4096x3072,TIFF,RC-25-SF_400C_water_quench_top.tiff,2024-10-10,diffuse_LED,yes,yes,none
IMG-0128,RC-25-SF,400,water_quench,cross_section,4096x3072,TIFF,RC-25-SF_400C_water_quench_cross_section.tiff,2024-10-10,diffuse_LED,yes,yes,none
IMG-0129,RC-25-SF,600,furnace,front,4096x3072,TIFF,RC-25-SF_600C_furnace_front.tiff,2024-10-10,diffuse_LED,yes,yes,crack_mapping
IMG-0130,RC-25-SF,600,furnace,side,4096x3072,TIFF,RC-25-SF_600C_furnace_side.tiff,2024-10-10,diffuse_LED,yes,yes,none
IMG-0131,RC-25-SF,600,furnace,top,4096x3072,TIFF,RC-25-SF_600C_furnace_top.tiff,2024-10-10,diffuse_LED,yes,yes,none
IMG-0132,RC-25-SF,600,furnace,cross_section,4096x3072,TIFF,RC-25-SF_600C_furnace_cross_section.tiff,2024-10-10,diffuse_LED,yes,yes,none
IMG-0133,RC-25-SF,600,water_quench,front,4096x3072,TIFF,RC-25-SF_600C_water_quench_front.tiff,2024-10-10,diffuse_LED,yes,yes,crack_mapping
IMG-0134,RC-25-SF,600,water_quench,side,4096x3072,TIFF,RC-25-SF_600C_water_quench_side.tiff,2024-10-10,diffuse_LED,yes,yes,none
IMG-0135,RC-25-SF,600,water_quench,top,4096x3072,TIFF,RC-25-SF_600C_water_quench_top.tiff,2024-10-10,diffuse_LED,yes,yes,none
IMG-0136,RC-25-SF,600,water_quench,cross_section,4096x3072,TIFF,RC-25-SF_600C_water_quench_cross_section.tiff,2024-10-10,diffuse_LED,yes,yes,none
IMG-0137,RC-25-SF,800,furnace,front,4096x3072,TIFF,RC-25-SF_800C_furnace_front.tiff,2024-10-10,diffuse_LED,yes,yes,crack_mapping
IMG-0138,RC-25-SF,800,furnace,side,4096x3072,TIFF,RC-25-SF_800C_furnace_side.tiff,2024-10-10,diffuse_LED,yes,yes,none
IMG-0139,RC-25-SF,800,furnace,top,4096x3072,TIFF,RC-25-SF_800C_furnace_top.tiff,2024-10-10,diffuse_LED,yes,yes,none
IMG-0140,RC-25-SF,800,furnace,cross_section,4096x3072,TIFF,RC-25-SF_800C_furnace_cross_section.tiff,2024-10-10,diffuse_LED,yes,yes,none
IMG-0141,RC-25-SF,800,water_quench,front,4096x3072,TIFF,RC-25-SF_800C_water_quench_front.tiff,2024-10-10,diffuse_LED,yes,yes,crack_mapping
IMG-0142,RC-25-SF,800,water_quench,side,4096x3072,TIFF,RC-25-SF_800C_water_quench_side.tiff,2024-10-10,diffuse_LED,yes,yes,none
IMG-0143,RC-25-SF,800,water_quench,top,4096x3072,TIFF,RC-25-SF_800C_water_quench_top.tiff,2024-10-10,diffuse_LED,yes,yes,none
IMG-0144,RC-25-SF,800,water_quench,cross_section,4096x3072,TIFF,RC-25-SF_800C_water_quench_cross_section.tiff,2024-10-10,diffuse_LED,yes,yes,none
