mix_design,rubber_content_pct,specimen_number,temperature_C,thermal_strain_microstrain,instantaneous_CTE_per_C
RC-0,0,2,321.2,3335.5,11.0
RC-0,0,2,329.1,3424.9,11.0
RC-0,0,2,336.9,3502.5,11.0
RC-0,0,2,344.8,3595.8,11.0
RC-0,0,2,352.6,3659.6,11.0
RC-0,0,2,360.5,3744.7,11.0
RC-0,0,2,368.3,3860.5,11.0
RC-0,0,2,376.2,3934.5,11.0
RC-0,0,2,384.0,4031.0,11.0
RC-0,0,2,391.9,4104.1,11.0
RC-0,0,2,399.7,4215.5,11.0
RC-0,0,2,407.6,4271.7,11.08
RC-0,0,2,415.4,4362.9,11.17
RC-0,0,2,423.3,4482.1,11.26
RC-0,0,2,431.1,4533.8,11.34
RC-0,0,2,439.0,4657.2,11.43
RC-0,0,2,446.8,4747.2,11.52
RC-0,0,2,454.7,4837.1,11.6
RC-0,0,2,462.5,4940.1,11.69
RC-0,0,2,470.4,5032.5,11.77
RC-0,0,2,478.2,5156.6,11.86
RC-0,0,2,486.1,5260.7,11.95
RC-0,0,2,493.9,5338.7,12.03
RC-0,0,2,501.8,5452.5,12.12
RC-0,0,2,509.6,5542.1,12.21
RC-0,0,2,517.5,5672.9,12.29
RC-0,0,2,525.3,5780.9,12.38
RC-0,0,2,533.2,5877.0,12.46
RC-0,0,2,541.0,5991.1,12.55
RC-0,0,2,548.8,6102.2,12.64
RC-0,0,2,556.7,6200.5,12.72
RC-0,0,2,564.5,6347.1,12.81
RC-0,0,2,572.4,6440.2,12.9
RC-0,0,2,580.2,6557.9,12.98
RC-0,0,2,588.1,6682.9,13.07
RC-0,0,2,595.9,6814.7,13.16
RC-0,0,2,603.8,6920.4,13.24
RC-0,0,2,611.6,7029.8,13.33
RC-0,0,2,619.5,7164.8,13.41
RC-0,0,2,627.3,7303.5,13.5
RC-0,0,2,635.2,7448.2,13.59
RC-0,0,2,643.0,7542.0,13.67
RC-0,0,2,650.9,7671.4,13.76
RC-0,0,2,658.7,7800.2,13.85
RC-0,0,2,666.6,7931.4,13.93
RC-0,0,2,674.4,8093.5,14.02
RC-0,0,2,682.3,8231.5,14.1
RC-0,0,2,690.1,8354.7,14.19
RC-0,0,2,698.0,8486.1,14.28
RC-0,0,2,705.8,8647.8,14.36
RC-0,0,2,713.7,8772.0,14.45
RC-0,0,2,721.5,8923.0,14.54
RC-0,0,2,729.4,9050.1,14.62
RC-0,0,2,737.2,9200.2,14.71
RC-0,0,2,745.1,9333.2,14.8
RC-0,0,2,752.9,9499.1,14.88
RC-0,0,2,760.8,9643.3,14.97
RC-0,0,2,768.6,9782.3,15.05
RC-0,0,2,776.5,9933.7,15.14
RC-0,0,2,784.3,10111.2,15.23
RC-0,0,2,792.2,10268.7,15.31
RC-0,0,2,800.0,10402.2,15.4
RC-0,0,3,23.0,0.7,11.0
RC-0,0,3,30.8,90.3,11.0
RC-0,0,3,38.7,174.1,11.0
RC-0,0,3,46.5,242.3,11.0
RC-0,0,3,54.4,349.6,11.0
RC-0,0,3,62.2,410.8,11.0
RC-0,0,3,70.1,510.7,11.0
RC-0,0,3,77.9,609.4,11.0
RC-0,0,3,85.8,696.7,11.0
RC-0,0,3,93.6,768.9,11.0
RC-0,0,3,101.5,858.7,11.0
RC-0,0,3,109.3,943.7,11.0
RC-0,0,3,117.2,1035.0,11.0
RC-0,0,3,125.0,1122.1,11.0
RC-0,0,3,132.9,1215.4,11.0
RC-0,0,3,140.7,1289.8,11.0
RC-0,0,3,148.6,1385.1,11.0
RC-0,0,3,156.4,1472.7,11.0
RC-0,0,3,164.3,1556.0,11.0
RC-0,0,3,172.1,1637.7,11.0
RC-0,0,3,180.0,1728.5,11.0
RC-0,0,3,187.8,1820.5,11.0
RC-0,0,3,195.7,1907.7,11.0
RC-0,0,3,203.5,2005.5,11.0
RC-0,0,3,211.4,2067.5,11.0
RC-0,0,3,219.2,2162.7,11.0
RC-0,0,3,227.1,2240.5,11.0
RC-0,0,3,234.9,2355.3,11.0
RC-0,0,3,242.8,2431.8,11.0
RC-0,0,3,250.6,2526.2,11.0
RC-0,0,3,258.5,2607.0,11.0
RC-0,0,3,266.3,2698.5,11.0
RC-0,0,3,274.2,2802.6,11.0
RC-0,0,3,282.0,2885.9,11.0
RC-0,0,3,289.8,2966.3,11.0
RC-0,0,3,297.7,3063.4,11.0
RC-0,0,3,305.5,3151.9,11.0
RC-0,0,3,313.4,3228.3,11.0
RC-0,0,3,321.2,3305.7,11.0
RC-0,0,3,329.1,3399.5,11.0
RC-0,0,3,336.9,3483.1,11.0
RC-0,0,3,344.8,3596.1,11.0
RC-0,0,3,352.6,3685.7,11.0
RC-0,0,3,360.5,3776.1,11.0
RC-0,0,3,368.3,3827.8,11.0
RC-0,0,3,376.2,3946.5,11.0
RC-0,0,3,384.0,4045.7,11.0
RC-0,0,3,391.9,4122.3,11.0
RC-0,0,3,399.7,4177.4,11.0
RC-0,0,3,407.6,4304.8,11.08
RC-0,0,3,415.4,4377.1,11.17
RC-0,0,3,423.3,4465.3,11.26
RC-0,0,3,431.1,4564.4,11.34
RC-0,0,3,439.0,4642.9,11.43
RC-0,0,3,446.8,4748.3,11.52
RC-0,0,3,454.7,4860.7,11.6
RC-0,0,3,462.5,4948.3,11.69
RC-0,0,3,470.4,5041.5,11.77
RC-0,0,3,478.2,5142.0,11.86
RC-0,0,3,486.1,5230.9,11.95
RC-0,0,3,493.9,5344.1,12.03
RC-0,0,3,501.8,5433.4,12.12
RC-0,0,3,509.6,5565.5,12.21
RC-0,0,3,517.5,5640.3,12.29
RC-0,0,3,525.3,5779.0,12.38
RC-0,0,3,533.2,5889.8,12.46
RC-0,0,3,541.0,6004.1,12.55
RC-0,0,3,548.8,6104.0,12.64
RC-0,0,3,556.7,6225.9,12.72
RC-0,0,3,564.5,6330.0,12.81
RC-0,0,3,572.4,6436.0,12.9
RC-0,0,3,580.2,6580.8,12.98
RC-0,0,3,588.1,6683.5,13.07
RC-0,0,3,595.9,6790.6,13.16
RC-0,0,3,603.8,6921.7,13.24
RC-0,0,3,611.6,7045.0,13.33
RC-0,0,3,619.5,7178.2,13.41
RC-0,0,3,627.3,7322.8,13.5
RC-0,0,3,635.2,7431.5,13.59
RC-0,0,3,643.0,7556.7,13.67
RC-0,0,3,650.9,7708.9,13.76
RC-0,0,3,658.7,7825.2,13.85
RC-0,0,3,666.6,7950.3,13.93
RC-0,0,3,674.4,8076.7,14.02
RC-0,0,3,682.3,8219.7,14.1
RC-0,0,3,690.1,8352.3,14.19
RC-0,0,3,698.0,8491.6,14.28
RC-0,0,3,705.8,8643.0,14.36
RC-0,0,3,713.7,8764.9,14.45
RC-0,0,3,721.5,8917.2,14.54
RC-0,0,3,729.4,9064.8,14.62
RC-0,0,3,737.2,9193.1,14.71
RC-0,0,3,745.1,9337.4,14.8
RC-0,0,3,752.9,9491.3,14.88
RC-0,0,3,760.8,9636.7,14.97
RC-0,0,3,768.6,9802.8,15.05
RC-0,0,3,776.5,9932.5,15.14
RC-0,0,3,784.3,10095.8,15.23
RC-0,0,3,792.2,10274.5,15.31
RC-0,0,3,800.0,10408.4,15.4
RC-10,10,1,23.0,5.8,14.0
RC-10,10,1,30.8,121.5,14.0
RC-10,10,1,38.7,215.1,14.0
RC-10,10,1,46.5,318.8,14.0
RC-10,10,1,54.4,441.3,14.0
RC-10,10,1,62.2,552.0,14.0
RC-10,10,1,70.1,643.1,14.0
RC-10,10,1,77.9,772.9,14.0
RC-10,10,1,85.8,889.7,14.0
RC-10,10,1,93.6,979.8,14.0
RC-10,10,1,101.5,1103.1,14.0
RC-10,10,1,109.3,1217.6,14.0
RC-10,10,1,117.2,1324.4,14.0
RC-10,10,1,125.0,1435.2,14.0
RC-10,10,1,132.9,1535.9,14.0
RC-10,10,1,140.7,1636.9,14.0
RC-10,10,1,148.6,1753.6,14.0
RC-10,10,1,156.4,1862.1,14.0
RC-10,10,1,164.3,1977.0,14.0
RC-10,10,1,172.1,2098.6,14.0
RC-10,10,1,180.0,2184.5,14.0
RC-10,10,1,187.8,2308.9,14.0
RC-10,10,1,195.7,2406.7,14.0
RC-10,10,1,203.5,2521.5,14.0
RC-10,10,1,211.4,2648.1,14.0
RC-10,10,1,219.2,2743.9,14.0
RC-10,10,1,227.1,2876.2,14.0
RC-10,10,1,234.9,2968.2,14.0
RC-10,10,1,242.8,3101.1,14.0
RC-10,10,1,250.6,3191.5,14.0
RC-10,10,1,258.5,3313.2,14.0
RC-10,10,1,266.3,3450.6,14.0
RC-10,10,1,274.2,3560.9,14.0
RC-10,10,1,282.0,3651.8,14.0
RC-10,10,1,289.8,3771.8,14.0
RC-10,10,1,297.7,3891.9,14.0
RC-10,10,1,305.5,3998.5,14.0
RC-10,10,1,313.4,4100.7,14.0
RC-10,10,1,321.2,4207.6,14.0
RC-10,10,1,329.1,4335.4,14.0
RC-10,10,1,336.9,4449.6,14.0
RC-10,10,1,344.8,4566.9,14.0
RC-10,10,1,352.6,4644.4,14.0
RC-10,10,1,360.5,4760.1,14.0
RC-10,10,1,368.3,4895.6,14.0
RC-10,10,1,376.2,4979.8,14.0
RC-10,10,1,384.0,5119.0,14.0
RC-10,10,1,391.9,5215.7,14.0
RC-10,10,1,399.7,5323.9,14.0
RC-10,10,1,407.6,5443.1,14.11
RC-10,10,1,415.4,5541.3,14.22
RC-10,10,1,423.3,5678.3,14.33
RC-10,10,1,431.1,5804.0,14.44
RC-10,10,1,439.0,5914.6,14.55
RC-10,10,1,446.8,6023.9,14.66
RC-10,10,1,454.7,6133.1,14.77
RC-10,10,1,462.5,6257.3,14.88
RC-10,10,1,470.4,6384.6,14.99
RC-10,10,1,478.2,6525.0,15.09
RC-10,10,1,486.1,6655.2,15.2
RC-10,10,1,493.9,6793.4,15.31
RC-10,10,1,501.8,6899.1,15.42
RC-10,10,1,509.6,7064.3,15.53
RC-10,10,1,517.5,7193.9,15.64
RC-10,10,1,525.3,7321.2,15.75
RC-10,10,1,533.2,7451.7,15.86
RC-10,10,1,541.0,7617.0,15.97
RC-10,10,1,548.8,7744.1,16.08
RC-10,10,1,556.7,7891.3,16.19
RC-10,10,1,564.5,8041.3,16.3
RC-10,10,1,572.4,8176.1,16.41
RC-10,10,1,580.2,8331.9,16.52
RC-10,10,1,588.1,8494.5,16.63
RC-10,10,1,595.9,8646.3,16.74
RC-10,10,1,603.8,8801.0,16.85
RC-10,10,1,611.6,8938.0,16.96
RC-10,10,1,619.5,9105.2,17.07
RC-10,10,1,627.3,9263.4,17.18
RC-10,10,1,635.2,9433.0,17.29
RC-10,10,1,643.0,9595.3,17.4
RC-10,10,1,650.9,9758.3,17.51
RC-10,10,1,658.7,9948.0,17.62
RC-10,10,1,666.6,10088.8,17.73
RC-10,10,1,674.4,10257.6,17.84
RC-10,10,1,682.3,10421.8,17.95
RC-10,10,1,690.1,10591.5,18.06
RC-10,10,1,698.0,10769.8,18.17
RC-10,10,1,705.8,10951.7,18.28
RC-10,10,1,713.7,11150.6,18.39
RC-10,10,1,721.5,11318.2,18.5
RC-10,10,1,729.4,11501.7,18.61
RC-10,10,1,737.2,11682.6,18.72
RC-10,10,1,745.1,11872.6,18.83
RC-10,10,1,752.9,12070.2,18.94
RC-10,10,1,760.8,12225.1,19.05
RC-10,10,1,768.6,12447.9,19.16
RC-10,10,1,776.5,12602.9,19.27
RC-10,10,1,784.3,12822.3,19.38
RC-10,10,1,792.2,13039.7,19.49
RC-10,10,1,800.0,13222.1,19.6
RC-10,10,2,23.0,3.7,14.0
RC-10,10,2,30.8,129.9,14.0
RC-10,10,2,38.7,212.7,14.0
RC-10,10,2,46.5,334.0,14.0
RC-10,10,2,54.4,445.3,14.0
RC-10,10,2,62.2,544.2,14.0
RC-10,10,2,70.1,654.9,14.0
RC-10,10,2,77.9,763.7,14.0
RC-10,10,2,85.8,879.9,14.0
RC-10,10,2,93.6,994.4,14.0
RC-10,10,2,101.5,1100.0,14.0
RC-10,10,2,109.3,1215.8,14.0
RC-10,10,2,117.2,1298.9,14.0
RC-10,10,2,125.0,1426.2,14.0
RC-10,10,2,132.9,1528.1,14.0
RC-10,10,2,140.7,1651.2,14.0
RC-10,10,2,148.6,1760.9,14.0
RC-10,10,2,156.4,1866.8,14.0
RC-10,10,2,164.3,1982.9,14.0
RC-10,10,2,172.1,2097.7,14.0
RC-10,10,2,180.0,2197.0,14.0
RC-10,10,2,187.8,2296.9,14.0
RC-10,10,2,195.7,2401.5,14.0
RC-10,10,2,203.5,2529.3,14.0
RC-10,10,2,211.4,2644.9,14.0
RC-10,10,2,219.2,2746.1,14.0
RC-10,10,2,227.1,2876.1,14.0
RC-10,10,2,234.9,2977.1,14.0
RC-10,10,2,242.8,3077.8,14.0
RC-10,10,2,250.6,3219.5,14.0
RC-10,10,2,258.5,3330.8,14.0
RC-10,10,2,266.3,3411.5,14.0
RC-10,10,2,274.2,3538.2,14.0
RC-10,10,2,282.0,3649.9,14.0
RC-10,10,2,289.8,3784.3,14.0
RC-10,10,2,297.7,3878.8,14.0
RC-10,10,2,305.5,3976.7,14.0
RC-10,10,2,313.4,4112.2,14.0
RC-10,10,2,321.2,4202.8,14.0
RC-10,10,2,329.1,4324.1,14.0
RC-10,10,2,336.9,4430.6,14.0
RC-10,10,2,344.8,4544.2,14.0
RC-10,10,2,352.6,4670.6,14.0
RC-10,10,2,360.5,4787.9,14.0
RC-10,10,2,368.3,4871.3,14.0
RC-10,10,2,376.2,5001.6,14.0
RC-10,10,2,384.0,5099.3,14.0
RC-10,10,2,391.9,5210.8,14.0
RC-10,10,2,399.7,5334.0,14.0
RC-10,10,2,407.6,5430.8,14.11
RC-10,10,2,415.4,5559.4,14.22
RC-10,10,2,423.3,5677.4,14.33
RC-10,10,2,431.1,5782.8,14.44
RC-10,10,2,439.0,5919.1,14.55
RC-10,10,2,446.8,6013.6,14.66
RC-10,10,2,454.7,6161.9,14.77
RC-10,10,2,462.5,6252.9,14.88
RC-10,10,2,470.4,6424.9,14.99
RC-10,10,2,478.2,6521.1,15.09
RC-10,10,2,486.1,6642.5,15.2
RC-10,10,2,493.9,6782.4,15.31
RC-10,10,2,501.8,6906.6,15.42
RC-10,10,2,509.6,7055.0,15.53
RC-10,10,2,517.5,7200.6,15.64
RC-10,10,2,525.3,7314.5,15.75
RC-10,10,2,533.2,7469.4,15.86
RC-10,10,2,541.0,7589.2,15.97
RC-10,10,2,548.8,7757.5,16.08
RC-10,10,2,556.7,7895.6,16.19
RC-10,10,2,564.5,8048.2,16.3
RC-10,10,2,572.4,8184.0,16.41
RC-10,10,2,580.2,8330.3,16.52
RC-10,10,2,588.1,8494.0,16.63
RC-10,10,2,595.9,8625.6,16.74
RC-10,10,2,603.8,8775.9,16.85
RC-10,10,2,611.6,8949.5,16.96
RC-10,10,2,619.5,9103.7,17.07
RC-10,10,2,627.3,9272.9,17.18
RC-10,10,2,635.2,9439.7,17.29
RC-10,10,2,643.0,9597.2,17.4
RC-10,10,2,650.9,9766.9,17.51
RC-10,10,2,658.7,9926.6,17.62
RC-10,10,2,666.6,10096.6,17.73
RC-10,10,2,674.4,10260.5,17.84
RC-10,10,2,682.3,10438.0,17.95
RC-10,10,2,690.1,10608.5,18.06
RC-10,10,2,698.0,10785.2,18.17
RC-10,10,2,705.8,10957.2,18.28
RC-10,10,2,713.7,11145.6,18.39
RC-10,10,2,721.5,11310.7,18.5
RC-10,10,2,729.4,11499.6,18.61
RC-10,10,2,737.2,11696.7,18.72
RC-10,10,2,745.1,11859.5,18.83
RC-10,10,2,752.9,12034.5,18.94
RC-10,10,2,760.8,12248.7,19.05
RC-10,10,2,768.6,12433.1,19.16
RC-10,10,2,776.5,12638.1,19.27
RC-10,10,2,784.3,12820.7,19.38
RC-10,10,2,792.2,13011.8,19.49
RC-10,10,2,800.0,13214.5,19.6
RC-10,10,3,23.0,10.9,14.0
RC-10,10,3,30.8,115.6,14.0
RC-10,10,3,38.7,195.4,14.0
RC-10,10,3,46.5,331.5,14.0
RC-10,10,3,54.4,441.9,14.0
RC-10,10,3,62.2,549.2,14.0
RC-10,10,3,70.1,653.2,14.0
RC-10,10,3,77.9,781.1,14.0
RC-10,10,3,85.8,891.5,14.0
RC-10,10,3,93.6,966.9,14.0
RC-10,10,3,101.5,1090.8,14.0
RC-10,10,3,109.3,1207.2,14.0
RC-10,10,3,117.2,1328.0,14.0
RC-10,10,3,125.0,1428.8,14.0
RC-10,10,3,132.9,1531.5,14.0
RC-10,10,3,140.7,1655.3,14.0
RC-10,10,3,148.6,1755.9,14.0
RC-10,10,3,156.4,1866.8,14.0
RC-10,10,3,164.3,1977.5,14.0
RC-10,10,3,172.1,2093.4,14.0
RC-10,10,3,180.0,2194.5,14.0
RC-10,10,3,187.8,2314.3,14.0
RC-10,10,3,195.7,2416.6,14.0
RC-10,10,3,203.5,2518.3,14.0
RC-10,10,3,211.4,2642.1,14.0
RC-10,10,3,219.2,2745.6,14.0
RC-10,10,3,227.1,2869.2,14.0
RC-10,10,3,234.9,2990.0,14.0
RC-10,10,3,242.8,3083.7,14.0
RC-10,10,3,250.6,3210.6,14.0
RC-10,10,3,258.5,3311.1,14.0
RC-10,10,3,266.3,3433.7,14.0
RC-10,10,3,274.2,3552.5,14.0
RC-10,10,3,282.0,3634.6,14.0
RC-10,10,3,289.8,3756.8,14.0
RC-10,10,3,297.7,3876.1,14.0
RC-10,10,3,305.5,3994.8,14.0
RC-10,10,3,313.4,4101.7,14.0
RC-10,10,3,321.2,4214.6,14.0
RC-10,10,3,329.1,4347.2,14.0
RC-10,10,3,336.9,4426.2,14.0
RC-10,10,3,344.8,4561.1,14.0
RC-10,10,3,352.6,4657.7,14.0
RC-10,10,3,360.5,4778.2,14.0
RC-10,10,3,368.3,4905.3,14.0
RC-10,10,3,376.2,5002.2,14.0
RC-10,10,3,384.0,5110.3,14.0
RC-10,10,3,391.9,5233.9,14.0
RC-10,10,3,399.7,5340.3,14.0
RC-10,10,3,407.6,5433.0,14.11
RC-10,10,3,415.4,5557.7,14.22
RC-10,10,3,423.3,5652.9,14.33
RC-10,10,3,431.1,5781.7,14.44
RC-10,10,3,439.0,5909.0,14.55
RC-10,10,3,446.8,6020.3,14.66
RC-10,10,3,454.7,6151.2,14.77
RC-10,10,3,462.5,6272.2,14.88
RC-10,10,3,470.4,6403.2,14.99
RC-10,10,3,478.2,6520.9,15.09
RC-10,10,3,486.1,6644.7,15.2
RC-10,10,3,493.9,6799.5,15.31
RC-10,10,3,501.8,6912.1,15.42
RC-10,10,3,509.6,7057.8,15.53
RC-10,10,3,517.5,7201.3,15.64
RC-10,10,3,525.3,7326.1,15.75
RC-10,10,3,533.2,7455.1,15.86
RC-10,10,3,541.0,7602.7,15.97
RC-10,10,3,548.8,7757.3,16.08
RC-10,10,3,556.7,7893.5,16.19
RC-10,10,3,564.5,8025.4,16.3
RC-10,10,3,572.4,8191.2,16.41
RC-10,10,3,580.2,8342.4,16.52
RC-10,10,3,588.1,8482.3,16.63
RC-10,10,3,595.9,8644.8,16.74
RC-10,10,3,603.8,8795.7,16.85
RC-10,10,3,611.6,8947.6,16.96
RC-10,10,3,619.5,9094.7,17.07
RC-10,10,3,627.3,9278.1,17.18
RC-10,10,3,635.2,9436.4,17.29
RC-10,10,3,643.0,9597.8,17.4
RC-10,10,3,650.9,9772.2,17.51
RC-10,10,3,658.7,9932.8,17.62
RC-10,10,3,666.6,10098.5,17.73
RC-10,10,3,674.4,10239.5,17.84
RC-10,10,3,682.3,10445.4,17.95
RC-10,10,3,690.1,10607.7,18.06
RC-10,10,3,698.0,10785.1,18.17
RC-10,10,3,705.8,10962.1,18.28
RC-10,10,3,713.7,11145.2,18.39
RC-10,10,3,721.5,11329.0,18.5
RC-10,10,3,729.4,11506.1,18.61
RC-10,10,3,737.2,11688.3,18.72
RC-10,10,3,745.1,11871.3,18.83
RC-10,10,3,752.9,12022.7,18.94
RC-10,10,3,760.8,12242.2,19.05
RC-10,10,3,768.6,12426.3,19.16
RC-10,10,3,776.5,12640.1,19.27
RC-10,10,3,784.3,12828.2,19.38
RC-10,10,3,792.2,13013.2,19.49
RC-10,10,3,800.0,13211.7,19.6
RC-15,15,1,23.0,-3.9,15.5
RC-15,15,1,30.8,117.5,15.5
RC-15,15,1,38.7,228.9,15.5
RC-15,15,1,46.5,348.3,15.5
RC-15,15,1,54.4,486.9,15.5
RC-15,15,1,62.2,619.0,15.5
RC-15,15,1,70.1,724.5,15.5
RC-15,15,1,77.9,854.6,15.5
RC-15,15,1,85.8,980.6,15.5
RC-15,15,1,93.6,1084.9,15.5
RC-15,15,1,101.5,1216.3,15.5
RC-15,15,1,109.3,1331.5,15.5
RC-15,15,1,117.2,1475.9,15.5
RC-15,15,1,125.0,1597.1,15.5
RC-15,15,1,132.9,1693.2,15.5
RC-15,15,1,140.7,1828.6,15.5
RC-15,15,1,148.6,1957.1,15.5
RC-15,15,1,156.4,2076.6,15.5
RC-15,15,1,164.3,2190.5,15.5
RC-15,15,1,172.1,2324.4,15.5
RC-15,15,1,180.0,2424.0,15.5
RC-15,15,1,187.8,2551.7,15.5
RC-15,15,1,195.7,2667.6,15.5
RC-15,15,1,203.5,2807.5,15.5
RC-15,15,1,211.4,2919.2,15.5
RC-15,15,1,219.2,3048.4,15.5
RC-15,15,1,227.1,3181.1,15.5
RC-15,15,1,234.9,3306.5,15.5
RC-15,15,1,242.8,3415.0,15.5
RC-15,15,1,250.6,3558.9,15.5
RC-15,15,1,258.5,3677.1,15.5
RC-15,15,1,266.3,3785.8,15.5
RC-15,15,1,274.2,3907.3,15.5
RC-15,15,1,282.0,4044.3,15.5
RC-15,15,1,289.8,4176.7,15.5
