specimen_id,mix_design,rubber_content_pct,test_temperature_C,specimen_number,test_type,hot_compressive_strength_MPa,hot_modulus_GPa,hot_peak_strain_percent,hot_to_ambient_ratio,applied_load_kN,displacement_rate_mm_min,strain_rate_s,notes
INSITU-3049,RC-20,20,200,2,hot_strength,29.28,14.02,0.0029,0.98,0.66,0.25,2.8e-05,Tested at elevated temperature in furnace
INSITU-3050,RC-20,20,200,3,hot_strength,24.39,11.68,0.0029,0.98,0.55,0.25,2.8e-05,Tested at elevated temperature in furnace
INSITU-3051,RC-20,20,400,1,hot_strength,19.28,10.13,0.003,0.66,0.43,0.25,2.8e-05,Tested at elevated temperature in furnace
INSITU-3052,RC-20,20,400,2,hot_strength,16.22,8.52,0.003,0.66,0.37,0.25,2.8e-05,Tested at elevated temperature in furnace
INSITU-3053,RC-20,20,400,3,hot_strength,23.82,12.51,0.003,0.66,0.54,0.25,2.8e-05,Tested at elevated temperature in furnace
INSITU-3054,RC-20,20,600,1,hot_strength,16.64,7.61,0.0039,0.49,0.37,0.25,2.8e-05,Tested at elevated temperature in furnace
INSITU-3055,RC-20,20,600,2,hot_strength,13.36,6.11,0.0039,0.49,0.3,0.25,2.8e-05,Tested at elevated temperature in furnace
INSITU-3056,RC-20,20,600,3,hot_strength,11.58,5.29,0.0039,0.49,0.26,0.25,2.8e-05,Tested at elevated temperature in furnace
INSITU-3057,RC-20,20,800,1,hot_strength,6.69,3.57,0.0038,0.25,0.15,0.25,2.8e-05,Tested at elevated temperature in furnace
INSITU-3058,RC-20,20,800,2,hot_strength,7.1,3.78,0.0038,0.25,0.16,0.25,2.8e-05,Tested at elevated temperature in furnace
INSITU-3059,RC-20,20,800,3,hot_strength,6.19,3.3,0.0037,0.25,0.14,0.25,2.8e-05,Tested at elevated temperature in furnace
INSITU-3060,RC-20-SF,20,23,1,hot_strength,32.94,17.57,0.0023,1.0,0.74,0.25,2.8e-05,Tested at elevated temperature in furnace
INSITU-3061,RC-20-SF,20,23,2,hot_strength,32.62,17.4,0.0023,1.0,0.73,0.25,2.8e-05,Tested at elevated temperature in furnace
INSITU-3062,RC-20-SF,20,23,3,hot_strength,33.45,17.84,0.0023,1.0,0.75,0.25,2.8e-05,Tested at elevated temperature in furnace
INSITU-3063,RC-20-SF,20,200,1,hot_strength,33.05,15.83,0.0029,0.98,0.74,0.25,2.8e-05,Tested at elevated temperature in furnace
INSITU-3064,RC-20-SF,20,200,2,hot_strength,29.95,14.34,0.0029,0.98,0.67,0.25,2.8e-05,Tested at elevated temperature in furnace
INSITU-3065,RC-20-SF,20,200,3,hot_strength,30.24,14.48,0.0029,0.98,0.68,0.25,2.8e-05,Tested at elevated temperature in furnace
INSITU-3066,RC-20-SF,20,400,1,hot_strength,21.94,11.52,0.003,0.66,0.49,0.25,2.8e-05,Tested at elevated temperature in furnace
INSITU-3067,RC-20-SF,20,400,2,hot_strength,20.76,10.9,0.003,0.66,0.47,0.25,2.8e-05,Tested at elevated temperature in furnace
INSITU-3068,RC-20-SF,20,400,3,hot_strength,23.45,12.32,0.003,0.66,0.53,0.25,2.8e-05,Tested at elevated temperature in furnace
INSITU-3069,RC-20-SF,20,600,1,hot_strength,18.93,7.44,0.0046,0.57,0.43,0.25,2.8e-05,Tested at elevated temperature in furnace
INSITU-3070,RC-20-SF,20,600,2,hot_strength,21.7,8.53,0.0046,0.57,0.49,0.25,2.8e-05,Tested at elevated temperature in furnace
INSITU-3071,RC-20-SF,20,600,3,hot_strength,20.12,7.91,0.0046,0.57,0.45,0.25,2.8e-05,Tested at elevated temperature in furnace
INSITU-3072,RC-20-SF,20,800,1,hot_strength,12.62,4.81,0.0052,0.35,0.28,0.25,2.8e-05,Tested at elevated temperature in furnace
INSITU-3073,RC-20-SF,20,800,2,hot_strength,11.71,4.46,0.0053,0.35,0.26,0.25,2.8e-05,Tested at elevated temperature in furnace
INSITU-3074,RC-20-SF,20,800,3,hot_strength,11.74,4.47,0.0053,0.35,0.26,0.25,2.8e-05,Tested at elevated temperature in furnace
INSITU-3075,RC-25-SF,25,23,1,hot_strength,32.4,16.02,0.0025,1.0,0.73,0.25,2.8e-05,Tested at elevated temperature in furnace
INSITU-3076,RC-25-SF,25,23,2,hot_strength,27.6,13.65,0.0025,1.0,0.62,0.25,2.8e-05,Tested at elevated temperature in furnace
INSITU-3077,RC-25-SF,25,23,3,hot_strength,29.71,14.69,0.0025,1.0,0.67,0.25,2.8e-05,Tested at elevated temperature in furnace
INSITU-3078,RC-25-SF,25,200,1,hot_strength,27.3,12.12,0.0032,0.98,0.61,0.25,2.8e-05,Tested at elevated temperature in furnace
INSITU-3079,RC-25-SF,25,200,2,hot_strength,27.29,12.12,0.0032,0.98,0.61,0.25,2.8e-05,Tested at elevated temperature in furnace
INSITU-3080,RC-25-SF,25,200,3,hot_strength,25.28,11.23,0.0032,0.98,0.57,0.25,2.8e-05,Tested at elevated temperature in furnace
INSITU-3081,RC-25-SF,25,400,1,hot_strength,16.6,8.6,0.0031,0.62,0.37,0.25,2.8e-05,Tested at elevated temperature in furnace
INSITU-3082,RC-25-SF,25,400,2,hot_strength,16.34,8.47,0.0031,0.62,0.37,0.25,2.8e-05,Tested at elevated temperature in furnace
INSITU-3083,RC-25-SF,25,400,3,hot_strength,18.49,9.58,0.0031,0.62,0.42,0.25,2.8e-05,Tested at elevated temperature in furnace
INSITU-3084,RC-25-SF,25,600,1,hot_strength,17.11,6.4,0.0048,0.555,0.39,0.25,2.8e-05,Tested at elevated temperature in furnace
INSITU-3085,RC-25-SF,25,600,2,hot_strength,15.68,5.87,0.0048,0.555,0.35,0.25,2.8e-05,Tested at elevated temperature in furnace
INSITU-3086,RC-25-SF,25,600,3,hot_strength,16.09,6.02,0.0048,0.555,0.36,0.25,2.8e-05,Tested at elevated temperature in furnace
INSITU-3087,RC-25-SF,25,800,1,hot_strength,9.84,3.48,0.0057,0.35,0.22,0.25,2.8e-05,Tested at elevated temperature in furnace
INSITU-3088,RC-25-SF,25,800,2,hot_strength,9.32,3.29,0.0057,0.35,0.21,0.25,2.8e-05,Tested at elevated temperature in furnace
INSITU-3089,RC-25-SF,25,800,3,hot_strength,10.65,3.76,0.0057,0.35,0.24,0.25,2.8e-05,Tested at elevated temperature in furnace
