specimen_id,mix_design,rubber_content_pct,target_temperature_C,cooling_method,specimen_number,spalling_occurred,spalling_type,spalling_area_percent,average_spalling_depth_mm,max_spalling_depth_mm,spalling_mass_loss_g,max_pore_pressure_MPa,pore_pressure_10mm_MPa,pore_pressure_25mm_MPa,pore_pressure_50mm_MPa,time_to_peak_pressure_min,visible_crack_count,max_crack_width_mm,crack_pattern,explosive_spalling,surface_integrity,notes
SPALL-4024,RC-10,10,600,furnace,1,yes,extensive,31.3,13.1,17.1,98.4,1.5,1.228,1.128,0.632,30.7,27,2.84,extensive_network,no,poor,
SPALL-4025,RC-10,10,600,furnace,2,no,none,0.0,0.0,0.0,0.0,1.5,1.262,1.051,0.613,27.8,0,0.0,none,no,good,
SPALL-4026,RC-10,10,600,furnace,3,no,none,0.0,0.0,0.0,0.0,1.5,1.453,1.117,0.473,26.1,0,0.0,none,no,good,
SPALL-4027,RC-10,10,600,water_quench,1,yes,moderate,12.8,29.6,38.4,90.6,1.5,1.248,1.046,0.559,31.4,12,1.45,network,no,fair,
SPALL-4028,RC-10,10,600,water_quench,2,yes,moderate,21.1,23.3,30.2,117.6,1.5,1.222,0.977,0.664,29.8,5,0.55,network,no,fair,
SPALL-4029,RC-10,10,600,water_quench,3,no,none,0.0,0.0,0.0,0.0,1.5,1.358,0.991,0.559,25.7,0,0.0,none,no,good,
SPALL-4030,RC-10,10,800,furnace,1,no,none,0.0,0.0,0.0,0.0,2.4,1.939,1.754,0.933,39.5,0,0.0,none,no,good,
SPALL-4031,RC-10,10,800,furnace,2,yes,extensive,41.3,34.5,44.8,341.5,2.4,2.257,1.473,0.813,32.1,26,5.44,extensive_network,no,poor,
SPALL-4032,RC-10,10,800,furnace,3,yes,extensive,54.5,48.3,62.7,630.9,2.4,2.169,1.609,0.832,30.5,34,5.93,extensive_network,no,poor,
SPALL-4033,RC-10,10,800,water_quench,1,yes,extensive,75.1,38.3,49.7,689.6,2.4,2.253,1.675,0.966,32.7,23,5.72,extensive_network,yes,poor,
SPALL-4034,RC-10,10,800,water_quench,2,yes,extensive,66.4,44.0,57.3,702.1,2.4,2.23,1.446,0.798,39.8,39,6.56,extensive_network,yes,poor,
SPALL-4035,RC-10,10,800,water_quench,3,yes,extensive,75.2,31.1,40.4,561.1,2.4,2.34,1.778,0.938,35.4,19,3.17,extensive_network,yes,poor,
SPALL-4036,RC-15,15,400,furnace,1,no,none,0.0,0.0,0.0,0.0,0.8,0.665,0.617,0.322,21.1,0,0.0,none,no,good,
SPALL-4037,RC-15,15,400,furnace,2,no,none,0.0,0.0,0.0,0.0,0.8,0.723,0.528,0.308,23.0,0,0.0,none,no,good,
SPALL-4038,RC-15,15,400,furnace,3,yes,localized,2.5,4.9,6.4,2.9,0.8,0.68,0.589,0.349,25.0,2,0.49,random,no,fair,
SPALL-4039,RC-15,15,400,water_quench,1,yes,moderate,13.4,5.5,7.2,17.8,0.8,0.655,0.636,0.286,24.2,9,0.59,network,no,fair,
SPALL-4040,RC-15,15,400,water_quench,2,yes,moderate,17.5,9.0,11.7,37.6,0.8,0.68,0.49,0.35,25.7,10,1.26,network,no,fair,
SPALL-4041,RC-15,15,400,water_quench,3,yes,moderate,10.0,7.2,9.3,17.2,0.8,0.693,0.491,0.254,24.3,5,1.74,network,no,fair,
SPALL-4042,RC-15,15,600,furnace,1,yes,moderate,21.3,13.2,17.1,67.4,1.65,1.38,1.018,0.731,27.0,9,0.78,network,no,fair,
SPALL-4043,RC-15,15,600,furnace,2,no,none,0.0,0.0,0.0,0.0,1.65,1.369,1.173,0.669,32.3,0,0.0,none,no,good,
SPALL-4044,RC-15,15,600,furnace,3,yes,extensive,31.6,20.0,25.9,151.5,1.65,1.391,1.051,0.637,33.2,15,7.38,extensive_network,no,poor,
SPALL-4045,RC-15,15,600,water_quench,1,yes,moderate,15.4,15.3,19.9,56.5,1.65,1.362,1.201,0.52,26.3,5,1.01,network,no,fair,
SPALL-4046,RC-15,15,600,water_quench,2,yes,moderate,28.2,14.8,19.3,100.5,1.65,1.535,1.028,0.672,29.4,7,1.52,network,no,fair,
SPALL-4047,RC-15,15,600,water_quench,3,yes,moderate,10.2,15.5,20.2,37.9,1.65,1.645,1.307,0.601,35.0,10,1.05,network,no,fair,
SPALL-4048,RC-15,15,800,furnace,1,no,none,0.0,0.0,0.0,0.0,2.6,2.272,1.754,0.979,38.4,0,0.0,none,no,good,
SPALL-4049,RC-15,15,800,furnace,2,yes,extensive,44.6,30.0,39.0,321.1,2.6,2.505,1.58,1.233,35.1,28,6.19,extensive_network,no,poor,
SPALL-4050,RC-15,15,800,furnace,3,no,none,0.0,0.0,0.0,0.0,2.6,2.153,1.843,0.784,31.0,0,0.0,none,no,good,
SPALL-4051,RC-15,15,800,water_quench,1,yes,extensive,63.7,26.9,35.0,411.7,2.6,2.453,1.69,1.236,38.1,38,5.6,extensive_network,yes,poor,
SPALL-4052,RC-15,15,800,water_quench,2,yes,extensive,31.7,38.3,49.8,291.3,2.6,2.255,1.856,1.228,30.8,21,5.02,extensive_network,yes,poor,
SPALL-4053,RC-15,15,800,water_quench,3,yes,extensive,75.5,38.6,50.1,699.3,2.6,2.343,2.065,0.924,37.9,15,4.49,extensive_network,yes,poor,
SPALL-4054,RC-20,20,400,furnace,1,no,none,0.0,0.0,0.0,0.0,0.9,0.829,0.707,0.421,30.0,0,0.0,none,no,good,
SPALL-4055,RC-20,20,400,furnace,2,yes,localized,1.7,6.9,8.9,2.8,0.9,0.868,0.591,0.313,27.9,3,0.23,random,no,fair,
SPALL-4056,RC-20,20,400,furnace,3,no,none,0.0,0.0,0.0,0.0,0.9,0.838,0.713,0.438,27.9,0,0.0,none,no,good,
SPALL-4057,RC-20,20,400,water_quench,1,no,none,0.0,0.0,0.0,0.0,0.9,0.769,0.692,0.347,22.7,0,0.0,none,no,good,
SPALL-4058,RC-20,20,400,water_quench,2,yes,moderate,16.3,3.8,5.0,15.0,0.9,0.802,0.629,0.277,22.0,12,1.11,network,no,fair,
SPALL-4059,RC-20,20,400,water_quench,3,yes,localized,3.7,3.0,3.9,2.7,0.9,0.826,0.718,0.3,20.5,4,0.2,random,no,fair,
SPALL-4060,RC-20,20,600,furnace,1,no,none,0.0,0.0,0.0,0.0,1.8,1.657,1.118,0.746,30.0,0,0.0,none,no,good,
SPALL-4061,RC-20,20,600,furnace,2,no,none,0.0,0.0,0.0,0.0,1.8,1.631,1.172,0.783,30.4,0,0.0,none,no,good,
SPALL-4062,RC-20,20,600,furnace,3,yes,moderate,22.2,22.0,28.6,117.1,1.8,1.45,1.307,0.666,27.9,12,1.75,network,no,fair,
SPALL-4063,RC-20,20,600,water_quench,1,yes,extensive,35.1,11.5,15.0,97.0,1.8,1.783,1.304,0.794,28.0,18,5.48,extensive_network,yes,poor,
SPALL-4064,RC-20,20,600,water_quench,2,yes,extensive,42.2,24.0,31.2,243.3,1.8,1.682,1.222,0.54,26.2,31,4.94,extensive_network,yes,poor,
SPALL-4065,RC-20,20,600,water_quench,3,yes,moderate,15.2,26.4,34.3,96.1,1.8,1.659,1.24,0.88,25.5,6,2.0,network,no,fair,
SPALL-4066,RC-20,20,800,furnace,1,no,none,0.0,0.0,0.0,0.0,2.8,2.694,1.89,0.97,37.3,0,0.0,none,no,good,
SPALL-4067,RC-20,20,800,furnace,2,yes,moderate,27.0,43.6,56.7,282.9,2.8,2.415,2.192,1.311,38.5,10,1.71,network,no,fair,
SPALL-4068,RC-20,20,800,furnace,3,yes,extensive,31.8,46.6,60.6,356.4,2.8,2.711,1.945,0.862,36.4,26,6.47,extensive_network,no,poor,
SPALL-4069,RC-20,20,800,water_quench,1,yes,extensive,48.8,55.0,71.5,643.8,2.8,2.557,1.768,1.227,35.1,32,4.24,extensive_network,yes,poor,
SPALL-4070,RC-20,20,800,water_quench,2,yes,extensive,47.1,28.1,36.5,317.3,2.8,2.563,1.703,1.135,38.9,19,6.0,extensive_network,yes,poor,
SPALL-4071,RC-20,20,800,water_quench,3,yes,extensive,43.0,46.4,60.4,479.1,2.8,2.272,1.693,1.092,33.3,16,4.13,extensive_network,yes,poor,
SPALL-4072,RC-20-SF,20,400,furnace,1,yes,moderate,11.3,7.1,9.3,19.4,0.9,0.742,0.627,0.393,27.8,6,0.72,network,no,fair,
SPALL-4073,RC-20-SF,20,400,furnace,2,yes,moderate,12.2,8.0,10.4,23.5,0.9,0.856,0.669,0.39,24.8,11,1.59,network,no,fair,
SPALL-4074,RC-20-SF,20,400,furnace,3,no,none,0.0,0.0,0.0,0.0,0.9,0.774,0.597,0.391,20.3,0,0.0,none,no,good,
SPALL-4075,RC-20-SF,20,400,water_quench,1,no,none,0.0,0.0,0.0,0.0,0.9,0.87,0.615,0.408,21.7,0,0.0,none,no,good,
SPALL-4076,RC-20-SF,20,400,water_quench,2,yes,moderate,19.0,11.9,15.4,54.1,0.9,0.812,0.708,0.364,22.9,5,0.58,network,no,fair,
SPALL-4077,RC-20-SF,20,400,water_quench,3,no,none,0.0,0.0,0.0,0.0,0.9,0.815,0.651,0.357,20.9,0,0.0,none,no,good,
SPALL-4078,RC-20-SF,20,600,furnace,1,no,none,0.0,0.0,0.0,0.0,1.8,1.709,1.192,0.65,33.4,0,0.0,none,no,good,
SPALL-4079,RC-20-SF,20,600,furnace,2,yes,extensive,31.4,12.4,16.1,93.3,1.8,1.653,1.417,0.784,29.1,30,4.06,extensive_network,no,poor,
SPALL-4080,RC-20-SF,20,600,furnace,3,yes,extensive,34.9,20.8,27.0,173.9,1.8,1.672,1.208,0.558,25.3,29,2.04,extensive_network,no,poor,
SPALL-4081,RC-20-SF,20,600,water_quench,1,yes,localized,7.1,11.5,14.9,19.6,1.8,1.558,1.237,0.641,30.8,3,0.48,random,no,fair,
SPALL-4082,RC-20-SF,20,600,water_quench,2,yes,extensive,42.5,18.3,23.8,186.4,1.8,1.795,1.279,0.875,25.1,36,5.4,extensive_network,yes,poor,
SPALL-4083,RC-20-SF,20,600,water_quench,3,yes,localized,8.6,18.2,23.7,37.7,1.8,1.695,1.247,0.83,26.8,3,0.1,random,no,fair,
SPALL-4084,RC-20-SF,20,800,furnace,1,yes,moderate,23.5,39.0,50.7,220.1,2.8,2.752,1.797,1.213,30.8,9,0.7,network,no,fair,
SPALL-4085,RC-20-SF,20,800,furnace,2,yes,extensive,59.6,31.3,40.7,447.9,2.8,2.489,1.706,0.848,39.2,18,2.95,extensive_network,no,poor,
SPALL-4086,RC-20-SF,20,800,furnace,3,yes,moderate,25.1,32.8,42.6,197.6,2.8,2.378,2.099,0.987,38.8,10,1.34,network,no,fair,
SPALL-4087,RC-20-SF,20,800,water_quench,1,yes,extensive,30.2,44.8,58.2,324.7,2.8,2.764,2.165,1.39,35.3,36,4.27,extensive_network,yes,poor,
SPALL-4088,RC-20-SF,20,800,water_quench,2,yes,extensive,63.4,42.1,54.8,641.1,2.8,2.637,1.819,1.022,33.3,37,6.5,extensive_network,yes,poor,
SPALL-4089,RC-20-SF,20,800,water_quench,3,yes,extensive,65.0,39.7,51.7,619.8,2.8,2.762,2.034,1.001,36.4,29,7.67,extensive_network,yes,poor,
SPALL-4090,RC-25-SF,25,400,furnace,1,no,none,0.0,0.0,0.0,0.0,1.0,0.868,0.785,0.305,25.8,0,0.0,none,no,good,
SPALL-4091,RC-25-SF,25,400,furnace,2,no,none,0.0,0.0,0.0,0.0,1.0,0.844,0.686,0.43,27.3,0,0.0,none,no,good,
SPALL-4092,RC-25-SF,25,400,furnace,3,yes,moderate,14.1,3.3,4.3,11.2,1.0,0.847,0.653,0.308,21.2,13,1.51,network,no,fair,
SPALL-4093,RC-25-SF,25,400,water_quench,1,yes,localized,7.4,11.9,15.5,21.3,1.0,0.85,0.701,0.469,22.4,3,0.12,random,no,fair,
SPALL-4094,RC-25-SF,25,400,water_quench,2,yes,localized,8.4,4.6,6.0,9.3,1.0,0.903,0.651,0.488,29.1,3,0.35,random,no,fair,
SPALL-4095,RC-25-SF,25,400,water_quench,3,no,none,0.0,0.0,0.0,0.0,1.0,0.908,0.743,0.411,28.5,0,0.0,none,no,good,
SPALL-4096,RC-25-SF,25,600,furnace,1,no,none,0.0,0.0,0.0,0.0,1.95,1.632,1.34,0.738,29.1,0,0.0,none,no,good,
SPALL-4097,RC-25-SF,25,600,furnace,2,yes,moderate,29.4,8.6,11.2,60.8,1.95,1.766,1.428,0.666,34.1,5,1.21,network,no,fair,
SPALL-4098,RC-25-SF,25,600,furnace,3,yes,moderate,12.1,20.4,26.5,59.3,1.95,1.611,1.435,0.914,27.3,10,1.24,network,no,fair,
SPALL-4099,RC-25-SF,25,600,water_quench,1,yes,localized,7.0,15.8,20.5,26.6,1.95,1.832,1.478,0.7,30.0,2,0.33,random,no,fair,
SPALL-4100,RC-25-SF,25,600,water_quench,2,yes,extensive,32.3,27.6,35.9,213.9,1.95,1.72,1.283,0.591,30.7,39,3.9,extensive_network,yes,poor,
SPALL-4101,RC-25-SF,25,600,water_quench,3,no,none,0.0,0.0,0.0,0.0,1.95,1.636,1.305,0.725,25.1,0,0.0,none,no,good,
SPALL-4102,RC-25-SF,25,800,furnace,1,yes,moderate,21.3,48.2,62.7,246.2,3.0,2.935,2.121,1.226,36.5,8,0.84,network,no,fair,
SPALL-4103,RC-25-SF,25,800,furnace,2,yes,extensive,36.6,42.4,55.1,372.8,3.0,2.456,2.108,1.239,34.9,17,3.26,extensive_network,no,poor,
SPALL-4104,RC-25-SF,25,800,furnace,3,yes,extensive,32.7,32.0,41.6,250.9,3.0,2.49,2.102,1.381,34.4,36,4.9,extensive_network,no,poor,
SPALL-4105,RC-25-SF,25,800,water_quench,1,yes,extensive,77.1,38.4,49.9,710.0,3.0,2.649,2.045,1.095,37.8,37,6.82,extensive_network,yes,poor,
SPALL-4106,RC-25-SF,25,800,water_quench,2,yes,extensive,77.6,28.7,37.3,534.3,3.0,2.878,2.037,1.195,38.8,20,6.39,extensive_network,yes,poor,
SPALL-4107,RC-25-SF,25,800,water_quench,3,yes,extensive,61.3,45.9,59.7,676.2,3.0,2.861,2.068,1.184,36.4,20,5.89,extensive_network,yes,poor,
